"metric","value"
"theme::precision-fermented dairy proteins","1"
"theme::investment and brokerage platform","1"
"theme::reproductive biotech and assisted reproduction devices","1"
"macro_theme::peripheral or non-core digital ventures","88"
"macro_theme::climate, energy and resource systems","55"
"macro_theme::therapeutics and regenerative medicine","44"
"macro_theme::ag biologicals and crop resilience","39"
"macro_theme::diagnostics and medtech","38"
"macro_theme::precision agriculture and resource intelligence","36"
"macro_theme::food biotech and novel ingredients","31"
"macro_theme::biobased chemistry and advanced materials","21"
"macro_theme::biomanufacturing and bioindustrial platforms","13"
"macro_theme::computational biology and scientific software","9"
"macro_theme::frontier hardware and infrastructure systems","7"
"macro_theme::peripheral or underclassified ventures","3"
