"startup_id","startup_name","emergent_theme","market_label","transition_function","technical_stack","output_class","feedstock","industry_destination","market_interface","maturity_path","evidence_source","confidence","taxonomy_source","assignment_method","structured_sector","trl_current","trl_current_confidence","trl_current_status","trl_current_source_url","trl_current_last_checked","valuation_tier","notes","macro_theme","thesis_fit","scope_decision","scope_reason","scope_source","structured_country"
"agroadvance","Agroadvance","ag education outside bio thesis","agribusiness education and capability platform","knowledge-gap-in-agriculture-to-scaled-farmer-and-ag-professional-capability","ag education; digital courses; farmer training; management; agribusiness productivity","ag education / knowledge platform","student, producer, course and agribusiness training data","agriculture workforce and farm management","B2B/B2C ag education platform","pending current evidence","agroadvance_official_site_2026","0.9","manual_override","manual_override","","","","pending_research","","","","Official site describes an agribusiness school with courses, MBAs and training for producers and agribusiness professionals; useful ecosystem context, but not a BIO VC startup for the semantic universe.","peripheral or non-core digital ventures","peripheral","exclude","ag_education_and_capability_platform_without_specific_bio_material_or_planetary_boundary_mechanism","official_website_review","BR"
"agroforte","Agroforte","traceability and tokenized resource infrastructure","animal production financial infrastructure","capital-constrained-livestock-producers-to-better-infrastructure-and-welfare","digital bank; credit risk; production data","financial infrastructure platform","poultry, pork and dairy production data","animal protein supply chains","B2B finance platform","pending current evidence","yieldlab_portfolio_2026","0.68","manual_override","manual_override","Digital Economy","","","pending_research","","","2","The Yield Lab Latam portfolio describes a digital banking and credit platform for poultry, pork and dairy producers, improving infrastructure and animal welfare.","climate, energy and resource systems","core","include","official_portfolio_signal_material_ag_system","yieldlab_portfolio_official","BR"
"agrofy","Agrofy","agri-marketplace and input commerce infrastructure","digital agribusiness marketplace and agfintech ecosystem","offline-agribusiness-transactions-to-digital-ag-marketplace-and-finance","agricultural marketplace; agfintech; inputs; machinery; credit; regional commerce","agribusiness marketplace platform","producer, supplier, input, equipment and transaction data","agribusiness commerce and finance","B2B/B2C ag marketplace","pending current evidence","official_website","0.72","manual_override","manual_override","","","","pending_research","","","","Official Agrofy site describes a Latin American ecosystem of digital solutions for agriculture, connecting the agribusiness chain and digitizing the sector.","climate, energy and resource systems","core","include","bio_centric_ag_market_infrastructure","external_atlas_official_site_validated","AR/LatAm"
"agrojusto","Agrojusto","agri-market and traceability infrastructure","smallholder food-market and traceability platform","fragmented-smallholder-food-chains-to-traceable-market-access","traceability; rural digitization; producer market access; food-chain coordination","food-system market infrastructure platform","food production, traceability and smallholder commercial data","small producers, public agencies and food value chains","B2B and ecosystem platform","pending current evidence","agrojusto_official_site_2026","0.9","manual_override","manual_override","Digital Economy","","","pending_research","","","1","Official site describes technology to improve market access for small producers, digital traceability and territorial implementation across food systems.","precision agriculture and resource intelligence","core","include","official_site_signal_material_ag_system","agrojusto_official_site","AR"
"agrolend","Agrolend","agricultural credit and risk intelligence","agricultural credit and risk intelligence","fragmented-rural-credit-to-data-driven-agricultural-finance","agricultural credit; ag receivables; risk monitoring; producer finance; digital agfintech","agricultural finance platform","","farmers, agribusiness credit, investors and rural finance","B2B / platform","pending current evidence","official_portfolio_profile","0.78","manual_override","manual_override","","","","pending_research","","","","Include as border ag-finance infrastructure coupled to biological production systems.","precision agriculture and resource intelligence","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_07_2026_05_08","BR"
"agrosmart","Agrosmart","precision agriculture intelligence","climate-smart agronomic and irrigation intelligence platform","low-visibility-farm-management-to-climate-smart-decision-support","climate data; agronomic intelligence; irrigation monitoring; producer apps; risk analytics; ESG reporting","ag intelligence platform","field, weather, irrigation, ESG and farm management data","crop production, irrigation and agrifood sustainability","agtech company","pending current evidence","agrosmart_official_site_2026","0.9","manual_override","manual_override","","","","pending_research","","","","Official site describes end-to-end climate-smart agriculture solutions integrating agronomic, environmental and financial intelligence for resilient food production systems.","precision agriculture and resource intelligence","core","include","official_website_signal_material_ag_system","agrosmart_official_site","BR"
"agrotoken","Agrotoken","traceability and tokenized resource infrastructure","agricultural asset and traceability infrastructure","illiquid-and-opaque-resource-markets-to-traceable-financeable-material-assets","blockchain infrastructure; tokenization; traceability; collateral management","resource and traceability infrastructure","grain production and sustainability data","agribusiness, food, energy and mining supply chains","infrastructure platform","pending current evidence","agrotoken_official_site_2026","0.86","manual_override","manual_override","Digital Economy","","","pending_research","","","4","Official site describes tokenization of grains and additional traceability and sustainability tools for real-world asset and supply-chain management.","climate, energy and resource systems","core","include","official_site_signal_material_ag_system","agrotoken_official_site","AR"
"agrotools","AGROTOOLS","precision agriculture intelligence","agricultural risk, supply-chain and ESG intelligence platform","fragmented-ag-data-to-strategic-risk-and-esg-intelligence","big data; geospatial intelligence; land monitoring; ESG compliance; rural finance; supply-chain analytics","ag intelligence platform","agricultural land, supply chain, producer, environmental and risk data","agriculture, banking, insurance and commodity chains","B2B platform","pending current evidence","agrotools_official_site_2026","0.88","manual_override","manual_override","","","","pending_research","","","","Official site says Agrotools connects land to business decision-making, provides real-time visibility across agribusiness chains and supports rural finance, insurance, ESG compliance and supply-chain intelligence.","precision agriculture and resource intelligence","core","include","official_website_signal_material_ag_system","agrotools_official_site","BR"
"agrourbana","Agrourbana","food transition ingredients and proteins","vertical farming fresh produce platform","soil-and-water-intensive-leafy-greens-to-local-controlled-environment-production","vertical farming; controlled environment agriculture; hydroponics; traceability","controlled-environment food platform","leafy greens and controlled-environment crop systems","fresh produce and food retail","food/agtech company","pending current evidence","cgv_agrourbana_2026","0.9","manual_override","manual_override","","","","pending_research","","","","ChileGlobal Ventures describes Agrourbana as the first vertical farming company in Latin America, producing fresh vegetables with 99 percent less soil and 95 percent less water.","food biotech and novel ingredients","core","include","official_portfolio_signal_bio_based_or_biocentric","chileglobalventures_portfolio_official","CL"
"algaebio","algaebio+","microalgae functional ingredients","microalgae antioxidant ingredients company","synthetic-and-petro-derived-health-ingredients-to-natural-bio-based-functional-compounds","microalgae cultivation; photobioreactors; functional ingredient processing","functional ingredient","microalgae biomass and astaxanthin","aquaculture, nutraceuticals, functional food and cosmetics","ingredient supplier","pending current evidence","algaebio_official_site_2026","0.93","manual_override","manual_override","Other / Unclassified","","","pending_research","","","1","Official site describes scalable natural astaxanthin production from microalgae for aquaculture and health-related ingredient markets.","food biotech and novel ingredients","core","include","official_site_signal_bio_based_or_biocentric","algaebio_official_site","AR"
"algalife","Algalife","microalgae bioprocess platforms","microalgae process optimization platform","manual-microalgae-processes-to-optimized-bioindustrial-production","microalgae cultivation; bioprocess optimization; productive process design; bioindustry","microalgae bioprocess platform","microalgae strains and production-process data","bioindustry and microalgae production","B2B bioindustrial platform","pending current evidence","official_portfolio_profile","0.84","manual_override","manual_override","","","","pending_research","","","","GridX official portfolio lists Algalife as a platform for optimizing productive processes based on microalgae.","biomanufacturing and bioindustrial platforms","core","include","core_bio_microalgae_bioprocessing","gridx_official_portfolio","AR"
"alkemio","Alkemio","critical materials and resource systems","modular sustainable rare earth refining","fragile-geopolitical-and-polluting-refining-to-scalable-cleaner-critical-materials-processing","high-purity separation platform; modular refining; advanced separation chemistry","critical materials platform","rare earth concentrates and refining inputs","rare earths, critical materials and clean technologies","industrial solution supplier","pending current evidence","alkemio_official_site_2026","0.94","manual_override","manual_override","Other / Unclassified","","","pending_research","","","2","Official site describes a high-purity separation platform that unlocks scalable and sustainable rare earth refining for clean technologies such as EVs, wind turbines and semiconductors.","climate, energy and resource systems","core","include","official_website_signal_climate_materiality_and_resource_transition","alkemio_official_site","NL/AR"
"aloi","Aloi","tax and enterprise compliance software","tax compliance platform","fragmented-tax-and-enterprise-data-to-audit-ready-compliance","AI data reconciliation; ERP integrations; banking data; fiscal compliance","software platform","enterprise tax, banking and ERP data","tax compliance and enterprise operations","B2B SaaS","pending current evidence","official_website","0.86","manual_override","manual_override","Digital Economy","","","pending_research","","","1.5","Official website describes AI tax compliance software, not BIO thesis activity.","peripheral or non-core digital ventures","peripheral","exclude","full_digital_tax_software_no_bio_materiality_signal","thesis_exclusion_clear_drop","US/Latam"
"altscore","Altscore","embedded finance and credit infrastructure","B2B credit infrastructure for companies","manual-credit-programs-to-embedded-lending-infrastructure","credit APIs; AI credit scoring; KYC/KYB; loan management; collections","fintech infrastructure platform","credit, merchant and SME financial data","B2B credit and embedded finance","B2B fintech SaaS","pending current evidence","altscore_official_2026","0.93","manual_override","manual_override","Digital Economy","","","pending_research","","","1","Official site and company blog describe AltScore as B2B credit infrastructure and lending-as-a-service for Latin America, with no defensible bio/material transition signal.","peripheral or non-core digital ventures","peripheral","exclude","full_digital_fintech_no_bio_materiality_signal","official_site_and_company_blog","nan"
"alytix","Alytix","therapeutic and regenerative biology","bacteriophage therapeutics and prevention platform","antibiotic-resistance-to-targeted-phage-based-prevention-and-treatment","bacteriophage discovery; metagenomic diagnostics; phage-cocktail design","phage therapeutics platform","bacteriophages, pathogens and host bacteria","animal and human health","therapeutic platform","pending current evidence","alytix_official_site_2026","0.91","manual_override","manual_override","Other / Unclassified","","","pending_research","","","1","Official site describes bacteriophage-based solutions for infectious diseases in animal and human health, combining microbiological, genomic and bioinformatic tools.","therapeutics and regenerative medicine","core","include","official_website_signal_bio_based_or_biocentric","alytix_official_site","AR"
"amaro","Amaro","digital commerce and consumer platforms","fashion e-commerce","offline-fashion-retail-to-digital-commerce","e-commerce; digital retail; logistics; consumer brand","fashion retail platform","","Fashion retail.","B2C commerce","pending current evidence","official_website","0.9","manual_override","manual_override","Digital Economy","","","pending_research","","","1","Exclude: fashion commerce, not biomaterials or regenerative textile technology in current evidence.","peripheral or non-core digital ventures","peripheral","exclude","fashion_ecommerce_no_material_bio_or_regenerative_signal","manual_credibility_cleanup_2026_05_08","BR"
"amplify-dynamics","Amplify Dynamics","industrial biotech and molecular tools","contactless LNP ultrafiltration platform","slow-wasteful-lnp-purification-to-automated-high-performance-bioprocessing","ultrasound separation; microfluidic flows; nanoparticle purification; bioprocess instrumentation; membrane-free filtration","bioprocess platform","lipid nanoparticles and biotherapeutic process streams","pharmaceutical bioprocessing, gene therapy and nanotherapeutics","biotech tools company","pending current evidence","amplify_dynamics_official_site_2026","0.94","manual_override","manual_override","","","","pending_research","","","","Official site says Amplify Dynamics develops membrane-free ultrasound ultrafiltration for LNP therapeutics, increasing recovery, reducing purification time and decreasing waste generation.","biomanufacturing and bioindustrial platforms","core","include","official_website_signal_bio_based_or_biocentric","amplify_dynamics_official_site","CO"
"antarka","Antarka","biobased chemistry and materials","extremophile enzyme skin DNA repair ingredients","synthetic-cosmetic-actives-to-extremophile-bioactive-dna-repair","extremophile enzymes; DNA repair; biomanufacturing; cosmetic actives","bioactive cosmetic ingredient platform","Antarctic microorganisms and enzyme actives","skin health, cosmetics and personal care","B2B ingredient biotech","pending current evidence","antarka_public_profiles_2026","0.88","manual_override","manual_override","Digital Economy","","","pending_research","","","1","SOSV and Startups Latam describe Antarka as a Uruguayan biotech producing active cosmetic ingredients from Antarctic microorganisms to repair skin DNA damage.","biobased chemistry and advanced materials","core","include","external_source_signal_bio_based_extremophile_biotech_latam","sosv_profile_and_startupslatam","UY"
"apasomics","Apasomics","therapeutic and regenerative biology","targeted bone therapeutics and regenerative medicine","systemic-bone-treatment-to-targeted-biomimetic-delivery","nanotechnology; bone-targeted drug delivery; hydroxyapatite nanospheres","therapeutic delivery platform","hydroxyapatite nanospheres","bone health and regenerative medicine","therapeutic platform","pending current evidence","official_website_2026","0.9","manual_override","manual_override","Digital Economy","","","pending_research","","","1","Official site describes hydroxyapatite nanospheres for targeted bone drug delivery inspired by natural bone remineralization.","therapeutics and regenerative medicine","core","include","official_website_signal_bio_based_or_biocentric","official_website","CR"
"apexzymes","APEXzymes","industrial biotech and molecular tools","industrial enzyme company","high-cost-and-linear-industrial-processing-to-lower-cost-biobased-catalysis","fungal engineering; enzyme bioprocessing; circular feedstocks","industrial biotech platform","agroindustrial byproducts and fungal systems","food, paper, biorefinery and biofuels","industrial biotech supplier","pending current evidence","apexzymes_official_site_2026","0.93","manual_override","manual_override","Other / Unclassified","","","pending_research","","","1","Official site describes low-cost enzyme production using engineered filamentous fungi and agroindustrial byproducts for more sustainable industrial processes.","biomanufacturing and bioindustrial platforms","core","include","official_site_signal_bio_based_or_biocentric","apexzymes_official_site","BR"
"aplife_biotech","Aplife Biotech","computational biology and life-science software","aptamer discovery and high-throughput screening platform","slow-fragmented-drug-discovery-to-miniaturized-high-throughput-biology","high-throughput bioprinting; assay miniaturization; combinatorial library synthesis; screening automation","discovery and screening platform","combinatorial libraries, aptamer workflows and experimental biology systems","biotech, pharma, diagnostics and life-science R&D","platform / infrastructure provider","pending current evidence","aplife_official_site_2026","0.9","manual_override","manual_override","Other / Unclassified","","","pending_research","","","1","Official site describes high-throughput discovery for combinatorial libraries, screening and life-science applications including genomics, proteomics, diagnostics, biosensors and whole-cell assays.","computational biology and scientific software","core","include","official_site_signal_bio_based_or_biocentric","aplife_official_site","BR"
"aquit","Aquit","ag biologicals and animal resilience","fish immunity biotech for sustainable aquaculture","antibiotic-dependent-aquaculture-to-immune-activated-fish-health","proteomics; fish immune proteins; aquaculture biotech; bioinformatics; AI","aquaculture animal-health biotech","salmon immune proteins and pathogen-response data","aquaculture health and animal nutrition","B2B aquaculture biotech","pending current evidence","aquit_public_profiles_2026","0.88","manual_override","manual_override","Digital Economy","","","pending_research","","","1","F6S and CB Insights describe AQUIT as a Chilean aquaculture biotech developing preventive treatments that enhance fish immunity, improve survival and replace antibiotics.","ag biologicals and crop resilience","core","include","external_source_signal_bio_based_aquaculture_animal_health_latam","f6s_profile_and_cbinsights","CL"
"arado","Arado","fresh food supply-chain infrastructure","fresh food marketplace connecting producers and buyers","fragmented-fresh-food-market-to-direct-producer-connected-distribution","fresh produce marketplace; farmer income; food waste reduction; logistics; local supply chains","fresh food supply-chain platform","producer, buyer, inventory and logistics data","fresh food and family-farming supply chains","B2B food marketplace / logistics platform","pending current evidence","official_website","0.76","manual_override","manual_override","","","","pending_research","","","","Official Arado site describes a fairer and more efficient way to buy and sell fresh food, connecting the countryside to urban buyers and reducing food waste.","climate, energy and resource systems","core","include","bio_centric_food_supply_chain_efficiency","external_atlas_official_site_validated","BR"
"arakion","Arakion","ag biologicals and crop resilience","bioinsecticides inspired by arachnid venom","synthetic-crop-protection-to-biological-targeted-bioinsecticides","venom peptides; rational molecular design; crop protection biotech","crop protection biotech platform","arachnid venom-derived bioactive compounds","agriculture and crop protection","biotech company","pending current evidence","gridx_portfolio_2026","0.86","manual_override","manual_override","Other / Unclassified","","","pending_research","","","1","GRIDX portfolio describes Arakion as rational design of insecticides based on arachnid venom.","ag biologicals and crop resilience","core","include","official_portfolio_signal_bio_based_or_biocentric","gridx_portfolio_official","AR"
"arcomed","Arcomed","health diagnostics and medtech","advanced infusion systems and hospital medtech","manual-and-risk-prone-infusion-workflows-to-safer-integrated-clinical-delivery","infusion pumps; digital integration; hospital safety systems","clinical device platform","infusion systems and clinical consumables","hospitals and critical care","medical device supplier","pending current evidence","arcomed_official_site_2026","0.66","manual_override","manual_override","Human Health","","","pending_research","","","1.5","Official site describes infusion systems and integrated hospital solutions focused on patient safety and workflow efficiency.","diagnostics and medtech","core","include","official_website_signal_medtech_clinical_system","arcomed_official_site","CL"
"arcus","Arcus","digital coordination and market infrastructure","enterprise AI workflow platform","manual-and-fragmented-operations-to-digital-coordination","multimodal AI agents; workflow automation; data reasoning","software platform","enterprise data, documents and workflows","cross-sector enterprise software","B2B software platform","pending current evidence","arcus_official_site_2026","0.92","manual_override","manual_override","Other / Unclassified","","","pending_research","","","1","Official site describes enterprise AI workflows, model routing and structured extraction without a clear life-based or material thesis signal.","peripheral or non-core digital ventures","peripheral","exclude","full_digital_no_materiality_signal","arcus_official_site","nan"
"ardan","Ardan","therapeutic and regenerative biology","targeted cancer immunotherapy platform","unmet-cancer-immunotherapy-needs-to-targeted-immune-modulation","small-molecule modulators; TMEM176A/B; immuno-oncology; drug discovery","therapeutic pipeline","TMEM176A/B biology and small-molecule candidates","oncology and immunotherapy","therapeutic biotech company","pending current evidence","ardan_pharma_official_2026","0.92","manual_override","manual_override","Digital Economy","","","pending_research","","","1","Official site describes Ardan Pharma as a biotech with operations in Uruguay and Argentina developing targeted immunotherapy for cancer through TMEM176A/B modulation.","therapeutics and regenerative medicine","core","include","official_website_signal_bio_based_or_biocentric","ardan_pharma_official_site","UY/AR"
"argentag","ArgenTAG","computational biology and life-science software","single-cell long-read sequencing platform","high-cost-single-cell-sequencing-to-scalable-long-read-access","single-cell genomics; long-read sequencing; microfluidics; smart barcoding; RNA library preparation","research tools platform","single-cell transcriptomics workflows and long-read sequencing data","biopharma, biomedical research and life-science labs","research tools company","pending current evidence","argentag_official_site_2026","0.94","manual_override","manual_override","Other / Unclassified","","","pending_research","","","1","Official product page describes a Single-Cell RNA Library Kit using portable microfluidic chips, magnetic beads and smart barcoding for ONT and PacBio-compatible long-read workflows.","computational biology and scientific software","core","include","official_website_signal_life_science_tools","argentag_official_product_page","AR"
"arqlite","Arqlite","circular construction materials from plastic waste","circular construction materials from plastic waste","hard-to-recycle-plastic-waste-to-low-carbon-construction-materials","plastic waste; recycled aggregates; circular materials; low-carbon construction; manufacturing materials","recycled aggregate and circular material","","construction, manufacturing and circular materials","B2B / platform","pending current evidence","secondary_public_profile","0.76","manual_override","manual_override","Other / Unclassified","","","pending_research","","","1","Include as circular materials and resource recovery, not biotech.","climate, energy and resource systems","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_07_2026_05_08","AR/US"
"asclepii","Asclepii","regenerative wound care and tissue repair","regenerative wound-care and tissue-repair platform","passive-wound-dressings-to-regenerative-tissue-repair-products","regenerative medicine; wound care; tissue repair; nanosilver hydrogel; clinical biomaterials; tissue-regeneration matrix","regenerative wound-care medical product","","wound care, tissue repair, hospitals and clinical medicine","B2B / platform","pending current evidence","official_website","0.9","manual_override","manual_override","","","","pending_research","","","","Include as regenerative medicine / clinical biomaterials, not food or cosmetics.","therapeutics and regenerative medicine","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_06_2026_05_08","US/CL/MX"
"auravant","Auravant","precision agriculture intelligence","precision agriculture and agronomic decision platform","fragmented-field-data-to-traceable-precision-decisions","agronomic models; satellite imagery; georeferenced layers; operational traceability","ag intelligence platform","satellite, agronomic and management data","agriculture and agribusiness","B2B platform","pending current evidence","auravant_official_site_2026","0.92","manual_override","manual_override","Digital Economy","","","pending_research","","","2","Official site describes precision agriculture, agronomic models, satellite imagery and traceability to make crop production more efficient, sustainable and economically viable.","precision agriculture and resource intelligence","core","include","official_website_signal_material_ag_system","auravant_official_site","AR"
"autem-medical","Autem Medical","diagnostics and medtech","non-invasive electromagnetic oncology treatment platform","advanced-cancer-treatment-to-non-invasive-frequency-based-adjuvant-therapy","electromagnetic-frequency therapy; oncology treatment; amplitude-modulated EM frequencies; biophysical therapy","oncology medtech platform","electromagnetic treatment protocols and oncology response data","cancer treatment","medtech company","pending current evidence","autem_therapeutics_official_site_2026","0.86","manual_override","manual_override","","","","pending_research","","","","Official site describes AutEMsys as a patent-protected therapy delivering low-level amplitude-modulated electromagnetic frequencies to balance cellular electrophysiology and support accessible cancer care.","diagnostics and medtech","core","include","official_website_signal_therapeutic_medtech","autem_therapeutics_official_site","BR/US"
"auth0","Auth0","digital coordination and market infrastructure","identity and access management software","manual-and-fragmented-operations-to-digital-coordination","authentication; authorization; identity infrastructure","software platform","digital identity and application access data","cross-sector enterprise software","B2B software platform","pending current evidence","auth0_official_site_2026","0.92","manual_override","manual_override","Other / Unclassified","","","pending_research","","","5","Official site describes an authentication and authorization platform with no material, bio or planetary-boundaries signal.","peripheral or non-core digital ventures","peripheral","exclude","full_digital_no_materiality_signal","auth0_official_site","nan"
"avatar_medtech","AVaTAR MedTech","diagnostics and medtech","autologous tissue heart-valve reconstruction devices","prosthetic-heart-valves-to-autologous-tissue-reconstruction","cardiovascular medtech; surgical instruments; autologous tissue; additive manufacturing; biocompatible plastics; valve reconstruction","cardiovascular medical-device platform","autologous pericardial tissue, surgical instrument and valve geometry data","cardiovascular surgery and structural heart disease","medical-device company","pending current evidence","avatar_medtech_official_site_2026","0.9","manual_override","manual_override","Human Health","","","pending_research","","","1.5","Official site describes AVaTAR as a surgical method and set of medical devices for reconstructing aortic or pulmonary valves in children and adults with autologous tissue.","diagnostics and medtech","core","include","official_website_signal_tissue_based_medtech","avatar_medtech_official_site","AR/US"
"axenya","Axenya","digital coordination and market infrastructure","corporate health management software","manual-and-fragmented-operations-to-digital-coordination","health analytics; benefits management; clinical navigation","software platform","employee health and benefits data","corporate HR and insurance","B2B software platform","pending current evidence","axenya_official_site_2026","0.84","manual_override","manual_override","Other / Unclassified","","","pending_research","","","1","Official site describes corporate health management and insurance optimization rather than a thesis-core life-based startup.","peripheral or non-core digital ventures","peripheral","exclude","full_digital_no_materiality_signal","axenya_official_site","nan"
"ayuvant","Ayuvant","therapeutic and regenerative biology","therapeutic biotech and regenerative medicine","conventional-care-to-biology-enabled-therapies","RNA nanoparticles; immunotherapy; therapeutic platforms","therapeutic platform","RNA nanoparticles and immune-targeting biological systems","biotech and healthcare","therapeutic platform","pending current evidence","ayuvant_official_site_2026","0.87","manual_override","manual_override","Other / Unclassified","","","pending_research","","","1","Official site describes a non-inflammatory RNA nanoparticle immunotherapy platform targeting cancer.","therapeutics and regenerative medicine","core","include","official_site_signal_bio_based_or_biocentric","ayuvant_official_site","NL"
