"startup_id","startup_name","scope_decision","scope_status","scope_basis","scope_reason","macro_theme","emergent_theme","market_label","transition_function","technical_stack","industry_destination","thesis_fit","assignment_method","taxonomy_confidence","structured_country","structured_sector","trl_current","trl_current_status","valuation_tier","data_quality_score_10","quality_band","research_priority","missing_signals","startup_summary_v1","business_one_liner","materiality_signal","thesis_scope_note","source_url","source_type","source_date","evidence_excerpt","summary_confidence","review_status","last_reviewed_at","bio_lens_tags","domain_tags","technology_tags","scale_tags"
"agroadvance","Agroadvance","exclude","confirmed","external_auditable_source","ag_education_and_capability_platform_without_specific_bio_material_or_planetary_boundary_mechanism","peripheral or non-core digital ventures","ag education outside bio thesis","agribusiness education and capability platform","knowledge-gap-in-agriculture-to-scaled-farmer-and-ag-professional-capability","ag education; digital courses; farmer training; management; agribusiness productivity","agriculture workforce and farm management","peripheral","manual_override","0.9","BR","","","pending_research","","8.5","high","1","","Brazilian agribusiness education company offering online courses, MBAs, postgraduate programs and corporate training for producers, agronomists and agribusiness professionals. It is relevant ecosystem context, especially for ag capability building, but it is not a BIO VC startup under the thesis because its product is education rather than biological technology, material transition or planetary-boundary management.","Agribusiness education and capability platform.","low","Exclude from BIO semantic universe: useful ag ecosystem actor, but no specific bio/material/planetary-boundary mechanism.","https://agroadvance.com.br/","official_website","2026-05-06","Official site describes Agroadvance as an agribusiness school with courses, MBAs and training for producers and agribusiness professionals.","high","reviewed","2026-05-08","biocentric","agri-food","ai-data","agroecosystem-scale"
"agroforte","Agroforte","include","confirmed","external_auditable_source","official_portfolio_signal_material_ag_system","climate, energy and resource systems","traceability and tokenized resource infrastructure","animal production financial infrastructure","capital-constrained-livestock-producers-to-better-infrastructure-and-welfare","digital bank; credit risk; production data","animal protein supply chains","core","manual_override","0.68","BR","Digital Economy","","pending_research","2","8.5","high","3","needs_current_trl_research","Brazilian rural-finance platform building a digital bank for small and medium poultry, pork and dairy producers. It uses historical production data from integrated animal-protein systems to manage credit risk and finance infrastructure and operational improvements. It remains an edge include because the mechanism is fintech, but the use case is tightly coupled to animal health, welfare, supply-chain resilience and livestock production.","Animal production financial infrastructure.","medium","Edge include: financial infrastructure directly coupled to animal production, welfare and supply-chain resilience.","https://theyieldlablatam.com/companies/agroforte/","official_portfolio_profile","2026-05-06","The Yield Lab Latam portfolio describes a digital bank for poultry, pork and dairy producers using historical production data to manage credit risk and finance infrastructure and operational improvements that strengthen supply chains and animal welfare.","medium","reviewed","2026-05-08","biocentric; human-health-bio; planetary-boundary; regenerative","agri-food; climate-resource; human-health","ai-data","agroecosystem-scale; human-scale; industrial-scale; planetary-scale"
"agrofy","Agrofy","include","confirmed","external_auditable_source","bio_centric_ag_market_infrastructure","climate, energy and resource systems","agri-marketplace and input commerce infrastructure","digital agribusiness marketplace and agfintech ecosystem","offline-agribusiness-transactions-to-digital-ag-marketplace-and-finance","agricultural marketplace; agfintech; inputs; machinery; credit; regional commerce","agribusiness commerce and finance","core","manual_override","0.72","AR/LatAm","","","pending_research","","8","medium","4","needs_current_trl_research","Argentine agribusiness marketplace and digital ecosystem connecting producers, manufacturers, suppliers, agfintech and media across Latin America. It belongs inside BIO VC LATAM as enabling ag-market infrastructure rather than core biotechnology.","Digital agribusiness marketplace and agfintech ecosystem.","medium","Include as enabling ag/food infrastructure: official site describes a Latin American digital agriculture marketplace and agfintech ecosystem.","https://www.agrofy.com/","official_website","2026-04-29","Official site describes Agrofy as a digital-solutions ecosystem for agriculture in Latin America, with marketplace, news and payment/credit units.","high","reviewed","2026-05-08","biocentric; planetary-boundary","agri-food; biodiversity-nature; climate-resource","","agroecosystem-scale; industrial-scale; planetary-scale"
"agrojusto","Agrojusto","include","confirmed","external_auditable_source","official_site_signal_material_ag_system","precision agriculture and resource intelligence","agri-market and traceability infrastructure","smallholder food-market and traceability platform","fragmented-smallholder-food-chains-to-traceable-market-access","traceability; rural digitization; producer market access; food-chain coordination","small producers, public agencies and food value chains","core","manual_override","0.9","AR","Digital Economy","","pending_research","1","9","high","4","needs_current_trl_research","Agrojusto is an Argentine digital infrastructure platform for small producers, local food systems and territorial value chains. Its tools support traceability, producer digitization, market access and coordination between public agencies, buyers and food producers. It belongs inside BIO VC LATAM as food-system market infrastructure directly coupled to material agricultural supply chains, not as generic software.","Traceability and market-access platform for smallholder food systems.","medium-high","Include as digital infrastructure tightly coupled to food production, traceability and smallholder market access.","https://agrojustoinc.com/","official_website","2026-05-08","Official site describes technology for market access, traceability and territorial implementation with small producers and food systems.","high","reviewed","2026-05-08","biocentric","agri-food","ai-data","agroecosystem-scale; industrial-scale"
"agrolend","Agrolend","include","confirmed","external_auditable_source","source_backed_material_bio_or_planetary_signal","precision agriculture and resource intelligence","agricultural credit and risk intelligence","agricultural credit and risk intelligence","fragmented-rural-credit-to-data-driven-agricultural-finance","agricultural credit; ag receivables; risk monitoring; producer finance; digital agfintech","farmers, agribusiness credit, investors and rural finance","core","manual_override","0.78","BR","","","pending_research","","8","medium","4","needs_current_trl_research","Agrolend is a Brazilian agfintech focused on agricultural credit, receivables trading, data-driven risk analysis and monitoring for producers, investors and agribusiness. It is not nature restoration; it belongs only as a thesis-border case because it finances biological production systems. It should cluster with agri-finance, producer infrastructure and agricultural risk intelligence.","Agricultural credit, receivables and risk-monitoring platform.","medium","Include as border ag-finance infrastructure coupled to biological production systems.","https://spventures.com.br/portfolio/agrolend/","official_portfolio_profile","2026-05-08","SP Ventures says Agrolend reinvents agricultural credit through connections and data, integrating analysis, risk monitoring and digital trading of agricultural receivables.","high","reviewed","2026-05-08","biocentric; planetary-boundary; regenerative","agri-food; biodiversity-nature","ai-data","agroecosystem-scale; industrial-scale; planetary-scale"
"agrosmart","Agrosmart","include","confirmed","external_auditable_source","official_website_signal_material_ag_system","precision agriculture and resource intelligence","precision agriculture intelligence","climate-smart agronomic and irrigation intelligence platform","low-visibility-farm-management-to-climate-smart-decision-support","climate data; agronomic intelligence; irrigation monitoring; producer apps; risk analytics; ESG reporting","crop production, irrigation and agrifood sustainability","core","manual_override","0.9","BR","","","pending_research","","8","medium","4","needs_current_trl_research","Agrosmart is a Brazilian climate-smart agriculture platform providing climate, agronomic, irrigation and ESG intelligence for producers and agrifood corporations. Its products include BoosterAGRO for farm climate/agronomic collaboration, BoosterPRO for climate monitoring and irrigation management, and an ESG platform for risk, sustainability and compliance reporting. It belongs inside BIO VC LATAM as precision-ag and climate-adaptation infrastructure for more resilient, efficient and transparent food production systems.","Climate-smart agronomic and irrigation intelligence platform.","medium","Include as biocentric precision-ag and climate-resilience infrastructure directly tied to agricultural production systems.","https://agrosmart.com.br/about/","official_website","2026-05-06","Official site describes Agrosmart as accelerating the transition to productive, sustainable and climate-resilient agriculture by integrating agronomic, environmental and financial intelligence and services.","high","reviewed","2026-05-08","biocentric; planetary-boundary; regenerative","agri-food; climate-resource","ai-data","agroecosystem-scale; industrial-scale; planetary-scale"
"agrotoken","Agrotoken","include","confirmed","external_auditable_source","official_site_signal_material_ag_system","climate, energy and resource systems","traceability and tokenized resource infrastructure","agricultural asset and traceability infrastructure","illiquid-and-opaque-resource-markets-to-traceable-financeable-material-assets","blockchain infrastructure; tokenization; traceability; collateral management","agribusiness, food, energy and mining supply chains","core","manual_override","0.86","AR","Digital Economy","","pending_research","4","9","high","4","needs_current_trl_research","Infraestructura para tokenizar granos y otros activos del agro, habilitando pagos, financiamiento, colateral y trazabilidad sobre activos materiales reales. Entra en tesis por acople fuerte a cadenas agro-materiales y capa de trazabilidad/sustentabilidad.","Real-world asset and traceability infrastructure for agribusiness.","medium","Entra por infraestructura financiera y de trazabilidad anclada en activos materiales y cadenas del agro.","https://landing.test.agrotoken.io/en/home","official_website","2026-04-20","Official site describes digitization of grains into agrotokens and additional traceability and sustainability explorer tools for material supply chains.","high","reviewed","2026-05-08","planetary-boundary","agri-food; climate-resource","","agroecosystem-scale; industrial-scale; planetary-scale"
"agrotools","AGROTOOLS","include","confirmed","external_auditable_source","official_website_signal_material_ag_system","precision agriculture and resource intelligence","precision agriculture intelligence","agricultural risk, supply-chain and ESG intelligence platform","fragmented-ag-data-to-strategic-risk-and-esg-intelligence","big data; geospatial intelligence; land monitoring; ESG compliance; rural finance; supply-chain analytics","agriculture, banking, insurance and commodity chains","core","manual_override","0.88","BR","","","pending_research","","8","medium","4","needs_current_trl_research","AGROTOOLS is a Brazilian agribusiness intelligence platform connecting land, supply chains and corporate decision-making through geospatial data, risk analytics and ESG/compliance monitoring. Its solutions support rural finance, insurance, sourcing, brand protection, supply-chain intelligence and socioenvironmental monitoring, with more than 1,300 data layers and large-scale territorial analyses. It belongs inside BIO VC LATAM as agri-risk, traceability and planetary-boundary intelligence infrastructure for agricultural value chains.","Agricultural risk, supply-chain and ESG intelligence platform.","medium","Include as biocentric ag-data infrastructure: not biotech, but directly governs agricultural land, supply-chain risk and environmental compliance.","https://agrotools.com.br/en/","official_website","2026-05-06","Official site says Agrotools connects land to business decision-making, offers real-time visibility across agribusiness chains, supports rural finance, insurance, ESG compliance and supply-chain intelligence, and uses more than 1,300 data layers.","high","reviewed","2026-05-08","biocentric; planetary-boundary","agri-food","ai-data; remote-sensing","agroecosystem-scale; industrial-scale; planetary-scale"
"agrourbana","Agrourbana","include","confirmed","external_auditable_source","official_portfolio_signal_bio_based_or_biocentric","food biotech and novel ingredients","food transition ingredients and proteins","vertical farming fresh produce platform","soil-and-water-intensive-leafy-greens-to-local-controlled-environment-production","vertical farming; controlled environment agriculture; hydroponics; traceability","fresh produce and food retail","core","manual_override","0.9","CL","","","pending_research","","8","medium","4","needs_current_trl_research","Chilean vertical-farming company producing fresh leafy vegetables locally in controlled indoor hydroponic environments. Its Carmelo OS operating system manages climate and nutrition to grow pesticide-free produce year-round, close to demand, with 95 percent less water and 99 percent less soil than traditional cultivation. It belongs inside BIO VC LATAM as resource-efficient food production and urban biological supply-chain infrastructure.","Controlled-environment vertical farming for fresh produce.","high","Core include: biological food production with radical water and land efficiency.","https://www.agrourbana.ag/alta-agricultura","official_website","2026-05-06","AgroUrbana says its indoor hydroponic vertical farming grows local vegetables year-round, pesticide-free, with 95 percent less water and 99 percent less soil than traditional cultivation.","high","reviewed","2026-05-08","biocentric; planetary-boundary","agri-food; climate-resource","ai-data","agroecosystem-scale; human-scale; industrial-scale; planetary-scale; product-scale; territorial-scale"
"algaebio","algaebio+","include","confirmed","external_auditable_source","official_site_signal_bio_based_or_biocentric","food biotech and novel ingredients","microalgae functional ingredients","microalgae antioxidant ingredients company","synthetic-and-petro-derived-health-ingredients-to-natural-bio-based-functional-compounds","microalgae cultivation; photobioreactors; functional ingredient processing","aquaculture, nutraceuticals, functional food and cosmetics","core","manual_override","0.93","AR","Other / Unclassified","","pending_research","1","8","medium","4","needs_current_trl_research","Startup biobasada que produce astaxantina natural a partir de microalgas para acuicultura, nutraceutica, alimentos funcionales y cosmetica. Entra en tesis por food biotech and novel ingredients.","Microalgae functional ingredients company.","high","Entra por produccion biobasada de compuestos funcionales con impacto material claro en alimentos y salud.","https://algaebioplus.com/","official_website","2026-04-20","Official site describes scalable natural astaxanthin production from microalgae for aquaculture and human and animal health-related markets.","high","reviewed","2026-05-08","biobased; bio-enabled-industrial-transition; human-health-bio","agri-food; biomanufacturing; biomaterials; human-health","biomanufacturing","human-scale; industrial-scale; product-scale"
"algalife","Algalife","include","confirmed","external_auditable_source","core_bio_microalgae_bioprocessing","biomanufacturing and bioindustrial platforms","microalgae bioprocess platforms","microalgae process optimization platform","manual-microalgae-processes-to-optimized-bioindustrial-production","microalgae cultivation; bioprocess optimization; productive process design; bioindustry","bioindustry and microalgae production","core","manual_override","0.84","AR","","","pending_research","","8","medium","4","needs_current_trl_research","GridX portfolio company building a platform to optimize productive processes based on microalgae. It belongs inside BIO VC LATAM as microalgae bioprocessing and bioindustrial infrastructure.","Microalgae process optimization platform.","high","Include: GridX official portfolio directly classifies Algalife as microalgae productive-process optimization.","https://www.gridexponential.com/portfolio","official_portfolio_profile","2026-04-29","GridX portfolio lists Algalife as a platform for optimizing productive processes based on microalgae.","medium","reviewed","2026-05-08","biobased; bio-enabled-industrial-transition","biomanufacturing; industrial-biotech","ai-data; biomanufacturing","industrial-scale"
"alkemio","Alkemio","include","confirmed","external_auditable_source","official_website_signal_climate_materiality_and_resource_transition","climate, energy and resource systems","critical materials and resource systems","modular sustainable rare earth refining","fragile-geopolitical-and-polluting-refining-to-scalable-cleaner-critical-materials-processing","high-purity separation platform; modular refining; advanced separation chemistry","rare earths, critical materials and clean technologies","core","manual_override","0.94","NL/AR","Other / Unclassified","","pending_research","2","8","medium","4","needs_current_trl_research","Startup de critical materials que desarrolla una plataforma modular, limpia y adaptable para separar y refinar tierras raras con menor CAPEX, menor huella y menor dependencia geopolitica. Entra en tesis por transicion material y refinado sostenible de insumos criticos.","Modular sustainable rare earth refining platform.","high","Entra por material transition en minerales criticos necesarios para EVs, wind turbines y semiconductores.","https://alkemio.tech/","official_website","2026-04-22","Official site describes a high-purity separation platform that unlocks scalable and sustainable rare earth refining for clean technologies such as EVs, wind turbines and semiconductors.","high","reviewed","2026-05-08","planetary-boundary","climate-resource","ai-data","planetary-scale; territorial-scale"
"aloi","Aloi","exclude","confirmed","external_auditable_source","full_digital_tax_software_no_bio_materiality_signal","peripheral or non-core digital ventures","tax and enterprise compliance software","tax compliance platform","fragmented-tax-and-enterprise-data-to-audit-ready-compliance","AI data reconciliation; ERP integrations; banking data; fiscal compliance","tax compliance and enterprise operations","peripheral","manual_override","0.86","US/Latam","Digital Economy","","pending_research","1.5","9.5","high","2","","Aloi is an AI data platform for fiscal compliance, reconciling fragmented tax, banking, ERP and documentation data for enterprise audit readiness. It is excluded from the BIO universe because the official source signals tax/enterprise software rather than bio-based, biocentric or planetary-boundary material transition activity.","AI tax compliance and enterprise data platform.","low","Exclude confirmed: official website describes fiscal compliance software, not BIO thesis activity.","https://aloi.tech/","official_website","2026-04-28","Official website presents Aloi as an IA platform for unified tax compliance data, IVA recovery and audit defense files.","medium","reviewed","2026-05-08","","","ai-data",""
"altscore","Altscore","exclude","confirmed","external_auditable_source","full_digital_fintech_no_bio_materiality_signal","peripheral or non-core digital ventures","embedded finance and credit infrastructure","B2B credit infrastructure for companies","manual-credit-programs-to-embedded-lending-infrastructure","credit APIs; AI credit scoring; KYC/KYB; loan management; collections","B2B credit and embedded finance","peripheral","manual_override","0.93","","Digital Economy","","pending_research","1","8.5","high","1","country_unconfirmed","Infraestructura fintech B2B para que empresas lancen y operen productos de credito digital. Queda fuera de tesis por ser lending-as-a-service y scoring financiero sin materialidad bio, biobased ni regenerativa.","B2B credit infrastructure for companies.","low","Sale por fintech digital generalista, aunque tenga clientes de consumo masivo.","https://www.altscore.ai/","official_website","2026-04-23","Official site describes AltScore as B2B credit infrastructure to launch, operate and scale credit programs.","high","reviewed","2026-05-08","","","ai-data","industrial-scale"
"alytix","Alytix","include","confirmed","external_auditable_source","official_website_signal_bio_based_or_biocentric","therapeutics and regenerative medicine","therapeutic and regenerative biology","bacteriophage therapeutics and prevention platform","antibiotic-resistance-to-targeted-phage-based-prevention-and-treatment","bacteriophage discovery; metagenomic diagnostics; phage-cocktail design","animal and human health","core","manual_override","0.91","AR","Other / Unclassified","","pending_research","1","8","medium","4","needs_current_trl_research","Alytix is an Argentine bacteriophage biotechnology company developing prevention and treatment solutions for bacterial infections in animal and human health. Its platform combines phage discovery, metagenomic diagnostics, genomic analysis, bioinformatics and custom phage-cocktail design to address antibiotic resistance and farm-specific pathogens. It belongs inside BIO VC LATAM as phage therapeutics, animal-health biotech and One Health antimicrobial infrastructure.","Bacteriophage therapeutics and prevention platform.","high","Include as a core biological therapeutic and preventive platform based on bacteriophages.","https://alytixbiotech.com/","official_website","2026-05-06","Official site describes bacteriophage-based solutions for infectious diseases in animal and human health, combining microbiological, genomic and bioinformatic tools.","high","reviewed","2026-05-08","biobased; biocentric; human-health-bio; regenerative","agri-food; diagnostics-medtech; human-health; therapeutics-regenerative","ai-data; diagnostics; therapeutics","agroecosystem-scale; human-scale; industrial-scale; molecular-scale"
"amaro","Amaro","exclude","confirmed","external_auditable_source","fashion_ecommerce_no_material_bio_or_regenerative_signal","peripheral or non-core digital ventures","digital commerce and consumer platforms","fashion e-commerce","offline-fashion-retail-to-digital-commerce","e-commerce; digital retail; logistics; consumer brand","Fashion retail.","peripheral","manual_override","0.9","BR","Digital Economy","","pending_research","1","9","high","1","","Brazilian fashion and lifestyle e-commerce brand selling apparel, basics, swimwear, jeans, accessories and related consumer products through a digital retail experience. It belongs in a broad LATAM VC landscape, but not in the BIO VC LATAM thesis: public evidence points to consumer fashion retail rather than biobased materials, circular textile innovation, biological manufacturing or planetary-boundary stewardship. It should stay excluded unless future evidence shows a specific biomaterials or regenerative textile line.","Brazilian fashion and lifestyle e-commerce brand.","low","Exclude: fashion commerce, not biomaterials or regenerative textile technology in current evidence.","https://amaro.com/","official_website","2026-05-08","Official site shows AMARO as a fashion retail store with categories such as clothing, jeans, swimwear, basics and collections.","high","reviewed","2026-05-08","","","ai-data",""
