"startup_id","startup_name","macro_theme","thesis_fit","trl_current","trl_current_confidence","trl_current_status","trl_current_basis","trl_current_source_url","trl_current_last_checked","trl_current_notes"
"ayuvant","Ayuvant","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"bacu","BACU","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"beam_croptech","BEAM CropTech","ag biologicals and crop resilience","core","","","pending_research","","","",""
"beeflow","Beeflow","ag biologicals and crop resilience","core","","","pending_research","","","",""
"bekeu","Bekeu","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"betterfly","Betterfly","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"bioblends","BioBlends","biobased chemistry and advanced materials","core","","","pending_research","","","",""
"biocle","BioClé","computational biology and scientific software","core","","","pending_research","","","",""
"biodiversity_intelligence","Biodiversity Intelligence","biomanufacturing and bioindustrial platforms","core","","","pending_research","","","",""
"bioeutectics","Bioeutectics","biobased chemistry and advanced materials","core","","","pending_research","","","",""
"bioheuris","Bioheuris","ag biologicals and crop resilience","core","","","pending_research","","","",""
"biometallum","BioMetallum","biobased chemistry and advanced materials","core","","","pending_research","","","",""
"bioplaster_research_inc","BioPlaster Research Inc","biobased chemistry and advanced materials","core","","","pending_research","","","",""
"bioplastix","Bioplastix","biobased chemistry and advanced materials","core","","","pending_research","","","",""
"bioseek","Bioseek","computational biology and scientific software","core","","","pending_research","","","",""
"biosynaptica","BioSynaptica","computational biology and scientific software","core","","","pending_research","","","",""
"biotalife","Biotalife","biomanufacturing and bioindustrial platforms","core","","","pending_research","","","",""
"bitgenia","Bitgenia","computational biology and scientific software","core","","","pending_research","","","",""
"bleps_vision","Bleps Vision","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"branch_energy","Branch Energy","biomanufacturing and bioindustrial platforms","core","","","pending_research","","","",""
"break_pet","Break Pet","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"breakpet","BreakPET","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"bsafe_biotech","Bsafe Biotech","biomanufacturing and bioindustrial platforms","core","","","pending_research","","","",""
"bybug","ByBug","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"calice","Calice","ag biologicals and crop resilience","core","","","pending_research","","","",""
"calice_biotech","Calice Biotech","biomanufacturing and bioindustrial platforms","core","","","pending_research","","","",""
"caligenia","Caligenia","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"cargo_sapiens","Cargo Sapiens","climate, energy and resource systems","core","","","pending_research","","","",""
"caspr","CASPR","computational biology and scientific software","core","","","pending_research","","","",""
"caspr_biotech","Caspr Biotech","computational biology and scientific software","core","","","pending_research","","","",""
"cell_farm","Cell Farm","food biotech and novel ingredients","core","","","pending_research","","","",""
"cellargen_biotech","Cellargen Biotech","biomanufacturing and bioindustrial platforms","core","","","pending_research","","","",""
"cellco","CellCo","biomanufacturing and bioindustrial platforms","core","","","pending_research","","","",""
"cellrep","CellRep","biomanufacturing and bioindustrial platforms","core","","","pending_research","","","",""
"cellva","Cellva","food biotech and novel ingredients","core","","","pending_research","","","",""
"chazki","Chazki","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"chemtest","Chemtest","biobased chemistry and advanced materials","core","","","pending_research","","","",""
"circa_therapeutics","Circa Therapeutics","therapeutics and regenerative medicine","core","","","pending_research","","","",""
"circclo","CIRCCLO","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"circular","Circular","climate, energy and resource systems","core","","","pending_research","","","",""
"clover","Clover","climate, energy and resource systems","core","","","pending_research","","","",""
"conciencia","Conciencia","biomanufacturing and bioindustrial platforms","core","","","pending_research","","","",""
"courageous_land","Courageous Land","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"crinsurance","CRInsurance","diagnostics and medtech","core","","","pending_research","","","",""
"cryosmetics","Cryosmetics","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"cyanomin","CyanoMin","biobased chemistry and advanced materials","core","","","pending_research","","","",""
"deepagro","DeepAgro","precision agriculture and resource intelligence","core","","","pending_research","","","",""
"dharma_bioscience","Dharma BioScience","computational biology and scientific software","core","","","pending_research","","","",""
"dogma_biotech","Dogma Biotech","computational biology and scientific software","core","","","pending_research","","","",""
"done_properly","Done Properly","food biotech and novel ingredients","core","","","pending_research","","","",""
"dprotein","DProtein","food biotech and novel ingredients","core","","","pending_research","","","",""
"dymaxion_labs","Dymaxion Labs","food biotech and novel ingredients","core","","","pending_research","","","",""
"dynami","Dynami","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"einsted","Einsted","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"eiru","Eirú","food biotech and novel ingredients","core","","","pending_research","","","",""
"eiwa","Eiwa","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"elytron","Elytron","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"elytron_biotech","Elytron Biotech","biomanufacturing and bioindustrial platforms","core","","","pending_research","","","",""
"embryoxite","Embryoxite","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"endless","Endless","climate, energy and resource systems","core","","","pending_research","","","",""
"enteria","Enteria","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"enzyva","Enzyva","biomanufacturing and bioindustrial platforms","core","","","pending_research","","","",""
"eolo_pharma","Eolo Pharma","computational biology and scientific software","core","","","pending_research","","","",""
"epiliquid","Epiliquid","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"ergo_bioscience","Ergo Bioscience","food biotech and novel ingredients","core","","","pending_research","","","",""
"ergo_foods","Ergo Foods","food biotech and novel ingredients","core","","","pending_research","","","",""
"eureka","Eureka","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"exomas","Exomas","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"eywa","Eywa","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"eywa_biotech","Eywa Biotech","biomanufacturing and bioindustrial platforms","core","","","pending_research","","","",""
"f4u","F4u","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"falcomm","Falcomm","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"fecundis","Fecundis","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"feedvax","Feedvax","food biotech and novel ingredients","core","","","pending_research","","","",""
"flexza","Flexza","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"fligoo","Fligoo","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"food4you","Food4You","food biotech and novel ingredients","core","","","pending_research","","","",""
"frete_com","Frete Com","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"fungi_life","Fungi Life","food biotech and novel ingredients","core","","","pending_research","","","",""
"fungilife","Fungilife","food biotech and novel ingredients","core","","","pending_research","","","",""
"future_biome","Future Biome","computational biology and scientific software","core","","","pending_research","","","",""
"galtec","Galtec Life","computational biology and scientific software","core","","","pending_research","","","",""
"geoprot","Geoprot","food biotech and novel ingredients","core","","","pending_research","","","",""
"gigablue","Gigablue","biomanufacturing and bioindustrial platforms","core","","","pending_research","","","",""
"gisens_biotech","Gisens Biotech","diagnostics and medtech","core","","","pending_research","","","",""
"glycox","GlycoX","computational biology and scientific software","core","","","pending_research","","","",""
"heartbest","Heartbest","food biotech and novel ingredients","core","","","pending_research","","","",""
"hiamet_s_a","Hiamet S.A","biomanufacturing and bioindustrial platforms","core","","","pending_research","","","",""
"huiro","Huiro","biobased chemistry and advanced materials","core","","","pending_research","","","",""
"imvalv","Imvalv","diagnostics and medtech","core","","","pending_research","","","",""
"inbioar","Inbioar","food biotech and novel ingredients","core","","","pending_research","","","",""
"inmet","INMET","biomanufacturing and bioindustrial platforms","core","","","pending_research","","","",""
"inner_cosmos","Inner Cosmos","diagnostics and medtech","core","","","pending_research","","","",""
"innova_space","Innova Space","frontier hardware and infrastructure systems","core","","","pending_research","","","",""
"iof","Iof","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"keclon","Keclon","biobased chemistry and advanced materials","core","","","pending_research","","","",""
"kigui","Kigüi","biomanufacturing and bioindustrial platforms","core","","","pending_research","","","",""
"kilimo","Kilimo","precision agriculture and resource intelligence","core","","","pending_research","","","",""
"kresko_rnatech","Kresko RNAtech","computational biology and scientific software","core","","","pending_research","","","",""
"laurus","Laurus","food biotech and novel ingredients","core","","","pending_research","","","",""
"laurus_ag_tech","Laurus AG Tech","precision agriculture and resource intelligence","core","","","pending_research","","","",""
"lia_aeospace","LIA Aeospace","frontier hardware and infrastructure systems","core","","","pending_research","","","",""
"libera","Libera","food biotech and novel ingredients","core","","","pending_research","","","",""
"lifit","Lifit","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"limay","Limay","biomanufacturing and bioindustrial platforms","core","","","pending_research","","","",""
"limay_biosciences","Limay Biosciences","computational biology and scientific software","core","","","pending_research","","","",""
"logan","Logan","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"logshare","LogShare","climate, energy and resource systems","core","","","pending_research","","","",""
"luzid","Luzid","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"m4life","M4Life","computational biology and scientific software","core","","","pending_research","","","",""
"mavios","Mavios","food biotech and novel ingredients","core","","","pending_research","","","",""
"menta_tickets","Menta Tickets","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"michroma","Michroma","food biotech and novel ingredients","core","","","pending_research","","","",""
"microgenesis","Microgenesis","diagnostics and medtech","core","","","pending_research","","","",""
"microin","MicroIN","computational biology and scientific software","core","","","pending_research","","","",""
"microscopia","microscopIA","computational biology and scientific software","core","","","pending_research","","","",""
"microterra","MicroTerra","computational biology and scientific software","core","","","pending_research","","","",""
"migma","MIGMA","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"monte_caldera","Monte Caldera","biomanufacturing and bioindustrial platforms","core","","","pending_research","","","",""
"multiplai","MultiplAI","computational biology and scientific software","core","","","pending_research","","","",""
"multiplai_health","MultiplAI Health","diagnostics and medtech","core","","","pending_research","","","",""
"muta","MUTA","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"mycorium_biotech","Mycorium Biotech","computational biology and scientific software","core","","","pending_research","","","",""
"mzp","MZP","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"nano_jump","Nano Jump","diagnostics and medtech","core","","","pending_research","","","",""
"nanogrow_biotech","Nanogrow Biotech","diagnostics and medtech","core","","","pending_research","","","",""
"nanoingreen","Nanoingreen","diagnostics and medtech","core","","","pending_research","","","",""
"nanojump_bio","NanoJump Bio","diagnostics and medtech","core","","","pending_research","","","",""
"nanoprox","NanoproX","diagnostics and medtech","core","","","pending_research","","","",""
"nanotica","Nanotica","diagnostics and medtech","core","","","pending_research","","","",""
"nanotransfer","Nanotransfer","diagnostics and medtech","core","","","pending_research","","","",""
"nat4bio","Nat4Bio","food biotech and novel ingredients","core","","","pending_research","","","",""
"naturannova","Naturannova","food biotech and novel ingredients","core","","","pending_research","","","",""
"naturanova","Naturanova","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"neocell","Neocell","computational biology and scientific software","core","","","pending_research","","","",""
"new_organs_biotech","New Organs Biotech","therapeutics and regenerative medicine","core","","","pending_research","","","",""
"nideport","Nideport","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"notfossil","NotFossil","biobased chemistry and advanced materials","core","","","pending_research","","","",""
"novo_space","NOVO SPACE","frontier hardware and infrastructure systems","core","","","pending_research","","","",""
"nuclearis","Nuclearis","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"nude","Nude","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"nunatak_biotech","Nunatak Biotech","computational biology and scientific software","core","","","pending_research","","","",""
"nuvia","Nuvia","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"ocular_bio_design","Ocular Bio Design","therapeutics and regenerative medicine","core","","","pending_research","","","",""
"onco_precision","Onco Precision","therapeutics and regenerative medicine","core","","","pending_research","","","",""
"oncoliq","Oncoliq","therapeutics and regenerative medicine","core","","","pending_research","","","",""
"oncoprecision","OncoPrecision","therapeutics and regenerative medicine","core","","","pending_research","","","",""
"oneinfinite","OneInfinite","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"openlayer","Openlayer","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"outpost","Outpost","frontier hardware and infrastructure systems","core","","","pending_research","","","",""
"plamic","Plamic","food biotech and novel ingredients","core","","","pending_research","","","",""
"plamic_biotech","Plamic Biotech","biomanufacturing and bioindustrial platforms","core","","","pending_research","","","",""
"poas_bioenergy","Poás Bioenergy","biomanufacturing and bioindustrial platforms","core","","","pending_research","","","",""
"pods","Pods","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"pregen","PreGen","therapeutics and regenerative medicine","core","","","pending_research","","","",""
"prima","Prima","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"protiva","Protiva","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"puna_bio","Puna Bio","ag biologicals and crop resilience","core","","","pending_research","","","",""
"punabio","PunaBio","ag biologicals and crop resilience","core","","","pending_research","","","",""
"qnity","Qnity","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"quantum_south","Quantum South","frontier hardware and infrastructure systems","core","","","pending_research","","","",""
"qumir_nano","Qumir Nano","diagnostics and medtech","core","","","pending_research","","","",""
"radbio","Radbio","computational biology and scientific software","core","","","pending_research","","","",""
"radial","Radial","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"retrypay","Retrypay","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"ruuts","Ruuts","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"satellites_on_fire","Satellites on Fire","frontier hardware and infrastructure systems","core","","","pending_research","","","",""
"satellogic","Satellogic","frontier hardware and infrastructure systems","core","","","pending_research","","","",""
"scitherm_therapeutics","Scitherm Therapeutics","therapeutics and regenerative medicine","core","","","pending_research","","","",""
"seedmatriz","SeedMatriz","food biotech and novel ingredients","core","","","pending_research","","","",""
"semion","Semion","food biotech and novel ingredients","core","","","pending_research","","","",""
"sensei","Sensei","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"silohub","Silohub","precision agriculture and resource intelligence","core","","","pending_research","","","",""
"siloreal","SiloReal","precision agriculture and resource intelligence","core","","","pending_research","","","",""
"sima","Sima","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"single_strand_biotech","Single Strand Biotech","biomanufacturing and bioindustrial platforms","core","","","pending_research","","","",""
"skyloom","Skyloom","frontier hardware and infrastructure systems","core","","","pending_research","","","",""
"solfium","Solfium","climate, energy and resource systems","core","","","pending_research","","","",""
"soygreen","SoyGREEN","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"spectrum","Spectrum","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"spherebio","SphereBio","computational biology and scientific software","core","","","pending_research","","","",""
"splight","Splight","biomanufacturing and bioindustrial platforms","core","","","pending_research","","","",""
"spline","Spline","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"stamm","Stämm","biomanufacturing and bioindustrial platforms","core","","","pending_research","","","",""
"starlight_ventures","Starlight Ventures","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"strike","Strike","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"sylvarum","Sylvarum","food biotech and novel ingredients","core","","","pending_research","","","",""
"synthetic_ocular_restoration","Synthetic Ocular Restoration","therapeutics and regenerative medicine","core","","","pending_research","","","",""
"syocin_bio","Syocin Bio","computational biology and scientific software","core","","","pending_research","","","",""
"teachy","Teachy","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"tell","Tell","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"teramot","Teramot","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"tesabio_ai","Tesabio.ai","biomanufacturing and bioindustrial platforms","core","","","pending_research","","","",""
"tomorrow","Tomorrow","food biotech and novel ingredients","core","","","pending_research","","","",""
"tomorrow_foods","Tomorrow Foods","food biotech and novel ingredients","core","","","pending_research","","","",""
"tracestory","Tracestory","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"trebe_biotech","Trebe Biotech","food biotech and novel ingredients","core","","","pending_research","","","",""
"ubique_bio","Ubique Bio","computational biology and scientific software","core","","","pending_research","","","",""
"unibaio","Unibaio","food biotech and novel ingredients","core","","","pending_research","","","",""
"untech","UnTech","diagnostics and medtech","core","","","pending_research","","","",""
"updairy","Updairy","food biotech and novel ingredients","core","","","pending_research","","","",""
"vexxel_biotech","Vexxel Biotech","food biotech and novel ingredients","core","","","pending_research","","","",""
"viewmind","ViewMind","diagnostics and medtech","core","","","pending_research","","","",""
"vixtra","Vixtra","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"vmind","VMind","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"vu","Vu","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"webee","Webee","ag biologicals and crop resilience","core","","","pending_research","","","",""
"wiagro","Wiagro","food biotech and novel ingredients","core","","","pending_research","","","",""
"wisy","Wisy","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"zavia_bio","Zavia Bio","food biotech and novel ingredients","core","","","pending_research","","","",""
"zev_biotech","ZEV Biotech","computational biology and scientific software","core","","","pending_research","","","",""
"zoomagri","ZoomAgri","food biotech and novel ingredients","core","","","pending_research","","","",""
