"Id","Label","Theme","ClusterId","Country","QualityBand","QualityScore","ReviewStatus","SourceUrl","SourceType","MarketLabel","TransitionFunction","TechnicalStack","IndustryDestination","Summary","OneLiner","SemanticScore","SemanticMargin","SemanticConfidence","Size","r","g","b"
"agrired","Agrired","agri intelligence and traceable markets","cluster_4","","medium","8","reviewed","https://www.agrired.com.ar/","official_website","b2b ag-input market infrastructure","manual-ag-input-trading-to-digital-resource-coordination","b2b marketplace; pricing analytics; logistics coordination","agriculture, seeds, fertilizers and agrochemicals","Infraestructura B2B para la compra, venta y logistica de semillas, fertilizantes y agroquimicos entre empresas del agro. Entra en tesis como capa digital fuertemente acoplada a flujos materiales de insumos agricolas.","B2B ag-input market infrastructure.","16.8","7.9","medium","12.4","217","112","179"
"agrojusto","Agrojusto","agri intelligence and traceable markets","cluster_4","","high","8.5","reviewed","https://agrojustoinc.com/","official_website","smallholder food-market infrastructure","fragmented-rural-food-chains-to-digitally-coordinated-market-access","traceability; rural digitization; producer market access tools","small producers, public agencies and food value chains","Plataforma de trazabilidad, digitalización territorial y acceso a mercado para pequeños productores y cadenas alimentarias. Entra en tesis por su acople fuerte a flujos materiales del sistema agroalimentario.","Smallholder food-market infrastructure platform.","19.9","13.3","high","12.8","217","112","179"
"auravant","Auravant","agri intelligence and traceable markets","cluster_4","","high","8.5","reviewed","https://www.auravant.com/en/about-us/","official_website","precision agriculture and agronomic decision platform","fragmented-field-data-to-traceable-precision-decisions","agronomic models; satellite imagery; georeferenced layers; operational traceability","agriculture and agribusiness","Plataforma de agricultura de precision que integra modelos agronomicos, imagenes satelitales, trazabilidad y gestion operativa para hacer mas eficiente y sustentable la produccion de cultivos. Entra en tesis por su acople directo al sistema agroalimentario material.","Precision agriculture and agronomic decision platform.","26.8","14.3","high","12.8","217","112","179"
"bioplastix","Bioplastix","agri intelligence and traceable markets","cluster_4","","medium","7.5","reviewed","https://bio-plastix.com/","official_website","bioplastics production technology company","petrochemical-plastics-to-bio-based-circular-polymers","synthetic biology; precision fermentation; strain engineering","petrochemicals, agribusiness and consumer goods","Startup climate-bio que desarrolla bioplasticos de alto desempeño mediante bacterias ingenierizadas, fermentacion de precision y feedstocks baratos o residuales. Entra en tesis por circular material systems.","Bioplastics production technology company.","36.6","19.3","high","12","217","112","179"
"calice","Calice","agri intelligence and traceable markets","cluster_4","","medium","7.5","reviewed","https://calice.ai/eng/","official_website","agronomic simulation and product placement platform","trial-and-field-friction-to-faster-more-precise-ag-product-deployment","environmental modeling; agronomic simulations; climate and soil analytics","seed, biological input, fertilizer and agrifood companies","Agtech que modela interacciones entre genética, ambiente y manejo para ejecutar millones de ensayos virtuales y ubicar mejor semillas, biológicos e insumos. Entra en tesis por precision agriculture and resource intelligence.","Agronomic simulation and product-placement platform.","32.9","21.6","high","12","217","112","179"
"circclo","CIRCCLO","agri intelligence and traceable markets","cluster_4","AR","medium","8","seeded","https://circclo.com","candidate_website_from_user_csv","circular economy waste management platform","linear-waste-systems-to-circular-resource-management","waste management platform; recycling workflows","circular economy and waste management","Startup climate-tech que desarrolla una plataforma de economia circular para gestion de residuos y reciclaje. Entra en tesis por climate, energy and resource systems.","Circular economy platform for waste and recycling.","38.2","20.6","high","12.4","217","112","179"
"courageous_land","Courageous Land","agri intelligence and traceable markets","cluster_4","BR","medium","8","seeded","https://courageousland.com","candidate_website_from_user_csv","reforestation and regenerative agroforestry","degraded-land-use-to-regenerative-agroforestry","reforestation; agroforestry systems","land restoration and agriculture","Startup agtech orientada a reforestacion y sistemas agroforestales regenerativos. Entra en tesis por climate, energy and resource systems.","Reforestation and regenerative agroforestry systems.","61.4","53.1","high","12.4","217","112","179"
"deepagro","DeepAgro","agri intelligence and traceable markets","cluster_4","AR","high","9","seeded","https://www.deepagro.com/","official_website","precision agriculture software","input-intensive-to-precision-application","data platforms; agronomic intelligence; computer vision","agriculture","DeepAgro applies AI to agriculture for precision spraying, crop monitoring and more efficient use of agrochemicals. Entra en tesis por precision agriculture and resource intelligence.","DeepAgro applies AI to agriculture for precision spraying, crop monitoring and more efficient use of agrochemicals.","22.2","9.7","medium","13.2","217","112","179"
"dymaxion_labs","Dymaxion Labs","agri intelligence and traceable markets","cluster_4","AR","medium","8","reviewed","https://dymaxionlabs.com/","official_website","agronomic AI and field intelligence","manual-fragmented-agronomic-processes-to-data-driven-field-and-regional-decisions","AI; data science; computer vision; agronomic analytics","agriculture and agribusiness","Startup agtech que usa IA, ciencia de datos y vision computacional para escalar procesos agronomicos, ensayos de campo y decisiones regionales en agricultura. Entra en tesis por precision agriculture and resource intelligence.","AI and data science for agronomic operations.","32.8","25.6","high","12.4","217","112","179"
"eiwa","Eiwa","agri intelligence and traceable markets","cluster_4","","medium","8","reviewed","https://eiwa.ag/en/about-us/","official_website","agronomic data intelligence platform","input-intensive-to-precision-application","geospatial analytics; agronomic data infrastructure; field experimentation workflows","agriculture","Plataforma agtech para integrar, estandarizar y analizar datos agronomicos a escala en investigacion, desarrollo de mercado y produccion. Entra en tesis por precision agriculture and resource intelligence.","Agronomic data intelligence platform.","42.5","33.1","high","12.4","217","112","179"
"kilimo","Kilimo","agri intelligence and traceable markets","cluster_4","AR","high","9","seeded","https://kilimo.com/en/about-us/","official_website","climate ag platform","water-stress-to-efficient-irrigation","data platform; agronomy; climate measurement","agriculture and watershed management","Kilimo is a water-focused ag and climate platform that links companies and farmers to improve irrigation efficiency and watershed outcomes. Entra en tesis por precision agriculture and resource intelligence.","Kilimo is a water-focused ag and climate platform that links companies and farmers to improve irrigation efficiency and watershed outcomes.","44.2","40.3","high","13.2","217","112","179"
"satellites_on_fire","Satellites on Fire","agri intelligence and traceable markets","cluster_4","AR","medium","7.5","reviewed","https://www.satellitesonfire.com/en","official_website","real-time wildfire detection and monitoring","late-disaster-response-to-early-wildfire-prevention","satellites; thermal and optical cameras; AI fire detection","wildfire prevention and land protection","Plataforma de deteccion temprana y monitoreo inteligente de incendios que combina satelites, camaras y modelos de IA. Entra claramente por prevencion de incendios, proteccion territorial y gestion de riesgo planetario.","Real-time wildfire detection and monitoring.","23.2","13.2","high","12","217","112","179"
"seedmatriz","SeedMatriz","agri intelligence and traceable markets","cluster_4","AR","high","8.5","reviewed","https://seedmatriz.com/en/","official_website","seed encapsulation and crop performance technology","uneven-low-performance-seed-systems-to-more-uniform-protected-and-productive-seeds","seed encapsulation; agronomy data; seed quality analytics","agriculture and seeds","Startup agtech que desarrolla tecnologia de encapsulacion de semillas y agronomia en tiempo real para mejorar uniformidad, nutricion, proteccion y rendimiento con menor impacto ambiental. Entra en tesis por ag biologicals and crop resilience.","Seed encapsulation and agronomy platform.","32.6","22.3","high","12.8","217","112","179"
"silohub","Silohub","agri intelligence and traceable markets","cluster_4","","medium","7","reviewed","https://www.descubre.vc/silohub","secondary_public_profile","agtech grain operations infrastructure","fragmented-grain-origination-to-digital-coordination","agribusiness software; CRM; ERP integration; payments","grain companies, ag retailers and producers","AgTech argentina que digitaliza la ultima milla del negocio de granos para acopios, distribuidores y productores. Entra en tesis por precision agriculture and resource intelligence.","Grain operations and ag-retail platform.","39.5","33.2","high","11.6","217","112","179"
"sima","Sima","agri intelligence and traceable markets","cluster_4","","medium","8","reviewed","https://sima.ag/","official_website","precision agriculture software","input-intensive-to-precision-application","field monitoring; agronomic intelligence; geolocated crop data","agriculture","Plataforma de agricultura inteligente para monitoreo de cultivos, geolocalizacion de datos y generacion de ordenes de trabajo en campo. Entra en tesis por precision agriculture and resource intelligence.","Plataforma agtech para monitoreo de cultivos y decisiones agronomicas.","22.2","6.8","medium","12.4","217","112","179"
"splight","Splight","agri intelligence and traceable markets","cluster_4","US/AR","high","8.5","reviewed","https://content.splight-ai.com/blog/ai-powered-grids-the-future-of-efficient-renewable-energy","official_website","AI for renewable grid optimization","congested-fossil-dependent-grids-to-better-renewable-integration","AI; DERMS; renewable energy forecasting; grid optimization","electricity grids and renewable energy","Startup climate-tech que usa IA para optimizar redes electricas e integracion de energias renovables. Entra en tesis por climate, energy and resource systems.","AI for grid optimization and renewable energy integration.","41.2","35.9","high","12.8","217","112","179"
"sylvarum","Sylvarum","agri intelligence and traceable markets","cluster_4","AR","medium","8","seeded","https://sylvarum.com","candidate_website_from_user_csv","electrostimulation for plant productivity","lower-plant-productivity-to-metabolic-optimization","electrostimulation; plant metabolism optimization","agriculture","Startup agtech que usa electroestimulacion en plantas para optimizar metabolismo y productividad. Entra en tesis por ag biologicals and crop resilience.","Electrostimulation in plants to optimize metabolism and productivity.","42.3","30","high","12.4","217","112","179"
"unibaio","Unibaio","agri intelligence and traceable markets","cluster_4","AR","high","8.5","reviewed","https://sosv.com/company/unibaio/","official_company_profile","natural microparticles for agro-input performance","high-runoff-agrochemicals-to-more-efficient-biological-and-chemical-input-delivery","natural polymers; microparticles; crop input delivery","agriculture","Startup agtech que desarrolla micropartículas naturales para mejorar el desempeño de agroinsumos y reducir dosis de químicos hasta en 80%. Entra en tesis por ag biologicals and crop resilience.","Natural microparticles that make agrochemicals and biologicals more efficient.","38.9","31.3","high","12.8","217","112","179"
"wiagro","Wiagro","agri intelligence and traceable markets","cluster_4","AR","medium","8","reviewed","https://www.wiagro.com/","official_website","post-harvest grain monitoring and traceability","post-harvest-loss-and-low-visibility-to-real-time-grain-monitoring","sensors; satellite connectivity; predictive models; traceability platform; blockchain","agriculture and grain supply chains","Startup agtech que monitorea granos almacenados y silobolsas con sensores, conectividad satelital, modelos predictivos y trazabilidad digital para evitar perdidas postcosecha. Entra en tesis por precision agriculture and resource intelligence.","Post-harvest grain monitoring and traceability platform.","35.2","24.2","high","12.4","217","112","179"
"zoomagri","ZoomAgri","agri intelligence and traceable markets","cluster_4","AR/ES","high","8.5","reviewed","https://zoomagri.com/en/home/","official_website","agri commodity inspection intelligence","manual-subjective-inspection-to-digital-objective-agri-certification","computer vision; machine learning; digital inspection and certification","agri commodities and food supply chains","Startup agtech que digitaliza inspeccion, testeo y certificacion de commodities agricolas y alimentos mediante computer vision y machine learning. Entra en tesis por precision agriculture and resource intelligence.","Computer-vision inspection and certification for agri commodities and food.","33.3","27.2","high","12.8","217","112","179"
"agree","Agree","climate and resource intelligence platforms","cluster_7","","fragile","6","seeded","https://theyieldlablatam.com/companies/agree/","official_portfolio_profile","agri-food chain traceability and market infrastructure","fragmented-agri-food-chains-to-digital-traceable-coordination","B2B marketplace; traceability; sustainability workflows","agri-food chains","Plataforma B2B para cadenas agroalimentarias con foco en trazabilidad, sostenibilidad y coordinación comercial de granos, oleaginosas, frutas y verduras. Entra en tesis por su fuerte acople a cadenas materiales agroalimentarias.","Agri-food chain traceability and market infrastructure.","19.1","9.3","medium","10.8","255","112","67"
"agroforte","Agroforte","climate and resource intelligence platforms","cluster_7","BR","medium","8","seeded","https://theyieldlablatam.com/companies/agroforte/","official_portfolio_profile","animal production financial infrastructure","capital-constrained-livestock-producers-to-better-infrastructure-and-welfare","digital bank; credit risk; production data","animal protein supply chains","Infraestructura financiera digital para pequeños y medianos productores de aves, cerdos y lácteos. La dejamos adentro por su acople directo con sistemas productivos animales, infraestructura rural y bienestar animal, aunque es un caso de borde más discutible que el núcleo biotech.","Animal production financial infrastructure.","20.4","7.7","medium","12.4","255","112","67"
"agrotoken","Agrotoken","climate and resource intelligence platforms","cluster_7","","high","8.5","reviewed","https://landing.test.agrotoken.io/en/home","official_website","agricultural asset and traceability infrastructure","illiquid-and-opaque-resource-markets-to-traceable-financeable-material-assets","blockchain infrastructure; tokenization; traceability; collateral management","agribusiness, food, energy and mining supply chains","Infraestructura para tokenizar granos y otros activos del agro, habilitando pagos, financiamiento, colateral y trazabilidad sobre activos materiales reales. Entra en tesis por acople fuerte a cadenas agro-materiales y capa de trazabilidad/sustentabilidad.","Real-world asset and traceability infrastructure for agribusiness.","23","14.2","high","12.8","255","112","67"
"alkemio","Alkemio","climate and resource intelligence platforms","cluster_7","NL/AR","medium","8","reviewed","https://alkemio.tech/","official_website","modular sustainable rare earth refining","fragile-geopolitical-and-polluting-refining-to-scalable-cleaner-critical-materials-processing","high-purity separation platform; modular refining; advanced separation chemistry","rare earths, critical materials and clean technologies","Startup de critical materials que desarrolla una plataforma modular, limpia y adaptable para separar y refinar tierras raras con menor CAPEX, menor huella y menor dependencia geopolitica. Entra en tesis por transicion material y refinado sostenible de insumos criticos.","Modular sustainable rare earth refining platform.","13.9","5.1","medium","12.4","255","112","67"
"arqlite","Arqlite","climate and resource intelligence platforms","cluster_7","","medium","7.5","reviewed","https://curbwaste.com/company-profiles-network/arqlite","secondary_public_profile","recycled plastic materials company","waste-plastic-to-low-carbon-industrial-materials","plastic recycling technology; low-carbon materials; circular manufacturing","construction, landscaping and manufacturing","Empresa de materiales circulares que transforma plasticos dificiles de reciclar en agregados livianos y otros materiales de bajo carbono para construccion y manufactura. Entra en tesis por circular material systems.","Circular materials company from plastic waste.","31.4","21.3","high","12","255","112","67"
"biometallum","BioMetallum","climate and resource intelligence platforms","cluster_7","AR","medium","8","reviewed","https://bio-metallum.com/","official_website","biomining and direct lithium extraction","chemical-intensive-lithium-extraction-to-cleaner-biological-critical-minerals-recovery","biomining; engineered microorganisms; synthetic biology; AI-driven exploration","lithium, mining and critical materials","Startup argentina de biomineria que usa microorganismos, biologia sintetica y exploracion asistida por IA para extraer litio y otros metales con menos agua, menos quimicos y menor impacto ambiental. Entra en tesis por su rol claro en transicion material y recuperacion de recursos.","Biomining and direct lithium extraction company.","16.2","7.6","medium","12.4","255","112","67"
"bioplaster_research_inc","BioPlaster Research Inc","climate and resource intelligence platforms","cluster_7","","medium","7.5","reviewed","https://www.bioplaster-research.com/english/about-us","official_website","seaweed biomaterials company","waste-biomass-and-petro-plastics-to-compostable-regenerative-packaging","biorefinery; biomaterials engineering; compostable packaging","packaging, retail and protective materials","Empresa de biomateriales que transforma sargazo y otras biomasas marinas en empaques compostables, espumas y peliculas biodegradables. Entra en tesis por circular material systems.","Seaweed biomaterials and compostable packaging company.","25.6","19.4","high","12","255","112","67"
"branch_energy","Branch Energy","climate and resource intelligence platforms","cluster_7","US","medium","8","reviewed","https://www.linkedin.com/company/branch-energy","official_public_profile","clean energy and intelligent energy management platform","high-emission-expensive-power-to-cleaner-more-resilient-energy-use","renewable electricity; batteries; data analytics; smart home infrastructure","clean energy, distributed power and energy resilience","Startup climatica que combina electricidad renovable, baterias onsite y analitica de datos para bajar costos energeticos, aumentar resiliencia y reducir huella de carbono. Entra en tesis por su contribucion directa a transicion energetica y limites planetarios.","Clean energy and intelligent energy management platform.","21.8","13.7","high","12.4","255","112","67"
"break_pet","BreakPET","climate and resource intelligence platforms","cluster_7","","medium","7.5","seeded","https://www.gridexponential.com/portfolio","official_portfolio_profile","enzymatic plastic circularity","linear-petrochemical-plastics-to-circular-material-reuse","engineered enzymes; PET recycling; industrial biotech","materials and circular packaging","Startup de circularidad de materiales que recicla PET con enzimas ingenierizadas. Entra en tesis por biobased chemistry and advanced materials.","Enzymatic PET recycling platform.","17.7","2.4","low","12","255","112","67"
"cargo_sapiens","Cargo Sapiens","climate and resource intelligence platforms","cluster_7","BR","medium","8","seeded","https://cargosapiens.com","candidate_website_from_user_csv","logistics optimization platform","inefficient-freight-systems-to-better-material-flow-coordination","logistics optimization software; freight intelligence","transport and supply chains","Startup de logistica que optimiza transporte de carga. Se mantiene adentro de forma provisoria por su relacion con flujos materiales y resource systems.","Freight transport optimization platform.","18.5","14.7","high","12.4","255","112","67"
"cryosmetics","Cryosmetics","climate and resource intelligence platforms","cluster_7","","medium","7.5","seeded","https://www.gridexponential.com/portfolio","official_portfolio_profile","microbiome-positive skincare","synthetic-personal-care-to-biobased-microbiome-compatible-products","natural skincare biotech; skin microbiome formulations","personal care","Startup de personal care biobasado con productos naturales que impactan positivamente el microbioma de la piel. Entra en tesis por biobased chemistry and advanced materials.","Natural microbiome-positive skincare.","17.1","3.4","low","12","255","112","67"
"cyanomin","CyanoMin","climate and resource intelligence platforms","cluster_7","AR","medium","8","seeded","https://www.gridexponential.com/portfolio","official_portfolio_profile","brine bioremediation and mineral recovery","polluting-brine-management-to-biological-resource-recovery","bioremediation; mineral recovery; extremophile process biotech","mining, water and resource recovery","Startup de bioremediacion que trata salmueras hipersalinas y recupera minerales. Entra en tesis por climate, energy and resource systems.","Bioremediation and mineral recovery platform.","52.6","52.6","high","12.4","255","112","67"
