"Source","Target","Type","Weight","SameTheme"
"microterra","syocin_bio","Undirected","0.3333","no"
"agrojusto","syocin_bio","Undirected","0.3333","no"
"geoprot","vexxel_biotech","Undirected","0.3333","yes"
"soygreen","vexxel_biotech","Undirected","0.3333","yes"
"laurus_ag_tech","vexxel_biotech","Undirected","0.3333","no"
"tech","zoomagri","Undirected","0.487","yes"
"agrojusto","tech","Undirected","0.46","yes"
"sylvarum","tech","Undirected","0.416","yes"
"dymaxion_labs","tech","Undirected","0.3603","yes"
"seedmatriz","tech","Undirected","0.3572","yes"
"agroforte","tech","Undirected","0.3513","no"
"agrired","calice","Undirected","0.465","yes"
"agrired","splight","Undirected","0.445","yes"
"agrired","siloreal","Undirected","0.415","no"
"agrired","agrotoken","Undirected","0.4064","no"
"agrired","kilimo","Undirected","0.388","yes"
"agrojusto","zoomagri","Undirected","0.46","yes"
"agree","agrojusto","Undirected","0.3769","no"
"agrojusto","satellites_on_fire","Undirected","0.3496","yes"
"agrojusto","tracestory","Undirected","0.3475","no"
"agroforte","agrojusto","Undirected","0.3375","no"
"auravant","wiagro","Undirected","0.5043","yes"
"auravant","silohub","Undirected","0.46","yes"
"auravant","sima","Undirected","0.4189","yes"
"auravant","eiwa","Undirected","0.4167","yes"
"auravant","circclo","Undirected","0.3945","yes"
"auravant","satellogic","Undirected","0.3926","no"
"bioplastix","tracestory","Undirected","0.4933","no"
"bioplastix","fungi_life","Undirected","0.4582","no"
"bioplastix","splight","Undirected","0.445","yes"
"bioplastix","break_pet","Undirected","0.4245","no"
"bioplastix","circclo","Undirected","0.4206","yes"
"bioplastix","siloreal","Undirected","0.388","no"
"agroforte","calice","Undirected","0.4767","no"
"agree","calice","Undirected","0.4767","no"
"agrotoken","calice","Undirected","0.4767","no"
"calice","tracestory","Undirected","0.4314","no"
"calice","satellogic","Undirected","0.4133","no"
"circclo","satellogic","Undirected","0.5563","no"
"circclo","siloreal","Undirected","0.54","no"
"circclo","innova_space","Undirected","0.54","no"
"circclo","kilimo","Undirected","0.54","yes"
"circclo","poas_bioenergy","Undirected","0.5329","no"
"circclo","splight","Undirected","0.4927","yes"
"courageous_land","poas_bioenergy","Undirected","0.448","no"
"courageous_land","sylvarum","Undirected","0.3897","yes"
"courageous_land","microscopia","Undirected","0.372","no"
"courageous_land","ergo_bioscience","Undirected","0.372","no"
"deepagro","eiwa","Undirected","0.46","yes"
"deepagro","sima","Undirected","0.46","yes"
"auravant","deepagro","Undirected","0.392","yes"
"deepagro","wiagro","Undirected","0.365","yes"
"deepagro","silohub","Undirected","0.365","yes"
"deepagro","unibaio","Undirected","0.365","yes"
"dymaxion_labs","sylvarum","Undirected","0.4944","yes"
"dymaxion_labs","seedmatriz","Undirected","0.4821","yes"
"dymaxion_labs","satellites_on_fire","Undirected","0.46","yes"
"dymaxion_labs","zoomagri","Undirected","0.385","yes"
"auravant","dymaxion_labs","Undirected","0.381","yes"
"eiwa","sima","Undirected","0.491","yes"
"eiwa","silohub","Undirected","0.396","yes"
"eiwa","unibaio","Undirected","0.3945","yes"
"eiwa","wiagro","Undirected","0.3898","yes"
"kilimo","satellogic","Undirected","0.5548","no"
"kilimo","siloreal","Undirected","0.54","no"
"innova_space","kilimo","Undirected","0.54","no"
"agree","kilimo","Undirected","0.464","no"
"kilimo","poas_bioenergy","Undirected","0.464","no"
"satellites_on_fire","seedmatriz","Undirected","0.4738","yes"
"satellites_on_fire","sylvarum","Undirected","0.46","yes"
"auravant","satellites_on_fire","Undirected","0.3622","yes"
"seedmatriz","sylvarum","Undirected","0.4895","yes"
"seedmatriz","unibaio","Undirected","0.4108","yes"
"courageous_land","seedmatriz","Undirected","0.3629","yes"
"silohub","wiagro","Undirected","0.5139","yes"
"silohub","sylvarum","Undirected","0.3747","yes"
"silohub","siloreal","Undirected","0.365","no"
"satellogic","silohub","Undirected","0.365","no"
"sima","wiagro","Undirected","0.365","yes"
"sima","unibaio","Undirected","0.365","yes"
"silohub","sima","Undirected","0.365","yes"
"siloreal","splight","Undirected","0.445","no"
"satellogic","splight","Undirected","0.445","no"
"kilimo","splight","Undirected","0.445","yes"
"innova_space","splight","Undirected","0.445","no"
"sylvarum","unibaio","Undirected","0.3721","yes"
"innova_space","wiagro","Undirected","0.3791","no"
"satellogic","wiagro","Undirected","0.365","no"
"sylvarum","zoomagri","Undirected","0.3678","yes"
"seedmatriz","zoomagri","Undirected","0.3555","yes"
"agree","agrotoken","Undirected","0.5939","yes"
"agree","tracestory","Undirected","0.5861","yes"
"agree","agroforte","Undirected","0.54","yes"
"agree","innova_space","Undirected","0.464","yes"
"agroforte","agrotoken","Undirected","0.5529","yes"
"agroforte","innova_space","Undirected","0.5157","yes"
"agroforte","tracestory","Undirected","0.5062","yes"
"agroforte","satellogic","Undirected","0.4831","yes"
"agroforte","siloreal","Undirected","0.4769","yes"
"agrotoken","siloreal","Undirected","0.5988","yes"
"agrotoken","tracestory","Undirected","0.5357","yes"
"agrotoken","kilimo","Undirected","0.464","no"
"alkemio","nideport","Undirected","0.4926","yes"
"alkemio","notfossil","Undirected","0.4895","yes"
"alkemio","protiva","Undirected","0.4848","yes"
"alkemio","branch_energy","Undirected","0.4807","yes"
"alkemio","biometallum","Undirected","0.48","yes"
"alkemio","solfium","Undirected","0.46","yes"
"arqlite","einsted","Undirected","0.5859","yes"
"arqlite","break_pet","Undirected","0.5765","yes"
"arqlite","monte_caldera","Undirected","0.5577","yes"
"arqlite","tracestory","Undirected","0.4133","yes"
"apexzymes","arqlite","Undirected","0.4128","no"
"arqlite","nideport","Undirected","0.4015","yes"
"biometallum","logshare","Undirected","0.4705","yes"
"biometallum","branch_energy","Undirected","0.46","yes"
"biometallum","notfossil","Undirected","0.46","yes"
"biometallum","solfium","Undirected","0.46","yes"
"biometallum","protiva","Undirected","0.46","yes"
"bioplaster_research_inc","huiro","Undirected","0.6","yes"
"bioplaster_research_inc","poas_bioenergy","Undirected","0.524","yes"
"bioplaster_research_inc","mycorium_biotech","Undirected","0.4038","yes"
"bioplaster_research_inc","protiva","Undirected","0.3945","yes"
"bioplaster_research_inc","eolo_pharma","Undirected","0.372","no"
"bioplaster_research_inc","dharma_bioscience","Undirected","0.372","no"
"branch_energy","gigablue","Undirected","0.5013","yes"
"branch_energy","nideport","Undirected","0.491","yes"
"branch_energy","logshare","Undirected","0.4818","yes"
"branch_energy","protiva","Undirected","0.46","yes"
"branch_energy","mycorium_biotech","Undirected","0.46","yes"
"break_pet","einsted","Undirected","0.571","yes"
"break_pet","monte_caldera","Undirected","0.563","yes"
"apexzymes","break_pet","Undirected","0.4245","no"
"break_pet","tracestory","Undirected","0.4133","yes"
"cargo_sapiens","logshare","Undirected","0.5348","yes"
"cargo_sapiens","mycorium_biotech","Undirected","0.46","yes"
"alkemio","cargo_sapiens","Undirected","0.46","yes"
"cargo_sapiens","protiva","Undirected","0.46","yes"
"cargo_sapiens","notfossil","Undirected","0.46","yes"
"biometallum","cargo_sapiens","Undirected","0.46","yes"
"cryosmetics","mycorium_biotech","Undirected","0.46","yes"
"branch_energy","cryosmetics","Undirected","0.46","yes"
"cargo_sapiens","cryosmetics","Undirected","0.46","yes"
"cryosmetics","solfium","Undirected","0.46","yes"
"alkemio","cryosmetics","Undirected","0.46","yes"
"cryosmetics","notfossil","Undirected","0.46","yes"
"cyanomin","notfossil","Undirected","0.5117","yes"
"cyanomin","nideport","Undirected","0.46","yes"
"branch_energy","cyanomin","Undirected","0.46","yes"
"cargo_sapiens","cyanomin","Undirected","0.46","yes"
"cyanomin","solfium","Undirected","0.46","yes"
"alkemio","cyanomin","Undirected","0.46","yes"
"einsted","monte_caldera","Undirected","0.5563","yes"
"apexzymes","einsted","Undirected","0.4339","no"
"einsted","tracestory","Undirected","0.4133","yes"
"einsted","nideport","Undirected","0.396","yes"
"gigablue","nideport","Undirected","0.491","yes"
"gigablue","logshare","Undirected","0.4707","yes"
"biometallum","gigablue","Undirected","0.46","yes"
"cargo_sapiens","gigablue","Undirected","0.46","yes"
"gigablue","protiva","Undirected","0.46","yes"
"huiro","poas_bioenergy","Undirected","0.5461","yes"
"huiro","nideport","Undirected","0.4303","yes"
"gigablue","huiro","Undirected","0.4063","yes"
"epiliquid","huiro","Undirected","0.3938","no"
"huiro","notfossil","Undirected","0.3932","yes"
"innova_space","satellogic","Undirected","0.5944","yes"
"innova_space","siloreal","Undirected","0.54","yes"
"agroforte","kigui","Undirected","0.4126","yes"
"kigui","logshare","Undirected","0.3994","yes"
"cargo_sapiens","kigui","Undirected","0.3884","yes"
"agree","kigui","Undirected","0.384","yes"
"agrotoken","kigui","Undirected","0.384","yes"
"branch_energy","kigui","Undirected","0.3779","yes"
"logshare","mycorium_biotech","Undirected","0.46","yes"
"logshare","protiva","Undirected","0.46","yes"
"monte_caldera","tracestory","Undirected","0.4133","yes"
"apexzymes","monte_caldera","Undirected","0.4057","no"
"monte_caldera","solfium","Undirected","0.3994","yes"
"mycorium_biotech","protiva","Undirected","0.4988","yes"
"mycorium_biotech","solfium","Undirected","0.46","yes"
"cyanomin","mycorium_biotech","Undirected","0.46","yes"
"biometallum","mycorium_biotech","Undirected","0.46","yes"
"nideport","notfossil","Undirected","0.5164","yes"
"nideport","protiva","Undirected","0.5013","yes"
"circclo","nideport","Undirected","0.489","no"
"notfossil","protiva","Undirected","0.4965","yes"
"mycorium_biotech","notfossil","Undirected","0.46","yes"
"gigablue","notfossil","Undirected","0.46","yes"
"poas_bioenergy","siloreal","Undirected","0.4878","yes"
"poas_bioenergy","satellogic","Undirected","0.464","yes"
"satellogic","siloreal","Undirected","0.54","yes"
"agree","satellogic","Undirected","0.464","yes"
"logshare","solfium","Undirected","0.46","yes"
"nideport","solfium","Undirected","0.46","yes"
"protiva","solfium","Undirected","0.46","yes"
"notfossil","solfium","Undirected","0.46","yes"
"fungi_life","tracestory","Undirected","0.5567","no"
"siloreal","tracestory","Undirected","0.4415","yes"
"aplife_biotech","galtec","Undirected","0.5576","no"
"aplife_biotech","embryoxite","Undirected","0.5544","yes"
"aplife_biotech","oncoliq","Undirected","0.5526","yes"
"aplife_biotech","hiamet_s_a","Undirected","0.5526","yes"
"aplife_biotech","untech","Undirected","0.5526","no"
"aplife_biotech","multiplai_health","Undirected","0.5482","no"
"arcomed","mzp","Undirected","0.5717","yes"
"arcomed","avatar_medtech","Undirected","0.5388","yes"
"arcomed","imvalv","Undirected","0.5388","yes"
"arcomed","bleps_vision","Undirected","0.5368","yes"
"arcomed","biotalife","Undirected","0.5363","yes"
"arcomed","exomas","Undirected","0.5359","no"
"avatar_medtech","imvalv","Undirected","0.7267","yes"
"avatar_medtech","biotalife","Undirected","0.6529","yes"
"avatar_medtech","bleps_vision","Undirected","0.6086","yes"
"avatar_medtech","hiamet_s_a","Undirected","0.6","yes"
"avatar_medtech","enteria","Undirected","0.582","yes"
"apasomics","avatar_medtech","Undirected","0.5677","no"
"bioseek","gisens_biotech","Undirected","0.52","yes"
"bioseek","libera","Undirected","0.52","no"
"bioseek","epiliquid","Undirected","0.425","yes"
"bioseek","dogma_biotech","Undirected","0.3933","no"
"bioseek","exomas","Undirected","0.3933","no"
"bioseek","imvalv","Undirected","0.3933","yes"
"biotalife","imvalv","Undirected","0.6529","yes"
"biotalife","hiamet_s_a","Undirected","0.6517","yes"
"biotalife","enteria","Undirected","0.6086","yes"
"biotalife","bleps_vision","Undirected","0.5853","yes"
"biosynaptica","biotalife","Undirected","0.5853","no"
"bitgenia","onco_precision","Undirected","0.5394","no"
"ayuvant","bitgenia","Undirected","0.52","no"
"bitgenia","outpost","Undirected","0.52","yes"
"bitgenia","viewmind","Undirected","0.52","yes"
"bitgenia","embryoxite","Undirected","0.52","yes"
"bitgenia","nanotransfer","Undirected","0.52","no"
"bleps_vision","imvalv","Undirected","0.6086","yes"
"bleps_vision","mzp","Undirected","0.58","yes"
"bleps_vision","enteria","Undirected","0.5643","yes"
"bleps_vision","ubique_bio","Undirected","0.5613","yes"
"caspr_biotech","scitherm_therapeutics","Undirected","0.6581","no"
"caspr_biotech","pregen","Undirected","0.6477","yes"
"caspr_biotech","fecundis","Undirected","0.631","no"
"caspr_biotech","eywa_biotech","Undirected","0.6","no"
"caspr_biotech","nanojump_bio","Undirected","0.6","yes"
"caspr_biotech","limay_biosciences","Undirected","0.564","yes"
"biosynaptica","chemtest","Undirected","0.582","no"
"chemtest","exomas","Undirected","0.5764","no"
"chemtest","enteria","Undirected","0.5588","yes"
"chemtest","qumir_nano","Undirected","0.5588","no"
"chemtest","mzp","Undirected","0.5565","yes"
"chemtest","imvalv","Undirected","0.5565","yes"
"embryoxite","oncoliq","Undirected","0.6578","yes"
"embryoxite","viewmind","Undirected","0.5975","yes"
"embryoxite","hiamet_s_a","Undirected","0.582","yes"
"biocle","embryoxite","Undirected","0.5764","no"
"embryoxite","nanoprox","Undirected","0.5677","no"
"cellrep","embryoxite","Undirected","0.5588","no"
"enteria","imvalv","Undirected","0.582","yes"
"apasomics","enteria","Undirected","0.5717","no"
"enteria","single_strand_biotech","Undirected","0.5643","no"
"biosynaptica","enteria","Undirected","0.5643","no"
"epiliquid","oncoliq","Undirected","0.58","yes"
"enzyva","epiliquid","Undirected","0.4784","no"
"epiliquid","untech","Undirected","0.4693","no"
"epiliquid","galtec","Undirected","0.4693","no"
"epiliquid","hiamet_s_a","Undirected","0.4693","yes"
"epiliquid","nanogrow_biotech","Undirected","0.4576","no"
"gisens_biotech","libera","Undirected","0.52","no"
"gisens_biotech","nanojump_bio","Undirected","0.4629","yes"
"gisens_biotech","ubique_bio","Undirected","0.441","yes"
"apasomics","gisens_biotech","Undirected","0.4347","no"
"gisens_biotech","mzp","Undirected","0.4347","yes"
"hiamet_s_a","imvalv","Undirected","0.6","yes"
"hiamet_s_a","viewmind","Undirected","0.5929","yes"
"alytix","hiamet_s_a","Undirected","0.582","no"
"biosynaptica","imvalv","Undirected","0.6086","no"
"laurus","limay_biosciences","Undirected","0.551","no"
"limay_biosciences","nanojump_bio","Undirected","0.5376","yes"
"limay_biosciences","zev_biotech","Undirected","0.5307","yes"
"limay_biosciences","pregen","Undirected","0.5288","yes"
"cellargen_biotech","limay_biosciences","Undirected","0.524","no"
"microgenesis","new_organs_biotech","Undirected","0.5407","no"
"chemtest","microgenesis","Undirected","0.5394","yes"
"microgenesis","mzp","Undirected","0.5341","yes"
"biotalife","microgenesis","Undirected","0.52","yes"
"avatar_medtech","microgenesis","Undirected","0.52","yes"
"biosynaptica","microgenesis","Undirected","0.52","no"
"embryoxite","microscopia","Undirected","0.4727","yes"
"hiamet_s_a","microscopia","Undirected","0.4693","yes"
"microscopia","oncoliq","Undirected","0.4693","yes"
"microscopia","viewmind","Undirected","0.4545","yes"
"aplife_biotech","microscopia","Undirected","0.4532","yes"
"alytix","microscopia","Undirected","0.4508","no"
"imvalv","mzp","Undirected","0.5643","yes"
"avatar_medtech","mzp","Undirected","0.5643","yes"
"biotalife","mzp","Undirected","0.5576","yes"
"eywa_biotech","nanojump_bio","Undirected","0.6","no"
"nanojump_bio","scitherm_therapeutics","Undirected","0.6","no"
"fecundis","nanojump_bio","Undirected","0.6","no"
"nanojump_bio","pregen","Undirected","0.6","yes"
"nanojump_bio","zev_biotech","Undirected","0.5493","yes"
"oncoliq","viewmind","Undirected","0.5544","yes"
"oncoliq","spherebio","Undirected","0.547","no"
"galtec","oncoliq","Undirected","0.5438","no"
"alytix","outpost","Undirected","0.5458","no"
"outpost","spherebio","Undirected","0.5438","no"
"nanogrow_biotech","outpost","Undirected","0.52","no"
"nanoprox","outpost","Undirected","0.52","no"
"oncoliq","outpost","Undirected","0.52","yes"
"nanotransfer","outpost","Undirected","0.52","no"
"fecundis","pregen","Undirected","0.6258","no"
"pregen","scitherm_therapeutics","Undirected","0.6163","no"
"eywa_biotech","pregen","Undirected","0.6","no"
"single_strand_biotech","ubique_bio","Undirected","0.5613","no"
"mzp","ubique_bio","Undirected","0.5414","yes"
"dogma_biotech","ubique_bio","Undirected","0.52","no"
"biotalife","ubique_bio","Undirected","0.52","yes"
"apasomics","ubique_bio","Undirected","0.52","no"
"biocle","viewmind","Undirected","0.5526","no"
"cellrep","viewmind","Undirected","0.5458","no"
"aplife_biotech","viewmind","Undirected","0.5438","yes"
"bybug","zev_biotech","Undirected","0.6","no"
"caspr_biotech","zev_biotech","Undirected","0.5415","yes"
"scitherm_therapeutics","zev_biotech","Undirected","0.5271","no"
"cellargen_biotech","zev_biotech","Undirected","0.524","no"
"algaebio","kresko_rnatech","Undirected","0.4663","yes"
"algaebio","nanoingreen","Undirected","0.3933","yes"
"algaebio","future_biome","Undirected","0.3933","yes"
"algaebio","glycox","Undirected","0.35","yes"
"algaebio","circa_therapeutics","Undirected","0.3459","no"
"algaebio","libera","Undirected","0.33","no"
"bioblends","heartbest","Undirected","0.38","yes"
"bioblends","cellva","Undirected","0.38","yes"
"bioblends","food4you","Undirected","0.38","yes"
"bioblends","nat4bio","Undirected","0.2553","yes"
"bioblends","future_biome","Undirected","0.2553","yes"
"bioblends","done_properly","Undirected","0.249","yes"
"cell_farm","fungi_life","Undirected","0.388","yes"
"cell_farm","tracestory","Undirected","0.3844","no"
"cell_farm","laurus_ag_tech","Undirected","0.3698","yes"
"cell_farm","dprotein","Undirected","0.3333","yes"
"cell_farm","nat4bio","Undirected","0.3333","yes"
"cellva","food4you","Undirected","0.4188","yes"
"cellva","heartbest","Undirected","0.38","yes"
"cellva","nanoingreen","Undirected","0.2553","yes"
"cellva","naturannova","Undirected","0.2276","yes"
"cellva","kresko_rnatech","Undirected","0.2226","yes"
"done_properly","nat4bio","Undirected","0.5375","yes"
"done_properly","tomorrow_foods","Undirected","0.5253","yes"
"done_properly","updairy","Undirected","0.5013","yes"
"done_properly","dprotein","Undirected","0.4882","yes"
"done_properly","michroma","Undirected","0.46","yes"
"done_properly","trebe_biotech","Undirected","0.46","yes"
"dprotein","updairy","Undirected","0.5762","yes"
"dprotein","trebe_biotech","Undirected","0.4944","yes"
"dprotein","nat4bio","Undirected","0.46","yes"
"dprotein","tomorrow_foods","Undirected","0.46","yes"
"dprotein","michroma","Undirected","0.46","yes"
"ergo_bioscience","ergo_foods","Undirected","0.7181","yes"
"ergo_bioscience","microscopia","Undirected","0.448","no"
"ergo_bioscience","glycox","Undirected","0.445","yes"
"ergo_bioscience","poas_bioenergy","Undirected","0.41","no"
"ergo_foods","microscopia","Undirected","0.448","no"
"ergo_foods","glycox","Undirected","0.4432","yes"
"ergo_foods","poas_bioenergy","Undirected","0.41","no"
"food4you","heartbest","Undirected","0.4833","yes"
"food4you","nanoingreen","Undirected","0.2377","yes"
"food4you","tomorrow_foods","Undirected","0.2313","yes"
"food4you","kresko_rnatech","Undirected","0.19","yes"
"apexzymes","fungi_life","Undirected","0.464","no"
"agree","fungi_life","Undirected","0.4133","no"
"agroforte","fungi_life","Undirected","0.4133","no"
"agrotoken","fungi_life","Undirected","0.4133","no"
"future_biome","kresko_rnatech","Undirected","0.52","yes"
"future_biome","nanoingreen","Undirected","0.52","yes"
"circa_therapeutics","future_biome","Undirected","0.4106","no"
"future_biome","glycox","Undirected","0.3933","yes"
"future_biome","radbio","Undirected","0.3644","no"
"glycox","radbio","Undirected","0.425","no"
"glycox","kresko_rnatech","Undirected","0.4155","yes"
"glycox","nanoingreen","Undirected","0.4147","yes"
"heartbest","tomorrow_foods","Undirected","0.2226","yes"
"heartbest","naturannova","Undirected","0.21","yes"
"future_biome","heartbest","Undirected","0.19","yes"
"kresko_rnatech","nanoingreen","Undirected","0.52","yes"
"circa_therapeutics","kresko_rnatech","Undirected","0.3933","no"
"ergo_bioscience","kresko_rnatech","Undirected","0.3644","yes"
"laurus_ag_tech","tech","Undirected","0.3506","no"
"laurus_ag_tech","zoomagri","Undirected","0.3496","no"
"laurus_ag_tech","microterra","Undirected","0.3492","yes"
"michroma","nat4bio","Undirected","0.46","yes"
"michroma","tomorrow_foods","Undirected","0.46","yes"
"michroma","trebe_biotech","Undirected","0.46","yes"
"michroma","updairy","Undirected","0.46","yes"
"agroforte","microterra","Undirected","0.388","no"
"fungi_life","microterra","Undirected","0.388","yes"
"agree","microterra","Undirected","0.388","no"
"agrotoken","microterra","Undirected","0.388","no"
"calice","microterra","Undirected","0.35","no"
"ergo_bioscience","nanoingreen","Undirected","0.3989","yes"
"circa_therapeutics","nanoingreen","Undirected","0.3933","no"
"nat4bio","tomorrow_foods","Undirected","0.4944","yes"
"nat4bio","trebe_biotech","Undirected","0.46","yes"
"nat4bio","updairy","Undirected","0.46","yes"
"keclon","naturannova","Undirected","0.2836","no"
"glycox","naturannova","Undirected","0.2829","yes"
"inbioar","naturannova","Undirected","0.2781","no"
"ergo_bioscience","naturannova","Undirected","0.2288","yes"
"ergo_foods","naturannova","Undirected","0.2254","yes"
"tomorrow_foods","trebe_biotech","Undirected","0.46","yes"
"tomorrow_foods","updairy","Undirected","0.46","yes"
"trebe_biotech","updairy","Undirected","0.5164","yes"
"apexzymes","tracestory","Undirected","0.4133","no"
"argentag","neocell","Undirected","0.6","yes"
"argentag","zev_biotech","Undirected","0.505","no"
"argentag","bybug","Undirected","0.505","yes"
"argentag","enzyva","Undirected","0.4824","yes"
"argentag","cellargen_biotech","Undirected","0.4806","yes"
"argentag","laurus","Undirected","0.448","yes"
"bybug","laurus","Undirected","0.5605","yes"
"bybug","cellargen_biotech","Undirected","0.524","yes"
"bybug","enzyva","Undirected","0.524","yes"
"bybug","caspr_biotech","Undirected","0.505","no"
"cellargen_biotech","laurus","Undirected","0.6","yes"
"cellargen_biotech","enzyva","Undirected","0.5043","yes"
"cellargen_biotech","fecundis","Undirected","0.4806","no"
"einsted","elytron_biotech","Undirected","0.365","no"
"arqlite","elytron_biotech","Undirected","0.365","no"
"break_pet","elytron_biotech","Undirected","0.365","no"
"elytron_biotech","monte_caldera","Undirected","0.365","no"
"elytron_biotech","stamm","Undirected","0.3333","yes"
"elytron_biotech","mavios","Undirected","0.3333","yes"
"enzyva","zev_biotech","Undirected","0.524","no"
"enzyva","laurus","Undirected","0.5015","yes"
"enzyva","fecundis","Undirected","0.4824","no"
"apexzymes","keclon","Undirected","0.405","yes"
"keclon","michroma","Undirected","0.3776","no"
"done_properly","keclon","Undirected","0.3547","no"
"keclon","tomorrow_foods","Undirected","0.354","no"
"keclon","mavios","Undirected","0.3521","yes"
"keclon","laurus","Undirected","0.348","yes"
"laurus","zev_biotech","Undirected","0.524","no"
"eywa_biotech","laurus","Undirected","0.4738","no"
"mavios","stamm","Undirected","0.46","yes"
"argentag","mavios","Undirected","0.3615","yes"
"mavios","neocell","Undirected","0.3333","yes"
"apexzymes","mavios","Undirected","0.2938","yes"
"bybug","neocell","Undirected","0.505","yes"
"neocell","zev_biotech","Undirected","0.505","no"
"enzyva","neocell","Undirected","0.4662","yes"
"laurus","neocell","Undirected","0.4648","yes"
"cellargen_biotech","neocell","Undirected","0.448","yes"
"neocell","stamm","Undirected","0.3688","yes"
"keclon","stamm","Undirected","0.3333","yes"
"argentag","stamm","Undirected","0.3333","yes"
"break_pet","stamm","Undirected","0.27","no"
"alytix","biocle","Undirected","0.579","yes"
