"raw_edge_id","source_id","target_id","source_file","relation_type_raw","direction_status","investor_id_candidate","startup_id_candidate","confidence_score","notes"
"manual-spventures-brain-ag","SP Ventures","Brain.ag","https://spventures.com.br/portfolio/","official_portfolio_investment","validated_investor_to_startup","sp_ventures","brain_ag","0.94","SP Ventures official portfolio lists Brain.ag."
"manual-spventures-erural","SP Ventures","Erural","https://spventures.com.br/portfolio/","official_portfolio_investment","validated_investor_to_startup","sp_ventures","erural","0.94","SP Ventures official portfolio lists Erural."
"manual-spventures-bug-agentes-biologicos","SP Ventures","BUG Agentes Biologicos","https://spventures.com.br/portfolio/","official_portfolio_investment","validated_investor_to_startup","sp_ventures","bug_agentes_biologicos","0.94","SP Ventures official portfolio lists Bug; mapped to BUG Agentes Biologicos, not ByBug."
"manual-newtopia-nilus","Newtopia VC","Nilus","https://newtopia.vc/portfolio/","official_portfolio_investment","validated_investor_to_startup","newtopia_vc","nilus","0.94","Newtopia official portfolio lists Nilus."
"manual-yieldlab-um-grau-e-meio","The Yield Lab LATAM","Um Grau e Meio","https://theyieldlablatam.com/companies/um-grau-e-meio/","official_portfolio_investment","validated_investor_to_startup","the_yield_lab_latam","um_grau_e_meio","0.96","The Yield Lab Latam official portfolio lists Um Grau e Meio."
"manual-spventures-sette","SP Ventures","Sette","https://spventures.com.br/portfolio/","official_portfolio_investment","validated_investor_to_startup","sp_ventures","sette","0.96","SP Ventures official portfolio lists Sette."
"manual-spventures-frizata","SP Ventures","Frizata","https://spventures.com.br/portfolio/","official_portfolio_investment","validated_investor_to_startup","sp_ventures","frizata","0.94","SP Ventures official portfolio lists Frizata; public coverage describes SP-led round."
"manual-spventures-speclab","SP Ventures","SpecLab","https://www.spventures.com.br/","official_portfolio_investment","validated_investor_to_startup","sp_ventures","speclab","0.9","SP Ventures legacy portfolio lists SpecLab."
"manual-spventures-horus-aeronaves","SP Ventures","Horus Aeronaves","https://www.lavca.org/sp-ventures-invests-r3m-in-horus-aeronaves-em-portugues/","secondary_profile_investment","validated_investor_to_startup","sp_ventures","horus_aeronaves","0.9","LAVCA reports SP Ventures investment in Horus Aeronaves."
"manual-spventures-magnamed","SP Ventures","Magnamed","https://spventures.com.br/portfolio/","official_portfolio_investment","validated_investor_to_startup","sp_ventures","magnamed","0.94","SP Ventures official portfolio lists Magnamed."
"manual-spventures-agroadvance","SP Ventures","Agroadvance","https://spventures.com.br/portfolio/agroadvance/","official_portfolio_investment","validated_investor_to_startup","sp_ventures","agroadvance","0.94","SP Ventures official portfolio page lists Agroadvance."
"manual-spventures-lupeon","SP Ventures","Lupeon","https://spventures.com.br/portfolio/","official_portfolio_investment","validated_investor_to_startup","sp_ventures","lupeon","0.94","SP Ventures official portfolio lists Lupeon; startup excluded from BIO thesis but retained for capital network."
"manual-spventures-verge-ag","SP Ventures","Verge Ag","https://vergeag.com/blog/post/sp-ventures-invests-in-verge-ag1","official_investment_announcement","validated_investor_to_startup","sp_ventures","verge_ag","0.9","Verge Ag official announcement says SP Ventures joined its investor base."
"manual-spventures-concil","SP Ventures","Concil","https://spventures.com.br/portfolio/","official_portfolio_investment","validated_investor_to_startup","sp_ventures","concil","0.94","SP Ventures official portfolio lists Concil; startup excluded from BIO thesis but retained for capital network."
"manual-spventures-geofusion","SP Ventures","Geofusion","https://spventures.com.br/portfolio/","official_portfolio_investment","validated_investor_to_startup","sp_ventures","geofusion","0.94","SP Ventures official portfolio lists Geofusion; startup excluded from BIO thesis but retained for capital network."
"manual-yieldlab-terramagna","The Yield Lab LATAM","TerraMagna","https://theyieldlablatam.com/es/companies/terramagna/","official_portfolio_investment","validated_investor_to_startup","the_yield_lab_latam","terramagna","0.96","The Yield Lab Latam official portfolio lists TerraMagna."
"manual-yieldlab-seedz","The Yield Lab LATAM","Seedz","https://theyieldlablatam.com/pt-br/companies/seedz/","official_portfolio_investment","validated_investor_to_startup","the_yield_lab_latam","seedz","0.96","The Yield Lab Latam official portfolio lists Seedz."
"manual-kptl-ages","KPTL","AGES","https://www.kptl.com.br/portfolio/ages/","official_portfolio_investment","validated_investor_to_startup","kptl","ages","0.96","KPTL official portfolio profile lists AGES."
"manual-kptl-agrotools","KPTL","AGROTOOLS","https://www.kptl.com.br/portfolio/agrotools/","official_portfolio_investment","validated_investor_to_startup","kptl","agrotools","0.96","KPTL official portfolio profile lists AGROTOOLS."
"manual-kptl-smartbreeder","KPTL","SmartBreeder","https://www.kptl.com.br/portfolio/smartbreeder/","official_portfolio_investment","validated_investor_to_startup","kptl","smartbreeder","0.96","KPTL official portfolio profile lists SmartBreeder."
"manual-kptl-tbit","KPTL","TBIT","https://www.kptl.com.br/portfolio/tbit/","official_portfolio_investment","validated_investor_to_startup","kptl","tbit","0.96","KPTL official portfolio profile lists TBIT."
"manual-kptl-omics","KPTL","OMICS","https://kptl.com.br/portfolio/omics/?lang=en","official_portfolio_investment","validated_investor_to_startup","kptl","omics","0.96","KPTL official portfolio profile lists OMICS."
"manual-chileglobal-agrourbana","ChileGlobal Ventures","Agrourbana","https://chileglobalventures.cl/en/portfolio/agrourbana/","official_portfolio_investment","validated_investor_to_startup","chileglobal_ventures","agrourbana","0.96","ChileGlobal Ventures official portfolio profile lists Agrourbana."
"manual-chileglobal-matchetune","ChileGlobal Ventures","Matchetune","https://chileglobalventures.cl/portafolio/matchetune/","official_portfolio_investment","validated_investor_to_startup","chileglobal_ventures","matchetune","0.96","ChileGlobal Ventures official portfolio profile lists Matchetune."
"manual-zentynel-asclepii","Zentynel","Asclepii","https://zentynel.com/en/portfolio/","official_portfolio_investment","validated_investor_to_startup","zentynel","asclepii","0.96","Zentynel official portfolio page lists Asclepii."
"manual-zentynel-autem-medical","Zentynel","Autem Medical","https://zentynel.com/en/portfolio/","official_portfolio_investment","validated_investor_to_startup","zentynel","autem-medical","0.96","Zentynel official portfolio page lists Autem Medical."
"manual-zentynel-biomakers","Zentynel","Biomakers","https://zentynel.com/en/portfolio/","official_portfolio_investment","validated_investor_to_startup","zentynel","biomakers","0.96","Zentynel official portfolio page lists Biomakers."
"manual-zentynel-harmony","Zentynel","HARMONY","https://zentynel.com/en/portfolio/","official_portfolio_investment","validated_investor_to_startup","zentynel","harmony-biosciences","0.96","Zentynel official portfolio page lists HARMONY."
"manual-zentynel-hexembio","Zentynel","HeXemBio","https://zentynel.com/en/portfolio/","official_portfolio_investment","validated_investor_to_startup","zentynel","hexembio","0.96","Zentynel official portfolio page lists HeXemBio."
"manual-zentynel-momentum-therapeutics","Zentynel","Momentum Therapeutics","https://zentynel.com/en/portfolio/","official_portfolio_investment","validated_investor_to_startup","zentynel","momentum-therapeutics","0.96","Zentynel official portfolio page lists Momentum Therapeutics."
"manual-zentynel-multiplai-health","Zentynel","MultiplAI Health","https://zentynel.com/en/portfolio/","official_portfolio_investment","validated_investor_to_startup","zentynel","multiplai_health","0.96","Zentynel official portfolio page lists MultiplAI Health."
"manual-zentynel-neocrop","Zentynel","Neocrop Technologies","https://zentynel.com/en/portfolio/","official_portfolio_investment","validated_investor_to_startup","zentynel","neocrop-technologies","0.96","Zentynel official portfolio page lists Neocrop Technologies."
"manual-zentynel-samay","Zentynel","Samay","https://zentynel.com/en/portfolio/","official_portfolio_investment","validated_investor_to_startup","zentynel","samay","0.96","Zentynel official portfolio page lists Samay."
"manual-zentynel-xeptiva","Zentynel","Xeptiva","https://zentynel.com/en/portfolio/","official_portfolio_investment","validated_investor_to_startup","zentynel","xeptiva","0.96","Zentynel official portfolio page lists Xeptiva."
"manual-eatable-adventures-sciphage","Eatable Adventures","SciPhage","https://eatableadventures.com/news/five-startups-set-to-transform-agrifood-innovation-across-spain-and-latin-america/","official_program_investment","validated_investor_to_startup","eatable_adventures","sciphage","0.94","Eatable Adventures says Raices selected SciPhage and that each selected startup receives direct investment from the accelerator."
"manual-eatable-adventures-nunatak","Eatable Adventures","Nunatak Biotech","https://eatableadventures.com/news/five-startups-set-to-transform-agrifood-innovation-across-spain-and-latin-america/","official_program_investment","validated_investor_to_startup","eatable_adventures","nunatak_biotech","0.94","Eatable Adventures says Raices selected Nunatak and that each selected startup receives direct investment from the accelerator."
"manual-pampa-start-eiwa","Pampa Start","Eiwa","https://www.startuplinks.world/instituciones-de-inversion/pampa-start-vc","reported_portfolio_investment","validated_investor_to_startup","pampa_start","eiwa","0.86","Startuplinks public investor profile lists EIWA as a relevant Pampa Start investment."
"manual-pampa-start-sima","Pampa Start","Sima","https://www.startuplinks.world/instituciones-de-inversion/pampa-start-vc","reported_portfolio_investment","validated_investor_to_startup","pampa_start","sima","0.86","Startuplinks public investor profile lists SIMA as a relevant Pampa Start investment."
"manual-pampa-start-agrired","Pampa Start","AgriRed","https://www.startuplinks.world/instituciones-de-inversion/pampa-start-vc","reported_portfolio_investment","validated_investor_to_startup","pampa_start","agrired","0.86","Startuplinks public investor profile lists AGRIRED as a relevant Pampa Start investment."
"manual-pampa-start-circular","Pampa Start","Circular","https://www.startuplinks.world/instituciones-de-inversion/pampa-start-vc","reported_portfolio_investment","validated_investor_to_startup","pampa_start","circular","0.82","Startuplinks public investor profile lists CIRCULAR as a relevant Pampa Start investment; retained in graph even though the startup is excluded from BIO thesis."
"manual-pampa-start-deepagro","Pampa Start","DeepAgro","https://www.descubre.vc/pampa-star","reported_portfolio_investment","validated_investor_to_startup","pampa_start","deepagro","0.82","Descubre VC profile reports Pampa Start co-invested in DeepAgro."
"manual-savia-ventures-done-properly","Savia Ventures","Done Properly","https://saviaventures.com/","official_portfolio_investment","validated_investor_to_startup","savia_ventures","done_properly","0.96","Savia Ventures official portfolio lists Done Properly."
"manual-savia-ventures-ruedata","Savia Ventures","Ruedata","https://saviaventures.com/","official_portfolio_investment","validated_investor_to_startup","savia_ventures","ruedata","0.96","Savia Ventures official portfolio lists Ruedata; startup excluded from BIO thesis but retained for capital network."
"manual-savia-ventures-splight","Savia Ventures","Splight","https://saviaventures.com/","official_portfolio_investment","validated_investor_to_startup","savia_ventures","splight","0.96","Savia Ventures official portfolio lists Splight."
"manual-savia-ventures-solfium","Savia Ventures","Solfium","https://saviaventures.com/","official_portfolio_investment","validated_investor_to_startup","savia_ventures","solfium","0.96","Savia Ventures official portfolio lists Solfium."
"manual-savia-ventures-satellites-on-fire","Savia Ventures","Satellites on Fire","https://saviaventures.com/","official_portfolio_investment","validated_investor_to_startup","savia_ventures","satellites_on_fire","0.96","Savia Ventures official portfolio lists Satellites on Fire."
"manual-spventures-puna-bio","SP Ventures","Puna Bio","https://www.prnewswire.com/news-releases/puna-bio-raises-3-7m-seed-funding-to-restore-soil-health-with-desert-microbes-301616553.html","investment_announcement","validated_investor_to_startup","sp_ventures","puna_bio","0.98","Puna Bio seed funding announcement says the round included participation from Brazil-based SP Ventures; SP Ventures also lists Puna.Bio in its official portfolio."
"manual-glocal-puna-bio","GLOCAL","Puna Bio","https://www.glocalmanagers.com/pt/startups-2/","official_portfolio_investment","validated_investor_to_startup","glocal","Puna Bio","0.96","GLOCAL official startups page includes a Puna Bio founder quote describing Puna Bio as part of GLOCAL's portfolio."
"manual-glocal-done-properly","GLOCAL","Done Properly","https://www.glocalmanagers.com/pt/startups-2/","official_portfolio_investment","validated_investor_to_startup","glocal","Done Properly","0.96","GLOCAL official startups page includes a Done Properly founder quote describing Done Properly as part of GLOCAL's portfolio."
"manual-1200-vc-general-biological","1200 VC","General Biological","https://www.twelvehundred.vc/investments","official_direct_investment","validated_investor_to_startup","1200_vc","general_biological","0.90","1200 VC official investments page lists General Biological and describes it as enabling the shift from petrochemical to biological production through scalable fermentation infrastructure for industrial biotechnology; included as non-LATAM BIO reference edge."
"manual-endurance28-biomakers","Endurance 28","Biomakers","https://www.endurance28.com/biomakers/","official_portfolio_investment","validated_investor_to_startup","endurance_28","biomakers","0.93","Endurance28 official startup page lists Biomakers; Biomakers also publicly lists Endurance28 among its investors."
"manual-endurance28-oncoliq","Endurance 28","Oncoliq","https://www.endurance28.com/oncoliq/","official_portfolio_investment","validated_investor_to_startup","endurance_28","oncoliq","0.93","Endurance28 official startup page lists Oncoliq; third-party funding profiles also identify Endurance28 as an Oncoliq seed investor."
