"entity_id","entity_type","canonical_name","slug","source_presence","quality_flags","confidence_score","staging_entity_id"
"conservation_international","investor","conservation international","conservation-international","graphml","","0.6","conservation_international"
"courageous_land","startup","Courageous Land","courageous-land","graphml","","0.6","courageous_land"
"creative_ventures","investor","creative ventures","creative-ventures","graphml","","0.6","creative_ventures"
"Crinsurance","startup","Crinsurance","crinsurance","nodes_csv|graphml","","0.9","Crinsurance"
"Cryosmetics","startup","Cryosmetics","cryosmetics","nodes_csv|graphml","","0.9","Cryosmetics"
"CuperScience","startup","CuperScience","cuperscience","nodes_csv","","0.6","CuperScience"
"CyanoMin","startup","CyanoMin","cyanomin","nodes_csv|graphml","","0.9","CyanoMin"
"cytbac","startup","Cytbac","cytbac","graphml","","0.6","cytbac"
"dalus_capital","investor","Dalus Capital","dalus-capital","external_fund_map_delta","","0.82","dalus_capital"
"deepagro","startup","DeepAgro","deepagro","graphml","","0.6","deepagro"
"Delee","startup","Delee","delee","nodes_csv","","0.6","Delee"
"Dharma BioScience","startup","Dharma BioScience","dharma-bioscience","nodes_csv","","0.6","Dharma BioScience"
"Dogma Biotech","startup","Dogma Biotech","dogma-biotech","nodes_csv","","0.6","Dogma Biotech"
"Done Properly","startup","Done Properly","done-properly","nodes_csv","","0.6","Done Properly"
"DragonesVP","investor","DragonesVP","dragonesvp","nodes_csv","","0.6","DragonesVP"
"draper_associates","investor","Draper Associates","draper-associates","graphml","","0.6","draper_associates"
"draper_university","investor","Draper University","draper-university","graphml","","0.6","draper_university"
"DraperCygnus","investor","DraperCygnus","drapercygnus","nodes_csv","","0.6","DraperCygnus"
"duhau","investor","Duhau","duhau","graphml","","0.6","duhau"
"Dynami","startup","Dynami","dynami","nodes_csv|graphml","","0.9","Dynami"
"eatable_adventures","investor","Eatable Adventures","eatable-adventures","manual_external","","0.92","eatable_adventures"
"EcoAustralis","startup","EcoAustralis","ecoaustralis","nodes_csv","","0.6","EcoAustralis"
"Egg","startup","Egg","egg","nodes_csv","","0.6","Egg"
"EINSTED","startup","EINSTED","einsted","nodes_csv|graphml","","0.9","EINSTED"
"eiru","startup","EirÃº","eir","graphml","","0.6","eiru"
"Eirú","startup","Eirú","eir","nodes_csv","","0.6","Eirú"
"eiwa","startup","Eiwa","eiwa","graphml","","0.6","eiwa"
"Elytron","startup","Elytron","elytron","nodes_csv","","0.6","Elytron"
"elytron_biotech","startup","Elytron Biotech","elytron-biotech","graphml","","0.6","elytron_biotech"
"Embryoxite","startup","Embryoxite","embryoxite","nodes_csv|graphml","","0.9","Embryoxite"
"endurance_28","investor","Endurance 28","endurance-28","manual_1200vc_public_portfolio","fund_of_funds_target","0.90","endurance_28"
"Enteria","startup","Enteria","enteria","nodes_csv|graphml","","0.9","Enteria"
"enzyva","startup","Enzyva","enzyva","graphml","","0.6","enzyva"
"Eolo Pharma","startup","Eolo Pharma","eolo-pharma","nodes_csv","","0.6","Eolo Pharma"
"Epiliquid","startup","Epiliquid","epiliquid","nodes_csv|graphml","","0.9","Epiliquid"
"Ergo Foods","startup","Ergo Foods","ergo-foods","nodes_csv","","0.6","Ergo Foods"
"ergo_bioscience","startup","Ergo Bioscience","ergo-bioscience","graphml","","0.6","ergo_bioscience"
"Ethos","startup","Ethos","ethos","nodes_csv","","0.6","Ethos"
"Eureka","startup","Eureka","eureka","nodes_csv|graphml","","0.9","Eureka"
"Exomas","startup","Exomas","exomas","nodes_csv|graphml","","0.9","Exomas"
"Eywa","startup","Eywa","eywa","nodes_csv","","0.6","Eywa"
"eywa_biotech","startup","Eywa Biotech","eywa-biotech","graphml","","0.6","eywa_biotech"
"F4U","startup","F4U","f4u","nodes_csv","","0.6","F4U"
"Falcomm","startup","Falcomm","falcomm","nodes_csv|graphml","","0.9","Falcomm"
"Farmtastica","startup","Farmtastica","farmtastica","nodes_csv","","0.6","Farmtastica"
"fecundis","startup","fecundis","fecundis","nodes_csv|graphml","","0.9","fecundis"
"Feed Vax","startup","Feed Vax","feed-vax","nodes_csv","","0.6","Feed Vax"
"Feedvax","startup","Feedvax","feedvax","nodes_csv|graphml","","0.9","Feedvax"
"FixUP","startup","FixUP","fixup","nodes_csv","","0.6","FixUP"
"flia_duhau","investor","Flia. Duhau","flia-duhau","graphml","","0.6","flia_duhau"
"food4you","startup","Food4You","food4you","graphml","","0.6","food4you"
"Formlabs","startup","Formlabs","formlabs","nodes_csv","","0.6","Formlabs"
"fundacion_para_el_progreso_de_la_medicina","investor","Fundacion para el progreso de la medicina","fundacion-para-el-progreso-de-la-medicina","graphml","","0.6","fundacion_para_el_progreso_de_la_medicina"
"Fungi Life","startup","Fungi Life","fungi-life","nodes_csv","","0.6","Fungi Life"
"Future Biome","startup","Future Biome","future-biome","nodes_csv","","0.6","Future Biome"
"future_ventures","investor","Future Ventures","future-ventures","graphml","","0.6","future_ventures"
"Gameet","startup","Gameet","gameet","nodes_csv|graphml","","0.9","Gameet"
"GBM","startup","GBM","gbm","nodes_csv|graphml","","0.9","GBM"
"Gbot","startup","Gbot","gbot","nodes_csv","","0.6","Gbot"
"gef","investor","Global Environment Facility","global-environment-facility","manual_institutional_capital","capital_allocator","0.92","gef"
"general_biological","startup","General Biological","general-biological","manual_1200vc_public_portfolio","non_latam_bio_reference","0.88","general_biological"
"genesis_consortium","investor","Genesis Consortium","genesis-consortium","graphml","","0.6","genesis_consortium"
"Geoprot","startup","Geoprot","geoprot","nodes_csv|graphml","","0.9","Geoprot"
"Gigablue","startup","Gigablue","gigablue","nodes_csv","","0.6","Gigablue"
"Gisens Biotech","startup","Gisens Biotech","gisens-biotech","nodes_csv","","0.6","Gisens Biotech"
"glocal","investor","GLOCAL","glocal","graphml","","0.6","glocal"
"GlucoLib","startup","GlucoLib","glucolib","nodes_csv","","0.6","GlucoLib"
"GlycoX","startup","GlycoX","glycox","nodes_csv|graphml","","0.9","GlycoX"
"GridX","investor","GridX","gridx","nodes_csv|graphml","","0.9","GridX"
"grupo_insud","investor","Grupo Insud","grupo-insud","graphml","","0.6","grupo_insud"
"grupo_peruanos","investor","Grupo Peruanos","grupo-peruanos","graphml","","0.6","grupo_peruanos"
"happiness","investor","Happiness","happiness","graphml","","0.6","happiness"
"hatch","investor","Hatch","hatch","graphml","","0.6","hatch"
"heartbest","startup","Heartbest","heartbest","graphml","","0.6","heartbest"
"HIAMET","startup","HIAMET","hiamet","nodes_csv","","0.6","HIAMET"
"hiamet_s_a","startup","Hiamet S.A","hiamet-s-a","graphml","","0.6","hiamet_s_a"
"Huiro","startup","Huiro","huiro","nodes_csv|graphml","","0.9","Huiro"
"idb_invest","investor","IDB Invest","idb-invest","manual_institutional_capital","capital_allocator;development_finance_lp","0.96","idb_invest"
"idb_lab","investor","IDB Lab","idb-lab","manual_institutional_capital","capital_allocator","0.96","idb_lab"
"idb_natural_capital_lab","investor","IDB Natural Capital Lab","idb-natural-capital-lab","manual_institutional_capital","capital_allocator","0.90","idb_natural_capital_lab"
"imvalv","startup","Imvalv","imvalv","graphml","","0.6","imvalv"
"inbioar","startup","Inbioar","inbioar","graphml","","0.6","inbioar"
"infira","startup","Infira","infira","graphml","","0.6","infira"
"ini","startup","INI","ini","graphml","","0.6","ini"
"INMET","startup","INMET","inmet","nodes_csv|graphml","","0.9","INMET"
"Inner Cosmos","startup","Inner Cosmos","inner-cosmos","nodes_csv","","0.6","Inner Cosmos"
"innogen_capital","investor","Innogen Capital","innogen-capital","manual_external","","0.9","innogen_capital"
"Innovai","startup","Innovai","innovai","nodes_csv","","0.6","Innovai"
"invariantes_fund","investor","Invariantes Fund","invariantes-fund","external_fund_map_delta","fund_of_funds","0.82","invariantes_fund"
"inventure","investor","Inventure","inventure","graphml","","0.6","inventure"
"Invitrall","startup","Invitrall","invitrall","nodes_csv|graphml","","0.9","Invitrall"
"jeff_wilke","investor","Jeff Wilke","jeff-wilke","graphml","","0.6","jeff_wilke"
"jica","investor","JICA","jica","manual_institutional_capital","capital_allocator","0.92","jica"
"kaete_investimentos","investor","Kaete Investimentos","kaete-investimentos","manual_institutional_capital","","0.88","kaete_investimentos"
"kairetsu_angels","investor","Kairetsu Angels","kairetsu-angels","graphml","","0.6","kairetsu_angels"
"kamay_ventures","investor","Kamay Ventures","kamay-ventures","graphml","","0.6","kamay_ventures"
"KEM Ventures","investor","KEM Ventures","kem-ventures","nodes_csv","","0.6","KEM Ventures"
"Kigui","startup","Kigui","kigui","nodes_csv|graphml","name_mismatch_between_sources","0.9","Kigui"
"Kilimo","startup","Kilimo","kilimo","nodes_csv|graphml","","0.9","Kilimo"
"kptl","investor","KPTL","kptl","manual_external","bioeconomy_fund","0.86","kptl"
"Kresko RNATech","startup","Kresko RNATech","kresko-rnatech","nodes_csv","","0.6","Kresko RNATech"
"kresko_rnatech","startup","Kresko RNAtech","kresko-rnatech","graphml","","0.6","kresko_rnatech"
"kwb","investor","KWB","kwb","graphml","","0.6","kwb"
"lartirigoyen","investor","Lartirigoyen","lartirigoyen","graphml","","0.6","lartirigoyen"
"Laurus","startup","Laurus","laurus","nodes_csv","","0.6","Laurus"
"lavca","investor","LAVCA","lavca","manual_ecosystem_infrastructure","ecosystem_builder","0.86","lavca"
"Lemon","startup","Lemon","lemon","nodes_csv|graphml","","0.9","Lemon"
"levya","startup","Levya","levya","graphml","","0.6","levya"
"Libera","startup","Libera","libera","nodes_csv|graphml","","0.9","Libera"
"Limay Biosciences","startup","Limay Biosciences","limay-biosciences","nodes_csv","","0.6","Limay Biosciences"
"lipock","startup","Lipock","lipock","graphml","","0.6","lipock"
"logshare","startup","LogShare","logshare","graphml","","0.6","logshare"
"losa_group","investor","Losa Group","losa-group","graphml","","0.6","losa_group"
"lowercarbon_capital","investor","Lowercarbon Capital","lowercarbon-capital","manual_1200vc_public_portfolio","fund_of_funds_target","0.90","lowercarbon_capital"
"Luyef","startup","Luyef","luyef","nodes_csv","","0.6","Luyef"
"M4Life","startup","M4Life","m4life","nodes_csv|graphml","","0.9","M4Life"
"managro","investor","ManAgro","managro","graphml","","0.6","managro"
"mavios","startup","Mavios","mavios","graphml","","0.6","mavios"
"Menta","startup","Menta","menta","nodes_csv","","0.6","Menta"
"Menta Tickets","startup","Menta Tickets","menta-tickets","nodes_csv","","0.6","Menta Tickets"
"mentatech","startup","MentaTech","mentatech","graphml","","0.6","mentatech"
"Mesenchyal-T","startup","Mesenchyal-T","mesenchyal-t","nodes_csv","","0.6","Mesenchyal-T"
"Metabix Biotech","startup","Metabix Biotech","metabix-biotech","nodes_csv","","0.6","Metabix Biotech"
"michroma","startup","michroma","michroma","nodes_csv|graphml","","0.9","michroma"
"microgenesis","startup","microgenesis","microgenesis","nodes_csv|graphml","","0.9","microgenesis"
"MicroIN","startup","MicroIN","microin","nodes_csv|graphml","","0.9","MicroIN"
"Microterra","startup","Microterra","microterra","nodes_csv|graphml","","0.9","Microterra"
"Migma","startup","Migma","migma","nodes_csv|graphml","","0.9","Migma"
"Monte Caldera Technology","startup","Monte Caldera Technology","monte-caldera-technology","nodes_csv","","0.6","Monte Caldera Technology"
"monte_caldera","startup","Monte Caldera","monte-caldera","graphml","","0.6","monte_caldera"
"MultiplAI Health","startup","MultiplAI Health","multiplai-health","nodes_csv","","0.6","MultiplAI Health"
"muta","startup","MUTA","muta","graphml","","0.6","muta"
"Mycorium Biotech","startup","Mycorium Biotech","mycorium-biotech","nodes_csv","","0.6","Mycorium Biotech"
"MZP","startup","MZP","mzp","nodes_csv|graphml","","0.9","MZP"
"nairotech","startup","Nairotech","nairotech","graphml","","0.6","nairotech"
"Nano Jump Bio","startup","Nano Jump Bio","nano-jump-bio","nodes_csv","","0.6","Nano Jump Bio"
"nano_jump","startup","Nano Jump","nano-jump","graphml","","0.6","nano_jump"
"Nanogrow","startup","Nanogrow","nanogrow","nodes_csv","","0.6","Nanogrow"
"nanogrow_biotech","startup","Nanogrow Biotech","nanogrow-biotech","graphml","","0.6","nanogrow_biotech"
"NanoInGreen","startup","NanoInGreen","nanoingreen","nodes_csv|graphml","","0.9","NanoInGreen"
"nanojump_bio","startup","NanoJump Bio","nanojump-bio","graphml","","0.6","nanojump_bio"
"nanoprox","startup","NanoproX","nanoprox","graphml","","0.6","nanoprox"
"Nanotransfer","startup","Nanotransfer","nanotransfer","nodes_csv|graphml","","0.9","Nanotransfer"
"Nat4Bio","startup","Nat4Bio","nat4bio","nodes_csv|graphml","","0.9","Nat4Bio"
"Naturannova","startup","Naturannova","naturannova","nodes_csv|graphml","","0.9","Naturannova"
"naturanova","startup","Naturanova","naturanova","graphml","","0.6","naturanova"
"neocell","startup","Neocell","neocell","graphml","","0.6","neocell"
"Neptune Robotics","startup","Neptune Robotics","neptune-robotics","nodes_csv","","0.6","Neptune Robotics"
"New Organs","startup","New Organs","new-organs","nodes_csv","","0.6","New Organs"
"new_organs_biotech","startup","New Organs Biotech","new-organs-biotech","graphml","","0.6","new_organs_biotech"
"newtopia_vc","investor","Newtopia VC","newtopia-vc","external_fund_map_delta","capital_core_sidecar_broad_low_priority","0.84","newtopia_vc"
"ngc Partners","startup","ngc Partners","ngc-partners","nodes_csv","","0.6","ngc Partners"
"Nideport","startup","Nideport","nideport","nodes_csv|graphml","","0.9","Nideport"
"NotCo","startup","NotCo","notco","nodes_csv","","0.6","NotCo"
"NotFossil","startup","NotFossil","notfossil","nodes_csv|graphml","","0.9","NotFossil"
"Novo Space","startup","Novo Space","novo-space","nodes_csv","","0.6","Novo Space"
"nude","startup","Nude","nude","graphml","","0.6","nude"
"Nunatak Biotech","startup","Nunatak Biotech","nunatak-biotech","nodes_csv","","0.6","Nunatak Biotech"
"Oasys","startup","Oasys","oasys","nodes_csv","","0.6","Oasys"
"ocular_bio_design","startup","Ocular Bio Design","ocular-bio-design","graphml","","0.6","ocular_bio_design"
"Onco Precision","startup","Onco Precision","onco-precision","nodes_csv","","0.6","Onco Precision"
"Oncoliq","startup","Oncoliq","oncoliq","nodes_csv|graphml","","0.9","Oncoliq"
"Oneinfinite","startup","Oneinfinite","oneinfinite","nodes_csv|graphml","","0.9","Oneinfinite"
"onevc","investor","OneVC","onevc","manual_1200vc_public_portfolio","fund_of_funds_target","0.90","onevc"
"Open Water","startup","Open Water","open-water","nodes_csv","","0.6","Open Water"
"Opentrons","startup","Opentrons","opentrons","nodes_csv","","0.6","Opentrons"
"ospraie","investor","Ospraie","ospraie","graphml","","0.6","ospraie"
"other_angels","investor","other angels","other-angels","graphml","","0.6","other_angels"
"other_small_investors","investor","other small investors","other-small-investors","graphml","","0.6","other_small_investors"
"Outpost","startup","Outpost","outpost","nodes_csv","","0.6","Outpost"
"pampa_start","investor","Pampa Start","pampa-start","manual_external","","0.92","pampa_start"
"Pannex","startup","Pannex","pannex","nodes_csv","","0.6","Pannex"
"partners_for_growth","investor","Partners for Growth","partners-for-growth","manual_external","","0.88","partners_for_growth"
"Patagon Fiber","startup","Patagon Fiber","patagon-fiber","nodes_csv","","0.6","Patagon Fiber"
"paul_mcewan","investor","Paul McEwan","paul-mcewan","graphml","","0.6","paul_mcewan"
"Peek","startup","Peek","peek","nodes_csv","","0.6","Peek"
"pepton","startup","Pepton","pepton","graphml","","0.6","pepton"
"peruanos","investor","Peruanos","peruanos","graphml","","0.6","peruanos"
"photon_fund","investor","Photon Fund","photon-fund","graphml","","0.6","photon_fund"
"phylumtech","startup","PhylumTech","phylumtech","graphml","","0.6","phylumtech"
"Pill.AR","startup","Pill.AR","pill-ar","nodes_csv","","0.6","Pill.AR"
"plamic","startup","Plamic","plamic","graphml","","0.6","plamic"
"poas_bioenergy","startup","PoÃ¡s Bioenergy","po-s-bioenergy","graphml","","0.6","poas_bioenergy"
"Polymera","startup","Polymera","polymera","nodes_csv|graphml","","0.9","Polymera"
"positive_ventures","investor","Positive Ventures","positive-ventures","manual_external","","0.86","positive_ventures"
"pregen","startup","PreGen","pregen","graphml","","0.6","pregen"
"Prolific Machines","startup","Prolific Machines","prolific-machines","nodes_csv","","0.6","Prolific Machines"
"Protiva","startup","Protiva","protiva","nodes_csv|graphml","","0.9","Protiva"
"Puna Bio","startup","Puna Bio","puna-bio","nodes_csv","","0.6","Puna Bio"
"Purple Dental","startup","Purple Dental","purple-dental","nodes_csv","","0.6","Purple Dental"
"Qnity","startup","Qnity","qnity","nodes_csv|graphml","","0.9","Qnity"
"Qumir Nano","startup","Qumir Nano","qumir-nano","nodes_csv","","0.6","Qumir Nano"
"RadBio","startup","RadBio","radbio","nodes_csv|graphml","","0.9","RadBio"
"Radial","startup","Radial","radial","nodes_csv|graphml","","0.9","Radial"
"resistia","startup","Resistia","resistia","graphml","","0.6","resistia"
"Retidiag","startup","Retidiag","retidiag","nodes_csv","","0.6","Retidiag"
"retrypay","startup","Retrypay","retrypay","graphml","","0.6","retrypay"
"Risas Pendientes","startup","Risas Pendientes","risas-pendientes","nodes_csv","","0.6","Risas Pendientes"
"ruedata","startup","Ruedata","ruedata","graphml","","0.6","ruedata"
"Ruuts","startup","Ruuts","ruuts","nodes_csv|graphml","","0.9","Ruuts"
"salkantay_ventures","investor","Salkantay Ventures","salkantay-ventures","external_fund_map_delta","","0.82","salkantay_ventures"
"Satellites On Fire","startup","Satellites On Fire","satellites-on-fire","nodes_csv","","0.6","Satellites On Fire"
"Satellogic","startup","Satellogic","satellogic","nodes_csv|graphml","","0.9","Satellogic"
"savia_ventures","investor","Savia Ventures","savia-ventures","manual_external","","0.92","savia_ventures"
"SciPhage","startup","SciPhage","sciphage","nodes_csv","","0.6","SciPhage"
"Scitherm","startup","Scitherm","scitherm","nodes_csv","","0.6","Scitherm"
"scitherm_therapeutics","startup","Scitherm Therapeutics","scitherm-therapeutics","graphml","","0.6","scitherm_therapeutics"
"seedmatriz","startup","SeedMatriz","seedmatriz","graphml","","0.6","seedmatriz"
"Semion","startup","Semion","semion","nodes_csv|graphml","","0.9","Semion"
"Semtive","startup","Semtive","semtive","nodes_csv","","0.6","Semtive"
"sensei","startup","Sensei","sensei","graphml","","0.6","sensei"
"sensify","startup","Sensify","sensify","graphml","","0.6","sensify"
"SF500","investor","SF500","sf500","nodes_csv|graphml","","0.9","SF500"
"sillicon_catalyst","investor","Sillicon Catalyst","sillicon-catalyst","graphml","possible_typo","0.6","sillicon_catalyst"
"SiloReal","startup","SiloReal","siloreal","nodes_csv|graphml","","0.9","SiloReal"
"single_strand_biotech","startup","Single Strand Biotech","single-strand-biotech","graphml","","0.6","single_strand_biotech"
"Skyloom","startup","Skyloom","skyloom","nodes_csv|graphml","","0.9","Skyloom"
"Smart Tissues","startup","Smart Tissues","smart-tissues","nodes_csv","","0.6","Smart Tissues"
"Smartex","startup","Smartex","smartex","nodes_csv","","0.6","Smartex"
"Soleit","startup","Soleit","soleit","nodes_csv","","0.6","Soleit"
"solfium","startup","Solfium","solfium","graphml","","0.6","solfium"
"sosv","investor","SOSV","sosv","graphml","","0.6","sosv"
"SOSV_IndieBio","investor","SOSV_IndieBio","sosv-indiebio","nodes_csv","","0.6","SOSV_IndieBio"
"SoyGREEN","startup","SoyGREEN","soygreen","nodes_csv|graphml","","0.9","SoyGREEN"
"sp_ventures","investor","SP Ventures","sp-ventures","graphml","","0.6","sp_ventures"
"Spectrum","startup","Spectrum","spectrum","nodes_csv|graphml","","0.9","Spectrum"
"SphereBio","startup","SphereBio","spherebio","nodes_csv|graphml","","0.9","SphereBio"
"Splight","startup","Splight","splight","nodes_csv|graphml","","0.9","Splight"
"stamm","startup","StÃ¤mm","st-mm","graphml","","0.6","stamm"
"Starlight Ventures","startup","Starlight Ventures","starlight-ventures","nodes_csv","","0.6","Starlight Ventures"
"Stradot","startup","Stradot","stradot","nodes_csv|graphml","","0.9","Stradot"
"svb_financial_group","investor","SVB Financial Group","svb-financial-group","manual_institutional_capital","capital_allocator","0.86","svb_financial_group"
"Sylvarum","startup","Sylvarum","sylvarum","nodes_csv|graphml","","0.9","Sylvarum"
"Synergic Bio Solutions","startup","Synergic Bio Solutions","synergic-bio-solutions","nodes_csv","","0.6","Synergic Bio Solutions"
