entity_id,canonical_name,entity_type,country_code,description_en,description_es,bio_themes,demand_signals,latam_presence,website
crea,CREA,organization,AR,"Argentine Association of Regional Agricultural Experimentation Consortia (Consorcios Regionales de Experimentación Agrícola). NGO with 2,200+ farmer members organized in 19 productive regions across Argentina. Peer-to-peer innovation model: regional groups identify challenges, design and execute field experiments, share results across network. Collaborates with INTA, CONICET, UBA, and NGOs like TNC and ProYungas. Projects: InBioAgro biodiversity integration in Chaco region, sustainable soy, precision crop management. Focus: agtech innovation, food systems, bioeconomy, regenerative agriculture, soil health, crop management technology. Technology adoption test bed: CREA members implement new biological inputs and digital agriculture tools on commercial scale. Argentina produces 14% of global biotech crops; CREA members are key adopters.","Red de Consorcios Regionales de Experimentación Agrícola. 2,200+ productores en 19 regiones. Modelo de innovación peer-to-peer: grupos regionales identifican desafíos y diseñan experimentos de campo. Colabora con INTA, CONICET, UBA. Proyectos: InBioAgro (biodiversidad en Chaco), soja sustentable. Banco de prueba para tecnologías de bioinsumos y agricultura digital.","Bioinputs & Crop Resilience;Precision Agriculture;Food Systems & Alt Proteins;Nature & Ecosystem Tech","field_validation;technology_adoption;farmer_network",argentina,https://www.crea.org.ar
abvcap,ABVCAP,organization,BR,"Brazilian Private Equity and Venture Capital Association (Associação Brasileira de Private Equity e Venture Capital). Founded 2000. 200+ members including PE/VC managers, pension funds, national and international institutional investors. Key investment sectors: healthtech and life sciences (top growth sector), agtech, fintech, edtech, cleantech. Manages Brazil's PE/VC industry data, publishes annual market report. Members collectively manage billions in AUM. Brazil's premier interface between international LPs and Brazilian fund managers focused on biotech, agtech, and health tech. Active in structuring regulatory and tax frameworks for PE/VC in Brazil. Co-organizes annual Brazil VC/PE industry events.","Associação Brasileira de Private Equity e Venture Capital. Fundada 2000. 200+ miembros incluyendo gestores de PE/VC, fondos de pensión e inversores institucionales. Sectores: healthtech, life sciences, agtech, fintech, cleantech. Publica informe anual del mercado PE/VC en Brasil. Principal interfaz entre LPs internacionales y gestores brasileños de biotech, agtech y health tech.","Therapeutics;Diagnostics & Devices;Bioinputs & Crop Resilience;Biomanufacturing & Fermentation Economy","venture_capital;private_equity;market_data;LP_relations",brazil,https://abvcap.com.br
chilevc,ChileVC,organization,CL,"Chilean Venture Capital Association (Asociación Chilena de Venture Capital, ACVC). Represents VC financing actors for high-impact entrepreneurship in Chile and the region. Sector breakdown of Chile VC: greentech and cleantech 43%, fintech 15%, agtech and foodtech 11%. Advocates for VC-friendly regulation and entrepreneurship financing policy. Chile's VC market grew 57% in 2025 ($249M+ deployed). Members include early-stage to growth-stage VC funds. Serves as spokesperson to government, investors, and industry. Connects Chilean and international investors seeking AgTech, FoodTech, CleanTech exposure in Chile. Key gateway for biotech and agtech startups seeking Series A in the Chilean and regional ecosystem.","Asociación Chilena de Venture Capital (ACVC). Representa a los actores de financiamiento VC en Chile. Distribución: greentech/cleantech 43%, fintech 15%, agtech/foodtech 11%. El mercado VC chileno creció 57% en 2025. Miembros incluyen fondos early a growth stage. Vocero ante gobierno e inversores. Conexión entre inversores chilenos e internacionales para exposición en AgTech, FoodTech y CleanTech.","Bioinputs & Crop Resilience;Precision Agriculture;Food Systems & Alt Proteins;Nature & Ecosystem Tech","venture_capital;seed_capital;co-investment;market_access",chile,https://acvc.cl
amexcap,AMEXCAP,organization,MX,"Mexican Association of Private Capital (Asociación Mexicana de Capital Privado). Founded 2003. 128+ PE and VC fund members. Cumulative $58.2 billion raised over 10 years. 21 VC-focused funds have invested $1.6B+ in 770+ startups. Sectors: fintech, healthcare, infrastructure, manufacturing, agtech, biotech. Co-produces Corporate Venture Capital study with EGADE Tec Monterrey. Annual VC Day conference. Advocates for LP-friendly regulation and FIBRA-E vehicle. Mexico's LatAm gateway for international capital seeking biotech, agtech, and health tech exposure. Represents Mexico's most active PE/VC investors at international forums.","Asociación Mexicana de Capital Privado. Fundada 2003. 128+ fondos de PE y VC. $58.2B acumulados en 10 años. 21 fondos VC han invertido $1.6B+ en 770+ startups. Sectores: fintech, salud, infraestructura, manufactura, agtech, biotech. Co-produce estudio de Corporate VC con EGADE Tec. Principal interfaz para capital internacional que busca exposición en biotech y agtech en México.","Therapeutics;Diagnostics & Devices;Bioinputs & Crop Resilience;Food Systems & Alt Proteins","venture_capital;private_equity;co-investment;market_access",mexico,https://amexcap.com
bunge,Bunge,corporate,BR,"Global agribusiness and food company with major operations across Latin America. Over $2 billion invested in fermentation, alternative proteins, mycoprotein, cultured meat, and plant protein technology. Bunge Ventures portfolio includes WeedOUT (AI-guided precision herbicide application), Agrotoken (blockchain-based agricultural tokenization), Nutrition Technologies (insect protein fermentation), and Lingrove (plant-based materials). Seeks: traceability technology, sustainable ingredient sourcing, plant protein processing, lower-carbon crop supply chains, fermentation-based food tech. Dominant in Brazilian soy, Argentina grain, and LatAm oilseed processing. Potential strategic acquirer for startups in food systems, biomanufacturing, and sustainable agriculture.","Empresa global de agronegocios con operaciones importantes en América Latina. Más de $2,000M invertidos en fermentación, proteínas alternativas y biomanufactura. Portafolio Bunge Ventures incluye WeedOUT, Agrotoken, Nutrition Technologies. Busca: trazabilidad, ingredientes sostenibles, proteínas vegetales, cadenas de valor de bajo carbono. Potencial adquirente de startups en sistemas alimentarios, biomanufactura y agricultura sostenible.","Food Systems & Alt Proteins;Biomanufacturing & Fermentation Economy;Precision Agriculture;Nature & Ecosystem Tech","acquisition;partnership;pilot_validation;supply_chain_integration",latam,https://www.bunge.com
cargill,Cargill,corporate,US,"Global food and agricultural products company. $2B+ invested in fermentation technologies, alternative proteins, mycoprotein production, cultured meat, and plant proteins. Core interests: biomanufacturing technology, fermentation scale-up processes, sustainable crop supply chains, food systems innovation, and agricultural traceability. Broad LatAm presence: Brazil soy/corn operations, Argentina grain, Uruguay processing. Potential strategic partner or acquirer for biotech startups in food systems transformation, fermentation biomanufacturing, and sustainable agriculture. Partners with alternative protein producers and precision fermentation startups globally.","Empresa global de alimentos y commodities agrícolas. $2,000M+ en fermentación, proteínas alternativas, micoprteína y carne cultivada. Intereses: biomanufactura, fermentación industrial, cadenas sostenibles, sistemas alimentarios. Amplia presencia en LatAm: Brasil, Argentina, Uruguay. Potencial socio estratégico o adquirente para startups de biotech en transformación de sistemas alimentarios y fermentación.","Food Systems & Alt Proteins;Biomanufacturing & Fermentation Economy;Bioinputs & Crop Resilience","acquisition;partnership;supply_chain_integration;pilot_validation",latam,https://www.cargill.com
novonesis,Novonesis,corporate,DK,"World's biosolutions leader formed by merger of Novozymes and Chr. Hansen (€3.7B revenue). Global leader in industrial enzymes, microbial cultures, fermentation, and biological solutions. Product areas: agricultural biocontrol and biostimulants, food fermentation cultures, industrial enzymes, animal health probiotics, plant microbiome solutions. Active R&D partnership programs seeking novel microbial strains, enzyme discovery, precision fermentation process improvements, and biostimulant innovations. BioHub fermentation manufacturing plant in Araucária Brazil for LatAm production. Seeks startup partnerships in: novel biocontrol strains, fermentation process tech, agricultural microbiome, new enzyme functionalities. Top strategic partner or acquirer for biomanufacturing and bioinput startups.","Líder mundial en biosoluciones. Fusión Novozymes + Chr. Hansen (€3.7B). Líder en enzimas industriales, cultivos microbianos, fermentación y soluciones biológicas. Áreas: biocontrol agrícola, biostimulantes, fermentación alimentaria, probióticos animales, microbioma de plantas. BioHub de fabricación en Brasil. Busca: nuevas cepas de biocontrol, mejoras en fermentación, microbioma agrícola, nuevas enzimas.","Biomanufacturing & Fermentation Economy;Bioinputs & Crop Resilience;Food Systems & Alt Proteins","acquisition;partnership;co-development;licensing",latam,https://www.novonesis.com
chr_hansen,Chr. Hansen,corporate,DK,"Biotech ingredients company now fully integrated into Novonesis. Former leader in probiotics, fermentation cultures, bioprotection solutions, natural colors, and plant health. Historical focus: dairy fermentation cultures, food bioprotection, agricultural biocontrol, and animal health probiotics. Legacy entity in BIO LATAM database; current open innovation activity is conducted under Novonesis brand. Prior investment thesis: biological crop protection, food systems microbiome, fermentation-based ingredients.","Empresa de ingredientes biotech ahora integrada a Novonesis. Ex-líder en probióticos, cultivos de fermentación, bioprotección y colores naturales. Entidad legacy en la base de datos BIO LATAM; la actividad de innovación abierta ahora se conduce bajo la marca Novonesis.","Biomanufacturing & Fermentation Economy;Food Systems & Alt Proteins;Bioinputs & Crop Resilience","legacy_acquisition_entry",latam,https://www.chr-hansen.com
basf_agricultural,BASF Agricultural Solutions,corporate,DE,"BASF's agricultural division and one of the world's top crop protection companies. BioSolutions unit: dedicated to biological crop protection, fermentation-derived biocontrol, and biostimulants. AgroStart open innovation platform actively scouts agtech and biotech startups globally and in LatAm. BioHub fermentation manufacturing plant opened 2023 for biological crop protection scale-up. Active acquirer in biocontrol, biopesticides, biofungicides, and biostimulant startups. Seeks: commercial-stage biocontrol agents, precision fermentation processes for biological actives, microbial platforms for multiple crop pests, novel biopesticide modes of action. LatAm is a key strategic market. Previously acquired Becker Underwood, Nunhems, and Bayer crop assets.","División agrícola de BASF. Unidad BioSolutions dedicada a protección biológica de cultivos y biostimulantes. Plataforma AgroStart busca activamente startups de agtech y biotech. Planta BioHub inaugurada en 2023 para escala industrial de biocontrol. Adquirente activo en biocontrol, biopesticidas, biofungicidas y biostimulantes. Busca: biocontrol en estadio comercial, fermentación de activos biológicos, plataformas microbianas para múltiples plagas.","Bioinputs & Crop Resilience;Biomanufacturing & Fermentation Economy;Precision Agriculture","acquisition;partnership;licensing;AgroStart_acceleration",latam,https://agriculture.basf.com
bayer_crop,Bayer Crop Science,corporate,DE,"Bayer's crop science division. Leaps by Bayer corporate venture unit ($2.1B+ portfolio, 65+ startups) invests in breakthrough biology, food systems, and health. LifeHub São Paulo open innovation hub specifically for LatAm startup partnerships. Seeks: crop protection biologicals and biocontrol, gene editing (CRISPR) for crop traits, regenerative agriculture technologies, microbiome-based crop treatments, digital agriculture and precision farming tools. Active acquirer and strategic partner for startups with validated LatAm biocontrol and bioinput technologies. Monsanto integration added RoundupReady seeds and Precision Planting digital ag assets. Major player in bioinputs transition in Brazil and Argentina.","División de ciencia de cultivos de Bayer. Leaps by Bayer ($2.1B+ portafolio, 65+ startups). LifeHub São Paulo para partnerships con startups de LatAm. Busca: biocontrol biológico, edición génica (CRISPR), agricultura regenerativa, microbioma para cultivos, agricultura digital. Adquirente activo y socio estratégico para startups de biocontrol y bioinsumos validados en LatAm.","Bioinputs & Crop Resilience;Biomanufacturing & Fermentation Economy;Precision Agriculture","acquisition;Leaps_investment;LifeHub_partnership;licensing",latam,https://www.bayer.com/en/agriculture
syngenta,Syngenta,corporate,CH,"Global agricultural science company. Shoots by Syngenta accelerator program seeks startups in: biocontrol and biopesticides, digital agriculture and farm intelligence, biomass-derived crop protection chemicals, crop diagnostic tools and sensors. OpenInnovation portal for formal partnership agreements with startups. Active acquirer and licensing partner for commercial-stage biocontrol, digital ag, and precision agriculture startups in LatAm. Operations across Argentina, Brazil, Colombia, Chile, Mexico. Strong market position in seed treatments and crop protection creates demand for biological complementary technologies.","Empresa global de ciencias agrícolas. Acceleradora Shoots by Syngenta busca startups en: biocontrol, biopesticidas, agricultura digital, productos de origen biológico, diagnóstico de cultivos. Portal OpenInnovation para acuerdos formales con startups. Adquirente activo y socio de licencias para startups de biocontrol, ag digital y agricultura de precisión en LatAm.","Bioinputs & Crop Resilience;Precision Agriculture;Nature & Ecosystem Tech","Shoots_acceleration;acquisition;licensing;OpenInnovation_partnership",latam,https://www.syngenta.com
corteva,Corteva Agriscience,corporate,US,"Spin-off from DowDuPont, one of the world's leading agricultural science companies. Open Innovation portal with 6 focus areas: novel crop traits (genetics/breeding), seed treatment biologicals, enabling biotechnology, crop protection biologicals, digital farming tools, precision crop protection. Corteva Catalyst investment fund backs early-stage agricultural biotech startups. Key investment: Symbiomics (plant microbiome technology for root health). Gene editing (CRISPR) partnerships for novel crop traits. Seeks startups with: novel biological seed treatments, microbiome-based crop performance, digital farm management, novel genetic crop traits, biological crop protection. Strong LatAm commercial presence in Argentina, Brazil, Chile, Colombia, Mexico.","Spin-off de DowDuPont. Portal Open Innovation con 6 focos: traits genéticos, biológicos para tratamiento de semillas, biotech habilitadora, biológicos de protección de cultivos, digital, protección precisa. Fondo Corteva Catalyst para startups agtech early-stage. Inversión clave: Symbiomics (microbioma de plantas). Busca: biológicos para semillas, microbioma para rendimiento, agricultura digital, traits genéticos novedosos.","Bioinputs & Crop Resilience;Precision Agriculture;Biomanufacturing & Fermentation Economy","Corteva_Catalyst_investment;Open_Innovation_partnership;licensing;acquisition",latam,https://www.corteva.com

gensus,Gensus,corporate,AR,"Argentine agricultural biotech company and seed producer. Pioneer in soybean molecular breeding in Argentina. Conducts genomics, marker-assisted selection, and biotech trait development for soybeans, corn, and sunflower. Potential partner for startups in crop genetics, seed biotech, bioinputs, and precision breeding.","Empresa argentina de biotecnología agrícola y producción de semillas. Pionera en mejoramiento molecular de soja. Potencial socio para startups de genética de cultivos y bioinsumos.","Bioinputs & Crop Resilience;Precision Agriculture","seed_partnership;trait_licensing",argentina,https://www.gensus.com.ar
cj_cheiljedang,CJ CheilJedang,corporate,KR,"South Korean food and biotech conglomerate. Global leader in fermentation-based amino acids — the world largest fermentation amino acid producer. CJ BIO seeks partnerships in fermentation substrates, enzyme engineering, metabolic engineering, alternative protein fermentation. Operations in Brazil, Colombia, Mexico.","Conglomerado surcoreano de alimentos y biotecnología. Líder mundial en aminoácidos vía fermentación. CJ BIO busca socios en sustratos de fermentación, ingeniería enzimática y proteínas alternativas. Operaciones en Brasil, Colombia y México.","Biomanufacturing & Fermentation Economy;Food Systems & Alt Proteins","fermentation_partnership;licensing;acquisition",latam,https://www.cj.net
cocacola_mexico,Coca-Cola FEMSA,corporate,MX,"World largest Coca-Cola bottler by volume, headquartered in Mexico City with operations across LatAm. Innovation focus: bio-based packaging, functional beverages, fermentation-derived sweeteners, probiotic beverages, bioactive ingredients. FEMSA Ventures invests in food tech and sustainable packaging startups.","Coca-Cola FEMSA es el mayor embotellador del mundo, con sede en México. Foco: envases bio-based, ingredientes naturales vía fermentación, bebidas funcionales, probióticos. FEMSA Ventures invierte en foodtech y packaging sostenible.","Biomanufacturing & Fermentation Economy;Food Systems & Alt Proteins;Biomaterials & Green Chemistry","partnership;pilot_validation;FEMSA_Ventures_investment",latam,https://www.coca-colafemsa.com
