"entity_id","canonical_name","slug","integrated_type","canonical_type","source_presence","quality_flags","confidence_score","integrated_sources"
"inventure","Inventure","inventure","capital","investor","graphml","","0.6","canonical|historical"
"jeff-wilke","Jeff Wilke","jeff-wilke","capital","investor","graphml","","0.6","canonical|historical"
"kairetsu-angels","Kairetsu Angels","kairetsu-angels","capital","investor","graphml","","0.6","canonical|historical"
"kamay-ventures","Kamay Ventures","kamay-ventures","capital","investor","graphml","","0.6","canonical|historical"
"kem-ventures","KEM Ventures","kem-ventures","capital","investor","nodes_csv","","0.6","canonical|historical"
"kptl","KPTL","kptl","capital","investor","manual_external","","0.86","canonical"
"kwb","KWB","kwb","capital","investor","graphml","","0.6","canonical|historical"
"lartirigoyen","Lartirigoyen","lartirigoyen","capital","investor","graphml","","0.6","canonical|historical"
"losa-group","Losa Group","losa-group","capital","investor","graphml","","0.6","canonical|historical"
"managro","ManAgro","managro","capital","investor","graphml","","0.6","canonical|historical"
"nxtp-labs","Nxtp Labs","nxtp-labs","capital","capital_candidate","historical","","0.75","historical|historical_clean"
"ospraie","Ospraie","ospraie","capital","investor","graphml","","0.6","canonical|historical"
"other-angels","other angels","other-angels","capital","investor","graphml","","0.6","canonical|historical"
"other-small-investors","other small investors","other-small-investors","capital","investor","graphml","","0.6","canonical|historical"
"pampa-start","Pampa Start","pampa-start","capital","investor","manual_external","","0.92","canonical"
"paul-mcewan","Paul McEwan","paul-mcewan","capital","investor","graphml","","0.6","canonical|historical"
"peruanos","Peruanos","peruanos","capital","investor","graphml","","0.6","canonical|historical"
"photon-fund","Photon Fund","photon-fund","capital","investor","graphml","","0.6","canonical|historical"
"positive-ventures","Positive Ventures","positive-ventures","capital","investor","manual_external","","0.86","canonical"
"SF500","SF500","sf500","capital","investor","nodes_csv|graphml","","0.9","canonical|historical"
"sillicon-catalyst","Sillicon Catalyst","sillicon-catalyst","capital","investor","graphml","possible_typo","0.6","canonical|historical"
"sosv","SOSV","sosv","capital","investor","graphml","","0.6","canonical|historical"
"sosv-indiebio","SOSV_IndieBio","sosv-indiebio","capital","investor","nodes_csv","","0.6","canonical"
"sp-ventures","SP Ventures","sp-ventures","capital","investor","graphml","","0.6","canonical|historical"
"techstars","Techstars","techstars","capital","capital_candidate","historical","multi_role_capital_accelerator","0.75","historical|historical_clean|institution_candidates"
"the-ganesha-lab","The Ganesha Lab","the-ganesha-lab","capital","investor","nodes_csv","","0.6","canonical|historical"
"the-yield-lab-latam","The Yield Lab LATAM","the-yield-lab-latam","capital","investor","graphml","","0.6","canonical|historical"
"thrive","Thrive","thrive","capital","investor","graphml","","0.6","canonical|historical"
"varana-capital","Varana Capital","varana-capital","capital","investor","graphml","","0.6","canonical|historical"
"vectr","VECTR","vectr","capital","investor","graphml","","0.6","canonical|historical"
"vx-fund","VX Fund","vx-fund","capital","investor","graphml","","0.6","canonical|historical"
"wayra-hispam","Wayra Hispam","wayra-hispam","capital","capital_candidate","historical","multi_role_capital_accelerator","0.85","historical|historical_clean|institution_candidates"
"y-combinator","Y Combinator","y-combinator","capital","capital_candidate","historical","multi_role_capital_accelerator","0.75","historical|historical_clean|institution_candidates"
"zentynel","Zentynel","zentynel","capital","investor","manual_external","","0.95","canonical"
"conicet","CONICET","conicet","institution","institution_candidate","historical","name_repaired","0.85","historical|historical_clean|institution_candidates"
"conicet-mar-del-plata","CONICET-Mar del Plata","conicet-mar-del-plata","institution","institution_candidate","historical","name_repaired","0.65","historical|historical_clean"
"instituto_leloir","Fundación Instituto Leloir","fundacion-instituto-leloir","institution","research_institute","institution_candidates","","0.72","institution_candidates"
"iae-business-school","IAE Business School","iae-business-school","institution","institution_candidate","historical","","0.85","historical|historical_clean|institution_candidates"
"ial","IAL (CONICET-UNL)","ial-conicet-unl","institution","research_institute","institution_candidates","","0.72","institution_candidates"
"ifir","IFIR (Instituto de Física Rosario)","ifir-instituto-de-fisica-rosario","institution","research_institute","institution_candidates","","0.72","institution_candidates"
"institut_pasteur_montevideo","Institut Pasteur Montevideo","institut-pasteur-montevideo","institution","research_institute","institution_candidates","","0.72","institution_candidates"
"instituto-balseiro-cnea-uncuyo","Instituto Balseiro (CNEA-UNCuyo","instituto-balseiro-cnea-uncuyo","institution","institution_candidate","historical","name_repaired","0.65","historical|historical_clean"
"instituto-butantan-brasil","Instituto Butantan (Brasil","instituto-butantan-brasil","institution","institution_candidate","historical","name_repaired","0.65","historical|historical_clean"
"instituto-leloir","Instituto Leloir","instituto-leloir","institution","institution_candidate","historical","name_repaired","0.75","historical|historical_clean"
"inta","INTA Castelar","inta-castelar","institution","research_institute","institution_candidates","","0.72","institution_candidates"
"iprobyq","IPROBYQ (CONICET/UNR)","iprobyq-conicet-unr","institution","research_institute","institution_candidates","","0.72","institution_candidates"
"iquibicen","IQUIBICEN","iquibicen","institution","research_institute","institution_candidates","","0.72","institution_candidates"
"itba","ITBA","itba","institution","institution_candidate","historical","name_repaired","0.65","historical|historical_clean|institution_candidates"
"itba-engineering","ITBA (Engineering","itba-engineering","institution","institution_candidate","historical","name_repaired","0.75","historical|historical_clean"
"itba-student","ITBA (Student","itba-student","institution","institution_candidate","historical","name_repaired","0.65","historical|historical_clean"
"ucema","UCEMA","ucema","institution","institution_candidate","historical","","0.75","historical|historical_clean|institution_candidates"
"udesa","UdeSA","udesa","institution","university","institution_candidates","","0.72","institution_candidates"
"universidad-de-buenos-aires","Universidad de Buenos Aires","universidad-de-buenos-aires","institution","institution_candidate","historical","name_repaired","0.65","historical|historical_clean|institution_candidates"
"universidad-nacional-de-asunci","Universidad Nacional de Asunci","universidad-nacional-de-asunci","institution","institution_candidate","historical","name_repaired","0.65","historical|historical_clean"
"universidad-nacional-de-c","Universidad Nacional de C","universidad-nacional-de-c","institution","institution_candidate","historical","name_repaired","0.65","historical|historical_clean"
"unc","Universidad Nacional de Córdoba","universidad-nacional-de-cordoba","institution","university","institution_candidates","","0.72","institution_candidates"
"uncuyo","Universidad Nacional de Cuyo","universidad-nacional-de-cuyo","institution","university","institution_candidates","","0.72","institution_candidates"
"universidad-nacional-de-cuyo-uncuyo","Universidad Nacional de Cuyo (UNCuyo","universidad-nacional-de-cuyo-uncuyo","institution","institution_candidate","historical","name_repaired","0.65","historical|historical_clean"
"universidad-nacional-de-la-matanza","Universidad Nacional de La Matanza","universidad-nacional-de-la-matanza","institution","institution_candidate","historical","name_repaired","0.65","historical|historical_clean"
"universidad-nacional-de-la-plata","Universidad Nacional de La Plata","universidad-nacional-de-la-plata","institution","institution_candidate","historical","name_repaired","0.65","historical|historical_clean|institution_candidates"
"universidad-nacional-de-mar-del-plata","Universidad Nacional de Mar del Plata","universidad-nacional-de-mar-del-plata","institution","institution_candidate","historical","name_repaired","0.65","historical|historical_clean"
"universidad-nacional-de-misiones-unam","Universidad Nacional de Misiones (UNaM","universidad-nacional-de-misiones-unam","institution","institution_candidate","historical","name_repaired","0.65","historical|historical_clean"
"universidad-nacional-de-quilmes","Universidad Nacional de Quilmes","universidad-nacional-de-quilmes","institution","institution_candidate","historical","name_repaired","0.65","historical|historical_clean"
"universidad-nacional-de-r","Universidad Nacional de R","universidad-nacional-de-r","institution","institution_candidate","historical","name_repaired","0.65","historical|historical_clean"
"universidad-nacional-de-rosario","Universidad Nacional de Rosario","universidad-nacional-de-rosario","institution","institution_candidate","historical","name_repaired","0.65","historical|historical_clean|institution_candidates"
"universidad-nacional-de-san-mart","Universidad Nacional de San Mart","universidad-nacional-de-san-mart","institution","institution_candidate","historical","name_repaired","0.65","historical|historical_clean"
"universidad-nacional-de-santiago-del-estero","Universidad Nacional de Santiago del Estero","universidad-nacional-de-santiago-del-estero","institution","institution_candidate","historical","name_repaired","0.65","historical|historical_clean"
"universidad-nacional-de-tucum","Universidad Nacional de Tucum","universidad-nacional-de-tucum","institution","institution_candidate","historical","name_repaired","0.65","historical|historical_clean"
"unt","Universidad Nacional de Tucumán","universidad-nacional-de-tucuman","institution","university","institution_candidates","","0.72","institution_candidates"
"universidad-nacional-del-litoral","Universidad Nacional del Litoral","universidad-nacional-del-litoral","institution","institution_candidate","historical","name_repaired","0.65","historical|historical_clean|institution_candidates"
"universidad-nacional-del-sur-uns","Universidad Nacional del Sur (UNS","universidad-nacional-del-sur-uns","institution","institution_candidate","historical","name_repaired","0.65","historical|historical_clean"
"tech","@Tech","tech","startup","startup","graphml","","0.6","canonical|historical"
"abastra","AbAstra","abastra","startup","startup","graphml","","0.6","canonical|historical"
"aerialoop","Aerialoop","aerialoop","startup","startup","graphml","","0.6","canonical|historical"
"agree","Agree","agree","startup","startup","graphml","","0.6","canonical|historical"
"agroforte","Agroforte","agroforte","startup","startup","graphml","","0.6","canonical|historical"
"Agrojusto","Agrojusto","agrojusto","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"Aictive","Aictive","aictive","startup","startup","nodes_csv","","0.6","canonical|historical"
"algaebio","algaebio+","algaebio","startup","startup","graphml","","0.6","canonical"
"AlgaLife","AlgaLife","algalife","startup","startup","nodes_csv","","0.6","canonical|historical"
"Alkemio","Alkemio","alkemio","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"altscore","Altscore","altscore","startup","startup","graphml","","0.6","canonical|historical"
"Alytix","Alytix","alytix","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"amai-proteins","Amai Proteins","amai-proteins","startup","startup","nodes_csv","","0.6","canonical|historical"
"amplify-dynamics","Amplify Dynamics","amplify-dynamics","startup","startup","nodes_csv","","0.6","canonical|historical"
"Antarka","Antarka","antarka","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"Apasomics","Apasomics","apasomics","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"APEXzymes","APEXzymes","apexzymes","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"aplife-biotech","Aplife Biotech","aplife-biotech","startup","startup","nodes_csv","","0.6","canonical|historical"
"Aquit","Aquit","aquit","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"arakion","Arakion","arakion","startup","startup","graphml","","0.6","canonical|historical"
"arcomedLab","arcomedLab","arcomedlab","startup","startup","nodes_csv","","0.6","canonical|historical"
"ardan","Ardan","ardan","startup","startup","graphml","","0.6","canonical|historical"
"ardan-pharma","Ardan Pharma","ardan-pharma","startup","startup","nodes_csv","","0.6","canonical|historical"
"argenTAG","argenTAG","argentag","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"Armenta","Armenta","armenta","startup","startup","nodes_csv","","0.6","canonical|historical"
"arqlite","Arqlite","arqlite","startup","startup","graphml","","0.6","canonical|historical"
"auravant","Auravant","auravant","startup","startup","graphml","","0.6","canonical|historical"
"Auth0","Auth0","auth0","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"avatar-medtech","AVaTAR MedTech","avatar-medtech","startup","startup","graphml","","0.6","canonical|historical"
"Ayuvant","Ayuvant","ayuvant","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"bacu","BACU","bacu","startup","startup","graphml","","0.6","canonical|historical"
"beam-croptech","BEAM CropTech","beam-croptech","startup","startup","nodes_csv","","0.6","canonical|historical"
"bee-technology","Bee Technology","bee-technology","startup","startup","nodes_csv","","0.6","canonical|historical"
"Beeflow","Beeflow","beeflow","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"Bifidice","Bifidice","bifidice","startup","startup","nodes_csv","","0.6","canonical|historical"
"BioBlends","BioBlends","bioblends","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"biocl","BioCl","biocl","startup","startup","historical","name_repaired","0.65","historical"
"biodiversity-intelligence","Biodiversity Intelligence","biodiversity-intelligence","startup","startup","nodes_csv","","0.6","canonical|historical"
"Bioeutectics","Bioeutectics","bioeutectics","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"Biogea","Biogea","biogea","startup","startup","nodes_csv","","0.6","canonical|historical"
"bioheuris","Bioheuris","bioheuris","startup","startup","graphml","","0.6","canonical|historical"
"biome-resources","Biome Resources","biome-resources","startup","startup","nodes_csv","","0.6","canonical|historical"
"BioMetallum","BioMetallum","biometallum","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"Bionirs","Bionirs","bionirs","startup","startup","nodes_csv","","0.6","canonical|historical"
"bioplaster-research","BioPlaster Research","bioplaster-research","startup","startup","nodes_csv","","0.6","canonical|historical"
"bioplaster-research-inc","BioPlaster Research Inc","bioplaster-research-inc","startup","startup","graphml","","0.6","canonical|historical"
"Bioplastix","Bioplastix","bioplastix","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"bioseek","Bioseek","bioseek","startup","startup","graphml","","0.6","canonical|historical"
"biosynaptica","BioSynaptica","biosynaptica","startup","startup","graphml","","0.6","canonical|historical"
"Biotalife","Biotalife","biotalife","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"Bitgenia","Bitgenia","bitgenia","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"BitMEX","BitMEX","bitmex","startup","startup","nodes_csv","","0.6","canonical|historical"
"bleps-vision","Bleps Vision","bleps-vision","startup","startup","nodes_csv","","0.6","canonical|historical"
"Blerify","Blerify","blerify","startup","startup","nodes_csv","","0.6","canonical|historical"
"botanical-solutions","Botanical Solutions","botanical-solutions","startup","startup","nodes_csv","","0.6","canonical|historical"
"branch-energy","Branch Energy","branch-energy","startup","startup","nodes_csv","","0.6","canonical|historical"
"BreakPET","BreakPET","breakpet","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"bsafe-biotech","Bsafe Biotech","bsafe-biotech","startup","startup","nodes_csv","","0.6","canonical|historical"
"ByBug","ByBug","bybug","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"calfix","Calfix","calfix","startup","startup","graphml","","0.6","canonical|historical"
"calice","Calice","calice","startup","startup","graphml","","0.6","canonical|historical"
"Caligenia","Caligenia","caligenia","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"CargoProduce","CargoProduce","cargoproduce","startup","startup","nodes_csv","","0.6","canonical|historical"
"caspr-biotech","Caspr Biotech","caspr-biotech","startup","startup","nodes_csv","","0.6","canonical|historical"
"cell-farm","Cell Farm","cell-farm","startup","startup","graphml","","0.6","canonical|historical"
"cellco","CellCo","cellco","startup","startup","graphml","","0.6","canonical|historical"
"CellRep","CellRep","cellrep","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"Cellva","Cellva","cellva","startup","startup","nodes_csv","","0.6","canonical|historical"
"circa-therapeutics","Circa Therapeutics","circa-therapeutics","startup","startup","graphml","","0.6","canonical|historical"
"CIRCCLO","CIRCCLO","circclo","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"circular","Circular","circular","startup","startup","graphml","","0.6","canonical|historical"
"clover","Clover","clover","startup","startup","graphml","","0.6","canonical|historical"
"Conciencia","Conciencia","conciencia","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"courageous-land","Courageous Land","courageous-land","startup","startup","graphml","","0.6","canonical|historical"
"Crinsurance","Crinsurance","crinsurance","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"Cryosmetics","Cryosmetics","cryosmetics","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"CuperScience","CuperScience","cuperscience","startup","startup","nodes_csv","","0.6","canonical|historical"
"CyanoMin","CyanoMin","cyanomin","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"cytbac","Cytbac","cytbac","startup","startup","graphml","","0.6","canonical|historical"
"deepagro","DeepAgro","deepagro","startup","startup","graphml","","0.6","canonical|historical"
"Delee","Delee","delee","startup","startup","nodes_csv","","0.6","canonical|historical"
"dharma-bioscience","Dharma BioScience","dharma-bioscience","startup","startup","nodes_csv","","0.6","canonical|historical"
"dogma-biotech","Dogma Biotech","dogma-biotech","startup","startup","nodes_csv","","0.6","canonical|historical"
"done-properly","Done Properly","done-properly","startup","startup","nodes_csv","","0.6","canonical|historical"
"Dynami","Dynami","dynami","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"EcoAustralis","EcoAustralis","ecoaustralis","startup","startup","nodes_csv","","0.6","canonical|historical"
"Egg","Egg","egg","startup","startup","nodes_csv","","0.6","canonical|historical"
"EINSTED","EINSTED","einsted","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"eiwa","Eiwa","eiwa","startup","startup","graphml","","0.6","canonical|historical"
"elytron-biotech","Elytron Biotech","elytron-biotech","startup","startup","graphml","","0.6","canonical|historical"
"Embryoxite","Embryoxite","embryoxite","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"Enteria","Enteria","enteria","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"enzyva","Enzyva","enzyva","startup","startup","graphml","","0.6","canonical|historical"
"eolo-pharma","Eolo Pharma","eolo-pharma","startup","startup","nodes_csv","","0.6","canonical|historical"
"Epiliquid","Epiliquid","epiliquid","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"ergo-bioscience","Ergo Bioscience","ergo-bioscience","startup","startup","graphml","","0.6","canonical|historical"
"ergo-foods","Ergo Foods","ergo-foods","startup","startup","nodes_csv","","0.6","canonical|historical"
"Ethos","Ethos","ethos","startup","startup","nodes_csv","","0.6","canonical|historical"
"Eureka","Eureka","eureka","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"Exomas","Exomas","exomas","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"eywa-biotech","Eywa Biotech","eywa-biotech","startup","startup","graphml","","0.6","canonical|historical"
"Falcomm","Falcomm","falcomm","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"Farmtastica","Farmtastica","farmtastica","startup","startup","nodes_csv","","0.6","canonical|historical"
"fecundis","fecundis","fecundis","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"Feedvax","Feedvax","feedvax","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"FixUP","FixUP","fixup","startup","startup","nodes_csv","","0.6","canonical|historical"
"food4you","Food4You","food4you","startup","startup","graphml","","0.6","canonical|historical"
"Formlabs","Formlabs","formlabs","startup","startup","nodes_csv","","0.6","canonical|historical"
"fungi-life","Fungi Life","fungi-life","startup","startup","nodes_csv","","0.6","canonical|historical"
"future-biome","Future Biome","future-biome","startup","startup","nodes_csv","","0.6","canonical|historical"
"Gameet","Gameet","gameet","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"GBM","GBM","gbm","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"Gbot","Gbot","gbot","startup","startup","nodes_csv","","0.6","canonical|historical"
"Geoprot","Geoprot","geoprot","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"Gigablue","Gigablue","gigablue","startup","startup","nodes_csv","","0.6","canonical|historical"
"gisens-biotech","Gisens Biotech","gisens-biotech","startup","startup","nodes_csv","","0.6","canonical|historical"
"GlucoLib","GlucoLib","glucolib","startup","startup","nodes_csv","","0.6","canonical|historical"
"GlycoX","GlycoX","glycox","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"heartbest","Heartbest","heartbest","startup","startup","graphml","","0.6","canonical|historical"
"HIAMET","HIAMET","hiamet","startup","startup","nodes_csv","","0.6","canonical|historical"
"Huiro","Huiro","huiro","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"imvalv","Imvalv","imvalv","startup","startup","graphml","","0.6","canonical|historical"
"inbioar","Inbioar","inbioar","startup","startup","graphml","","0.6","canonical|historical"
"infira","Infira","infira","startup","startup","graphml","","0.6","canonical|historical"
"ini","INI","ini","startup","startup","graphml","","0.6","canonical|historical"
"INMET","INMET","inmet","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"inner-cosmos","Inner Cosmos","inner-cosmos","startup","startup","nodes_csv","","0.6","canonical|historical"
"Innovai","Innovai","innovai","startup","startup","nodes_csv","","0.6","canonical|historical"
"Invitrall","Invitrall","invitrall","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"Kigui","Kigui","kigui","startup","startup","nodes_csv|graphml","name_mismatch_between_sources","0.9","canonical|historical"
"Kilimo","Kilimo","kilimo","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"kresko-rnatech","Kresko RNATech","kresko-rnatech","startup","startup","nodes_csv","","0.6","canonical"
"Laurus","Laurus","laurus","startup","startup","nodes_csv","","0.6","canonical|historical"
"Lemon","Lemon","lemon","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"levya","Levya","levya","startup","startup","graphml","","0.6","canonical|historical"
"Libera","Libera","libera","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"limay-biosciences","Limay Biosciences","limay-biosciences","startup","startup","nodes_csv","","0.6","canonical|historical"
"lipock","Lipock","lipock","startup","startup","graphml","","0.6","canonical|historical"
"logshare","LogShare","logshare","startup","startup","graphml","","0.6","canonical|historical"
"Luyef","Luyef","luyef","startup","startup","nodes_csv","","0.6","canonical|historical"
"M4Life","M4Life","m4life","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"mavios","Mavios","mavios","startup","startup","graphml","","0.6","canonical|historical"
"Menta","Menta","menta","startup","startup","nodes_csv","","0.6","canonical|historical"
"menta-tickets","Menta Tickets","menta-tickets","startup","startup","nodes_csv","","0.6","canonical|historical"
"mentatech","MentaTech","mentatech","startup","startup","graphml","","0.6","canonical|historical"
"Mesenchyal-T","Mesenchyal-T","mesenchyal-t","startup","startup","nodes_csv","","0.6","canonical|historical"
"metabix-biotech","Metabix Biotech","metabix-biotech","startup","startup","nodes_csv","","0.6","canonical|historical"
"michroma","michroma","michroma","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"microgenesis","microgenesis","microgenesis","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"MicroIN","MicroIN","microin","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"Microterra","Microterra","microterra","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"Migma","Migma","migma","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"monte-caldera-technology","Monte Caldera Technology","monte-caldera-technology","startup","startup","nodes_csv","","0.6","canonical|historical"
"multiplai-health","MultiplAI Health","multiplai-health","startup","startup","nodes_csv","","0.6","canonical|historical"
"muta","MUTA","muta","startup","startup","graphml","","0.6","canonical|historical"
"mycorium-biotech","Mycorium Biotech","mycorium-biotech","startup","startup","nodes_csv","","0.6","canonical|historical"
"MZP","MZP","mzp","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"nairotech","Nairotech","nairotech","startup","startup","graphml","","0.6","canonical|historical"
"nano-jump-bio","Nano Jump Bio","nano-jump-bio","startup","startup","nodes_csv","","0.6","canonical"
"nanogrow-biotech","Nanogrow Biotech","nanogrow-biotech","startup","startup","graphml","","0.6","canonical"
"NanoInGreen","NanoInGreen","nanoingreen","startup","startup","nodes_csv|graphml","","0.9","canonical"
"nanoprox","NanoproX","nanoprox","startup","startup","graphml","","0.6","canonical"
"Nanotransfer","Nanotransfer","nanotransfer","startup","startup","nodes_csv|graphml","","0.9","canonical"
"Nat4Bio","Nat4Bio","nat4bio","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"Naturannova","Naturannova","naturannova","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"neocell","Neocell","neocell","startup","startup","graphml","","0.6","canonical|historical"
"neptune-robotics","Neptune Robotics","neptune-robotics","startup","startup","nodes_csv","","0.6","canonical|historical"
"new-organs-biotech","New Organs Biotech","new-organs-biotech","startup","startup","graphml","","0.6","canonical|historical"
"ngc-partners","ngc Partners","ngc-partners","startup","startup","nodes_csv","","0.6","canonical|historical"
"Nideport","Nideport","nideport","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"NotCo","NotCo","notco","startup","startup","nodes_csv","","0.6","canonical|historical"
"NotFossil","NotFossil","notfossil","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"novo-space","Novo Space","novo-space","startup","startup","nodes_csv","","0.6","canonical|historical"
"nude","Nude","nude","startup","startup","graphml","","0.6","canonical|historical"
"nunatak-biotech","Nunatak Biotech","nunatak-biotech","startup","startup","nodes_csv","","0.6","canonical|historical"
"Oasys","Oasys","oasys","startup","startup","nodes_csv","","0.6","canonical|historical"
"ocular-bio-design","Ocular Bio Design","ocular-bio-design","startup","startup","graphml","","0.6","canonical|historical"
"onco-precision","Onco Precision","onco-precision","startup","startup","nodes_csv","","0.6","canonical|historical"
"Oncoliq","Oncoliq","oncoliq","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"Oneinfinite","Oneinfinite","oneinfinite","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"open-water","Open Water","open-water","startup","startup","nodes_csv","","0.6","canonical|historical"
"Opentrons","Opentrons","opentrons","startup","startup","nodes_csv","","0.6","canonical|historical"
"Outpost","Outpost","outpost","startup","startup","nodes_csv","","0.6","canonical|historical"
