"entity_id","alias","alias_type","source_kind","notes"
"nano-jump-bio","NanoJump Bio","auto_promoted_review_alias","canonical_review","Same normalized name with spacing variation"
"Naturannova","Naturanova","manual_override","manual_alias_overrides","spelling_variant_same_company|high"
"new-organs-biotech","New Organs","manual_override","manual_alias_overrides","name_shortening|medium"
"novo-space","Novo Space","merge_from_staging","canonical","Exact same name across sources"
"novo-space","NovoSpace","merge_from_staging","canonical","Same normalized name without space"
"nunatak-biotech","Nunatak Biotech","merge_from_staging","canonical","Exact same name across sources"
"onco-precision","Onco Precision","merge_from_staging","canonical","Exact same name across sources"
"onco-precision","OncoPrecision","merge_from_staging","canonical","Same normalized name without space"
"pampa-start","Pampa Start","manual_external_alias","canonical","Manual addition from official/secondary fund coverage"
"pampa-start","Pampa Start VC","manual_external_alias","canonical","Common naming variant for the same Rio Cuarto agrifood VC"
"pill-ar","Pill.AR","merge_from_staging","canonical","Exact same name across sources"
"positive-ventures","Positive Ventures","manual_external","canonical","Official fund name from Positive Ventures website"
"puna-bio","Puna Bio","merge_from_staging","canonical","Exact same name across sources"
"qumir-nano","Qumir Nano","merge_from_staging","canonical","Exact same name across sources"
"satellites-on-fire","Satellites on Fire","merge_from_staging","canonical","Same normalized name with case variation"
"scitherm-therapeutics","Scitherm","manual_override","manual_alias_overrides","name_shortening|medium"
"st-mm","StÃ¤mm","auto_promoted_review_alias","canonical_review","Encoding issue and same normalized identity"
"synthetic-ocular-restoration","Synthetic Ocular Restoration","merge_from_staging","canonical","Exact same name across sources"
"syocin-biotech","Syocin Bio","manual_override","manual_alias_overrides","name_shortening|medium"
"tomorrow-foods","Tomorrow","manual_override","manual_alias_overrides","portfolio_name_variant|high"
"trebe-biotech","Trebe Biotech","merge_from_staging","canonical","Exact same name across sources"
"ubique-bio","Ubique Bio","merge_from_staging","canonical","Exact same name across sources"
"ubique-bio","UbiqueBio","manual_override","manual_alias_overrides","spacing_variant|high"
"UNIBAIO","UNIBAIO","manual_override","manual_alias_overrides","portfolio_name_variant|high"
"vexxel-biotech","Vexxel Biotech","merge_from_staging","canonical","Exact same name across sources"
"vexxel-biotech","VexxelBio","manual_override","manual_alias_overrides","spacing_variant|medium"
"werk-nvac","Werken Vac","merged_canonical_name","canonical","Same normalized name with spacing and accent variation"
"werk-nvac","WerkenVac","merge_from_staging","canonical","Same normalized name with spacing and accent variation"
"zavia-bio","Zavia Bio","merge_from_staging","canonical","Exact same name across sources"
"zentynel","Zentynel","manual_external","canonical","Official fund name from Zentynel website"
"zev-biotech","ZEV Biotech","merge_from_staging","canonical","Exact same name across sources"
"zev-biotech","ZEVBiotech","manual_override","manual_alias_overrides","spacing_variant|high"
