"startup_id","startup_name","current_macro_theme","current_emergent_theme","semantic_beta_theme","semantic_cluster_id","semantic_beta_score","semantic_beta_margin","semantic_beta_confidence","gridx_match","antom_match","matched_signals","source_url","source_type","review_status","evidence_excerpt","startup_summary_v1"
"bybug","ByBug","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","ag biologicals and crop resilience","cluster_1","15.5","10.1","medium","Agri-food-land use","despliegue / intervencion","terapeutica; modificados; insectos; geneticamente; biomanufactura","https://www.gridexponential.com/portfolio","official_portfolio_profile","seeded","GRIDX portfolio describes therapeutics biomanufacturing using genetically modified insects.","Startup biotech que usa insectos geneticamente modificados para biomanufactura terapeutica. Entra en tesis por biomanufacturing and bioindustrial platforms."
"caligenia","Caligenia","ag biologicals and crop resilience","extremophile microbial ag inputs","ag biologicals and crop resilience","cluster_1","25.7","9.6","medium","Agri-food-land use","despliegue / intervencion","transforma; pollo; negativos; guano; carbono; biofertilizantes","https://www.gridexponential.com/portfolio","official_portfolio_profile","seeded","GRIDX portfolio describes turning chicken manure into carbon negative biofertilizers.","Startup agrobiotech que transforma guano de pollo en biofertilizantes carbono-negativos. Entra en tesis por ag biologicals and crop resilience."
"cargo_sapiens","Cargo Sapiens","climate, energy and resource systems","climate and resource intelligence platforms","ag biologicals and crop resilience","cluster_1","14.8","5.2","medium","Agri-food-land use","despliegue / intervencion","transporte; strip; resource; relacion; provisoria; optimiza","https://cargosapiens.com","candidate_website_from_user_csv","seeded","User-provided Gemini CSV describes Cargo Sapiens as a logistics platform for optimizing freight transport, with an official website URL attached.","Startup de logistica que optimiza transporte de carga. Se mantiene adentro de forma provisoria por su relacion con flujos materiales y resource systems."
"circclo","CIRCCLO","climate, energy and resource systems","circular material systems","ag biologicals and crop resilience","cluster_1","28","16.5","high","Agri-food-land use","despliegue / intervencion","tech; residuos; reciclaje; gestion; economia; climate","https://circclo.com","candidate_website_from_user_csv","seeded","User-provided Gemini CSV describes CIRCCLO as a circular economy platform for waste management and recycling, with an official website URL attached.","Startup climate-tech que desarrolla una plataforma de economia circular para gestion de residuos y reciclaje. Entra en tesis por climate, energy and resource systems."
"cryosmetics","Cryosmetics","biobased chemistry and advanced materials","biobased chemistry and materials","ag biologicals and crop resilience","cluster_1","24.5","15","high","Agri-food-land use","despliegue / intervencion","productos; positivamente; piel; personal; naturales; microbioma","https://www.gridexponential.com/portfolio","official_portfolio_profile","seeded","GRIDX portfolio describes 100% natural skincare products impacting positively on the skin microbiome.","Startup de personal care biobasado con productos naturales que impactan positivamente el microbioma de la piel. Entra en tesis por biobased chemistry and advanced materials."
"cyanomin","CyanoMin","climate, energy and resource systems","resource recovery and bioremediation systems","ag biologicals and crop resilience","cluster_1","0","0","low","Agri-food-land use","despliegue / intervencion","trata; salmueras; recupera; minerales; hipersalinas; bioremediacion","https://www.gridexponential.com/portfolio","official_portfolio_profile","seeded","GRIDX portfolio describes bioremediation of hypersaline brines with mineral recovery.","Startup de bioremediacion que trata salmueras hipersalinas y recupera minerales. Entra en tesis por climate, energy and resource systems."
"deepagro","DeepAgro","precision agriculture and resource intelligence","precision agriculture intelligence","ag biologicals and crop resilience","cluster_1","21.3","12.3","high","Agri-food-land use","despliegue / intervencion","spraying; precision; more; monitoring; efficient; deepagro","https://www.deepagro.com/","official_website","seeded","DeepAgro applies AI to agriculture for precision spraying, crop monitoring and more efficient use of agrochemicals.","DeepAgro applies AI to agriculture for precision spraying, crop monitoring and more efficient use of agrochemicals. Entra en tesis por precision agriculture and resource intelligence."
"einsted","Einsted","climate, energy and resource systems","critical materials and resource systems","ag biologicals and crop resilience","cluster_1","23.4","16.3","high","Agri-food-land use","despliegue / intervencion","valorizando; tech; subproductos; reduciendo; pyrolysis; plasma","https://einsted.bio/","official_website","reviewed","Official site describes plasma pyrolysis technology that converts methane into hydrogen and carbon, enabling on-site decarbonization without harmful emissions or water consumption.","Startup de clean-tech industrial que usa plasma pyrolysis para convertir metano en hidrogeno limpio y carbono de alta conductividad, reduciendo emisiones y valorizando subproductos materiales. Entra en tesis por climate and resource systems."
"enteria","Enteria","diagnostics and medtech","health diagnostics and medtech","ag biologicals and crop resilience","cluster_1","15.1","6.9","medium","Agri-food-land use","despliegue / intervencion","microbiota; diagnosticas; basadas","https://www.gridexponential.com/portfolio","official_portfolio_profile","seeded","GRIDX portfolio describes developing microbiota-based diagnostic tools.","Startup que desarrolla herramientas diagnosticas basadas en microbiota. Entra en tesis por diagnostics and medtech."
"fecundis","Fecundis","therapeutics and regenerative medicine","therapeutic and regenerative biology","ag biologicals and crop resilience","cluster_1","16.9","2.7","low","Agri-food-land use","despliegue / intervencion","tratamientos; infertilidad; fertilidad; espermatozoides; eficacia; aumentar","https://www.fecundis.com/","official_website","reviewed","Official site describes sperm-enhancing technologies based on reproductive biology to improve infertility treatment success.","Biotech de fertilidad que desarrolla tecnologias para mejorar espermatozoides y aumentar la eficacia de tratamientos de infertilidad. Entra en tesis por therapeutics and regenerative medicine."
"food4you","Food4You","food biotech and novel ingredients","food transition ingredients and proteins","ag biologicals and crop resilience","cluster_1","19.8","12.2","high","Agri-food-land use","despliegue / intervencion","productos; plant; combinaciones; bacterianas","https://www.gridexponential.com/portfolio","official_portfolio_profile","seeded","GRIDX portfolio describes unique bacteria combinations that enhance plant-based products.","Startup food biotech que usa combinaciones bacterianas para mejorar productos plant-based. Entra en tesis por food biotech and novel ingredients."
"genica","Gênica","ag biologicals and crop resilience","ag biologicals and crop resilience","ag biologicals and crop resilience","cluster_1","37.8","22.5","high","Agri-food-land use","despliegue / intervencion","biologicals; suelo; strip; resilience; regenerativa; enfocada","https://spventures.com.br/portfolio/genica/","official_portfolio_profile","seeded","SP Ventures portfolio and related coverage describe Gênica as a Brazilian company tackling soil health through ag biologicals.","Startup brasileña de ag biologicals enfocada en salud de suelo y bioinsumos para una agricultura más regenerativa. Entra claramente por ag biologicals and crop resilience."
"geoprot","Geoprot","ag biologicals and crop resilience","ag biologicals and crop resilience","ag biologicals and crop resilience","cluster_1","29.9","14.1","high","Agri-food-land use","despliegue / intervencion","proteinas; protege; naturales; mediante; cultivos; agrobiotech","https://geoprot.bio","candidate_website_from_user_csv","seeded","User-provided Gemini CSV describes Geoprot as biotechnology for crop protection through natural proteins, with an official website URL attached.","Startup agrobiotech que protege cultivos mediante proteinas naturales. Entra en tesis por ag biologicals and crop resilience."
"gigablue","Gigablue","climate, energy and resource systems","nature restoration and carbon systems","ag biologicals and crop resilience","cluster_1","25.1","15.2","high","Agri-food-land use","despliegue / intervencion","restaurar; remover; removal; oceanografica; oceanico; ocean","https://www.gigablue.co/about","official_website","reviewed","Official site describes Gigablue as a science-led ocean carbon removal company using microalgae carbon fixation and sinking, oceanographic intelligence and environmental monitoring to restore ocean balance.","Startup de ocean carbon removal que combina ciencia marina, biogeoquimica, monitoreo y plataformas de inteligencia oceanografica para remover carbono y restaurar balance oceanico. Entra en tesis por su acople directo a sistemas planetarios."
"infira","Infira","ag biologicals and crop resilience","genome-enabled crop resilience","ag biologicals and crop resilience","cluster_1","28.1","15.9","high","Agri-food-land use","despliegue / intervencion","suelo; strip; resiliencia; resilience; productividad; perennes","https://ar.linkedin.com/company/infira","public_company_profile","reviewed","LinkedIn describes Infira as an Argentine agrobiotech developing plant genetics technology to extend crop life cycles and improve production and resilience.","Startup argentina de agrobiotecnologia que desarrolla tecnologias geneticas para convertir cultivos anuales en perennes, aumentando productividad, resiliencia y salud del suelo. Entra por crop resilience y genetics."
"inmet","INMET","biobased chemistry and advanced materials","biobased chemistry and materials","ag biologicals and crop resilience","cluster_1","0","0","low","Agri-food-land use","despliegue / intervencion","totalmente; solventes; libre; compostable; biopolimero","https://sf500.com.ar/","official_portfolio_profile","seeded","SF500 portfolio describes a fully compostable, solvent free, biopolymer.","Startup de materiales que desarrolla un biopolimero totalmente compostable y libre de solventes. Entra en tesis por biobased chemistry and advanced materials."
"inner_cosmos","Inner Cosmos","therapeutics and regenerative medicine","therapeutic and regenerative biology","ag biologicals and crop resilience","cluster_1","17.8","7.1","medium","Agri-food-land use","despliegue / intervencion","tratamiento; neurotech; implantes; digitales; depresion","https://innercosmos.io","candidate_website_from_user_csv","seeded","User-provided Gemini CSV describes Inner Cosmos as digital implant neurotechnology for treating depression, with an official website URL attached.","Startup neurotech que usa implantes digitales para el tratamiento de la depresion. Entra en tesis por therapeutics and regenerative medicine."
"innova_space","Innova Space","climate, energy and resource systems","satellite iot for environmental monitoring","ag biologicals and crop resilience","cluster_1","21.8","12.3","high","Agri-food-land use","despliegue / intervencion","monitoreo; ambiental; valido; strip; satelital; remotas","https://www.innova-space.com/en/","official_website","reviewed","Official site highlights environmental, farming, water-quality and maritime monitoring applications enabled by its satellite IoT platform.","Empresa espacial que despliega picosatelites e IoT satelital para monitoreo ambiental, agua, agricultura y aplicaciones remotas. Entra como caso de borde valido por su acople a monitoreo material y ambiental de sistemas planetarios."
"kigui","Kigüi","climate, energy and resource systems","climate and resource intelligence platforms","ag biologicals and crop resilience","cluster_1","18","7.1","medium","Agri-food-land use","despliegue / intervencion","strip; rotacion; retail; reducir; promocional; mermas","https://kigui.io/en/","official_website","reviewed","Official site describes AI for expiry-based stock accuracy, task prioritization and promotion execution to reduce losses in retail operations.","Plataforma de IA para retail que detecta expiraciones, faltantes y ejecucion promocional para reducir mermas y mejorar rotacion en alimentos y consumo masivo. Se mantiene adentro como caso borde de eficiencia material y desperdicio."
"kilimo","Kilimo","precision agriculture and resource intelligence","water intelligence for resilient agriculture","ag biologicals and crop resilience","cluster_1","21.3","12","high","Agri-food-land use","despliegue / intervencion","watershed; water; outcomes; links; kilimo; irrigation","https://kilimo.com/en/about-us/","official_website","seeded","Kilimo is a water-focused ag and climate platform that links companies and farmers to improve irrigation efficiency and watershed outcomes.","Kilimo is a water-focused ag and climate platform that links companies and farmers to improve irrigation efficiency and watershed outcomes. Entra en tesis por precision agriculture and resource intelligence."
"logshare","LogShare","climate, energy and resource systems","climate and resource intelligence platforms","ag biologicals and crop resilience","cluster_1","27.7","13.9","high","Agri-food-land use","despliegue / intervencion","viajes; vacios; trazabilidad; transporte; strip; rutas","https://www.logshare.com.br/embarcadores?lang=en","official_website","reviewed","Official site describes collaborative freight sharing, route coordination, CO2 reduction, monitoring and traceability for cargo transportation and return freight.","Plataforma de logistica colaborativa que comparte capacidad ociosa en rutas de carga para reducir viajes vacios, costos y emisiones, con trazabilidad y monitoreo ambiental. Entra como caso borde climate-material por su acople directo a transporte de cargas y reduccion de combustibles fosiles."
"m4life","M4Life","ag biologicals and crop resilience","ag biologicals and crop resilience","ag biologicals and crop resilience","cluster_1","22.5","17.4","high","Agri-food-land use","despliegue / intervencion","vegetal; resiliencia; frente; estres; enhancer; biologico","https://sf500.com.ar/","official_portfolio_profile","seeded","SF500 portfolio describes a biological plant resilience enhancer to abiotic stress.","Startup agrobiotech que desarrolla un enhancer biologico para resiliencia vegetal frente a estres abiotico. Entra en tesis por ag biologicals and crop resilience."
"microin","MicroIN","ag biologicals and crop resilience","extremophile microbial ag inputs","ag biologicals and crop resilience","cluster_1","27.2","27.2","high","Agri-food-land use","despliegue / intervencion","microencapsulacion; innovacion; formulacion; bioinsumos","https://www.gridexponential.com/portfolio","official_portfolio_profile","seeded","GRIDX portfolio describes microencapsulation technology for bioinput innovation.","Startup de formulacion que desarrolla microencapsulacion para innovacion en bioinsumos. Entra en tesis por ag biologicals and crop resilience."
"muta","MUTA","climate, energy and resource systems","resource recovery and circular materials infrastructure","ag biologicals and crop resilience","cluster_1","18.5","5.6","medium","Agri-food-land use","despliegue / intervencion","trazabilidad; strip; recuperacion; recolectores; reciclables; procesadores","https://www.f6s.com/company/muta-world","external_profile","reviewed","F6S describes MUTA as an all-in-one B2B circular economy platform connecting generators with processors and orchestrating the recycling supply chain with traceability and data.","Startup colombiana de economia circular que conecta generadores, recolectores y procesadores de materiales reciclables mediante una plataforma B2B con trazabilidad y coordinacion operacional. Entra por su rol directo en recuperacion de materiales y limites planetarios."
"nairotech","Nairotech","biobased chemistry and advanced materials","circular material systems","ag biologicals and crop resilience","cluster_1","18.6","6.4","medium","Agri-food-land use","despliegue / intervencion","strip; profunda; principios; nanotecnologia; especializada; editorialtext","https://connectamericas.com/es/company/nairotech-desarrollo-e-innovacion-sa","external_company_profile","seeded","ConnectAmericas describes Nairotech as an Argentine development and research company specialized in composite materials and nanotechnology under circular-economy principles.","Compania argentina de I+D especializada en materiales compuestos y nanotecnologia con principios de economia circular. Entra por materiales avanzados/circularidad, aunque no sea biotech profunda."
"nanogrow_biotech","Nanogrow Biotech","therapeutics and regenerative medicine","therapeutic and regenerative biology","ag biologicals and crop resilience","cluster_1","21.5","5.4","medium","Agri-food-land use","despliegue / intervencion","unico; tratamientos; terapeutica; estrategias; dominio; delivery","https://www.nanogrowbiotech.com/","official_website","reviewed","Official site describes biological treatments based on single-domain antibodies, with localized delivery and a multi-product therapeutic platform.","Biotech terapéutica que desarrolla tratamientos biológicos basados en anticuerpos de dominio único con estrategias avanzadas de delivery. Entra en tesis por therapeutics and regenerative medicine."
"nanoingreen","Nanoingreen","biobased chemistry and advanced materials","biobased chemistry and materials","ag biologicals and crop resilience","cluster_1","17.9","8.2","medium","Agri-food-land use","despliegue / intervencion","naturales; nanotecnologia; ingredientes; encapsula; cosmeticas; aplicaciones","https://nanoingreen.com","candidate_website_from_user_csv","seeded","User-provided Gemini CSV describes Nanoingreen as nanotechnology for encapsulating natural ingredients, with an official website URL attached.","Startup de nanotecnologia que encapsula ingredientes naturales para mejorar su uso en aplicaciones alimentarias, cosmeticas o de salud. Entra en tesis por biobased chemistry and advanced materials."
"nanoprox","NanoproX","diagnostics and medtech","health diagnostics and medtech","ag biologicals and crop resilience","cluster_1","22.9","14.5","high","Agri-food-land use","despliegue / intervencion","reducir; radioterapia; potenciar; oncologica; nanoparticulas; eficacia","https://www.nanoprox.com/","official_website","reviewed","Official site describes bismuth sulfide nanoparticles that increase radiotherapy effectiveness and reduce adverse effects, especially in hard-to-access tumors.","Startup oncológica que usa nanopartículas para potenciar radioterapia, mejorar eficacia y reducir efectos adversos. Entra en tesis por diagnostics and medtech."
"nanotica","Nanotica","ag biologicals and crop resilience","ag biologicals and crop resilience","ag biologicals and crop resilience","cluster_1","16.4","3.3","low","Agri-food-land use","despliegue / intervencion","strip; nanotecnologia; mantiene; eficiencia; editorialtext; dentro","https://nanotica.bio","candidate_website_from_user_csv","seeded","User-provided Gemini CSV describes Nanotica as nanotechnology to improve agrochemical efficiency, with an official website URL attached.","Startup que aplica nanotecnologia para mejorar la eficiencia de agroquimicos. Se mantiene dentro por su acople a sistemas agricolas materiales."
"nanotransfer","Nanotransfer","therapeutics and regenerative medicine","therapeutic and regenerative biology","ag biologicals and crop resilience","cluster_1","20.9","3","low","Agri-food-land use","despliegue / intervencion","virales; terapias; strip; oxidos; nanoparticulas; nanobiotech","https://nanotransfer.bio/","official_website","reviewed","Official site describes a non-viral nanoparticle delivery library for gene therapies and gene-editing payloads.","Startup de nanobiotech que desarrolla sistemas no virales de entrega genetica para terapias genicas y edicion, basados en nanoparticulas de oxidos metalicos."
"nat4bio","Nat4Bio","food biotech and novel ingredients","food transition ingredients and proteins","ag biologicals and crop resilience","cluster_1","23","10.6","medium","Agri-food-land use","despliegue / intervencion","residuos; recubrimientos; proteger; naturales; frutas; deterioro","https://sosv.com/company/nat4bio/","official_company_profile","reviewed","SOSV describes naturally-sourced and zero-residue coatings that protect fruit from spoilage, produced through microbial fermentation of bacteria and fungi.","Startup food biotech que desarrolla recubrimientos comestibles, naturales y sin residuos para proteger frutas del deterioro. Entra en tesis por food biotech and novel ingredients."
"neocrop-technologies","Neocrop Technologies","ag biologicals and crop resilience","ag biologicals and crop resilience","ag biologicals and crop resilience","cluster_1","32.2","20.2","high","Agri-food-land use","despliegue / intervencion","crop; variedades; strip; resilience; precision; nuevas","https://zentynel.com/en/portfolio/","official_portfolio_profile","seeded","Zentynel describes Neocrop Technologies as developing crop varieties with precision gene editing and accelerated breeding for resilient and productive seeds.","Startup chile/usa de crop biotech que desarrolla nuevas variedades mediante edicion genetica de precision y breeding acelerado. Entra claramente por ag biologicals and crop resilience."
"new_organs_biotech","New Organs Biotech","therapeutics and regenerative medicine","therapeutic and regenerative biology","ag biologicals and crop resilience","cluster_1","17.4","2.3","low","Agri-food-land use","despliegue / intervencion","regenerativa; precision; organos; medicine; medicina; gene","https://www.gridexponential.com/portfolio","official_portfolio_profile","seeded","GRIDX portfolio describes combining gene-editing with precision medicine to solve organ shortage.","Startup de medicina regenerativa que combina gene editing y precision medicine para enfrentar la escasez de organos. Entra en tesis por therapeutics and regenerative medicine."
"nideport","Nideport","climate, energy and resource systems","nature restoration and carbon systems","ag biologicals and crop resilience","cluster_1","25.3","18.4","high","Agri-food-land use","despliegue / intervencion","gestion; creditos; comercializacion; carbono","https://nideport.com","candidate_website_from_user_csv","seeded","User-provided Gemini CSV describes Nideport as a platform for managing and commercializing carbon credits, with an official website URL attached.","Startup que desarrolla una plataforma para gestion y comercializacion de creditos de carbono. Entra en tesis por climate, energy and resource systems."
"notfossil","NotFossil","climate, energy and resource systems","resource recovery and bioremediation systems","ag biologicals and crop resilience","cluster_1","0","0","low","Agri-food-land use","despliegue / intervencion","propietarios; microbios; hidrocarburos; degradar; bioremediacion; biofiltros","https://sf500.com.ar/","official_portfolio_profile","seeded","SF500 portfolio describes biofilters development with proprietary microbes to degrade hydrocarbons.","Startup de bioremediacion que desarrolla biofiltros con microbios propietarios para degradar hidrocarburos. Entra en tesis por climate, energy and resource systems."
"nunatak_biotech","Nunatak Biotech","ag biologicals and crop resilience","extremophile microbial ag inputs","ag biologicals and crop resilience","cluster_1","30.3","15.9","high","Agri-food-land use","despliegue / intervencion","suelos; strip; restaurar; rendimiento; planta; microorganismo","https://www.nunatakbio.com/","official_website","reviewed","Official site describes plant-microbiome symbiosis design to restore soils and improve plant performance under adverse conditions.","Startup de bioinsumos que diseña asociaciones planta-microorganismo para restaurar suelos y mejorar el rendimiento de cultivos en ambientes adversos."
"onco_precision","Onco Precision","therapeutics and regenerative medicine","therapeutic and regenerative biology","ag biologicals and crop resilience","cluster_1","15.1","0.4","low","Agri-food-land use","despliegue / intervencion","throughput; terapeuticos; tempranas; strip; programas; pacientes","https://www.oncoprecision.bio/","official_website","reviewed","Official site describes a platform therapeutics company using high-throughput biology and AI/ML to discover oncology antibody programs with patient-derived data.","Startup de anticuerpos terapeuticos que integra high-throughput biology y AI/ML para descubrir programas oncologicos con datos derivados de pacientes desde etapas tempranas."
"outpost","Outpost","computational biology and scientific software","computational biology and life-science software","ag biologicals and crop resilience","cluster_1","18.4","6.9","medium","Agri-food-land use","despliegue / intervencion","volver; techbio; microbiology; microbiologia; machine; learning","https://www.outpost.bio/","official_website","reviewed","Official site describes a closed-loop engine pairing wet-lab biology with machine learning to make microbial ecosystems computable and enable predictive medicine.","TechBio que combina wet lab microbiology y machine learning para volver computable la microbiologia humana. Entra en tesis por computational biology and scientific software."
"puna_bio","Puna Bio","ag biologicals and crop resilience","extremophile microbial ag inputs","ag biologicals and crop resilience","cluster_1","24.4","24.4","high","Agri-food-land use","despliegue / intervencion","yield; soil; regeneration; puna; microbial; inoculants","https://www.puna.bio/en","official_website","seeded","Puna Bio develops extremophile-based agricultural biologicals and microbial inoculants for yield improvement and soil regeneration.","Puna Bio develops extremophile-based agricultural biologicals and microbial inoculants for yield improvement and soil regeneration. Entra en tesis por ag biologicals and crop resilience. TRL actual inferido: 9."
"satellites_on_fire","Satellites on Fire","climate, energy and resource systems","wildfire intelligence and prevention systems","ag biologicals and crop resilience","cluster_1","22.8","2.2","low","Agri-food-land use","despliegue / intervencion","incendios; territorial; temprana; strip; satelites; riesgo","https://www.satellitesonfire.com/en","official_website","reviewed","Official site describes early fire detection, smart monitoring and alerts using satellites, cameras and proprietary AI, helping detect fires before public satellite systems.","Plataforma de deteccion temprana y monitoreo inteligente de incendios que combina satelites, camaras y modelos de IA. Entra claramente por prevencion de incendios, proteccion territorial y gestion de riesgo planetario."
"satellogic","Satellogic","climate, energy and resource systems","earth observation for planetary monitoring","ag biologicals and crop resilience","cluster_1","25.6","15.9","high","Agri-food-land use","despliegue / intervencion","recursos; monitoreo; terrestre; strip; satelites; planetario","https://satellogic.com/earth-observation/environment-climate/","official_website","reviewed","Official site describes Earth Observation for environmental conservation, restoration, wildfire assessment, climate monitoring and natural resource protection.","Empresa de observacion terrestre que opera satelites e imagenes de alta frecuencia para monitoreo ambiental, clima, recursos y desastres. Entra por su acople directo a monitoreo planetario y gestion de recursos."
"semion","Semion","ag biologicals and crop resilience","ag biologicals and crop resilience","ag biologicals and crop resilience","cluster_1","29","18.1","high","Agri-food-land use","despliegue / intervencion","resiliencia; plantas; plagas; perdidos; naturales; modificar","https://semionbio.com/","official_website","reviewed","Official site says Semion restores natural defense mechanisms lost during domestication and develops targeted solutions to activate plant defenses instead of killing pests or using GM.","Startup agrobiotech que activa mecanismos naturales de defensa de las plantas perdidos durante la domesticacion para mejorar resiliencia frente a plagas sin modificar geneticamente los cultivos. Entra en tesis por ag biologicals and crop resilience."
"sima","Sima","precision agriculture and resource intelligence","precision agriculture intelligence","ag biologicals and crop resilience","cluster_1","22.9","9.2","medium","Agri-food-land use","despliegue / intervencion","trabajo; ordenes; monitoreo; inteligente; geolocalizacion; generacion","https://sima.ag/","official_website","reviewed","Official site describes crop monitoring, geolocated data, analysis and application work orders across millions of hectares.","Plataforma de agricultura inteligente para monitoreo de cultivos, geolocalizacion de datos y generacion de ordenes de trabajo en campo. Entra en tesis por precision agriculture and resource intelligence."
"syocin-biotech","Syocin Biotech","ag biologicals and crop resilience","ag biologicals and crop resilience","ag biologicals and crop resilience","cluster_1","25.4","15.3","high","Agri-food-land use","despliegue / intervencion","proteicos; proteger; precision; microbiomas; frente; fitopatogenos","https://syocin.com/","official_website","reviewed","Official site describes protein-based biobactericides and a synthetic biology platform to fight bacterial plant diseases while preserving microbiomes and soil health.","Startup ag biotech que desarrolla biobactericidas proteicos de alta precision para proteger cultivos frente a fitopatogenos bacterianos sin afectar microbiomas beneficiosos. Entra en tesis por su uso de biologia sintetica aplicada a resiliencia agricola."
