"startup_id","startup_name","macro_theme","emergent_theme","market_label","technical_stack","transition_function","output_class","feedstock","industry_destination","market_interface","scope_decision","scope_reason","scope_source","evidence_source","notes","confidence"
"beam_croptech","BEAM CropTech","ag biologicals and crop resilience","genome-enabled crop resilience","crop trait biotech","plant photobiology; genetic engineering; seed trait development","climate-stressed-low-yield-crops-to-more-resilient-productive-cultivation","crop trait technology","seed genetics and plant photobiology","agriculture and seed industry","trait platform","include","official_site_signal_bio_based_or_biocentric","beam_croptech_official_site","beam_croptech_official_site_2026","Official site describes genetic technologies to improve photosynthesis, productivity and drought resilience in crops through advanced photobiology and biotechnology.","0.94"
"beeflow","Beeflow","ag biologicals and crop resilience","data-driven pollination systems","bee-based pollination science for specialty crops","bee biology; plant science; crop data; proprietary bee nutrition; pollination services","unmanaged-pollination-to-biological-pollination-performance","managed biological pollination service","","fruit and specialty crop agriculture","B2B / platform","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_01_2026_05_08","official_website","Include as direct intervention on living pollination systems and crop resilience.","0.90"
"bekeu","Bekeu","peripheral or non-core digital ventures","digital coordination and market infrastructure","procurement and purchasing software","procurement workflows; supplier coordination; purchase traceability","manual-and-fragmented-operations-to-digital-coordination","software platform","supplier records, approvals and purchasing workflows","corporate procurement","B2B software platform","exclude","full_digital_no_materiality_signal","bekeu_official_site","bekeu_official_site_2026","Official site describes standardized procurement, suppliers and approvals without clear bio, material or regenerative signal.","0.89"
"betterfly","Betterfly","peripheral or non-core digital ventures","digital coordination and market infrastructure","employee benefits and insurtech platform","digital benefits; insurance technology; wellness platform","manual-and-fragmented-operations-to-digital-coordination","software platform","employee activity, benefits and insurance data","HR and insurance markets","B2B software platform","exclude","full_digital_no_materiality_signal","betterfly_official_site","betterfly_official_site_2026","Official site describes a benefits, wellness and protection platform with no direct materiality signal.","0.88"
"bioblends","BioBlends","food biotech and novel ingredients","natural food preservation systems","food preservation biotech","gas-based bio-preservatives; food microbiology; clean-label preservation","food-loss-and-chemical-preservatives-to-natural-shelf-life-extension","food ingredient or preservation input","gas-based bio-preservatives","food industry and fresh produce","ingredient and food preservation supplier","include","official_public_profile_signal_bio_based_or_biocentric","cancilleria_next_argentina","cancilleria_next_argentina_2026","Public official profile describes gas-based natural bio-preservatives that control fungi and extend shelf life without chemical additives.","0.88"
"biocle","BioCl","therapeutics and regenerative medicine","therapeutic and regenerative biology","digestive health delivery platform","bacterial vesicles; microbiome delivery; therapeutic biotech","imprecise-gut-health-interventions-to-biological-delivery","therapeutic platform","bacterial vesicles","digestive health and therapeutics","therapeutic platform","include","official_portfolio_signal_bio_based_or_biocentric","gridx_portfolio_official","gridx_portfolio_2026","GRIDX portfolio describes bacterial vesicles for precise and effective delivery in digestive health.","0.80"
"biodiversity_intelligence","Biodiversity Intelligence","climate, energy and resource systems","climate and resource intelligence platforms","biodiversity measurement and nature reporting platform","environmental DNA; satellite analytics; biodiversity monitoring; nature reporting","low-visibility-nature-loss-to-measurable-biodiversity-intelligence","nature intelligence platform","environmental DNA, satellite and biodiversity monitoring data","nature reporting, conservation and land stewardship","data and monitoring platform","include","official_portfolio_signal_planetary_boundary_stewardship","gridx_portfolio_official","gridx_portfolio_2026","GRIDX portfolio describes Biodiversity Intelligence as measuring and reporting nature with DNA and satellite technology.","0.86"
"bioheuris","BioHeuris","ag biologicals and crop resilience","genome-enabled crop resilience","crop trait biotech","gene editing; crop trait development; plant science","chemical-intensive-to-resilient-crop-systems","crop trait technology","seeds and crop genetics","agriculture","trait platform","include","official_site_signal_bio_based_or_biocentric","bioheuris_official_site","bioheuris_official_site_2026","Official site describes biotech tools for more efficient weed control and crop production, including genome-edited crop solutions.","0.95"
"biometallum","BioMetallum","climate, energy and resource systems","biomining and critical minerals","biomining and lower-impact critical-mineral extraction","microorganisms; synthetic biology; biomining; AI exploration; direct lithium extraction","chemical-intensive-mining-to-biological-critical-mineral-recovery","biomining process platform","","lithium, critical minerals and energy-transition materials","B2B / platform","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_02_2026_05_08","official_website","Include as industrial biotechnology for critical minerals and resource recovery.","0.90"
"bioplaster_research_inc","BioPlaster Research Inc","biobased chemistry and advanced materials","circular material systems","seaweed biomaterials company","biorefinery; biomaterials engineering; compostable packaging","waste-biomass-and-petro-plastics-to-compostable-regenerative-packaging","industrial materials platform","sargassum, alginate and cellulose-rich biomass","packaging, retail and protective materials","materials supplier","include","official_site_signal_bio_based_or_biocentric","bioplaster_official_site","bioplaster_official_site_2026","Official site describes compostable biomaterials and packaging made from invasive sargassum and other seaweed-derived compounds.","0.95"
"botanical-solutions","Botanical Solutions","ag biologicals and crop resilience","ag biologicals and crop resilience","botanical crop protection and biobased active ingredients","plant tissue culture; botanical extracts; crop protection biotech; bioprocessing","synthetic-crop-protection-to-botanical-bioinputs-and-advanced-natural-actives","ag biological platform","quillay-derived botanical actives and plant tissue culture systems","agriculture and natural active ingredients","input and ingredient company","include","official_company_profile_signal_bio_based_or_biocentric","linkedin_company_profile","botanical_solutions_linkedin_2026","LinkedIn describes Botanical Solutions as a Chilean biotech using proprietary plant tissue culture technologies to create botanical-origin raw materials for crop protection and human health.","0.91"
"bioplastix","Bioplastix","biobased chemistry and advanced materials","circular material systems","bioplastics production technology company","synthetic biology; precision fermentation; strain engineering","petrochemical-plastics-to-bio-based-circular-polymers","industrial materials platform","low-cost sugars and agroindustrial waste","petrochemicals, agribusiness and consumer goods","technology and materials platform","include","official_site_signal_bio_based_or_biocentric","bioplastix_official_site","bioplastix_official_site_2026","Official site describes engineered bacteria, precision fermentation and low-cost feedstocks to produce customizable bioplastics at scale.","0.94"
"bioseek","Bioseek","computational biology and scientific software","computational biology and life-science software","life-science semantic search and research intelligence","semantic search; graph database; life-science analytics","fragmented-literature-search-to-integrated-life-science-intelligence","research intelligence platform","scientific literature, grants, patents and datasets","biotech, pharma and research labs","research software platform","include","secondary_public_profile_signal_bio_based_or_biocentric","f6s_public_profile","f6s_2026","Public profiles describe a specialized semantic search and analytics platform for life-science research.","0.70"
"biosynaptica","BioSynaptica","therapeutics and regenerative medicine","neurotherapeutics and biopharmaceutical platforms","neurodegenerative disease biopharmaceuticals","biopharmaceuticals; erythropoietin derivatives; neuropharmaceuticals; neurodegenerative disease therapeutics","symptomatic-neurodegenerative-care-to-novel-biopharmaceutical-neurotherapeutics","neurotherapeutic biopharmaceutical candidate","","neurology, CNS therapeutics and pharmaceutical R&D","B2B / platform","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_03_2026_05_08","official_website","Include as core therapeutic biotechnology.","0.86"
"biotalife","Biotalife","diagnostics and medtech","microbiome medical devices and womens health","microbiome medical devices for vaginal health","human microbiome; medical devices; vaginal microbiota; women's health; bacterial vaginosis; thrush","symptom-focused-womens-health-products-to-microbiome-rebalancing-medical-devices","microbiome medical device","","women's health, gynecology and microbiome care","B2B / platform","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_05_2026_05_08","official_website","Include as microbiome medtech / human health device.","0.86"
"bitgenia","Bitgenia","computational biology and scientific software","computational biology and life-science software","genomics and bioinformatics platform","genomic sequencing workflows; clinical bioinformatics; AI-enabled interpretation","slow-fragmented-r-and-d-to-data-driven-biology","genomics and diagnostic software platform","genomic data and sequencing workflows","healthcare, hospitals, clinics, pharma and research labs","software and genomic analysis platform","include","official_site_signal_bio_based_or_biocentric","bitgenia_official_site","bitgenia_official_site_2026","Official site describes genomic analysis, gene panels, exome and genome sequencing support, and proprietary bioinformatics software for diagnostics.","0.94"
"bleps_vision","Bleps Vision","diagnostics and medtech","health diagnostics and medtech","portable visual health device","portable corneal topography; diagnostic hardware","reactive-to-precision-healthcare","diagnostic or medical device","corneal imaging and visual health data","optometry and eye care","product and clinical solution provider","include","official_site_signal_bio_based_or_biocentric","blepsvision_official_site","blepsvision_official_site_2026","Official site describes a portable corneal topographer for diagnosis and contact lens fitting.","0.82"
"breakpet","BreakPET","biobased chemistry and advanced materials","biobased chemistry and materials","green chemistry; biomaterials; circular materials","engineered enzymes; circular materials; industrial biotechnology","petrochemical-to-biobased-industrial-chemistry","green chemistry solution","pet plastic waste and engineered enzymes","chemicals, materials and circular packaging","industrial solution supplier","include","official_portfolio_signal_bio_based_or_biocentric","gridx_portfolio_official","gridx_portfolio_2026","GRIDX portfolio describes PET recycling with engineered enzymes.","0.88"
"break_pet","BreakPET","biobased chemistry and advanced materials","biobased chemistry and materials","enzymatic plastic circularity","engineered enzymes; PET recycling; industrial biotech","linear-petrochemical-plastics-to-circular-material-reuse","circular materials solution","PET plastic waste","materials and circular packaging","industrial solution supplier","include","official_portfolio_signal_bio_based_or_biocentric","gridx_portfolio_official","gridx_portfolio_2026","GRIDX portfolio describes recycling PET using engineered enzymes for circular plastic reuse.","0.88"
"bsafe_biotech","Bsafe Biotech","ag biologicals and crop resilience","ag biologicals and crop resilience","biological pest control company","genetics; microorganisms; biological control","chemical-intensive-to-biological-pest-management","ag biological input","microorganisms and biological control systems","agriculture","input supplier","include","public_profile_signal_bio_based_or_biocentric","bsafe_public_profiles","bsafe_public_profiles_2026","Official and public profiles describe a new biological control mode of action for safer and more affordable pest management in agriculture.","0.82"
"bybug","ByBug","biomanufacturing and bioindustrial platforms","insect bioreactors for recombinant proteins","insect bioreactor recombinant protein platform","engineered insects; black soldier fly larvae; recombinant proteins; synthetic biology; bioinputs; circular biomanufacturing","capital-intensive-protein-manufacturing-to-insect-bioreactor-biomanufacturing","insect bioreactor biomanufacturing platform","","pharmaceuticals, veterinary products, industrial enzymes and agricultural bioinputs","B2B / platform","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_06_2026_05_08","official_website","Include as circular biomanufacturing, not agri-finance or traceability.","0.92"
"calice","Calice","precision agriculture and resource intelligence","precision agriculture intelligence","virtual agronomic trials and product placement platform","environmental modeling; agronomic simulations; genotype-environment analytics; product placement optimization","slow-physical-agronomic-trials-to-scaled-virtual-product-placement","ag-input decision and simulation platform","climate, soil, genotype, management and product-performance data","seed, biological input, fertilizer and agrifood companies","B2B platform","include","official_site_signal_material_ag_system","calice_official_site","calice_official_site_2026","Official site describes millions of virtual agronomic trials, environmental fingerprints and product placement optimization for seeds, biologicals and inputs.","0.94"
"caligenia","Caligenia","ag biologicals and crop resilience","ag biologicals and crop resilience","BACTERCHAR soil-regeneration and carbon-storage amendment","organic waste valorization; biochar; biotechnology; microorganisms; soil carbon storage","organic-waste-and-soil-degradation-to-carbon-storing-biofertility","soil amendment and biofertility platform","organic waste, stable carbon and agricultural microorganisms","agriculture, soil restoration and carbon storage","input supplier","include","official_website_signal_ag_biologicals_and_soil_carbon","caligenia_official_site","caligenia_official_site_2026","Official site says Caligenia transforms organic waste into BACTERCHAR, combining soil-amendment practices with biotechnology and microorganisms to improve soil properties, microbial activity and carbon storage.","0.92"
"cargo_sapiens","Cargo Sapiens","peripheral or non-core digital ventures","logistics optimization outside bio thesis","freight quotation and logistics optimization platform","freight management software; quote equalization; invoice auditing; logistics intelligence","manual-freight-procurement-to-digital-logistics-optimization","digital logistics software","freight quote, carrier and invoice data","transport and supply chains","B2B SaaS platform","exclude","generic_logistics_software_no_specific_bio_or_planetary_boundary_signal","official_website_review","cargo_sapiens_official_site_2026","Official site describes freight quote equalization, freight management, invoice auditing and logistics intelligence, but not a specific bio, biobased, biocentric or planetary-boundary thesis.","0.86"
"caspr","Caspr Biotech","diagnostics and medtech","health diagnostics and medtech","CRISPR diagnostics company","crispr diagnostics; molecular biology; rapid testing","reactive-to-precision-healthcare","diagnostic platform","biological samples and CRISPR detection systems","infectious disease and molecular diagnostics","diagnostic platform","include","official_signal_bio_based_or_biocentric","caspr_public_profiles","caspr_public_profiles_2026","Public company profiles describe next-generation CRISPR diagnostics and portable low-cost testing kits developed from proprietary Cas proteins.","0.88"
"cell_farm","Cell Farm","food biotech and novel ingredients","food transition ingredients and proteins","cell-based meat platform","cellular agriculture; cultivated meat","animal-meat-production-to-cultivated-meat","protein platform","animal cell cultivation","food industry","food biotech company","include","candidate_website_signal_bio_based_or_biocentric","user_gemini_candidate_csv","user_gemini_candidate_2026","User-provided Gemini CSV points to Cell Farm official website and describes the first cultivated meat startup in Latin America.","0.88"
"cellargen_biotech","Cellargen Biotech","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","recombinant biotherapeutics and vaccine biomanufacturing","recombinant proteins; genetic engineering; cell culture; bioprocessing","animal-derived-and-classical-vaccines-to-recombinant-biotherapeutics","vaccines and biotherapeutic inputs","cell culture and recombinant proteins","animal and human health","biomanufacturing platform","include","institutional_public_source_signal_bio_based_or_biocentric","institutional_public_source","unl_2017","UNL describes Cellargen as a biotech company developing recombinant vaccines, hormones and biotherapeutic inputs for human and animal health.","0.83"
"cellrep","CellRep","therapeutics and regenerative medicine","therapeutic and regenerative biology","cell rejuvenation biotech","ai-driven drug discovery; cell reprogramming; small molecules","conventional-care-to-biology-enabled-therapies","therapeutic platform","immune cell biology and small-molecule compounds","cell therapy, oncology and longevity","therapeutic platform","include","official_site_signal_bio_based_or_biocentric","cellrep_official_site","cellrep_official_site_2026","Official site describes an AI-driven platform that discovers small molecules to rejuvenate cells and enhance CAR-T and other cell therapies without gene editing.","0.95"
"cellco","CellCo","therapeutics and regenerative medicine","therapeutic and regenerative biology","AI-enabled synthetic biology therapeutics","synthetic biology; AI; molecular simulation; synthetic data","trial-and-error-drug-discovery-to-programmable-biomolecular-therapeutics","therapeutic platform","programmable biomolecular systems and synthetic biological data","complex disease therapeutics","therapeutic platform","include","official_portfolio_signal_bio_based_or_biocentric","gridx_portfolio_official","gridx_portfolio_2026","GRIDX portfolio describes CellCo as engineering breakthrough medicines with molecular simulation and AI, while company materials describe a therapeutics platform using synthetic biology and synthetic data.","0.90"
"cellva","Cellva","food biotech and novel ingredients","food transition ingredients and proteins","microencapsulated functional ingredients","microencapsulation; ingredient stabilization; bioactive protection; algae ingredients","less-stable-food-ingredients-to-bioavailable-clean-label-functional-ingredients","functional ingredient platform","algae ingredients, coffee-derived ingredients and bioactives","food and beverage","ingredient company","include","official_site_signal_bio_based_or_biocentric","cellva_official_site","cellva_official_site_2026","Official site describes a new generation of ingredients delivered through proprietary microencapsulation technology, including microencapsulated omega-3 from algae and other clean-label ingredient solutions.","0.87"
"chazki","Chazki","peripheral or non-core digital ventures","digital coordination and market infrastructure","logistics and fulfillment software","last-mile logistics; routing; fulfillment software","manual-and-fragmented-operations-to-digital-coordination","software platform","logistics, routing and fulfillment data","commerce and logistics","B2B software platform","exclude","full_digital_no_materiality_signal","chazki_official_site","chazki_official_site_2026","Official site describes first-mile, middle-mile and last-mile logistics plus SaaS and fulfillment.","0.9"
"chemtest","Chemtest","diagnostics and medtech","health diagnostics and medtech","rapid infectious disease diagnostics","rapid diagnostic kits","slow-lab-infectious-disease-detection-to-rapid-testing","diagnostic platform","infectious disease testing workflows","healthcare diagnostics","diagnostic company","include","candidate_website_signal_biocentric_health_system","user_gemini_candidate_csv","user_gemini_candidate_2026","User-provided Gemini CSV points to Chemtest official website and describes rapid diagnostic kits for infectious diseases.","0.84"
"circclo","CIRCCLO","climate, energy and resource systems","circular material systems","circular economy waste management platform","waste management platform; recycling workflows","linear-waste-systems-to-circular-resource-management","circular resource platform","waste and recycling flows","circular economy and waste management","B2B platform","include","candidate_website_signal_planetary_systems","user_gemini_candidate_csv","user_gemini_candidate_2026","User-provided Gemini CSV points to CIRCCLO official website and describes a circular economy platform for waste management and recycling.","0.79"
"circular","Circular","peripheral or non-core digital ventures","digital coordination and market infrastructure","professional network and recruiting platform","professional network; recruiting marketplace","legacy-recruiting-to-digital-network-platform","software platform","professional network data","recruiting and talent","platform","exclude","official_site_signal_full_digital_no_materiality","circular_official_site","user_gemini_candidate_2026","User-provided candidate and official site indicate a professional network and technical recruiting platform, without material or biocentric thesis fit.","0.92"
"clover","Clover","peripheral or non-core digital ventures","digital coordination and market infrastructure","IT infrastructure and enterprise solutions","IT infrastructure; networking; VoIP; security systems","legacy-enterprise-it-to-managed-tech-services","enterprise software and services","enterprise IT operations","enterprise IT","services company","exclude","official_site_signal_full_digital_no_materiality","clover_official_site","clover_official_site_2026","Official site describes IT infrastructure, networking, security systems and enterprise technology services, not a thesis-core material or biocentric company.","0.94"
"conciencia","Conciencia","peripheral or non-core digital ventures","digital coordination and market infrastructure","education platform","edtech; soft skills development","traditional-learning-to-digital-skills-platform","software platform","education workflows","education","platform","exclude","candidate_signal_edtech_non_thesis","user_gemini_candidate_csv","user_gemini_candidate_2026","User-provided candidate describes an edtech focused on soft skills and social awareness, not a thesis-core material or biocentric company.","0.83"
"courageous_land","Courageous Land","climate, energy and resource systems","regenerative agroforestry and carbon systems","reforestation and regenerative agroforestry","reforestation; agroforestry systems","degraded-land-use-to-regenerative-agroforestry","regenerative land platform","forest and agroforestry systems","land restoration and agriculture","project platform","include","candidate_website_signal_planetary_systems","user_gemini_candidate_csv","user_gemini_candidate_2026","User-provided Gemini CSV points to Courageous Land official website and describes reforestation and regenerative agroforestry systems.","0.83"
"crinsurance","CRInsurance","peripheral or non-core digital ventures","digital coordination and market infrastructure","credit insurance insurtech","insurance software; credit guarantees","legacy-insurance-to-digital-credit-insurance","fintech / insurtech platform","insurance and credit workflows","insurance","platform","exclude","candidate_signal_insurtech_non_thesis","user_gemini_candidate_csv","user_gemini_candidate_2026","User-provided candidate describes an insurtech for credit insurance and guarantees, without thesis-core material or biocentric fit.","0.86"
