startup_id,name,bio_theme,cluster_id,cluster_label,sub_cluster_label,severity,missing_critical,missing_recommended,curation_status,notes
bloomcare-br,BloomCare,Diagnostics & Devices,0,Diagnostics & Devices — Medtech||medtech · diagnosis · diagnostics · healthcare,Digital Health & Medtech,medium,short_description,,pending,
botanical-solution-inc-cl,Botanical Solution Inc,Bioinputs & Crop Resilience,6,Bioinputs & Crop Resilience — Crop Resilience||biologicals · crop resilience · bioinputs · pest,Crop Protection,medium,short_description,,pending,
brain4care-br,Brain4care,Diagnostics & Devices,0,Diagnostics & Devices — Medtech||medtech · diagnosis · diagnostics · healthcare,Point Care,medium,short_description,,pending,
bruna-by-altum-lab-cl,Bruna by Altum Lab,Food Systems & Alt Proteins,17,Food Systems & Alt Proteins — Microalgae||microalgae · alternative · meat · sustainability,Cultivated Meat,medium,short_description,,pending,
calice-ai-ar,Calice AI,Precision Agriculture,4,Precision Agriculture — Agronomic||agronomic · field · satellite · imagery,Crop Monitoring,medium,short_description,,pending,
cellculture-br,CellCulture,,3,Mixed — Manufacturing Cell||center · manufacturing cell · bioplastics · kits,,high,funding_stage | computed_quality_score | tech_depth | short_description,founded_year,pending,
cellertz-bio-br,Cellertz Bio,Therapeutics,15,Therapeutics — Drug Discovery||drug discovery · therapeutics · cancer · patient,Cancer Neurodegenerative,medium,short_description,,pending,
cells-for-cells-cl,Cells for Cells,Therapeutics,12,Therapeutics — Regenerative Medicine||cardiac · tissue · regenerative medicine · transplantation,Cell Rejuvenation,medium,short_description,,pending,
cellter-cl,Cellter,Diagnostics & Devices,0,Diagnostics & Devices — Medtech||medtech · diagnosis · diagnostics · healthcare,Liquid Biopsy,medium,short_description,,pending,
codebreaker-bioscience-cl,Codebreaker Bioscience,Precision Agriculture,20,Food Systems & Alt Proteins — Reduce Antibiotic||founded · corfo · reduce antibiotic · bioinputs,Precision Agriculture,high,funding_stage | computed_quality_score | tech_depth | short_description,founded_year,pending,
corpogen-co,CorpoGen,,3,Mixed — Manufacturing Cell||center · manufacturing cell · bioplastics · kits,,high,funding_stage | computed_quality_score | tech_depth | short_description,,pending,
cowmed-br,CowMed,Precision Agriculture,4,Precision Agriculture — Agronomic||agronomic · field · satellite · imagery,Crop Monitoring,medium,short_description,,pending,
cropguard-cl,CropGuard,,2,Mixed — Aquaculture||aquaculture · disease · seed · crop,,high,funding_stage | computed_quality_score | tech_depth | short_description,founded_year,pending,
daeki-cl,Daeki,Diagnostics & Devices,0,Diagnostics & Devices — Medtech||medtech · diagnosis · diagnostics · healthcare,Point Care,medium,short_description,,pending,
devalor-cl,DeValor,,-1,,,high,funding_stage | computed_quality_score | tech_depth | short_description,founded_year,pending,
decoy-smart-control-br,Decoy Smart Control,Bioinputs & Crop Resilience,6,Bioinputs & Crop Resilience — Crop Resilience||biologicals · crop resilience · bioinputs · pest,Crop Protection,medium,short_description,,pending,
digifarmz-br,DigiFarmz,Precision Agriculture,4,Precision Agriculture — Agronomic||agronomic · field · satellite · imagery,Crop Monitoring,medium,short_description,,pending,
earth-ocean-farms-mx,Earth Ocean Farms,Nature & Ecosystem Tech,7,Nature & Ecosystem Tech — Energy||energy · clean · planetary · perimeter,Nature & Ecosystem Tech,medium,short_description,,pending,
ecombio-cl,Ecombio,Food Systems & Alt Proteins,20,Food Systems & Alt Proteins — Reduce Antibiotic||founded · corfo · reduce antibiotic · bioinputs,Microbiological Proteins,high,funding_stage | computed_quality_score | tech_depth | short_description,website,pending,
ecoshell-mx,Ecoshell,Biomaterials & Green Chemistry,1,Biomaterials & Green Chemistry — Biodegradable||biodegradable · biomaterials · materials · leather,Packaging Materials,medium,short_description,,pending,
ecotrace-br,Ecotrace,Nature & Ecosystem Tech,4,Precision Agriculture — Agronomic||agronomic · field · satellite · imagery,Nature & Ecosystem Tech,medium,short_description,,pending,
ejido-verde-mx,Ejido Verde,Biomaterials & Green Chemistry,1,Biomaterials & Green Chemistry — Biodegradable||biodegradable · biomaterials · materials · leather,Packaging Materials,medium,short_description,,pending,
eva-mx,Eva,Diagnostics & Devices,0,Diagnostics & Devices — Medtech||medtech · diagnosis · diagnostics · healthcare,Point Care,medium,short_description,,pending,
exacta-bioscience-cl,Exacta BioScience,Bioinputs & Crop Resilience,6,Bioinputs & Crop Resilience — Crop Resilience||biologicals · crop resilience · bioinputs · pest,Agricultural Inputs,medium,short_description,,pending,
examedi-cl,Examedi,Diagnostics & Devices,0,Diagnostics & Devices — Medtech||medtech · diagnosis · diagnostics · healthcare,Point-of-Care & Home Diagnostics,medium,short_description,,pending,
farmbox-br,Farmbox,Precision Agriculture,4,Precision Agriculture — Agronomic||agronomic · field · satellite · imagery,Crop Monitoring,medium,short_description,,pending,
fermentlab-br,FermentLab,,3,Mixed — Manufacturing Cell||center · manufacturing cell · bioplastics · kits,,high,funding_stage | computed_quality_score | tech_depth | short_description,founded_year,pending,
food-for-the-future-cl,Food for the Future,Food Systems & Alt Proteins,20,Food Systems & Alt Proteins — Reduce Antibiotic||founded · corfo · reduce antibiotic · bioinputs,Cultivated Meat,medium,short_description,,pending,
forma-foods-mx,Forma Foods,,-1,,,high,funding_stage | computed_quality_score | tech_depth | short_description,founded_year,pending,
fungicontrol-co,FungiControl,,2,Mixed — Aquaculture||aquaculture · disease · seed · crop,,high,funding_stage | computed_quality_score | tech_depth | short_description,founded_year,pending,
gen-t-br,Gen-t,Diagnostics & Devices,0,Diagnostics & Devices — Medtech||medtech · diagnosis · diagnostics · healthcare,Genomics & Precision Medicine,medium,short_description,,pending,
geneprodx-mx,GeneProDx,Diagnostics & Devices,0,Diagnostics & Devices — Medtech||medtech · diagnosis · diagnostics · healthcare,Point Care,medium,short_description,,pending,
genial-care-br,Genial Care,Diagnostics & Devices,0,Diagnostics & Devices — Medtech||medtech · diagnosis · diagnostics · healthcare,Digital Health & Medtech,medium,short_description,,pending,
giraffe-bio-ar,Giraffe Bio,Biomaterials & Green Chemistry,1,Biomaterials & Green Chemistry — Biodegradable||biodegradable · biomaterials · materials · leather,Agro Industrial,medium,short_description,,pending,
global-nano-additives-mx,Global Nano Additives,,-1,,,high,funding_stage | computed_quality_score | tech_depth | short_description,founded_year,pending,
green-xpo-lab-cr,Green Xpo Lab,,4,Precision Agriculture — Agronomic||agronomic · field · satellite · imagery,,high,funding_stage | computed_quality_score | tech_depth | short_description,,pending,
grupo-bios-co,Grupo Bios,,-1,,,high,funding_stage | computed_quality_score | tech_depth | short_description,founded_year,pending,
hif-global-cl,HIF Global,Nature & Ecosystem Tech,7,Nature & Ecosystem Tech — Energy||energy · clean · planetary · perimeter,Nature & Ecosystem Tech,medium,short_description,,pending,
hapiseeds-br,Hapiseeds,Bioinputs & Crop Resilience,6,Bioinputs & Crop Resilience — Crop Resilience||biologicals · crop resilience · bioinputs · pest,Gene Editing,medium,short_description,,pending,
hilab-br,Hilab,Diagnostics & Devices,0,Diagnostics & Devices — Medtech||medtech · diagnosis · diagnostics · healthcare,Point Care,medium,short_description,,pending,
inedita-bio-br,InEdita Bio,Bioinputs & Crop Resilience,6,Bioinputs & Crop Resilience — Crop Resilience||biologicals · crop resilience · bioinputs · pest,Gene Editing,medium,short_description,,pending,
infood-protein-cl,Infood Protein,Food Systems & Alt Proteins,20,Food Systems & Alt Proteins — Reduce Antibiotic||founded · corfo · reduce antibiotic · bioinputs,Alternative Proteins,high,funding_stage | computed_quality_score | tech_depth | short_description,,pending,
inkus-biotech-cl,Inkus Biotech,Precision Agriculture,20,Food Systems & Alt Proteins — Reduce Antibiotic||founded · corfo · reduce antibiotic · bioinputs,Precision Agriculture,high,funding_stage | computed_quality_score | tech_depth | short_description,website | founded_year,pending,
inmunova-ar,Inmunova,Therapeutics,11,Therapeutics — Biosimilar||biosimilar · argentine · diseases · chronic,Biosimilar Monoclonal,medium,short_description,,pending,
innmetec-co,Innmetec,,0,Diagnostics & Devices — Medtech||medtech · diagnosis · diagnostics · healthcare,,high,funding_stage | computed_quality_score | tech_depth | short_description,,pending,
inspectral-br,Inspectral,Precision Agriculture,4,Precision Agriculture — Agronomic||agronomic · field · satellite · imagery,Crop Monitoring,medium,short_description,,pending,
instacrops-cl,Instacrops,Precision Agriculture,4,Precision Agriculture — Agronomic||agronomic · field · satellite · imagery,Crop Monitoring,medium,short_description,,pending,
isobar-br,Isobar,Precision Agriculture,4,Precision Agriculture — Agronomic||agronomic · field · satellite · imagery,Crop Monitoring,medium,short_description,,pending,
kura-biotec-mx,KURA Biotec,Diagnostics & Devices,0,Diagnostics & Devices — Medtech||medtech · diagnosis · diagnostics · healthcare,Point Care,medium,short_description,,pending,
kheiron-biotech-ar,Kheiron Biotech,Bioinputs & Crop Resilience,11,Therapeutics — Biosimilar||biosimilar · argentine · diseases · chronic,Crop Soil,medium,short_description,,pending,
koji-co,Koji,Food Systems & Alt Proteins,20,Food Systems & Alt Proteins — Reduce Antibiotic||founded · corfo · reduce antibiotic · bioinputs,Fermentation & Bioprocessing,high,funding_stage | computed_quality_score | tech_depth | short_description,founded_year,pending,
koltin-mx,Koltin,Diagnostics & Devices,0,Diagnostics & Devices — Medtech||medtech · diagnosis · diagnostics · healthcare,Digital Health & Medtech,medium,short_description,,pending,
kran-nanobubble-cl,Kran Nanobubble,Food Systems & Alt Proteins,13,Food Systems & Alt Proteins — Novel Ingredients||novel ingredients · functional · plant · metabolic,Shelf Life,medium,short_description,,pending,
levita-magnetics-cl,Levita Magnetics,Diagnostics & Devices,0,Diagnostics & Devices — Medtech||medtech · diagnosis · diagnostics · healthcare,Point Care,medium,short_description,,pending,
living-ink-us,Living Ink,Biomaterials & Green Chemistry,1,Biomaterials & Green Chemistry — Biodegradable||biodegradable · biomaterials · materials · leather,Packaging Materials,medium,short_description,,pending,
luyef-biotechnologies-cl,Luyef Biotechnologies,Food Systems & Alt Proteins,17,Food Systems & Alt Proteins — Microalgae||microalgae · alternative · meat · sustainability,Cultivated Meat,medium,short_description,,pending,
mzp-tecnologia-ar,MZP Tecnologia,Diagnostics & Devices,0,Diagnostics & Devices — Medtech||medtech · diagnosis · diagnostics · healthcare,Point Care,medium,short_description,,pending,
merken-biotech-cl,Merken Biotech,Therapeutics,11,Therapeutics — Biosimilar||biosimilar · argentine · diseases · chronic,Biosimilar Monoclonal,medium,short_description,,pending,
metabix-uy,Metabix,,2,Mixed — Aquaculture||aquaculture · disease · seed · crop,,high,funding_stage | computed_quality_score | tech_depth | short_description,,pending,
mirscience-therapeutics-br,MiRscience Therapeutics,Therapeutics,16,Therapeutics — Cancer||cancer · pain · candidates · vaccines,Cancer Neurodegenerative,medium,short_description,,pending,
mothership-materials-cl,Mothership Materials,Biomaterials & Green Chemistry,1,Biomaterials & Green Chemistry — Biodegradable||biodegradable · biomaterials · materials · leather,Packaging Materials,medium,short_description,website,pending,
motivia-ar,Motivia,Diagnostics & Devices,0,Diagnostics & Devices — Medtech||medtech · diagnosis · diagnostics · healthcare,Digital Health & Medtech,medium,short_description,,pending,
movet-co,Movet,Diagnostics & Devices,0,Diagnostics & Devices — Medtech||medtech · diagnosis · diagnostics · healthcare,Diagnostics & Devices,medium,short_description,,pending,
mycoseaweed-cl,MycoSeaweed,Food Systems & Alt Proteins,20,Food Systems & Alt Proteins — Reduce Antibiotic||founded · corfo · reduce antibiotic · bioinputs,Microbiological Proteins,high,funding_stage | computed_quality_score | tech_depth | short_description,website | founded_year,pending,
naiad-drug-design-br,NAIAD Drug Design,Therapeutics,15,Therapeutics — Drug Discovery||drug discovery · therapeutics · cancer · patient,Small Molecule,medium,short_description,,pending,
nalca-biotech-cl,Nalca Biotech,Biomanufacturing & Platform Technologies,20,Food Systems & Alt Proteins — Reduce Antibiotic||founded · corfo · reduce antibiotic · bioinputs,,high,funding_stage | computed_quality_score | tech_depth | short_description,,pending,
nanopharmacia-group-mx,Nanopharmacia Group,Biomaterials & Green Chemistry,22,Therapeutics — Delivery||delivery · nanoparticles · viral · metal,Biomaterials & Green Chemistry,medium,short_description,,pending,
neocroptech-cl,NeoCropTech,,2,Mixed — Aquaculture||aquaculture · disease · seed · crop,,high,funding_stage | computed_quality_score | tech_depth | short_description,,pending,
neomed-br,NeoMed,Diagnostics & Devices,0,Diagnostics & Devices — Medtech||medtech · diagnosis · diagnostics · healthcare,Point Care,medium,short_description,,pending,
neoprospecta-br,Neoprospecta,Biomanufacturing & Platform Technologies,9,Biomanufacturing & Platform Technologies — Bioindustrial||bioindustrial · microalgae · function · digital,Precision Fermentation,medium,short_description,,pending,
nintx-br,Nintx,Therapeutics,15,Therapeutics — Drug Discovery||drug discovery · therapeutics · cancer · patient,Small Molecule,medium,short_description,,pending,
nutrition-from-water-cl,Nutrition from Water,Food Systems & Alt Proteins,1,Biomaterials & Green Chemistry — Biodegradable||biodegradable · biomaterials · materials · leather,Shelf Life,medium,short_description,website,pending,
oncoprecision-ar,OncoPrecision,,-1,,,high,funding_stage | computed_quality_score | tech_depth | short_description,founded_year,pending,
patagonia-biotechnology-cl,Patagonia Biotechnology,Bioinputs & Crop Resilience,6,Bioinputs & Crop Resilience — Crop Resilience||biologicals · crop resilience · bioinputs · pest,Agricultural Inputs,medium,short_description,,pending,
peptidus-biotech-br,Peptidus Biotech,Therapeutics,15,Therapeutics — Drug Discovery||drug discovery · therapeutics · cancer · patient,Cancer Neurodegenerative,medium,short_description,,pending,
pewman-innovation-cl,Pewman Innovation,Bioinputs & Crop Resilience,20,Food Systems & Alt Proteins — Reduce Antibiotic||founded · corfo · reduce antibiotic · bioinputs,,high,funding_stage | computed_quality_score | tech_depth | short_description,,pending,
pharmalens-br,Pharmalens,Biomanufacturing & Platform Technologies,0,Diagnostics & Devices — Medtech||medtech · diagnosis · diagnostics · healthcare,Biomanufacturing & Platform Technologies,medium,short_description,,pending,
praxis-biotech-cl,Praxis Biotech,Therapeutics,15,Therapeutics — Drug Discovery||drug discovery · therapeutics · cancer · patient,Cancer Neurodegenerative,medium,short_description,,pending,
protera-bio-cl,Protera Bio,,13,Food Systems & Alt Proteins — Novel Ingredients||novel ingredients · functional · plant · metabolic,,high,funding_stage | computed_quality_score | tech_depth | short_description,,pending,
quantis-br,Quantis,Therapeutics,12,Therapeutics — Regenerative Medicine||cardiac · tissue · regenerative medicine · transplantation,Tissue Organs,medium,short_description,,pending,
rnatech-ar,RNAtech,Food Systems & Alt Proteins,18,Food Systems & Alt Proteins — Dairy||dairy · milk · supplements · ingredients,Shelf Life,medium,short_description,,pending,
recirculab-cl,ReCircuLab,,-1,,,high,funding_stage | computed_quality_score | tech_depth | short_description,founded_year,pending,
reddot-bio-br,Reddot Bio,Diagnostics & Devices,0,Diagnostics & Devices — Medtech||medtech · diagnosis · diagnostics · healthcare,Point Care,medium,short_description,,pending,
salmoss-biotech-cl,SALMOSS Biotech,,2,Mixed — Aquaculture||aquaculture · disease · seed · crop,,high,funding_stage | computed_quality_score | tech_depth | short_description,founded_year,pending,
savefruit-mx,SaveFruit,Food Systems & Alt Proteins,6,Bioinputs & Crop Resilience — Crop Resilience||biologicals · crop resilience · bioinputs · pest,Shelf Life,medium,short_description,founded_year,pending,
seedtech-cl,SeedTech,,2,Mixed — Aquaculture||aquaculture · disease · seed · crop,,high,funding_stage | computed_quality_score | tech_depth | short_description,founded_year,pending,
sistema-bio-mx,Sistema.bio,Biomaterials & Green Chemistry,1,Biomaterials & Green Chemistry — Biodegradable||biodegradable · biomaterials · materials · leather,Carbon Credit,medium,short_description,,pending,
solena-mx,Solena,Bioinputs & Crop Resilience,6,Bioinputs & Crop Resilience — Crop Resilience||biologicals · crop resilience · bioinputs · pest,Gene Editing,medium,short_description,founded_year,pending,
strider-br,Strider,Precision Agriculture,4,Precision Agriculture — Agronomic||agronomic · field · satellite · imagery,Crop Monitoring,medium,short_description,founded_year,pending,
strong-by-form-cl,Strong by Form,Biomaterials & Green Chemistry,1,Biomaterials & Green Chemistry — Biodegradable||biodegradable · biomaterials · materials · leather,Packaging Materials,medium,short_description,,pending,
tarvos-br,Tarvos,Precision Agriculture,4,Precision Agriculture — Agronomic||agronomic · field · satellite · imagery,Crop Monitoring,medium,short_description,founded_year,pending,
taugc-bioinformatics-br,TauGC Bioinformatics,Diagnostics & Devices,0,Diagnostics & Devices — Medtech||medtech · diagnosis · diagnostics · healthcare,Point Care,medium,short_description,founded_year,pending,
terragene-ar,Terragene,Diagnostics & Devices,0,Diagnostics & Devices — Medtech||medtech · diagnosis · diagnostics · healthcare,Point Care,medium,short_description,,pending,
terrasos-br,Terrasos,,-1,,,high,funding_stage | computed_quality_score | tech_depth | short_description,founded_year,pending,
the-live-green-co-cl,The Live Green Co,Food Systems & Alt Proteins,17,Food Systems & Alt Proteins — Microalgae||microalgae · alternative · meat · sustainability,Cultivated Meat,medium,short_description,,pending,
tissue-nova-mx,Tissue Nova,,-1,,,high,funding_stage | computed_quality_score | tech_depth | short_description,founded_year,pending,
tomorrow-foods-ar,Tomorrow Foods,Food Systems & Alt Proteins,13,Food Systems & Alt Proteins — Novel Ingredients||novel ingredients · functional · plant · metabolic,Novel Ingredients,high,funding_stage | computed_quality_score | tech_depth | short_description,founded_year,pending,
treevia-br,Treevia,Nature & Ecosystem Tech,8,Nature & Ecosystem Tech — Satellite||satellite · nature · biodiversity · planetary,Nature & Ecosystem Tech,medium,short_description,founded_year,pending,
unima-mx,Unima,Diagnostics & Devices,0,Diagnostics & Devices — Medtech||medtech · diagnosis · diagnostics · healthcare,Point Care,medium,short_description,,pending,
viobact-cl,VioBact,Food Systems & Alt Proteins,20,Food Systems & Alt Proteins — Reduce Antibiotic||founded · corfo · reduce antibiotic · bioinputs,Microbiological Proteins,high,funding_stage | computed_quality_score | tech_depth | short_description,website | founded_year,pending,
vitales-br,Vitales,Bioinputs & Crop Resilience,6,Bioinputs & Crop Resilience — Crop Resilience||biologicals · crop resilience · bioinputs · pest,Crop Protection,medium,short_description,founded_year,pending,
vyro-bio-br,Vyro Bio,Therapeutics,12,Therapeutics — Regenerative Medicine||cardiac · tissue · regenerative medicine · transplantation,Cancer Neurodegenerative,medium,short_description,,pending,
webio-ar,WeBio,Therapeutics,12,Therapeutics — Regenerative Medicine||cardiac · tissue · regenerative medicine · transplantation,Biosimilar Monoclonal,medium,short_description,founded_year,pending,
welii-ar,Welii,,0,Diagnostics & Devices — Medtech||medtech · diagnosis · diagnostics · healthcare,,high,funding_stage | computed_quality_score | tech_depth | short_description,,pending,
wiseconn-cl,Wiseconn,Precision Agriculture,4,Precision Agriculture — Agronomic||agronomic · field · satellite · imagery,Crop Monitoring,medium,short_description,founded_year,pending,
xeptiva-therapeutics-uy,Xeptiva Therapeutics,,16,Therapeutics — Cancer||cancer · pain · candidates · vaccines,,high,funding_stage | computed_quality_score | tech_depth | short_description,,pending,
mabxience-ar,mAbxience,Biomanufacturing & Platform Technologies,11,Therapeutics — Biosimilar||biosimilar · argentine · diseases · chronic,Biomanufacturing & Platform Technologies,medium,short_description,,pending,
nchemi-br,nChemi,Biomaterials & Green Chemistry,22,Therapeutics — Delivery||delivery · nanoparticles · viral · metal,Biomaterials & Green Chemistry,medium,short_description,,pending,
ucrop-it-ar,ucrop.it,Nature & Ecosystem Tech,4,Precision Agriculture — Agronomic||agronomic · field · satellite · imagery,Nature & Ecosystem Tech,medium,short_description,,pending,
