cluster_id,original_label,curated_label,startup_name,fit,flags,margin,token_overlap,policy_fit,technology_features,industry_features
k12_cluster_1,therapeutics and regenerative bio,therapeutics and regenerative bio,Amplify Dynamics,good,,14.8,therapeutics,true,ultrasound; separation; microfluidic; flows; nanoparticle; purification,pharmaceutical; bioprocessing; gene; therapy; nanotherapeutics
k12_cluster_1,therapeutics and regenerative bio,therapeutics and regenerative bio,BioSynaptica,good,,13.6,therapeutics; medicine; regenerative,true,biopharmaceuticals; erythropoietin; derivatives; neuropharmaceuticals; neurodegenerative; disease,neurology; therapeutics; pharmaceutical
k12_cluster_1,therapeutics and regenerative bio,therapeutics and regenerative bio,Eolo Pharma,good,,21.1,therapeutics,true,novel; molecules; thermogenesis; pathway; modulation,obesity; metabolic; disease
k12_cluster_1,therapeutics and regenerative bio,therapeutics and regenerative bio,Resistia,good,,12.9,therapeutics,true,microbiota; compounds; antimicrobial; formulations; biofilm,human; infectious; disease; antimicrobial; resistance
k12_cluster_1,therapeutics and regenerative bio,therapeutics and regenerative bio,UnTech,good,,19.9,wound,true,wound; innovation,healthcare
k12_cluster_1,therapeutics and regenerative bio,therapeutics and regenerative bio,Plamic Biotech,good,,12.5,therapeutics; medicine,true,microfluidic; chips; nanomedicine; synthesis; predictive; treatment,cancer; therapeutics; personalized; medicine
k12_cluster_1,therapeutics and regenerative bio,therapeutics and regenerative bio,Asclepii,review,low_margin,2.5,medicine; wound; regenerative; tissue,true,regenerative; medicine; wound; tissue; repair; nanosilver,wound; tissue; repair; hospitals; medicine
k12_cluster_1,therapeutics and regenerative bio,therapeutics and regenerative bio,NanoproX,good,,14.2,medicine,true,bismuth; sulfide; nanoparticles; targeted; radiosensitization; oncology,oncology; radiotherapy; providers
k12_cluster_1,therapeutics and regenerative bio,therapeutics and regenerative bio,Qnity,good,,5.9,drug,true,quantum; electrochemistry; electrochemical; sensors; drug; discovery,drug; discovery; pharma
k12_cluster_1,therapeutics and regenerative bio,therapeutics and regenerative bio,Cytbac,good,,14,therapeutics,true,predictive; genomics; engineered; insect; virus; vectors,human; animal
k12_cluster_1,therapeutics and regenerative bio,therapeutics and regenerative bio,Pepton,good,,11.4,therapeutics,true,biomolecular; discovery; antimicrobial; animal; human,human; animal
k12_cluster_1,therapeutics and regenerative bio,therapeutics and regenerative bio,Hybridon,review,weak_token_overlap; weak_policy_fit,9.8,,false,nanotechnology; antimicrobial; bioactive; coatings; science,textiles; surface
k12_cluster_1,therapeutics and regenerative bio,therapeutics and regenerative bio,Pill.AR,good,,11,therapeutics; medicine,true,printing; personalized; medicine; pharmaceutical; formulation; dose,pharmacies; centers; personalized; therapeutics
k12_cluster_1,therapeutics and regenerative bio,therapeutics and regenerative bio,metaBIX Biotech,watch,weak_token_overlap,11.2,,true,environmental; sampling; biotechnology; hardware; disease; prediction,animal; plant; human; biosecurity
k12_cluster_1,therapeutics and regenerative bio,therapeutics and regenerative bio,Outpost,review,low_margin,2.7,medicine,true,microbiome; modeling; microbiology; machine; learning; foundation,pharma; consumer; microbiome
k12_cluster_1,therapeutics and regenerative bio,therapeutics and regenerative bio,NotFossil,review,low_margin; weak_token_overlap,1.2,,true,biofilters; proprietary; microbes; hydrocarbon; degradation; environmental,environmental; remediation; contamination
k12_cluster_1,therapeutics and regenerative bio,therapeutics and regenerative bio,MultiplAI Health,review,low_margin,2.2,medicine,true,sequencing; transcriptomics; machine; learning; blood; screening,preventive; medicine; cardiovascular; screening; precision; diagnostics
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,Eiwa,good,,41.6,data; agtech; precision,true,geospatial; analytics; agronomic; data; experimentation; workflows,
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,@Tech,good,,42.8,data; agtech; animal; proteins; traceability,true,data; science; smart; tags,animal; proteins; supply; chains
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,Dymaxion Labs,good,,40.2,data; agtech; precision,true,data; science; computer; vision; agronomic; analytics,agribusiness
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,JetBov,good,,32.6,data; agtech; animal; precision; traceability,true,livestock; herd; traceability,beef; cattle
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,Sioma,good,,20,data; agtech; precision; crop; traceability,true,adapted; hardware; time; traceability; plant; analytics,tropical; crop
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,Omica,good,,24.2,data; precision,true,digital; biobank; multiomics; data; biospecimens; imaging,precision; medicine; diagnostics; pharma; biomarker; discovery
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,Eirú,good,,30.2,agtech,true,simulated; dynamics; pollination; optimization,
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,SpaceAG,good,,20.2,data; agtech; precision; crop,true,satellite; imagery; drone; analytics; mobile; workflows,value; crop
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,SmartBreeder,good,,19.5,data; agtech; precision; crop,true,predictive; agronomy; crop; analytics,crop
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,DeepAgro,good,,13.4,data; precision; crop,true,data; agronomic; intelligence; computer; vision,
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,Leaf,good,,21.8,data; crop,true,farm; data; machine; translation; boundaries; crop,
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,Sima,good,,7.9,data; agtech; precision; crop,true,monitoring; agronomic; intelligence; geolocated; crop; data,
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,Silohub,good,,14.1,data; agtech; precision,true,agribusiness; integration; payments,grain; retailers; growers
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,Agroforte,review,low_margin,1.2,data; animal; proteins; dairy,true,digital; bank; credit; risk; data,animal; proteins; supply; chains
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,Tracestory,good,,6,data; traceability,true,digital; passport; supply; chain; traceability; sustainability,supply; chains
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,ZoomAgri,good,,25.8,data; agtech; precision,true,computer; vision; machine; learning; digital; inspection,agri; commodities; supply; chains
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,The Earth Says,good,,11.9,data; precision; crop,true,pollination; monitoring; hive; sensors; analytics,crop; pollination
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,Wiagro,good,,14.7,data; agtech; precision; traceability,true,sensors; satellite; connectivity; predictive; models; traceability,grain; supply; chains
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,Rumina,good,,15.6,data; dairy,true,farm; dairy; intelligence; livestock; data; sustainability,dairy; farming; livestock
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,Produzindo Certo,good,,10.1,data; traceability,true,traceability; sustainability; verification; producer; matching,agribusiness; value; chains
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,Auravant,good,,12.6,data; precision; crop; traceability,true,agronomic; models; satellite; imagery; georeferenced; layers,agribusiness
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,CellCo,review,weak_policy_fit,8.8,data,false,synthetic; molecular; simulation; data,complex; disease; therapeutics
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,Agrojusto,review,low_margin,3.1,data; traceability,true,traceability; rural; digitization; producer; access,growers; public; agencies; value; chains
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,Beeflow,good,,8.8,data; crop,true,plant; science; data; analytics,fruit; specialty; crop
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,Solinftec,good,,16.7,data; agtech; precision; crop,true,saas; time; agronomic; data; autonomous; robots,crop; operations
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,Onco Precision,good,,21,data; precision,true,patient; derived; models,oncology; therapeutics
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,Future Cow,good,,6,animal; proteins; dairy; precision,true,precisionfermentation; microbial; hosts; milk; proteins; coding,ingredients; dairy; alternatives; alternative; proteins
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,Blooms,good,,17,data,true,export; finance; cross; border; factoring; global,export; supply; chains
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,Bitgenia,review,weak_policy_fit,15.1,data,false,genomics; sequencing; workflows; bioinformatics; interpretation,healthcare; hospitals; clinics; pharma; labs
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,TBIT,good,,8.4,agtech; precision,true,computer; vision; image; processing; quality; analysis,seeds; grains; supply; chains
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,Updairy,good,,7.5,animal; proteins; dairy; precision,true,precisionfermentation; engineered; fungi; bioreactors; dairy; proteins,dairy; bakery; confectionery; beverages; supplements
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,Bioseek,review,weak_policy_fit,15.4,data,false,semantic; search; graph; database; science; analytics,pharma; labs
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,Heartbest,review,low_margin; weak_policy_fit,0.5,animal; dairy,false,plant; dairy; formulation; alternatives,beverage
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,Inprenha,review,low_margin; weak_policy_fit,3.3,animal; proteins,false,proteins; biotechnology; animal; reproduction,animal; reproduction; livestock
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,Frizata,review,weak_policy_fit,6.5,proteins,false,formulation; frozen; manufacturing; meatless; logistics,consumer; alternative; proteins
k12_cluster_2,agri intelligence and traceable markets,agri intelligence and traceable markets,Geoprot,good,,7.3,proteins; crop,true,proteins; function; analysis; prediction; biological; deep,
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,Infira,good,,45,crop; resilience; plant,true,plant; genetics; gene; editing; crop; biotechnology,seed; crop; genetics
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,Promip,good,,44.4,crop; biological; biologicals; control,true,macrobiologicals; microbiologicals; biofactory; integrated; pest; crop,crop; pest; biologicals
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,Semion,good,,44,crop; biological; biologicals; resilience; plant,true,crop; defense; activation; biomimicry; plant; resilience,
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,Neocrop Technologies,good,,38.7,crop; biological; biologicals; resilience; climate,true,precision; gene; editing; accelerated; breeding; crop,seed
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,Nunatak Biotech,good,,30.3,crop; biological; biologicals; resilience; plant,true,plant; microbiome; microbial; symbiosis; soil; restoration,crop; soil; restoration; regenerative
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,M4Life,good,,28.2,crop; biological; biologicals; resilience; plant,true,biological; plant; resilience; enhancer; abiotic; stress,
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,BUG Agentes Biologicos,good,,40.1,crop; biological; biologicals; control,true,parasitoids; biological; pest; control; trichogramma; wasps,crop; protection
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,Sylvarum,good,,29,crop; biological; biologicals; resilience; plant; control,true,thermal; plasma; seed; treatment; plant; electro,seeds; crop; biologicals
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,Arakion,good,,28.5,crop; biological; biologicals; resilience,true,venom; peptides; rational; molecular; design; crop,crop; protection
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,Bioheuris,good,,31.4,crop; biological; biologicals; resilience; plant; control,true,gene; editing; crop; trait; development; plant,
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,Agrivalle,good,,25.5,crop; biological; biologicals,true,biofertilizers; biostimulants; inoculants; adjuvants; biological; crop,crop; nutrition
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,BEAM CropTech,good,,28.1,crop; biological; biologicals; resilience; climate; plant,true,plant; photobiology; genetic; engineering; seed; trait,seed
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,Qumir Nano,good,,21.9,crop; resilience; plant,true,microbial; metabolites; nanodelivery; nanoinputs; crop; protection,crop; protection; plant; regenerative
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,Decoy,good,,34.4,crop; biological; biologicals; control,true,biopesticides; biological; pest; control; livestock; alternative,livestock
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,Precision Ag,good,,23.5,crop; biological; monitoring; plant,true,drones; precision; spraying; solid; input; dispersion,crop; input; application
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,Gênica,good,,20.6,crop; biological; biologicals; resilience,true,bioinputs; microbial; bioprospection; molecular; techniques; bioinformatics,crop; soil
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,Solubio Tecnologias Agricolas,good,,25.3,crop; biological; biologicals; resilience; control,true,biofactories; farm; bioinput; microbial; inputs; quality,crop; protection; biological; inputs
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,Symbiomics,good,,18,crop; biological; biologicals; resilience; plant,true,sequencing; machine; learning; genome; editing; microbial,crop
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,Krilltech,good,,15.2,crop; biological; biologicals; resilience; plant,true,organic; nanostructures; biofertilizer; biofortification; nutrient; carrier,crop; plant; nutrition; biologicals
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,Puna Bio,good,,21.7,crop; biological; biologicals; resilience,true,extremophile; microbiology; microbial; inoculants,seeds; crop
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,Innova Space,good,,11.9,monitoring,true,picosatellites; satellite; environmental; monitoring; water; quality,environmental; monitoring; water; quality; remote
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,Nanotica,good,,18.5,crop,true,nanotechnology; nanoencapsulation; agrochemical; crop; protection; farm,crop; protection
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,Voa,good,,16.7,crop; biological; monitoring,true,drone; fleet; analytics; biological; agent; application,crop; protection; input; application
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,Bsafe Biotech,good,,21.9,crop; biological; biologicals; resilience; control,true,genetics; microorganisms; biological; control,
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,Aegro,good,,18.6,crop; climate; monitoring; control,true,farm; saas; records; pest; monitoring; input,crop; livestock; farm
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,Splight,review,low_margin,0.6,resilience; climate,true,grid; optimization; renewable; energy; forecasting; derms,renewable; energy; electric; grids; climate
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,Agrosmart,good,,7.2,crop; climate; monitoring,true,climate; data; agronomic; intelligence; irrigation; monitoring,crop; irrigation; agrifood; sustainability
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,Waterplan,review,weak_policy_fit,8.4,climate,false,water; risk; analytics; local; environmental; data,water; dependent; industries; watersheds; climate; risk
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,LogShare,review,low_margin; weak_policy_fit,1.2,climate; monitoring,false,collaborative; freight; sharing; route; matching; monitoring,cargo; transportation; logistics; supply; chains
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,SoyGREEN,good,,9.7,crop; biological; biologicals; resilience,true,biological; inputs,
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,Kilimo,good,,11.5,climate,true,data; agronomy; climate; measurement,watershed
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,Elytron Biotech,good,,13.5,biological,true,development; genomics; gene; editing; molecular; bioinformatics,bioindustry; biological
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,Nexxto,review,weak_policy_fit,13.4,monitoring; control,false,sensors; temperature; monitoring; humidity; asset; tracking,retail; logistics; healthcare; cold; chain
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,SiloReal,good,,11.1,crop,true,remote; verification; assets; digital; collateral; crop,rural; finance; insurance; commodity; transactions
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,CyanoMin,good,,13.5,biological; climate,true,extremophilic; bacteria; bacterial; biofilms; adsorption; biodesalination,mining; lithium; water; treatment; recovery
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,InCeres,good,,5.4,crop; monitoring; plant,true,agronomic; saas; satellite; imagery; soil; sampling,crop; agronomic; consulting
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,Sensify,review,weak_policy_fit,5.3,monitoring; control,false,refrigeration; monitoring; cold; chain; analytics; energy,beverages; dairy; meat; refrigerated; retail
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,Sensix,review,low_margin,3.2,crop; climate,true,remote; sensing; soil; data; yield; maps,crop; farm
k12_cluster_3,ag biologicals and crop resilience,ag biologicals and crop resilience,SpecLab,good,,8.6,biological; control,true,spectral; fingerprinting; machine; learning; chemometrics; raman,laboratory; analytics; quality; control
k12_cluster_4,grain traceability and producer infrastructure,grain traceability and producer infrastructure,Traive,good,,34.8,credit; risk; rural; producer; intelligence,true,credit; scoring; receivables; risk; analysis; traceability,agribusiness; finance; rural; chains
k12_cluster_4,grain traceability and producer infrastructure,grain traceability and producer infrastructure,Agricapital,good,,42.8,credit; agro; rural,true,credit; mobile; workflows; agro; store; network,smallholder
k12_cluster_4,grain traceability and producer infrastructure,grain traceability and producer infrastructure,Agrired,good,,42.8,agro; intelligence; digital,true,marketplace; pricing; analytics; logistics; coordination,seeds; fertilizers; agrochemicals
k12_cluster_4,grain traceability and producer infrastructure,grain traceability and producer infrastructure,Verqor,good,,29.7,credit; agro; rural; producer; digital,true,digital; finance; credit; workflows; producer; financing,rural; finance
k12_cluster_4,grain traceability and producer infrastructure,grain traceability and producer infrastructure,TerraMagna,good,,33.7,credit; risk; agro; producer,true,credit; fiagro; fidc; receivables; input; distributor,finance; input; distribution
k12_cluster_4,grain traceability and producer infrastructure,grain traceability and producer infrastructure,Agrolend,good,,22.5,credit; risk; agro; rural; producer; intelligence; digital,true,credit; receivables; risk; monitoring; producer; finance,farmers; agribusiness; credit; investors; rural; finance
k12_cluster_4,grain traceability and producer infrastructure,grain traceability and producer infrastructure,Incluirtec,good,,28,risk; agro; rural; producer,true,agrifintech; risk; workflows; rural; finance; orchestration,smallholder; rural; productive
k12_cluster_4,grain traceability and producer infrastructure,grain traceability and producer infrastructure,Brain.ag,good,,16.7,credit; risk; rural; producer; intelligence,true,data; analytics; geoprocessing; remote; sensing; rural,finance; socioenvironmental; risk
k12_cluster_4,grain traceability and producer infrastructure,grain traceability and producer infrastructure,Sette,good,,34.1,credit; risk; rural; producer; digital,true,digital; signatures; registration; collateral; registry; satellite,finance; rural; credit
k12_cluster_4,grain traceability and producer infrastructure,grain traceability and producer infrastructure,Culttivo,good,,25.1,credit; risk; producer; intelligence; digital,true,satellite; imagery; advanced; analytics; risk; climate,coffee; finance
k12_cluster_4,grain traceability and producer infrastructure,grain traceability and producer infrastructure,Agrotoken,good,,20,agro,true,blockchain; tokenization; traceability; collateral,agribusiness; energy; mining; supply; chains
k12_cluster_4,grain traceability and producer infrastructure,grain traceability and producer infrastructure,Agrofy,good,,30,credit; agro; producer; digital,true,marketplace; agfintech; inputs; machinery; credit; commerce,agribusiness; commerce; finance
k12_cluster_4,grain traceability and producer infrastructure,grain traceability and producer infrastructure,Seedz,good,,20.6,credit; growers; producer; intelligence,true,loyalty; producer; engagement; payments; credit; access,agribusiness; channels; growers; input
k12_cluster_4,grain traceability and producer infrastructure,grain traceability and producer infrastructure,Arado,good,,27.1,producer,true,fresh; marketplace; farmer; income; waste; reduction,fresh; family; farming; supply; chains
k12_cluster_4,grain traceability and producer infrastructure,grain traceability and producer infrastructure,AGROTOOLS,good,,7.6,credit; risk; agro; rural; producer; intelligence,true,data; geospatial; intelligence; land; monitoring; compliance,banking; insurance; commodity; chains
k12_cluster_4,grain traceability and producer infrastructure,grain traceability and producer infrastructure,TuPlaza,good,,16.1,digital,true,fresh; marketplace; farmer; connection; distribution; supply,fresh; distribution
k12_cluster_4,grain traceability and producer infrastructure,grain traceability and producer infrastructure,Agree,good,,12.7,agro; digital,true,marketplace; traceability; sustainability; workflows; quota; barter,agri; chains
k12_cluster_4,grain traceability and producer infrastructure,grain traceability and producer infrastructure,goFlux,good,,18.8,agro,true,freight; saas; decision; support; road; logistics,agribusiness; road; freight; logistics
k12_cluster_4,grain traceability and producer infrastructure,grain traceability and producer infrastructure,Nilus,review,weak_token_overlap; weak_policy_fit,20.7,,false,rescue; surplus; circular; logistics; access; affordability,access; waste; reduction; urban
k12_cluster_4,grain traceability and producer infrastructure,grain traceability and producer infrastructure,SeedMatriz,review,low_margin,2.2,agro,true,seed; encapsulation; agronomy; data; quality; analytics,seeds
k12_cluster_4,grain traceability and producer infrastructure,grain traceability and producer infrastructure,MUTA,watch,weak_token_overlap,13.6,,true,recycling; supply; chain; traceability; logistics; orchestration,recycling; circular; economy; recovery
k12_cluster_4,grain traceability and producer infrastructure,grain traceability and producer infrastructure,Zavia Bio,good,,7.6,agro,true,biological; biotechnology,
k12_cluster_4,grain traceability and producer infrastructure,grain traceability and producer infrastructure,Calice,review,low_margin,0.2,agro; intelligence,true,environmental; modeling; agronomic; simulations; climate; soil,seed; biological; input; fertilizer; agrifood
k12_cluster_5,food ingredients and biofactories,food ingredients and biofactories,MicroTerra,good,,53.7,ingredients; plant; aquaculture,true,lemna; cultivation; aquafarm; integration; plant; ingredients,plant; ingredients
k12_cluster_5,food ingredients and biofactories,food ingredients and biofactories,Cellva,good,,52.6,ingredients,true,microencapsulation; ingredients; stabilization; bioactive; protection; algae,beverage
k12_cluster_5,food ingredients and biofactories,food ingredients and biofactories,Tomorrow Foods,good,,48.3,ingredients; plant; animal; foodtech,true,proteins; formulation; ingredients; processing; fermentation,beverage
k12_cluster_5,food ingredients and biofactories,food ingredients and biofactories,GlycoX,good,,23.6,ingredients; plant,true,plant; derived; ingredients; development; metabolic; formulation,nutrition; metabolic
k12_cluster_5,food ingredients and biofactories,food ingredients and biofactories,Inbioar,good,,15.4,ingredients; plant,true,plant; extract; libraries; collection; greenhouse; trials,agroindustry; crop; protection
k12_cluster_5,food ingredients and biofactories,food ingredients and biofactories,algaebio+,good,,33.7,ingredients; aquaculture; animal; compounds; human,true,microalgae; cultivation; photobioreactors; functional; ingredients; processing,aquaculture; nutraceuticals; functional; cosmetics
k12_cluster_5,food ingredients and biofactories,food ingredients and biofactories,Kresko RNAtech,good,,39.6,ingredients,true,bioactive; isolation; extracts; functional; ingredients; stabilization,nutrition
k12_cluster_5,food ingredients and biofactories,food ingredients and biofactories,Matchetune,good,,31.9,ingredients; compounds,true,nanotechnology; nutraceutical; formulation; bioactives,functional; foods; nutraceutical
k12_cluster_5,food ingredients and biofactories,food ingredients and biofactories,Innovai,good,,33.6,compounds; foodtech,true,bioactive; compounds; preservation; seafood; processing,seafood; supply; chains
k12_cluster_5,food ingredients and biofactories,food ingredients and biofactories,Nude,good,,16.4,ingredients; plant; animal; foodtech,true,formulation; ingredients; carbon; footprint; accounting; plant,plant; dairy; alternatives; retail
k12_cluster_5,food ingredients and biofactories,food ingredients and biofactories,Food4You,good,,25.5,ingredients; plant,true,beneficial; bacteria; formulation,plant
k12_cluster_5,food ingredients and biofactories,food ingredients and biofactories,Nanoingreen,good,,20.1,ingredients,true,nanotechnology; ingredients; encapsulation,cosmetics
k12_cluster_5,food ingredients and biofactories,food ingredients and biofactories,Botanical Solutions,good,,13.1,ingredients; plant; human,true,plant; tissue; culture; botanical; extracts; crop,ingredients
k12_cluster_5,food ingredients and biofactories,food ingredients and biofactories,Levya,good,,8.2,ingredients,true,wild; yeast; strains; precisionfermentation; lipid; profiling,cosmetics; personal; ingredients
k12_cluster_5,food ingredients and biofactories,food ingredients and biofactories,Naturannova,good,,23.5,ingredients; plant; foodtech,true,bioinformatics; validation; microorganism,ingredients; proteins; innovation
