"startup_id","startup_name","cleanup_priority","current_scope","scope_reason","structured_country","has_capital_signal","has_source_url","macro_theme","emergent_theme","summary","source_url","action_needed","queue"
"centralo","Centralo","-1","exclude/provisional","full_digital_no_materiality_signal","AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"cobli","Cobli","-1","exclude/provisional","full_digital_no_materiality_signal","","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"curseduca","Curseduca","-1","exclude/provisional","full_digital_no_materiality_signal","BR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"exactly","Exactly","-1","exclude/provisional","full_digital_no_materiality_signal","AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"facturama","Facturama","-1","exclude/provisional","full_digital_no_materiality_signal","MX","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"frubana","Frubana","-1","exclude/provisional","full_digital_no_materiality_signal","CO/BR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"grandata","Grandata","-1","exclude/provisional","full_digital_no_materiality_signal","US/AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"houm","Houm","-1","exclude/provisional","full_digital_no_materiality_signal","CL","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"hybridon","Hybridon","-1","exclude/provisional","full_digital_no_materiality_signal","AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"inventa","Inventa","-1","exclude/provisional","full_digital_no_materiality_signal","BR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"jampp","Jampp","-1","exclude/provisional","full_digital_no_materiality_signal","AR/US","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"kangu","Kangu","-1","exclude/provisional","full_digital_no_materiality_signal","BR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"mabloc","Mabloc","-1","exclude/provisional","full_digital_no_materiality_signal","BR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"mesenchyal_t","Mesenchyal-T","-1","exclude/provisional","full_digital_no_materiality_signal","AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"mudafy","Mudafy","-1","exclude/provisional","full_digital_no_materiality_signal","AR/MX","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"mural","Mural","-1","exclude/provisional","full_digital_no_materiality_signal","AR/US","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"nuvemshop","Nuvemshop","-1","exclude/provisional","full_digital_no_materiality_signal","BR/AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"omica","Omica","-1","exclude/provisional","full_digital_no_materiality_signal","AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"payjoy","Payjoy","-1","exclude/provisional","full_digital_no_materiality_signal","US","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"pill_ar","Pill.AR","-1","exclude/provisional","full_digital_no_materiality_signal","AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"pomelo","Pomelo","-1","exclude/provisional","full_digital_no_materiality_signal","AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"properati","Properati","-1","exclude/provisional","full_digital_no_materiality_signal","AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"qive","Qive","-1","exclude/provisional","full_digital_no_materiality_signal","BR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"quadminds","Quadminds","-1","exclude/provisional","full_digital_no_materiality_signal","AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"retargetly","Retargetly","-1","exclude/provisional","full_digital_no_materiality_signal","AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"ripio","Ripio","-1","exclude/provisional","full_digital_no_materiality_signal","AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"rsk","Rsk","-1","exclude/provisional","full_digital_no_materiality_signal","AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"rumina","Rumina","-1","exclude/provisional","full_digital_no_materiality_signal","BR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"securitize","Securitize","-1","exclude/provisional","full_digital_no_materiality_signal","US/AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"sirena","Sirena","-1","exclude/provisional","full_digital_no_materiality_signal","AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"tissue_dynamics","Tissue Dynamics","-1","exclude/provisional","full_digital_no_materiality_signal","IL/AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"uala","Ualá","-1","exclude/provisional","full_digital_no_materiality_signal","AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"vercel","Vercel","-1","exclude/provisional","full_digital_no_materiality_signal","US/AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"werkenvac","WerkénVac","-1","exclude/provisional","full_digital_no_materiality_signal","AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"workana","Workana","-1","exclude/provisional","full_digital_no_materiality_signal","AR/BR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"caligenia","Caligenia","12","include/confirmed",,"","True",,,,"Startup agrobiotech que transforma guano de pollo en biofertilizantes carbono-negativos. Entra en tesis por ag biologicals and crop resilience.","https://www.gridexponential.com/portfolio","fill_founding_or_base_country","02_include_missing_country"
"syocin-biotech","Syocin Biotech","11","include/confirmed",,"","True",,,,"Startup ag biotech que desarrolla biobactericidas proteicos de alta precision para proteger cultivos frente a fitopatogenos bacterianos sin afectar microbiomas beneficiosos. Entra en tesis por su uso de biologia sintetica aplicada a resiliencia agricola.","https://syocin.com/","fill_founding_or_base_country","02_include_missing_country"
"apexzymes","APEXzymes","10","include/confirmed",,"","True",,,,"Startup de biotech industrial que desarrolla enzimas de bajo costo usando hongos filamentosos y subproductos agroindustriales para hacer procesos mas sustentables. Entra en tesis por biomanufacturing and bioindustrial platforms.","https://apexzymes.com/","fill_founding_or_base_country","02_include_missing_country"
"food4you","Food4You","10","include/confirmed",,"","True",,,,"Startup food biotech que usa combinaciones bacterianas para mejorar productos plant-based. Entra en tesis por food biotech and novel ingredients.","https://www.gridexponential.com/portfolio","fill_founding_or_base_country","02_include_missing_country"
"soygreen","SoyGREEN","10","include/confirmed",,"","True",,,,"Startup agrobiotech que desarrolla insumos biologicos y soluciones sustentables para el agro. Entra en tesis por ag biologicals and crop resilience.","https://soygreen.com.ar","fill_founding_or_base_country","02_include_missing_country"
"arqlite","Arqlite","9","include/confirmed",,"","True",,,,"Empresa de materiales circulares que transforma plasticos dificiles de reciclar en agregados livianos y otros materiales de bajo carbono para construccion y manufactura. Entra en tesis por circular material systems.","https://curbwaste.com/company-profiles-network/arqlite","fill_founding_or_base_country","02_include_missing_country"
"bioblends","BioBlends","9","include/confirmed",,"","True",,,,"Startup food-biotech que desarrolla bio-preservantes gaseosos naturales para controlar hongos y extender la vida util de alimentos sin aditivos quimicos. Entra en tesis por food biotech and novel ingredients.","https://cancilleria.gob.ar/en/new-technologies/next-form-argentine/bioblends","fill_founding_or_base_country","02_include_missing_country"
"bioheuris","Bioheuris","9","include/confirmed",,"","True",,,,"Biotech agricola que desarrolla herramientas geneticas y traits editados para mejorar control de malezas y productividad de cultivos. Entra en tesis por ag biologicals and crop resilience.","https://bioheuris.com/aboutus","fill_founding_or_base_country","02_include_missing_country"
"enzyva","Enzyva","9","include/confirmed",,"","True",,,,"TechBio que desarrolla biología programable para manufactura verde, biosensores de precisión y diseño de enzimas. Entra en tesis por biomanufacturing and bioindustrial platforms.","https://www.enzyvo.com/about","fill_founding_or_base_country","02_include_missing_country"
"fecundis","Fecundis","9","include/confirmed",,"","True",,,,"Biotech de fertilidad que desarrolla tecnologias para mejorar espermatozoides y aumentar la eficacia de tratamientos de infertilidad. Entra en tesis por therapeutics and regenerative medicine.","https://www.fecundis.com/","fill_founding_or_base_country","02_include_missing_country"
"ruuts","Ruuts","9","include/confirmed",,"","True",,,,"Plataforma de agricultura regenerativa que crea incentivos de mercado asociados a resultados ecologicos medibles: carbono en suelo, biodiversidad, ciclo del agua y transicion productiva de productores rurales.","https://ruuts.la/","fill_founding_or_base_country","02_include_missing_country"
"argentag","ArgenTAG","8","include/confirmed",,"","True",,,,"Startup de herramientas genómicas que desarrolla una solución escalable de single-cell sequencing para secuenciadores long-read. Entra en tesis por computational biology and scientific software.","https://sosv.com/company/argentag/","fill_founding_or_base_country","02_include_missing_country"
"beam_croptech","BEAM CropTech","8","include/confirmed",,"","False",,,,"Agrobiotech que desarrolla tecnologias geneticas basadas en fotobiologia para mejorar fotosintesis, productividad y resiliencia de cultivos. Entra en tesis por ag biologicals and crop resilience.","https://beamcroptech.com/en/home-en/","fill_founding_or_base_country","02_include_missing_country"
"biotalife","Biotalife","8","include/confirmed",,"","True",,,,"Medtech que desarrolla dispositivos medicos para reequilibrar naturalmente la microbiota humana, especialmente en salud femenina. Entra en tesis por diagnostics and medtech.","https://www.biotalife.com/","fill_founding_or_base_country","02_include_missing_country"
"bitgenia","Bitgenia","8","include/confirmed",,"","True",,,,"Empresa de genómica y bioinformática que ofrece análisis clínicos, paneles de genes, exoma/genoma y una plataforma propia para interpretación de datos. Entra en tesis por computational biology and scientific software.","https://www.bitgenia.com/nosotros/","fill_founding_or_base_country","02_include_missing_country"
"bybug","ByBug","8","include/confirmed",,"","True",,,,"Startup biotech que usa insectos geneticamente modificados para biomanufactura terapeutica. Entra en tesis por biomanufacturing and bioindustrial platforms.","https://www.gridexponential.com/portfolio","fill_founding_or_base_country","02_include_missing_country"
"cellargen_biotech","Cellargen Biotech","8","include/confirmed",,"","False",,,,"Empresa biotech santafesina que desarrolla vacunas recombinantes, hormonas y otros insumos bioterapeuticos para salud humana y animal. Entra en tesis por biomanufacturing and bioindustrial platforms.","https://www.unl.edu.ar/noticias/news/view/la_fbcb_y_cellargen_biotech_s_r_l_producir%C3%A1n_insumos_biotecnol%C3%B3gicos","fill_founding_or_base_country","02_include_missing_country"
"cryosmetics","Cryosmetics","8","include/confirmed",,"","True",,,,"Startup de personal care biobasado con productos naturales que impactan positivamente el microbioma de la piel. Entra en tesis por biobased chemistry and advanced materials.","https://www.gridexponential.com/portfolio","fill_founding_or_base_country","02_include_missing_country"
"embryoxite","Embryoxite","8","include/confirmed",,"","True",,,,"Startup medtech con diagnostico no invasivo para mejorar resultados en IVF. Entra en tesis por diagnostics and medtech.","https://www.gridexponential.com/portfolio","fill_founding_or_base_country","02_include_missing_country"
"enteria","Enteria","8","include/confirmed",,"","True",,,,"Startup que desarrolla herramientas diagnosticas basadas en microbiota. Entra en tesis por diagnostics and medtech.","https://www.gridexponential.com/portfolio","fill_founding_or_base_country","02_include_missing_country"
"epiliquid","Epiliquid","8","include/confirmed",,"","True",,,,"Startup biotecnologica que desarrolla una plataforma de biopsia liquida para deteccion temprana de cancer con biomarcadores en sangre. Entra en tesis por diagnostics and medtech.","https://ar.linkedin.com/company/epiliquid","fill_founding_or_base_country","02_include_missing_country"
"ergo_foods","Ergo Foods","8","include/confirmed",,"","False",,,,"Empresa de plant cell biotechnology que desarrolla ingredientes de nueva generación, proteínas recombinantes y herramientas de breeding a partir de células vegetales. Entra en tesis por food biotech and novel ingredients.","https://www.ergobiotech.com/","fill_founding_or_base_country","02_include_missing_country"
"HIAMET","HIAMET","8","include/confirmed",,"","True",,,,"Startup medtech que desarrolla dispositivos medicos y tecnologia para la salud. Entra en tesis por diagnostics and medtech.","https://hiamet.com","fill_founding_or_base_country","02_include_missing_country"
"monte-caldera-technology","Monte Caldera Technology","8","include/confirmed",,"","True",,,,"Startup de descubrimiento de materiales que usa fisica avanzada y modelado molecular para acelerar I+D en quimica, energia, semiconductores y biotech con foco en materiales mas sustentables.","https://montecaldera.com/","fill_founding_or_base_country","02_include_missing_country"
"mzp","MZP","8","include/confirmed",,"","True",,,,"Startup medtech que desarrolla diagnostico avanzado de coagulacion para manejo de sangrado en trauma, cirugia, trasplantes y cuidados criticos.","https://www.f6s.com/company/mzp","fill_founding_or_base_country","02_include_missing_country"
"nideport","Nideport","8","include/confirmed",,"","True",,,,"Startup que desarrolla una plataforma para gestion y comercializacion de creditos de carbono. Entra en tesis por climate, energy and resource systems.","https://nideport.com","fill_founding_or_base_country","02_include_missing_country"
"outpost","Outpost","8","include/confirmed",,"","True",,,,"TechBio que combina wet lab microbiology y machine learning para volver computable la microbiologia humana. Entra en tesis por computational biology and scientific software.","https://www.outpost.bio/","fill_founding_or_base_country","02_include_missing_country"
"protiva","Protiva","8","include/confirmed",,"","True",,,,"Startup de biomateriales y quimica biobasada que desarrolla pigmentos bio-based trazables y validados para procesos textiles reales. Entra en tesis por biobased chemistry and advanced materials.","https://www.protiva.bio/","fill_founding_or_base_country","02_include_missing_country"
"tracestory","Tracestory","8","include/confirmed",,"","True",,,,"Infraestructura de trazabilidad colaborativa y pasaporte digital de producto para cadenas agroalimentarias e industriales. Entra en tesis por transparencia y MRV aplicado a cadenas materiales.","https://www.tracestory.com/en/home","fill_founding_or_base_country","02_include_missing_country"
"bioseek","Bioseek","7","include/confirmed",,"","True",,,,"Plataforma de semantic search y analitica para investigacion en life sciences. Entra en tesis como software cientifico acoplado de forma directa a I+D biologica.","https://www.f6s.com/company/bioseek","fill_founding_or_base_country","02_include_missing_country"
"break_pet","BreakPET","7","include/confirmed",,"","False",,,,"Startup de circularidad de materiales que recicla PET con enzimas ingenierizadas. Entra en tesis por biobased chemistry and advanced materials.","https://www.gridexponential.com/portfolio","fill_founding_or_base_country","02_include_missing_country"
