"startup_name","recommendation","reason","macro_theme","emergent_theme","structured_sector","thesis_fit","confidence"
"BreakPET","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"ByBug","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Caligenia","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Chazki","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Cryosmetics","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Dynami","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Einsted","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Eiwa","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Elytron","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Embryoxite","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Enteria","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Epiliquid","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Eureka","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Exomas","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Eywa","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"F4u","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Falcomm","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Fecundis","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Flexza","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Fligoo","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Frete Com","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Iof","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Lifit","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Logan","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Menta Tickets","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"MIGMA","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"MUTA","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"MZP","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Naturanova","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Nideport","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Nude","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Openlayer","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Pods","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Prima","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Protiva","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Qnity","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Radial","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Retrypay","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Ruuts","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Sensei","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Sima","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Spectrum","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Spline","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Starlight Ventures","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Strike","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Teachy","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Tell","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Teramot","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Tracestory","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Vixtra","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"VMind","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Vu","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Alkemio","review_first_possible_keep","possible_climate_materiality_or_planetary_boundaries_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"CIRCCLO","review_first_possible_keep","possible_climate_materiality_or_planetary_boundaries_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Courageous Land","review_first_possible_keep","possible_climate_materiality_or_planetary_boundaries_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Luzid","review_first_possible_keep","possible_climate_materiality_or_planetary_boundaries_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Nuclearis","review_first_possible_keep","possible_climate_materiality_or_planetary_boundaries_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Nuvia","review_first_possible_keep","possible_climate_materiality_or_planetary_boundaries_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"OneInfinite","review_first_possible_keep","possible_climate_materiality_or_planetary_boundaries_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"SoyGREEN","review_first_possible_keep","possible_climate_materiality_or_planetary_boundaries_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Wisy","review_first_possible_keep","possible_climate_materiality_or_planetary_boundaries_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
