"startup_id","startup_name","cleanup_priority","current_scope","structured_country","has_capital_signal","source_url","source_type","semantic_or_macro_theme","summary","action_needed"
"agrojusto","Agrojusto","5","include/confirmed","","True","https://agrojustoinc.com/","official_website","precision agriculture and resource intelligence","Plataforma de trazabilidad, digitalización territorial y acceso a mercado para pequeños productores y cadenas alimentarias. Entra en tesis por su acople fuerte a flujos materiales del sistema agroalimentario.","fill_founding_or_base_country"
"aplife_biotech","Aplife Biotech","5","include/confirmed","","False","https://www.aplifebiotech.com/about","official_website","computational biology and scientific software","Startup biotech que desarrolla una plataforma de alto throughput para sintesis de librerias combinatorias, screening y descubrimiento de aptameros aplicados a drug discovery, diagnostico y biosensores. Entra en tesis por computational biology and scientific software.","fill_founding_or_base_country"
"laurus_ag_tech","Laurus AG Tech","5","include/confirmed","","False","https://www.f6s.com/company/laurusagtech","official_portfolio_profile","climate, energy and resource systems","Startup de granjas autonomas urbanas que produce vegetales frescos mediante infraestructura distribuida de bajo CAPEX y baja huella, acercando la produccion a la ciudad.","fill_founding_or_base_country"
"microscopia","microscopIA","5","include/confirmed","","False","https://www.f6s.com/company/microscopia","secondary_public_profile","diagnostics and medtech","Startup de dispositivos automatizados con IA para diagnóstico médico, veterinario y aplicaciones agroindustriales basadas en microscopía. Entra en tesis por diagnostics and medtech.","fill_founding_or_base_country"
"auravant","Auravant","4","include/confirmed","","True","https://www.auravant.com/en/about-us/","official_website","precision agriculture and resource intelligence","Plataforma de agricultura de precision que integra modelos agronomicos, imagenes satelitales, trazabilidad y gestion operativa para hacer mas eficiente y sustentable la produccion de cultivos. Entra en tesis por su acople directo al sistema agroalimentario material.","fill_founding_or_base_country"
"bleps_vision","Bleps Vision","4","include/confirmed","","False","https://blepsvision.com/en/","official_website","diagnostics and medtech","Empresa de medtech que desarrolla un topografo corneal portatil para diagnostico visual y adaptacion de lentes de contacto. Entra en tesis por diagnostics and medtech.","fill_founding_or_base_country"
"sima","Sima","4","include/confirmed","","False","https://sima.ag/","official_website","precision agriculture and resource intelligence","Plataforma de agricultura inteligente para monitoreo de cultivos, geolocalizacion de datos y generacion de ordenes de trabajo en campo. Entra en tesis por precision agriculture and resource intelligence.","fill_founding_or_base_country"
"agrotoken","Agrotoken","3","include/confirmed","","False","https://landing.test.agrotoken.io/en/home","official_website","climate, energy and resource systems","Infraestructura para tokenizar granos y otros activos del agro, habilitando pagos, financiamiento, colateral y trazabilidad sobre activos materiales reales. Entra en tesis por acople fuerte a cadenas agro-materiales y capa de trazabilidad/sustentabilidad.","fill_founding_or_base_country"
"silohub","Silohub","3","include/confirmed","","False","https://www.descubre.vc/silohub","secondary_public_profile","precision agriculture and resource intelligence","AgTech argentina que digitaliza la ultima milla del negocio de granos para acopios, distribuidores y productores. Entra en tesis por precision agriculture and resource intelligence.","fill_founding_or_base_country"
"agrired","Agrired","1","include/confirmed","","False","https://www.agrired.com.ar/","official_website","precision agriculture and resource intelligence","Infraestructura B2B para la compra, venta y logistica de semillas, fertilizantes y agroquimicos entre empresas del agro. Entra en tesis como capa digital fuertemente acoplada a flujos materiales de insumos agricolas.","fill_founding_or_base_country"
