priority,kind,target,evidence,action
media,portfolio_sweep,atlantico,solo 1 edge(s) en DB; país BR (well_mapped),Revisar portfolio público completo de atlantico y mapear startups bio faltantes
media,portfolio_sweep,canary_vc,solo 1 edge(s) en DB; país BR (well_mapped),Revisar portfolio público completo de canary_vc y mapear startups bio faltantes
media,portfolio_sweep,cazanga,solo 1 edge(s) en DB; país BR (well_mapped),Revisar portfolio público completo de cazanga y mapear startups bio faltantes
media,portfolio_sweep,cventures_primus,solo 1 edge(s) en DB; país BR (well_mapped),Revisar portfolio público completo de cventures_primus y mapear startups bio faltantes
media,portfolio_sweep,dynamo,solo 1 edge(s) en DB; país BR (well_mapped),Revisar portfolio público completo de dynamo y mapear startups bio faltantes
media,portfolio_sweep,eurofarma,solo 1 edge(s) en DB; país BR (well_mapped),Revisar portfolio público completo de eurofarma y mapear startups bio faltantes
media,portfolio_sweep,fors_capital,solo 1 edge(s) en DB; país BR (well_mapped),Revisar portfolio público completo de fors_capital y mapear startups bio faltantes
media,portfolio_sweep,fundepar,solo 1 edge(s) en DB; país BR (well_mapped),Revisar portfolio público completo de fundepar y mapear startups bio faltantes
media,portfolio_sweep,ght4_group,solo 1 edge(s) en DB; país BR (well_mapped),Revisar portfolio público completo de ght4_group y mapear startups bio faltantes
media,portfolio_sweep,gvangels,solo 1 edge(s) en DB; país BR (well_mapped),Revisar portfolio público completo de gvangels y mapear startups bio faltantes
media,portfolio_sweep,lanx_capital,solo 1 edge(s) en DB; país BR (well_mapped),Revisar portfolio público completo de lanx_capital y mapear startups bio faltantes
media,portfolio_sweep,primatec,solo 1 edge(s) en DB; país BR (well_mapped),Revisar portfolio público completo de primatec y mapear startups bio faltantes
media,portfolio_sweep,slc_agricola,solo 1 edge(s) en DB; país BR (well_mapped),Revisar portfolio público completo de slc_agricola y mapear startups bio faltantes
media,portfolio_sweep,aqua_capital,solo 2 edge(s) en DB; país BR (well_mapped),Revisar portfolio público completo de aqua_capital y mapear startups bio faltantes
media,portfolio_sweep,bndes,solo 2 edge(s) en DB; país BR (well_mapped),Revisar portfolio público completo de bndes y mapear startups bio faltantes
media,portfolio_sweep,domo_invest,solo 2 edge(s) en DB; país BR (well_mapped),Revisar portfolio público completo de domo_invest y mapear startups bio faltantes
media,portfolio_sweep,gavea_investimentos,solo 2 edge(s) en DB; país BR (well_mapped),Revisar portfolio público completo de gavea_investimentos y mapear startups bio faltantes
media,portfolio_sweep,green_rock,solo 2 edge(s) en DB; país BR (well_mapped),Revisar portfolio público completo de green_rock y mapear startups bio faltantes
media,portfolio_sweep,mov_investimentos,solo 2 edge(s) en DB; país BR (well_mapped),Revisar portfolio público completo de mov_investimentos y mapear startups bio faltantes
media,portfolio_sweep,onevc,solo 2 edge(s) en DB; país BR (well_mapped),Revisar portfolio público completo de onevc y mapear startups bio faltantes
media,portfolio_sweep,biominas,solo 3 edge(s) en DB; país BR (well_mapped),Revisar portfolio público completo de biominas y mapear startups bio faltantes
media,portfolio_sweep,ecoa_capital,solo 3 edge(s) en DB; país BR (well_mapped),Revisar portfolio público completo de ecoa_capital y mapear startups bio faltantes
media,portfolio_sweep,monashees,solo 3 edge(s) en DB; país BR (well_mapped),Revisar portfolio público completo de monashees y mapear startups bio faltantes
media,portfolio_sweep,barn_investimentos,solo 4 edge(s) en DB; país BR (well_mapped),Revisar portfolio público completo de barn_investimentos y mapear startups bio faltantes
media,portfolio_sweep,bossa_invest,solo 4 edge(s) en DB; país BR (well_mapped),Revisar portfolio público completo de bossa_invest y mapear startups bio faltantes
media,portfolio_sweep,vox_capital,solo 4 edge(s) en DB; país BR (well_mapped),Revisar portfolio público completo de vox_capital y mapear startups bio faltantes
media,portfolio_sweep,blue_horizon,solo 2 edge(s) en DB; país CH (fuera_de_foco),Revisar portfolio público completo de blue_horizon y mapear startups bio faltantes
media,portfolio_sweep,arauco_ventures,solo 1 edge(s) en DB; país CL (well_mapped),Revisar portfolio público completo de arauco_ventures y mapear startups bio faltantes
media,portfolio_sweep,corfo,solo 1 edge(s) en DB; país CL (well_mapped),Revisar portfolio público completo de corfo y mapear startups bio faltantes
media,portfolio_sweep,fen_ventures,solo 1 edge(s) en DB; país CL (well_mapped),Revisar portfolio público completo de fen_ventures y mapear startups bio faltantes
media,portfolio_sweep,kayyak_ventures,solo 1 edge(s) en DB; país CL (well_mapped),Revisar portfolio público completo de kayyak_ventures y mapear startups bio faltantes
media,portfolio_sweep,venturance,solo 1 edge(s) en DB; país CL (well_mapped),Revisar portfolio público completo de venturance y mapear startups bio faltantes
media,portfolio_sweep,fondo_alerce,solo 2 edge(s) en DB; país CL (well_mapped),Revisar portfolio público completo de fondo_alerce y mapear startups bio faltantes
media,portfolio_sweep,chileglobal_ventures,solo 3 edge(s) en DB; país CL (well_mapped),Revisar portfolio público completo de chileglobal_ventures y mapear startups bio faltantes
media,portfolio_sweep,caf,solo 1 edge(s) en DB; país CO (under_explored),Revisar portfolio público completo de caf y mapear startups bio faltantes
media,portfolio_sweep,carao_ventures,solo 1 edge(s) en DB; país CR (under_explored),Revisar portfolio público completo de carao_ventures y mapear startups bio faltantes
media,portfolio_sweep,porsche_ag,solo 1 edge(s) en DB; país DE (fuera_de_foco),Revisar portfolio público completo de porsche_ag y mapear startups bio faltantes
media,portfolio_sweep,eatable_adventures,solo 2 edge(s) en DB; país ES (fuera_de_foco),Revisar portfolio público completo de eatable_adventures y mapear startups bio faltantes
media,portfolio_sweep,biomerieux,solo 1 edge(s) en DB; país FR (fuera_de_foco),Revisar portfolio público completo de biomerieux y mapear startups bio faltantes
media,portfolio_sweep,horizons_ventures,solo 1 edge(s) en DB; país HK (fuera_de_foco),Revisar portfolio público completo de horizons_ventures y mapear startups bio faltantes
media,portfolio_sweep,morningside_group,solo 1 edge(s) en DB; país HK (fuera_de_foco),Revisar portfolio público completo de morningside_group y mapear startups bio faltantes
media,portfolio_sweep,hatch_blue,solo 1 edge(s) en DB; país IE (fuera_de_foco),Revisar portfolio público completo de hatch_blue y mapear startups bio faltantes
media,portfolio_sweep,dalus_capital,solo 3 edge(s) en DB; país MX (partial),Revisar portfolio público completo de dalus_capital y mapear startups bio faltantes
media,portfolio_sweep,hatch,solo 1 edge(s) en DB; país NO (fuera_de_foco),Revisar portfolio público completo de hatch y mapear startups bio faltantes
media,portfolio_sweep,salkantay_ventures,solo 1 edge(s) en DB; país PE (under_explored),Revisar portfolio público completo de salkantay_ventures y mapear startups bio faltantes
media,portfolio_sweep,500_latam,solo 1 edge(s) en DB; país US (fuera_de_foco),Revisar portfolio público completo de 500_latam y mapear startups bio faltantes
media,portfolio_sweep,gef,solo 1 edge(s) en DB; país US (fuera_de_foco),Revisar portfolio público completo de gef y mapear startups bio faltantes
media,portfolio_sweep,hawthorne_food_ventures,solo 1 edge(s) en DB; país US (fuera_de_foco),Revisar portfolio público completo de hawthorne_food_ventures y mapear startups bio faltantes
media,portfolio_sweep,ifc,solo 1 edge(s) en DB; país US (fuera_de_foco),Revisar portfolio público completo de ifc y mapear startups bio faltantes
media,portfolio_sweep,left_lane_capital,solo 1 edge(s) en DB; país US (fuera_de_foco),Revisar portfolio público completo de left_lane_capital y mapear startups bio faltantes
media,portfolio_sweep,lowercarbon_capital,solo 1 edge(s) en DB; país US (fuera_de_foco),Revisar portfolio público completo de lowercarbon_capital y mapear startups bio faltantes
media,portfolio_sweep,melek_capital,solo 1 edge(s) en DB; país US (fuera_de_foco),Revisar portfolio público completo de melek_capital y mapear startups bio faltantes
media,portfolio_sweep,union_square_ventures,solo 1 edge(s) en DB; país US (fuera_de_foco),Revisar portfolio público completo de union_square_ventures y mapear startups bio faltantes
media,portfolio_sweep,varana_capital,solo 1 edge(s) en DB; país US (fuera_de_foco),Revisar portfolio público completo de varana_capital y mapear startups bio faltantes
media,portfolio_sweep,wivet,solo 1 edge(s) en DB; país US (fuera_de_foco),Revisar portfolio público completo de wivet y mapear startups bio faltantes
media,portfolio_sweep,1200_vc,solo 2 edge(s) en DB; país US (fuera_de_foco),Revisar portfolio público completo de 1200_vc y mapear startups bio faltantes
media,portfolio_sweep,corteva_catalyst,solo 2 edge(s) en DB; país US (fuera_de_foco),Revisar portfolio público completo de corteva_catalyst y mapear startups bio faltantes
media,portfolio_sweep,general_catalyst,solo 2 edge(s) en DB; país US (fuera_de_foco),Revisar portfolio público completo de general_catalyst y mapear startups bio faltantes
media,portfolio_sweep,idb_invest,solo 2 edge(s) en DB; país US (fuera_de_foco),Revisar portfolio público completo de idb_invest y mapear startups bio faltantes
media,portfolio_sweep,idb_lab,solo 2 edge(s) en DB; país US (fuera_de_foco),Revisar portfolio público completo de idb_lab y mapear startups bio faltantes
media,portfolio_sweep,lightsmith_group,solo 2 edge(s) en DB; país US (fuera_de_foco),Revisar portfolio público completo de lightsmith_group y mapear startups bio faltantes
media,portfolio_sweep,sosv,solo 2 edge(s) en DB; país US (fuera_de_foco),Revisar portfolio público completo de sosv y mapear startups bio faltantes
media,portfolio_sweep,y_combinator,solo 2 edge(s) en DB; país US (fuera_de_foco),Revisar portfolio público completo de y_combinator y mapear startups bio faltantes
media,diversify_sources,Biomaterials & Circular Economy × BR,"6 startups, 83% viene de 'gridx'","Buscar la celda vía fuentes independientes del parche dominante (medios, otras carteras, registros)"
media,diversify_sources,Diagnostics & Health Access × MX,"11 startups, 81% viene de 'gridx'","Buscar la celda vía fuentes independientes del parche dominante (medios, otras carteras, registros)"
media,diversify_sources,Nature & Ecosystem Tech × AR,"14 startups, 71% viene de '(sin provenance)'","Buscar la celda vía fuentes independientes del parche dominante (medios, otras carteras, registros)"
