"startup_id","startup_name","semantic_single_theme","semantic_single_cluster_id","semantic_single_score","semantic_single_margin","semantic_single_confidence","semantic_single_override","semantic_single_override_reason","source_url","review_status","technology_features","industry_features"
"promip","Promip","ag biologicals and crop resilience","k12_cluster_3","53.6","41.8","high","no","","https://promip.agr.br/institucional/","reviewed","macrobiologicals; microbiologicals; biofactory; integrated; pest; crop","crop; pest; biologicals"
"puna_bio","Puna Bio","ag biologicals and crop resilience","k12_cluster_3","33.2","23.5","high","no","","https://www.puna.bio/en","reviewed","extremophile; microbiology; microbial; inoculants","seeds; crop"
"qumir_nano","Qumir Nano","ag biologicals and crop resilience","k12_cluster_3","40.6","21.8","high","no","","https://www.qumirnano.com/","reviewed","microbial; metabolites; nanodelivery; nanoinputs; crop; protection","crop; protection; plant; regenerative"
"seedmatriz","SeedMatriz","ag biologicals and crop resilience","k12_cluster_3","23.6","1.8","curated","yes","Source-backed profile centers seed treatment and biological crop productivity rather than generic market infrastructure.","https://seedmatriz.com/en/","reviewed","seed; encapsulation; quality; analytics; agronomy; data","seeds"
"semion","Semion","ag biologicals and crop resilience","k12_cluster_3","53.9","43.8","high","no","","https://semionbio.com/","reviewed","crop; defense; activation; biomimicry; plant; resilience",""
"siloreal","SiloReal","ag biologicals and crop resilience","k12_cluster_3","22.2","12.5","high","no","","https://www.siloreal.com/en/","reviewed","remote; verification; assets; digital; collateral; crop","rural; finance; insurance; commodity; transactions"
"solubio","Solubio Tecnologias Agricolas","ag biologicals and crop resilience","k12_cluster_3","35.5","25.4","high","no","","https://www.solubio.agr.br/","reviewed","biofactories; farm; bioinput; microbial; inputs; quality","crop; protection; biological; inputs"
"soygreen","SoyGREEN","ag biologicals and crop resilience","k12_cluster_3","17.4","3.3","curated","yes","Source-backed profile is agricultural microbiology bioinputs for fertilizer substitution and climate mitigation.","https://soygreen.bio/","reviewed","biological; inputs",""
"speclab","SpecLab","ag biologicals and crop resilience","k12_cluster_3","17.9","7.3","medium","no","","https://www.speclab.com.br/english.html","reviewed","spectral; fingerprinting; machine; learning; chemometrics; raman","laboratory; analytics; quality; control"
"sylvarum","Sylvarum","ag biologicals and crop resilience","k12_cluster_3","45.7","26.9","high","no","","https://www.sylvarum.co/","reviewed","thermal; plasma; seed; treatment; plant; electro","seeds; crop; biologicals"
"symbiomics","Symbiomics","ag biologicals and crop resilience","k12_cluster_3","35","18.1","high","no","","https://www.symbiomics.com.br/pt/tecnologia/","reviewed","sequencing; machine; learning; genome; editing; microbial","crop"
"syocin-biotech","Syocin Biotech","ag biologicals and crop resilience","k12_cluster_3","36","7.8","curated","yes","Source-backed profile is precision protein biobactericides for crop protection and agricultural resilience.","https://syocin.com/","reviewed","synthetic; proteins; engineering; microbial","crop; protection"
"voa","Voa","ag biologicals and crop resilience","k12_cluster_3","31.2","15.3","high","no","","https://theyieldlablatam.com/companies/voa/","reviewed","drone; fleet; analytics; biological; agent; application","crop; protection; input; application"
"tech","@Tech","agri intelligence and traceable markets","k12_cluster_2","52.2","42.9","high","no","","https://theyieldlablatam.com/companies/atech/","reviewed","data; science; smart; tags","animal; proteins; supply; chains"
"agrosmart","Agrosmart","agri intelligence and traceable markets","k12_cluster_2","20.6","2.3","curated","yes","Source-backed profile is climate-smart agronomic, irrigation and ESG intelligence for producers.","https://agrosmart.com.br/about/","reviewed","climate; data; agronomic; intelligence; irrigation; monitoring","crop; irrigation; agrifood; sustainability"
"agrotools","AGROTOOLS","agri intelligence and traceable markets","k12_cluster_2","31.7","7.1","medium","no","","https://agrotools.com.br/en/","reviewed","data; geospatial; intelligence; land; monitoring; compliance","banking; insurance; commodity; chains"
"auravant","Auravant","agri intelligence and traceable markets","k12_cluster_2","26.2","6.4","medium","no","","https://www.auravant.com/en/about-us/","reviewed","agronomic; models; satellite; imagery; georeferenced; layers","agribusiness"
"beeflow","Beeflow","agri intelligence and traceable markets","k12_cluster_2","31","9.7","medium","no","","https://www.beeflow.com/about-us","reviewed","plant; science; data; analytics","fruit; specialty; crop"
"bemagro","BemAgro","agri intelligence and traceable markets","k12_cluster_2","22.1","9.2","curated","yes","Source-backed profile is drone imagery and farm intelligence, not direct biological crop input.","https://www.bemagro.cloud/en/index.html","reviewed","cloud; saas; drone; imagery; machinery; vectors","crop; farm; operations"
"bioseek","Bioseek","agri intelligence and traceable markets","k12_cluster_2","19.7","15.9","high","no","","https://www.f6s.com/company/bioseek","reviewed","semantic; search; graph; database; science; analytics","pharma; labs"
"bitgenia","Bitgenia","agri intelligence and traceable markets","k12_cluster_2","26.2","16.3","high","no","","https://www.bitgenia.com/nosotros/","reviewed","genomics; sequencing; workflows; bioinformatics; interpretation","healthcare; hospitals; clinics; pharma; labs"
"blooms","Blooms","agri intelligence and traceable markets","k12_cluster_2","26.3","18.7","high","no","","https://www.bloomscapital.com/english","reviewed","export; finance; cross; border; factoring; global","export; supply; chains"
"brain_ag","Brain.ag","agri intelligence and traceable markets","k12_cluster_2","32.4","3.2","curated","yes","Source-backed profile is agribusiness credit, ESG and socioenvironmental risk analytics.","https://www.serasaexperian.com.br/sala-de-imprensa/agronegocios/serasa-experian-adquire-parte-da-brain-ag-e-fortalece-analise-de-credito-para-o-agronegocio/","reviewed","data; analytics; geoprocessing; remote; sensing; rural","finance; socioenvironmental; risk"
"calice","Calice","agri intelligence and traceable markets","k12_cluster_2","23.4","0.7","curated","yes","Source-backed profile is AI genotype-environment decisioning for agriculture; keep separate from crop biological products.","https://calice.ai/eng/","reviewed","environmental; modeling; agronomic; simulations; genotype; environment","seed; biological; input; fertilizer; agrifood"
"cellco","CellCo","agri intelligence and traceable markets","k12_cluster_2","29.7","10.6","medium","no","","https://www.linkedin.com/company/the-cellco","reviewed","synthetic; molecular; simulation; data","complex; disease; therapeutics"
"deepagro","DeepAgro","agri intelligence and traceable markets","k12_cluster_2","41.6","15.6","high","no","","https://www.deepagro.com/","reviewed","data; agronomic; intelligence; computer; vision",""
"dymaxion_labs","Dymaxion Labs","agri intelligence and traceable markets","k12_cluster_2","52.6","43.4","high","no","","https://dymaxionlabs.com/","reviewed","data; science; computer; vision; agronomic; analytics","agribusiness"
"eiru","Eirú","agri intelligence and traceable markets","k12_cluster_2","45.1","30.9","high","no","","https://sf500.com.ar/","reviewed","simulated; dynamics; pollination; optimization",""
"eiwa","Eiwa","agri intelligence and traceable markets","k12_cluster_2","62.1","53.3","high","no","","https://eiwa.ag/en/about-us/","reviewed","geospatial; analytics; agronomic; data; experimentation; workflows",""
"frizata","Frizata","agri intelligence and traceable markets","k12_cluster_2","17.9","7.8","medium","no","","https://latamlist.com/frizata-raises-4-65m-funding-round-for-flexitarian-frozen-meals/","reviewed","formulation; frozen; manufacturing; meatless; logistics","consumer; alternative; proteins"
"future_cow","Future Cow","agri intelligence and traceable markets","k12_cluster_2","26.1","5.8","medium","no","","https://www.futurecow.com.br/","reviewed","precisionfermentation; microbial; hosts; milk; proteins; coding","ingredients; dairy; alternatives; alternative; proteins"
"geoprot","Geoprot","agri intelligence and traceable markets","k12_cluster_2","17.8","8","medium","no","","https://www.gridexponential.com/portfolio","reviewed","proteins; function; analysis; prediction; biological; deep",""
"horus_aeronaves","Horus Aeronaves","agri intelligence and traceable markets","k12_cluster_2","21.1","9.3","curated","yes","Source-backed profile is UAV/aerial crop intelligence for agriculture.","https://www.lavca.org/sp-ventures-invests-r3m-in-horus-aeronaves-em-portugues/","reviewed","uavs; aerial; imaging; embedded; sensors; image","crop; monitoring; precision"
"jetbov","JetBov","agri intelligence and traceable markets","k12_cluster_2","49.5","32.8","high","no","","https://spventures.com.br/portfolio/jetbov/","reviewed","livestock; herd; traceability","beef; cattle"
"leaf","Leaf","agri intelligence and traceable markets","k12_cluster_2","40.9","25.1","high","no","","https://withleaf.io/","reviewed","farm; data; machine; translation; boundaries; crop",""
"omica","Omica","agri intelligence and traceable markets","k12_cluster_2","45.8","24.3","high","no","","https://www.omica.bio/","reviewed","digital; biobank; multiomics; data; biospecimens; imaging","precision; medicine; diagnostics; pharma; biomarker; discovery"
"onco_precision","Onco Precision","agri intelligence and traceable markets","k12_cluster_2","29","22.5","high","no","","https://www.oncoprecision.bio/","reviewed","patient; derived; models","oncology; therapeutics"
"rumina","Rumina","agri intelligence and traceable markets","k12_cluster_2","27.7","12.9","high","no","","https://rumina.com.br/","reviewed","farm; dairy; intelligence; livestock; data; sustainability","dairy; farming; livestock"
"sensix","Sensix","agri intelligence and traceable markets","k12_cluster_2","27","3.2","curated","yes","Source-backed profile describes remote sensing, soil and field analytics; algorithm overweights crop/biological tokens.","https://sensix.ag/","reviewed","remote; sensing; soil; data; yield; maps","crop; farm"
"silohub","Silohub","agri intelligence and traceable markets","k12_cluster_2","32.3","15.2","high","no","","https://www.descubre.vc/silohub","reviewed","agribusiness; integration; payments","grain; retailers; growers"
"sima","Sima","agri intelligence and traceable markets","k12_cluster_2","39.9","10.9","medium","no","","https://sima.ag/","reviewed","monitoring; agronomic; intelligence; geolocated; crop; data",""
"sioma","Sioma","agri intelligence and traceable markets","k12_cluster_2","41.4","16.3","high","no","","https://theyieldlablatam.com/companies/eiwa-2/","reviewed","adapted; hardware; time; traceability; plant; analytics","tropical; crop"
"smartbreeder","SmartBreeder","agri intelligence and traceable markets","k12_cluster_2","45.9","25.6","high","no","","https://www.kptl.com.br/portfolio/smartbreeder/","reviewed","predictive; agronomy; crop; analytics","crop"
"solinftec","Solinftec","agri intelligence and traceable markets","k12_cluster_2","30.7","18.6","high","no","","https://www.solinftec.com/en-us/about/","reviewed","saas; time; agronomic; data; autonomous; robots","crop; operations"
"spaceag","SpaceAG","agri intelligence and traceable markets","k12_cluster_2","42.6","21.1","high","no","","https://theyieldlablatam.com/companies/spaceag/","reviewed","satellite; imagery; drone; analytics; mobile; workflows","value; crop"
"tbit","TBIT","agri intelligence and traceable markets","k12_cluster_2","26.6","13.5","high","no","","https://www.kptl.com.br/portfolio/tbit/","reviewed","computer; vision; image; processing; quality; analysis","seeds; grains; supply; chains"
"the-earth-says","The Earth Says","agri intelligence and traceable markets","k12_cluster_2","33.9","15.5","high","no","","https://www.f6s.com/company/theearthsays","reviewed","pollination; monitoring; hive; sensors; analytics","crop; pollination"
"updairy","Updairy","agri intelligence and traceable markets","k12_cluster_2","22.8","7.5","medium","no","","https://updairy.co/","reviewed","precisionfermentation; engineered; fungi; bioreactors; dairy; proteins","dairy; bakery; confectionery; beverages; supplements"
"wiagro","Wiagro","agri intelligence and traceable markets","k12_cluster_2","26.1","5.4","medium","no","","https://www.wiagro.com/","reviewed","sensors; satellite; connectivity; predictive; models; traceability","grain; supply; chains"
"zoomagri","ZoomAgri","agri intelligence and traceable markets","k12_cluster_2","30.6","24.6","high","no","","https://zoomagri.com/en/home/","reviewed","computer; vision; machine; learning; digital; inspection","agri; commodities; supply; chains"
"alkemio","Alkemio","bioactive products and regenerative edge cases","k12_cluster_6","55.8","51.8","high","no","","https://alkemio.tech/","reviewed","purity; separation; refining; advanced; chemistry","rare; earths; critical"
"bioeutectics","Bioeutectics","bioactive products and regenerative edge cases","k12_cluster_6","51.9","37.1","high","no","","https://www.bioeutectics.com/","reviewed","biobased; solvents; science; formulation","chemicals; cosmetics"
"biometallum","BioMetallum","bioactive products and regenerative edge cases","k12_cluster_6","30.2","5.7","medium","no","","https://bio-metallum.com/","reviewed","biomining; engineered; microorganisms; synthetic; exploration","lithium; mining; critical"
"eywa_biotech","Eywa Biotech","bioactive products and regenerative edge cases","k12_cluster_6","64.3","50.6","high","no","","https://www.eywa.bio/","reviewed","biosynthesis; green; chemistry; molecule; manufacturing; psychedelic","mental"
"migma","MIGMA","bioactive products and regenerative edge cases","k12_cluster_6","42.2","26.2","high","no","","https://ar.linkedin.com/company/migma-co","reviewed","chemistry; antioxidant; formulations; laboratory; validation","animal; nutrition; cosmetics"
"monte-caldera-technology","Monte Caldera Technology","bioactive products and regenerative edge cases","k12_cluster_6","54","45.1","high","no","","https://montecaldera.com/","reviewed","advanced; physics; molecular; modeling; simulation","energy; chemicals; semiconductors"
"nanogrow_biotech","Nanogrow Biotech","bioactive products and regenerative edge cases","k12_cluster_6","33.6","12.1","high","no","","https://www.nanogrowbiotech.com/","reviewed","single; domain; antibodies; targeted; biologics; advanced","pharmaceutical; therapeutics"
"agrourbana","Agrourbana","biobased chemistry and circular materials","k12_cluster_9","31","14.9","high","no","","https://www.agrourbana.ag/alta-agricultura","reviewed","vertical; farming; controlled; environment; hydroponics; traceability","fresh; retail"
"bioblends","BioBlends","biobased chemistry and circular materials","k12_cluster_9","78.5","74.5","high","no","","https://cancilleria.gob.ar/en/new-technologies/next-form-argentine/bioblends","reviewed","preservatives; microbiology; preservation","fresh"
"calfix","Calfix","biobased chemistry and circular materials","k12_cluster_9","29.9","8.8","medium","no","","https://www.linkedin.com/company/calfix-bio","reviewed","microbiology; chemistry; biomineralization; construction","construction; maintenance"
"cryosmetics","Cryosmetics","biobased chemistry and circular materials","k12_cluster_9","36.8","27.4","high","no","","https://www.cryosmetics.com/piel-microbioma/","reviewed","skincare; skin; microbiome; formulations","personal"
"laurus_ag_tech","Laurus AG Tech","biobased chemistry and circular materials","k12_cluster_9","32.8","16.9","high","no","","https://www.f6s.com/company/laurusagtech","reviewed","distributed; autonomous; farming","fresh; vegetables; urban; supply"
"pink-farms","Pink Farms","biobased chemistry and circular materials","k12_cluster_9","44.3","36.5","high","no","","https://spventures.com.br/portfolio/brain-ag-3/","reviewed","vertical; farming; controlled; environment; hydroponics","fresh; retail"
"tintte","Tintte","biobased chemistry and circular materials","k12_cluster_9","44.9","13.6","high","no","","https://cancilleria.gob.ar/en/new-technologies/next-form-argentine/tintte","reviewed","precisionfermentation; synthetic; microorganisms; bioprocesses; textile; chemistry","textile; manufacturing; fashion"
"unibaio","Unibaio","biobased chemistry and circular materials","k12_cluster_9","63.7","34.7","high","no","","https://sosv.com/company/unibaio/","reviewed","polymers; microparticles; crop; input",""
"arqlite","Arqlite","biobased materials and waste valorization","k12_cluster_11","22.3","6.6","medium","no","","https://curbwaste.com/company-profiles-network/arqlite","reviewed","plastic; waste; recycled; aggregates; circular; carbon","construction; manufacturing; circular"
"bioplaster_research","BioPlaster Research","biobased materials and waste valorization","k12_cluster_11","59.8","50.4","high","no","","https://www.bioplaster-research.com/","reviewed","sargassum; biomass; alginates; cellulose; compostable; films","retail; packaging"
"bioplaster_research_inc","BioPlaster Research Inc","biobased materials and waste valorization","k12_cluster_11","62.8","51.2","high","no","","https://www.bioplaster-research.com/english/about-us","reviewed","biorefinery; biomaterials; engineering; compostable; packaging","packaging; retail; protective"
"circclo","CIRCCLO","biobased materials and waste valorization","k12_cluster_11","26.9","18.2","high","no","","https://circclo.lacompaniadigital.com/","reviewed","waste; recycling; workflows","circular; economy; waste"
"hybridon","Hybridon","biobased materials and waste valorization","k12_cluster_11","18.1","9.6","curated","yes","Source-backed profile is antimicrobial nanotechnology and bioactive materials/surfaces.","https://hybridon.com.ar/","reviewed","nanotechnology; antimicrobial; bioactive; coatings; science","textiles; surface"
"inmet","INMET","biobased materials and waste valorization","k12_cluster_11","40.1","28.5","high","no","","https://inmet.com.ar/en/biomateriales/","reviewed","biopolymer; synthetic; agro; waste; solvent; process","packaging; plastics; biomaterials; circular"
"inner_cosmos","Inner Cosmos","biobased materials and waste valorization","k12_cluster_11","17.9","9.6","medium","no","","https://innercosmos.ai/","reviewed","brain; computer; interface; neurostimulation; embedded; device","mental; neurology; neurotechnology"
"kigui","Kigüi","biobased materials and waste valorization","k12_cluster_11","30.3","25.4","high","no","","https://kigui.io/en/","reviewed","task; prioritization; expiry; tracking; shelf; validation","retail; operations"
"mycorium_biotech","Mycorium Biotech","biobased materials and waste valorization","k12_cluster_11","68.6","60.8","high","no","","https://sf500.com.ar/","reviewed","mycelium; waste; upcycling; biomaterials","fashion"
"nairotech","Nairotech","biobased materials and waste valorization","k12_cluster_11","21.3","10.7","medium","no","","https://www.argentina.gob.ar/noticias/disenan-plasticos-con-propiedades-antimicrobianas","reviewed","special; polymers; composites; nanotechnology; antimicrobial; polyolefins","packaging; surfaces; public"
"patagon-fiber","Patagon Fiber","biobased materials and waste valorization","k12_cluster_11","70.6","43.6","high","no","","https://theganeshalab.com/startup/patagon-fiber/","reviewed","bacterial; pigments; biomaterials; textile; chemistry; circular","textiles; inks"
"polymera","POLYMERA","biobased materials and waste valorization","k12_cluster_11","52.1","37.5","high","no","","https://www.linkedin.com/company/polymera","reviewed","microbial; fermentation; biopolymers; extremophile; biotechnology; green","hygiene; advanced"
"protiva","Protiva","biobased materials and waste valorization","k12_cluster_11","50.5","26.3","high","no","","https://www.protiva.bio/","reviewed","pigments; textile; validation; traceability","textiles; color; chemistry"
"radial","Radial","biobased materials and waste valorization","k12_cluster_11","43","35.2","high","no","","https://www.gridexponential.com/portfolio","reviewed","fungal; mycelium; residue; valorization; biomaterials","biomaterials; packaging; design; impact"
"apexzymes","APEXzymes","biomanufacturing and molecular platforms","k12_cluster_7","59.3","49.5","high","no","","https://apexzymes.com/","reviewed","fungal; engineering; enzymes; bioprocessing; circular; feedstocks","paper; biorefinery; biofuels"
"bioplastix","Bioplastix","biomanufacturing and molecular platforms","k12_cluster_7","51.8","41.6","high","no","","https://bio-plastix.com/","reviewed","synthetic; precisionfermentation; strain; engineering","petrochemicals; agribusiness; consumer; goods"
"break_pet","BreakPET","biomanufacturing and molecular platforms","k12_cluster_7","47.5","41.7","high","no","","https://www.gridexponential.com/portfolio","reviewed","engineered; enzymes; recycling","circular; packaging"
"bybug","ByBug","biomanufacturing and molecular platforms","k12_cluster_7","27.3","11.7","high","no","","https://www.bybug.io/tecnologia/","reviewed","engineered; insects; black; soldier; larvae; recombinant","pharmaceuticals; veterinary; enzymes; bioinputs"
"cellargen_biotech","Cellargen Biotech","biomanufacturing and molecular platforms","k12_cluster_7","29.2","11.9","high","no","","https://www.unl.edu.ar/noticias/news/view/la_fbcb_y_cellargen_biotech_s_r_l_producir%C3%A1n_insumos_biotecnol%C3%B3gicos","reviewed","recombinant; proteins; genetic; engineering; cells; culture","animal; human"
"done_properly","Done Properly","biomanufacturing and molecular platforms","k12_cluster_7","39.4","23.2","high","no","","https://www.doneproperly.co/en/home-en/","reviewed","fermentation; mycoprotein; mycelium; flavor; modulation; umami","ingredients; alternative; proteins; development"
"enzyva","Enzyva","biomanufacturing and molecular platforms","k12_cluster_7","53.4","35.1","high","no","","https://www.enzyvo.com/about","reviewed","enzymes; design; precision; biosensors; programmable","manufacturing; diagnostics; biosensing"
"fungi_life","Fungi Life","biomanufacturing and molecular platforms","k12_cluster_7","45.5","39.3","high","no","","https://www.fungilife.net/","reviewed","fungal; biotechnology; sophorolipids; fermentation; circular; biosurfactants","cleaning; cosmetics; bioremediation"
"ideelab","IdeeLab","biomanufacturing and molecular platforms","k12_cluster_7","37.7","17.8","high","no","","https://ideelab.com.br/","reviewed","microbial; prospecting; bioinput; fermentation; bioreactors; recombinant","biologicals; bioinputs"
"imeve","Imeve","biomanufacturing and molecular platforms","k12_cluster_7","33.1","19.9","high","no","","https://imeve.com.br/en/about-us","reviewed","animal; nutrition; probiotics; veterinary; pharmaceutical; fermentation","animal; livestock; aquaculture"
"keclon","Keclon","biomanufacturing and molecular platforms","k12_cluster_7","46.7","39.9","high","no","","https://keclon.com/","reviewed","precisionfermentation; microorganisms; enzymes; development","feed; biofuels; beauty"
"mavios","Mavios","biomanufacturing and molecular platforms","k12_cluster_7","47.2","38.5","high","no","","https://mavios.ai/","reviewed","digitaltwin; silico; simulation; bioprocess; modeling","precisionfermentation; bioindustrial"
"neocell","Neocell","biomanufacturing and molecular platforms","k12_cluster_7","26.4","10.4","medium","no","","https://neocellbiotech.com/","reviewed","cells; line; development; process; optimization; formulation","biopharma; biologics; manufacturing"
"alytix","Alytix","clinical diagnostics and medical devices","k12_cluster_12","29.4","12.8","high","no","","https://alytixbiotech.com/","reviewed","bacteriophage; discovery; metagenomic; diagnostics; phage; cocktail","animal; human"
"aplife_biotech","Aplife Biotech","clinical diagnostics and medical devices","k12_cluster_12","31.1","14.9","high","no","","https://www.aplifebiotech.com/about","reviewed","bioprinting; assay; miniaturization; combinatorial; library; synthesis","pharma; diagnostics; science"
"arcomed","Arcomed","clinical diagnostics and medical devices","k12_cluster_12","40.7","27.3","high","no","","https://www.arcomed.com/","reviewed","infusion; pumps; digital; integration; hospital; safety","hospitals; critical"
"avatar_medtech","AVaTAR MedTech","clinical diagnostics and medical devices","k12_cluster_12","32.9","22.3","high","no","","https://www.avatarmedtech.co/","reviewed","cardiovascular; medtech; surgical; instruments; autologous; tissue","cardiovascular; surgery; structural; heart; disease"
"biomakers","Biomakers","clinical diagnostics and medical devices","k12_cluster_12","39.1","17.7","high","no","","https://zentynel.com/en/portfolio/","reviewed","genomics; testing; personalized; medicine; companion; diagnostics","precision; medicine; complex; drug; access"
"biotalife","Biotalife","clinical diagnostics and medical devices","k12_cluster_12","26.1","17.4","high","no","","https://www.biotalife.com/","reviewed","human; microbiome; medicaldevices; vaginal; microbiota; women","women; gynecology; microbiome"
"bleps_vision","Bleps Vision","clinical diagnostics and medical devices","k12_cluster_12","69.3","66.9","high","no","","https://blepsvision.com/en/","reviewed","portable; corneal; topography; diagnostics; hardware","optometry"
"caspr_biotech","Caspr Biotech","clinical diagnostics and medical devices","k12_cluster_12","46.7","31.7","high","no","","https://sosv.com/company/caspr-biotech/","reviewed","crispr; diagnostics; molecular; rapid; testing","infectious; disease; molecular; diagnostics"
"chemtest","Chemtest","clinical diagnostics and medical devices","k12_cluster_12","43.2","32.9","high","no","","https://www.chemtest.net/","reviewed","diagnostics; kits; infectious; disease; testing; laboratory","healthcare; labs"
"embryoxite","Embryoxite","clinical diagnostics and medical devices","k12_cluster_12","66.4","63.4","high","no","","https://www.gridexponential.com/portfolio","reviewed","invasive; embryo; diagnostics; reproductive; medtech","fertility; medicine"
"enteria","Enteria","clinical diagnostics and medical devices","k12_cluster_12","32.2","22.6","high","no","","https://www.gridexponential.com/portfolio","reviewed","microbiome; diagnostics; testing","healthcare; diagnostics"
"epiliquid","Epiliquid","clinical diagnostics and medical devices","k12_cluster_12","38.1","24.6","high","no","","https://ar.linkedin.com/company/epiliquid","reviewed","liquid; biopsy; blood; biomarkers; molecular; diagnostics","oncology; diagnostics; screening; laboratories"
"fecundis","Fecundis","clinical diagnostics and medical devices","k12_cluster_12","24.4","15.5","high","no","","https://www.fecundis.com/","reviewed","reproductive; molecular; sperm; enhancement","fertility; clinics; reproductive; medicine"
"gameet","Gameet","clinical diagnostics and medical devices","k12_cluster_12","26.6","19.4","high","no","","https://www.gameet.life/","reviewed","printing; microdevices; reproductive; embryology; assisted; reproduction","fertility; clinics; assisted; reproduction; laboratories"
