startup_id,canonical_name,bio_theme,mscale,mscale_name,mscale_x,mparadigm,confidence,data_source,mscale_scores,top_keywords,one_liner
apasomics,Apasomics,Therapeutics,5,Campo/Sistema,7.2,1.0,medium,primary,"{1: 2, 2: 0, 3: 4, 4: 2, 5: 5, 6: 0}",farm,Bone-targeted drug delivery startup.
aplife_biotech,Aplife Biotech,Diagnostics & Health Access,1,Molecular,-12.0,2.5,medium,primary,"{1: 8, 2: 0, 3: 4, 4: 0, 5: 2, 6: 0}",drug discovery; aptamer,High-throughput discovery and aptamer platform for life sciences.
aptah,Aptah,Therapeutics,1,Molecular,-12.0,2.0,high,primary,"{1: 3, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}", rna ,
aptah-bio-br,Aptah Bio,Therapeutics,1,Molecular,-12.0,2.0,high,primary,"{1: 6, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}", rna ; mrna,
aquit,Aquit,Bioinputs & Crop Resilience,3,Organismo,-2.4,3.0,medium,primary,"{1: 2, 2: 0, 3: 5, 4: 0, 5: 4, 6: 0}",animal health,Fish immunity biotech for sustainable aquaculture.
arado,Arado,Nature & Ecosystem Tech,6,Paisaje/Planeta,12.0,3.0,medium,primary,"{1: 0, 2: 2, 3: 0, 4: 0, 5: 3, 6: 4}",,Fresh food marketplace connecting producers and buyers.
arakion,Arakion,Bioinputs & Crop Resilience,5,Campo/Sistema,7.2,2.0,medium,primary,"{1: 2, 2: 0, 3: 0, 4: 0, 5: 4, 6: 0}",,Arachnid-venom bioinsecticide platform.
aravan_labs,Aravan Labs,Biomanufacturing & Fermentation Economy,3,Organismo,-2.4,1.0,low,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",,
arcomed,Arcomed,Diagnostics & Health Access,3,Organismo,-2.4,2.0,high,primary,"{1: 0, 2: 0, 3: 7, 4: 0, 5: 0, 6: 0}",hospital,Advanced infusion systems and hospital medtech.
ardan,Ardan,Therapeutics,3,Organismo,-2.4,2.0,high,primary,"{1: 3, 2: 0, 3: 10, 4: 0, 5: 0, 6: 0}",therapeutic ; oncology,Targeted cancer immunotherapy platform.
argentag,ArgenTAG,Diagnostics & Health Access,1,Molecular,-12.0,2.33,high,primary,"{1: 16, 2: 2, 3: 6, 4: 2, 5: 0, 6: 3}", rna ; genomic; sequencing kit; transcriptom,Single-cell long-read sequencing kit and workflow.
arqlite,Arqlite,Biomaterials & Circular Economy,6,Paisaje/Planeta,12.0,1.0,medium,primary,"{1: 2, 2: 4, 3: 0, 4: 2, 5: 0, 6: 5}",planetary,Circular materials company converting hard-to-recycle plastic into construction aggregates.
asclepii,Asclepii,Therapeutics,3,Organismo,-2.4,1.44,medium,primary,"{1: 4, 2: 0, 3: 7, 4: 2, 5: 0, 6: 2}",wound care,Regenerative wound-care matrix and nanosilver hydrogel platform.
atacama-biomaterials-cl,Atacama Biomaterials,Biomaterials & Circular Economy,3,Organismo,-2.4,2.0,low,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",,
atarraya-mx,Atarraya,Food Systems & Alt Proteins,5,Campo/Sistema,7.2,2.0,medium,primary,"{1: 3, 2: 0, 3: 0, 4: 0, 5: 6, 6: 0}",farm; farming,
auravant,Auravant,Farm Intelligence,5,Campo/Sistema,7.2,3.0,high,primary,"{1: 0, 2: 2, 3: 0, 4: 0, 5: 12, 6: 5}",field; precision agriculture; agronomic,Precision agriculture and agronomic decision platform.
autem-medical,Autem Medical,Diagnostics & Health Access,3,Organismo,-2.4,2.0,high,primary,"{1: 2, 2: 2, 3: 15, 4: 0, 5: 0, 6: 0}",patient; therapeutic ; oncology,Non-invasive electromagnetic oncology treatment platform.
autem-therapeutics-br,Autem Therapeutics,Therapeutics,3,Organismo,-2.4,2.0,low,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",,
ayuvant,Ayuvant,Therapeutics,1,Molecular,-12.0,1.67,medium,primary,"{1: 8, 2: 0, 3: 7, 4: 0, 5: 0, 6: 0}", rna ; nanoparticle,Biotech terapeutica basada en RNA nanoparticle immunotherapy.
beam_croptech,BEAM CropTech,Bioinputs & Crop Resilience,1,Molecular,-12.0,1.0,low,primary,"{1: 4, 2: 0, 3: 0, 4: 0, 5: 4, 6: 2}",,Crop trait biotech based on plant photobiology.
bioin-br,BIoIn,Bioinputs & Crop Resilience,5,Campo/Sistema,7.2,2.25,high,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 5, 6: 0}",pest management,Combines Trichogramma pretiosum biocontrol cards with the SaveIn digital platform to predict and suppress crop pest infe
bug_agentes_biologicos,BUG Agentes Biologicos,Bioinputs & Crop Resilience,5,Campo/Sistema,7.2,1.0,high,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 7, 6: 0}",soybean,Macrobial biological control company.
baxxis-medtech-cl,Baxxis Medtech,Diagnostics & Health Access,6,Paisaje/Planeta,12.0,3.0,medium,primary,"{1: 0, 2: 0, 3: 2, 4: 0, 5: 2, 6: 3}",biome,Develops an intelligent knee prosthesis for ACL replacement with embedded sensors for real-time postoperative biomechani
beeflow,Beeflow,Farm Intelligence,5,Campo/Sistema,7.2,2.0,medium,primary,"{1: 0, 2: 0, 3: 2, 4: 2, 5: 4, 6: 2}",,Pollination science and bee-biotechnology company for agriculture.
bemagro,BemAgro,Nature & Ecosystem Tech,5,Campo/Sistema,7.2,3.0,high,primary,"{1: 0, 2: 2, 3: 0, 4: 0, 5: 12, 6: 5}",field; crop management; harvest,AI and drone-imagery SaaS for high-resolution crop intelligence.
bentenbiotech,BentenBiotech,Therapeutics,1,Molecular,-12.0,2.0,high,primary,"{1: 3, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",antibod,
bialtec,Bialtec,Bioinputs & Crop Resilience,3,Organismo,-2.4,2.0,medium,primary,"{1: 0, 2: 3, 3: 6, 4: 0, 5: 0, 6: 3}",livestock health; animal nutrition,
bio_bureau_biotechnology,Bio Bureau Biotechnology,Biomanufacturing & Fermentation Economy,2,Celular,-7.2,2.0,high,primary,"{1: 0, 2: 3, 3: 0, 4: 0, 5: 0, 6: 0}",industrial biotechnology,
bio-insumos-nativa-cl,Bio Insumos Nativa,Bioinputs & Crop Resilience,5,Campo/Sistema,7.2,1.0,medium,primary,"{1: 0, 2: 3, 3: 0, 4: 0, 5: 6, 6: 0}",farm; farmer,
bioblends,BioBlends,Food Systems & Alt Proteins,4,Lote/Producto,2.4,2.0,high,primary,"{1: 0, 2: 0, 3: 0, 4: 5, 5: 0, 6: 0}",novel ingredient,Food preservation biotech for clean-label shelf-life extension.
biobreyer,BioBreyer,Biomanufacturing & Fermentation Economy,2,Celular,-7.2,2.0,high,primary,"{1: 0, 2: 9, 3: 0, 4: 0, 5: 3, 6: 0}",fermentation; bioprocess; ferment,
biocle,BioCl,Therapeutics,3,Organismo,-2.4,1.67,medium,primary,"{1: 0, 2: 2, 3: 4, 4: 0, 5: 0, 6: 0}",,Bacterial vesicles for digestive health delivery.
bioelements-cl,BioElements,Biomaterials & Circular Economy,3,Organismo,-2.4,2.0,low,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",,
biofab,BioFab,Therapeutics,3,Organismo,-2.4,2.0,low,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",,
biometallum,BioMetallum,Biomaterials & Circular Economy,6,Paisaje/Planeta,12.0,1.67,medium,primary,"{1: 4, 2: 7, 3: 0, 4: 0, 5: 0, 6: 10}",planetary; biome,Biomining and direct lithium extraction company.
bioplaster_research,BioPlaster Research,Biomaterials & Circular Economy,4,Lote/Producto,2.4,1.0,high,primary,"{1: 0, 2: 0, 3: 0, 4: 2, 5: 0, 6: 0}",,Sargassum-based biodegradable packaging materials.
bioplaster_research_inc,BioPlaster Research Inc,Biomaterials & Circular Economy,4,Lote/Producto,2.4,1.0,high,primary,"{1: 0, 2: 0, 3: 0, 4: 2, 5: 0, 6: 0}",,Seaweed biomaterials and compostable packaging company.
biosynaptica,BioSynaptica,Therapeutics,3,Organismo,-2.4,2.0,high,primary,"{1: 0, 2: 0, 3: 7, 4: 0, 5: 0, 6: 2}",therapeutic ,Biopharmaceutical platform for neurodegenerative diseases.
biocentis-br,Biocentis,Bioinputs & Crop Resilience,5,Campo/Sistema,7.2,2.0,high,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 3, 6: 0}",field,
bioceres_sa,Bioceres S.A.,Bioinputs & Crop Resilience,5,Campo/Sistema,7.2,1.0,high,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 6, 6: 0}",farm; farmer,
biodiversity_intelligence,Biodiversity Intelligence,Nature & Ecosystem Tech,6,Paisaje/Planeta,12.0,3.0,high,primary,"{1: 3, 2: 2, 3: 0, 4: 0, 5: 0, 6: 18}",ecosystem; biodiversity; planetary; conservation,Nature measurement and biodiversity reporting platform.
bioeutectics,Bioeutectics,Biomaterials & Circular Economy,4,Lote/Producto,2.4,1.5,medium,primary,"{1: 2, 2: 2, 3: 2, 4: 4, 5: 0, 6: 0}",,Natural deep eutectic solvent systems for petrochemical replacement.
biofabrica-siglo-xxi-mx,Biofabrica Siglo XXI,Bioinputs & Crop Resilience,2,Celular,-7.2,1.57,medium,primary,"{1: 0, 2: 5, 3: 0, 4: 0, 5: 4, 6: 0}",microorganism,Develops microbial biofertilizers and bioinputs using beneficial microorganisms as sustainable alternatives to chemical 
bioheuris,Bioheuris,Bioinputs & Crop Resilience,1,Molecular,-12.0,1.0,low,primary,"{1: 4, 2: 0, 3: 0, 4: 0, 5: 4, 6: 0}",,Crop trait biotech for resilient agriculture.
biolinker,Biolinker Synthetic Biology,Biomanufacturing & Fermentation Economy,1,Molecular,-12.0,1.57,high,primary,"{1: 19, 2: 4, 3: 2, 4: 2, 5: 3, 6: 0}",protein ; mrna; gene ; recombinant protein; cell-free,Cell-free protein expression and synthetic-biology platform.
biomakers,Biomakers,Diagnostics & Health Access,3,Organismo,-2.4,2.0,high,primary,"{1: 3, 2: 0, 3: 9, 4: 0, 5: 0, 6: 0}",therapeutic ,Genomic precision-treatment platform.
biomas,Biomas,Nature & Ecosystem Tech,6,Paisaje/Planeta,12.0,2.0,high,primary,"{1: 0, 2: 2, 3: 0, 4: 0, 5: 0, 6: 12}",ecosystem; biodiversity,Large-scale ecological restoration business.
biomimetic_solutions,Biomimetic Solutions,Therapeutics,3,Organismo,-2.4,2.0,high,primary,"{1: 0, 2: 0, 3: 3, 4: 0, 5: 0, 6: 0}",wound care,
bioplastix,Bioplastix,Biomaterials & Circular Economy,2,Celular,-7.2,1.0,high,primary,"{1: 4, 2: 13, 3: 0, 4: 2, 5: 3, 6: 2}",fermentation; precision fermentation; ferment,Bioplastics production technology company.
biorgani,Biorgani,Biomaterials & Circular Economy,4,Lote/Producto,2.4,2.0,high,primary,"{1: 0, 2: 0, 3: 0, 4: 3, 5: 0, 6: 0}",plant-based,
bioseek,Bioseek,Therapeutics,3,Organismo,-2.4,2.2,high,primary,"{1: 0, 2: 0, 3: 2, 4: 0, 5: 0, 6: 0}",,Semantic search engine for life sciences.
biosens,Biosens,Diagnostics & Health Access,3,Organismo,-2.4,2.0,low,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",,
biosidus-ar,Biosidus,Therapeutics,1,Molecular,-12.0,1.0,high,primary,"{1: 9, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",antibod; monoclonal; biosimilar,
biosolvit,Biosolvit,Nature & Ecosystem Tech,3,Organismo,-2.4,2.0,low,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",,
biotalife,Biotalife,Diagnostics & Health Access,3,Organismo,-2.4,2.0,medium,primary,"{1: 2, 2: 4, 3: 9, 4: 2, 5: 5, 6: 8}",medical device,Microbiome medical devices for vaginal health.
biotecnofe,Biotecnofe,Therapeutics,1,Molecular,-12.0,2.0,low,primary,"{1: 3, 2: 0, 3: 3, 4: 0, 5: 0, 6: 0}",cell-free,
biotic,Biotic,Nature & Ecosystem Tech,6,Paisaje/Planeta,12.0,2.0,high,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 3}",environmental monitoring,
biotimize,Biotimize,Biomanufacturing & Fermentation Economy,2,Celular,-7.2,2.0,high,primary,"{1: 0, 2: 6, 3: 0, 4: 0, 5: 0, 6: 0}",bioprocess; yeast,
biotrop-br,Biotrop,Bioinputs & Crop Resilience,5,Campo/Sistema,7.2,1.0,high,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 9, 6: 0}",farm; farmer; soybean,
bitgenia,Bitgenia,Therapeutics,1,Molecular,-12.0,2.43,high,primary,"{1: 10, 2: 0, 3: 4, 4: 0, 5: 0, 6: 0}",gene ; genomic,Genomics and bioinformatics platform.
bitmec,Bitmec,Diagnostics & Health Access,3,Organismo,-2.4,2.0,high,primary,"{1: 0, 2: 0, 3: 3, 4: 0, 5: 0, 6: 0}",healthcare,
bleps_vision,Bleps Vision,Diagnostics & Health Access,3,Organismo,-2.4,3.0,medium,primary,"{1: 0, 2: 0, 3: 4, 4: 2, 5: 0, 6: 0}",,Dispositivo portatil de salud visual para diagnostico corneal.
blooms,Blooms,Nature & Ecosystem Tech,5,Campo/Sistema,7.2,3.0,medium,primary,"{1: 0, 2: 2, 3: 0, 4: 0, 5: 3, 6: 2}",,Agricultural exporter finance platform.
botanical-solution-inc-cl,Botanical Solution Inc,Bioinputs & Crop Resilience,2,Celular,-7.2,2.0,high,primary,"{1: 0, 2: 2, 3: 0, 4: 0, 5: 0, 6: 0}",,Cultivates Quillaja saponaria trees via plant tissue culture as biofactories for biofungicide and vaccine adjuvant QS-21
botanical-solutions,Botanical Solutions,Bioinputs & Crop Resilience,5,Campo/Sistema,7.2,1.5,medium,primary,"{1: 2, 2: 7, 3: 2, 4: 2, 5: 8, 6: 0}",field,Botanical active ingredients from plant tissue culture.
brain_ag,Brain.ag,Farm Intelligence,5,Campo/Sistema,7.2,3.0,high,primary,"{1: 0, 2: 2, 3: 0, 4: 0, 5: 9, 6: 4}",agribusiness; rural credit,Big-data platform for agribusiness credit and socioenvironmental analysis.
brain4care-br,Brain4care,Diagnostics & Health Access,3,Organismo,-2.4,2.0,high,primary,"{1: 0, 2: 0, 3: 3, 4: 0, 5: 0, 6: 0}",hospital,
branch_energy,Branch Energy,Nature & Ecosystem Tech,3,Organismo,-2.4,3.0,low,primary,"{1: 0, 2: 2, 3: 5, 4: 2, 5: 0, 6: 5}",medical device,On-site batteries and clean-energy management platform.
break_pet,BreakPET,Biomaterials & Circular Economy,1,Molecular,-12.0,2.0,high,primary,"{1: 5, 2: 2, 3: 0, 4: 2, 5: 2, 6: 0}",enzymatic,Enzymatic PET recycling platform.
brtc,Brtc,Biomaterials & Circular Economy,3,Organismo,-2.4,2.0,high,primary,"{1: 0, 2: 0, 3: 6, 4: 0, 5: 0, 6: 0}",healthcare; hospital,
bruna-by-altum-lab-cl,Bruna by Altum Lab,Food Systems & Alt Proteins,5,Campo/Sistema,7.2,2.0,high,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 6, 6: 0}",farm; farm management,
bsafe_biotech,Bsafe Biotech,Bioinputs & Crop Resilience,5,Campo/Sistema,7.2,1.0,medium,primary,"{1: 2, 2: 5, 3: 0, 4: 0, 5: 9, 6: 0}",pest management,Biological control company for agriculture.
by_my_cell,By My Cell,Biomanufacturing & Fermentation Economy,1,Molecular,-12.0,2.0,low,primary,"{1: 3, 2: 0, 3: 3, 4: 0, 5: 0, 6: 0}",genomic,
bybug,ByBug,Biomanufacturing & Fermentation Economy,1,Molecular,-12.0,1.31,medium,primary,"{1: 10, 2: 7, 3: 5, 4: 0, 5: 8, 6: 2}",enzyme ; recombinant protein,Engineered insect bioreactors for recombinant proteins and bioinputs.
circclo,CIRCCLO,Biomaterials & Circular Economy,6,Paisaje/Planeta,12.0,2.33,high,primary,"{1: 0, 2: 2, 3: 0, 4: 2, 5: 0, 6: 5}",planetary,Reusable-packaging circularity platform.
calfix,Calfix,Biomaterials & Circular Economy,1,Molecular,-12.0,1.57,low,primary,"{1: 2, 2: 2, 3: 0, 4: 2, 5: 0, 6: 2}",,Biotech concrete crack repair platform.
calice,Calice,Farm Intelligence,5,Campo/Sistema,7.2,3.0,high,primary,"{1: 2, 2: 2, 3: 0, 4: 2, 5: 12, 6: 0}",field; agronomic; agtech,Virtual agronomic trials and product-placement intelligence for ag inputs.
calice-ai-ar,Calice AI,Farm Intelligence,5,Campo/Sistema,7.2,3.0,high,primary,"{1: 2, 2: 0, 3: 0, 4: 0, 5: 6, 6: 0}",field; crop yield,Virtual field trials platform that simulates millions of crop product performance scenarios using G×E×M modeling.
calice_biotech,Calice Biotech,Bioinputs & Crop Resilience,1,Molecular,-12.0,2.0,high,primary,"{1: 3, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",gene ,
caligenia,Caligenia,Bioinputs & Crop Resilience,2,Celular,-7.2,2.0,medium,primary,"{1: 2, 2: 7, 3: 0, 4: 2, 5: 5, 6: 4}",microorganism,BACTERCHAR soil-regeneration and carbon-storage amendment.
carbonext,Carbonext,Nature & Ecosystem Tech,6,Paisaje/Planeta,12.0,3.0,high,primary,"{1: 0, 2: 2, 3: 0, 4: 0, 5: 0, 6: 15}",conservation; nature-based; biome,Nature-based carbon and forest conservation platform.
carigenetics,Carigenetics,Diagnostics & Health Access,1,Molecular,-12.0,2.0,high,primary,"{1: 3, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",genomic,
caspr_biotech,Caspr Biotech,Diagnostics & Health Access,1,Molecular,-12.0,3.0,medium,primary,"{1: 8, 2: 0, 3: 4, 4: 0, 5: 0, 6: 0}",crispr; molecular diagnostic,CRISPR diagnostics company.
caspr_biotech_acq_by_amazon,Caspr Biotech (acq. by Amazon),Diagnostics & Health Access,3,Organismo,-2.4,2.0,low,primary,"{1: 0, 2: 0, 3: 3, 4: 0, 5: 0, 6: 3}",point-of-care,
celer_biotecnologia,Celer Biotecnologia,Diagnostics & Health Access,1,Molecular,-12.0,2.0,high,primary,"{1: 3, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",reagent,
cell_farm,Cell Farm,Food Systems & Alt Proteins,1,Molecular,-12.0,3.0,medium,primary,"{1: 5, 2: 2, 3: 0, 4: 2, 5: 3, 6: 4}",protein ,Cultivated meat production infrastructure.
cellco,CellCo,Therapeutics,1,Molecular,-12.0,2.0,medium,primary,"{1: 6, 2: 0, 3: 4, 4: 0, 5: 0, 6: 0}",,AI-enabled synthetic biology therapeutics company.
cellrep,CellRep,Therapeutics,1,Molecular,-12.0,2.0,medium,primary,"{1: 8, 2: 0, 3: 4, 4: 0, 5: 0, 6: 0}",gene ; small molecule,Cell rejuvenation biotech.
cellargen_biotech,Cellargen Biotech,Biomanufacturing & Fermentation Economy,3,Organismo,-2.4,1.5,high,primary,"{1: 4, 2: 4, 3: 12, 4: 0, 5: 0, 6: 0}",animal health; therapeutic ,Recombinant biotherapeutics and vaccine company.
cellertz-bio-br,Cellertz Bio,Therapeutics,1,Molecular,-12.0,3.0,low,primary,"{1: 3, 2: 3, 3: 0, 4: 0, 5: 0, 6: 0}",gene ,
cells-for-cells-cl,Cells for Cells,Therapeutics,3,Organismo,-2.4,2.0,low,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",,
cellter-cl,Cellter,Diagnostics & Health Access,1,Molecular,-12.0,2.0,high,primary,"{1: 3, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",drug design,
celluris,Celluris,Therapeutics,1,Molecular,-12.0,2.0,high,primary,"{1: 3, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",receptor,
cellva,Cellva,Food Systems & Alt Proteins,4,Lote/Producto,2.4,2.0,high,primary,"{1: 0, 2: 0, 3: 0, 4: 11, 5: 2, 6: 2}",food ingredient; food ingredient; novel ingredient,Microencapsulated functional ingredients for food and beverage.
