"startup_name","country_hq","layer","ring","primary_category","one_line_thesis","bio_centrality_score","evidence_level","confidence_score","known_investors_or_source","source_url","include_in_core_map"
"Aegro","Brazil","Enabling infrastructure","Ring 3 — bioeconomy infrastructure","Farm management software","Farm management software supporting operational efficiency.","0","B","0.62","SP Ventures","https://spventures.com.br/portfolio/","yes"
"Arado","Brazil","Enabling infrastructure","Ring 3 — bioeconomy infrastructure","Food supply chain / fresh produce","Digital supply-chain platform for fresh produce.","0","B","0.62","SP Ventures","https://spventures.com.br/portfolio/","yes"
"Nexxto","Brazil","Enabling infrastructure","Ring 3 — bioeconomy infrastructure","Cold chain / food logistics","Supply-chain monitoring platform relevant to food loss and cold-chain efficiency.","0","B","0.62","SP Ventures","https://spventures.com.br/portfolio/","yes"
"goFlux","Brazil","Enabling infrastructure","Ring 3 — bioeconomy infrastructure","Ag logistics","Freight/logistics platform for agricultural supply chains.","0","B","0.62","SP Ventures","https://spventures.com.br/portfolio/","yes"
"Traive","Brazil","Enabling infrastructure","Ring 3 — bioeconomy infrastructure","Agrifintech / risk analytics","Credit/risk analytics for agricultural finance.","0","B","0.62","SP Ventures","https://spventures.com.br/portfolio/","yes"
"Nilus","Argentina / LatAm","Bio-centric / regenerative","Ring 3 — bioeconomy infrastructure","Food access / food surplus","Food redistribution/logistics platform with potential food waste and access relevance.","0","B","0.6","Newtopia","https://newtopia.vc/portfolio/","yes"
"Imeve","Brazil","Core bio-based","Ring 2 — bio-material/regenerative","Animal health / biotech","Animal health biotechnology in SP Ventures portfolio.","2","B","0.6","SP Ventures","https://spventures.com.br/portfolio/","yes"
"Brain.ag","Brazil","Enabling infrastructure","Ring 3 — bioeconomy infrastructure","AI agriculture","AI layer for agricultural decision-making.","0","B","0.6","SP Ventures","https://spventures.com.br/portfolio/","yes"
"Erural","Brazil","Enabling infrastructure","Ring 3 — bioeconomy infrastructure","Livestock marketplace","Digital livestock/ag marketplace.","0","B","0.55","SP Ventures","https://spventures.com.br/portfolio/","yes"
"Bug","Brazil","Core bio-based","Ring 1 — life-based core","Biological control / insects","SP Ventures exit; likely biological pest-control/insect-related platform.","3","C","0.58","SP Ventures","https://spventures.com.br/portfolio/","yes"
"Sustenta Honduras","Honduras","Bio-centric / regenerative","Ring 2 — bio-material/regenerative","Circular economy / waste oils","Circular project turning animal fats and used cooking oils into eco-friendly soap.","1","B","0.68","Youth4Climate / Guardian","https://www.theguardian.com/global-development/2024/jan/30/low-carbon-milk-to-ai-irrigation-tech-startups-powering-latin-americas-green-revolution","watchlist"
"Manzana Verde","Peru","Bio-centric / regenerative","Ring 4 — adjacent/watchlist","Foodtech / nutrition","Meal-plan app in Salkantay portfolio; food-system relevance but not clearly bio-based.","0","B","0.48","Salkantay Ventures","https://www.salkantay.vc/","watchlist"
"Agrosingularity","Spain / LatAm-connected","Bio-centric / regenerative","Ring 2 — bio-material/regenerative","Upcycled ingredients / food waste","Upcycling food residues into food ingredients; cited in GLOCAL context.","1","C","0.52","GLOCAL","https://www.glocalmanagers.com/pt/startups-2/","watchlist"
"Agroadvance","Brazil","Enabling infrastructure","Ring 3 — bioeconomy infrastructure","Agtech / climate-smart agriculture","SP Ventures portfolio company in agfood/climate-tech; specific mechanism requires validation.","0","C","0.52","SP Ventures","https://spventures.com.br/portfolio/","watchlist"
"Lupeon","Brazil","Enabling infrastructure","Ring 3 — bioeconomy infrastructure","Agfood efficiency / supply chain","SP Ventures portfolio company; category and impact mechanism need validation.","0","C","0.5","SP Ventures","https://spventures.com.br/portfolio/","watchlist"
"Mercai","Mexico / LatAm","Enabling infrastructure","Ring 3 — bioeconomy infrastructure","Food supply chain","Food/commerce infrastructure in Newtopia portfolio; potential small food supply-chain relevance.","0","C","0.5","Newtopia","https://newtopia.vc/portfolio/","watchlist"
"Frizata","Argentina","Bio-centric / regenerative","Ring 4 — adjacent/watchlist","Foodtech / alternative foods","Frozen food/foodtech company; planetary relevance depends on product mix.","0","C","0.5","SP Ventures","https://spventures.com.br/portfolio/","watchlist"
"Sette","Brazil","Enabling infrastructure","Ring 4 — adjacent/watchlist","Agfood supply chain","SP Ventures portfolio company; bio/planetary relevance not yet validated.","0","C","0.45","SP Ventures","https://spventures.com.br/portfolio/","watchlist"
"SpecLab","Brazil","Enabling infrastructure","Ring 4 — adjacent/watchlist","Ag analytics / spectroscopy","SP Ventures portfolio company; relevance unclear.","0","C","0.45","SP Ventures","https://spventures.com.br/portfolio/","watchlist"
