"startup_id","startup_name","scope_decision","scope_status","macro_theme","emergent_theme","review_status","data_quality_score_10","quality_band","source_url","source_type","missing_signals","startup_summary_v1","business_one_liner","thesis_scope_note"
"barte","Barte","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","6","fragile","","taxonomy_stub","missing_country; thin_graph_context","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
"blerify","Blerify","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.5","medium","","taxonomy_stub","","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
"branch_energy","Branch Energy","include","provisional","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","8","medium","","taxonomy_stub","needs_current_trl_research; thin_graph_context","industrial biotech and biological tools para industrial biotech and research markets. Entra en tesis por biomanufacturing and bioindustrial platforms.","industrial biotech and biological tools para industrial biotech and research markets.","Entra en tesis por biomanufacturing and bioindustrial platforms."
"calfix","Calfix","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7","medium","","taxonomy_stub","thin_graph_context","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
"capim","Capim","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7","medium","","taxonomy_stub","thin_graph_context","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
"cargo_sapiens","Cargo Sapiens","include","provisional","climate, energy and resource systems","climate and resource intelligence platforms","taxonomy_stub","8","medium","","taxonomy_stub","needs_current_trl_research; thin_graph_context","climate and resource intelligence para energy, water, carbon and infrastructure systems. Entra en tesis por climate, energy and resource systems.","climate and resource intelligence para energy, water, carbon and infrastructure systems.","Entra en tesis por climate, energy and resource systems."
"cell_farm","Cell Farm","include","provisional","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","8.5","high","","taxonomy_stub","needs_current_trl_research","foodtech ingredients; alternative proteins para food and beverage. Entra en tesis por food biotech and novel ingredients.","foodtech ingredients; alternative proteins para food and beverage.","Entra en tesis por food biotech and novel ingredients."
"centralo","Centralo","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7","medium","","taxonomy_stub","thin_graph_context","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
"chemtest","Chemtest","include","provisional","biobased chemistry and advanced materials","biobased chemistry and materials","taxonomy_stub","8","medium","","taxonomy_stub","needs_current_trl_research; thin_graph_context","green chemistry; biomaterials; bioindustry para chemicals, materials, cosmetics and ag. Entra en tesis por biobased chemistry and advanced materials.","green chemistry; biomaterials; bioindustry para chemicals, materials, cosmetics and ag.","Entra en tesis por biobased chemistry and advanced materials."
"circa_therapeutics","Circa Therapeutics","include","provisional","therapeutics and regenerative medicine","therapeutic and regenerative biology","taxonomy_stub","8","medium","","taxonomy_stub","needs_current_trl_research; thin_graph_context","therapeutic biotech and regenerative medicine para biotech and healthcare. Entra en tesis por therapeutics and regenerative medicine.","therapeutic biotech and regenerative medicine para biotech and healthcare.","Entra en tesis por therapeutics and regenerative medicine."
"circclo","CIRCCLO","include","provisional","climate, energy and resource systems","circular material systems","seeded","8","medium","","portfolio_or_official_override","needs_current_trl_research","reusable packaging and circular economy infrastructure para consumer goods, food service and packaging. Entra en tesis por climate, energy and resource systems.","reusable packaging and circular economy infrastructure para consumer goods, food service and packaging.","Entra en tesis por climate, energy and resource systems."
"circular","Circular","include","provisional","climate, energy and resource systems","climate and resource intelligence platforms","taxonomy_stub","8","medium","","taxonomy_stub","needs_current_trl_research; thin_graph_context","climate and resource intelligence para energy, water, carbon and infrastructure systems. Entra en tesis por climate, energy and resource systems.","climate and resource intelligence para energy, water, carbon and infrastructure systems.","Entra en tesis por climate, energy and resource systems."
"clover","Clover","include","provisional","climate, energy and resource systems","climate and resource intelligence platforms","taxonomy_stub","8","medium","","taxonomy_stub","needs_current_trl_research; thin_graph_context","climate and resource intelligence para energy, water, carbon and infrastructure systems. Entra en tesis por climate, energy and resource systems.","climate and resource intelligence para energy, water, carbon and infrastructure systems.","Entra en tesis por climate, energy and resource systems."
"cobli","Cobli","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","6","fragile","","taxonomy_stub","missing_country; thin_graph_context","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
"conciencia","Conciencia","include","provisional","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","8","medium","","taxonomy_stub","needs_current_trl_research; thin_graph_context","industrial biotech and biological tools para industrial biotech and research markets. Entra en tesis por biomanufacturing and bioindustrial platforms.","industrial biotech and biological tools para industrial biotech and research markets.","Entra en tesis por biomanufacturing and bioindustrial platforms."
"courageous_land","Courageous Land","include","provisional","climate, energy and resource systems","regenerative agroforestry and carbon systems","seeded","8","medium","","portfolio_or_official_override","needs_current_trl_research","regenerative agroforestry and carbon infrastructure para agriculture, carbon and ecosystem restoration. Entra en tesis por climate, energy and resource systems.","regenerative agroforestry and carbon infrastructure para agriculture, carbon and ecosystem restoration.","Entra en tesis por climate, energy and resource systems."
"crinsurance","CRInsurance","include","provisional","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","8","medium","","taxonomy_stub","needs_current_trl_research; thin_graph_context","health diagnostics and medtech para healthcare providers and labs. Entra en tesis por diagnostics and medtech.","health diagnostics and medtech para healthcare providers and labs.","Entra en tesis por diagnostics and medtech."
"curseduca","Curseduca","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7","medium","","taxonomy_stub","thin_graph_context","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
"cytbac","Cytbac","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7","medium","","taxonomy_stub","thin_graph_context","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
"dymaxion_labs","Dymaxion Labs","include","provisional","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","8","medium","","taxonomy_stub","needs_current_trl_research; thin_graph_context","foodtech ingredients; alternative proteins para food and beverage. Entra en tesis por food biotech and novel ingredients.","foodtech ingredients; alternative proteins para food and beverage.","Entra en tesis por food biotech and novel ingredients."
"egg","Egg","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7","medium","","taxonomy_stub","thin_graph_context","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
"endless","Endless","include","provisional","climate, energy and resource systems","climate and resource intelligence platforms","taxonomy_stub","8","medium","","taxonomy_stub","needs_current_trl_research; thin_graph_context","climate and resource intelligence para energy, water, carbon and infrastructure systems. Entra en tesis por climate, energy and resource systems.","climate and resource intelligence para energy, water, carbon and infrastructure systems.","Entra en tesis por climate, energy and resource systems."
"eolo_pharma","Eolo Pharma","include","provisional","computational biology and scientific software","computational biology and life-science software","taxonomy_stub","8","medium","","taxonomy_stub","needs_current_trl_research; thin_graph_context","computational biology and life-science software para biotech, pharma and research labs. Entra en tesis por computational biology and scientific software.","computational biology and life-science software para biotech, pharma and research labs.","Entra en tesis por computational biology and scientific software."
"ergo_bioscience","Ergo Bioscience","include","provisional","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","8","medium","","taxonomy_stub","needs_current_trl_research; thin_graph_context","foodtech ingredients; alternative proteins para food and beverage. Entra en tesis por food biotech and novel ingredients.","foodtech ingredients; alternative proteins para food and beverage.","Entra en tesis por food biotech and novel ingredients."
"ethos","Ethos","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7","medium","","taxonomy_stub","thin_graph_context","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
"eureka","Eureka","exclude","provisional","peripheral or underclassified ventures","unclassified / needs review resolved","seeded","8","medium","","portfolio_or_official_override","country_unconfirmed","insufficiently documented venture para unknown. Queda afuera por insufficient_public_evidence_and_no_defensible_materiality_signal.","insufficiently documented venture para unknown.","Queda afuera por insufficient_public_evidence_and_no_defensible_materiality_signal."
"exactly","Exactly","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7","medium","","taxonomy_stub","thin_graph_context","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
"facturama","Facturama","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7","medium","","taxonomy_stub","thin_graph_context","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
"falcomm","Falcomm","exclude","provisional","frontier hardware and infrastructure systems","semiconductor efficiency systems","seeded","8","medium","","portfolio_or_official_override","country_unconfirmed","ultra efficient RF semiconductor components para telecom, satellite and defense. Queda afuera por non_bio_non_biocentric_hardware_outside_thesis.","ultra efficient RF semiconductor components para telecom, satellite and defense.","Queda afuera por non_bio_non_biocentric_hardware_outside_thesis."
"flexza","Flexza","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","seeded","8","medium","","portfolio_or_official_override","country_unconfirmed","health benefits and compensation software para corporate health benefits. Queda afuera por health_fintech_not_thesis_core_bio_or_medtech.","health benefits and compensation software para corporate health benefits.","Queda afuera por health_fintech_not_thesis_core_bio_or_medtech."
"fligoo","Fligoo","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","seeded","8","medium","","portfolio_or_official_override","country_unconfirmed","AI decision and analytics software para financial services, retail and telecom. Queda afuera por full_digital_no_materiality_signal.","AI decision and analytics software para financial services, retail and telecom.","Queda afuera por full_digital_no_materiality_signal."
"frete_com","Frete Com","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","seeded","8","medium","","portfolio_or_official_override","country_unconfirmed","digital freight and logistics platform para logistics and commerce. Queda afuera por logistics_software_without_thesis_core_materiality_signal.","digital freight and logistics platform para logistics and commerce.","Queda afuera por logistics_software_without_thesis_core_materiality_signal."
"frubana","Frubana","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7","medium","","taxonomy_stub","thin_graph_context","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
"galtec","Galtec Life","include","provisional","computational biology and scientific software","computational biology and life-science software","taxonomy_stub","8","medium","","taxonomy_stub","needs_current_trl_research; thin_graph_context","computational biology and life-science software para biotech, pharma and research labs. Entra en tesis por computational biology and scientific software.","computational biology and life-science software para biotech, pharma and research labs.","Entra en tesis por computational biology and scientific software."
"gameet","Gameet","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7","medium","","taxonomy_stub","thin_graph_context","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
"gbm","GBM","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7","medium","","taxonomy_stub","thin_graph_context","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
"geoprot","Geoprot","include","provisional","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","8","medium","","taxonomy_stub","needs_current_trl_research; thin_graph_context","foodtech ingredients; alternative proteins para food and beverage. Entra en tesis por food biotech and novel ingredients.","foodtech ingredients; alternative proteins para food and beverage.","Entra en tesis por food biotech and novel ingredients."
"gigablue","Gigablue","include","provisional","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","8","medium","","taxonomy_stub","needs_current_trl_research; thin_graph_context","industrial biotech and biological tools para industrial biotech and research markets. Entra en tesis por biomanufacturing and bioindustrial platforms.","industrial biotech and biological tools para industrial biotech and research markets.","Entra en tesis por biomanufacturing and bioindustrial platforms."
"glycox","GlycoX","include","provisional","computational biology and scientific software","computational biology and life-science software","taxonomy_stub","8","medium","","taxonomy_stub","needs_current_trl_research; thin_graph_context","computational biology and life-science software para biotech, pharma and research labs. Entra en tesis por computational biology and scientific software.","computational biology and life-science software para biotech, pharma and research labs.","Entra en tesis por computational biology and scientific software."
"grandata","Grandata","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7","medium","","taxonomy_stub","thin_graph_context","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
"hiamet_s_a","HIAMET","include","provisional","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","8.5","high","","taxonomy_stub","needs_current_trl_research","industrial biotech and biological tools para industrial biotech and research markets. Entra en tesis por biomanufacturing and bioindustrial platforms.","industrial biotech and biological tools para industrial biotech and research markets.","Entra en tesis por biomanufacturing and bioindustrial platforms."
"houm","Houm","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7","medium","","taxonomy_stub","thin_graph_context","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
"huiro","Huiro","include","provisional","biobased chemistry and advanced materials","biobased chemistry and materials","taxonomy_stub","8.5","high","","taxonomy_stub","needs_current_trl_research","green chemistry; biomaterials; bioindustry para chemicals, materials, cosmetics and ag. Entra en tesis por biobased chemistry and advanced materials.","green chemistry; biomaterials; bioindustry para chemicals, materials, cosmetics and ag.","Entra en tesis por biobased chemistry and advanced materials."
"hybridon","Hybridon","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7","medium","","taxonomy_stub","thin_graph_context","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
"imvalv","Imvalv","include","provisional","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","8","medium","","taxonomy_stub","needs_current_trl_research; thin_graph_context","health diagnostics and medtech para healthcare providers and labs. Entra en tesis por diagnostics and medtech.","health diagnostics and medtech para healthcare providers and labs.","Entra en tesis por diagnostics and medtech."
"inbioar","Inbioar","include","provisional","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","8","medium","","taxonomy_stub","needs_current_trl_research; thin_graph_context","foodtech ingredients; alternative proteins para food and beverage. Entra en tesis por food biotech and novel ingredients.","foodtech ingredients; alternative proteins para food and beverage.","Entra en tesis por food biotech and novel ingredients."
"infira","Infira","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7","medium","","taxonomy_stub","thin_graph_context","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
"ini","INI","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7","medium","","taxonomy_stub","thin_graph_context","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
"inner_cosmos","Inner Cosmos","include","provisional","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","8","medium","","taxonomy_stub","needs_current_trl_research; thin_graph_context","health diagnostics and medtech para healthcare providers and labs. Entra en tesis por diagnostics and medtech.","health diagnostics and medtech para healthcare providers and labs.","Entra en tesis por diagnostics and medtech."
"innova_space","Innova Space","include","provisional","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub","7","medium","","taxonomy_stub","needs_current_trl_research; thin_graph_context; unclassified_sector","frontier hardware and space systems para aerospace, infrastructure and industrial markets. Entra en tesis por frontier hardware and infrastructure systems.","frontier hardware and space systems para aerospace, infrastructure and industrial markets.","Entra en tesis por frontier hardware and infrastructure systems."
"inventa","Inventa","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7","medium","","taxonomy_stub","thin_graph_context","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
"invitrall","Invitrall","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7","medium","","taxonomy_stub","thin_graph_context","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
"iof","Iof","exclude","provisional","peripheral or underclassified ventures","unclassified / needs review resolved","seeded","8","medium","","portfolio_or_official_override","country_unconfirmed","insufficiently documented venture para unknown. Queda afuera por insufficient_public_evidence_and_no_defensible_materiality_signal.","insufficiently documented venture para unknown.","Queda afuera por insufficient_public_evidence_and_no_defensible_materiality_signal."
"jampp","Jampp","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7","medium","","taxonomy_stub","thin_graph_context","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
"kangu","Kangu","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7","medium","","taxonomy_stub","thin_graph_context","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
"keclon","Keclon","include","provisional","biobased chemistry and advanced materials","biobased chemistry and materials","taxonomy_stub","8","medium","","taxonomy_stub","needs_current_trl_research; thin_graph_context","green chemistry; biomaterials; bioindustry para chemicals, materials, cosmetics and ag. Entra en tesis por biobased chemistry and advanced materials.","green chemistry; biomaterials; bioindustry para chemicals, materials, cosmetics and ag.","Entra en tesis por biobased chemistry and advanced materials."
"kigui","Kigüi","include","provisional","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","8.5","high","","taxonomy_stub","needs_current_trl_research","industrial biotech and biological tools para industrial biotech and research markets. Entra en tesis por biomanufacturing and bioindustrial platforms.","industrial biotech and biological tools para industrial biotech and research markets.","Entra en tesis por biomanufacturing and bioindustrial platforms."
"laurus","Laurus","include","provisional","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","8","medium","","taxonomy_stub","needs_current_trl_research; thin_graph_context","foodtech ingredients; alternative proteins para food and beverage. Entra en tesis por food biotech and novel ingredients.","foodtech ingredients; alternative proteins para food and beverage.","Entra en tesis por food biotech and novel ingredients."
"laurus_ag_tech","Laurus AG Tech","include","provisional","precision agriculture and resource intelligence","precision agriculture intelligence","taxonomy_stub","5","fragile","","taxonomy_stub","missing_country; missing_trl; thin_graph_context; unclassified_sector","precision agriculture software para agriculture. Entra en tesis por precision agriculture and resource intelligence.","precision agriculture software para agriculture.","Entra en tesis por precision agriculture and resource intelligence."
"lemon","Lemon","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.5","medium","","taxonomy_stub","","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
"levya","Levya","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7","medium","","taxonomy_stub","thin_graph_context","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
"lia_aeospace","LIA Aeospace","include","provisional","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub","7","medium","","taxonomy_stub","needs_current_trl_research; thin_graph_context; unclassified_sector","frontier hardware and space systems para aerospace, infrastructure and industrial markets. Entra en tesis por frontier hardware and infrastructure systems.","frontier hardware and space systems para aerospace, infrastructure and industrial markets.","Entra en tesis por frontier hardware and infrastructure systems."
"lifit","Lifit","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","seeded","8","medium","","portfolio_or_official_override","country_unconfirmed","consumer wellness or productivity software para consumer software. Queda afuera por consumer_software_without_thesis_core_signal.","consumer wellness or productivity software para consumer software.","Queda afuera por consumer_software_without_thesis_core_signal."
"lipock","Lipock","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7","medium","","taxonomy_stub","thin_graph_context","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
"logan","Logan","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","seeded","8","medium","","portfolio_or_official_override","country_unconfirmed","adtech and media data platform para marketing and media. Queda afuera por full_digital_no_materiality_signal.","adtech and media data platform para marketing and media.","Queda afuera por full_digital_no_materiality_signal."
"logshare","LogShare","include","provisional","climate, energy and resource systems","climate and resource intelligence platforms","taxonomy_stub","8","medium","","taxonomy_stub","needs_current_trl_research; thin_graph_context","climate and resource intelligence para energy, water, carbon and infrastructure systems. Entra en tesis por climate, energy and resource systems.","climate and resource intelligence para energy, water, carbon and infrastructure systems.","Entra en tesis por climate, energy and resource systems."
"luzid","Luzid","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","seeded","8.5","high","","portfolio_or_official_override","","ERP delivery and transformation platform para enterprise software. Queda afuera por full_digital_no_materiality_signal.","ERP delivery and transformation platform para enterprise software.","Queda afuera por full_digital_no_materiality_signal."
"mabloc","Mabloc","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7","medium","","taxonomy_stub","thin_graph_context","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
