"startup_name","normalized","match_id","match_name","match_scope","layer","category","confidence","source_url","include","investors"
"Agroadvance","agroadvance","agroadvance","Agroadvance","include","Enabling infrastructure","Climate-smart agriculture / services","0.74","https://spventures.com.br/categorias-portfolio/climate-resilience/ | https://spventures.com.br/categorias-portfolio/climate-mitigation/","yes","SP Ventures"
"Agrosmart","agrosmart","agrosmart","Agrosmart","include","Enabling infrastructure","Climate intelligence / irrigation","0.9","https://spventures.com.br/portfolio/ | https://www.weforum.org/organizations/agrosmart/","yes","SP Ventures; WEF"
"Aplasys - Protein Synthesis","aplasys protein synthesis","","","NEW?","Enabling infrastructure","Bioprocess simulation / protein expression","0.64","https://www.f6s.com/companies/biotech/brazil/co","yes","F6S"
"AQUi9","aqui9","","","NEW?","Enabling infrastructure","Aquaculture monitoring / IoT","0.63","https://www.f6s.com/companies/agritech/brazil/co","yes","F6S"
"AUFTEK TECNOLOGIA","auftek tecnologia","","","NEW?","Enabling infrastructure","Microbiological water monitoring","0.66","https://www.f6s.com/companies/biotech/brazil/co","yes","F6S"
"BemAgro","bemagro","bemagro","BemAgro","include","Enabling infrastructure","Precision agriculture / field intelligence","0.9","https://theyieldlablatam.com/pt-br/companies/bemagro/","yes","The Yield Lab LATAM"
"InCeres","inceres","inceres","InCeres","include","Enabling infrastructure","Soil / precision agriculture","0.77","https://spventures.com.br/portfolio/","yes","SP Ventures"
"Inprenha","inprenha","inprenha","Inprenha","include","Enabling infrastructure","Animal reproduction / livestock","0.7","https://spventures.com.br/portfolio/","yes","SP Ventures"
"Meu Pescado","meu pescado","","","NEW?","Enabling infrastructure","Aquaculture management software","0.62","https://www.f6s.com/companies/agritech/brazil/co","yes","F6S"
"NetWord Agro","netword agro","","","NEW?","Enabling infrastructure","Soil/crop monitoring","0.65","https://www.f6s.com/companies/agritech/brazil/co","yes","F6S"
"Sensix","sensix","sensix","Sensix","include","Enabling infrastructure","Farm data / remote sensing","0.62","https://sensix.ag/","yes","first-pass atlas / public sources"
"Solinftec","solinftec","solinftec","Solinftec","include","Enabling infrastructure","Autonomous agriculture / precision spraying","0.8","https://www.solinftec.com/","yes","public/company sources"
"SpecLab","speclab","speclab","SpecLab","include","Enabling infrastructure","Ag analytics / spectroscopy","0.61","https://spventures.com.br/portfolio/brain-ag-4/","yes","SP Ventures"
"Um Grau e Meio","um grau e meio","um_grau_e_meio","Um Grau e Meio","include","Enabling infrastructure","Forest fire detection / climate resilience","0.9","https://theyieldlablatam.com/companies/um-grau-e-meio-2/","yes","The Yield Lab LATAM"
"Voa","voa","voa","Voa","include","Enabling infrastructure","Drone application / biological control agents","0.88","https://theyieldlablatam.com/companies/voa/","yes","The Yield Lab LATAM"
"@Tech","tech","tech","@Tech","include","Enabling infrastructure","Animal protein optimization / IoT","0.86","https://theyieldlablatam.com/companies/atech/","yes","The Yield Lab LATAM"
"Aegro","aegro","aegro","Aegro","include","Enabling infrastructure","Farm management software","0.74","https://spventures.com.br/portfolio/","yes","SP Ventures"
"Agroforte","agroforte","agroforte","Agroforte","include","Enabling infrastructure","Agrifintech / livestock","0.85","https://theyieldlablatam.com/companies/agroforte/","yes","The Yield Lab LATAM"
"Agrolend","agrolend","agrolend","Agrolend","include","Enabling infrastructure","Agrifintech / farmer credit","0.78","https://spventures.com.br/portfolio/ | https://www.f6s.com/companies/agritech/brazil/co","yes","SP Ventures; F6S"
"Arado","arado","arado","Arado","include","Enabling infrastructure","Fresh produce supply chain","0.7","https://spventures.com.br/portfolio/","yes","SP Ventures"
"Brain.ag","brain ag","brain_ag","Brain.ag","include","Enabling infrastructure","AI agriculture","0.6","https://spventures.com.br/portfolio/","yes","SP Ventures"
"Culttivo","culttivo","culttivo","Culttivo","include","Enabling infrastructure","Agrifintech / coffee","0.76","https://theyieldlablatam.com/portfolio/","yes","The Yield Lab LATAM"
"goFlux","goflux","goflux","goFlux","include","Enabling infrastructure","Ag logistics / carbon offsetting","0.86","https://theyieldlablatam.com/companies/goflux/ | https://spventures.com.br/portfolio/","yes","The Yield Lab LATAM; SP Ventures"
"JetBov","jetbov","jetbov","JetBov","include","Enabling infrastructure","Livestock management","0.74","https://spventures.com.br/portfolio/","yes","SP Ventures"
"Lupeon","lupeon","lupeon","Lupeon","exclude","Enabling infrastructure","Agfood supply chain / efficiency","0.59","https://spventures.com.br/portfolio/","yes","SP Ventures"
"Nexxto","nexxto","nexxto","Nexxto","include","Enabling infrastructure","Cold chain / food logistics","0.7","https://spventures.com.br/portfolio/","yes","SP Ventures"
"Seedz","seedz","seedz","Seedz","include","Enabling infrastructure","Ag loyalty / business intelligence","0.74","https://theyieldlablatam.com/pt-br/companies/seedz/","yes","The Yield Lab LATAM"
"Sette","sette","sette","Sette","include","Enabling infrastructure","Ag receivables / supply chain finance","0.7","https://spventures.com.br/portfolio/","yes","SP Ventures"
"TerraMagna","terramagna","terramagna","TerraMagna","include","Enabling infrastructure","Agricultural credit risk / satellite AI","0.85","https://theyieldlablatam.com/es/companies/terramagna/","yes","The Yield Lab LATAM"
"Traive","traive","traive","Traive","include","Enabling infrastructure","Agrifintech / credit risk analytics","0.72","https://spventures.com.br/portfolio/","yes","SP Ventures"
"NEOLEITE","neoleite","","","NEW?","Core bio-based","Biotech infant formula / dairy alternatives","0.63","https://www.f6s.com/companies/biotech/brazil/co","watchlist","F6S"
"Imeve","imeve","imeve","Imeve","include","Core bio-based","Animal health biotech","0.6","https://spventures.com.br/portfolio/","watchlist","SP Ventures"
"BartDigital","bartdigital","","","NEW?","Enabling infrastructure","Ag finance / digital crop receivables","0.58","https://spventures.com.br/portfolio/","watchlist","SP Ventures"
"Erural","erural","erural","Erural","include","Enabling infrastructure","Livestock marketplace","0.68","https://spventures.com.br/portfolio/","watchlist","SP Ventures"
"Horus","horus","","","NEW?","Enabling infrastructure","Drones / agricultural monitoring","0.58","https://spventures.com.br/portfolio/","watchlist","SP Ventures"
"Leaf","leaf","leaf","Leaf","include","Enabling infrastructure","Agriculture data infrastructure / MRV","0.76","https://spventures.com.br/portfolio/","watchlist","SP Ventures"
"Biosens","biosens","","","NEW?","Core bio-based","Diagnostics / CRISPR biosensors","0.57","https://www.f6s.com/companies/biotech/brazil/co","watchlist","F6S"
"GlycoX","glycox","glycox","GlycoX","include","Core bio-based","Human health biotech","0.62","https://www.gridexponential.com/portfoliostartups","watchlist","GridX portfolio"
"Invitrall","invitrall","invitrall","Invitrall","include","Core bio-based","In vitro tissue models","0.64","https://www.gridexponential.com/portfoliostartups","watchlist","GridX portfolio"
"Quantis.bio","quantis bio","","","NEW?","Core bio-based","Regenerative medicine","0.58","https://www.f6s.com/companies/biotech/brazil/co","watchlist","F6S"
"Qnity","qnity","qnity","Qnity","include","Enabling infrastructure","Quantum/electrochemical tools","0.5","https://www.gridexponential.com/portfoliostartups","watchlist","GridX portfolio"
