"startup_name","current_theme","semantic_confidence","semantic_margin","current_words","target_words","quality_band","review_status","source_type","source_url","action_needed","rewrite_prompt","current_one_liner","current_summary","evidence_excerpt"
"New Organs Biotech","therapeutics and regenerative bio","medium","5.2","61","55-75 words","high","reviewed","official_portfolio_profile","https://www.gridexponential.com/portfolio","clarify_semantic_fit; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Gene-edited regenerative medicine for organ shortage.","Argentine regenerative-medicine startup combining gene editing and precision medicine to address chronic organ shortages and limitations of conventional transplantation. The current public source is still GRIDX's portfolio description, so evidence depth is medium, but the biological mechanism is clear: engineered organ and regenerative-health solutions. It belongs inside BIO VC LATAM as a therapeutics and regenerative-biology company focused on transplant medicine.","GRIDX portfolio describes New Organs Biotech as combining gene editing with precision medicine to solve organ shortage."
"Voa","agri intelligence and traceable markets","medium","5.4","62","55-75 words","medium","reviewed","official_portfolio_profile","https://theyieldlablatam.com/companies/voa/","clarify_semantic_fit; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Drone-enabled crop monitoring and biological-input application.","Voa is a Brazilian precision-agriculture company operating drone fleets and analytics services for field monitoring and precise application of biological agents, agrochemicals and nutrients. Its value is operational rather than molecular: it helps farms deploy inputs more accurately and manage crops at scale. It belongs inside BIO VC LATAM as precision application infrastructure for biological agents, crop nutrition and lower-impact agricultural production.","The Yield Lab Latam describes VOA as a drone fleet and analytics service for precise monitoring and application of biological agents, agrochemicals and nutrients."
"Agroforte","climate and resource intelligence platforms","medium","10.4","61","55-75 words","high","reviewed","official_portfolio_profile","https://theyieldlablatam.com/companies/agroforte/","clarify_semantic_fit; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Animal production financial infrastructure.","Brazilian rural-finance platform building a digital bank for small and medium poultry, pork and dairy producers. It uses historical production data from integrated animal-protein systems to manage credit risk and finance infrastructure and operational improvements. It remains an edge include because the mechanism is fintech, but the use case is tightly coupled to animal health, welfare, supply-chain resilience and livestock production.","The Yield Lab Latam portfolio describes a digital bank for poultry, pork and dairy producers using historical production data to manage credit risk and finance infrastructure and operational improvements that strengthen supply chains and animal welfare."
"Bioseek","clinical diagnostics and medical devices","medium","4.2","25","55-75 words","medium","reviewed","secondary_public_profile","https://www.f6s.com/company/bioseek","clarify_semantic_fit","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Semantic search engine for life sciences.","Plataforma de semantic search y analitica para investigacion en life sciences. Entra en tesis como software cientifico acoplado de forma directa a I+D biologica.","Public profiles describe BioSeek as a specialized search engine and research environment for life sciences with semantic search and analytics."
"Eywa Biotech","therapeutics and regenerative bio","medium","4.6","25","55-75 words","medium","reviewed","official_website","https://www.eywa.bio/","clarify_semantic_fit","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Psychedelic biotech using biosynthesis.","Biotech de salud mental que produce APIs y futuros productos terapeuticos psicodelicos mediante biosintesis y quimica verde. Entra en tesis por therapeutics and regenerative medicine.","Official site describes clinical-grade psychedelic APIs and finished drug products produced through biosynthesis for next-generation mental health treatments."
"Huiro","climate and resource intelligence platforms","medium","5","38","55-75 words","high","reviewed","official_website","https://www.huiroregenerativo.com/en","clarify_semantic_fit","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Regenerative seaweed cultivation for marine restoration and coastal livelihoods.","Startup chilena que desarrolla un modelo colaborativo de cultivo regenerativo de algas para restaurar ecosistemas marinos, capturar carbono y activar economias costeras circulares. Entra en tesis por su intervencion directa sobre sistemas vivos y regeneracion de limites planetarios.","Official site describes regenerative seaweed farming to restore marine ecosystems, capture carbon and create sustainable economic opportunities for coastal communities."
"Satellites on Fire","climate and resource intelligence platforms","medium","5","30","55-75 words","high","reviewed","official_website","https://www.satellitesonfire.com/en","clarify_semantic_fit","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Real-time wildfire detection and monitoring.","Plataforma de deteccion temprana y monitoreo inteligente de incendios que combina satelites, camaras y modelos de IA. Entra claramente por prevencion de incendios, proteccion territorial y gestion de riesgo planetario.","Official site describes early fire detection, smart monitoring and alerts using satellites, cameras and proprietary AI, helping detect fires before public satellite systems."
"Elytron Biotech","industrial enzymes and bioprocess platforms","medium","5.6","66","55-75 words","medium","reviewed","official_website","https://www.elytronbiotech.com/?lang=en","clarify_semantic_fit","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","AI-driven biological product development platform.","Elytron Biotech is an Argentine bioindustrial company transforming frontier technology into high-performance biological products for agriculture and bioindustry. Its AI-driven platform is designed to accelerate development, reduce industrialization risk and integrate market-ready innovations into bioindustry value chains, with team capabilities in genomics, gene editing, molecular biology, bioinformatics and agricultural pest problems. It belongs inside BIO VC LATAM as biological-product development infrastructure for ag and bioindustrial systems.","Official site says Elytron transforms cutting-edge technology into high-performance biological products through an AI-driven platform that accelerates development, minimizes industrialization risk and integrates into bioindustry value chains."
"Brain.ag","agri intelligence and traceable markets","medium","5.8","64","55-75 words","medium","reviewed","secondary_public_profile","https://www.serasaexperian.com.br/sala-de-imprensa/agronegocios/serasa-experian-adquire-parte-da-brain-ag-e-fortalece-analise-de-credito-para-o-agronegocio/","clarify_semantic_fit","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Big-data platform for agribusiness credit and socioenvironmental analysis.","Brain.ag is a Brazilian agribusiness data and risk-intelligence company specializing in credit, financial operations, ESG and socioenvironmental analysis for rural production. Public acquisition coverage says its platform combines data, analytics and agricultural-risk workflows to originate, decide and monitor rural credit faster, including producer, collateral, area and compliance checks. It belongs inside BIO VC LATAM as ag-finance and socioenvironmental-risk infrastructure for biological production systems.","Serasa Experian acquisition release describes Brain.ag as a big-data company for agribusiness financial operations, risk evaluation, producer monitoring and socioenvironmental analysis."
"Alkemio","climate and resource intelligence platforms","medium","5.8","39","55-75 words","medium","reviewed","official_website","https://alkemio.tech/","clarify_semantic_fit","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Modular sustainable rare earth refining platform.","Startup de critical materials que desarrolla una plataforma modular, limpia y adaptable para separar y refinar tierras raras con menor CAPEX, menor huella y menor dependencia geopolitica. Entra en tesis por transicion material y refinado sostenible de insumos criticos.","Official site describes a high-purity separation platform that unlocks scalable and sustainable rare earth refining for clean technologies such as EVs, wind turbines and semiconductors."
"Kigüi","climate and resource intelligence platforms","medium","6.2","34","55-75 words","high","reviewed","official_website","https://kigui.io/en/","clarify_semantic_fit","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","AI copilot for retail waste and rotation management.","Plataforma de IA para retail que detecta expiraciones, faltantes y ejecucion promocional para reducir mermas y mejorar rotacion en alimentos y consumo masivo. Se mantiene adentro como caso borde de eficiencia material y desperdicio.","Official site describes AI for expiry-based stock accuracy, task prioritization and promotion execution to reduce losses in retail operations."
"TerraMagna","climate and resource intelligence platforms","medium","6.8","33","55-75 words","medium","reviewed","official_website","https://terramagna.com.br/","clarify_semantic_fit","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Agricultural credit and receivables infrastructure.","Brazilian agrifintech providing credit, receivables and fund infrastructure for agricultural input distributors and the broader agro chain. It belongs inside BIO VC LATAM as enabling capital infrastructure directly tied to agricultural production systems.","Official site describes TerraMagna as providing credit for input distributors, receivables and Fiagro/FIDC structures serving agribusiness."
"Beeflow","ag biologicals and crop resilience","medium","6.9","31","55-75 words","high","reviewed","official_website","https://www.beeflow.com/about-us","clarify_semantic_fit","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Pollination science company for agriculture.","Biotecnologica de polinizacion que combina ciencia de cultivos, biologia de abejas y tecnologias nutricionales propietarias para mejorar rendimiento y calidad de fruta. Entra en tesis por ag biologicals and crop resilience.","Official site describes a biotechnology company providing professional pollination services using crop data and proprietary bee nutritional technologies."
"Outpost","clinical diagnostics and medical devices","medium","7.5","24","55-75 words","medium","reviewed","official_website","https://www.outpost.bio/","clarify_semantic_fit","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Microbiome predictive biology platform.","TechBio que combina wet lab microbiology y machine learning para volver computable la microbiologia humana. Entra en tesis por computational biology and scientific software.","Official site describes a closed-loop engine pairing wet-lab biology with machine learning to make microbial ecosystems computable and enable predictive medicine."
"Onco Precision","therapeutics and regenerative bio","medium","7.6","23","55-75 words","high","reviewed","official_website","https://www.oncoprecision.bio/","clarify_semantic_fit","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Patient-centric oncology antibody discovery platform.","Startup de anticuerpos terapeuticos que integra high-throughput biology y AI/ML para descubrir programas oncologicos con datos derivados de pacientes desde etapas tempranas.","Official site describes a platform therapeutics company using high-throughput biology and AI/ML to discover oncology antibody programs with patient-derived data."
"Cell Farm","food ingredients and biofactories","medium","7.6","32","55-75 words","high","reviewed","official_website","https://www.cell.farm/","clarify_semantic_fit","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Cultivated meat production infrastructure.","Startup food biotech que construye infraestructura de produccion para carne cultivada, con foco en escalado modular y manufactura on-demand. Entra en tesis por su acople directo a agricultura celular y transicion proteica.","Official site says cell.farm is building modular, on-demand production infrastructure for cultivated meat to reach global scale."
"Lemu","climate and resource intelligence platforms","medium","7.8","38","55-75 words","medium","reviewed","official_website","https://www.le.mu/","clarify_semantic_fit","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Nature intelligence and biodiversity MRV platform.","Chilean nature-intelligence startup building Atlas, a platform to measure and manage nature-related impact using ecological indicators, satellite imagery, AI and the Lemu Nge biodiversity satellite. It belongs inside BIO VC LATAM as biodiversity MRV and planetary-boundary stewardship infrastructure.","Official site describes Atlas as nature intelligence combining ecological science, multi-modal sources and AI, powered by Lemu Nge, a biodiversity-focused satellite."
"Syocin Biotech","ag biologicals and crop resilience","medium","7.8","34","55-75 words","medium","reviewed","official_website","https://syocin.com/","clarify_semantic_fit","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Precision protein biobactericides for crop protection.","Startup ag biotech que desarrolla biobactericidas proteicos de alta precision para proteger cultivos frente a fitopatogenos bacterianos sin afectar microbiomas beneficiosos. Entra en tesis por su uso de biologia sintetica aplicada a resiliencia agricola.","Official site describes protein-based biobactericides and a synthetic biology platform to fight bacterial plant diseases while preserving microbiomes and soil health."
"BioMetallum","climate and resource intelligence platforms","medium","8.1","43","55-75 words","high","reviewed","official_website","https://bio-metallum.com/","clarify_semantic_fit","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Biomining and direct lithium extraction company.","Startup argentina de biomineria que usa microorganismos, biologia sintetica y exploracion asistida por IA para extraer litio y otros metales con menos agua, menos quimicos y menor impacto ambiental. Entra en tesis por su rol claro en transicion material y recuperacion de recursos.","Official site describes BioMetallum as an Argentinian biomining startup using microorganisms, synthetic biology and AI-driven exploration for efficient lithium and metal extraction with lower water use and environmental impact."
"Cellargen Biotech","industrial enzymes and bioprocess platforms","medium","8.2","25","55-75 words","medium","reviewed","institutional_public_source","https://www.unl.edu.ar/noticias/news/view/la_fbcb_y_cellargen_biotech_s_r_l_producir%C3%A1n_insumos_biotecnol%C3%B3gicos","clarify_semantic_fit","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Recombinant biotherapeutics and vaccine company.","Empresa biotech santafesina que desarrolla vacunas recombinantes, hormonas y otros insumos bioterapeuticos para salud humana y animal. Entra en tesis por biomanufacturing and bioindustrial platforms.","UNL describes Cellargen as a biotech company developing recombinant vaccines, hormones and therapeutic or diagnostic products for human and animal use."
"IdeeLab","ag biologicals and crop resilience","medium","8.3","32","55-75 words","medium","reviewed","official_website","https://ideelab.com.br/","clarify_semantic_fit","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Ag biologicals CDMO and bioinput production platform.","Brazilian agricultural biotechnology company and CDMO for bioinputs, spanning microbial prospecting, R&D, industrial fermentation and biological-input production. It belongs inside BIO VC LATAM as a core ag biologicals and bioindustrial platform.","Official site describes IdeeLab as a CDMO for agricultural bioinputs, with microbial prospecting, P&D and industrial production infrastructure."
"Plamic","therapeutics and regenerative bio","medium","9.1","58","55-75 words","high","reviewed","government_public_profile","https://www.argentina.gob.ar/ciencia/seppCTI/desarrollo-tecnologico-e-innovacion/diseno-fabricacion-y-caracterizacion-de-chips-o","clarify_semantic_fit","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Microfluidic lab-on-a-chip platform for nanomedicine development.","PLAMIC is an Argentine microfluidics and nanomedicine venture developing lab-on-a-chip systems to design, manufacture and characterize nanoscale drug-delivery formulations for health applications. Public sources describe the problem as poor reproducibility, high reagent waste and difficult scale-up in traditional nanomedicine manufacturing. It belongs inside BIO VC LATAM as biomedical process infrastructure for nanomedicine development, not as agricultural pest-control technology.","Argentina.gob.ar describes PLAMIC as a microfluidic platform for designing, manufacturing and characterizing lab-on-a-chip systems for health applications and nanomedicine production."
"Precision Ag","agri intelligence and traceable markets","medium","9.5","62","55-75 words","medium","reviewed","official_website","https://www.precision.agr.br/en","clarify_semantic_fit","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Agricultural drone spraying and crop-monitoring services.","Precision Ag is a Brazilian precision-agriculture services company providing outsourced crop spraying and field operations with agricultural drones in Rio Grande do Sul. Its services cover liquid and solid pesticide/fertilizer application, seed and solid-fertilizer dispersion, pasture, reforestation, crop monitoring and plant diagnosis. It belongs inside BIO VC LATAM as edge-case resource-efficiency infrastructure for more precise input use and lower-impact crop management.","Official site describes drone-enabled agricultural spraying, solid and liquid input application, seed and fertilizer dispersion, monitoring and plant diagnosis for crop operations in Rio Grande do Sul."
"Sette","climate and resource intelligence platforms","medium","9.7","34","55-75 words","medium","reviewed","official_website","https://www.sette.ag/","clarify_semantic_fit","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Agricultural guarantees and credit-risk infrastructure.","Brazilian agrifintech infrastructure platform digitizing agricultural guarantees, CPR registration, certificates, signatures and credit-risk workflows with AI, geospatial and field-analysis capabilities. It belongs inside BIO VC LATAM as capital infrastructure directly coupled to agricultural production.","Official Sette site describes digital signatures, CPR registration, collateral/certificate workflows, crop classification and productivity models for agricultural finance."
"Arqlite","climate and resource intelligence platforms","medium","9.9","30","55-75 words","medium","reviewed","secondary_public_profile","https://curbwaste.com/company-profiles-network/arqlite","clarify_semantic_fit","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Circular materials company from plastic waste.","Empresa de materiales circulares que transforma plasticos dificiles de reciclar en agregados livianos y otros materiales de bajo carbono para construccion y manufactura. Entra en tesis por circular material systems.","Public company profiles describe technology that converts hard-to-recycle plastics into low-carbon materials and recycled aggregates for construction and manufacturing."
"Agrired","agri intelligence and traceable markets","medium","10.5","31","55-75 words","high","reviewed","official_website","https://www.agrired.com.ar/","clarify_semantic_fit","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","B2B ag-input market infrastructure.","Infraestructura B2B para la compra, venta y logistica de semillas, fertilizantes y agroquimicos entre empresas del agro. Entra en tesis como capa digital fuertemente acoplada a flujos materiales de insumos agricolas.","Official site describes an exclusive business marketplace for agricultural inputs, with logistics and business intelligence for seeds, fertilizers and agrochemicals."
"Bitgenia","clinical diagnostics and medical devices","medium","10.6","31","55-75 words","medium","reviewed","official_website","https://www.bitgenia.com/nosotros/","clarify_semantic_fit","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Genomics and bioinformatics platform.","Empresa de genómica y bioinformática que ofrece análisis clínicos, paneles de genes, exoma/genoma y una plataforma propia para interpretación de datos. Entra en tesis por computational biology and scientific software.","Official site describes genomic analysis services and a proprietary bioinformatics platform for gene panels, exome and genome sequencing workflows."
"Symbiomics","ag biologicals and crop resilience","high","20.1","36","45-60 words","medium","seeded","external_profile","https://www.f6s.com/symbiomics","upgrade_seeded_to_reviewed; replace_secondary_source_if_possible","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","AI-enabled high-performance biologicals for agriculture.","Brazilian ag biologicals startup using sequencing, machine learning and genome editing to develop high-performance biologicals for plant nutrition, biostimulants, crop protection and carbon sequestration. It belongs inside BIO VC LATAM as ag biologicals and microbial discovery.","F6S profile describes Symbiomics as developing high-performance biologicals using sequencing technologies, machine learning and genome editing tools."
"Cytbac","therapeutics and regenerative bio","high","29.7","28","45-60 words","high","seeded","external_profile","https://wiselatinamerica.com/Proyecto_Detalle.aspx?proyecto_id=1064","upgrade_seeded_to_reviewed; replace_secondary_source_if_possible","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Genetically engineered vaccine and immunotherapy platform.","Startup argentina de biotecnologia que desarrolla una plataforma de vacunas y terapias para humanos y animales usando genomica predictiva, AI y vectores virales ingenierizados. Entra por therapeutics/vaccines.","WISE Latin America describes Cytbac as an Argentine biotech startup that developed a disruptive vaccine and therapy platform for humans and animals."
"Zavia Bio","ag biologicals and crop resilience","high","49.1","24","45-60 words","high","seeded","linkedin_company_page","https://ar.linkedin.com/company/zaviabio","upgrade_seeded_to_reviewed; replace_secondary_source_if_possible","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Biosolutions for resilient and sustainable agriculture.","Startup agrobiotech que desarrolla soluciones biologicas para un sistema agricola mas sostenible, resiliente y seguro. Entra en tesis por ag biologicals and crop resilience.","LinkedIn company page describes biosolutions for resilient and sustainable agriculture and biological solutions for a more sustainable, resilient and safe agricultural system."
