"startup_id","startup_name","startup_summary_v1","business_one_liner","problem_addressed","technical_approach","industry_destination","materiality_signal","thesis_scope_note","source_url","source_type","source_date","evidence_excerpt","summary_confidence","review_status"
"agrotoken","Agrotoken","Infraestructura para tokenizar granos y otros activos del agro, habilitando pagos, financiamiento, colateral y trazabilidad sobre activos materiales reales. Entra en tesis por acople fuerte a cadenas agro-materiales y capa de trazabilidad/sustentabilidad.","Real-world asset and traceability infrastructure for agribusiness.","Baja liquidez, trazabilidad y eficiencia financiera sobre activos agropecuarios reales.","Tokenizacion blockchain de granos y herramientas de trazabilidad, sostenibilidad y collateral management.","Agribusiness and material supply chains","medium","Entra por infraestructura financiera y de trazabilidad anclada en activos materiales y cadenas del agro.","https://landing.test.agrotoken.io/en/home","official_website","2026-04-20","Official site describes digitization of grains into agrotokens and additional traceability and sustainability explorer tools for material supply chains.","high","reviewed"
"algaebio","algaebio+","Startup biobasada que produce astaxantina natural a partir de microalgas para acuicultura, nutraceutica, alimentos funcionales y cosmetica. Entra en tesis por food biotech and novel ingredients.","Microalgae functional ingredients company.","Dependencia de ingredientes sinteticos derivados del petroleo y antioxidantes menos saludables.","Cultivo de microalgas en fotobiorreactores para producir astaxantina natural escalable.","Aquaculture, nutraceuticals, functional food and cosmetics","high","Entra por produccion biobasada de compuestos funcionales con impacto material claro en alimentos y salud.","https://algaebioplus.com/","official_website","2026-04-20","Official site describes scalable natural astaxanthin production from microalgae for aquaculture and human and animal health-related markets.","high","reviewed"
"apasomics","Apasomics","Startup de therapeutics que desarrolla nanomedicina biomimetica para llevar farmacos directamente al hueso. Entra en tesis por therapeutics and regenerative medicine.","Bone-targeted drug delivery startup.","Baja precision en el tratamiento de enfermedades oseas y efectos adversos por distribucion sistemica.","Nanoesferas de hidroxiapatita inspiradas en la remineralizacion osea para transportar y liberar farmacos en hueso.","Bone health and regenerative medicine","high","Entra por plataforma terapeutica biologica con biomateriales y medicina regenerativa.","https://www.apasomics.com/","official_website","2026-04-20","Official site describes hydroxyapatite nanospheres that target bone and improve the delivery of drugs such as bisphosphonates for osteoporosis and other bone diseases.","high","reviewed"
"apexzymes","APEXzymes","Startup de biotech industrial que desarrolla enzimas de bajo costo usando hongos filamentosos y subproductos agroindustriales para hacer procesos mas sustentables. Entra en tesis por biomanufacturing and bioindustrial platforms.","Industrial enzyme company using circular feedstocks.","Costo alto de enzimas y baja adopcion industrial de catalizadores biologicos en procesos sostenibles.","Ingenieria genetica de hongos y bioprocesos escalables a partir de subproductos de bajo costo.","Food, paper, biorefinery and biofuels","high","Entra por biomanufactura y sustitucion de procesos lineales por catalisis biologica.","https://apexzymes.com/","official_website","2026-04-20","Official site describes low-cost enzyme production using engineered filamentous fungi and agroindustrial byproducts.","high","reviewed"
"aplife_biotech","Aplife Biotech","Startup biotech que desarrolla una plataforma de alto throughput para sintesis de librerias combinatorias, screening y descubrimiento de aptameros aplicados a drug discovery, diagnostico y biosensores. Entra en tesis por computational biology and scientific software.","High-throughput discovery and aptamer platform for life sciences.","Procesos de descubrimiento y validacion biologica lentos, caros y poco paralelizables.","Bioprinting y deposicion de ultra bajo volumen para sintesis in situ, screening miniaturizado y exploracion de aplicaciones en genomica, proteomica, diagnostico y biosensores.","Biotech, pharma, diagnostics and life-science R&D","high","Entra por infraestructura de I+D biologica fuertemente acoplada a discovery, assays y aplicaciones experimentales en ciencias de la vida.","https://www.aplifebiotech.com/about","official_website","2026-04-21","Official site describes high-throughput discovery using ultra-low-volume deposition, combinatorial library synthesis and applications across genomics, proteomics, diagnostics, biosensors and whole-cell assays.","high","reviewed"
"arakion","Arakion","Startup biotech que diseña insecticidas de nueva generacion basados en venenos de aracnidos para proteger cultivos con mayor precision biologica. Entra claramente por ag biologicals and crop resilience.","Arachnid-venom bioinsecticide platform.","Dependencia de insecticidas menos especificos y con peor compatibilidad biologica en proteccion de cultivos.","Diseno racional de insecticidas inspirados en venenos de aracnidos y bioactivos dirigidos.","Agriculture and crop protection","high","Entra por crop protection biologico y diseno molecular aplicado a sistemas vivos de produccion.","https://www.gridexponential.com/portfolio","official_portfolio_profile","2026-04-24","GRIDX portfolio says Arakion develops rationally designed insecticides based on arachnid venom.","medium","reviewed"
"arcus","Arcus","Plataforma empresarial de agentes de IA para automatizar flujos de trabajo complejos sobre datos y procesos. Queda afuera por ser software horizontal de enterprise AI sin señal material, bio o regenerativa clara.","Plataforma enterprise AI para workflows y datos complejos.","Procesos empresariales fragmentados y tareas intensivas en datos.","Agentes multimodales, model routing y automatizacion de workflows.","Cross-sector enterprise software","low","Queda afuera por no estar acoplada a sistemas materiales o life-based.","https://www.arcus.co/","official_website","2026-04-20","Official site describes enterprise AI workflows, extraction, model routing and reasoning over business data.","high","reviewed"
"argentag","ArgenTAG","ArgenTAG is a life-science tools company building high-resolution single-cell long-read sequencing solutions. Its Single-Cell RNA Library Kit uses portable microfluidic cell partitioning, magnetic bead capture and smart barcoding so individual-cell transcriptomes can be sequenced on long-read platforms such as Oxford Nanopore and PacBio. It belongs inside BIO VC LATAM as genomics infrastructure for biomedical research, diagnostics, disease biology and cell-level discovery.","Single-cell long-read sequencing kit and workflow.","Single-cell sequencing remains expensive, fragmented and hard to use for full-length transcript and isoform discovery.","Portable microfluidic partitioning, mRNA capture beads, smart barcoding and long-read-compatible single-cell RNA library preparation.","Biopharma, biomedical research and life-science labs","high","Include as life-science tooling and genomics infrastructure, not general software.","https://www.argentag.com/single-cell-solutions","official_website","2026-05-06","Official product page describes a Single-Cell RNA Library Kit for long-read sequencing using portable microfluidic chips, magnetic beads and smart barcoding for ONT and PacBio-compatible workflows.","high","reviewed"
"arqlite","Arqlite","Arqlite is a circular-materials company converting hard-to-recycle plastics into low-carbon lightweight aggregates and other materials for construction and manufacturing. It is not biomanufacturing or molecular biotech; it belongs inside the broader BIO VC LATAM perimeter as planetary-boundary circular materials infrastructure that reduces plastic waste and substitutes virgin construction inputs.","Circular materials company converting hard-to-recycle plastic into construction aggregates.","Hard-to-recycle plastics leak into waste streams while construction materials depend on high-impact virgin aggregates.","Waste-plastic transformation into recycled lightweight aggregates and low-carbon construction materials.","construction, manufacturing and circular materials","medium-high","Include as circular materials and resource recovery, not biotech.","https://curbwaste.com/company-profiles-network/arqlite","secondary_public_profile","2026-05-08","Public company profiles describe technology that converts hard-to-recycle plastics into low-carbon materials and recycled aggregates for construction and manufacturing.","high","reviewed"
"auth0","Auth0","Plataforma de identidad y acceso para autenticacion y autorizacion en aplicaciones. Queda afuera por ser software horizontal sin señal de materialidad, bio o limites planetarios.","Software de identidad y acceso para empresas.","Gestion digital de identidad y autorizacion en software.","Infraestructura IAM, autenticacion y autorizacion.","Cross-sector enterprise software","low","Queda afuera de tesis por no estar acoplada a sistemas materiales o life-based.","https://auth0.com/","official_website","2026-04-20","Official site describes an authentication and authorization platform for apps and APIs.","high","reviewed"
"axenya","Axenya","Plataforma de gestion de salud corporativa y optimizacion de beneficios para empresas. Queda afuera por no ser health biotech o medtech de tesis, sino software corporativo de beneficios y datos.","Gestion de salud corporativa y beneficios con analitica.","Costos y siniestralidad en planes de salud corporativos.","Analitica de salud, beneficios y navegacion clinica para empresas.","Corporate HR and insurance","low","Queda afuera por ser health software corporativo, no una startup bio-based o medtech thesis-core.","https://axenya.com/","official_website","2026-04-20","Official site describes corporate health management, claims reduction and benefits optimization.","high","reviewed"
"ayuvant","Ayuvant","Startup de biotech terapeutico que desarrolla una inmunoterapia basada en nanoparticulas de RNA para instruir al sistema inmune a atacar celulas cancerosas. Entra en tesis por therapeutics and regenerative medicine.","Biotech terapeutica basada en RNA nanoparticle immunotherapy.","Baja respuesta de muchos pacientes a inmunoterapias actuales contra cancer.","Nanoparticulas de RNA no inflamatorias para entrenar al sistema inmune contra cancer.","Biotech and healthcare","high","Entra por plataforma terapeutica biologica clara y thesis-core en salud humana.","https://www.ayuvant.com/","official_website","2026-04-20","Official site describes a novel immunotherapy based on RNA nanoparticles targeting cancer.","high","reviewed"
"bacu","BACU","Cadena de restaurantes saludables apoyada por software propio para operaciones, delivery y pagos. Queda afuera por ser food service tech y marca de consumo, no una startup bio-based, biocentrica o climate-material thesis-core.","Cadena foodtech con software operativo para restaurantes.","Ineficiencias operativas y experiencia fragmentada en restaurantes.","Tecnologia para punto de venta, operaciones, delivery y pagos integrada a la cadena.","Food service and restaurants","low","Queda afuera por no mostrar una tesis fuerte de biofabricacion, regeneracion o materialidad climatica.","https://www.bacu.co/","official_website","2026-04-20","Market and company sources describe a healthy-food restaurant chain with proprietary operations technology.","medium","reviewed"
"beam_croptech","BEAM CropTech","Agrobiotech que desarrolla tecnologias geneticas basadas en fotobiologia para mejorar fotosintesis, productividad y resiliencia de cultivos. Entra en tesis por ag biologicals and crop resilience.","Crop trait biotech based on plant photobiology.","Baja productividad y vulnerabilidad climatica de cultivos extensivos.","Ingenieria genetica y fotobiologia para optimizar genes clave de crecimiento y tolerancia al estres.","Agriculture and seed industry","high","Entra por plataforma biologica de mejora genetica de cultivos con impacto material directo.","https://beamcroptech.com/en/home-en/","official_website","2026-04-20","Official site describes technologies to improve photosynthesis, yield and drought resilience in crops through advanced photobiology and biotechnology.","high","reviewed"
"beeflow","Beeflow","Beeflow combines crop science, bee biology, data analytics and proprietary bee-nutrition technologies to provide professional pollination services that improve fruit yield and quality. It belongs inside BIO VC LATAM as a biocentric ag-biologicals company: the product is not software alone, but managed biological pollination performance in specialty-crop production.","Pollination science and bee-biotechnology company for agriculture.","Pollination is inconsistent, climate-sensitive and often treated as an unmanaged input in fruit production.","Crop data, bee biology and proprietary nutritional technologies applied through professional pollination services.","fruit and specialty crop agriculture","high","Include as direct intervention on living pollination systems and crop resilience.","https://www.beeflow.com/about-us","official_website","2026-05-08","Official site describes a biotechnology company providing professional pollination services using crop data and proprietary bee nutritional technologies.","high","reviewed"
"bekeu","Bekeu","Plataforma para centralizar compras no estrategicas, proveedores y trazabilidad de compras corporativas. Queda afuera por ser software procurement horizontal sin señal material o bio-based.","Software de procurement para compras corporativas.","Friccion operativa en compras estandarizadas y no estrategicas.","Marketplace y software de compras con trazabilidad y aprobaciones.","Corporate procurement","low","Queda afuera por no mostrar acople a sistemas materiales, bio o regenerativos.","https://www.bekeu.com/","official_website","2026-04-20","Official site describes centralized procurement, suppliers and traceability for standardized purchases.","high","reviewed"
"betterfly","Betterfly","Plataforma de beneficios, proteccion y wellness para empleados. Queda afuera por ser software e insurtech horizontal sin señal material o bio-based clara.","Plataforma de beneficios y proteccion laboral.","Gestion de beneficios y bienestar corporativo.","Software de beneficios, seguros y personalizacion de cobertura.","HR and insurance markets","low","Queda afuera por falta de acople a materialidad, bioeconomia o sistemas regenerativos.","https://betterfly.com/en/about-betterfly/","official_website","2026-04-20","Official site describes personalized protection and benefits for employees.","high","reviewed"
"bioblends","BioBlends","Startup food-biotech que desarrolla bio-preservantes gaseosos naturales para controlar hongos y extender la vida util de alimentos sin aditivos quimicos. Entra en tesis por food biotech and novel ingredients.","Food preservation biotech for clean-label shelf-life extension.","Perdida de alimentos y contaminacion microbiologica en productos frescos y minimamente procesados.","Bio-preservantes gaseosos naturales para control de microorganismos contaminantes.","Food industry and fresh produce","high","Entra por intervencion biologica y material clara sobre desperdicio alimentario y preservacion natural.","https://cancilleria.gob.ar/en/new-technologies/next-form-argentine/bioblends","official_public_profile","2026-04-20","Official public export profile describes gas-based natural bio-preservatives that control fungi and extend shelf life without chemical additives.","high","reviewed"
"biocle","BioCl","Startup biotech que usa vesiculas bacterianas para mejorar delivery preciso en salud digestiva. Entra en tesis por therapeutics and regenerative medicine.","Bacterial vesicles for digestive health delivery.","Intervenciones poco precisas y menos efectivas en salud digestiva.","Uso de vesiculas bacterianas como sistema de entrega biologico.","Digestive health and therapeutics","high","Entra por plataforma terapeutica biologica, no por software.","https://www.gridexponential.com/portfolio","official_portfolio_profile","2026-04-20","GRIDX portfolio describes bacterial vesicles to transform digestive health through precise and effective delivery.","medium","reviewed"
"biodiversity_intelligence","Biodiversity Intelligence","Biodiversity Intelligence is a nature-measurement and reporting startup that combines environmental DNA and satellite technology to monitor biodiversity and generate decision-grade nature intelligence. Its role is not generic software: it creates auditable data about ecosystems, land stewardship and biodiversity condition for organizations managing productive territories or conservation assets. It belongs inside BIO VC LATAM as planetary-boundary infrastructure for biodiversity monitoring and nature accountability.","Nature measurement and biodiversity reporting platform.","Poor visibility into biodiversity loss and weak measurement of ecosystem condition in productive territories and conservation areas.","Environmental DNA, satellite analytics and biodiversity-monitoring workflows for nature measurement and reporting.","Nature reporting, conservation and land stewardship","high","Include as nature-measurement infrastructure for biodiversity and planetary-boundary stewardship, not horizontal software.","https://www.gridexponential.com/portfolio","official_portfolio_profile","2026-05-06","GRIDX portfolio says Biodiversity Intelligence measures and reports nature with DNA and satellite tech.","medium","reviewed"
"bioheuris","BioHeuris","Biotech agricola que desarrolla herramientas geneticas y traits editados para mejorar control de malezas y productividad de cultivos. Entra en tesis por ag biologicals and crop resilience.","Crop trait biotech for resilient agriculture.","Manejo de malezas costoso e insostenible en agricultura extensiva.","Gene editing y desarrollo de rasgos para tolerancia multiple a herbicidas y sistemas de cultivo mas eficientes.","Agriculture and seed industry","high","Entra por biotecnologia aplicada a productividad agricola y reduccion de presion quimica.","https://bioheuris.com/aboutus","official_website","2026-04-20","Official site describes biotech tools for weed control and crop production, including genome-edited crop solutions and partnerships with seed companies.","high","reviewed"
"bioplaster_research_inc","BioPlaster Research Inc","Empresa de biomateriales que transforma sargazo y otras biomasas marinas en empaques compostables, espumas y peliculas biodegradables. Entra en tesis por circular material systems.","Seaweed biomaterials and compostable packaging company.","Dependencia de plasticos de un solo uso y pasivos ambientales generados por el sargazo invasor.","Biorefinery y formulacion de biomateriales a partir de alginatos, celulosa y compuestos del sargazo.","Packaging, retail and protective materials","high","Entra por sustitucion material y regeneracion ecosistemica ligada al aprovechamiento de biomasa invasora.","https://www.bioplaster-research.com/english/about-us","official_website","2026-04-20","Official site describes compostable packaging and biomaterials made from invasive sargassum and other seaweed-derived compounds.","high","reviewed"
"botanical-solutions","Botanical Solutions","Chilean plant-biotechnology company developing botanical-origin active ingredients for crop protection and human-health applications. Its platform uses proprietary plant tissue culture to produce consistent raw materials without relying only on field-grown botanical extraction. It belongs inside BIO VC LATAM as a biobased active-ingredient and ag biologicals company, with relevance to crop resilience, natural product supply chains and plant-cell bioprocessing.","Botanical active ingredients from plant tissue culture.","Dependence on less sustainable botanical raw materials and crop-protection chemistries.","Proprietary plant tissue culture for consistent botanical raw materials and crop-protection active ingredients.","Agriculture, natural active ingredients and crop protection","high","Core include: plant biotechnology, botanical active ingredients and crop-resilience applications.","https://www.linkedin.com/company/botanical-solution","linkedin_company_profile","2026-05-06","LinkedIn describes Botanical Solutions as a Chilean biotech company using proprietary plant tissue culture technologies to create botanical-origin raw materials for crop protection and human health.","high","reviewed"
"bioplastix","Bioplastix","Startup climate-bio que desarrolla bioplasticos de alto desempeño mediante bacterias ingenierizadas, fermentacion de precision y feedstocks baratos o residuales. Entra en tesis por circular material systems.","Bioplastics production technology company.","Alto costo y bajo rendimiento de los bioplasticos frente a plasticos fosiles.","Ingenieria de cepas y fermentacion para producir biopolimeros a partir de azucares de bajo costo y residuos agroindustriales.","Petrochemicals, agribusiness and consumer goods","high","Entra por plataforma bioindustrial clara para sustituir plasticos fosiles.","https://bio-plastix.com/","official_website","2026-04-20","Official site describes engineered bacteria, precision fermentation and low-cost feedstocks to produce customizable bioplastics at scale.","high","reviewed"
"bioseek","Bioseek","Plataforma de semantic search y analitica para investigacion en life sciences. Entra en tesis como software cientifico acoplado de forma directa a I+D biologica.","Semantic search engine for life sciences.","Busqueda fragmentada e ineficiente de literatura, grants, patentes y entidades biologicas en investigacion.","Motor de busqueda semantico con base de datos en grafo y herramientas analiticas para investigadores en ciencias de la vida.","Biotech, pharma and research labs","medium","Entra por software especializado de infraestructura para investigacion biologica, no como software horizontal.","https://www.f6s.com/company/bioseek","secondary_public_profile","2026-04-20","Public profiles describe BioSeek as a specialized search engine and research environment for life sciences with semantic search and analytics.","medium","reviewed"
"biosynaptica","BioSynaptica","BioSynaptica is an Argentine biotechnology company developing innovative biopharmaceuticals for neurodegenerative diseases, with public evidence centered on a neuropharmaceutical based on human erythropoietin derivatives. The company belongs inside BIO VC LATAM as a therapeutic biotech case: its core is drug development for brain and nervous-system disease, not ag intelligence or generic life-science services.","Biopharmaceutical platform for neurodegenerative diseases.","Neurodegenerative diseases lack effective disease-modifying therapies and need new biopharmaceutical mechanisms.","Human erythropoietin derivative research and biopharmaceutical development for neuroprotection.","neurology, CNS therapeutics and pharmaceutical R&D","high","Include as core therapeutic biotechnology.","https://biosynaptica.com/","official_website","2026-05-08","Official site says BioSynaptica develops innovative biopharmaceuticals for neurodegenerative diseases and focuses on a neuropharmaceutical based on human erythropoietin derivatives.","high","reviewed"
"biotalife","Biotalife","Biotalife is a microbiome medtech company developing medical devices that naturally rebalance human microbiota, with an explicit focus on women's health conditions such as vaginal thrush, bacterial vaginosis and dryness. The company belongs inside BIO VC LATAM as microbiome-linked clinical device infrastructure: a health product acting on human microbial ecosystems, not generic wellness or agtech.","Microbiome medical devices for vaginal health.","Vaginal microbiota imbalance contributes to recurring health conditions and often lacks gentle, microbiome-preserving treatment options.","Medical devices designed to rebalance human microbiota naturally in women's health applications.","women's health, gynecology and microbiome care","high","Include as microbiome medtech / human health device.","https://www.biotalife.com/","official_website","2026-05-08","Official site describes medical devices that naturally balance human microbiota, particularly for vaginal thrush, bacterial vaginosis and dryness.","high","reviewed"
"bitgenia","Bitgenia","Empresa de genómica y bioinformática que ofrece análisis clínicos, paneles de genes, exoma/genoma y una plataforma propia para interpretación de datos. Entra en tesis por computational biology and scientific software.","Genomics and bioinformatics platform.","Diagnostico genómico lento, fragmentado y difícil de escalar clínicamente.","Procesamiento de datos genómicos, secuenciación y software propio para análisis e interpretación clínica.","Healthcare, hospitals, clinics, pharma and research labs","high","Entra por plataforma computacional directamente acoplada a genómica y medicina de precisión.","https://www.bitgenia.com/nosotros/","official_website","2026-04-20","Official site describes genomic analysis services and a proprietary bioinformatics platform for gene panels, exome and genome sequencing workflows.","high","reviewed"
"bleps_vision","Bleps Vision","Empresa de medtech que desarrolla un topografo corneal portatil para diagnostico visual y adaptacion de lentes de contacto. Entra en tesis por diagnostics and medtech.","Dispositivo portatil de salud visual para diagnostico corneal.","Acceso limitado a diagnostico visual especializado y equipamiento costoso.","Hardware portatil para topografia corneal y documentacion de afecciones corneales.","Eye care and optometry","high","Entra por herramienta medtech concreta, no por software horizontal.","https://blepsvision.com/en/","official_website","2026-04-20","Official site describes TOCO, a portable corneal topographer for diagnosis and contact lens fitting.","high","reviewed"
"break_pet","BreakPET","Startup de circularidad de materiales que recicla PET con enzimas ingenierizadas. Entra en tesis por biobased chemistry and advanced materials.","Enzymatic PET recycling platform.","Uso lineal de plasticos petroquimicos y baja circularidad del PET.","Enzimas ingenierizadas para reciclar PET y habilitar reuso circular.","Materials and circular packaging","high","Entra por transicion material clara desde plastico lineal a reutilizacion circular.","https://www.gridexponential.com/portfolio","official_portfolio_profile","2026-04-20","GRIDX portfolio describes recycling PET using engineered enzymes for circular plastic reuse.","medium","reviewed"
"bsafe_biotech","Bsafe Biotech","Startup de control biologico que busca un nuevo modo de accion para manejo de plagas usando genetica y microorganismos. Entra en tesis por ag biologicals and crop resilience.","Biological control company for agriculture.","Dependencia de control quimico de plagas y necesidad de soluciones mas seguras.","Uso de genetica y microorganismos para control biologico sostenible de plagas.","Agriculture","medium","Entra por control biologico agricola, aunque todavia conviene ampliar la evidencia tecnica publica.","https://www.bsafebiotech.com/","official_website","2026-04-20","Official site and public profiles describe a new frontier of biological control in agriculture using genetics and microorganisms.","medium","reviewed"
