"startup_id","startup_name","scope_decision","scope_status","macro_theme","emergent_theme","review_status","data_quality_score_10","quality_band","missing_signals","startup_summary_v1","business_one_liner","thesis_scope_note"
"splight","Splight","include","provisional","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","8.5","high","needs_current_trl_research","industrial biotech and biological tools para industrial biotech and research markets. Entra en tesis por biomanufacturing and bioindustrial platforms.","industrial biotech and biological tools para industrial biotech and research markets.","Entra en tesis por biomanufacturing and bioindustrial platforms."
"alkemio","Alkemio","include","provisional","climate, energy and resource systems","critical materials and resource systems","seeded","8","medium","needs_current_trl_research","sustainable rare earth refining para critical materials and industrial systems. Entra en tesis por climate, energy and resource systems.","sustainable rare earth refining para critical materials and industrial systems.","Entra en tesis por climate, energy and resource systems."
"cargo_sapiens","Cargo Sapiens","include","provisional","climate, energy and resource systems","climate and resource intelligence platforms","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","climate and resource intelligence para energy, water, carbon and infrastructure systems. Entra en tesis por climate, energy and resource systems.","climate and resource intelligence para energy, water, carbon and infrastructure systems.","Entra en tesis por climate, energy and resource systems."
"circclo","CIRCCLO","include","provisional","climate, energy and resource systems","circular material systems","seeded","8","medium","needs_current_trl_research","reusable packaging and circular economy infrastructure para consumer goods, food service and packaging. Entra en tesis por climate, energy and resource systems.","reusable packaging and circular economy infrastructure para consumer goods, food service and packaging.","Entra en tesis por climate, energy and resource systems."
"circular","Circular","include","provisional","climate, energy and resource systems","climate and resource intelligence platforms","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","climate and resource intelligence para energy, water, carbon and infrastructure systems. Entra en tesis por climate, energy and resource systems.","climate and resource intelligence para energy, water, carbon and infrastructure systems.","Entra en tesis por climate, energy and resource systems."
"clover","Clover","include","provisional","climate, energy and resource systems","climate and resource intelligence platforms","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","climate and resource intelligence para energy, water, carbon and infrastructure systems. Entra en tesis por climate, energy and resource systems.","climate and resource intelligence para energy, water, carbon and infrastructure systems.","Entra en tesis por climate, energy and resource systems."
"courageous_land","Courageous Land","include","provisional","climate, energy and resource systems","regenerative agroforestry and carbon systems","seeded","8","medium","needs_current_trl_research","regenerative agroforestry and carbon infrastructure para agriculture, carbon and ecosystem restoration. Entra en tesis por climate, energy and resource systems.","regenerative agroforestry and carbon infrastructure para agriculture, carbon and ecosystem restoration.","Entra en tesis por climate, energy and resource systems."
"endless","Endless","include","provisional","climate, energy and resource systems","climate and resource intelligence platforms","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","climate and resource intelligence para energy, water, carbon and infrastructure systems. Entra en tesis por climate, energy and resource systems.","climate and resource intelligence para energy, water, carbon and infrastructure systems.","Entra en tesis por climate, energy and resource systems."
"logshare","LogShare","include","provisional","climate, energy and resource systems","climate and resource intelligence platforms","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","climate and resource intelligence para energy, water, carbon and infrastructure systems. Entra en tesis por climate, energy and resource systems.","climate and resource intelligence para energy, water, carbon and infrastructure systems.","Entra en tesis por climate, energy and resource systems."
"nideport","Nideport","include","provisional","climate, energy and resource systems","nature restoration and carbon systems","seeded","7.5","medium","country_unconfirmed; needs_current_trl_research","nature based restoration and carbon platform para ecosystem restoration and carbon markets. Entra en tesis por climate, energy and resource systems.","nature based restoration and carbon platform para ecosystem restoration and carbon markets.","Entra en tesis por climate, energy and resource systems."
"solfium","Solfium","include","provisional","climate, energy and resource systems","climate and resource intelligence platforms","taxonomy_stub","7","medium","needs_current_trl_research; thin_graph_context; unclassified_sector","climate and resource intelligence para energy, water, carbon and infrastructure systems. Entra en tesis por climate, energy and resource systems.","climate and resource intelligence para energy, water, carbon and infrastructure systems.","Entra en tesis por climate, energy and resource systems."
"eolo_pharma","Eolo Pharma","include","provisional","computational biology and scientific software","computational biology and life-science software","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","computational biology and life-science software para biotech, pharma and research labs. Entra en tesis por computational biology and scientific software.","computational biology and life-science software para biotech, pharma and research labs.","Entra en tesis por computational biology and scientific software."
"galtec","Galtec Life","include","provisional","computational biology and scientific software","computational biology and life-science software","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","computational biology and life-science software para biotech, pharma and research labs. Entra en tesis por computational biology and scientific software.","computational biology and life-science software para biotech, pharma and research labs.","Entra en tesis por computational biology and scientific software."
"glycox","GlycoX","include","provisional","computational biology and scientific software","computational biology and life-science software","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","computational biology and life-science software para biotech, pharma and research labs. Entra en tesis por computational biology and scientific software.","computational biology and life-science software para biotech, pharma and research labs.","Entra en tesis por computational biology and scientific software."
"neocell","Neocell","include","provisional","computational biology and scientific software","computational biology and life-science software","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","computational biology and life-science software para biotech, pharma and research labs. Entra en tesis por computational biology and scientific software.","computational biology and life-science software para biotech, pharma and research labs.","Entra en tesis por computational biology and scientific software."
"nunatak_biotech","Nunatak Biotech","include","provisional","computational biology and scientific software","computational biology and life-science software","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","computational biology and life-science software para biotech, pharma and research labs. Entra en tesis por computational biology and scientific software.","computational biology and life-science software para biotech, pharma and research labs.","Entra en tesis por computational biology and scientific software."
"radbio","Radbio","include","provisional","computational biology and scientific software","computational biology and life-science software","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","computational biology and life-science software para biotech, pharma and research labs. Entra en tesis por computational biology and scientific software.","computational biology and life-science software para biotech, pharma and research labs.","Entra en tesis por computational biology and scientific software."
"spherebio","SphereBio","include","provisional","computational biology and scientific software","computational biology and life-science software","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","computational biology and life-science software para biotech, pharma and research labs. Entra en tesis por computational biology and scientific software.","computational biology and life-science software para biotech, pharma and research labs.","Entra en tesis por computational biology and scientific software."
"syocin_bio","Syocin Biotech","include","provisional","computational biology and scientific software","computational biology and life-science software","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","computational biology and life-science software para biotech, pharma and research labs. Entra en tesis por computational biology and scientific software.","computational biology and life-science software para biotech, pharma and research labs.","Entra en tesis por computational biology and scientific software."
"arcomed","Arcomed","include","provisional","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","health diagnostics and medtech para healthcare providers and labs. Entra en tesis por diagnostics and medtech.","health diagnostics and medtech para healthcare providers and labs.","Entra en tesis por diagnostics and medtech."
"crinsurance","CRInsurance","include","provisional","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","health diagnostics and medtech para healthcare providers and labs. Entra en tesis por diagnostics and medtech.","health diagnostics and medtech para healthcare providers and labs.","Entra en tesis por diagnostics and medtech."
"imvalv","Imvalv","include","provisional","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","health diagnostics and medtech para healthcare providers and labs. Entra en tesis por diagnostics and medtech.","health diagnostics and medtech para healthcare providers and labs.","Entra en tesis por diagnostics and medtech."
"inner_cosmos","Inner Cosmos","include","provisional","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","health diagnostics and medtech para healthcare providers and labs. Entra en tesis por diagnostics and medtech.","health diagnostics and medtech para healthcare providers and labs.","Entra en tesis por diagnostics and medtech."
"microgenesis","Microgenesis","include","provisional","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","8.5","high","needs_current_trl_research","health diagnostics and medtech para healthcare providers and labs. Entra en tesis por diagnostics and medtech.","health diagnostics and medtech para healthcare providers and labs.","Entra en tesis por diagnostics and medtech."
"mzp","MZP","include","provisional","diagnostics and medtech","health diagnostics and medtech","seeded","7.5","medium","country_unconfirmed; needs_current_trl_research","point of care coagulation diagnostics para healthcare providers and critical care. Entra en tesis por diagnostics and medtech.","point of care coagulation diagnostics para healthcare providers and critical care.","Entra en tesis por diagnostics and medtech."
"nanoingreen","Nanoingreen","include","provisional","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","8.5","high","needs_current_trl_research","health diagnostics and medtech para healthcare providers and labs. Entra en tesis por diagnostics and medtech.","health diagnostics and medtech para healthcare providers and labs.","Entra en tesis por diagnostics and medtech."
"nanotica","Nanotica","include","provisional","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","health diagnostics and medtech para healthcare providers and labs. Entra en tesis por diagnostics and medtech.","health diagnostics and medtech para healthcare providers and labs.","Entra en tesis por diagnostics and medtech."
"nanotransfer","Nanotransfer","include","provisional","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","health diagnostics and medtech para healthcare providers and labs. Entra en tesis por diagnostics and medtech.","health diagnostics and medtech para healthcare providers and labs.","Entra en tesis por diagnostics and medtech."
"qumir_nano","Qumir Nano","include","provisional","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","8.5","high","needs_current_trl_research","health diagnostics and medtech para healthcare providers and labs. Entra en tesis por diagnostics and medtech.","health diagnostics and medtech para healthcare providers and labs.","Entra en tesis por diagnostics and medtech."
"untech","UnTech","include","provisional","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","health diagnostics and medtech para healthcare providers and labs. Entra en tesis por diagnostics and medtech.","health diagnostics and medtech para healthcare providers and labs.","Entra en tesis por diagnostics and medtech."
"viewmind","ViewMind","include","provisional","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","health diagnostics and medtech para healthcare providers and labs. Entra en tesis por diagnostics and medtech.","health diagnostics and medtech para healthcare providers and labs.","Entra en tesis por diagnostics and medtech."
"cell_farm","Cell Farm","include","provisional","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","8.5","high","needs_current_trl_research","foodtech ingredients; alternative proteins para food and beverage. Entra en tesis por food biotech and novel ingredients.","foodtech ingredients; alternative proteins para food and beverage.","Entra en tesis por food biotech and novel ingredients."
"dymaxion_labs","Dymaxion Labs","include","provisional","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","foodtech ingredients; alternative proteins para food and beverage. Entra en tesis por food biotech and novel ingredients.","foodtech ingredients; alternative proteins para food and beverage.","Entra en tesis por food biotech and novel ingredients."
"ergo_bioscience","Ergo Bioscience","include","provisional","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","foodtech ingredients; alternative proteins para food and beverage. Entra en tesis por food biotech and novel ingredients.","foodtech ingredients; alternative proteins para food and beverage.","Entra en tesis por food biotech and novel ingredients."
"geoprot","Geoprot","include","provisional","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","foodtech ingredients; alternative proteins para food and beverage. Entra en tesis por food biotech and novel ingredients.","foodtech ingredients; alternative proteins para food and beverage.","Entra en tesis por food biotech and novel ingredients."
"inbioar","Inbioar","include","provisional","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","foodtech ingredients; alternative proteins para food and beverage. Entra en tesis por food biotech and novel ingredients.","foodtech ingredients; alternative proteins para food and beverage.","Entra en tesis por food biotech and novel ingredients."
"laurus","Laurus","include","provisional","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","foodtech ingredients; alternative proteins para food and beverage. Entra en tesis por food biotech and novel ingredients.","foodtech ingredients; alternative proteins para food and beverage.","Entra en tesis por food biotech and novel ingredients."
"mavios","Mavios","include","provisional","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","foodtech ingredients; alternative proteins para food and beverage. Entra en tesis por food biotech and novel ingredients.","foodtech ingredients; alternative proteins para food and beverage.","Entra en tesis por food biotech and novel ingredients."
"naturannova","Naturannova","include","provisional","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","foodtech ingredients; alternative proteins para food and beverage. Entra en tesis por food biotech and novel ingredients.","foodtech ingredients; alternative proteins para food and beverage.","Entra en tesis por food biotech and novel ingredients."
"plamic","Plamic","include","provisional","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","foodtech ingredients; alternative proteins para food and beverage. Entra en tesis por food biotech and novel ingredients.","foodtech ingredients; alternative proteins para food and beverage.","Entra en tesis por food biotech and novel ingredients."
"seedmatriz","SeedMatriz","include","provisional","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","8.5","high","needs_current_trl_research","foodtech ingredients; alternative proteins para food and beverage. Entra en tesis por food biotech and novel ingredients.","foodtech ingredients; alternative proteins para food and beverage.","Entra en tesis por food biotech and novel ingredients."
"sylvarum","Sylvarum","include","provisional","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","foodtech ingredients; alternative proteins para food and beverage. Entra en tesis por food biotech and novel ingredients.","foodtech ingredients; alternative proteins para food and beverage.","Entra en tesis por food biotech and novel ingredients."
"updairy","Updairy","include","provisional","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","foodtech ingredients; alternative proteins para food and beverage. Entra en tesis por food biotech and novel ingredients.","foodtech ingredients; alternative proteins para food and beverage.","Entra en tesis por food biotech and novel ingredients."
"aerialoop","Aerialoop","include","provisional","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub","7","medium","needs_current_trl_research; thin_graph_context; unclassified_sector","frontier hardware and space systems para aerospace, infrastructure and industrial markets. Entra en tesis por frontier hardware and infrastructure systems.","frontier hardware and space systems para aerospace, infrastructure and industrial markets.","Entra en tesis por frontier hardware and infrastructure systems."
"innova_space","Innova Space","include","provisional","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub","7","medium","needs_current_trl_research; thin_graph_context; unclassified_sector","frontier hardware and space systems para aerospace, infrastructure and industrial markets. Entra en tesis por frontier hardware and infrastructure systems.","frontier hardware and space systems para aerospace, infrastructure and industrial markets.","Entra en tesis por frontier hardware and infrastructure systems."
"lia_aeospace","LIA Aeospace","include","provisional","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub","7","medium","needs_current_trl_research; thin_graph_context; unclassified_sector","frontier hardware and space systems para aerospace, infrastructure and industrial markets. Entra en tesis por frontier hardware and infrastructure systems.","frontier hardware and space systems para aerospace, infrastructure and industrial markets.","Entra en tesis por frontier hardware and infrastructure systems."
"novo_space","NOVO SPACE","include","provisional","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub","7.5","medium","needs_current_trl_research; unclassified_sector","frontier hardware and space systems para aerospace, infrastructure and industrial markets. Entra en tesis por frontier hardware and infrastructure systems.","frontier hardware and space systems para aerospace, infrastructure and industrial markets.","Entra en tesis por frontier hardware and infrastructure systems."
"quantum_south","Quantum South","include","provisional","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub","7","medium","needs_current_trl_research; thin_graph_context; unclassified_sector","frontier hardware and space systems para aerospace, infrastructure and industrial markets. Entra en tesis por frontier hardware and infrastructure systems.","frontier hardware and space systems para aerospace, infrastructure and industrial markets.","Entra en tesis por frontier hardware and infrastructure systems."
"satellites_on_fire","Satellites on Fire","include","provisional","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub","7.5","medium","needs_current_trl_research; unclassified_sector","frontier hardware and space systems para aerospace, infrastructure and industrial markets. Entra en tesis por frontier hardware and infrastructure systems.","frontier hardware and space systems para aerospace, infrastructure and industrial markets.","Entra en tesis por frontier hardware and infrastructure systems."
"satellogic","Satellogic","include","provisional","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub","7.5","medium","needs_current_trl_research; unclassified_sector","frontier hardware and space systems para aerospace, infrastructure and industrial markets. Entra en tesis por frontier hardware and infrastructure systems.","frontier hardware and space systems para aerospace, infrastructure and industrial markets.","Entra en tesis por frontier hardware and infrastructure systems."
"skyloom","Skyloom","include","provisional","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub","7.5","medium","needs_current_trl_research; unclassified_sector","frontier hardware and space systems para aerospace, infrastructure and industrial markets. Entra en tesis por frontier hardware and infrastructure systems.","frontier hardware and space systems para aerospace, infrastructure and industrial markets.","Entra en tesis por frontier hardware and infrastructure systems."
"laurus_ag_tech","Laurus AG Tech","include","provisional","precision agriculture and resource intelligence","precision agriculture intelligence","taxonomy_stub","5","fragile","missing_country; missing_trl; thin_graph_context; unclassified_sector","precision agriculture software para agriculture. Entra en tesis por precision agriculture and resource intelligence.","precision agriculture software para agriculture.","Entra en tesis por precision agriculture and resource intelligence."
"alytix","Alytix","include","provisional","therapeutics and regenerative medicine","therapeutic and regenerative biology","seeded","7.5","medium","country_unconfirmed; needs_current_trl_research","therapeutic biotech and regenerative medicine para biotech and healthcare. Entra en tesis por therapeutics and regenerative medicine.","therapeutic biotech and regenerative medicine para biotech and healthcare.","Entra en tesis por therapeutics and regenerative medicine."
"circa_therapeutics","Circa Therapeutics","include","provisional","therapeutics and regenerative medicine","therapeutic and regenerative biology","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","therapeutic biotech and regenerative medicine para biotech and healthcare. Entra en tesis por therapeutics and regenerative medicine.","therapeutic biotech and regenerative medicine para biotech and healthcare.","Entra en tesis por therapeutics and regenerative medicine."
"ocular_bio_design","Ocular Bio Design","include","provisional","therapeutics and regenerative medicine","therapeutic and regenerative biology","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","therapeutic biotech and regenerative medicine para biotech and healthcare. Entra en tesis por therapeutics and regenerative medicine.","therapeutic biotech and regenerative medicine para biotech and healthcare.","Entra en tesis por therapeutics and regenerative medicine."
"onco_precision","Onco Precision","include","provisional","therapeutics and regenerative medicine","therapeutic and regenerative biology","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","therapeutic biotech and regenerative medicine para biotech and healthcare. Entra en tesis por therapeutics and regenerative medicine.","therapeutic biotech and regenerative medicine para biotech and healthcare.","Entra en tesis por therapeutics and regenerative medicine."
"pregen","PreGen","include","provisional","therapeutics and regenerative medicine","therapeutic and regenerative biology","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","therapeutic biotech and regenerative medicine para biotech and healthcare. Entra en tesis por therapeutics and regenerative medicine.","therapeutic biotech and regenerative medicine para biotech and healthcare.","Entra en tesis por therapeutics and regenerative medicine."
"scitherm_therapeutics","Scitherm Therapeutics","include","provisional","therapeutics and regenerative medicine","therapeutic and regenerative biology","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","therapeutic biotech and regenerative medicine para biotech and healthcare. Entra en tesis por therapeutics and regenerative medicine.","therapeutic biotech and regenerative medicine para biotech and healthcare.","Entra en tesis por therapeutics and regenerative medicine."
