"startup_id","startup_name","macro_theme","emergent_theme","review_status","candidate_source_url","candidate_description"
"viewmind","ViewMind","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","https://viewmind.ai","Diagnóstico precoz de enfermidades neurodexenerativas mediante o movemento ocular."
"cell_farm","Cell Farm","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","https://cellfarm.co","Primeira startup de agricultura celular en América Latina (carne cultivada)."
"dymaxion_labs","Dymaxion Labs","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","https://dymaxionlabs.com","Análise de imaxes de satélite mediante IA para infraestruturas e agricultura."
"ergo_bioscience","Ergo Bioscience","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","https://ergobioscience.com","Produción de proteínas animais en plantas mediante bioloxía sintética."
"geoprot","Geoprot","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","https://geoprot.bio","Biotecnoloxía para a protección de cultivos mediante proteínas naturais."
"laurus","Laurus","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","https://laurus.bio","Biotecnoloxía para o desenvolvemento de novos ingredientes naturais."
"mavios","Mavios","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","https://mavios.com","Tecnoloxía aplicada á xestión de activos e inventarios."
"plamic","Plamic","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","https://plamic.bio","Nanotecnoloxía para o control de pragas na agricultura."
"seedmatriz","SeedMatriz","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","https://seedmatriz.com","Tecnoloxía de recubrimento de sementes para mellorar o rendemento agrícola."
"sylvarum","Sylvarum","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","https://sylvarum.com","Electro-estimulación en plantas para optimizar o metabolismo e produtividade."
"updairy","Updairy","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","https://updairy.com","Produción de proteínas lácteas sen animais mediante fermentación."
