"fund_name","home_country","actor_type","latam_activity_level","geographic_focus","stage_focus","sector_focus","relevance","priority_tier","website_url","source_url","source_type","validation_status","notes"
"Albora","Colombia","corporate VC","recurrent LatAm focus","Latin America","early-stage","food; lipids; nutrition; foodtech","High","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","CVC of Alianza Team."
"Alquería-Pérgamo Ventures","Colombia","corporate VC","recurrent LatAm focus","Latin America","early-stage","fintech; agroindustry","High","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","CVC/venture vehicle linked to Alquería/PNS de Colombia."
"Amberes Ventures","Colombia","VC fund","recurrent LatAm focus","Latin America","seed","food and beverage","High","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","Seed fund focused on food & beverage startups."
"Arche","Argentina","capital solutions / strategic advisor","recurrent LatAm focus","Latin America","early-stage; deep tech","deep tech","High","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-argentina","directory/report","source-listed","Financial/strategic support for deep tech pioneers."
"Arpegio","Chile","VC fund","recurrent LatAm focus","Latin America","early-stage","agri-food tech","High","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-chile","directory/report","source-listed","Global early-stage technology active in Latin American agrifood."
"Bimbo Ventures","Mexico","corporate VC","recurrent LatAm focus","Latin America","early-stage","food; retail; sustainability","High","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Grupo Bimbo corporate innovation/venture arm."
"Bios Ventures","Colombia","corporate VC","recurrent LatAm focus","Latin America","early-stage","agroindustrial; animal nutrition; genetics; food; pets","High","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","CVC of Grupo BIOS."
"CEMEX Ventures","Mexico","corporate VC","recurrent LatAm focus","Latin America","early-stage; growth","climate; circular economy; construction materials; construction productivity","High","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Cemex strategic venture arm."
"CMI Ventures","Guatemala","corporate VC","recurrent LatAm focus","Latin America","early-stage","food; energy; retail; logistics; sustainability","High","2","","","directory/report","needs manual verification","CVC of Corporación Multi Inversiones; needs validation."
"CO_Capital","Mexico","impact VC fund","recurrent LatAm focus","Latin America","growth?","impact; poverty reduction; gender equality; climate; ag/ecosystems","High","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Impact-first fund around poverty, gender, climate and agriculture/ecosystems."
"DNA Capital","Brazil","VC/growth fund","recurrent LatAm focus","Latin America","growth; Series B+","healthcare; healthtech; life sciences","High","2","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Healthcare-focused growth/venture investor."
"Fondo Impacta","Colombia","impact VC fund","recurrent LatAm focus","Latin America","early-stage","green tech; climate tech; inclusion; education; financial services","High","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","Impact VC by Universidad EAN for Pacific Alliance markets."
"FrissOn Capital","Mexico / US","VC fund","recurrent LatAm focus","Latin America","early-stage","frontier tech; health; climate; infrastructure","High","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Backs frontier tech and LatAm outliers."
"Fundepar","Brazil","VC / university tech transfer fund","recurrent LatAm focus","Latin America","early-stage","science-based; university spinouts; technology","High","2","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","ABVCAP member; science/tech relevance."
"GEB Ventures","Colombia","corporate VC","recurrent LatAm focus","Latin America","scale-up","utilities; energy; Industry 4.0; sustainable mobility","High","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","Grupo Energía Bogotá venture arm."
"Impacta VC","Chile / US","impact VC fund","recurrent LatAm focus","Latin America","seed","SDG-aligned tech; impact","High","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-chile","directory/report","source-listed","Seed-stage US fund investing in LatAm SDG-aligned tech."
"Infinite Capital","Puerto Rico","VC fund","recurrent LatAm focus","Latin America","early to growth","web3; DeFi; AI; aerospace; autonomy; energy; satellites","High","2","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america","directory/report","source-listed","Deep tech / decentralized networks."
"Inndigo Ventures / ISA","Colombia","corporate VC","recurrent LatAm focus","Latin America","scale-up","energy; utilities; industrial tech; infrastructure","High","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","ISA-linked venture activity."
"Kayyak Ventures","Chile","VC fund","recurrent LatAm focus","Latin America","early-stage","social and environmental challenges; scalable tech","High","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-chile","directory/report","source-listed","Focused on scalable solutions for social/environmental challenges."
"KX Ventures","Brazil","corporate VC","recurrent LatAm focus","Latin America","early-stage","healthtech; biotech; healthcare; Kortex ecosystem","High","2","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","ABVCAP beginning manager; health/science angle."
"Lightrock","Global / Brazil","global growth/impact investor active in LatAm","recurrent/selective LatAm activity","LatAm + global","growth","sustainability; health; education; fintech; climate","High","2","","https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026","directory/report","source-listed","Growth investor listed in Brazil Series B+ ranking."
"Maiz Ventures","Argentina","VC fund","recurrent LatAm focus","Latin America","early-stage","climate change; health","High","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-argentina","directory/report","source-listed","Early-stage LatAm fund focused on climate and health."
"Mountain Partners LatAm","Chile / Switzerland?","VC fund","recurrent LatAm focus","Latin America","early-stage","climate tech; renewables; electromobility; sustainable agriculture","High","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-chile","directory/report","source-listed","Climate-tech focused across LatAm and US."
"New Ventures Capital","Mexico","impact fund manager","recurrent LatAm focus","Latin America","early-stage","impact; social/environmental gaps","High","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Emerging market impact fund manager."
"Savia Ventures","Chile","VC fund","recurrent LatAm focus","Latin America","early-stage","climate tech","High","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-chile","directory/report","source-listed","Empowers climate-tech entrepreneurs in LatAm."
"Spectra Investimentos","Brazil","alternative asset manager / VC FoF/co-investment","recurrent LatAm focus","Latin America","venture; growth; secondaries","VC; growth; biotech; mining; search funds","High","2","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Alternative manager with VC, co-investments and secondaries."
"Sudlich Capital","Chile","impact VC fund","recurrent LatAm focus","Latin America","early-stage","food; sustainable food; tech/science startups","High","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-chile","directory/report","source-listed","Impact fund for tech/science startups in Chile/LatAm."
"Sunna Ventures","Chile","VC fund","recurrent LatAm focus","Latin America","early-stage","climate tech","High","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-chile","directory/report","source-listed","Early-stage climate tech, LatAm and global."
"Ventures EPM","Colombia","corporate VC","recurrent LatAm focus","Latin America","early/growth","energy; water; telecom; solid waste; utilities","High","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","EPM venture program / funds."
"Andreessen Horowitz / a16z","United States","global VC with LatAm deals","recurrent/selective LatAm activity","LatAm + global","early to growth","software; crypto; fintech; AI; bio","High","3","","https://www.lavca.org/members/","directory/report","source-listed","Selective LatAm exposure; not LatAm-dedicated."
"BCR Innova","Argentina","corporate innovation / venture arm","recurrent LatAm focus","Latin America","early-stage","agtech; agribusiness; fintech; supply chain","High","3","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-argentina","directory/report","source-listed","Bolsa de Comercio de Rosario innovation arm; may not operate as traditional VC."
"Founders Fund","United States","global VC with LatAm deals","recurrent/selective LatAm activity","LatAm + global","early to growth","frontier tech; AI; sector-agnostic","High","3","","https://www.lavca.org/members/","directory/report","source-listed","Selective LatAm exposure."
"Grupo Alpina / Rockstart","Colombia","corporate-backed accelerator / VC","recurrent LatAm focus","Latin America","early-stage","food; agri; CPG; startup acceleration","High","3","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","Grupo Alpina partnership with Rockstart."
"IMPAQTO Capital","Ecuador","impact fund","recurrent LatAm focus","Latin America","early-stage","impact; Andean region; social/environmental","High","3","","https://impaqto.net/impaqto-capital-fund-i-superamos-nuestra-meta-y-abrimos-el-camino-para-un-impacto-transformador-en-la-region-andina/","directory/report","source-listed","Andean impact fund; smaller than classic VC."
"Khosla Ventures","United States","global VC with LatAm deals","recurrent/selective LatAm activity","LatAm + global","early to growth","deep tech; climate; AI; biotech","High","3","","https://www.lavca.org/members/","directory/report","source-listed","Selective global frontier-tech investor with LatAm exposure."
"Rural Ventures","Brazil","VC fund","recurrent LatAm focus","Latin America","seed; early-stage","rural/agri?","High","3","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Leaders League 2026 listed; likely rural/agri relevance."
"Tvalley","Colombia","investment platform","recurrent LatAm focus","Latin America","early-stage","green energy; utilities; tech; fintech","High","3","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","Investment and talent development platform."
"UTEC Ventures","Peru","incubator / accelerator / investor","recurrent LatAm focus","Latin America","early-stage","technology; science; engineering","High","3","","https://www.openvc.app/country/Peru","directory/report","source-listed","UTEC-linked incubator/accelerator."
"ALIVE Ventures","Colombia","impact VC fund","recurrent LatAm focus","Latin America","growth?","impact; low-income communities; social innovation","Medium","1","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","Acumen Latam Impact Ventures; Colombia/Peru focus."
"Angel Ventures","Mexico","VC fund","recurrent LatAm focus","Latin America","pre-seed; seed; Series A","logistics; fintech; proptech; foodtech; HR tech; Industry 4.0","Medium","1","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Early-stage to early-growth VC active across LatAm."
"Astella","Brazil","VC fund","recurrent LatAm focus","Latin America","pre-seed; seed; Series A","SaaS; e-commerce; marketplaces; AI/data","Medium","1","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Thesis-driven early-stage VC."
"Atlantico","Brazil","VC/growth fund","recurrent LatAm focus","Latin America","Series A+; growth","sector-agnostic; tech","Medium","1","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Brazil-based LatAm tech/growth fund."
"Cometa","Mexico","VC fund","recurrent LatAm focus","Latin America","early-stage","AI; fintech; marketplaces; enterprise; data-driven solutions","Medium","1","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Early-stage tech in Spanish-speaking markets."
"Fen Ventures","Chile","VC fund","recurrent LatAm focus","Latin America","pre-seed; seed; Series A","fintech; SaaS; sustainability","Medium","1","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-chile","directory/report","source-listed","Spanish-speaking LatAm early-stage VC, Brazil excluded."
"Flourish Ventures","United States","global VC active in LatAm","recurrent/selective LatAm activity","LatAm + global","early-stage; growth","fintech; financial health","Medium","1","","https://www.lavca.org/members/","directory/report","source-listed","Financial health/inclusion investor active in LatAm."
"Hi Ventures","Mexico","VC fund","recurrent LatAm focus","Latin America","pre-seed; seed; Series A","fintech; future of commerce; smart cities; foodtech; HR tech","Medium","1","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Early-stage VC backing LatAm startups with global ambitions."
"IGNIA","Mexico","VC fund","recurrent LatAm focus","Latin America","early-stage","solutions for fundamental problems in LatAm","Medium","1","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Early-stage firm addressing fundamental LatAm market problems."
"MatterScale","Colombia / US","VC fund","recurrent LatAm focus","Latin America","early-stage","education; health; real estate; financial services","Medium","1","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","Overlooked markets; services for the masses."
"NXTP","Argentina","VC fund","recurrent LatAm focus","Latin America","early-stage","B2B tech; enterprise software; AI/ML; cloud; security; fintech; logistics","Medium","1","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-argentina","directory/report","source-listed","Pan-LatAm early-stage B2B tech VC."
"Quona Capital","United States","global VC active in LatAm","recurrent/selective LatAm activity","LatAm + global","early-stage; growth","fintech; financial inclusion","Medium","1","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america","directory/report","source-listed","Strong emerging markets/LatAm fintech focus."
"Agunsa Lab","Chile","corporate VC","recurrent LatAm focus","Latin America","early-stage","logistics; ports; airports; containers","Medium","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-chile","directory/report","source-listed","Corporate venture arm of Agunsa Group."
"Alfa Indigo Ventures","Mexico","VC fund","recurrent LatAm focus","Latin America","early-stage","manufacturing tech; B2B enterprise","Medium","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Early-stage manufacturing tech and B2B enterprise."
"AMG Block","Mexico","VC fund","recurrent LatAm focus","Latin America","early-stage","fintech; blockchain","Medium","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Early-stage fintech and blockchain in Mexico/LatAm."
"Auteco Mobility CVC","Colombia","corporate VC","recurrent LatAm focus","Latin America","early/growth","mobility; micromobility; vehicle finance","Medium","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","Corporate venture activity in mobility across LatAm."
"Blue Mobility Ventures","Chile","VC fund","recurrent LatAm focus","Latin America","early-stage","mobility; transportation","Medium","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-chile","directory/report","source-listed","Mobility/transport VC with LatAm-Israel network."
"Blue Zone Ventures","Mexico","VC fund","recurrent LatAm focus","Latin America","pre-seed","healthcare; fintech; HR tech; B2B","Medium","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Pre-seed fund investing in B2B healthcare, fintech and HR tech."
"Capria Ventures","United States / Global South","global VC / fund-of-funds active in LatAm","recurrent/selective LatAm activity","LatAm + global","early/growth; funds","Global South; tech; impact","Medium","2","","https://www.lavca.org/members/","directory/report","source-listed","Global South VC platform with LatAm activity."
"Cencosud Ventures","Chile","corporate VC","recurrent LatAm focus","Latin America","early-stage","retail; e-commerce; fintech; logistics; supply chain","Medium","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-chile","directory/report","source-listed","Cencosud corporate venture unit."
"CompuSoluciones Ventures","Mexico","corporate VC","recurrent LatAm focus","Latin America","early-stage","B2B IT; cybersecurity; AI; IoT; cloud; marketplaces; e-commerce","Medium","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","CVC for early-stage LATAM B2B ICT startups."
"Elevar Equity","United States / Global South","impact VC active in LatAm","recurrent/selective LatAm activity","LatAm + global","growth","financial inclusion; low-income markets; essential services","Medium","2","","https://www.lavca.org/members/","directory/report","source-listed","Impact investor in underserved markets including LatAm."
"Falabella Ventures","Chile","corporate VC","recurrent LatAm focus","Latin America","early-stage","retail; financial services; marketplace; logistics","Medium","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-chile","directory/report","source-listed","Grupo Falabella corporate venture arm."
"FEMSA Ventures","Mexico","corporate VC","recurrent LatAm focus","Latin America","early-stage","beverage; retail; logistics; e-commerce; fintech","Medium","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","FEMSA-backed CVC."
"Impact Ventures PSM","Mexico","impact VC fund","recurrent LatAm focus","Latin America","early-stage","impact; underserved populations","Medium","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Impact investment team of Promotora Social México."
"Indicator Capital","Brazil","VC fund","recurrent LatAm focus","Latin America","early-stage","IoT; AI; digital transformation; enterprise tech","Medium","2","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Brazilian early-stage technology VC."
"Inversor","Colombia","impact investment manager","recurrent LatAm focus","Latin America","early/growth","impact; profitable models","Medium","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","Impact-positive asset management model."
"JEC Capital Group","Colombia","private investment fund","recurrent LatAm focus","Latin America","growth","high-growth sectors; transformative opportunities; LatAm","Medium","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","Founders of ERCO Energy among partners."
"K50 Ventures","United States","global VC active in LatAm","recurrent/selective LatAm activity","LatAm + global","pre-seed; seed","impact; fintech; health; work; access","Medium","2","","https://www.lavca.org/members/","directory/report","source-listed","Early-stage investor with LatAm/impact exposure."
"MatterScale Ventures","Argentina / Colombia / US","VC fund","recurrent LatAm focus","Latin America","early-stage","education; health; real estate; financial services","Medium","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-argentina","directory/report","source-listed","Services for the masses across overlooked markets."
"Murchison Ventures","Argentina","corporate VC","recurrent LatAm focus","Latin America","early-stage","logistics; port; trade; strategic adjacencies","Medium","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-argentina","directory/report","source-listed","Grupo Murchison CVC."
"Pant3ra Venture Fund","Mexico","VC fund","recurrent LatAm focus","Latin America","early-stage","mobility; logistics; e-commerce; fintech","Medium","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Mobility/logistics focus in Mexico, USA and LatAm."
"Proeza Ventures","Mexico / US","corporate-backed VC","recurrent LatAm focus","Latin America","early-stage","mobility; industrial tech; smart components; new vehicles; MaaS","Medium","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Early-stage mobility VC backed by Proeza Group."
"Sancor Seguros Ventures","Argentina","corporate VC","recurrent LatAm focus","Latin America","early-stage; global expansion","insurtech; fintech; healthtech; big data; IoT; blockchain; AI; robotics","Medium","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-argentina","directory/report","source-listed","CVC for disruptive technology startups."
"Tislion VC","Colombia","VC fund","recurrent LatAm focus","Latin America","early-stage","technology; social disruption; impact","Medium","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","Technology companies with impact/disruption focus."
"Belcorp Ventures","Peru","corporate VC","recurrent LatAm focus","Latin America","early-stage","beauty; consumer; wellness; commerce","Medium","3","","https://www.openvc.app/country/Peru","directory/report","source-listed","Belcorp-linked CVC; needs current validation."
"Bictia","Colombia","accelerator / angel investor","recurrent LatAm focus","Latin America","early-stage","technology; fourth industrial revolution","Medium","3","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","Accelerator and angel investor."
"Dalton LABS","Mexico","venture studio / investor","recurrent LatAm focus","Latin America","early-stage","mobility; real estate; fintech","Medium","3","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Venture studio creating, accelerating and investing."
"Elal Venture","Argentina","corporate VC / local VC","recurrent LatAm focus","Latin America","early-stage","industrial scalable innovation","Medium","3","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-argentina","directory/report","source-listed","Delsud group venture arm."
"Fir Capital","Brazil","VC/PE fund","recurrent LatAm focus","Latin America","early/growth","nascent and growing companies; tech","Medium","3","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","OpenVC and ABVCAP listed."
"Fundación Bancolombia","Colombia","impact investor / foundation","recurrent LatAm focus","Latin America","early-stage","impact; financial inclusion; social","Medium","3","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","Foundation/investor supporting impact ventures."
"Green Rock","Brazil","VC fund","recurrent LatAm focus","Latin America","Series A","sector-agnostic; sustainability?","Medium","3","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Listed by Leaders League 2026 Series A."
"Imagine Ventures","Chile","accelerator VC / fund","recurrent LatAm focus","Latin America","early-stage","productive; social; technological challenges","Medium","3","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-chile","directory/report","source-listed","Venture capital fund from Imagine accelerator."
"Movtech Capital","Mexico","corporate VC","recurrent LatAm focus","Latin America","early-stage","mobility; telematics","Medium","3","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","CVC of Encontrack."
"Organización Corona VC","Colombia","corporate VC","recurrent LatAm focus","Latin America","early-stage","construction; home; materials; retail; industrial","Medium","3","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","Corporate venture activity by Organización Corona."
