"investment_id","investor_id","raw_startup_id","normalized_startup_key","suggested_startup_id","source_file","relation_type_raw","recommended_action","notes"
"102","The Ganesha Lab","Luyef","luyef","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"176","DraperCygnus","Menta","menta","menta_tickets","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"e248","GridX","monte_caldera","montecaldera","monte-caldera-technology","latam_coinvest_network_v3.graphml","investment_or_membership","review_historical_edge","GraphML edge direction is not assumed canonical"
"e85","GridX","nano_jump","nanojump","nanojump_bio","latam_coinvest_network_v3.graphml","investment_or_membership","review_historical_edge","GraphML edge direction is not assumed canonical"
"51","GridX","Nanogrow","nanogrow","nanogrow_biotech","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"e90","GridX","naturanova","naturanova","","latam_coinvest_network_v3.graphml","investment_or_membership","review_historical_edge","GraphML edge direction is not assumed canonical"
"189","SOSV_IndieBio","Neptune Robotics","neptunerobotics","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"50","GridX","New Organs","neworgans","new_organs_biotech","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"148","DragonesVP","ngc Partners","ngcpartners","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"186","SOSV_IndieBio","NotCo","notco","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"180","DraperCygnus","Oasys","oasys","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"113","AIR Capital","Open Water","openwater","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"184","SOSV_IndieBio","Opentrons","opentrons","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"101","The Ganesha Lab","Pannex","pannex","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"149","DragonesVP","Peek","peek","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"187","SOSV_IndieBio","Prolific Machines","prolificmachines","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"111","The Ganesha Lab","Purple Dental","purpledental","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"109","The Ganesha Lab","Retidiag","retidiag","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"97","The Ganesha Lab","Risas Pendientes","risaspendientes","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"9","GridX","Scitherm","scitherm","scitherm_therapeutics","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"146","DragonesVP","Semtive","semtive","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"100","The Ganesha Lab","Smart Tissues","smarttissues","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"190","SOSV_IndieBio","Smartex","smartex","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"104","The Ganesha Lab","Soleit","soleit","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"88","The Ganesha Lab","Synergic Bio Solutions","synergicbiosolutions","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"e99","GridX","syocin_bio","syocinbio","syocin-biotech","latam_coinvest_network_v3.graphml","investment_or_membership","review_historical_edge","GraphML edge direction is not assumed canonical"
"e38","GridX","tomorrow","tomorrow","tomorrow_foods","latam_coinvest_network_v3.graphml","investment_or_membership","review_historical_edge","GraphML edge direction is not assumed canonical"
"83","The Ganesha Lab","Trears Biomarkers","trearsbiomarkers","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"150","DragonesVP","Unleash Immuno Oncolytics","unleashimmunooncolytics","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"188","SOSV_IndieBio","unSpun","unspun","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"91","The Ganesha Lab","Vali","vali","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
