"feature_profile","k","cluster_id","cluster_label","description","naming_status","startup_count","dominant_macro","top_tokens","representatives","avg_margin","low_confidence_count","review_fit_count","watch_fit_count","credibility_score"
"industry_heavy","5","cluster_5","food ingredients and biofactories","Food ingredients, fermentation and biofactory systems.","auto","39","food biotech and novel ingredients","ingredients; plant; biomaterials; chemistry; animal; replace; cells; aquaculture","Patagon Fiber; Levya; MicroTerra; Tomorrow Foods","21.2","1","1","0","97"
"technology_heavy","5","cluster_5","food ingredients and biofactories","Food ingredients, fermentation and biofactory systems.","auto","37","food biotech and novel ingredients","ingredients; plant; compounds; aquaculture; chemistry; biomaterials; animal; cosmetics","Tomorrow Foods; GlycoX; Cellva; Nude","19.5","4","4","0","89"
"balanced","5","cluster_5","biobased chemistry and circular materials","Biomaterials and circular chemistry based on biological inputs.","auto","36","biobased chemistry and advanced materials","ingredients; biomaterials; plant; chemistry; aquaculture; replace; compounds; animal","Patagon Fiber; Cellva; Levya; MicroTerra","22.1","0","0","0","100"
"balanced","5","cluster_4","grain traceability and producer infrastructure","Digital infrastructure for traceability, seeds, grains, growers and commercial coordination across agri-food chains.","auto","31","climate, energy and resource systems","growers; credit; traceability; risk; agro; digital; producer; access","Traive; Agrotoken; Agricapital; Agrojusto","23.6","1","1","0","97"
"industry_heavy","5","cluster_4","grain traceability and producer infrastructure","Digital infrastructure for traceability, seeds, grains, growers and commercial coordination across agri-food chains.","auto","26","climate, energy and resource systems","credit; risk; carbon; agro; growers; digital; workflows; rural","Traive; Verqor; Agrolend; Agricapital","20.7","0","0","0","100"
"industry_heavy","6","cluster_1","therapeutics and regenerative bio","Therapeutics, biological delivery and regenerative medicine.","auto","93","therapeutics and regenerative medicine","diagnostics; therapeutics; cells; tissue; medicine; treatment; regenerative; medtech","Samay; Radbio; Gisens Biotech; Oncoliq","17.3","9","9","0","90"
"technology_heavy","6","cluster_1","clinical diagnostics and medical devices","Diagnostics, detection and clinical devices.","auto","87","diagnostics and medtech","diagnostics; therapeutics; cells; medicine; tissue; public; medtech; drug","Samay; ZEV Biotech; Limay Biosciences; Caspr Biotech","14.5","10","10","0","89"
"balanced","6","cluster_1","therapeutics and regenerative bio","Therapeutics, biological delivery and regenerative medicine.","auto","82","therapeutics and regenerative medicine","therapeutics; diagnostics; cells; medicine; tissue; drug; disease; regenerative","Radbio; OMICS; Exomas; Libera","13.4","4","4","0","95"
"balanced","6","cluster_3","resource recovery and remediation","Material recovery, loop closure and remediation.","auto","75","climate, energy and resource systems","crop; climate; carbon; monitoring; biological; soil; resilience; plant","Infira; Promip; Nunatak Biotech; Semion","16.7","2","2","0","97"
"technology_heavy","6","cluster_3","ag biologicals and crop resilience","Biological inputs and productive resilience for agricultural systems.","auto","61","ag biologicals and crop resilience","crop; carbon; monitoring; climate; biological; resilience; nature; biologicals","Semion; Infira; Promip; Nunatak Biotech","17.7","2","2","0","97"
"industry_heavy","6","cluster_3","agri intelligence and traceable markets","Agronomic decisioning, traceability and material coordination of agri-food chains.","auto","60","ag biologicals and crop resilience","crop; biological; monitoring; climate; precision; biologicals; plant; resilience","Infira; Arakion; Neocrop Technologies; Promip","20.3","4","4","0","93"
"technology_heavy","6","cluster_2","agri intelligence and traceable markets","Agronomic decisioning, traceability and material coordination of agri-food chains.","auto","49","precision agriculture and resource intelligence","proteins; data; animal; cells; dairy; agtech; ingredients; biotechnology","@Tech; Biolinker Synthetic Biology; Dymaxion Labs; Future Cow","13.6","6","6","0","88"
"industry_heavy","6","cluster_2","food ingredients and biofactories","Food ingredients, fermentation and biofactory systems.","auto","45","food biotech and novel ingredients","proteins; animal; cells; agtech; data; traceability; growers; dairy","@Tech; Eirú; Agroforte; Tracestory","16","4","4","0","91"
"balanced","6","cluster_2","agri intelligence and traceable markets","Agronomic decisioning, traceability and material coordination of agri-food chains.","auto","44","precision agriculture and resource intelligence","proteins; data; cells; agtech; animal; dairy; precision; ingredients","@Tech; Eiwa; JetBov; Eirú","15.4","5","5","0","89"
"technology_heavy","6","cluster_4","grain traceability and producer infrastructure","Digital infrastructure for traceability, seeds, grains, growers and commercial coordination across agri-food chains.","auto","41","climate, energy and resource systems","traceability; growers; credit; risk; intelligence; digital; agro; public","Tracestory; Traive; Agrojusto; MUTA","19.5","2","2","0","95"
"industry_heavy","6","cluster_4","resource recovery and remediation","Material recovery, loop closure and remediation.","auto","41","climate, energy and resource systems","carbon; nature; credit; biodiversity; intelligence; risk; restoration; satellite","Nideport; Carbonext; Ruuts; re.green","21.6","2","2","0","95"
"industry_heavy","6","cluster_5","animal protein and fermentation systems","Animal protein, fermentation, alternative dairy and bioprocesses connected to food or animal health.","auto","32","food biotech and novel ingredients","ingredients; plant; animal; biomaterials; chemistry; cells; aquaculture; waste","MicroTerra; Levya; algaebio+; Tomorrow Foods","21.1","1","1","0","97"
"balanced","6","cluster_5","food ingredients and biofactories","Food ingredients, fermentation and biofactory systems.","auto","31","food biotech and novel ingredients","ingredients; biomaterials; plant; aquaculture; compounds; chemistry; animal; waste","Cellva; MicroTerra; Tomorrow Foods; GlycoX","21.8","0","0","0","100"
"balanced","6","cluster_4","grain traceability and producer infrastructure","Digital infrastructure for traceability, seeds, grains, growers and commercial coordination across agri-food chains.","auto","31","climate, energy and resource systems","growers; credit; risk; traceability; digital; agro; producer; rural","Traive; Agricapital; Agrotoken; Agrojusto","24","0","0","0","100"
"technology_heavy","6","cluster_5","food ingredients and biofactories","Food ingredients, fermentation and biofactory systems.","auto","30","food biotech and novel ingredients","ingredients; plant; aquaculture; compounds; animal; peces; nanotechnology; fungi","Tomorrow Foods; GlycoX; Cellva; MicroTerra","22.3","1","1","0","97"
"balanced","6","cluster_6","clinical diagnostics and medical devices","Diagnostics, detection and clinical devices.","auto","20","diagnostics and medtech","medtech; diagnostics; human; critical; biomaterials; replace; public; energy","Tell; Bleps Vision; Arcomed; Samay","25.4","1","1","0","95"
"technology_heavy","6","cluster_6","biobased chemistry and circular materials","Biomaterials and circular chemistry based on biological inputs.","auto","15","biobased chemistry and advanced materials","chemistry; biomaterials; therapeutics; replace; medtech; energy; critical; waste","Eywa Biotech; Alkemio; Patagon Fiber; POLYMERA","27.4","0","0","0","100"
"industry_heavy","6","cluster_6","climate and resource intelligence platforms","Software coupled to physical systems for energy, resources and decarbonization.","auto","12","climate, energy and resource systems","energy; planetary; medtech; critical; should; resilience; perimeter; intelligence","Alkemio; Arcomed; BioMetallum; Monte Caldera Technology","29","0","0","0","100"
"industry_heavy","7","cluster_1","therapeutics and regenerative bio","Therapeutics, biological delivery and regenerative medicine.","auto","82","therapeutics and regenerative medicine","diagnostics; therapeutics; cells; medicine; tissue; treatment; medtech; regenerative","Samay; Radbio; Gisens Biotech; Oncoliq","20","4","4","0","95"
"technology_heavy","7","cluster_1","clinical diagnostics and bioinstrumentation","Diagnostics, detection, bioinstrumentation and clinical devices for health or biological analysis.","curated","76","diagnostics and medtech","diagnostics; therapeutics; cells; public; medtech; drug; disease; treatment","Samay; ZEV Biotech; Limay Biosciences; Caspr Biotech","17.1","6","30","1","70"
"balanced","7","cluster_3","resource recovery and remediation","Material recovery, loop closure and remediation.","auto","70","climate, energy and resource systems","crop; carbon; climate; monitoring; biological; soil; resilience; nature","Infira; Promip; Neocrop Technologies; Semion","17.3","0","0","0","100"
"balanced","7","cluster_1","therapeutics and regenerative bio","Therapeutics, biological delivery and regenerative medicine.","auto","69","therapeutics and regenerative medicine","therapeutics; diagnostics; cells; disease; medicine; drug; cancer; biotechnology","Radbio; Libera; Scitherm Therapeutics; Exomas","15.8","0","0","0","100"
"technology_heavy","7","cluster_3","agri intelligence and crop systems","Agronomic intelligence, crop decisioning, biological application and data systems for agriculture.","curated","64","climate, energy and resource systems","crop; biological; monitoring; carbon; nature; biologicals; soil; satellite","Promip; Semion; Infira; Nunatak Biotech","16.8","4","22","1","74"
"industry_heavy","7","cluster_3","crop biologicals and grower resilience","Biological inputs, biocontrol and crop-resilience technologies applied directly to growers and agricultural systems.","auto","57","ag biologicals and crop resilience","crop; biological; monitoring; biologicals; precision; plant; resilience; climate","Infira; Arakion; Neocrop Technologies; Promip","20.4","4","4","0","93"
"technology_heavy","7","cluster_2","regenerative bio and bioactive platforms","Regenerative biology, tissue engineering and bioactive products across health, food, cosmetics or biomaterials.","curated","46","precision agriculture and resource intelligence","data; proteins; animal; dairy; agtech; risk; climate; water","@Tech; Dymaxion Labs; Eiwa; Leaf","13.1","6","22","0","63"
"industry_heavy","7","cluster_2","agri intelligence and traceable markets","Agronomic decisioning, traceability and material coordination of agri-food chains.","auto","43","precision agriculture and resource intelligence","proteins; animal; agtech; dairy; traceability; growers; data; intelligence","@Tech; Eirú; JetBov; Tracestory","16.7","9","9","0","79"
"balanced","7","cluster_2","agri intelligence and traceable markets","Agronomic decisioning, traceability and material coordination of agri-food chains.","auto","42","precision agriculture and resource intelligence","proteins; data; agtech; animal; dairy; cells; seed; precision","Eiwa; @Tech; JetBov; Eirú","15.5","6","6","0","86"
"industry_heavy","7","cluster_4","resource recovery and remediation","Material recovery, loop closure and remediation.","auto","35","climate, energy and resource systems","carbon; nature; credit; biodiversity; restoration; satellite; risk; intelligence","Nideport; Carbonext; Ruuts; re.green","24.2","2","2","0","94"
"industry_heavy","7","cluster_5","food ingredients and biofactories","Food ingredients, fermentation and biofactory systems.","auto","32","food biotech and novel ingredients","ingredients; plant; cells; proteins; animal; precisionfermentation; fermentation; aquaculture","MicroTerra; Cellva; Tomorrow Foods; GlycoX","22.8","3","3","0","91"
"balanced","7","cluster_5","food ingredients and biofactories","Food ingredients, fermentation and biofactory systems.","auto","30","food biotech and novel ingredients","ingredients; plant; aquaculture; compounds; animal; proteins; cosmetics; applications","MicroTerra; Tomorrow Foods; Cellva; GlycoX","24.4","0","0","0","100"
"technology_heavy","7","cluster_5","bio-process and resource optimization","Optimization platforms for bioprocesses, pollination, energy, cold chains, logistics or resource-intensive operating systems.","curated","29","food biotech and novel ingredients","ingredients; plant; compounds; aquaculture; animal; peces; nanotechnology; crop","Tomorrow Foods; GlycoX; Cellva; MicroTerra","23.7","2","19","1","51"
"balanced","7","cluster_4","grain traceability and producer infrastructure","Digital infrastructure for traceability, seeds, grains, growers and commercial coordination across agri-food chains.","auto","28","climate, energy and resource systems","credit; risk; growers; agro; traceability; digital; producer; access","Traive; Agricapital; Agrotoken; Agrojusto","24.7","0","0","0","100"
"technology_heavy","7","cluster_4","traceable agri-food and circular supply chains","Traceability, producer infrastructure and circular supply-chain coordination for agri-food and material flows.","curated","28","climate, energy and resource systems","growers; agro; energy; digital; traceability; public; agtech; producer","Agrired; MUTA; Agrojusto; LogShare","17","2","7","2","79"
"technology_heavy","7","cluster_7","food ingredients and fermentation platforms","Food ingredients, fermentation, proteins, functional formulations and biofactory-enabled food systems.","curated","25","biobased chemistry and advanced materials","cells; tissue; ingredients; enzymes; wound; proteins; biomaterials; plant","APEXzymes; Ocular Bio Design; BioPlaster Research Inc; Synthetic Ocular Restoration","23.3","1","5","2","83"
"balanced","7","cluster_7","biomanufacturing and molecular platforms","Biological production and enabling molecular tools.","auto","23","biomanufacturing and bioindustrial platforms","tissue; manufacturing; enzymes; cells; wound; biomaterials; precision; biomanufacturing","Enzyva; APEXzymes; Cell Farm; BioPlaster Research Inc","21.6","1","1","0","96"
"industry_heavy","7","cluster_7","biobased chemistry and circular materials","Biomaterials and circular chemistry based on biological inputs.","auto","22","biobased chemistry and advanced materials","biomaterials; waste; manufacturing; enzymes; procesos; plastics; packaging; organic","BioPlaster Research Inc; BioPlaster Research; Patagon Fiber; Mycorium Biotech","25.3","1","1","0","95"
"balanced","7","cluster_6","clinical diagnostics and medical devices","Diagnostics, detection and clinical devices.","auto","21","diagnostics and medtech","medtech; diagnostics; biomaterials; human; critical; replace; public; energy","Tell; Bleps Vision; Arcomed; Samay","23.6","2","2","0","90"
"technology_heavy","7","cluster_6","biobased chemistry and molecular materials","Biobased chemistry, biomaterials, molecular manufacturing and circular material substitution.","curated","15","biobased chemistry and advanced materials","biomaterials; chemistry; therapeutics; medtech; energy; critical; waste; toxic","Eywa Biotech; Alkemio; Patagon Fiber; POLYMERA","26.4","0","5","0","77"
"industry_heavy","7","cluster_6","climate and resource intelligence platforms","Software coupled to physical systems for energy, resources and decarbonization.","auto","12","climate, energy and resource systems","energy; planetary; medtech; critical; should; resilience; perimeter; intelligence","Alkemio; Arcomed; BioMetallum; Monte Caldera Technology","28.2","0","0","0","100"
"technology_heavy","8","cluster_3","resource recovery and remediation","Material recovery, loop closure and remediation.","auto","64","climate, energy and resource systems","crop; biological; monitoring; carbon; nature; biologicals; soil; satellite","Promip; Infira; Semion; Nunatak Biotech","16.6","4","4","0","94"
"balanced","8","cluster_3","resource recovery and remediation","Material recovery, loop closure and remediation.","auto","63","climate, energy and resource systems","crop; carbon; monitoring; climate; biological; soil; resilience; nature","Infira; Promip; Neocrop Technologies; Nunatak Biotech","17.5","4","4","0","94"
"technology_heavy","8","cluster_1","clinical diagnostics and medical devices","Diagnostics, detection and clinical devices.","auto","59","diagnostics and medtech","diagnostics; medtech; drug; therapeutics; public; molecular; treatment; human","ZEV Biotech; Limay Biosciences; Samay; Caspr Biotech","17","6","6","0","90"
"industry_heavy","8","cluster_3","ag biologicals and crop resilience","Biological inputs and productive resilience for agricultural systems.","auto","58","ag biologicals and crop resilience","crop; monitoring; biological; biologicals; plant; climate; soil; resilience","Infira; Arakion; Neocrop Technologies; Promip","19.2","7","7","0","88"
"industry_heavy","8","cluster_1","therapeutics and regenerative bio","Therapeutics, biological delivery and regenerative medicine.","auto","56","therapeutics and regenerative medicine","therapeutics; tissue; diagnostics; treatment; medicine; regenerative; medtech; human","Libera; Radbio; Momentum Therapeutics; Dogma Biotech","16.6","8","8","0","86"
"technology_heavy","8","cluster_2","agri intelligence and traceable markets","Agronomic decisioning, traceability and material coordination of agri-food chains.","auto","43","precision agriculture and resource intelligence","data; proteins; animal; dairy; agtech; risk; climate; water","Dymaxion Labs; Eiwa; @Tech; Leaf","14.4","4","4","0","91"
"balanced","8","cluster_2","agri intelligence and traceable markets","Agronomic decisioning, traceability and material coordination of agri-food chains.","auto","43","precision agriculture and resource intelligence","data; agtech; animal; proteins; intelligence; dairy; precision; crop","Eiwa; @Tech; Dymaxion Labs; JetBov","15.7","7","7","0","84"
"balanced","8","cluster_1","therapeutics and regenerative bio","Therapeutics, biological delivery and regenerative medicine.","auto","43","therapeutics and regenerative medicine","therapeutics; drug; biotechnology; treatment; public; medicine; human; discovery","Momentum Therapeutics; Ardan; Dogma Biotech; Scitherm Therapeutics","12.6","4","4","0","91"
"industry_heavy","8","cluster_2","agri intelligence and traceable markets","Agronomic decisioning, traceability and material coordination of agri-food chains.","auto","39","precision agriculture and resource intelligence","animal; agtech; data; growers; dairy; traceability; proteins; intelligence","@Tech; Eirú; JetBov; Eiwa","17.5","7","7","0","82"
"balanced","8","cluster_8","molecular diagnostics and genomics","Molecular diagnostics, genomics, detection and analytical platforms based on biological data.","auto","36","diagnostics and medtech","cells; diagnostics; therapeutics; cancer; proteins; molecular; disease; blood","Delee; Ayuvant; Circa Therapeutics; ZEV Biotech","19.3","3","3","0","92"
"industry_heavy","8","cluster_8","clinical diagnostics and medical devices","Diagnostics, detection and clinical devices.","auto","34","diagnostics and medtech","cells; diagnostics; molecular; cancer; blood; therapy; detection; therapeutics","Oncoliq; Gisens Biotech; Enteria; ZEV Biotech","25.2","3","3","0","91"
"industry_heavy","8","cluster_5","food ingredients and biofactories","Food ingredients, fermentation and biofactory systems.","auto","32","food biotech and novel ingredients","ingredients; plant; proteins; animal; cells; precisionfermentation; fermentation; aquaculture","MicroTerra; Cellva; Tomorrow Foods; GlycoX","23.7","1","1","0","97"
"technology_heavy","8","cluster_5","food ingredients and biofactories","Food ingredients, fermentation and biofactory systems.","auto","29","food biotech and novel ingredients","ingredients; plant; aquaculture; compounds; crop; applications; animal; peces","Tomorrow Foods; GlycoX; Cellva; MicroTerra","23.8","2","2","0","93"
"balanced","8","cluster_5","food ingredients and biofactories","Food ingredients, fermentation and biofactory systems.","auto","29","food biotech and novel ingredients","ingredients; plant; aquaculture; animal; compounds; cosmetics; replace; proteins","MicroTerra; Cellva; Tomorrow Foods; GlycoX","24","0","0","0","100"
"industry_heavy","8","cluster_4","grain traceability and producer infrastructure","Digital infrastructure for traceability, seeds, grains, growers and commercial coordination across agri-food chains.","auto","29","climate, energy and resource systems","carbon; credit; nature; risk; restoration; biodiversity; rural; growers","Nideport; Carbonext; re.green; Agrolend","24.4","2","2","0","93"
"technology_heavy","8","cluster_4","grain traceability and producer infrastructure","Digital infrastructure for traceability, seeds, grains, growers and commercial coordination across agri-food chains.","auto","28","climate, energy and resource systems","energy; agro; intelligence; traceability; public; growers; agtech; producer","Agrired; MUTA; LogShare; Sioma","16.5","2","2","0","93"
"balanced","8","cluster_7","biobased chemistry and circular materials","Biomaterials and circular chemistry based on biological inputs.","auto","26","biobased chemistry and advanced materials","biomaterials; tissue; wound; fermentation; enzymes; replace; precision; circular","Patagon Fiber; BioPlaster Research Inc; Mycorium Biotech; APEXzymes","23.7","1","1","0","96"
"balanced","8","cluster_4","grain traceability and producer infrastructure","Digital infrastructure for traceability, seeds, grains, growers and commercial coordination across agri-food chains.","auto","25","climate, energy and resource systems","growers; credit; traceability; digital; agro; risk; access; producer","Traive; Agrotoken; Agrojusto; Tracestory","25.9","0","0","0","100"
"industry_heavy","8","cluster_7","biobased chemistry and circular materials","Biomaterials and circular chemistry based on biological inputs.","auto","23","biobased chemistry and advanced materials","biomaterials; waste; manufacturing; enzymes; proteins; packaging; circular; biomanufacturing","BioPlaster Research Inc; Patagon Fiber; Mycorium Biotech; BreakPET","24.1","1","1","0","96"
"technology_heavy","8","cluster_7","cell protein and biofactory platforms","Cell, protein, enzyme and biofactory platforms that support biological production across food, therapeutics or industrial biotech.","auto","23","biobased chemistry and advanced materials","tissue; enzymes; wound; biomaterials; repair; regenerative; ingredients; precision","APEXzymes; Ocular Bio Design; BioPlaster Research Inc; Synthetic Ocular Restoration","23.3","1","1","0","96"
"technology_heavy","8","cluster_8","therapeutics and regenerative bio","Therapeutics, biological delivery and regenerative medicine.","auto","22","therapeutics and regenerative medicine","cells; therapeutics; proteins; cancer; therapy; disease; biotechnology; regenerative","Ayuvant; OMICS; HeXemBio; Mesenchyal-T","26.2","0","0","0","100"
"balanced","8","cluster_6","clinical diagnostics and medical devices","Diagnostics, detection and clinical devices.","auto","18","diagnostics and medtech","medtech; diagnostics; human; critical; public; device; valve; treatment","Tell; Bleps Vision; Samay; Embryoxite","28","2","2","0","89"
"technology_heavy","8","cluster_6","biobased chemistry and circular materials","Biomaterials and circular chemistry based on biological inputs.","auto","15","biobased chemistry and advanced materials","chemistry; biomaterials; therapeutics; replace; medtech; energy; critical; waste","Eywa Biotech; Alkemio; Patagon Fiber; POLYMERA","24.3","0","0","0","100"
"industry_heavy","8","cluster_6","climate and resource intelligence platforms","Software coupled to physical systems for energy, resources and decarbonization.","auto","12","climate, energy and resource systems","energy; planetary; medtech; critical; should; resilience; perimeter; intelligence","Alkemio; Arcomed; BioMetallum; Monte Caldera Technology","28.1","0","0","0","100"
"technology_heavy","9","cluster_3","resource recovery and remediation","Material recovery, loop closure and remediation.","auto","62","climate, energy and resource systems","crop; biological; carbon; monitoring; nature; satellite; climate; biologicals","Promip; Infira; Semion; Nunatak Biotech","16.7","6","6","0","90"
"industry_heavy","9","cluster_1","therapeutics and regenerative bio","Therapeutics, biological delivery and regenerative medicine.","auto","60","therapeutics and regenerative medicine","therapeutics; diagnostics; tissue; medicine; treatment; medtech; regenerative; drug","Radbio; Libera; Samay; Dogma Biotech","16.1","12","12","0","80"
"industry_heavy","9","cluster_3","crop biologicals and grower resilience","Biological inputs, biocontrol and crop-resilience technologies applied directly to growers and agricultural systems.","auto","59","ag biologicals and crop resilience","crop; monitoring; climate; biological; resilience; precision; biologicals; plant","Infira; Arakion; Neocrop Technologies; Syocin Biotech","19.4","7","7","0","88"
"balanced","9","cluster_3","resource recovery and remediation","Material recovery, loop closure and remediation.","auto","59","climate, energy and resource systems","crop; carbon; monitoring; climate; biological; resilience; soil; biologicals","Infira; Promip; Neocrop Technologies; Semion","17.3","3","3","0","95"
"technology_heavy","9","cluster_1","clinical diagnostics and medical devices","Diagnostics, detection and clinical devices.","auto","55","diagnostics and medtech","diagnostics; medtech; drug; therapeutics; molecular; treatment; public; human","ZEV Biotech; Limay Biosciences; Samay; Caspr Biotech","18.1","6","6","0","89"
"balanced","9","cluster_2","agri intelligence and traceable markets","Agronomic decisioning, traceability and material coordination of agri-food chains.","auto","43","precision agriculture and resource intelligence","data; agtech; animal; proteins; precision; intelligence; dairy; crop","Eiwa; @Tech; Dymaxion Labs; JetBov","15.1","5","5","0","88"
"balanced","9","cluster_1","therapeutics and regenerative bio","Therapeutics, biological delivery and regenerative medicine.","auto","42","therapeutics and regenerative medicine","therapeutics; drug; treatment; public; medicine; biotechnology; human; evidence","Momentum Therapeutics; Radbio; Scitherm Therapeutics; Dogma Biotech","13.9","6","6","0","86"
"technology_heavy","9","cluster_2","agri intelligence and traceable markets","Agronomic decisioning, traceability and material coordination of agri-food chains.","auto","41","precision agriculture and resource intelligence","data; proteins; animal; dairy; agtech; risk; intelligence; climate","Dymaxion Labs; Eiwa; @Tech; Leaf","14.9","3","3","0","93"
"industry_heavy","9","cluster_2","agri intelligence and traceable markets","Agronomic decisioning, traceability and material coordination of agri-food chains.","auto","35","precision agriculture and resource intelligence","animal; proteins; dairy; data; agtech; growers; traceability; than","@Tech; Tracestory; Agroforte; ZoomAgri","18.6","1","1","0","97"
"balanced","9","cluster_8","molecular diagnostics and genomics","Molecular diagnostics, genomics, detection and analytical platforms based on biological data.","auto","35","diagnostics and medtech","cells; diagnostics; cancer; therapeutics; proteins; molecular; blood; therapy","Delee; Ayuvant; ZEV Biotech; Limay Biosciences","19.2","3","3","0","91"
"industry_heavy","9","cluster_8","clinical diagnostics and medical devices","Diagnostics, detection and clinical devices.","auto","32","diagnostics and medtech","cells; diagnostics; cancer; proteins; molecular; therapy; therapeutics; blood","Ayuvant; Oncoliq; Enteria; ZEV Biotech","22.1","3","3","0","91"
"balanced","9","cluster_5","food ingredients and biofactories","Food ingredients, fermentation and biofactory systems.","auto","30","food biotech and novel ingredients","ingredients; plant; aquaculture; animal; compounds; proteins; cosmetics; replace","MicroTerra; Cellva; Tomorrow Foods; GlycoX","23.5","0","0","0","100"
"technology_heavy","9","cluster_5","food ingredients and biofactories","Food ingredients, fermentation and biofactory systems.","auto","29","food biotech and novel ingredients","ingredients; plant; aquaculture; compounds; crop; applications; animal; peces","Tomorrow Foods; GlycoX; Cellva; MicroTerra","23.6","2","2","0","93"
"technology_heavy","9","cluster_4","grain traceability and producer infrastructure","Digital infrastructure for traceability, seeds, grains, growers and commercial coordination across agri-food chains.","auto","29","climate, energy and resource systems","growers; agro; energy; digital; traceability; public; agtech; producer","Agrired; MUTA; LogShare; Agrojusto","16.1","4","4","0","86"
"industry_heavy","9","cluster_4","grain traceability and producer infrastructure","Digital infrastructure for traceability, seeds, grains, growers and commercial coordination across agri-food chains.","auto","28","climate, energy and resource systems","carbon; credit; nature; risk; restoration; biodiversity; rural; growers","Nideport; Carbonext; re.green; Agrolend","25.2","2","2","0","93"
"industry_heavy","9","cluster_5","food ingredients and biofactories","Food ingredients, fermentation and biofactory systems.","auto","26","food biotech and novel ingredients","ingredients; plant; animal; fermentation; aquaculture; proteins; precisionfermentation; peces","MicroTerra; Cellva; Tomorrow Foods; GlycoX","24.6","0","0","0","100"
"balanced","9","cluster_4","grain traceability and producer infrastructure","Digital infrastructure for traceability, seeds, grains, growers and commercial coordination across agri-food chains.","auto","25","climate, energy and resource systems","growers; credit; traceability; digital; agro; risk; producer; access","Traive; Agrotoken; Agrojusto; Tracestory","24.6","1","1","0","96"
"balanced","9","cluster_7","biobased chemistry and circular materials","Biomaterials and circular chemistry based on biological inputs.","auto","24","biobased chemistry and advanced materials","biomaterials; tissue; wound; enzymes; precision; circular; waste; replace","BioPlaster Research Inc; Patagon Fiber; Mycorium Biotech; APEXzymes","23.8","0","0","0","100"
"technology_heavy","9","cluster_7","cell protein and biofactory platforms","Cell, protein, enzyme and biofactory platforms that support biological production across food, therapeutics or industrial biotech.","auto","23","biobased chemistry and advanced materials","tissue; enzymes; wound; biomaterials; repair; regenerative; ingredients; precision","APEXzymes; Ocular Bio Design; BioPlaster Research Inc; Synthetic Ocular Restoration","23.4","1","1","0","96"
