"startup_id","startup_name","scope_decision","macro_theme","review_status","quality_band","data_quality_score_10","priority","current_summary"
"properati","Properati","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","7.5","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"qive","Qive","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","7","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"quadminds","Quadminds","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","7","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"retargetly","Retargetly","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","7.5","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"ripio","Ripio","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","7.5","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"rsk","Rsk","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","7","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"securitize","Securitize","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","7.5","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"sirena","Sirena","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","7","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"travelx","TravelX","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","7","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"uala","Ualá","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","7","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"vercel","Vercel","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","7","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"workana","Workana","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","7","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"zipnova","Zipnova","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","7","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"fligoo","Fligoo","exclude","peripheral or non-core digital ventures","seeded","medium","8","53","AI decision and analytics software para financial services, retail and telecom. Queda afuera por full_digital_no_materiality_signal."
"frete_com","Frete Com","exclude","peripheral or non-core digital ventures","seeded","medium","8","53","digital freight and logistics platform para logistics and commerce. Queda afuera por logistics_software_without_thesis_core_materiality_signal."
"iof","Iof","exclude","peripheral or underclassified ventures","seeded","medium","8","53","insufficiently documented venture para unknown. Queda afuera por insufficient_public_evidence_and_no_defensible_materiality_signal."
"lifit","Lifit","exclude","peripheral or non-core digital ventures","seeded","medium","8","53","consumer wellness or productivity software para consumer software. Queda afuera por consumer_software_without_thesis_core_signal."
"logan","Logan","exclude","peripheral or non-core digital ventures","seeded","medium","8","53","adtech and media data platform para marketing and media. Queda afuera por full_digital_no_materiality_signal."
"menta_tickets","Menta Tickets","exclude","peripheral or non-core digital ventures","seeded","medium","8","53","ticket resale infrastructure para ticketing and events. Queda afuera por full_digital_no_materiality_signal."
"pods","Pods","exclude","peripheral or underclassified ventures","seeded","medium","8","53","non core housing or storage startup signal para unknown. Queda afuera por insufficient_public_evidence_and_no_defensible_materiality_signal."
"prima","Prima","exclude","peripheral or non-core digital ventures","seeded","medium","8","53","insurance or digital services platform para insurance or media services. Queda afuera por full_digital_no_materiality_signal."
"spectrum","Spectrum","exclude","peripheral or non-core digital ventures","seeded","medium","8","53","startup services and founder tools para startup services. Queda afuera por services_platform_outside_thesis."
"spline","Spline","exclude","peripheral or non-core digital ventures","seeded","medium","8","53","3D design software para design software. Queda afuera por full_digital_no_materiality_signal."
"starlight_ventures","Starlight Ventures","exclude","peripheral or underclassified ventures","seeded","medium","8","53","venture capital or ecosystem actor para venture ecosystem. Queda afuera por non_startup_entity_or_scope_misclassification."
"strike","Strike","exclude","peripheral or non-core digital ventures","seeded","medium","8","53","AI led cybersecurity platform para cybersecurity. Queda afuera por full_digital_no_materiality_signal."
"teachy","Teachy","exclude","peripheral or non-core digital ventures","seeded","medium","8","53","AI teaching and school platform para education technology. Queda afuera por full_digital_no_materiality_signal."
"vixtra","Vixtra","exclude","peripheral or non-core digital ventures","seeded","medium","8","53","import financing fintech para fintech and international trade. Queda afuera por full_digital_no_materiality_signal."
"lemon","Lemon","exclude","peripheral or non-core digital ventures","seeded","high","9.5","47","Aplicacion cripto/fintech de consumo. Queda fuera por infraestructura financiera digital sin materialidad bio, biobased o regenerativa."
"luzid","Luzid","exclude","peripheral or non-core digital ventures","seeded","high","8.5","47","ERP delivery and transformation platform para enterprise software. Queda afuera por full_digital_no_materiality_signal."
"nuclearis","Nuclearis","exclude","frontier hardware and infrastructure systems","seeded","high","8.5","47","nuclear mechanical engineering and manufacturing para nuclear industry. Queda afuera por energy_industrial_but_not_bio_or_biocentric_thesis_core."
"nuvia","Nuvia","exclude","frontier hardware and infrastructure systems","seeded","high","8.5","47","ARM server CPU startup para data center compute. Queda afuera por non_bio_non_biocentric_hardware_outside_thesis."
"vu","Vu","exclude","peripheral or non-core digital ventures","seeded","high","8.5","47","digital identity and fraud prevention platform para cybersecurity and fintech. Queda afuera por full_digital_no_materiality_signal."
