"startup_name","master_id","master_scope","master_theme","master_source_url","atlas_layer","atlas_category","atlas_score","atlas_evidence","atlas_confidence","atlas_source_url"
"Eirú","eiru","include","ag biologicals and crop resilience","https://sf500.com.ar/","Bio-centric / regenerative","Pollination / biodiversity modeling","1","B","0.8","https://sf500.com.ar/es/inicio/"
"Elytron Biotech","elytron_biotech","include","biomanufacturing and bioindustrial platforms","https://www.elytronbiotech.com/?lang=en","Core bio-based","Microbial solutions / AI","3","B","0.8","https://www.gridexponential.com/portfolio"
"Enzyva","enzyva","include","biomanufacturing and bioindustrial platforms","https://www.enzyvo.com/about","Core bio-based","Bioremediation / enzymes","3","B","0.86","https://www.gridexponential.com/portfolio"
"FeedVax","feedvax","include","ag biologicals and crop resilience","https://www.feedvax.com/","Core bio-based","Aquaculture animal health","2","B","0.72","https://www.gridexponential.com/portfolio"
"Food4You","food4you","include","food biotech and novel ingredients","https://www.gridexponential.com/portfolio","Core bio-based","Alternative proteins / fermentation","3","B","0.8","https://www.gridexponential.com/portfolio"
"Fungilife","fungi_life","include","biobased chemistry and advanced materials","https://www.fungilife.net/","Core bio-based","Biosurfactants / fungal biotechnology","3","B","0.86","https://www.gridexponential.com/portfolio"
"Future Biome","future_biome","include","food biotech and novel ingredients","https://www.gridexponential.com/portfolio","Core bio-based","Precision prebiotics / food-health nexus","2","B","0.78","https://www.gridexponential.com/portfolio"
"Gênica","genica","include","ag biologicals and crop resilience","https://spventures.com.br/portfolio/genica/","Core bio-based","Ag biologicals / bioinputs","3","A","0.94","https://spventures.com.br/portfolio/ | https://agfundernews.com/how-latin-america-is-moving-from-a-pioneer-to-a-powerhouse-in-agricultural-biologicals"
"IncluirTec","incluirtec","include","climate, energy and resource systems","https://theyieldlablatam.com/portfolio/","Enabling infrastructure","Agrifintech / smallholder finance","0","B","0.7","https://theyieldlablatam.com/portfolio/"
"INMET","inmet","include","biobased chemistry and advanced materials","https://sf500.com.ar/","Core bio-based","Biopolymers / compostable materials","3","B","0.88","https://sf500.com.ar/es/inicio/"
"Inprenha","inprenha","include","ag biologicals and crop resilience","https://www.spventures.com.br/","Core bio-adjacent","Animal reproduction / livestock","1","C","0.48","https://spventures.com.br/portfolio/"
"Jetbov","jetbov","include","precision agriculture and resource intelligence","https://spventures.com.br/portfolio/jetbov/","Enabling infrastructure","Livestock management","0","B","0.58","https://spventures.com.br/portfolio/"
"Kigüi","kigui","include","climate, energy and resource systems","https://kigui.io/en/","Enabling infrastructure","Food waste / AI retail","0","B","0.78","https://theyieldlablatam.com/portfolio/ | https://newtopia.vc/portfolio/"
"Kilimo","kilimo","include","precision agriculture and resource intelligence","https://kilimo.com/en/about-us/","Bio-centric / regenerative","Water intelligence / irrigation","0","A","0.94","https://www.theguardian.com/global-development/2024/jan/30/low-carbon-milk-to-ai-irrigation-tech-startups-powering-latin-americas-green-revolution | https://agfundernews.com/guest-article-what-the-first-half-of-2025-tells-us-about-agrifoodtech-climate-tech-in-latin-america | https://newtopia.vc/portfolio/"
"Levya","levya","include","food biotech and novel ingredients","https://levyabio.com/","Core bio-based","Microbial oils / alternative ingredients","3","B","0.88","https://www.gridexponential.com/portfolio"
"M4Life","m4life","include","ag biologicals and crop resilience","https://sf500.com.ar/","Core bio-based","Ag biologicals / stress tolerance","3","B","0.86","https://sf500.com.ar/es/inicio/"
"Mavios","mavios","include","biomanufacturing and bioindustrial platforms","https://mavios.ai/","Enabling infrastructure","Bioprocess software / digital twin","1","B","0.76","https://www.gridexponential.com/portfolio"
"Michroma","michroma","include","food biotech and novel ingredients","https://www.michroma.co/who-we-are","Core bio-based","Precision fermentation / bioingredients","3","B","0.86","https://www.gridexponential.com/portfolio"
"MicroIN","microin","include","ag biologicals and crop resilience","https://www.gridexponential.com/portfolio","Core bio-based","Bioinput delivery / microencapsulation","3","B","0.84","https://www.gridexponential.com/portfolio"
"MIGMA","migma","include","food biotech and novel ingredients","https://ar.linkedin.com/company/migma-co","Bio-centric / regenerative","Food shelf-life / AI","2","B","0.72","https://www.gridexponential.com/portfolio"
"Mycorium Biotech","mycorium_biotech","include","biobased chemistry and advanced materials","https://sf500.com.ar/","Core bio-based","Mycelium materials","3","B","0.88","https://sf500.com.ar/es/inicio/"
"NanoInGreen","nanoingreen","include","biobased chemistry and advanced materials","https://nanoingreen.com","Core bio-based","Bioingredients / microbial production","3","B","0.84","https://www.gridexponential.com/portfolio"
"Nat4Bio","nat4bio","include","food biotech and novel ingredients","https://sosv.com/company/nat4bio/","Core bio-based","Bio-based coatings","3","B","0.88","https://www.gridexponential.com/portfolio"
"Naturannova","naturannova","include","food biotech and novel ingredients","https://naturannova.com/","Core bio-adjacent","Plant-based flavors / AI","2","B","0.72","https://www.gridexponential.com/portfolio"
"NotFossil","notfossil","include","climate, energy and resource systems","https://sf500.com.ar/","Core bio-based","Bioremediation / hydrocarbons","3","B","0.86","https://sf500.com.ar/es/inicio/"
"Nunatak Biotech","nunatak_biotech","include","ag biologicals and crop resilience","https://www.nunatakbio.com/","Core bio-based","Ag biologicals / microbial consortia","3","B","0.88","https://www.gridexponential.com/portfolio | https://agfundernews.com/guest-article-what-the-first-half-of-2025-tells-us-about-agrifoodtech-climate-tech-in-latin-america"
"PhageLab","phagelab","include","ag biologicals and crop resilience","https://theyieldlablatam.com/companies/phage_lab/","Core bio-based","Phage biotech / animal health","3","B","0.86","https://theyieldlablatam.com/portfolio/"
"Pink Farms","pink-farms","include","food biotech and novel ingredients","https://spventures.com.br/portfolio/brain-ag-3/","Bio-centric / regenerative","Controlled-environment agriculture","1","B","0.6","https://spventures.com.br/portfolio/"
"POLYMERA","polymera","include","biobased chemistry and advanced materials","https://www.linkedin.com/company/polymera","Core bio-based","Biomaterials / superabsorbents","3","B","0.88","https://www.gridexponential.com/portfolio"
"Produzindo Certo","produzindo-certo","include","climate, energy and resource systems","https://theyieldlablatam.com/portfolio/","Bio-centric / regenerative","Regenerative agriculture / traceability","1","B","0.8","https://theyieldlablatam.com/portfolio/"
"Protiva","protiva","include","biobased chemistry and advanced materials","https://www.protiva.bio/","Core bio-based","Biopigments / fashion","3","B","0.88","https://www.gridexponential.com/portfolio"
"Puna Bio","puna_bio","include","ag biologicals and crop resilience","https://www.puna.bio/en","Core bio-based","Ag biologicals / bioinputs","3","A","0.96","https://www.gridexponential.com/portfolio | https://agfundernews.com/how-latin-america-is-moving-from-a-pioneer-to-a-powerhouse-in-agricultural-biologicals"
"Qumir Nano","qumir_nano","include","therapeutics and regenerative medicine","https://qumirnano.bio","Core bio-based","Bio-nano agriculture","3","B","0.76","https://www.gridexponential.com/portfolio"
"RADIAL","radial","include","biobased chemistry and advanced materials","https://www.gridexponential.com/portfolio","Core bio-based","Mycelium / waste-to-materials","3","B","0.86","https://www.gridexponential.com/portfolio"
"Semion","semion","include","ag biologicals and crop resilience","https://semionbio.com/","Core bio-based","Plant defense / crop protection","3","B","0.82","https://www.gridexponential.com/portfolio"
"SoyGREEN","soygreen","include","ag biologicals and crop resilience","https://soygreen.com.ar","Bio-centric / regenerative","Low-emission agriculture","1","B","0.7","https://sf500.com.ar/es/inicio/"
"Stämm","stamm","include","biomanufacturing and bioindustrial platforms","https://www.stamm.bio/about-us","Enabling infrastructure","Biomanufacturing infrastructure","1","B","0.78","https://www.gridexponential.com/portfolio"
"Sylvarum","sylvarum","include","ag biologicals and crop resilience","https://sylvarum.com","Bio-centric / regenerative","Seed vigor / restoration","2","B","0.72","https://www.gridexponential.com/portfolio"
"Tintte","tintte","include","biobased chemistry and advanced materials","https://cancilleria.gob.ar/en/new-technologies/next-form-argentine/tintte","Core bio-based","Biopigments / biomaterials","3","B","0.86","https://sf500.com.ar/es/inicio/"
"Trebe Biotech","trebe_biotech","include","food biotech and novel ingredients","https://sf500.com.ar/","Core bio-based","Biomanufacturing / proteins","2","C","0.58","https://sf500.com.ar/es/inicio/"
"UNIBAIO","unibaio","include","ag biologicals and crop resilience","https://sosv.com/company/unibaio/","Core bio-based","Bioinput delivery / biodegradable carriers","3","A","0.9","https://sf500.com.ar/es/inicio/ | https://www.startuplinks.world/startup/unibaio"
"Updairy","updairy","include","food biotech and novel ingredients","https://updairy.com","Core bio-based","Precision fermentation / dairy proteins","3","B","0.88","https://www.gridexponential.com/portfolio"
"Verqor","verqor","include","climate, energy and resource systems","https://theyieldlablatam.com/portfolio/","Enabling infrastructure","Agrifintech","0","B","0.76","https://theyieldlablatam.com/portfolio/ | https://spventures.com.br/portfolio/"
"Vexxel Biotech","vexxel_biotech","include","ag biologicals and crop resilience","https://www.gridexponential.com/portfolio","Core bio-based","Bioencapsulation / formulation","3","B","0.78","https://www.gridexponential.com/portfolio"
"Werken Vac","werk-nvac","include","ag biologicals and crop resilience","https://www.gridexponential.com/portfolio","Core bio-based","Aquaculture vaccines / RNA","2","B","0.74","https://www.gridexponential.com/portfolio"
"Zavia Bio","zavia_bio","include","ag biologicals and crop resilience","https://ar.linkedin.com/company/zaviabio","Core bio-based","Protein design / agricultural bioinputs","3","B","0.88","https://www.gridexponential.com/portfolio"
"ZoomAgri","zoomagri","include","precision agriculture and resource intelligence","https://zoomagri.com/en/home/","Enabling infrastructure","Grain quality / AI","0","B","0.7","https://spventures.com.br/portfolio/"
