normalized_key,count,entity_ids,canonical_names,entity_types
feedvax,3,Feed Vax|Feedvax|feedvax,Feed Vax|Feedvax|Feedvax,startup|startup|startup
mesenchyalt,2,Mesenchyal-T|mesenchyal_t,Mesenchyal-T|Mesenchyal-T,startup|startup
metabixbiotech,2,Metabix Biotech|metabix-biotech,Metabix Biotech|metaBIX Biotech,startup|startup
microin,2,MicroIN|microin,MicroIN|MicroIN,startup|startup
microterra,2,Microterra|microterra,Microterra|MicroTerra,startup|startup
migma,2,Migma|migma,Migma|MIGMA,startup|startup
montecalderatechnology,2,Monte Caldera Technology|monte-caldera-technology,Monte Caldera Technology|Monte Caldera Technology,startup|startup
multiplaihealth,2,MultiplAI Health|multiplai_health,MultiplAI Health|MultiplAI Health,startup|startup
mycoriumbiotech,2,Mycorium Biotech|mycorium_biotech,Mycorium Biotech|Mycorium Biotech,startup|startup
mzp,2,MZP|mzp,MZP|MZP,startup|startup
nanoingreen,2,NanoInGreen|nanoingreen,NanoInGreen|Nanoingreen,startup|startup
nanojumpbio,2,Nano Jump Bio|nanojump_bio,Nano Jump Bio|Nano Jump Bio,startup|startup
nanotransfer,2,Nanotransfer|nanotransfer,Nanotransfer|Nanotransfer,startup|startup
nat4bio,2,Nat4Bio|nat4bio,Nat4Bio|Nat4Bio,startup|startup
naturannova,2,Naturannova|naturannova,Naturannova|Naturannova,startup|startup
nideport,2,Nideport|nideport,Nideport|Nideport,startup|startup
notfossil,2,NotFossil|notfossil,NotFossil|NotFossil,startup|startup
novospace,2,Novo Space|novo_space,Novo Space|NOVO SPACE,startup|startup
nunatakbiotech,2,Nunatak Biotech|nunatak_biotech,Nunatak Biotech|Nunatak Biotech,startup|startup
oncoliq,2,Oncoliq|oncoliq,Oncoliq|Oncoliq,startup|startup
oncoprecision,2,Onco Precision|onco_precision,Onco Precision|Onco Precision,startup|startup
oneinfinite,2,Oneinfinite|oneinfinite,Oneinfinite|OneInfinite,startup|startup
outpost,2,Outpost|outpost,Outpost|Outpost,startup|startup
patagonfiber,2,Patagon Fiber|patagon-fiber,Patagon Fiber|Patagon Fiber,startup|startup
pillar,2,Pill.AR|pill_ar,Pill.AR|Pill.AR,startup|startup
polymera,2,Polymera|polymera,Polymera|POLYMERA,startup|startup
protiva,2,Protiva|protiva,Protiva|Protiva,startup|startup
punabio,2,Puna Bio|puna_bio,Puna Bio|Puna Bio,startup|startup
qnity,2,Qnity|qnity,Qnity|Qnity,startup|startup
qumirnano,2,Qumir Nano|qumir_nano,Qumir Nano|Qumir Nano,startup|startup
radbio,2,RadBio|radbio,RadBio|Radbio,startup|startup
radial,2,Radial|radial,Radial|Radial,startup|startup
ruuts,2,Ruuts|ruuts,Ruuts|Ruuts,startup|startup
satellitesonfire,2,Satellites On Fire|satellites_on_fire,Satellites On Fire|Satellites on Fire,startup|startup
satellogic,2,Satellogic|satellogic,Satellogic|Satellogic,startup|startup
sciphage,2,SciPhage|sciphage,SciPhage|SciPhage,startup|startup
semion,2,Semion|semion,Semion|Semion,startup|startup
siloreal,2,SiloReal|siloreal,SiloReal|SiloReal,startup|startup
skyloom,2,Skyloom|skyloom,Skyloom|Skyloom,startup|startup
soygreen,2,SoyGREEN|soygreen,SoyGREEN|SoyGREEN,startup|startup
spectrum,2,Spectrum|spectrum,Spectrum|Spectrum,startup|startup
spherebio,2,SphereBio|spherebio,SphereBio|SphereBio,startup|startup
splight,2,Splight|splight,Splight|Splight,startup|startup
stamm,2,0|stamm,Stämm|Stämm,startup|startup
starlightventures,2,Starlight Ventures|starlight_ventures,Starlight Ventures|Starlight Ventures,startup|startup
stradot,2,Stradot|stradot,Stradot|Stradot,startup|startup
sylvarum,2,Sylvarum|sylvarum,Sylvarum|Sylvarum,startup|startup
syntheticocularrestoration,2,Synthetic Ocular Restoration|synthetic_ocular_restoration,Synthetic Ocular Restoration|Synthetic Ocular Restoration,startup|startup
syocinbiotech,2,Syocin Biotech|syocin-biotech,Syocin Biotech|Syocin Biotech,startup|startup
tell,2,TELL|tell,TELL|Tell,startup|startup
tensorcare,2,Tensor Care|tensor-care,Tensor Care|Tensor Care,startup|startup
theearthsays,2,The Earth Says|the-earth-says,The Earth Says|The Earth Says,startup|startup
tintte,2,Tintte|tintte,Tintte|Tintte,startup|startup
tissuedynamics,2,Tissue Dynamics|tissue_dynamics,Tissue Dynamics|Tissue Dynamics,startup|startup
tomorrowfoods,2,Tomorrow Foods|tomorrow_foods,Tomorrow Foods|Tomorrow Foods,startup|startup
travelx,2,TravelX|travelx,TravelX|TravelX,startup|startup
trebebiotech,2,Trebe Biotech|trebe_biotech,Trebe Biotech|Trebe Biotech,startup|startup
ubiquebio,2,Ubique Bio|ubique_bio,Ubique Bio|Ubique Bio,startup|startup
unibaio,2,UNIBAIO|unibaio,UNIBAIO|Unibaio,startup|startup
updairy,2,UpDairy|updairy,UpDairy|Updairy,startup|startup
vexxelbiotech,2,Vexxel Biotech|vexxel_biotech,Vexxel Biotech|Vexxel Biotech,startup|startup
viewmind,2,ViewMind|viewmind,ViewMind|ViewMind,startup|startup
vmind,2,Vmind|vmind,Vmind|VMind,startup|startup
werkenvac,2,WerkénVac|werk-nvac,WerkénVac|WerkénVac,startup|startup
zaviabio,2,Zavia Bio|zavia_bio,Zavia Bio|Zavia Bio,startup|startup
zevbiotech,2,ZEV Biotech|zev_biotech,ZEV Biotech|ZEV Biotech,startup|startup
