"startup_id","startup_name","cleanup_priority","current_scope","scope_reason","structured_country","has_capital_signal","has_source_url","macro_theme","emergent_theme","summary","source_url","action_needed"
"nuvia","Nuvia","1","exclude/provisional","non_bio_non_biocentric_hardware_outside_thesis","US","False","False","frontier hardware and infrastructure systems","semiconductor compute systems","ARM server CPU startup para data center compute. Queda afuera por non_bio_non_biocentric_hardware_outside_thesis.","","verify_false_negative_or_confirm_exclude"
"pods","Pods","1","exclude/provisional","insufficient_public_evidence_and_no_defensible_materiality_signal","","False","False","peripheral or underclassified ventures","unclassified / needs review resolved","non core housing or storage startup signal para unknown. Queda afuera por insufficient_public_evidence_and_no_defensible_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"prima","Prima","1","exclude/provisional","full_digital_no_materiality_signal","","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","insurance or digital services platform para insurance or media services. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"spline","Spline","1","exclude/provisional","full_digital_no_materiality_signal","","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","3D design software para design software. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"strike","Strike","1","exclude/provisional","full_digital_no_materiality_signal","","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","AI led cybersecurity platform para cybersecurity. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"teachy","Teachy","1","exclude/provisional","full_digital_no_materiality_signal","","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","AI teaching and school platform para education technology. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"vixtra","Vixtra","1","exclude/provisional","full_digital_no_materiality_signal","","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","import financing fintech para fintech and international trade. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"lifit","Lifit","0","exclude/provisional","consumer_software_without_thesis_core_signal","","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","consumer wellness or productivity software para consumer software. Queda afuera por consumer_software_without_thesis_core_signal.","","verify_false_negative_or_confirm_exclude"
"starlight_ventures","Starlight Ventures","0","exclude/provisional","non_startup_entity_or_scope_misclassification","","False","False","peripheral or underclassified ventures","non-startup or ecosystem actor misclassified","venture capital or ecosystem actor para venture ecosystem. Queda afuera por non_startup_entity_or_scope_misclassification.","","verify_false_negative_or_confirm_exclude"
"123seguro","123Seguro","-1","exclude/provisional","full_digital_no_materiality_signal","","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"aloi","Aloi","-1","exclude/provisional","full_digital_no_materiality_signal","US/Latam","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"amaro","Amaro","-1","exclude/provisional","full_digital_no_materiality_signal","","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"barte","Barte","-1","exclude/provisional","full_digital_no_materiality_signal","","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"capim","Capim","-1","exclude/provisional","full_digital_no_materiality_signal","BR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"centralo","Centralo","-1","exclude/provisional","full_digital_no_materiality_signal","AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"cobli","Cobli","-1","exclude/provisional","full_digital_no_materiality_signal","","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"curseduca","Curseduca","-1","exclude/provisional","full_digital_no_materiality_signal","BR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"exactly","Exactly","-1","exclude/provisional","full_digital_no_materiality_signal","AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"facturama","Facturama","-1","exclude/provisional","full_digital_no_materiality_signal","MX","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"frubana","Frubana","-1","exclude/provisional","full_digital_no_materiality_signal","CO/BR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"grandata","Grandata","-1","exclude/provisional","full_digital_no_materiality_signal","US/AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"houm","Houm","-1","exclude/provisional","full_digital_no_materiality_signal","CL","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"hybridon","Hybridon","-1","exclude/provisional","full_digital_no_materiality_signal","AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"inventa","Inventa","-1","exclude/provisional","full_digital_no_materiality_signal","BR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"jampp","Jampp","-1","exclude/provisional","full_digital_no_materiality_signal","AR/US","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"kangu","Kangu","-1","exclude/provisional","full_digital_no_materiality_signal","BR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"mabloc","Mabloc","-1","exclude/provisional","full_digital_no_materiality_signal","BR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"mesenchyal_t","Mesenchyal-T","-1","exclude/provisional","full_digital_no_materiality_signal","AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"mudafy","Mudafy","-1","exclude/provisional","full_digital_no_materiality_signal","AR/MX","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"mural","Mural","-1","exclude/provisional","full_digital_no_materiality_signal","AR/US","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"nuvemshop","Nuvemshop","-1","exclude/provisional","full_digital_no_materiality_signal","BR/AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"omica","Omica","-1","exclude/provisional","full_digital_no_materiality_signal","AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"payjoy","Payjoy","-1","exclude/provisional","full_digital_no_materiality_signal","US","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"pill_ar","Pill.AR","-1","exclude/provisional","full_digital_no_materiality_signal","AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"pomelo","Pomelo","-1","exclude/provisional","full_digital_no_materiality_signal","AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"properati","Properati","-1","exclude/provisional","full_digital_no_materiality_signal","AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"qive","Qive","-1","exclude/provisional","full_digital_no_materiality_signal","BR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"quadminds","Quadminds","-1","exclude/provisional","full_digital_no_materiality_signal","AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"retargetly","Retargetly","-1","exclude/provisional","full_digital_no_materiality_signal","AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"ripio","Ripio","-1","exclude/provisional","full_digital_no_materiality_signal","AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"rsk","Rsk","-1","exclude/provisional","full_digital_no_materiality_signal","AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"rumina","Rumina","-1","exclude/provisional","full_digital_no_materiality_signal","BR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"securitize","Securitize","-1","exclude/provisional","full_digital_no_materiality_signal","US/AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"sirena","Sirena","-1","exclude/provisional","full_digital_no_materiality_signal","AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"tissue_dynamics","Tissue Dynamics","-1","exclude/provisional","full_digital_no_materiality_signal","IL/AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"uala","Ualá","-1","exclude/provisional","full_digital_no_materiality_signal","AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"vercel","Vercel","-1","exclude/provisional","full_digital_no_materiality_signal","US/AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"werkenvac","WerkénVac","-1","exclude/provisional","full_digital_no_materiality_signal","AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
"workana","Workana","-1","exclude/provisional","full_digital_no_materiality_signal","AR/BR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude"
