"startup_id","startup_name","macro_theme","emergent_theme","review_status","source_url"
"eywa_biotech","Eywa Biotech","therapeutics and regenerative medicine","therapeutic and regenerative biology","reviewed","https://www.eywa.bio/"
"fecundis","Fecundis","therapeutics and regenerative medicine","therapeutic and regenerative biology","reviewed","https://www.fecundis.com/"
"feedvax","Feedvax","ag biologicals and crop resilience","ag biologicals and animal resilience","reviewed","https://www.feedvax.com/"
"food4you","Food4You","food biotech and novel ingredients","food transition ingredients and proteins","seeded","https://www.gridexponential.com/portfolio"
"innova_space","Innova Space","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub",""
"laurus_ag_tech","Laurus AG Tech","precision agriculture and resource intelligence","precision agriculture intelligence","taxonomy_stub",""
"lia_aeospace","LIA Aeospace","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub",""
"microscopia","microscopIA","diagnostics and medtech","health diagnostics and medtech","reviewed","https://www.f6s.com/company/microscopia"
"mzp","MZP","diagnostics and medtech","health diagnostics and medtech","seeded",""
"nanojump_bio","Nano Jump Bio","diagnostics and medtech","health diagnostics and medtech","reviewed","https://es.gridexponential.com/project-tag/tools"
"nanogrow_biotech","Nanogrow Biotech","therapeutics and regenerative medicine","therapeutic and regenerative biology","reviewed","https://www.nanogrowbiotech.com/"
"nanoprox","NanoproX","diagnostics and medtech","health diagnostics and medtech","reviewed","https://www.nanoprox.com/"
"nideport","Nideport","climate, energy and resource systems","nature restoration and carbon systems","seeded","https://nideport.com"
"novo_space","NOVO SPACE","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub",""
"outpost","Outpost","computational biology and scientific software","computational biology and life-science software","reviewed","https://www.outpost.bio/"
"plamic_biotech","Plamic Biotech","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub",""
"poas_bioenergy","Poás Bioenergy","climate, energy and resource systems","regenerative agroforestry and carbon systems","reviewed","https://www.poasbioenergy.com/"
"protiva","Protiva","food biotech and novel ingredients","food transition ingredients and proteins","seeded","https://protiva.bio"
"quantum_south","Quantum South","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub",""
"satellites_on_fire","Satellites on Fire","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub",""
"satellogic","Satellogic","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub",""
"silohub","Silohub","precision agriculture and resource intelligence","precision agriculture intelligence","reviewed","https://www.descubre.vc/silohub"
"siloreal","SiloReal","climate, energy and resource systems","traceability and tokenized resource infrastructure","reviewed","https://www.siloreal.com/en/"
"sima","Sima","precision agriculture and resource intelligence","precision agriculture intelligence","reviewed","https://sima.ag/"
"single_strand_biotech","Single Strand Biotech","therapeutics and regenerative medicine","therapeutic and regenerative biology","reviewed","https://www.singlestrand.com/"
"skyloom","Skyloom","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub",""
"solfium","Solfium","climate, energy and resource systems","climate and resource intelligence platforms","taxonomy_stub",""
"soygreen","SoyGREEN","ag biologicals and crop resilience","extremophile microbial ag inputs","seeded","https://soygreen.com.ar"
"synthetic_ocular_restoration","Synthetic Ocular Restoration","therapeutics and regenerative medicine","therapeutic and regenerative biology","reviewed","https://sor.international/antecedentes/"
"tesabio_ai","Tesabio.ai","therapeutics and regenerative medicine","therapeutic and regenerative biology","reviewed","https://www.tesabio.ai/"
"tracestory","Tracestory","climate, energy and resource systems","climate and resource intelligence platforms","reviewed","https://www.tracestory.com/en/home"
