priority_score,investment_id,investor_id,startup_name,startup_id,country,round_stage,bio_theme,valuation_tier,has_amount,source_id,research_hint
13,manual-vox_capital-hilab-br-58dfb7,vox_capital,Hilab,hilab-br,BR,series-a,Diagnostics & Health Access,2,0,https://voxcapital.com.br,Crunchbase: hilab-br funding rounds | TechCrunch/Forbes/press release
13,manual-vox_capital-genica-f31947,vox_capital,Gênica,genica,BR,series-a,Bioinputs & Crop Resilience,2,0,https://voxcapital.com.br/portfolio,Crunchbase: genica funding rounds | TechCrunch/Forbes/press release
13,sweep-valor_capita-satellogic,valor_capital_group,Satellogic,satellogic,AR,,Nature & Ecosystem Tech,4,0,src_https___www_valorcapitalgroup_com_companies,Crunchbase: satellogic | LinkedIn announcement | valor_capital_group portfolio
12,e166,CITES,Ergo Bioscience,ergo_bioscience,AR,series-a,Food Systems & Alt Proteins,2,0,source: latam_coinvest_network_v3.graphml | GraphML edge direction is not assume,Crunchbase: ergo_bioscience funding rounds | TechCrunch/Forbes/press release
12,manual-endurance28-oncoliq,endurance_28,Oncoliq,oncoliq,AR,series-a,Diagnostics & Health Access,2,0,source: https://www.endurance28.com/oncoliq/ | Endurance28 official startup page,Crunchbase: oncoliq funding rounds | TechCrunch/Forbes/press release
12,e180,glocal,DeepAgro,deepagro,AR,series-a,Farm Intelligence,2,0,source: latam_coinvest_network_v3.graphml | GraphML edge direction is not assume,Crunchbase: deepagro funding rounds | TechCrunch/Forbes/press release
12,e17,GridX,Beeflow,beeflow,US,pre-seed,Bioinputs & Crop Resilience,3,0,https://www.gridexponential.com/portfolio,Crunchbase: beeflow | fondo: GridX newsletter/portfolio
12,e84,GridX,Michroma,michroma,AR,pre-seed,Biomaterials & Circular Economy,3,0,https://www.gridexponential.com/portfolio,Crunchbase: michroma | fondo: GridX newsletter/portfolio
12,e95,GridX,Puna Bio,puna_bio,AR,pre-seed,Bioinputs & Crop Resilience,3,0,https://www.gridexponential.com/portfolio,Crunchbase: puna_bio | fondo: GridX newsletter/portfolio
12,e104,inventure,DeepAgro,deepagro,AR,series-a,Farm Intelligence,2,0,source: https://www.lanacion.com.ar/economia/campo/nuevas-tecnologias-un-fondo-d,Crunchbase: deepagro funding rounds | TechCrunch/Forbes/press release
12,e111,inventure,ZoomAgri,zoomagri,AR,series-a,Farm Intelligence,2,0,source: https://www.lanacion.com.ar/economia/campo/nuevas-tecnologias-un-fondo-d,Crunchbase: zoomagri funding rounds | TechCrunch/Forbes/press release
12,e190,kamay_ventures,Auravant,auravant,AR,series-a,Farm Intelligence,2,0,source: latam_coinvest_network_v3.graphml | GraphML edge direction is not assume,Crunchbase: auravant funding rounds | TechCrunch/Forbes/press release
12,manual-pampa-start-deepagro,pampa_start,DeepAgro,deepagro,AR,series-a,Farm Intelligence,2,0,source: https://www.descubre.vc/pampa-star | Descubre VC profile reports Pampa S,Crunchbase: deepagro funding rounds | TechCrunch/Forbes/press release
12,manual-pampa-start-sima,pampa_start,Sima,sima,AR,series-a,Farm Intelligence,2,0,source: https://www.startuplinks.world/instituciones-de-inversion/pampa-start-vc,Crunchbase: sima funding rounds | TechCrunch/Forbes/press release
12,e43,SOSV_IndieBio,Microgenesis,microgenesis,AR,series-a,Diagnostics & Health Access,2,0,source: latam_coinvest_network_v3.graphml | GraphML edge direction is not assume,Crunchbase: microgenesis funding rounds | TechCrunch/Forbes/press release
12,e184,the_yield_lab_latam,Agroforte,agroforte,BR,series-a,Farm Intelligence,2,0,source: latam_coinvest_network_v3.graphml | GraphML edge direction is not assume,Crunchbase: agroforte funding rounds | TechCrunch/Forbes/press release
12,e183,the_yield_lab_latam,Auravant,auravant,AR,series-a,Farm Intelligence,2,0,source: latam_coinvest_network_v3.graphml | GraphML edge direction is not assume,Crunchbase: auravant funding rounds | TechCrunch/Forbes/press release
12,e189,the_yield_lab_latam,@Tech,tech,BR,series-a,Farm Intelligence,2,0,source: latam_coinvest_network_v3.graphml | GraphML edge direction is not assume,Crunchbase: tech funding rounds | TechCrunch/Forbes/press release
12,manual-savia_ventures-done_properly-160c29,savia_ventures,Done Properly,done_properly,CL,series-a,Food Systems & Alt Proteins,2,0,https://saviaventures.com/,Crunchbase: done_properly funding rounds | TechCrunch/Forbes/press release
12,manual-Zentynel-harmony-biosciences-edc5e7,zentynel,HARMONY,harmony-biosciences,BR,series-a,Biomanufacturing & Platform Technologies,2,0,https://www.zentynel.com/portfolio,Crunchbase: harmony-biosciences funding rounds | TechCrunch/Forbes/press release
12,manual-Zentynel-autem-medical-4fbb1f,zentynel,Autem Medical,autem-medical,BR,series-a,Therapeutics,2,0,https://www.zentynel.com/portfolio,Crunchbase: autem-medical funding rounds | TechCrunch/Forbes/press release
11,manual-sp_ventures-genica-31f420,sp_ventures,Gênica,genica,BR,seed,Bioinputs & Crop Resilience,2,0,https://spventures.com.br/portfolio,Crunchbase: genica | fondo: sp_ventures newsletter/portfolio
11,manual-vox_capital-magnamed-685c6a,vox_capital,Magnamed,magnamed,BR,series-b,Diagnostics & Health Access,1,0,https://voxcapital.com.br/portfolio,Crunchbase: magnamed funding rounds | TechCrunch/Forbes/press release
10,manual-newtopia_vc-dymaxion_labs-f5a867,newtopia_vc,Dymaxion Labs,dymaxion_labs,AR,seed,Farm Intelligence,2,0,https://newtopia.vc,Crunchbase: dymaxion_labs | fondo: newtopia_vc newsletter/portfolio
10,manual-zentynel-fecundis-51978e,zentynel,Fecundis,fecundis,AR,seed,Therapeutics,2,0,https://zentynel.com/en/portfolio/,Crunchbase: fecundis | fondo: zentynel newsletter/portfolio
10,manual-savia_ventures-strong-by-form-cl-03abe1,savia_ventures,Strong by Form,strong-by-form-cl,CL,seed,Biomaterials & Circular Economy,2,0,https://saviaventures.com/,Crunchbase: strong-by-form-cl | fondo: savia_ventures newsletter/portfolio
10,manual-union_square_ventures-mombak-e7de3e,union_square_ventures,Mombak,mombak,BR,series-a,Nature & Ecosystem Tech,1,1,https://esgnews.com/brazils-mombak-raises-30-million-to-scale-amazon-reforestati,Crunchbase: mombak funding rounds | TechCrunch/Forbes/press release
10,manual-porsche_ag-hif-global-cl-0336f5,porsche_ag,HIF Global,hif-global-cl,CL,series-a,Nature & Ecosystem Tech,1,1,https://newsroom.porsche.com/en/2022/company/porsche-commitment-industrial-produ,Crunchbase: hif-global-cl funding rounds | TechCrunch/Forbes/press release
10,manual-axventures_pymar-keclon-b08ed7,axventures_pymar,Keclon,keclon,AR,seed,Biomanufacturing & Platform Technologies,2,0,Pymar Fund (AxVentures) completed seed financing in Keclon Argentine precision f,Crunchbase: keclon | fondo: axventures_pymar newsletter/portfolio
10,manual-arauco_ventures-lemu-cef317,arauco_ventures,Lemu,lemu,CL,series-a,Nature & Ecosystem Tech,1,1,https://www.prnewswire.com/news-releases/lemu-announces-first-close-of-series-a-,Crunchbase: lemu funding rounds | TechCrunch/Forbes/press release
10,manual-kayyak_ventures-food-for-the-future-cl-5a50bf,kayyak_ventures,Food for the Future,food-for-the-future-cl,CL,series-a,Food Systems & Alt Proteins,1,1,https://latamlist.com/agritech-f4f-raises-4-5m-funding-round-for-insect-protein-,Crunchbase: food-for-the-future-cl funding rounds | TechCrunch/Forbes/press release
10,sweep-salkantay_ve-kilimo,salkantay_ventures,Kilimo,kilimo,AR,,Nature & Ecosystem Tech,3,0,src_https___salkantay_vc_portfolio,Crunchbase: kilimo | LinkedIn announcement | salkantay_ventures portfolio
10,manual-Zentynel-fecundis-1cda19,zentynel,Fecundis,fecundis,AR,seed,Therapeutics,2,0,https://www.zentynel.com/portfolio,Crunchbase: fecundis | fondo: zentynel newsletter/portfolio
10,manual-kamay-deepagro-5b3b4c,kamay_ventures,DeepAgro,deepagro,AR,seed,Farm Intelligence,2,0,https://kamayventures.com/portfolio,Crunchbase: deepagro | fondo: kamay_ventures newsletter/portfolio
10,manual-kamay-traive-90f8d8,kamay_ventures,Traive,traive,BR,series-a,Farm Intelligence,1,0,https://kamayventures.com/portfolio,Crunchbase: traive funding rounds | TechCrunch/Forbes/press release
10,sprint2-ght4-biosolvit,ght4_group,Biosolvit,biosolvit,BR,series-a,Biomaterials & Circular Economy,1,1,,Crunchbase: biosolvit funding rounds | TechCrunch/Forbes/press release
10,sprint2-fors-contech,fors_capital,Contech Brasil,contech_brasil,BR,seed,Biomaterials & Circular Economy,2,0,,Crunchbase: contech_brasil | fondo: fors_capital newsletter/portfolio
9,manual-sp_ventures-agrosmart-910480,sp_ventures,Agrosmart,agrosmart,BR,series-a,Farm Intelligence,1,0,https://spventures.com.br/portfolio,Crunchbase: agrosmart funding rounds | TechCrunch/Forbes/press release
9,manual-kptl-biomas-844d82,kptl,Biomas,biomas,BR,series-a,Nature & Ecosystem Tech,1,0,https://kptl.com.br,Crunchbase: biomas funding rounds | TechCrunch/Forbes/press release
9,manual-grupo_insud-inmunova-ar-440fde,grupo_insud,Inmunova,inmunova-ar,AR,series-a,Therapeutics,1,0,https://www.inmunova.com/en/about/,Crunchbase: inmunova-ar funding rounds | TechCrunch/Forbes/press release
9,manual-zentynel-axenya-8d1915,zentynel,Axenya,axenya,,series-a,,1,0,https://zentynel.com/en/portfolio/,Crunchbase: axenya funding rounds | TechCrunch/Forbes/press release
9,manual-kptl-ecotrace-br-a97ffa,kptl,Ecotrace,ecotrace-br,BR,series-a,Nature & Ecosystem Tech,1,0,https://agfeed.com.br/agtech/renato-ramalho-ceo-da-kptl,Crunchbase: ecotrace-br funding rounds | TechCrunch/Forbes/press release
9,manual-lowercarbon_capital-mombak-eedf5a,lowercarbon_capital,Mombak,mombak,BR,series-a,Nature & Ecosystem Tech,1,0,Lowercarbon Capital new investor in Mombak $30M Series A led by Union Square Ven,Crunchbase: mombak funding rounds | TechCrunch/Forbes/press release
9,manual-kaszek-mombak-bf0a1f,kaszek,Mombak,mombak,BR,series-a,Nature & Ecosystem Tech,1,0,Kaszek Ventures returning investor in Mombak $30M Series A led by Union Square V,Crunchbase: mombak funding rounds | TechCrunch/Forbes/press release
9,manual-morningside_group-wiseconn-cl-022c88,morningside_group,Wiseconn,wiseconn-cl,CL,series-a,Farm Intelligence,1,0,src_www_morningside_com,Crunchbase: wiseconn-cl funding rounds | TechCrunch/Forbes/press release
9,manual-fondo_alerce-the-live-green-co-cl-d62760,fondo_alerce,The Live Green Co,the-live-green-co-cl,CL,pre-seed,Food Systems & Alt Proteins,2,1,src_endinv_com_fondo_alerce_vc,Crunchbase: the-live-green-co-cl | fondo: fondo_alerce newsletter/portfolio
9,manual-Zentynel-momentum-therapeutics-1e4af3,zentynel,Momentum Therapeutics,momentum-therapeutics,CL,series-a,Therapeutics,1,0,https://www.zentynel.com/portfolio,Crunchbase: momentum-therapeutics funding rounds | TechCrunch/Forbes/press release
9,manual-Zentynel-asclepii-91f664,zentynel,Asclepii,asclepii,US,series-a,Therapeutics,1,0,https://www.zentynel.com/portfolio,Crunchbase: asclepii funding rounds | TechCrunch/Forbes/press release
9,manual-Zentynel-viewmind-c3b39e,zentynel,ViewMind,viewmind,AR,series-a,Diagnostics & Health Access,1,0,https://www.zentynel.com/portfolio,Crunchbase: viewmind funding rounds | TechCrunch/Forbes/press release
9,sprint2-bossa-biosolvit,bossa_invest,Biosolvit,biosolvit,BR,series-a,Biomaterials & Circular Economy,1,0,,Crunchbase: biosolvit funding rounds | TechCrunch/Forbes/press release
8,e76,GridX,Fecundis,fecundis,AR,pre-seed,Therapeutics,2,0,https://www.gridexponential.com/portfolio,Crunchbase: fecundis | fondo: GridX newsletter/portfolio
8,e47,GridX,Microgenesis,microgenesis,AR,pre-seed,Diagnostics & Health Access,2,0,https://www.gridexponential.com/portfolio,Crunchbase: microgenesis | fondo: GridX newsletter/portfolio
8,manual-the_yield_lab_latam-ucrop-it-ar-90ebc8,the_yield_lab_latam,ucrop.it,ucrop-it-ar,AR,seed,Nature & Ecosystem Tech,1,1,https://agfundernews.com/ucrop-it-argentine-food-traceability-blockchain-platfor,Crunchbase: ucrop-it-ar | fondo: the_yield_lab_latam newsletter/portfolio
8,manual-the_yield_lab_latam-symbiomics-c9df33,the_yield_lab_latam,Symbiomics,symbiomics,BR,seed,Bioinputs & Crop Resilience,1,0,src_theyieldlablatam_com_portfolio,Crunchbase: symbiomics | fondo: the_yield_lab_latam newsletter/portfolio
7,e151,aceleradora_litoral,Bioheuris,bioheuris,AR,seed,Bioinputs & Crop Resilience,1,0,source: https://www.aceleradoralitoral.com.ar/portfolio/ | Aceleradora Litoral o,Crunchbase: bioheuris | fondo: aceleradora_litoral newsletter/portfolio
7,e152,aceleradora_litoral,BioSynaptica,biosynaptica,AR,seed,Diagnostics & Health Access,1,0,source: https://www.aceleradoralitoral.com.ar/portfolio/ | Aceleradora Litoral o,Crunchbase: biosynaptica | fondo: aceleradora_litoral newsletter/portfolio
7,e153,aceleradora_litoral,Inbioar,inbioar,AR,seed,Bioinputs & Crop Resilience,1,0,source: https://www.aceleradoralitoral.com.ar/portfolio/ | Aceleradora Litoral o,Crunchbase: inbioar | fondo: aceleradora_litoral newsletter/portfolio
7,e154,aceleradora_litoral,Infira,infira,AR,seed,Bioinputs & Crop Resilience,1,0,source: https://www.aceleradoralitoral.com.ar/portfolio/ | Aceleradora Litoral o,Crunchbase: infira | fondo: aceleradora_litoral newsletter/portfolio
7,e155,aceleradora_litoral,Nairotech,nairotech,AR,seed,Biomaterials & Circular Economy,1,0,source: https://www.aceleradoralitoral.com.ar/portfolio/ | Aceleradora Litoral o,Crunchbase: nairotech | fondo: aceleradora_litoral newsletter/portfolio
7,e156,aceleradora_litoral,SeedMatriz,seedmatriz,AR,seed,Bioinputs & Crop Resilience,1,0,source: https://www.aceleradoralitoral.com.ar/portfolio/ | Aceleradora Litoral o,Crunchbase: seedmatriz | fondo: aceleradora_litoral newsletter/portfolio
7,e157,aceleradora_litoral,UnTech,untech,AR,seed,Diagnostics & Health Access,1,0,source: https://www.aceleradoralitoral.com.ar/portfolio/ | Aceleradora Litoral o,Crunchbase: untech | fondo: aceleradora_litoral newsletter/portfolio
7,e126,Antom,Eirú,eiru,AR,seed,Bioinputs & Crop Resilience,1,0,source: https://www.antom.la/portfolio-projects-en | Antom official portfolio pa,Crunchbase: eiru | fondo: Antom newsletter/portfolio
7,e124,Antom,Poás Bioenergy,poas_bioenergy,CR,seed,Nature & Ecosystem Tech,1,0,source: latam_coinvest_network_v3.graphml | GraphML edge direction is not assume,Crunchbase: poas_bioenergy | fondo: Antom newsletter/portfolio
7,e159,CITES,Ardan,ardan,UY,seed,Therapeutics,1,0,source: https://cites-gss.com/en/portfolio/ardan-en/ | CITES official portfolio ,Crunchbase: ardan | fondo: CITES newsletter/portfolio
7,e160,CITES,Bioseek,bioseek,BR,seed,Diagnostics & Health Access,1,0,source: https://cites-gss.com/en/portfolio/bioseek-2/ | CITES official portfolio,Crunchbase: bioseek | fondo: CITES newsletter/portfolio
7,e161,CITES,Circa Therapeutics,circa_therapeutics,AR,seed,Therapeutics,1,0,source: latam_coinvest_network_v3.graphml | GraphML edge direction is not assume,Crunchbase: circa_therapeutics | fondo: CITES newsletter/portfolio
7,e167,CITES,Imvalv,imvalv,AR,seed,Diagnostics & Health Access,1,0,source: latam_coinvest_network_v3.graphml | GraphML edge direction is not assume,Crunchbase: imvalv | fondo: CITES newsletter/portfolio
7,e169,CITES,Pepton,pepton,AR,seed,Diagnostics & Health Access,1,0,source: latam_coinvest_network_v3.graphml | GraphML edge direction is not assume,Crunchbase: pepton | fondo: CITES newsletter/portfolio
7,e170,CITES,PhylumTech,phylumtech,AR,seed,Diagnostics & Health Access,1,0,source: latam_coinvest_network_v3.graphml | GraphML edge direction is not assume,Crunchbase: phylumtech | fondo: CITES newsletter/portfolio
7,e172,CITES,Single Strand Biotech,single_strand_biotech,AR,seed,Therapeutics,1,0,source: latam_coinvest_network_v3.graphml | GraphML edge direction is not assume,Crunchbase: single_strand_biotech | fondo: CITES newsletter/portfolio
7,e178,glocal,Eirú,eiru,AR,seed,Bioinputs & Crop Resilience,1,0,source: latam_coinvest_network_v3.graphml | GraphML edge direction is not assume,Crunchbase: eiru | fondo: glocal newsletter/portfolio
7,e231,GridX,AVaTAR MedTech,avatar_medtech,AR,seed,Diagnostics & Health Access,1,0,source: https://www.gridexponential.com/portfolio | GridX official portfolio lis,Crunchbase: avatar_medtech | fondo: GridX newsletter/portfolio
7,e266,GridX,BioCl,biocle,AR,seed,Therapeutics,1,0,source: https://www.gridexponential.com/portfolio | GridX official portfolio lis,Crunchbase: biocle | fondo: GridX newsletter/portfolio
7,e70,GridX,Cell Farm,cell_farm,AR,seed,Food Systems & Alt Proteins,1,0,source: https://www.gridexponential.com/portfolio | GraphML edge direction is no,Crunchbase: cell_farm | fondo: GridX newsletter/portfolio
7,e72,GridX,Cytbac,cytbac,AR,seed,Diagnostics & Health Access,1,0,source: https://www.gridexponential.com/portfolio | GraphML edge direction is no,Crunchbase: cytbac | fondo: GridX newsletter/portfolio
7,e249,GridX,Nano Jump Bio,nanojump_bio,AR,seed,Diagnostics & Health Access,1,0,source: https://www.gridexponential.com/portfolio | GridX official portfolio lis,Crunchbase: nanojump_bio | fondo: GridX newsletter/portfolio
7,e92,GridX,Ocular Bio Design,ocular_bio_design,AR,seed,Therapeutics,1,0,source: https://www.gridexponential.com/portfolio | GraphML edge direction is no,Crunchbase: ocular_bio_design | fondo: GridX newsletter/portfolio
7,e94,GridX,Plamic,plamic,AR,seed,Biomanufacturing & Platform Technologies,1,0,source: https://www.gridexponential.com/portfolio | GraphML edge direction is no,Crunchbase: plamic | fondo: GridX newsletter/portfolio
7,e267,GridX,Resistia,resistia,AR,seed,Diagnostics & Health Access,1,0,source: https://www.gridexponential.com/portfolio | GraphML edge direction is no,Crunchbase: resistia | fondo: GridX newsletter/portfolio
7,e256,GridX,Scitherm Therapeutics,scitherm_therapeutics,MX,seed,Therapeutics,1,0,source: https://www.gridexponential.com/portfolio | GraphML edge direction is no,Crunchbase: scitherm_therapeutics | fondo: GridX newsletter/portfolio
7,e268,GridX,Tesabio.ai,tesabio_ai,AR,seed,Therapeutics,1,0,source: https://www.gridexponential.com/portfolio | GraphML edge direction is no,Crunchbase: tesabio_ai | fondo: GridX newsletter/portfolio
7,e112,inventure,Calice,calice,AR,seed,Farm Intelligence,1,0,source: https://www.lanacion.com.ar/economia/campo/nuevas-tecnologias-un-fondo-d,Crunchbase: calice | fondo: inventure newsletter/portfolio
7,e105,inventure,Eiwa,eiwa,AR,seed,Farm Intelligence,1,0,source: https://www.lanacion.com.ar/economia/campo/nuevas-tecnologias-un-fondo-d,Crunchbase: eiwa | fondo: inventure newsletter/portfolio
7,e106,inventure,Elytron Biotech,elytron_biotech,AR,seed,Biomanufacturing & Platform Technologies,1,0,source: https://www.lanacion.com.ar/economia/campo/nuevas-tecnologias-un-fondo-d,Crunchbase: elytron_biotech | fondo: inventure newsletter/portfolio
7,e108,inventure,Sensify,sensify,AR,seed,Farm Intelligence,1,0,source: https://www.lanacion.com.ar/economia/campo/nuevas-tecnologias-un-fondo-d,Crunchbase: sensify | fondo: inventure newsletter/portfolio
7,e110,inventure,Tracestory,tracestory,AR,seed,Nature & Ecosystem Tech,1,0,source: https://www.lanacion.com.ar/economia/campo/nuevas-tecnologias-un-fondo-d,Crunchbase: tracestory | fondo: inventure newsletter/portfolio
7,e206,kamay_ventures,Arqlite,arqlite,AR,seed,Biomaterials & Circular Economy,1,0,source: latam_coinvest_network_v3.graphml | GraphML edge direction is not assume,Crunchbase: arqlite | fondo: kamay_ventures newsletter/portfolio
7,e203,kamay_ventures,LogShare,logshare,BR,seed,Nature & Ecosystem Tech,1,0,source: latam_coinvest_network_v3.graphml | GraphML edge direction is not assume,Crunchbase: logshare | fondo: kamay_ventures newsletter/portfolio
7,e204,kamay_ventures,MUTA,muta,CO,seed,Biomaterials & Circular Economy,1,0,source: latam_coinvest_network_v3.graphml | GraphML edge direction is not assume,Crunchbase: muta | fondo: kamay_ventures newsletter/portfolio
7,e201,kamay_ventures,Nude,nude,BR,seed,Food Systems & Alt Proteins,1,0,source: latam_coinvest_network_v3.graphml | GraphML edge direction is not assume,Crunchbase: nude | fondo: kamay_ventures newsletter/portfolio
7,e199,kamay_ventures,Sensify,sensify,AR,seed,Farm Intelligence,1,0,source: latam_coinvest_network_v3.graphml | GraphML edge direction is not assume,Crunchbase: sensify | fondo: kamay_ventures newsletter/portfolio
7,e208,kamay_ventures,Solfium,solfium,MX,seed,Nature & Ecosystem Tech,1,0,source: latam_coinvest_network_v3.graphml | GraphML edge direction is not assume,Crunchbase: solfium | fondo: kamay_ventures newsletter/portfolio
7,e191,kamay_ventures,Wiagro,wiagro,AR,seed,Farm Intelligence,1,0,source: latam_coinvest_network_v3.graphml | GraphML edge direction is not assume,Crunchbase: wiagro | fondo: kamay_ventures newsletter/portfolio
7,manual-pampa-start-agrired,pampa_start,Agrired,agrired,AR,seed,Farm Intelligence,1,0,source: https://www.startuplinks.world/instituciones-de-inversion/pampa-start-vc,Crunchbase: agrired | fondo: pampa_start newsletter/portfolio
7,manual-pampa-start-eiwa,pampa_start,Eiwa,eiwa,AR,seed,Farm Intelligence,1,0,source: https://www.startuplinks.world/instituciones-de-inversion/pampa-start-vc,Crunchbase: eiwa | fondo: pampa_start newsletter/portfolio
7,manual-savia-ventures-solfium,savia_ventures,Solfium,solfium,MX,seed,Nature & Ecosystem Tech,1,0,source: https://saviaventures.com/ | Savia Ventures official portfolio lists Sol,Crunchbase: solfium | fondo: savia_ventures newsletter/portfolio
7,e147,SF500,Eirú,eiru,AR,seed,Bioinputs & Crop Resilience,1,0,source: https://sf500.com.ar/portfolio/ | SF500 official portfolio page lists th,Crunchbase: eiru | fondo: SF500 newsletter/portfolio
7,manual-spventures-promip,sp_ventures,Promip,promip,BR,,Bioinputs & Crop Resilience,2,0,source: https://spventures.com.br/portfolio/ | SP Ventures official portfolio li,Crunchbase: promip | LinkedIn announcement | sp_ventures portfolio
7,e188,the_yield_lab_latam,Agree,agree,AR,seed,Nature & Ecosystem Tech,1,0,source: latam_coinvest_network_v3.graphml | GraphML edge direction is not assume,Crunchbase: agree | fondo: the_yield_lab_latam newsletter/portfolio
7,e186,the_yield_lab_latam,Courageous Land,courageous_land,BR,seed,Nature & Ecosystem Tech,1,0,source: latam_coinvest_network_v3.graphml | GraphML edge direction is not assume,Crunchbase: courageous_land | fondo: the_yield_lab_latam newsletter/portfolio
7,e182,the_yield_lab_latam,Eiwa,eiwa,AR,seed,Farm Intelligence,1,0,source: latam_coinvest_network_v3.graphml | GraphML edge direction is not assume,Crunchbase: eiwa | fondo: the_yield_lab_latam newsletter/portfolio
7,e187,the_yield_lab_latam,Heartbest,heartbest,MX,seed,Food Systems & Alt Proteins,1,0,source: latam_coinvest_network_v3.graphml | GraphML edge direction is not assume,Crunchbase: heartbest | fondo: the_yield_lab_latam newsletter/portfolio
7,manual-GridX-tomorrow_foods-1427ce,GridX,Tomorrow,tomorrow_foods,AR,seed,Food Systems & Alt Proteins,1,0,https://www.gridexponential.com/portfolio,Crunchbase: tomorrow_foods | fondo: GridX newsletter/portfolio
7,manual-zentynel-multiplai_health-ba776b,zentynel,MultiplAI Health,multiplai_health,AR,seed,Diagnostics & Health Access,1,0,https://zentynel.com/en/portfolio/,Crunchbase: multiplai_health | fondo: zentynel newsletter/portfolio
7,manual-eatable_adventures-nunatak_biotech-80116c,eatable_adventures,Nunatak Biotech,nunatak_biotech,AR,seed,Bioinputs & Crop Resilience,1,0,https://eatableadventures.com/news/five-startups-set-to-transform-agrifood-innov,Crunchbase: nunatak_biotech | fondo: eatable_adventures newsletter/portfolio
7,manual-savia_ventures-satellites_on_fire-dd4e34,savia_ventures,Satellites on Fire,satellites_on_fire,AR,seed,Nature & Ecosystem Tech,1,0,https://saviaventures.com/,Crunchbase: satellites_on_fire | fondo: savia_ventures newsletter/portfolio
7,manual-barn_investimentos-rumina-1c809f,barn_investimentos,Rumina,rumina,BR,seed,Farm Intelligence,1,0,https://www.barn.ag/portfolio,Crunchbase: rumina | fondo: barn_investimentos newsletter/portfolio
7,manual-fen_ventures-andes-biotechnologies-cl-34189c,fen_ventures,Andes Biotechnologies,andes-biotechnologies-cl,CL,seed,Therapeutics,1,0,https://fenventures.com/portfolio,Crunchbase: andes-biotechnologies-cl | fondo: fen_ventures newsletter/portfolio
