entity_id,name,country,is_bio_actual,sugerido_auto,c1_foco_bio_especifico,c2_entendimiento_bio,c3_representacion_techbio,curador_tema,curador_is_bio,summary
eiwa,Eiwa,AR,0,REVISAR,,,,,,"Agtech platform to integrate, standardize and analyze agronomic data at scale in research, market development and production. Enter the thesis for precision agr"
farmbox-br,Farmbox,BR,1,BORDE - operacional/sensing (revisar modelo bio),,,,,,"Brazilian agronomy management platform for planning, monitoring and optimizing agricultural operations. Provides digital field books, agronomic prescriptions, s"
horus_aeronaves,Horus Aeronaves,BR,1,BORDE - operacional/sensing (revisar modelo bio),,,,,,"Horus Aeronaves is a Brazilian drone and aerial-mapping company developing UAVs, sensors and image-processing products for agriculture. Public investment covera"
inceres,InCeres,BR,0,BORDE - operacional/sensing (revisar modelo bio),,,,,,"Brazilian precision-agriculture platform integrating agricultural information from pre-planting to post-harvest, with AI, soil sampling, satellite monitoring an"
incluirtec,Incluirtec,CO,1,Digital AgTech (eco-adjacent),,,,,,"IncluirTec is a Colombian agfintech-as-a-service platform enabling formal credit for small agricultural producers, rural microentrepreneurs and financial instit"
inkus-biotech-cl,Inkus Biotech,CL,1,KEEP - TechBio (gate 3/3?),,,,,,Applies AI and advanced genomics to improve pathogen resistance and climate adaptation of aquatic species in salmon farming. CORFO COWO Los Lagos incubator. CEO
inspectral-br,Inspectral,BR,1,KEEP - TechBio (gate 3/3?),,,,,,"Inspectral fuses multispectral and hyperspectral satellite/drone imagery with AI and bio-optical modeling to monitor water quality, detect macrophytes and fires"
instacrops-cl,Instacrops,CL,0,BORDE - operacional/sensing (revisar modelo bio),,,,,,"Integrates IoT field sensors, satellite imagery, and weather data into an AI platform monitoring 80+ agronomic parameters and delivering real-time irrigation an"
isobar-br,Isobar,BR,1,BORDE - operacional/sensing (revisar modelo bio),,,,,,"Brazilian precision agriculture analytics platform for coffee and sugarcane producers, providing crop monitoring, satellite imagery, IoT sensor integration and "
jetbov,JetBov,BR,0,REVISAR,,,,,,Brazilian agtech for herd management and digitalization of the beef cattle chain. Enter precision agriculture intelligence applied to living animal production s
laurus_ag_tech,Laurus AG Tech,AR,1,Digital AgTech (eco-adjacent),,,,,,Laurus AG Tech is an urban-farming startup building decentralized autonomous farms that produce fresh vegetables close to consumers. Its public profile describe
leaf,Leaf,US,0,BORDE - operacional/sensing (revisar modelo bio),,,,,,"Agriculture data-infrastructure company providing a unified API for food and agriculture, translating machine, field, imagery, weather and agronomic data into c"
nilus,Nilus,AR,1,KEEP - TechBio (gate 3/3?),,,,,,Nilus is a Latin American food-rescue and food-access platform that connects surplus or inefficient food supply with low-cost distribution channels. It is not b
pink-farms,Pink Farms,BR,1,REVISAR,,,,,,Brazilian urban vertical farming startup to produce fresh leaves close to consumption with less use of resources. It clearly comes in through biobased food syst
precision_ag,Precision Ag,BR,1,BORDE - operacional/sensing (revisar modelo bio),,,,,,Precision Ag is a Brazilian precision-agriculture services company providing outsourced crop spraying and field operations with agricultural drones in Rio Grand
rumina,Rumina,BR,1,KEEP - TechBio (gate 3/3?),,,,,,"Rúmina provides technology and intelligence for dairy farming in Brazil and Latin America, supporting producers to become more productive and sustainable. It be"
seedz,Seedz,BR,1,KEEP - TechBio (gate 3/3?),,,,,,"Seedz is a Brazilian agtech platform for agribusiness loyalty, producer engagement, commercial intelligence, rewards, payments and credit access. Its relevance "
sensify,Sensify,AR,1,BORDE - operacional/sensing (revisar modelo bio),,,,,,Sensify is an Argentine IoT and AI platform for commercial refrigeration and cold-chain operations in food and beverages. Its systems connect refrigeration asse
sensix,Sensix,BR,0,BORDE - operacional/sensing (revisar modelo bio),,,,,,"Sensix is a Brazilian decision-agriculture platform that combines remote sensing, soil data, productivity maps, climate information and AI to turn field data in"
sette,Sette,BR,0,Digital AgTech (eco-adjacent),,,,,,"Brazilian agrifintech infrastructure platform digitizing agricultural guarantees, CPR registration, certificates, signatures and credit-risk workflows with AI, "
siloreal,SiloReal,AR,1,KEEP - TechBio (gate 3/3?),,,,,,"SiloReal provides infrastructure to remotely verify, digitalize and value agricultural assets in the field so they can be insured, financed and transacted as re"
silohub,Silohub,AR,0,REVISAR,,,,,,"Argentine AgTech that digitizes the last mile of the grain business for warehouses, distributors and producers. Enter the thesis for precision agriculture and r"
sima,Sima,AR,0,REVISAR,,,,,,"Smart agriculture platform for crop monitoring, geolocation of data and generation of work orders in the field. Enter the thesis for precision agriculture and r"
sioma,Sioma,CO,0,REVISAR,,,,,,Colombian agtech startup that combines hardware and software adapted for real-time traceability and productivity per plant in tropical crops such as banana and 
smartbreeder,SmartBreeder,BR,0,REVISAR,,,,,,"Brazilian agtech that uses AI and agronomic analytics to improve agricultural management, increase productivity and reduce waste. Enter precision agriculture in"
solinftec,Solinftec,BR,0,REVISAR,,,,,,"Brazil-founded agtech and global AI/SaaS platform for agribusiness, managing real-time agricultural operations and supporting more efficient, lower-impact food "
spaceag,SpaceAG,PE,0,BORDE - operacional/sensing (revisar modelo bio),,,,,,"Peruvian agtech for high-value crops that integrates satellite images, drones and field workflows to provide agronomic insights throughout the season. Enter cle"
strider-br,Strider,BR,0,KEEP - TechBio (gate 3/3?),,,,,,Big data platform for pest and disease monitoring in crops using georeferenced data allowing targeted phytosanitary management. Backed by Monashees Capital and 
tbit,TBIT,BR,1,Digital AgTech (eco-adjacent),,,,,,TBIT is a Brazilian agtech replacing manual seed and grain analysis with digital image processing and AI. The technology supports objective quality evaluation f
tarvos-br,Tarvos,BR,0,BORDE - operacional/sensing (revisar modelo bio),,,,,,"Tarvos deploys AI-powered automated traps using computer vision to identify agricultural insect pests in real time. Monitors Spodoptera caterpillars in soybean,"
terramagna,TerraMagna,BR,0,Digital AgTech (eco-adjacent),,,,,,"Brazilian agrifintech providing credit, receivables and fund infrastructure for agricultural input distributors and the broader agro chain"
the-earth-says,The Earth Says,CL,1,BORDE - operacional/sensing (revisar modelo bio),,,,,,The Earth Says is a Chilean agtech using AI-based monitoring of hives and pollination conditions to improve crop yields and optimize pollination services. Its p
traive,Traive,BR,0,Digital AgTech (eco-adjacent),,,,,,"Brazilian agrifintech connecting agribusiness and investors through AI-powered agricultural credit, risk analysis, receivables and traceability infrastructure"
tuplaza,TuPlaza,CO,1,Digital AgTech (eco-adjacent),,,,,,TuPlaza is a Colombian fresh-produce supply-chain platform connecting quality-focused farmers with grocery stores and mass-consumption channels. Its public prof
verqor,Verqor,MX,1,KEEP - TechBio (gate 3/3?),,,,,,"Verqor is a Mexican agfintech providing formal, digital and productive financing for farmers and agricultural SMEs, especially for inputs, machinery and working"
voa,Voa,BR,0,KEEP - TechBio (gate 3/3?),,,,,,Voa is a Brazilian precision-agriculture company operating drone fleets and analytics services for field monitoring and precise application of biological agents
wiagro,Wiagro,AR,1,Digital AgTech (eco-adjacent),,,,,,"Wiagro monitors stored grain and silo bags using IoT sensors, satellite connectivity, environmental data integration, predictive models, and digital traceabilit"
wiseconn-cl,Wiseconn,CL,1,BORDE - operacional/sensing (revisar modelo bio),,,,,,"Provides the DropControl irrigation management platform with wireless in-field sensors and cloud software enabling farmers to remotely schedule, monitor, and au"
zoomagri,ZoomAgri,AR,0,BORDE - operacional/sensing (revisar modelo bio),,,,,,"Agtech startup that digitizes inspection, testing and certification of agricultural and food commodities through computer vision and machine learning. Enter the"
goflux,goFlux,BR,1,Digital AgTech (eco-adjacent),,,,,,"Brazilian B2B freight SaaS for quotation, contracting and management of road freight, operating in major agro/logistics arteries and offering carbon-aware logis"
