"startup_id","startup_name","scope_decision","scope_reason","macro_theme","emergent_theme","structured_sector","structured_country","degree","confidence","data_quality_score_10","quality_band","research_priority","entity_basics_score","taxonomy_confidence_score","scope_clarity_score","maturity_evidence_score","graph_context_score","assignment_method","evidence_source","has_current_trl","missing_signals"
"bekeu","Bekeu","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Other / Unclassified","","3","0.89","8","medium","2","1.5","2","2","1.5","1","manual_override","bekeu_official_site_2026","False","country_unconfirmed"
"betterfly","Betterfly","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Other / Unclassified","","4","0.88","8","medium","2","1.5","2","2","1.5","1","manual_override","betterfly_official_site_2026","False","country_unconfirmed"
"chazki","Chazki","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Other / Unclassified","","2","0.9","8","medium","2","1.5","2","2","1.5","1","manual_override","chazki_official_site_2026","False","country_unconfirmed"
"dynami","Dynami","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Other / Unclassified","","3","0.9","8","medium","2","1.5","2","2","1.5","1","manual_override","dynami_official_site_2026","False","country_unconfirmed"
"eureka","Eureka","exclude","full_digital_services_no_bio_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Other / Unclassified","","2","0.72","8","medium","2","1.5","2","2","1.5","1","manual_override","eureka_public_site_2026","False","country_unconfirmed"
"falcomm","Falcomm","exclude","non_latam_non_bio_semiconductor_hardware_outside_scope","frontier hardware and infrastructure systems","energy-efficient semiconductor hardware","Other / Unclassified","","2","0.84","8","medium","2","1.5","2","2","1.5","1","manual_override","techcrunch_falcomm_2025","False","country_unconfirmed"
"flexza","Flexza","exclude","health_fintech_not_thesis_core_bio_or_medtech","peripheral or non-core digital ventures","health benefits fintech infrastructure","Other / Unclassified","","1","0.84","8","medium","2","1.5","2","2","1.5","1","manual_override","flexza_public_profiles_2026","False","country_unconfirmed"
"fligoo","Fligoo","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Other / Unclassified","","1","0.86","8","medium","2","1.5","2","2","1.5","1","manual_override","fligoo_public_profiles_2026","False","country_unconfirmed"
"frete_com","Frete Com","exclude","logistics_software_without_thesis_core_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Other / Unclassified","","1","0.66","8","medium","2","1.5","2","2","1.5","1","manual_override","freight_platform_public_signal_2026","False","country_unconfirmed"
"iof","Iof","exclude","insufficient_public_evidence_and_no_defensible_materiality_signal","peripheral or underclassified ventures","unclassified / needs review resolved","Other / Unclassified","","1","0.52","8","medium","2","1.5","2","2","1.5","1","manual_override","internal_research_2026","False","country_unconfirmed"
"lifit","Lifit","exclude","consumer_software_without_thesis_core_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Other / Unclassified","","1","0.58","8","medium","2","1.5","2","2","1.5","1","manual_override","lifit_public_signal_2026","False","country_unconfirmed"
"logan","Logan","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Other / Unclassified","","1","0.9","8","medium","2","1.5","2","2","1.5","1","manual_override","logan_official_site_2026","False","country_unconfirmed"
"menta_tickets","Menta Tickets","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Other / Unclassified","","1","0.88","8","medium","2","1.5","2","2","1.5","1","manual_override","menta_official_site_2026","False","country_unconfirmed"
"openlayer","Openlayer","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Other / Unclassified","","3","0.9","8","medium","2","1.5","2","2","1.5","1","manual_override","openlayer_official_site_2026","False","country_unconfirmed"
"pods","Pods","exclude","insufficient_public_evidence_and_no_defensible_materiality_signal","peripheral or underclassified ventures","unclassified / needs review resolved","Other / Unclassified","","3","0.52","8","medium","2","1.5","2","2","1.5","1","manual_override","internal_research_2026","False","country_unconfirmed"
"prima","Prima","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Other / Unclassified","","2","0.6","8","medium","2","1.5","2","2","1.5","1","manual_override","public_web_signal_2026","False","country_unconfirmed"
"retrypay","Retrypay","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Other / Unclassified","","3","0.84","8","medium","2","1.5","2","2","1.5","1","manual_override","retrypay_public_profiles_2026","False","country_unconfirmed"
"sensei","Sensei","exclude","full_digital_retail_automation_no_bio_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Other / Unclassified","","1","0.9","8","medium","2","1.5","2","2","1.5","1","manual_override","sensei_official_site_2026","False","country_unconfirmed"
"spectrum","Spectrum","exclude","services_platform_outside_thesis","peripheral or non-core digital ventures","digital coordination and market infrastructure","Other / Unclassified","","2","0.82","8","medium","2","1.5","2","2","1.5","1","manual_override","spectrum_public_site_2026","False","country_unconfirmed"
"spline","Spline","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Other / Unclassified","","1","0.85","8","medium","2","1.5","2","2","1.5","1","manual_override","public_reporting_2026","False","country_unconfirmed"
"starlight_ventures","Starlight Ventures","exclude","non_startup_entity_or_scope_misclassification","peripheral or underclassified ventures","non-startup or ecosystem actor misclassified","Other / Unclassified","","1","0.62","8","medium","2","1.5","2","2","1.5","1","manual_override","internal_research_2026","False","country_unconfirmed"
"strike","Strike","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Other / Unclassified","","1","0.9","8","medium","2","1.5","2","2","1.5","1","manual_override","strike_official_site_2026","False","country_unconfirmed"
"teachy","Teachy","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Other / Unclassified","","1","0.9","8","medium","2","1.5","2","2","1.5","1","manual_override","teachy_official_site_2026","False","country_unconfirmed"
"vixtra","Vixtra","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Other / Unclassified","","1","0.9","8","medium","2","1.5","2","2","1.5","1","manual_override","vixtra_official_site_2026","False","country_unconfirmed"
"vmind","VMind","exclude","full_digital_ai_infrastructure_no_bio_materiality_signal","peripheral or non-core digital ventures","AI compute acceleration software","Other / Unclassified","","2","0.82","8","medium","2","1.5","2","2","1.5","1","manual_override","f6s_vmind_2026","False","country_unconfirmed"
"aerialoop","Aerialoop","exclude","official_site_signal_non_thesis_aerospace_infrastructure","frontier hardware and infrastructure systems","drone logistics and aerial surveillance systems","Other / Unclassified","EC/US","3","0.88","8.5","high","1","2","2","2","1.5","1","manual_override","aerialoop_official_site_2026","False",""
"agroadvance","Agroadvance","exclude","ag_education_and_capability_platform_without_specific_bio_material_or_planetary_boundary_mechanism","peripheral or non-core digital ventures","ag education outside bio thesis","","BR","0","0.9","8.5","high","1","2","2","2","1.5","1","manual_override","agroadvance_official_site_2026","False",""
"altscore","Altscore","exclude","full_digital_fintech_no_bio_materiality_signal","peripheral or non-core digital ventures","embedded finance and credit infrastructure","Digital Economy","","3","0.93","8.5","high","1","1.5","2","2","1.5","1.5","manual_override","altscore_official_2026","False","country_unconfirmed"
"auth0","Auth0","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Other / Unclassified","","20","0.92","8.5","high","3","1.5","2","2","1.5","1.5","manual_override","auth0_official_site_2026","False","country_unconfirmed"
"concil","Concil","exclude","payments_reconciliation_no_bio_or_ag_materiality_signal","peripheral or non-core digital ventures","payments reconciliation software","","BR","0","0.78","8.5","high","1","2","2","2","1.5","1","manual_override","official_portfolio_profile","False",""
"erural","Erural","exclude","livestock_marketplace_and_agfintech_without_specific_bio_transition_or_planetary_boundary_mechanism","peripheral or non-core digital ventures","livestock marketplace outside bio thesis","","BR","0","0.86","8.5","high","1","2","2","2","1.5","1","manual_override","erural_official_site_2026","False",""
"geofusion","Geofusion","exclude","general_location_intelligence_no_bio_or_ag_materiality_signal","peripheral or non-core digital ventures","location intelligence software","","BR","0","0.82","8.5","high","1","2","2","2","1.5","1","manual_override","official_website","False",""
"lia_aeospace","LIA Aeospace","exclude","official_site_signal_non_thesis_space_infrastructure","frontier hardware and infrastructure systems","green satellite propulsion systems","Other / Unclassified","AR","3","0.84","8.5","high","1","2","2","2","1.5","1","manual_override","lia_aerospace_official_site_2026","False",""
"lupeon","Lupeon","exclude","general_logistics_saas_not_specific_to_bio_or_ag_material_transition","peripheral or non-core digital ventures","general logistics software","","BR","0","0.7","8.5","high","1","2","2","2","1.5","1","manual_override","secondary_public_profile","False",""
"luzid","Luzid","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Other / Unclassified","CR","1","0.9","8.5","high","1","2","2","2","1.5","1","manual_override","luzid_official_site_2026","False",""
"nuclearis","Nuclearis","exclude","energy_industrial_but_not_bio_or_biocentric_thesis_core","frontier hardware and infrastructure systems","nuclear industrial engineering","Other / Unclassified","AR","2","0.8","8.5","high","1","2","2","2","1.5","1","manual_override","nuclearis_official_site_2026","False",""
"nuvia","Nuvia","exclude","non_bio_non_biocentric_hardware_outside_thesis","frontier hardware and infrastructure systems","semiconductor compute systems","Other / Unclassified","US","2","0.77","8.5","high","1","2","2","2","1.5","1","manual_override","public_news_signal_2026","False",""
"oneinfinite","OneInfinite","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Other / Unclassified","AR","3","0.9","8.5","high","1","2","2","2","1.5","1","manual_override","oneinfinite_official_site_2026","False",""
"quantum_south","Quantum South","exclude","official_site_signal_non_thesis_logistics_software","computational biology and scientific software","quantum cargo optimization","Other / Unclassified","UY","1","0.82","8.5","high","1","2","2","2","1.5","1","manual_override","quantum_south_official_site_2026","False",""
"teramot","Teramot","exclude","full_digital_ai_agent_infrastructure_no_materiality_signal","peripheral or non-core digital ventures","AI agent connectivity infrastructure","Other / Unclassified","AR","3","0.88","8.5","high","1","2","2","2","1.5","1","manual_override","linkedin_teramot_2026","False",""
"verge_ag","Verge Ag","exclude","non_latam_company_despite_ag_relevance","precision agriculture and resource intelligence","farm machinery optimization","","CA","0","0.78","8.5","high","1","2","2","2","1.5","1","manual_override","official_website","False",""
"vu","Vu","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Other / Unclassified","AR","1","0.9","8.5","high","1","2","2","2","1.5","1","manual_override","vu_official_site_2026","False",""
"wisy","Wisy","exclude","full_digital_cpg_retail_execution_no_bio_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Other / Unclassified","US/AR","4","0.9","8.5","high","1","2","2","2","1.5","1","manual_override","wisy_official_site_2026","False",""
"123seguro","123Seguro","exclude","insurance_marketplace_no_material_bio_or_planetary_boundary_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","AR","4","0.88","9","high","1","2","2","2","1.5","1.5","manual_override","official_website","False",""
"abastra","AbAstra","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Bio·Industry","AR","2","0.97","9","high","1","2","2","2","1.5","1.5","manual_override","abastra_official_site_2026","False",""
"amaro","Amaro","exclude","fashion_ecommerce_no_material_bio_or_regenerative_signal","peripheral or non-core digital ventures","digital commerce and consumer platforms","Digital Economy","BR","4","0.9","9","high","1","2","2","2","1.5","1.5","manual_override","official_website","False",""
"barte","Barte","exclude","payments_and_corporate_banking_no_material_bio_signal","peripheral or non-core digital ventures","digital finance and payments infrastructure","Digital Economy","BR","3","0.92","9","high","1","2","2","2","1.5","1.5","manual_override","official_website","False",""
"capim","Capim","exclude","healthcare_saas_fintech_no_bio_materiality_signal","peripheral or non-core digital ventures","healthcare operations and embedded finance","Digital Economy","BR","2","0.86","9","high","1","2","2","2","1.5","1.5","manual_override","official_website","False",""
"cargo_sapiens","Cargo Sapiens","exclude","generic_logistics_software_no_specific_bio_or_planetary_boundary_signal","peripheral or non-core digital ventures","logistics optimization outside bio thesis","Digital Economy","BR","2","0.86","9","high","1","2","2","2","1.5","1.5","manual_override","cargo_sapiens_official_site_2026","False",""
"circular","Circular","exclude","official_site_signal_full_digital_no_materiality","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","AR","2","0.92","9","high","1","2","2","2","1.5","1.5","manual_override","user_gemini_candidate_2026","False",""
"clover","Clover","exclude","official_site_signal_full_digital_no_materiality","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","US/AR","1","0.94","9","high","1","2","2","2","1.5","1.5","manual_override","clover_official_site_2026","False",""
"cobli","Cobli","exclude","fleet_telemetry_efficiency_but_no_bio_or_planetary_thesis_core","peripheral or non-core digital ventures","mobility and logistics efficiency software","Digital Economy","BR","2","0.84","9","high","1","2","2","2","1.5","1.5","manual_override","official_website","False",""
"conciencia","Conciencia","exclude","candidate_signal_edtech_non_thesis","peripheral or non-core digital ventures","digital coordination and market infrastructure","Bio·Industry","AR","2","0.83","9","high","1","2","2","2","1.5","1.5","manual_override","user_gemini_candidate_2026","False",""
"crinsurance","CRInsurance","exclude","candidate_signal_insurtech_non_thesis","peripheral or non-core digital ventures","digital coordination and market infrastructure","Human Health","AR","1","0.86","9","high","1","2","2","2","1.5","1.5","manual_override","user_gemini_candidate_2026","False",""
"egg","Egg","exclude","full_digital_edtech_no_bio_materiality_signal","peripheral or non-core digital ventures","education technology and training platforms","Digital Economy","AR","2","0.82","9","high","1","2","2","2","1.5","1.5","manual_override","egg_company_profile_2026","False",""
"endless","Endless","exclude","candidate_signal_non_thesis_software","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","US","2","0.83","9","high","1","2","2","2","1.5","1.5","manual_override","user_gemini_candidate_2026","False",""
"ethos","Ethos","exclude","investor_not_startup_entity_outside_startup_universe","peripheral or non-core digital ventures","venture capital and startup investment platform","Digital Economy","US/Latam","1","0.92","9","high","1","2","2","2","1.5","1.5","manual_override","ethos_vc_official_2026","False",""
"gbm","GBM","exclude","full_digital_fintech_no_bio_materiality_signal","peripheral or non-core digital ventures","investment and brokerage platform","Digital Economy","MX","1","0.94","9","high","1","2","2","2","1.5","1.5","manual_override","gbm_official_2026","False",""
"ini","INI","exclude","full_digital_fintech_no_bio_materiality_signal","peripheral or non-core digital ventures","offline payments and fintech infrastructure","Digital Economy","AR","2","0.86","9","high","1","2","2","2","1.5","1.5","manual_override","ini_forbes_2023","False",""
"mabloc","Mabloc","exclude","non_latam_company_despite_bio_relevance","peripheral or non-core digital ventures","therapeutics and regenerative bio","Digital Economy","BR","1","0.78","9","high","1","2","2","2","1.5","1.5","manual_override","official_website","False",""
"mentatech","MentaTech","exclude","full_digital_ticketing_no_bio_materiality_signal","peripheral or non-core digital ventures","ticketing and fan exchange infrastructure","Digital Economy","AR","4","0.78","9","high","1","2","2","2","1.5","1.5","manual_override","mentatech_linkedin_2026","False",""
"novo_space","NOVO SPACE","exclude","official_site_signal_non_thesis_space_infrastructure","frontier hardware and infrastructure systems","rad-tolerant space computing systems","Other / Unclassified","AR/US","5","0.9","9","high","2","2","2","2","1.5","1.5","manual_override","novo_space_official_site_2026","False",""
"ruedata","Ruedata","exclude","logistics_software_without_thesis_core_materiality_signal","peripheral or non-core digital ventures","fleet tire optimization and logistics software","Digital Economy","CO/AR","3","0.82","9","high","1","2","2","2","1.5","1.5","manual_override","ruedata_official_2026","False",""
"skyloom","Skyloom","exclude","official_site_signal_non_thesis_space_infrastructure","frontier hardware and infrastructure systems","space optical communications","Other / Unclassified","US/AR","7","0.88","9","high","2","2","2","2","1.5","1.5","manual_override","skyloom_official_site_2026","False",""
"stradot","Stradot","exclude","urban_mobility_infrastructure_no_bio_materiality_signal","peripheral or non-core digital ventures","urban parking and mobility infrastructure","Digital Economy","FR/AR","3","0.76","9","high","1","2","2","2","1.5","1.5","manual_override","stradot_crunchbase_2026","False",""
"tissue_dynamics","Tissue Dynamics","exclude","non_latam_biotech_company_despite_strong_bio_relevance","therapeutics and regenerative medicine","organ models and drug discovery platforms","Digital Economy","IL","2","0.94","9","high","1","2","2","2","1.5","1.5","manual_override","official_website","False",""
"aloi","Aloi","exclude","full_digital_tax_software_no_bio_materiality_signal","peripheral or non-core digital ventures","tax and enterprise compliance software","Digital Economy","US/Latam","5","0.86","9.5","high","2","2","2","2","1.5","2","manual_override","official_website","False",""
"blerify","Blerify","exclude","full_digital_identity_infrastructure_no_bio_materiality_signal","peripheral or non-core digital ventures","digital identity and credential infrastructure","Digital Economy","AR/US","5","0.9","9.5","high","2","2","2","2","1.5","2","manual_override","blerify_public_profiles_2026","False",""
"lemon","Lemon","exclude","full_digital_fintech_no_bio_materiality_signal","peripheral or non-core digital ventures","crypto and consumer fintech","Digital Economy","AR","8","0.82","9.5","high","2","2","2","2","1.5","2","manual_override","lemon_public_signal_2026","False",""
"webee","Webee","exclude","official_site_signal_non_thesis_industrial_software","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","US/AR","5","0.9","9.5","high","2","2","2","2","1.5","2","manual_override","webee_official_site_2026","False",""
"aegro","Aegro","include","bio_centric_farm_management_and_resource_efficiency","precision agriculture and resource intelligence","farm management and field intelligence","","BR","0","0.78","8","medium","4","2","2","2","1","1","manual_override","official_website","False","needs_current_trl_research"
"ages","AGES","include","official_portfolio_signal_bio_based_or_biocentric","biobased chemistry and advanced materials","biobased chemistry and materials","","BR","0","0.9","8","medium","4","2","2","2","1","1","manual_override","kptl_ages_2026","False","needs_current_trl_research"
"agricapital","Agricapital","include","official_website_signal_material_ag_system","climate, energy and resource systems","traceability and tokenized resource infrastructure","","CO","0","0.82","8","medium","4","2","2","2","1","1","manual_override","agricapital_official_site_2026","False","needs_current_trl_research"
"agrivalle","Agrivalle","include","core_bio_ag_biologicals_and_bioinputs","ag biologicals and crop resilience","bioinputs and biostimulants","","BR","0","0.76","8","medium","4","2","2","2","1","1","manual_override","external_profile","False","needs_current_trl_research"
"agrofy","Agrofy","include","bio_centric_ag_market_infrastructure","climate, energy and resource systems","agri-marketplace and input commerce infrastructure","","AR/LatAm","0","0.72","8","medium","4","2","2","2","1","1","manual_override","official_website","False","needs_current_trl_research"
"agrolend","Agrolend","include","source_backed_material_bio_or_planetary_signal","precision agriculture and resource intelligence","agricultural credit and risk intelligence","","BR","0","0.78","8","medium","4","2","2","2","1","1","manual_override","official_portfolio_profile","False","needs_current_trl_research"
"agrosmart","Agrosmart","include","official_website_signal_material_ag_system","precision agriculture and resource intelligence","precision agriculture intelligence","","BR","0","0.9","8","medium","4","2","2","2","1","1","manual_override","agrosmart_official_site_2026","False","needs_current_trl_research"
"agrotools","AGROTOOLS","include","official_website_signal_material_ag_system","precision agriculture and resource intelligence","precision agriculture intelligence","","BR","0","0.88","8","medium","4","2","2","2","1","1","manual_override","agrotools_official_site_2026","False","needs_current_trl_research"
"agrourbana","Agrourbana","include","official_portfolio_signal_bio_based_or_biocentric","food biotech and novel ingredients","food transition ingredients and proteins","","CL","0","0.9","8","medium","4","2","2","2","1","1","manual_override","cgv_agrourbana_2026","False","needs_current_trl_research"
"algaebio","algaebio+","include","official_site_signal_bio_based_or_biocentric","food biotech and novel ingredients","microalgae functional ingredients","Other / Unclassified","AR","4","0.93","8","medium","4","2","2","2","1","1","manual_override","algaebio_official_site_2026","False","needs_current_trl_research"
"algalife","Algalife","include","core_bio_microalgae_bioprocessing","biomanufacturing and bioindustrial platforms","microalgae bioprocess platforms","","AR","0","0.84","8","medium","4","2","2","2","1","1","manual_override","official_portfolio_profile","False","needs_current_trl_research"
"alkemio","Alkemio","include","official_website_signal_climate_materiality_and_resource_transition","climate, energy and resource systems","critical materials and resource systems","Other / Unclassified","NL/AR","3","0.94","8","medium","4","2","2","2","1","1","manual_override","alkemio_official_site_2026","False","needs_current_trl_research"
"alytix","Alytix","include","official_website_signal_bio_based_or_biocentric","therapeutics and regenerative medicine","therapeutic and regenerative biology","Other / Unclassified","AR","3","0.91","8","medium","4","2","2","2","1","1","manual_override","alytix_official_site_2026","False","needs_current_trl_research"
