entity_id,name,country_code,n_investment_edges,sample_investors,duplicate_of,disposition,suggested_action
Risas Pendientes,Risas Pendientes,,1,The Ganesha Lab,,needs_processing,Procesar: scope_decision + bio_theme + summary (cola de enriquecimiento).
Scitherm,Scitherm,,1,GridX,,needs_processing,Procesar: scope_decision + bio_theme + summary (cola de enriquecimiento).
Semtive,Semtive,,1,DragonesVP,,needs_processing,Procesar: scope_decision + bio_theme + summary (cola de enriquecimiento).
Smart Tissues,Smart Tissues,,1,The Ganesha Lab,,needs_processing,Procesar: scope_decision + bio_theme + summary (cola de enriquecimiento).
Smartex,Smartex,,1,SOSV_IndieBio,,needs_processing,Procesar: scope_decision + bio_theme + summary (cola de enriquecimiento).
Soleit,Soleit,,1,The Ganesha Lab,,needs_processing,Procesar: scope_decision + bio_theme + summary (cola de enriquecimiento).
Synergic Bio Solutions,Synergic Bio Solutions,,1,The Ganesha Lab,,needs_processing,Procesar: scope_decision + bio_theme + summary (cola de enriquecimiento).
syocin_bio,Syocin Bio,,1,GridX,,needs_processing,Procesar: scope_decision + bio_theme + summary (cola de enriquecimiento).
Trears Biomarkers,Trears Biomarkers,,1,The Ganesha Lab,,needs_processing,Procesar: scope_decision + bio_theme + summary (cola de enriquecimiento).
Unleash Immuno Oncolytics,Unleash Immuno Oncolytics,,1,DragonesVP,,needs_processing,Procesar: scope_decision + bio_theme + summary (cola de enriquecimiento).
Vali,Vali,,1,The Ganesha Lab,,needs_processing,Procesar: scope_decision + bio_theme + summary (cola de enriquecimiento).
unSpun,unSpun,,1,SOSV_IndieBio,,needs_processing,Procesar: scope_decision + bio_theme + summary (cola de enriquecimiento).
Feed Vax,Feed Vax,,2,AIR Capital; GridX,feedvax,probable_duplicate,Verificar y mergear edges hacia 'feedvax' (mismo normalize_key).
Kigui,Kigui,,2,Antom; inventure,kigui,probable_duplicate,Verificar y mergear edges hacia 'kigui' (mismo normalize_key).
