"startup_id","startup_name","macro_theme","emergent_theme","thesis_fit","scope_decision","scope_reason","scope_source","structured_sector","confidence"
"bacu","BACU","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","foodtech_but_not_biobased_or_biocentric_thesis_core","bacu_official_and_market_sources","Other / Unclassified","0.78"
"barte","Barte","peripheral or non-core digital ventures","digital finance and payments infrastructure","peripheral","exclude","payments_and_corporate_banking_no_material_bio_signal","manual_credibility_cleanup_2026_05_08","Digital Economy","0.92"
"beam_croptech","BEAM CropTech","ag biologicals and crop resilience","genome-enabled crop resilience","core","include","official_site_signal_bio_based_or_biocentric","beam_croptech_official_site","Other / Unclassified","0.94"
"beeflow","Beeflow","ag biologicals and crop resilience","data-driven pollination systems","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_01_2026_05_08","Other / Unclassified","0.8"
"bekeu","Bekeu","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","bekeu_official_site","Other / Unclassified","0.89"
"bemagro","BemAgro","precision agriculture and resource intelligence","precision agriculture intelligence","core","include","official_website_signal_material_ag_system","bemagro_official_site","","0.92"
"betterfly","Betterfly","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","betterfly_official_site","Other / Unclassified","0.88"
"bioblends","BioBlends","food biotech and novel ingredients","natural food preservation systems","core","include","official_public_profile_signal_bio_based_or_biocentric","cancilleria_next_argentina","Other / Unclassified","0.88"
"biocle","BioCl","therapeutics and regenerative medicine","therapeutic and regenerative biology","core","include","official_portfolio_signal_bio_based_or_biocentric","gridx_portfolio_official","Digital Economy","0.8"
"biodiversity_intelligence","Biodiversity Intelligence","climate, energy and resource systems","climate and resource intelligence platforms","core","include","official_portfolio_signal_planetary_boundary_stewardship","gridx_portfolio_official","Other / Unclassified","0.86"
"bioeutectics","Bioeutectics","biobased chemistry and advanced materials","biobased chemistry and materials","core","include","official_website_signal_biobased_chemistry","bioeutectics_official_site","Digital Economy","0.9"
"bioheuris","Bioheuris","ag biologicals and crop resilience","genome-enabled crop resilience","core","include","official_site_signal_bio_based_or_biocentric","bioheuris_official_site","Other / Unclassified","0.88"
"biolinker","Biolinker Synthetic Biology","biomanufacturing and bioindustrial platforms","cell-free protein synthesis platforms","core","include","core_bio_synthetic_biology_and_protein_tools","brasil_bio_import_public_profile","","0.78"
"biomakers","Biomakers","diagnostics and medtech","genomic diagnostics and precision health","core","include","official_portfolio_signal_bio_based_or_biocentric","zentynel_portfolio_official","","0.87"
"biomas","Biomas","climate, energy and resource systems","native reforestation and ecosystem restoration","core","include","bio_centric_ecosystem_restoration_and_carbon_removal","brasil_bio_import_official_site","","0.86"
"biometallum","BioMetallum","climate, energy and resource systems","critical materials and resource systems","core","include","official_website_signal_climate_materiality_and_resource_transition","biometallum_official_site","Digital Economy","0.93"
"bioplaster_research","BioPlaster Research","biobased chemistry and advanced materials","biobased packaging and circular biomaterials","core","include","core_biobased_materials_and_circular_packaging","external_atlas_official_site_validated","","0.9"
"bioplaster_research_inc","BioPlaster Research Inc","biobased chemistry and advanced materials","circular material systems","core","include","official_site_signal_bio_based_or_biocentric","bioplaster_official_site","Other / Unclassified","0.95"
"bioplastix","Bioplastix","biobased chemistry and advanced materials","circular material systems","core","include","official_site_signal_bio_based_or_biocentric","bioplastix_official_site","Other / Unclassified","0.94"
"bioseek","Bioseek","computational biology and scientific software","computational biology and life-science software","core","include","secondary_public_profile_signal_bio_based_or_biocentric","f6s_public_profile","Other / Unclassified","0.7"
"biosynaptica","BioSynaptica","therapeutics and regenerative medicine","neurotherapeutics and biopharmaceutical platforms","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_03_2026_05_08","Digital Economy","0.86"
"biotalife","Biotalife","diagnostics and medtech","microbiome medical devices and womens health","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_05_2026_05_08","Other / Unclassified","0.86"
"bitgenia","Bitgenia","computational biology and scientific software","computational biology and life-science software","core","include","official_site_signal_bio_based_or_biocentric","bitgenia_official_site","Other / Unclassified","0.94"
"bleps_vision","Bleps Vision","diagnostics and medtech","health diagnostics and medtech","core","include","official_site_signal_bio_based_or_biocentric","blepsvision_official_site","Other / Unclassified","0.82"
"blerify","Blerify","peripheral or non-core digital ventures","digital identity and credential infrastructure","peripheral","exclude","full_digital_identity_infrastructure_no_bio_materiality_signal","official_site_and_f6s_profile","Digital Economy","0.9"
"blooms","Blooms","climate, energy and resource systems","traceability and tokenized resource infrastructure","core","include","official_website_signal_material_ag_system","blooms_capital_official_site","","0.82"
"botanical-solutions","Botanical Solutions","ag biologicals and crop resilience","ag biologicals and crop resilience","core","include","official_company_profile_signal_bio_based_or_biocentric","linkedin_company_profile","","0.91"
"brain_ag","Brain.ag","climate, energy and resource systems","agricultural credit and risk intelligence","core","include","bio_centric_ag_finance_and_risk_infrastructure","serasa_experian_acquisition_release","","0.76"
"branch_energy","Branch Energy","climate, energy and resource systems","distributed clean-energy infrastructure","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_02_2026_05_08","Bio·Industry","0.78"
"break_pet","BreakPET","biobased chemistry and advanced materials","biobased chemistry and materials","core","include","official_portfolio_signal_bio_based_or_biocentric","gridx_portfolio_official","Other / Unclassified","0.88"
"bsafe_biotech","Bsafe Biotech","ag biologicals and crop resilience","ag biologicals and crop resilience","core","include","public_profile_signal_bio_based_or_biocentric","bsafe_public_profiles","Other / Unclassified","0.82"
"bug_agentes_biologicos","BUG Agentes Biologicos","ag biologicals and crop resilience","biological pest control and bioinputs","core","include","core_bio_ag_biologicals_and_biocontrol","sp_ventures_official_portfolio_and_secondary_profile","","0.84"
"bybug","ByBug","biomanufacturing and bioindustrial platforms","insect bioreactors for recombinant proteins","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_06_2026_05_08","Other / Unclassified","0.92"
"calfix","Calfix","biobased chemistry and advanced materials","biobased chemistry and materials","core","include","public_profile_signal_bio_based_construction_materials","linkedin_calfix_bio","Digital Economy","0.78"
"calice","Calice","precision agriculture and resource intelligence","precision agriculture intelligence","core","include","official_site_signal_material_ag_system","calice_official_site","Other / Unclassified","0.94"
"caligenia","Caligenia","ag biologicals and crop resilience","ag biologicals and crop resilience","core","include","official_website_signal_ag_biologicals_and_soil_carbon","caligenia_official_site","Other / Unclassified","0.92"
"capim","Capim","peripheral or non-core digital ventures","healthcare operations and embedded finance","peripheral","exclude","healthcare_saas_fintech_no_bio_materiality_signal","thesis_exclusion_clear_drop","Digital Economy","0.86"
"carbonext","Carbonext","climate, energy and resource systems","forest carbon and conservation finance","core","include","bio_centric_forest_conservation_and_carbon_finance","brasil_bio_import_official_site","","0.84"
"cargo_sapiens","Cargo Sapiens","peripheral or non-core digital ventures","logistics optimization outside bio thesis","peripheral","exclude","generic_logistics_software_no_specific_bio_or_planetary_boundary_signal","official_website_review","Digital Economy","0.86"
"caspr_biotech","Caspr Biotech","diagnostics and medtech","health diagnostics and medtech","core","include","official_signal_bio_based_or_biocentric","caspr_public_profiles","Other / Unclassified","0.88"
"cell_farm","Cell Farm","food biotech and novel ingredients","food transition ingredients and proteins","core","include","official_website_signal_bio_based_or_biocentric","cell_farm_official_site","Agri·Food·Land Use","0.88"
"cellargen_biotech","Cellargen Biotech","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","core","include","institutional_public_source_signal_bio_based_or_biocentric","institutional_public_source","Other / Unclassified","0.83"
"cellco","CellCo","therapeutics and regenerative medicine","therapeutic and regenerative biology","core","include","official_portfolio_signal_bio_based_or_biocentric","gridx_portfolio_official","Other / Unclassified","0.9"
"cellrep","CellRep","therapeutics and regenerative medicine","therapeutic and regenerative biology","core","include","official_site_signal_bio_based_or_biocentric","cellrep_official_site","Other / Unclassified","0.95"
"cellva","Cellva","food biotech and novel ingredients","food transition ingredients and proteins","core","include","official_site_signal_bio_based_or_biocentric","cellva_official_site","Agri·Food·Land Use","0.87"
"centralo","Centralo","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","thesis_exclusion_clear_drop","Digital Economy","0.49"
"cerradox","CerradoX","precision agriculture and resource intelligence","precision agriculture intelligence","core","include","official_portfolio_signal_material_ag_system","yieldlab_portfolio_official","","0.79"
"chazki","Chazki","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","chazki_official_site","Other / Unclassified","0.9"
"chemtest","Chemtest","diagnostics and medtech","health diagnostics and medtech","core","include","official_website_signal_bio_based_or_biocentric","chemtest_official_site","Digital Economy","0.9"
"circa_therapeutics","Circa Therapeutics","therapeutics and regenerative medicine","therapeutic and regenerative biology","core","include","official_website_signal_bio_based_or_biocentric","circa_official_site","Digital Economy","0.9"
"circclo","CIRCCLO","climate, energy and resource systems","circular material systems","core","include","candidate_website_signal_planetary_systems","user_gemini_candidate_csv","Other / Unclassified","0.79"
"circular","Circular","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","official_site_signal_full_digital_no_materiality","circular_official_site","Digital Economy","0.92"
"clover","Clover","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","official_site_signal_full_digital_no_materiality","clover_official_site","Digital Economy","0.94"
"cobli","Cobli","peripheral or non-core digital ventures","mobility and logistics efficiency software","peripheral","exclude","fleet_telemetry_efficiency_but_no_bio_or_planetary_thesis_core","manual_credibility_cleanup_2026_05_08","Digital Economy","0.84"
"conciencia","Conciencia","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","candidate_signal_edtech_non_thesis","user_gemini_candidate_csv","Bio·Industry","0.83"
"concil","Concil","peripheral or non-core digital ventures","payments reconciliation software","peripheral","exclude","payments_reconciliation_no_bio_or_ag_materiality_signal","thesis_exclusion_clear_drop","","0.78"
"courageous_land","Courageous Land","climate, energy and resource systems","regenerative agroforestry and carbon systems","core","include","candidate_website_signal_planetary_systems","user_gemini_candidate_csv","Other / Unclassified","0.83"
"crinsurance","CRInsurance","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","candidate_signal_insurtech_non_thesis","user_gemini_candidate_csv","Human Health","0.86"
"cryosmetics","Cryosmetics","biobased chemistry and advanced materials","biobased chemistry and materials","core","include","official_portfolio_signal_bio_based_or_biocentric","gridx_portfolio_official","Other / Unclassified","0.76"
"culttivo","Culttivo","precision agriculture and resource intelligence","ag-finance, risk and producer intelligence","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_02_2026_05_08","","0.84"
"curseduca","Curseduca","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","thesis_exclusion_clear_drop","Digital Economy","0.49"
"cyanomin","CyanoMin","climate, energy and resource systems","resource recovery and bioremediation systems","core","include","official_website_signal_bio_based_or_biocentric","cyanomin_official_site","Digital Economy","0.94"
"cytbac","Cytbac","therapeutics and regenerative medicine","vaccine and immunotherapy platforms","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_02_2026_05_08","Digital Economy","0.88"
"decoy","Decoy","ag biologicals and crop resilience","biological pest control and bioinputs","core","include","core_bio_ag_biologicals_and_biocontrol","sp_ventures_official_portfolio","","0.86"
"deepagro","DeepAgro","precision agriculture and resource intelligence","precision agriculture intelligence","core","include","official_website_signal_bio_centric_precision_agriculture","deepagro_official_site","Agri·Food·Land Use","0.74"
"delee","Delee","diagnostics and medtech","liquid biopsy and precision oncology diagnostics","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_04_2026_05_08","","0.9"
"dharma_bioscience","Dharma BioScience","therapeutics and regenerative medicine","non-invasive tissue regeneration","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_07_2026_05_08","Digital Economy","0.72"
"dogma_biotech","Dogma Biotech","therapeutics and regenerative medicine","therapeutic and regenerative biology","core","include","official_portfolio_signal_bio_based_or_biocentric","gridx_portfolio_official","Digital Economy","0.82"
"done_properly","Done Properly","food biotech and novel ingredients","food transition ingredients and proteins","core","include","official_site_signal_bio_based_or_biocentric","done_properly_official_site","Deep·Biotech","0.94"
"dprotein","DProtein","food biotech and novel ingredients","food transition ingredients and proteins","core","include","external_profile_signal_bio_based_or_biocentric","dprotein_linkedin_official","Digital Economy","0.78"
"dymaxion_labs","Dymaxion Labs","precision agriculture and resource intelligence","precision agriculture intelligence","core","include","official_website_signal_material_ag_system","dymaxion_official_site","Agri·Food·Land Use","0.9"
"dynami","Dynami","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","dynami_official_site","Other / Unclassified","0.9"
"egg","Egg","peripheral or non-core digital ventures","education technology and training platforms","peripheral","exclude","full_digital_edtech_no_bio_materiality_signal","companycheck_profile","Digital Economy","0.82"
"einsted","Einsted","climate, energy and resource systems","critical materials and resource systems","core","include","official_website_signal_climate_materiality_and_resource_transition","einsted_official_site","Other / Unclassified","0.92"
"eiru","Eirú","ag biologicals and crop resilience","ag biologicals and crop resilience","core","include","official_portfolio_signal_bio_based_or_biocentric","sf500_portfolio_official","Agri·Food·Land Use","0.78"
"eiwa","Eiwa","precision agriculture and resource intelligence","precision agriculture intelligence","core","include","official_site_signal_material_ag_system","eiwa_official_site","Other / Unclassified","0.92"
"elytron_biotech","Elytron Biotech","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","core","include","official_website_signal_bioindustrial_products","elytron_official_site","Other / Unclassified","0.86"
"embryoxite","Embryoxite","diagnostics and medtech","health diagnostics and medtech","core","include","official_portfolio_signal_bio_based_or_biocentric","gridx_portfolio_official","Other / Unclassified","0.81"
"endless","Endless","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","candidate_signal_non_thesis_software","user_gemini_candidate_csv","Digital Economy","0.83"
"enteria","Enteria","diagnostics and medtech","health diagnostics and medtech","core","include","official_portfolio_signal_bio_based_or_biocentric","gridx_portfolio_official","Other / Unclassified","0.79"
"enzyva","Enzyva","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","core","include","official_site_signal_bio_based_or_biocentric","enzyva_official_site","Other / Unclassified","0.9"
"eolo_pharma","Eolo Pharma","therapeutics and regenerative medicine","therapeutic and regenerative biology","core","include","official_website_signal_bio_based_or_biocentric","eolo_official_site","Digital Economy","0.93"
"epiliquid","Epiliquid","diagnostics and medtech","liquid biopsy and molecular diagnostics","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_03_2026_05_08","Other / Unclassified","0.78"
"ergo_bioscience","Ergo Bioscience","food biotech and novel ingredients","food transition ingredients and proteins","core","include","official_website_signal_bio_based_or_biocentric","ergo_bioscience_official_site","Agri·Food·Land Use","0.9"
"ergo_foods","Ergo Foods","food biotech and novel ingredients","food transition ingredients and proteins","core","include","official_site_signal_bio_based_or_biocentric","ergo_foods_official_site","Other / Unclassified","0.91"
"erural","Erural","peripheral or non-core digital ventures","livestock marketplace outside bio thesis","peripheral","exclude","livestock_marketplace_and_agfintech_without_specific_bio_transition_or_planetary_boundary_mechanism","official_website_review","","0.86"
"ethos","Ethos","peripheral or non-core digital ventures","venture capital and startup investment platform","peripheral","exclude","investor_not_startup_entity_outside_startup_universe","ethos_official_site","Digital Economy","0.92"
"eureka","Eureka","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_services_no_bio_materiality_signal","eureka_public_site","Other / Unclassified","0.72"
"exactly","Exactly","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","thesis_exclusion_clear_drop","Digital Economy","0.49"
"exomas","Exomas","therapeutics and regenerative medicine","therapeutic and regenerative biology","core","include","official_site_signal_bio_based_or_biocentric","exomas_official_site","Other / Unclassified","0.9"
"eywa_biotech","Eywa Biotech","therapeutics and regenerative medicine","therapeutic and regenerative biology","core","include","official_site_signal_bio_based_or_biocentric","eywa_biotech_official_site","Other / Unclassified","0.9"
"facturama","Facturama","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","thesis_exclusion_clear_drop","Digital Economy","0.49"
"falcomm","Falcomm","frontier hardware and infrastructure systems","energy-efficient semiconductor hardware","core","exclude","non_latam_non_bio_semiconductor_hardware_outside_scope","techcrunch_profile","Other / Unclassified","0.84"
"fecundis","Fecundis","therapeutics and regenerative medicine","therapeutic and regenerative biology","core","include","official_site_signal_bio_based_or_biocentric","fecundis_official_site","Other / Unclassified","0.92"
"feedvax","Feedvax","ag biologicals and crop resilience","ag biologicals and animal resilience","core","include","official_site_signal_bio_based_or_biocentric","feedvax_official_site","Other / Unclassified","0.91"
"flexza","Flexza","peripheral or non-core digital ventures","health benefits fintech infrastructure","peripheral","exclude","health_fintech_not_thesis_core_bio_or_medtech","linkedin_and_company_profile","Other / Unclassified","0.84"
"fligoo","Fligoo","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","fligoo_public_profiles","Other / Unclassified","0.86"
"food4you","Food4You","food biotech and novel ingredients","food transition ingredients and proteins","core","include","official_portfolio_signal_bio_based_or_biocentric","gridx_portfolio_official","Other / Unclassified","0.82"
"frete_com","Frete Com","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","logistics_software_without_thesis_core_materiality_signal","freight_platform_public_signal","Other / Unclassified","0.66"
"frizata","Frizata","food biotech and novel ingredients","flexitarian food and alternative protein systems","core","include","bio_centric_flexitarian_food_systems","secondary_public_profile_validated","","0.72"
"frubana","Frubana","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","thesis_exclusion_clear_drop","Digital Economy","0.49"
"fungi_life","Fungi Life","biobased chemistry and advanced materials","biobased chemistry and materials","core","include","official_site_signal_bio_based_or_biocentric","fungi_life_official_site","Digital Economy","0.9"
"future_biome","Future Biome","food biotech and novel ingredients","food biofactories and functional ingredients","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_01_2026_05_08","Digital Economy","0.78"
"future_cow","Future Cow","food biotech and novel ingredients","precision-fermented dairy proteins","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_03_2026_05_08","","0.9"
"galtec","Galtec Life","therapeutics and regenerative medicine","galectin immunotherapy platforms","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_04_2026_05_08","Digital Economy","0.88"
"gameet","Gameet","diagnostics and medtech","reproductive biotech and assisted reproduction devices","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_03_2026_05_08","Digital Economy","0.86"
"gbm","GBM","peripheral or non-core digital ventures","investment and brokerage platform","peripheral","exclude","full_digital_fintech_no_bio_materiality_signal","gbm_official_site","Digital Economy","0.94"
"genica","Gênica","ag biologicals and crop resilience","ag biologicals and crop resilience","core","include","official_website_signal_bio_based_or_biocentric","genica_official_site","","0.94"
"genotyping","Genotyping","diagnostics and medtech","genomics and molecular diagnostics infrastructure","core","include","core_bio_genomics_and_molecular_diagnostics","external_atlas_secondary_validated","","0.78"
"geofusion","Geofusion","peripheral or non-core digital ventures","location intelligence software","peripheral","exclude","general_location_intelligence_no_bio_or_ag_materiality_signal","thesis_exclusion_clear_drop","","0.82"
"geoprot","Geoprot","computational biology and scientific software","protein biology and scientific infrastructure","core","include","official_portfolio_signal_deep_biotech_scientific_infrastructure","gridx_portfolio_official","Agri·Food·Land Use","0.88"
"gigablue","Gigablue","climate, energy and resource systems","nature restoration and carbon systems","core","include","official_website_signal_climate_materiality_and_resource_transition","gigablue_official_site","Bio·Industry","0.93"
"gisens_biotech","Gisens Biotech","diagnostics and medtech","health diagnostics and medtech","core","include","official_portfolio_signal_bio_based_or_biocentric","gridx_portfolio_official","Human Health","0.82"
"glycox","GlycoX","food biotech and novel ingredients","food transition ingredients and proteins","core","include","official_website_signal_bio_based_or_biocentric","glycox_official_site","Digital Economy","0.88"
