"priority_rank_score","startup_name","current_theme","semantic_confidence","semantic_margin","data_quality_score_10","quality_band","review_status","source_type","source_url","curation_reasons","current_one_liner","current_summary","evidence_excerpt","suggested_action"
"794","Geoprot","agri intelligence and traceable markets","medium","7.3","8.5","high","reviewed","official_portfolio_profile","https://www.gridexponential.com/portfolio","medium_semantic_confidence; fund_profile_needs_startup_source_check; summary_not_normalized_to_english","Protein-function analysis and prediction platform.","Geoprot is a GRIDX portfolio deep-biotech startup developing a non-AI method for protein function analysis and prediction. Public GRIDX portfolio pages classify Geoprot under Deep-biotech and describe the company as a revolutionary approach to understanding and predicting protein function. It belongs inside BIO VC LATAM as scientific infrastructure for protein biology and biotech R&D, not as a crop-protection bioinput company.","GRIDX portfolio describes Geoprot as a Deep-biotech startup with a non-AI revolutionary method for protein function analysis and prediction.","verify cluster fit and enrich description with technology, biology/materiality, market"
"794","TBIT","agri intelligence and traceable markets","medium","8.4","8","medium","reviewed","official_portfolio_profile","https://www.kptl.com.br/portfolio/tbit/","medium_semantic_confidence; fund_profile_needs_startup_source_check; summary_not_normalized_to_english","AI seed and grain analysis platform.","TBIT is a Brazilian agtech replacing manual seed and grain analysis with digital image processing and AI. The technology supports objective quality evaluation for seed companies, grain handlers and agricultural supply chains. It belongs inside BIO VC LATAM as crop-input and grain-quality intelligence: software and vision models applied to biological agricultural materials.","KPTL describes TBIT as replacing manual seed and grain analysis with accurate digital analysis based on image processing and AI.","verify cluster fit and enrich description with technology, biology/materiality, market"
"794","Libera","drug discovery and disease therapeutics","medium","8.5","8.5","high","reviewed","official_portfolio_profile","https://sf500.com.ar/","medium_semantic_confidence; fund_profile_needs_startup_source_check; summary_not_normalized_to_english","Extracellular vesicles to fight inflammatory diseases.","Startup therapeutics que usa vesiculas extracelulares para combatir enfermedades inflamatorias. Entra en tesis por therapeutics and regenerative medicine.","SF500 portfolio describes extracellular vesicles to fight inflammatory diseases.","verify cluster fit and enrich description with technology, biology/materiality, market"
"794","Dogma Biotech","drug discovery and disease therapeutics","medium","8.7","8.5","high","reviewed","official_portfolio_profile","https://www.gridexponential.com/portfolio","medium_semantic_confidence; fund_profile_needs_startup_source_check; summary_not_normalized_to_english","AI-discovered sugars for better therapeutics.","Startup therapeutics que usa IA y azucares descubiertos computacionalmente para mejorar la eficacia de tratamientos biologicos. Entra en tesis por therapeutics and regenerative medicine.","GRIDX portfolio describes improving therapeutics efficacy by 20X through AI-discovered sugars.","verify cluster fit and enrich description with technology, biology/materiality, market"
"794","Produzindo Certo","agri intelligence and traceable markets","medium","10.1","8","medium","reviewed","official_portfolio_listing","https://theyieldlablatam.com/portfolio/","medium_semantic_confidence; fund_profile_needs_startup_source_check; summary_not_normalized_to_english","Agribusiness transparency and compliance platform.","Plataforma brasilena de transparencia, trazabilidad y cumplimiento socioambiental para cadenas agroindustriales. Entra por infraestructura material de gobernanza y verificacion sobre produccion agropecuaria real.","The Yield Lab Latam portfolio positions Produzindo Certo around transparency and high social and environmental standards in agribusiness chains.","verify cluster fit and enrich description with technology, biology/materiality, market"
"814","Algalife","food ingredients and biofactories","medium","10.8","8","medium","reviewed","official_portfolio_profile","https://www.gridexponential.com/portfolio","medium_semantic_confidence; fund_profile_needs_startup_source_check","Microalgae process optimization platform.","GridX portfolio company building a platform to optimize productive processes based on microalgae. It belongs inside BIO VC LATAM as microalgae bioprocessing and bioindustrial infrastructure.","GridX portfolio lists Algalife as a platform for optimizing productive processes based on microalgae.","verify cluster fit and enrich description with technology, biology/materiality, market"
"829","InCeres","ag biologicals and crop resilience","medium","5.4","8","medium","reviewed","official_website","https://www.inceres.com.br/","medium_semantic_confidence; summary_not_normalized_to_english","Agronomic management and soil/fertility intelligence platform.","Brazilian precision-agriculture platform integrating agricultural information from pre-planting to post-harvest, with AI, soil sampling, satellite monitoring and input-optimization tools. It belongs inside BIO VC LATAM as resource-efficiency infrastructure for crop production.","Official site describes an agronomic platform integrating information from pre-planting to post-harvest and using AI/data for better decisions and input efficiency.","verify cluster fit and enrich description with technology, biology/materiality, market"
"829","Tracestory","agri intelligence and traceable markets","medium","6","8.5","high","reviewed","official_website","https://www.tracestory.com/en/home","medium_semantic_confidence; summary_not_normalized_to_english","Plataforma de trazabilidad y transparencia para cadenas productivas.","Infraestructura de trazabilidad colaborativa y pasaporte digital de producto para cadenas agroalimentarias e industriales. Entra en tesis por transparencia y MRV aplicado a cadenas materiales.","Official site describes collaborative traceability, digital product passports and sustainability support across meat, fruit, wine and other production chains.","verify cluster fit and enrich description with technology, biology/materiality, market"
"829","Ergo Bioscience","drug discovery and disease therapeutics","medium","6.4","8.5","high","reviewed","official_website","https://www.ergobiotech.com/who-we-are","medium_semantic_confidence; summary_not_normalized_to_english","Plant-cell biotechnology for sustainable ingredients.","Startup biotech que usa cultivo de celulas vegetales para desarrollar ingredientes y proteinas sostenibles para alimentos, salud, belleza y agricultura. Entra en tesis por food biotech and novel ingredients.","Official site describes a platform using plant cells to develop next-generation sustainable ingredients for food, health, beauty and agriculture.","verify cluster fit and enrich description with technology, biology/materiality, market"
"829","AGROTOOLS","grain traceability and producer infrastructure","medium","7.6","8","medium","reviewed","official_website","https://agrotools.com.br/en/","medium_semantic_confidence; summary_not_normalized_to_english","Agricultural risk, supply-chain and ESG intelligence platform.","AGROTOOLS is a Brazilian agribusiness intelligence platform connecting land, supply chains and corporate decision-making through geospatial data, risk analytics and ESG/compliance monitoring. Its solutions support rural finance, insurance, sourcing, brand protection, supply-chain intelligence and socioenvironmental monitoring, with more than 1,300 data layers and large-scale territorial analyses. It belongs inside BIO VC LATAM as agri-risk, traceability and planetary-boundary intelligence infrastructure for agricultural value chains.","Official site says Agrotools connects land to business decision-making, offers real-time visibility across agribusiness chains, supports rural finance, insurance, ESG compliance and supply-chain intelligence, and uses more than 1,300 data layers.","verify cluster fit and enrich description with technology, biology/materiality, market"
"829","Sima","agri intelligence and traceable markets","medium","7.9","8.5","high","reviewed","official_website","https://sima.ag/","medium_semantic_confidence; summary_not_normalized_to_english","Plataforma agtech para monitoreo de cultivos y decisiones agronomicas.","Plataforma de agricultura inteligente para monitoreo de cultivos, geolocalizacion de datos y generacion de ordenes de trabajo en campo. Entra en tesis por precision agriculture and resource intelligence.","Official site describes crop monitoring, geolocated data, analysis and application work orders across millions of hectares.","verify cluster fit and enrich description with technology, biology/materiality, market"
"829","Levya","food ingredients and biofactories","medium","8.2","8.5","high","reviewed","official_website","https://levyabio.com/","medium_semantic_confidence; summary_not_normalized_to_english","Precision-fermented sustainable fats and oils.","Startup biotech que produce grasas y aceites sostenibles con precision fermentation usando levaduras salvajes no GMO. Entra por food ingredients / biomateriales para alimentos y cosmetica.","Official site describes Levya as producing sustainable fats and oils using wild non-GMO yeasts and precision fermentation.","verify cluster fit and enrich description with technology, biology/materiality, market"
"829","CerradoX","bioactive products and regenerative edge cases","medium","8.5","8","medium","reviewed","official_website","https://cerradox.com/","medium_semantic_confidence; summary_not_normalized_to_english","Traceable high-value crop production platform.","Brazilian agricultural production platform turning idle or underused land into standardized, traceable, technology-monitored high-value crops, starting with berries and expanding toward cacao and avocado. It combines financing, technical assistance, agronomic monitoring, guaranteed purchase and buyer-side traceability. It belongs inside BIO VC LATAM as material agri-food infrastructure for crop production, land-use intensification, producer income and transparent supply chains.","CerradoX says it transforms idle land into berries through standardized, traceable and technology-monitored production, with financing, technical assistance, guaranteed purchase and real-time monitoring.","verify cluster fit and enrich description with technology, biology/materiality, market"
"829","Calfix","biobased chemistry and circular materials","medium","8.7","8.5","high","reviewed","public_company_profile","https://www.linkedin.com/company/calfix-bio","medium_semantic_confidence; summary_not_normalized_to_english","Biotech concrete crack repair platform.","Calfix is an Argentine biotech-materials startup developing biotechnology solutions for repairing cracks in concrete. The public company profile is still thin, but it specifically positions Calfix Bio around biotech solutions for concrete cracks, making the thesis fit clear: a biological or biomaterial route for construction-material repair. It belongs inside BIO VC LATAM as an early, source-thin biobased construction-materials case.","LinkedIn public company profile describes Calfix Bio as biotechnology research focused on biotech solutions for concrete cracks.","verify cluster fit and enrich description with technology, biology/materiality, market"
"829","SoyGREEN","ag biologicals and crop resilience","medium","9.7","8","medium","reviewed","official_website","https://soygreen.bio/","medium_semantic_confidence; summary_not_normalized_to_english","Agricultural microbiology bioinputs for climate mitigation.","SoyGREEN is an Argentine agricultural-microbiology startup developing biological solutions to mitigate climate change and transform farming. Its official site describes a UNRC and CONICET-UNRC scientific team validating its first bioinput, focused on reducing greenhouse-gas emissions, substituting chemical fertilizers and applying microbiological technologies to agriculture. It belongs inside BIO VC LATAM as ag biologicals and climate-mitigation bioinputs.","Official site describes agricultural microbiology, biological solutions to mitigate global warming, first-bioinput validation by UNRC/CONICET scientists, GHG reduction and chemical-fertilizer substitution.","verify cluster fit and enrich description with technology, biology/materiality, market"
"829","Hybridon","therapeutics and regenerative bio","medium","9.8","8.5","high","reviewed","official_website_or_public_profile","https://hybridon.com.ar/","medium_semantic_confidence; summary_not_normalized_to_english","Antimicrobial nanotechnology for bioactive materials and surfaces.","Argentine materials-science startup developing antimicrobial nanotechnology and bioactive surface/material applications. The current evidence is not yet as deep as a full company technical profile, but it is materially closer to the BIO VC LATAM thesis than to generic software: its value proposition is a physical antimicrobial technology for health, textiles or surface-material use cases. It should move from provisional exclude to include-under-review as a bioactive materials and advanced-materials case, with follow-up needed to confirm product maturity and exact biological mechanism.","Public web evidence describes Hybridon as an Argentine antimicrobial nanotechnology/materials startup; needs deeper technical source follow-up.","verify cluster fit and enrich description with technology, biology/materiality, market"
"829","Syocin Biotech","biomanufacturing and molecular platforms","medium","10.2","8","medium","reviewed","official_website","https://syocin.com/","medium_semantic_confidence; summary_not_normalized_to_english","Precision protein biobactericides for crop protection.","Startup ag biotech que desarrolla biobactericidas proteicos de alta precision para proteger cultivos frente a fitopatogenos bacterianos sin afectar microbiomas beneficiosos. Entra en tesis por su uso de biologia sintetica aplicada a resiliencia agricola.","Official site describes protein-based biobactericides and a synthetic biology platform to fight bacterial plant diseases while preserving microbiomes and soil health.","verify cluster fit and enrich description with technology, biology/materiality, market"
"849","HIAMET","resource recovery and remediation","medium","5.2","8","medium","reviewed","official_website","https://www.hiamet.com/","medium_semantic_confidence","Biotech solutions for biogas and organic-waste-to-energy conversion.","HIAMET is an Argentine biotech company focused on improving biogas production from organic waste. Its official site describes process and additive design for organic-waste-to-energy conversion, biotech-based solutions for bioenergy and environmental-impact problems, biodigester-performance analysis, pilot-scale validation and custom additive supply. It belongs inside BIO VC LATAM as bioenergy and waste-to-resource infrastructure, not medtech.","Official site says HIAMET provides biotech-based solutions for biogas, organic-waste-to-energy conversion, biodigester performance, pilot validation and custom additives.","verify cluster fit and enrich description with technology, biology/materiality, market"
"849","Sensify","ag biologicals and crop resilience","medium","5.3","8.5","high","reviewed","official_website","https://www.sensify.com.ar/","medium_semantic_confidence","Smart refrigeration and cold-chain intelligence platform.","Sensify is an Argentine IoT and AI platform for commercial refrigeration and cold-chain operations in food and beverages. Its systems connect refrigeration assets, predict operating data and provide business insights to avoid cold-chain outages, reduce food losses, improve asset performance and lower energy use. It belongs inside BIO VC LATAM as food-system resource-efficiency infrastructure, a defensible edge case rather than core biotech.","Official site describes real-time connected refrigeration assets, algorithms that predict data, cold-chain monitoring and business insights to avoid outages in refrigerated foods.","verify cluster fit and enrich description with technology, biology/materiality, market"
"849","BioMetallum","bioactive products and regenerative edge cases","medium","5.5","8.5","high","reviewed","official_website","https://bio-metallum.com/","medium_semantic_confidence","Biomining and direct lithium extraction company.","BioMetallum is an Argentine biomining company using microorganisms, synthetic biology and AI-driven exploration to extract lithium and other metals with lower water use, fewer chemicals and reduced environmental impact. It is a high-fit planetary and biobased-industrial case because it applies living systems to critical-mineral extraction for the energy transition. It belongs inside BIO VC LATAM as biomining and resource-recovery infrastructure.","Official site describes BioMetallum as an Argentinian biomining startup using microorganisms, synthetic biology and AI-driven exploration for efficient lithium and metal extraction with lower water use and environmental impact.","verify cluster fit and enrich description with technology, biology/materiality, market"
"849","Galtec Life","drug discovery and disease therapeutics","medium","5.8","8.5","high","reviewed","official_website","https://galtec.ar/en/home/","medium_semantic_confidence","Galectin-modulating immunotherapies for cancer and inflammatory disease.","Galtec Life is an Argentine biotech developing immunotherapies based on galectin modulation for cancer, autoimmune diseases and chronic inflammatory conditions. The semantic anchor is therapeutic immunology: the company designs biological interventions that act on galectin-mediated immune and inflammatory pathways. It belongs inside BIO VC LATAM as a therapeutic biotech platform, not ag intelligence or generic life-science services.","Official site describes immunotherapies based on galectin modulation for cancer, autoimmune diseases and chronic inflammatory conditions.","verify cluster fit and enrich description with technology, biology/materiality, market"
"849","Qnity","therapeutics and regenerative bio","medium","5.9","8","medium","reviewed","official_website","https://www.qnity.bio/","medium_semantic_confidence","Quantum-electrochemical molecular screening for drug discovery.","Brazilian molecular-screening company developing a quantum-electrochemical chip for real-time drug discovery and affinity testing across molecule sizes, from small organics to complex biologics. Originating from UNESP research, its device aims to make molecular interaction assays faster, more accessible and more sensitive. It belongs inside BIO VC LATAM as scientific instrumentation for biological binding, drug discovery and pharma R&D.","Qnity describes a quantum-electrochemical device for ultra-sensitive drug discovery and screening across molecule sizes; UNESP says the technology accelerates molecular affinity assays for pharmaceutical development.","verify cluster fit and enrich description with technology, biology/materiality, market"
"849","Future Cow","agri intelligence and traceable markets","medium","6","8","medium","reviewed","official_website","https://www.futurecow.com.br/","medium_semantic_confidence","Precision-fermented animal-free dairy protein.","Future Cow is a Brazilian food-biotech company producing animal-free dairy proteins through precision fermentation. Its platform uses DNA coding in microbial hosts to produce milk proteins without cows, enabling dairy ingredients with lower animal dependence and potential emissions benefits. It belongs inside BIO VC LATAM as a core food-biotech and alternative-protein company, specifically precision-fermented dairy biofactories.","Official site says Future Cow uses precision fermentation and DNA coding in microbial hosts to produce animal-free milk protein for dairy products.","verify cluster fit and enrich description with technology, biology/materiality, market"
"849","Arqlite","biobased materials and waste valorization","medium","6.2","8","medium","reviewed","secondary_public_profile","https://curbwaste.com/company-profiles-network/arqlite","medium_semantic_confidence","Circular materials company converting hard-to-recycle plastic into construction aggregates.","Arqlite is a circular-materials company converting hard-to-recycle plastics into low-carbon lightweight aggregates and other materials for construction and manufacturing. It is not biomanufacturing or molecular biotech; it belongs inside the broader BIO VC LATAM perimeter as planetary-boundary circular materials infrastructure that reduces plastic waste and substitutes virgin construction inputs.","Public company profiles describe technology that converts hard-to-recycle plastics into low-carbon materials and recycled aggregates for construction and manufacturing.","verify cluster fit and enrich description with technology, biology/materiality, market"
"849","Frizata","agri intelligence and traceable markets","medium","6.5","8","medium","reviewed","secondary_public_profile","https://latamlist.com/frizata-raises-4-65m-funding-round-for-flexitarian-frozen-meals/","medium_semantic_confidence","Flexitarian frozen food platform.","Frizata is an Argentine flexitarian frozen-food company producing direct-to-consumer meals, vegetables, appetizers and meatless products across Argentina, Chile and Brazil. Public investment coverage describes proprietary meatless items, preservative-free products and a thesis of helping consumers reduce animal-product dependence through convenient frozen foods. It belongs inside BIO VC LATAM as edge food-transition infrastructure, adjacent to alternative proteins rather than core biotech.","LatamList describes Frizata as a flexitarian foodtech manufacturing frozen food across Brazil, Argentina and Chile, encouraging less animal-product consumption and more vegetable/healthy alternatives.","verify cluster fit and enrich description with technology, biology/materiality, market"
