"startup_name","recommendation","reason","macro_theme","emergent_theme","structured_sector","thesis_fit","confidence"
"Grandata","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Houm","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Hybridon","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Infira","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"INI","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Inventa","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Invitrall","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Jampp","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Kangu","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Lemon","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Levya","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Lipock","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Mabloc","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"MentaTech","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Mesenchyal-T","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Mudafy","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Mural","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Nairotech","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Nuvemshop","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Omica","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Payjoy","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Pepton","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"PhylumTech","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Pill.AR","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"POLYMERA","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Pomelo","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Properati","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Qive","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Quadminds","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Resistia","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Retargetly","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Ripio","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Rsk","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Ruedata","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Rumina","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Securitize","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Sensify","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Sirena","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Stradot","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Tintte","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Tissue Dynamics","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"TravelX","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Ualá","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Vercel","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"WerkenVac","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Workana","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Zipnova","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
