name,country_code,sector,description,website,source_accelerator,accelerator_country
Fauna Bio,BR,AgriTech,Comparative genomics leveraging animal hibernation science for pharmaceutical discovery,https://fauna-bio.com,GRIDS Capital,BR
Doloromics,BR,Therapeutics,Pain biology research and therapeutic development,https://doloromics.com,GRIDS Capital,BR
Anagenex,BR,Biotech,Genetic analysis and biotech solutions,https://anagenex.com,GRIDS Capital,BR
NuCicer,BR,FoodTech,Food biotechnology and cultured foods innovation,https://nucicer.com,LifelyVC,BR
Bond Pet Foods,BR,FoodTech,Biotech-driven pet food innovation,https://bondpetfoods.com,LifelyVC,BR
Change Foods,BR,FoodTech,Fermentation-based food technology for sustainability,https://changefoods.com,LifelyVC,BR
Aqua Cultured Foods,BR,FoodTech,Cultivated seafood using biotechnology,https://aquacultured.com,LifelyVC,BR
Baqueano,UY,AgriTech,Precision livestock data platform for health management and traceability across Latin America,https://baqueano.com,Agro en Punta,UY
Locbio (Pasteur Co-created),UY,Biotech,Synthetic biology and protein engineering for cellular circuits,https://locbio.com,Institut Pasteur LAB+,UY
Paqta,PE,AgriTech,Customized biofertilizers for soil health optimization and improved agriculture,https://paqta.com,IDB Lab ReGenerate,PE
Cognita Conecta,PE,EdTech,Spanish-language biotech and life sciences educational platform,https://cognita.com,IDB Lab,PE
