"startup_id","startup_name","scope_decision","macro_theme","emergent_theme","review_status","startup_website","startup_description","candidate_source_url","candidate_description","candidate_import_status"
"mavios","Mavios","include","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","https://mavios.com","Tecnoloxía aplicada á xestión de activos e inventarios.","https://mavios.com","Tecnoloxía aplicada á xestión de activos e inventarios.","ready_for_review"
"microgenesis","Microgenesis","include","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","","","","","empty"
"monte_caldera","Monte Caldera Technology","include","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","","","","","empty"
"mzp","MZP","include","diagnostics and medtech","health diagnostics and medtech","seeded","","","","","empty"
"nanoingreen","Nanoingreen","include","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","https://nanoingreen.com","Nanotecnoloxía para o encapsulamento de ingredientes naturais.","https://nanoingreen.com","Nanotecnoloxía para o encapsulamento de ingredientes naturais.","ready_for_review"
"nanotica","Nanotica","include","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","https://nanotica.bio","Nanotecnoloxía aplicada para mellorar a eficiencia de agroquímicos.","https://nanotica.bio","Nanotecnoloxía aplicada para mellorar a eficiencia de agroquímicos.","ready_for_review"
"nanotransfer","Nanotransfer","include","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","","","","","empty"
"naturannova","Naturannova","include","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","","","","","empty"
"neocell","Neocell","include","computational biology and scientific software","computational biology and life-science software","taxonomy_stub","","","","","empty"
"nideport","Nideport","include","climate, energy and resource systems","nature restoration and carbon systems","seeded","https://nideport.com","Plataforma para a xestión e comercialización de créditos de carbono.","https://nideport.com","Plataforma para a xestión e comercialización de créditos de carbono.","ready_for_review"
"novo_space","NOVO SPACE","include","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub","https://novo.space","Arquitectura informática avanzada para misións espaciais.","https://novo.space","Arquitectura informática avanzada para misións espaciais.","ready_for_review"
"nunatak_biotech","Nunatak Biotech","include","computational biology and scientific software","computational biology and life-science software","taxonomy_stub","https://nunatakbiotech.com","Biotecnoloxía utilizando plantas da Antártida para aplicacións cosméticas.","https://nunatakbiotech.com","Biotecnoloxía utilizando plantas da Antártida para aplicacións cosméticas.","ready_for_review"
"ocular_bio_design","Ocular Bio Design","include","therapeutics and regenerative medicine","therapeutic and regenerative biology","taxonomy_stub","https://ocularbio.com","Enxeñería de tecidos oculares para o tratamento da cegueira.","https://ocularbio.com","Enxeñería de tecidos oculares para o tratamento da cegueira.","ready_for_review"
"onco_precision","Onco Precision","include","therapeutics and regenerative medicine","therapeutic and regenerative biology","taxonomy_stub","https://oncoprecision.bio","Biotecnoloxía para optimizar tratamentos oncolóxicos personalizados.","https://oncoprecision.bio","Biotecnoloxía para optimizar tratamentos oncolóxicos personalizados.","ready_for_review"
"plamic","Plamic","include","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","https://plamic.bio","Nanotecnoloxía para o control de pragas na agricultura.","https://plamic.bio","Nanotecnoloxía para o control de pragas na agricultura.","ready_for_review"
"plamic_biotech","Plamic Biotech","include","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","","","","","empty"
"pregen","PreGen","include","therapeutics and regenerative medicine","therapeutic and regenerative biology","taxonomy_stub","https://pregen.bio","Diagnóstico xenético preimplantacional para medicina reprodutiva.","https://pregen.bio","Diagnóstico xenético preimplantacional para medicina reprodutiva.","ready_for_review"
"protiva","Protiva","include","biobased chemistry and advanced materials","biobased chemistry and materials","seeded","https://protiva.bio","Ingredientes proteicos alternativos para a industria alimentaria.","https://protiva.bio","Ingredientes proteicos alternativos para a industria alimentaria.","ready_for_review"
"quantum_south","Quantum South","include","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub","https://quantum-south.com","Computación cuántica aplicada á optimización de carga aérea e marítima.","https://quantum-south.com","Computación cuántica aplicada á optimización de carga aérea e marítima.","ready_for_review"
"qumir_nano","Qumir Nano","include","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","https://qumirnano.bio","Nanomedicina para o tratamento de enfermidades crónicas.","https://qumirnano.bio","Nanomedicina para o tratamento de enfermidades crónicas.","ready_for_review"
"radbio","Radbio","include","computational biology and scientific software","computational biology and life-science software","taxonomy_stub","","","","","empty"
"satellites_on_fire","Satellites on Fire","include","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub","","","","","empty"
"satellogic","Satellogic","include","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub","","","","","empty"
"scitherm_therapeutics","Scitherm Therapeutics","include","therapeutics and regenerative medicine","therapeutic and regenerative biology","taxonomy_stub","https://scitherm.com","Novas terapias térmicas para o tratamento do cancro.","https://scitherm.com","Novas terapias térmicas para o tratamento do cancro.","ready_for_review"
"seedmatriz","SeedMatriz","include","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","https://seedmatriz.com","Tecnoloxía de recubrimento de sementes para mellorar o rendemento agrícola.","https://seedmatriz.com","Tecnoloxía de recubrimento de sementes para mellorar o rendemento agrícola.","ready_for_review"
"skyloom","Skyloom","include","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub","https://skyloom.co","Infraestrutura de comunicacións láser por satélite de alta velocidade.","https://skyloom.co","Infraestrutura de comunicacións láser por satélite de alta velocidade.","ready_for_review"
"solfium","Solfium","include","climate, energy and resource systems","climate and resource intelligence platforms","taxonomy_stub","https://solfium.com","Plataforma para facilitar a transición cara á enerxía solar residencial e comercial.","https://solfium.com","Plataforma para facilitar a transición cara á enerxía solar residencial e comercial.","ready_for_review"
"soygreen","SoyGREEN","include","ag biologicals and crop resilience","extremophile microbial ag inputs","seeded","https://soygreen.com.ar","Insumos biográficos e solucións sustentables para o agro.","https://soygreen.com.ar","Insumos biográficos e solucións sustentables para o agro.","ready_for_review"
"spherebio","SphereBio","include","computational biology and scientific software","computational biology and life-science software","taxonomy_stub","","","","","empty"
"splight","Splight","include","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","https://splight-ai.com","Intelixencia Artificial aplicada para optimizar a rede eléctrica e enerxías renovables.","https://splight-ai.com","Intelixencia Artificial aplicada para optimizar a rede eléctrica e enerxías renovables.","ready_for_review"
"sylvarum","Sylvarum","include","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","https://sylvarum.com","Electro-estimulación en plantas para optimizar o metabolismo e produtividade.","https://sylvarum.com","Electro-estimulación en plantas para optimizar o metabolismo e produtividade.","ready_for_review"
"syocin_bio","Syocin Biotech","include","computational biology and scientific software","computational biology and life-science software","taxonomy_stub","https://syocin.com","Biotecnoloxía para o desenvolvemento de bio-fungicidas de alta precisión.","https://syocin.com","Biotecnoloxía para o desenvolvemento de bio-fungicidas de alta precisión.","ready_for_review"
"untech","UnTech","include","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","https://untech.bio","Desenvolvemento de tratamentos innovadores para feridas crónicas.","https://untech.bio","Desenvolvemento de tratamentos innovadores para feridas crónicas.","ready_for_review"
"updairy","Updairy","include","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","https://updairy.com","Produción de proteínas lácteas sen animais mediante fermentación.","https://updairy.com","Produción de proteínas lácteas sen animais mediante fermentación.","ready_for_review"
"viewmind","ViewMind","include","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","https://viewmind.ai","Diagnóstico precoz de enfermidades neurodexenerativas mediante o movemento ocular.","https://viewmind.ai","Diagnóstico precoz de enfermidades neurodexenerativas mediante o movemento ocular.","ready_for_review"
"webee","Webee","include","ag biologicals and crop resilience","data-driven pollination systems","taxonomy_stub","https://webee.io","Plataforma de IIoT (IoT Industrial) e IA visual sen código para manufactura.","https://webee.io","Plataforma de IIoT (IoT Industrial) e IA visual sen código para manufactura.","ready_for_review"
