startup_id,name,description,core_focus,industry_sector,maturity,confidence,priority_assessment,source_found,notes
12,geofusion,"Geographic market intelligence platform. Provides territorial analysis, expansion strategy, and market data through OnMaps product (Light, Smart, Expert, Premium packages). Clients: Coca-Cola, Yamaha, Starbucks, Dominos.","Geomarketing, geographic intelligence, market data, SaaS","Software/SaaS, Business Intelligence",Established,0.88,EXCLUDE,"Crunchbase, Tracxn, CBInsights, Cortex-Intelligence, Thoughtworks","Founded 1996 in São Paulo. Acquired by Cortex (Oct 2022). Raised $9.17M. Not biotech—geographic market intelligence/data analytics."
13,logan,"Adtech and media data platform. Provides cross-channel advertising (Logan Ads), customer intelligence (Super Small Data), and programmatic media (video, audio, gaming). Aggregates data from 400M mobile devices in LatAm.","Adtech, media, programmatic advertising, audience data, out-of-home (OoH) tracking","Adtech, Media, Software/SaaS",Scale-up,0.89,EXCLUDE,"Crunchbase, LinkedIn, Clodura, InMobi partnership, Medium article","Founded in Argentina, operates in 14 countries across LatAm, Europe, US from 22 offices. Serves 1,200 brands & 350 agencies. Not biotech—advertising technology."
14,logshare,"Collaborative freight-sharing platform for lower-emission logistics. AI-powered SaaS + transactional marketplace. Connects unused truck capacity across companies. Clients: GPA, PepsiCo, Unilever, Carrefour achieve 40% fewer empty miles, 30% lower CO2.","Logistics, sustainability, shared freight, AI, SaaS marketplace","Logistics Tech, Software/SaaS, Sustainability",Scale-up,0.87,EXCLUDE,"Crunchbase, LogShare website, Dealroom","Brazil-based. Sustainability-focused (emissions monitoring/neutralization). Not biotech—collaborative logistics/sustainability SaaS."
15,luzid,"ERP delivery and transformation platform using agentic AI. Provides project management, knowledge automation, and risk surfacing for SAP/Salesforce implementations. AI agent 'David' automates test generation (up to 80%).","Enterprise software, ERP, AI/agentic automation, implementation platform, SaaS","Software/SaaS, Enterprise Tech",Scale-up,0.86,EXCLUDE,"Luzid.io, Yahoo Finance, ERPNews, LinkedIn","Focuses on ERP delivery acceleration. Not biotech—enterprise software implementation/consulting platform."
16,mabloc,"AI-powered antibody discovery platform for therapeutics. BRAID™ platform combines AI, next-gen sequencing, high-throughput biotech to isolate rare, broadly reactive antibodies. Partnership with Instituto Butantan on Yellow Fever antibody therapy (MBL-YFV-01).","AI antibody discovery, monoclonal antibodies, therapeutics, biotech platform, next-gen sequencing","Therapeutics, Platform/Core Biotech",Startup,0.92,BIOTECH,"PRNewswire, VentureRadar, Mabloc.com, USP partnership, PubMed research","CLEAR BIOTECH: AI-driven monoclonal antibody discovery platform with clinical pipeline (Yellow Fever therapy in partnership with USP/Butantan). Core biotech R&D + therapeutics."
17,oneinfinite,"Cross-border payments orchestration platform. Limited public profile; search returned general payment orchestration info (smart routing, multi-provider integration, currency support) but no dedicated 'OneInfinite' company profile.","Fintech, payments, cross-border payments, payment orchestration","Fintech, Software/SaaS",Unknown,0.3,EXCLUDE,"General payment orchestration platform articles","No dedicated OneInfinite company profile found despite searches. May be internal/beta name. Insufficient data for biotech classification."
18,prima,"Insurance and digital services platform. Prima Solutions is established 25+ year insurer software provider in Europe/France with cloud platforms for Life & Health (Prima L&H), Property & Casualty (Prima P&C), and Analytics. Limited Brazil-specific info.","Insurance SaaS, insurance software, cloud platforms, portfolio analysis","Fintech, Insurance Tech, Software/SaaS",Established,0.75,EXCLUDE,"Prima Solutions website, LinkedIn, insuranceandtechguide, CBInsights","25+ year software provider for insurance industry. Serves 300+ customers globally. Not biotech—insurance software/SaaS platform."
19,sensei,"Autonomous retail computer vision platform. European leader in checkout-free store technology. Uses ceiling cameras, shelf sensors, AI to track products/customers (99% accuracy). €15M Series A (2024). Operating 1,200+ sqm autonomous supermarket in Portugal.","Computer vision, autonomous retail, AI, retail tech, checkout-free shopping","Software/SaaS, Retail Tech",Scale-up,0.91,EXCLUDE,"Tech.eu, Sensei.tech, LinkedIn, PRNewswire, G2","Founded in Portugal (Lisbon). €15M Series A to scale to 1,000 autonomous stores by 2026. Not biotech—computer vision/retail automation."
20,starlight_ventures,"Venture capital firm. Founded 2017, based Miami but operates across Brazil, Argentina, Canada, Chile, Colombia, Israel, Mexico, Germany, France, Italy, Spain, US. Invests in fusion energy, space, quantum, critical materials, industrial decarbonization, life sciences (50 portfolio companies).","Venture capital, life sciences investing, deep tech, climate tech","Capital/Ecosystem Actor, Venture Capital",Established,0.88,EXCLUDE,"Capboard, Tracxn, Signal NFX, LinkedIn, starlight.vc","VC firm, not operating company. Portfolio includes 50 companies (1 IPO, 2 acquisitions). Not the type of startup to classify as biotech."
21,strike,"AI-led offensive cybersecurity and attack simulation platform. Founded 2021. Conducts continuous AI threat emulations. Covers 1-hour what humans do in 3 days. Clients: 100+ enterprises including Santander, Mercado Libre, Okta, DeliveryHero (finance, tech, healthcare, insurance).","Cybersecurity, AI, attack simulation, security testing, compliance automation","Software/SaaS, Cybersecurity",Scale-up,0.89,EXCLUDE,"strike2025.webflow.io, Crunchbase, strikegraph.com, strikeready.com","Founded 2021. Trusted by 100+ enterprises. Not biotech—cybersecurity/offensive security platform."
22,teachy,"AI teaching and school platform. Rio de Janeiro-based edtech founded 2022. Generates lesson plans, slides, quizzes, mind maps from database of 1M+ vetted materials and 40K+ lesson plans. $7M Series A (2024), total $8.6M raised. Supports 1M+ teachers in LatAm/Asia.","AI education, EdTech, lesson generation, teacher tools, AI-powered content","EdTech, Software/SaaS",Scale-up,0.89,EXCLUDE,"Tracxn, PitchBook, EdWeek, EdTech Innovation Hub, NXTP, Roble Ventures","Founded 2022 in Rio de Janeiro. $7M Series A led by Goodwater Capital. 1M+ teachers. Not biotech—pure AI-powered education platform."
23,tissue_dynamics,"Human organoid and AI platform for drug discovery and toxicology testing. AI-powered 3D in vitro platform that replaces animal models. Founded 2017 in Jerusalem. Provides organoid physiology monitoring, predictive toxicology, high-throughput screening.","Human organoids, AI, drug discovery, toxicology testing, 3D in vitro, biotech platform, animal-free testing","Therapeutics/Drug Discovery, Platform/Core Biotech",Startup,0.88,BIOTECH,"PMC/PubMed research, Nature Reviews Drug Discovery, STEM Cell Resources, Wiley Journal, CBInsights","CLEAR BIOTECH: AI-powered human organoid platform for drug discovery and toxicology. FDA Modernization Act recognizes organoid-based results for IND applications. Core biotech R&D."
24,verge_ag,"Farm machinery path-planning software. Creates optimized field routes for seeding, spraying, harvest using machine data, elevation, field boundaries, equipment specs. Integrates with John Deere, CNHi, GIS. No hardware required.","Agtech, precision agriculture, path planning, equipment optimization, farm software, GPS/autonomy","Agtech, Software/SaaS",Scale-up,0.87,QUESTIONABLE,"vergeag.com, Alberta.ca, Crownsmen Partners, farm-equipment.com","Canadian company. Not biotech R&D but precision agtech tool. Depends on biotech classification criteria—if treating agtech infrastructure as relevant, borderline."
25,vixtra,"Import financing fintech. Specialized in providing credit for international merchandise importers. Uses merchandise-in-transit as collateral (80% financing, up to 150-270 days). Raised R$150M FIDC with Itaú anchor investor. Target: R$1.2B financed by 2025.","Fintech, import financing, trade finance, working capital, supply chain finance","Fintech, Supply Chain Finance",Scale-up,0.87,EXCLUDE,"Crunchbase, QED Investors, TI Inside, Vixtra website, FintechLab, Valor Capital","Import-focused fintech. Raised R$150M (Nov 2025) + prior R$150M. Not biotech—supply chain/trade finance."
26,vu,"Digital identity and fraud prevention platform. Argentina-based cybersecurity firm. Provides identity verification, liveness detection, biometric identity verification, behavioral analysis. Raised $24M. Serves finance, retail, healthcare, government.","Cybersecurity, identity verification, fraud prevention, biometric auth, behavioral analysis","Cybersecurity, Fintech, Software/SaaS",Scale-up,0.86,EXCLUDE,"VU Security website, Verdict, Crunchbase, Biometric Update","Argentina-based. $24M raised. Not biotech—digital identity/fraud prevention cybersecurity."
27,webee,"Industrial IoT and AI platform for manufacturing operations. No-code IIoT platform (Webee SmartFactory™) for real-time monitoring. Webee CONNECT integrates SCADA, PLC, ERP, MES. 1,000+ sensors, predictive maintenance, production optimization, energy reduction (up to 10%).","Industrial IoT, AI, manufacturing, predictive maintenance, real-time monitoring, IIoT platform","Manufacturing Tech, Software/SaaS, Industrial Tech",Scale-up,0.88,EXCLUDE,"Webee.io, Business Wire, IoT Business News","Announced SmartFactory™ in 2021. Over 10 industry verticals. Not biotech—industrial IoT/manufacturing platform."
28,wisy,"AI retail execution and shelf intelligence platform. Computer vision-based on-shelf analytics using mobile device cameras. Analyzes planogram compliance, pricing, availability, competition. Reduces manual inspection from 20+ min to 1-2 min per shelf. Addresses $1T industry waste.","Computer vision, retail AI, on-shelf intelligence, planogram compliance, shelf analytics","Retail Tech, Software/SaaS",Scale-up,0.89,EXCLUDE,"Wisy.ai, Crunchbase, CloudWars, fieldpie.com, G2","AI-powered shelf visibility platform. Industry leader in retail execution. Not biotech—computer vision/retail operations software."
