startup_id,name,funding_stage,computed_quality_score,tech_depth,short_description,source,confidence,notes
magenta-biolabs-cr,Magenta Biolabs,series-a,7.0,medium,Biotech startup from Magenta Biolabs,BD_Inference,0.7,"Founded 2020, 0 investors"
magic-green-cr,Magic Green,series-a,7.0,medium,Biotech startup from Magic Green,BD_Inference,0.7,"Founded 2020, 0 investors"
medimarket-online-ve,Medimarket Online,series-a,7.0,medium,Biotech startup from Medimarket Online,BD_Inference,0.7,"Founded 2020, 0 investors"
microbiota-agricola-br,Microbiota Agricola,growth,7.5,medium,Biotech startup from Microbiota Agricola,BD_Inference,0.7,"Founded 2014, 0 investors"
microlabs-mx,Microlabs,growth,7.5,medium,Biotech startup from Microlabs,BD_Inference,0.7,"Founded 2016, 0 investors"
minerba-ec,MinerBA,seed,6.0,medium,Biotech startup from MinerBA,BD_Inference,0.7,"Founded 2021, 0 investors"
myvac-bioproducts-br,Myvac Bioproducts,growth,7.5,medium,Biotech startup from Myvac Bioproducts,BD_Inference,0.7,"Founded 2016, 0 investors"
nanomedical-cr,Nanomedical,series-a,7.0,medium,Biotech startup from Nanomedical,BD_Inference,0.7,"Founded 2020, 0 investors"
nemacontrol-biologicos-br,NemaControl Biologicos,growth,7.5,medium,Biotech startup from NemaControl Biologicos,BD_Inference,0.7,"Founded 2012, 0 investors"
nutrissis-biotech-br,Nutrissis Biotech,series-a,7.0,medium,Biotech startup from Nutrissis Biotech,BD_Inference,0.7,"Founded 2019, 0 investors"
plantverd-mx,PlantVerd,series-a,7.0,medium,Biotech startup from PlantVerd,BD_Inference,0.7,"Founded 2020, 0 investors"
quipu-cr,Quipu,series-a,7.0,medium,Biotech startup from Quipu,BD_Inference,0.7,"Founded 2020, 0 investors"
recombine-biotech-br,Recombine Biotech,series-a,7.0,medium,Biotech startup from Recombine Biotech,BD_Inference,0.7,"Founded 2019, 0 investors"
respiratorydx-co,RespiratoryDx,series-a,7.0,medium,Biotech startup from RespiratoryDx,BD_Inference,0.7,"Founded 2020, 0 investors"
scintia-mx,Scintia,series-a,7.0,medium,Biotech startup from Scintia,BD_Inference,0.7,"Founded 2019, 0 investors"
silicochem-ec,SilicoChem,growth,7.5,medium,Biotech startup from SilicoChem,BD_Inference,0.7,"Founded 2015, 0 investors"
swebol-biotech-bo,Swebol Biotech,growth,7.5,medium,Biotech startup from Swebol Biotech,BD_Inference,0.7,"Founded 2015, 0 investors"
tierra-de-monte-mx,Tierra de Monte,seed,6.0,medium,Biotech startup from Tierra de Monte,BD_Inference,0.7,"Founded 2021, 0 investors"
wseeds-co,WSeeds,series-a,7.0,medium,Biotech startup from WSeeds,BD_Inference,0.7,"Founded 2020, 0 investors"
