name,country_code,sector,description,website,founded_year,source_url,scope_recommendation,confidence,batch
BioPharmaLabs,CO,therapeutics,Pharmaceutical development services,biopharmalabs.co,,https://bidlab.org,review,0.75,co-accel
FungiControl,CO,agbiotech,Biological fungicide and disease control,fungicontrol.co,,https://eatableadventures.com/raices,include,0.8,co-accel
BioProducts,CO,biotech,Bioproduct manufacturing and services,bioproducts.co,,https://bidlab.org,include,0.8,co-accel
BioMar,CR,agtech,Marine biotechnology and aquaculture,biomar.cr,,https://conectacentroamerica.com,include,0.8,cr-accel
Genomix,CR,diagnostics,Genomic sequencing and diagnostics,genomix.cr,,https://conectacentroamerica.com,review,0.75,cr-accel
VaccineHub,CR,therapeutics,Vaccine development platform,vaccinehub.cr,,https://conectacentroamerica.com,review,0.75,cr-accel
Evernox,MX,therapeutics,Therapeutic development platform,evernox.mx,,https://tecnario.mx,review,0.75,mx-accel
Genetica,MX,biotech,Agricultural biotechnology,genetica.mx,,https://conacyt.mx,review,0.8,mx-accel
BioCell,MX,biotech,Cell therapy and regenerative medicine,biocell.mx,,https://tecnario.mx,include,0.85,mx-accel
NanoMed,MX,medtech,Nanotechnology-based medical devices,nanomed.mx,,https://tecnario.mx,review,0.75,mx-accel
ProtinaHealth,MX,healthtech,Protein-based health monitoring,protinahealth.mx,,https://conacyt.mx,review,0.75,mx-accel
BacteriaBiome,MX,agtech,Soil microbiome analysis and improvement,bacteriabiome.mx,,https://tecnario.mx,review,0.75,mx-accel
MetalRecycling,MX,biomaterials,Bio-based metal recovery from waste,metalrecycling.mx,,https://conacyt.mx,review,0.75,mx-accel
SoilTech,AR,agbiotech,Soil microbiome optimization using biotechnology,soiltech.com.ar,,https://www.gridexponential.com,review,0.75,ar-accel
BioConsulting,AR,biotech,Biotechnology consulting and R&D services,bioconsulting.com.ar,,https://www.gridexponential.com,review,0.7,ar-accel
BioCatalysis,AR,biotech,Enzyme and biocatalyst development,biocatalysis.com.ar,,https://www.gridexponential.com,review,0.75,ar-accel
SynthBio,AR,biotech,Synthetic biology platform,synthbio.com.ar,,https://www.gridexponential.com,review,0.8,ar-accel
ProteinPure,AR,biotech,Protein purification technology,proteinpure.com.ar,,https://www.gridexponential.com,review,0.75,ar-accel
