name,country_code,sector,description,website,source_report,source_organization,scope_basis,confidence
TauGC Bioinformatics,BR,bioinformatics,Integrates AI with next-generation sequencing (NGS) for genomic data analysis. Applications in oncology rare diseases agriculture and evolutionary biology.,taugc.com.br,Cuantico VP Brazil Report 2025,Cuantico VP,external_auditable_source,0.85
Nintx,BR,drug-discovery,Biotech focused on drug discovery and R&D. Secured $10M Series A in December 2024 to accelerate eight new drug programs.,nintx.com.br,Cuantico VP Brazil Report 2025,Cuantico VP,external_auditable_source,0.85
Gen-t,BR,genomics,Improves ethnic diversity in human genome sequence collections by collecting genetic data from diverse Brazilian populations and studying disease-associated genetic traits.,gen-t.co,Nucleate Signal / Brazilian VC Activity Report,Nucleate,external_auditable_source,0.85
Autem Therapeutics,BR,therapeutics,Cancer therapy company using electrical stimulation of tumor cells. Secured $10M Series A-1 round.,autemtx.com,Nucleate Signal / Brazilian VC Activity Report,Nucleate,external_auditable_source,0.90
Quantis,BR,medtech,Develops medical devices using human bioidentical proteins. Key product QProtein for dermal filler (human collagen injectable).,quantis.bio,Nucleate Signal / Brazilian VC Activity Report,Nucleate,external_auditable_source,0.80
Mombak,BR,climatetech,Nature-based carbon removal through Amazon reforestation. Sells high-quality carbon credits. Series A $150M.,mombak.com,Cuantico VP Brazil Report 2025 + LAVCA 2025 Biotech Report,Multiple,external_auditable_source,0.95
Vitales,BR,agbiotech,Brazilian biologicals company producing biological crop protection products. Partner of Ginkgo Bioworks for biologicals manufacturing.,vitalesagro.com.br,Cuantico VP Brazil Report 2025,Cuantico VP,external_auditable_source,0.85
Symbiomics,BR,bioinputs,Produces microorganism strains for bioinputs: nitrogen fixation plant nutrition phosphorus solubility and pest/pathogen protection.,symbiomics.com.br,FAPESP Deep Techs Report,FAPESP,external_auditable_source,0.90
Peptidus Biotech,BR,animal-health,Uses generative AI to develop bioactive peptides for therapeutic applications. Flagship product MastPep targets mastitis in cattle.,peptidus.com.br,FAPESP Deep Techs Report,FAPESP,external_auditable_source,0.90
Brain4care,BR,medtech,Noninvasive technology for monitoring intracranial pressure using sensor-equipped headband and AI. Used by 80+ hospitals. Entered US market.,brain4care.com,FAPESP Deep Techs Report,FAPESP,external_auditable_source,0.90
PhageLab,CL,biotech,Chilean biotech using AI to develop bacteriophage-based products for the animal industry as alternatives to antibiotics in livestock and aquaculture. Series A $11M led by Nazca.,phage-lab.com,Startups LatAm / Cuantico VP Chile Report,Cuantico VP,external_auditable_source,0.95
Luyef,CL,biotech,Develops precision fermentation technology producing TAMEE (bovine myoglobin) ingredient to enhance flavor and color of plant-based and cultivated meat. Grants $1.25M CORFO.,luyef.com,Startups LatAm / Cuantico VP Chile Report,Cuantico VP,external_auditable_source,0.90
Aquit,CL,biotech,Develops preventive treatments replacing antibiotics for fish infections improving survival rates and natural immunity in aquaculture. Pre-seed $832K.,aquit.cl,Aquaculture Biotech Report / Cuantico VP,Multiple,external_auditable_source,0.90
Andes Biotechnologies,CL,oncology,Develops proprietary cancer treatments using non-coding DNA and antisense technology targeting solid tumors. Clinical stage.,andesbiotec.com,GridX II Fund Portfolio,GridX (IDB Lab funded),external_auditable_source,0.90
Daeki,CL,diagnostics,Creates diagnostic devices that detect diseases using saliva samples through biomarker analysis. Rapid low-cost diagnostics.,daeki.cl,GridX II Fund Portfolio,GridX (IDB Lab funded),external_auditable_source,0.85
Algenis,CL,biotech,Researches microalgae-derived sodium channel blockers for treating neurological and pain pathologies.,algenis.cl,GridX II Fund Portfolio,GridX (IDB Lab funded),external_auditable_source,0.85
Kura Biotech,CL,therapeutics,Therapeutics development platform,kurabiotech.cl,Patagonia Biotech Hub / GridX II Fund,GridX (IDB Lab funded),external_auditable_source,0.80
SALMOSS Biotech,CL,agbiotech,Salmon health and aquaculture disease detection using proprietary biotech approaches.,salmoss.cl,Patagonia Biotech Hub,Patagonia Biotech Hub,external_auditable_source,0.85
Acuanativa,CL,aquaculture,Aquaculture-focused biotechnology innovation supporting sustainable aquaculture practices.,acuanativa.cl,Patagonia Biotech Hub,Patagonia Biotech Hub,external_auditable_source,0.80
DeValor,CL,agbiotech,Biotech company focused on aquaculture biotechnology solutions.,devalor.cl,Patagonia Biotech Hub,Patagonia Biotech Hub,external_auditable_source,0.80
ReCircuLab,CL,environmental-biotech,Circular bioeconomy solutions for aquaculture and marine biotechnology waste management.,recirculab.cl,Patagonia Biotech Hub,Patagonia Biotech Hub,external_auditable_source,0.80
Genesirt Bio,MX,therapeutics,Developing gene therapy for pulmonary fibrosis as part of Tec de Monterrey spin-off ecosystem.,genesirt.bio,Tec de Monterrey Spin-Offs Showcase 2025,Tec de Monterrey,external_auditable_source,0.85
Tissue Nova,MX,biotech,Working on 3D tissue models for drug assessment as Tec de Monterrey spin-off.,tissuenova.mx,Tec de Monterrey Spin-Offs Showcase 2025,Tec de Monterrey,external_auditable_source,0.85
Hepacys N,MX,therapeutics,Developing treatments for chronic liver diseases as Tec de Monterrey spin-off.,hepacysn.mx,Tec de Monterrey Spin-Offs Showcase 2025,Tec de Monterrey,external_auditable_source,0.85
Global Nano Additives,MX,biotech,Develops eco-friendly industrial lubricants using nanotechnology as Tec de Monterrey spin-off.,globalnano.mx,Tec de Monterrey Technology Transfer Office,Tec de Monterrey,external_auditable_source,0.80
Forma Foods,MX,foodtech,Lab-grown meat producer as Tec de Monterrey spin-off.,formafoods.mx,Tec de Monterrey Technology Transfer Office,Tec de Monterrey,external_auditable_source,0.85
Naddon,MX,therapeutics,Uses smart nanoparticles to encapsulate medications for controlled release as Tec de Monterrey spin-off.,naddon.mx,Tec de Monterrey Technology Transfer Office,Tec de Monterrey,external_auditable_source,0.80
BIOWIT,MX,diagnostics,Focuses on developing point-of-care diagnostic technologies to bring lab-grade diagnostic capabilities to decentralized settings.,biowit.mx,CONACYT Biotech Program / SciSpot 2025,CONACYT,external_auditable_source,0.85
GeneProDx,MX,genomics,Delivers precision medicine solutions through genomic testing.,geneproudx.mx,CONACYT Biotech Program / SciSpot 2025,CONACYT,external_auditable_source,0.85
Dogma Biotech,CO,biotech,AI-designed biotech company focused on minimalist glycans for enhanced protein therapies.,dogmabiotech.co,Colombian Deeptech Ecosystem Report / Ganesha Lab,Multiple,external_auditable_source,0.85
Samay,CO,biotech,Deeptech biotech startup operating in Colombia's growing innovation ecosystem.,samay.co,Colombian Deeptech Ecosystem Report / Ganesha Lab,Multiple,external_auditable_source,0.80
Grupo Bios,CO,biotech,Deeptech biotech success story in Colombia's biotechnology ecosystem.,grupo-bios.co,Colombian Deeptech Ecosystem Report / Ganesha Lab,Multiple,external_auditable_source,0.80
Sciphage,CO,therapeutics,Phage therapy for infectious diseases.,sciphage.com,GridX II Fund Portfolio,GridX (IDB Lab funded),external_auditable_source,0.85
Koji,CO,biotech,Biotechnology platform for sustainable food.,koji.co,GridX II Fund Portfolio,GridX (IDB Lab funded),external_auditable_source,0.85
Agro-Logica,CO,agbiotech,Agricultural biotechnology and crop optimization solutions.,agrologia.co,GridX II Fund Portfolio,GridX (IDB Lab funded),external_auditable_source,0.80
FungiControl,CO,agbiotech,Biological fungicide and disease control using biotech approaches.,fungicontrol.co,GridX II Fund Portfolio,GridX (IDB Lab funded),external_auditable_source,0.80
BioProducts,CO,biotech,Bioproduct manufacturing and services.,bioproducts.co,GridX II Fund Portfolio,GridX (IDB Lab funded),external_auditable_source,0.80
Metabix,UY,agbiotech,AI-powered microbiological risk detection in livestock. Founded 2022.,metabix.ai,Pasteur Institute - StartupLabs Uruguay,Pasteur Institute,external_auditable_source,0.90
NotCo,CL,foodtech,AI-driven food tech company creating plant-based alternatives to animal products using machine learning for molecular formulation. Unicorn. $235M raised.,notco.com,Start-Up Chile / CORFO Programs,Start-Up Chile,external_auditable_source,0.95
The Live Green Co,CL,foodtech,Combines indigenous plant knowledge with AI to engineer plant-based food and personal care products.,thelivegreen.co,Start-Up Chile / CORFO Programs,Start-Up Chile,external_auditable_source,0.85
Calice AI,AR,agtech,Uses AI-powered virtual field trials to predict crop yield and quality reducing the need for physical tests by up to 80%. Seed $2.5M led by Astanor.,calice.ai,Cuantico VP Argentina Startups Report 2026,Cuantico VP,external_auditable_source,0.90
Kilimo,AR,agtech,Precision irrigation optimization platform using satellite data and AI to reduce water consumption in agriculture. Series A $9.8M. One of Yield Lab LATAM portfolio companies.,kilimo.com,Yield Lab LATAM Portfolio / Cuantico VP,Multiple,external_auditable_source,0.90
Terrasos,BR,environmental-biotech,Part of IDB Lab project portfolio that had protected more than 6950 hectares and mobilized $7 million in investment by early 2026.,terrasos.br,IDB Lab Investment Portfolio,IDB Lab,external_auditable_source,0.85
BioBlends,AR,biotech,Creates gas-based biopreservatives that naturally extend the shelf life of fresh foods without chemical preservatives.,bioblends.bio,Argentina Startups Ecosystem Report,Multiple,external_auditable_source,0.85
Motivia,AR,healthtech,AI and behavioral sciences platform to improve medication adherence for chronic disease patients. Pre-seed $1.2M led by Alaya Capital.,motivia.health,Cuantico VP Argentina Startups Report 2026,Cuantico VP,external_auditable_source,0.75
Avedian,AR,healthtech,Health records management platform with predictive AI serving hospitals insurance and laboratories. $1M Pre-Series A.,avedian.health,Cuantico VP Argentina Startups Report 2026,Cuantico VP,external_auditable_source,0.75
ALKEMIO,AR,cleantech,Develops modular refining technology for decentralized rare earth element processing from mining byproducts. Pre-seed $400K.,alkemio.tech,Argentina Startups Ecosystem Report,Multiple,external_auditable_source,0.75
Huna,BR,diagnostics,Develops early detection of cancer risks from routine blood tests. Raised USD 1.5M pre-seed.,huna.com.br,LAVCA 2025 Biotech Report,LAVCA,external_auditable_source,0.85
Future Cow,BR,cellular-ag,Cellular agriculture company producing cow-free milk with drastically reduced emissions and water use. USD 560K funding.,futurecow.com.br,LAVCA 2025 Biotech Report,LAVCA,external_auditable_source,0.85
Xeptiva Therapeutics,AR,biotech,Innovative biotech that develops novel therapies for the veterinary market.,xeptiva.ar,Failory Argentina Startups 2026,Multiple,external_auditable_source,0.80
Auravant,AR,agtech,Precision agriculture platform integrating satellite imagery IoT sensors and agronomic models for field management. Series A $6.1M.,auravant.com,Argentina Startups Ecosystem Report,Multiple,external_auditable_source,0.85
Kilimo,AR,agtech,Precision irrigation optimization platform using satellite data and AI. Series A $9.8M.,kilimo.com,Argentina Startups Ecosystem Report,Multiple,external_auditable_source,0.90
ucrop.it,AR,agtech,Digital platform for traceability and quality certification in crop production linking producers with food companies.,ucrop.it,Argentina Startups Ecosystem Report,Multiple,external_auditable_source,0.80
Inspectral,BR,environmental-biotech,Uses multispectral drone and satellite imagery with AI to analyze water quality forest fire incidence and native forest recovery.,inspectral.com.br,FAPESP Deep Techs Report,FAPESP,external_auditable_source,0.85
