entity_id,canonical_name,country_code,n_edges,investors,sector_inferred,description_found,founded_year,recommendation,final_decision,notes
BioMetallum,BioMetallum,,2,SF500; SF500,,,,INCLUDE,,
Biodiversity Intelligence,Biodiversity Intelligence,,2,GridX; GridX,,,,INCLUDE,,
Bioeutectics,Bioeutectics,,2,GridX; GridX,,,,INCLUDE,,
Bioplastix,Bioplastix,,2,GridX; GridX,,,,INCLUDE,,
Biotalife,Biotalife,,2,SF500; SF500,,,,INCLUDE,,
Bitgenia,Bitgenia,,2,GridX; GridX,,,,INCLUDE,,
Bsafe Biotech,Bsafe Biotech,,2,GridX; GridX,,,,INCLUDE,,
ByBug,ByBug,,2,GridX; GridX,,,,EXCLUDE,,
caspr,CASPR,,2,SOSV_IndieBio; GridX,,,,EXCLUDE,,
CIRCCLO,CIRCCLO,,2,Antom; Antom,,,,EXCLUDE,,
Caligenia,Caligenia,,2,GridX; GridX,,,,INCLUDE,,
Caspr Biotech,Caspr Biotech,,2,DragonesVP; GridX,,,,INCLUDE,,
CellRep,CellRep,,2,GridX; GridX,,,,INCLUDE,,
Crinsurance,Crinsurance,,2,CITES; CITES,,,,EXCLUDE,,
Cryosmetics,Cryosmetics,,2,GridX; GridX,,,,EXCLUDE,,
CyanoMin,CyanoMin,,2,GridX; GridX,,,,EXCLUDE,,
Dharma BioScience,Dharma BioScience,,2,SF500; SF500,,,,INCLUDE,,
Dogma Biotech,Dogma Biotech,,2,GridX; GridX,,,,INCLUDE,,
Dynami,Dynami,,2,DraperCygnus; DraperCygnus,,,,EXCLUDE,,
EINSTED,EINSTED,,2,GridX; GridX,,,,EXCLUDE,,
Egg,Egg,,2,AIR Capital; DraperCygnus,,,,EXCLUDE,,
Eirú,Eirú,,2,Antom; SF500,,,,EXCLUDE,,
Embryoxite,Embryoxite,,2,GridX; GridX,,,,EXCLUDE,,
Enteria,Enteria,,2,GridX; GridX,,,,EXCLUDE,,
Eolo Pharma,Eolo Pharma,,2,CITES; CITES,,,,INCLUDE,,
Eureka,Eureka,,2,SF500; SF500,,,,EXCLUDE,,
Exomas,Exomas,,2,SF500; SF500,,,,EXCLUDE,,
Eywa,Eywa,,2,GridX; The Ganesha Lab,,,,EXCLUDE,,
Falcomm,Falcomm,,2,DraperCygnus; DraperCygnus,,,,EXCLUDE,,
Feed Vax,Feed Vax,,2,AIR Capital; GridX,,,,EXCLUDE,,
Future Biome,Future Biome,,2,GridX; GridX,,,,INCLUDE,,
GBM,GBM,,2,DraperCygnus; DraperCygnus,,,,EXCLUDE,,
Gameet,Gameet,,2,SF500; SF500,,,,EXCLUDE,,
Geoprot,Geoprot,,2,GridX; GridX,,,,INCLUDE,,
Gisens Biotech,Gisens Biotech,,2,GridX; GridX,,,,INCLUDE,,
GlycoX,GlycoX,,2,GridX; GridX,,,,EXCLUDE,,
Huiro,Huiro,,2,Antom; Antom,,,,EXCLUDE,,
INMET,INMET,,2,SF500; SF500,,,,EXCLUDE,,
Invitrall,Invitrall,,2,GridX; GridX,,,,EXCLUDE,,
Libera,Libera,,2,SF500; SF500,,,,EXCLUDE,,
M4Life,M4Life,,2,SF500; SF500,,,,EXCLUDE,,
MZP,MZP,,2,GridX; GridX,,,,EXCLUDE,,
Mesenchyal-T,Mesenchyal-T,,2,SF500; SF500,,,,EXCLUDE,,
MicroIN,MicroIN,,2,GridX; GridX,,,,INCLUDE,,
Microterra,Microterra,,2,DraperCygnus; DraperCygnus,,,,INCLUDE,,
Migma,Migma,,2,GridX; GridX,,,,EXCLUDE,,
Mycorium Biotech,Mycorium Biotech,,2,SF500; SF500,,,,INCLUDE,,
NanoInGreen,NanoInGreen,,2,GridX; GridX,,,,INCLUDE,,
Naturannova,Naturannova,,2,GridX; GridX,,,,EXCLUDE,,
Nideport,Nideport,,2,Antom; Antom,,,,EXCLUDE,,
NotFossil,NotFossil,,2,SF500; SF500,,,,EXCLUDE,,
Oneinfinite,Oneinfinite,,2,DraperCygnus; DraperCygnus,,,,EXCLUDE,,
Pill.AR,Pill.AR,,2,SF500; SF500,,,,EXCLUDE,,
Polymera,Polymera,,2,GridX; GridX,,,,EXCLUDE,,
Protiva,Protiva,,2,GridX; GridX,,,,INCLUDE,,
Qnity,Qnity,,2,GridX; GridX,,,,EXCLUDE,,
Qumir Nano,Qumir Nano,,2,GridX; GridX,,,,INCLUDE,,
RadBio,RadBio,,2,CITES; CITES,,,,INCLUDE,,
Radial,Radial,,2,GridX; GridX,,,,EXCLUDE,,
SciPhage,SciPhage,,2,The Ganesha Lab; Eatable Adventures,,,,EXCLUDE,,
Semion,Semion,,2,GridX; GridX,,,,EXCLUDE,,
SoyGREEN,SoyGREEN,,2,SF500; SF500,,,,EXCLUDE,,
Spectrum,Spectrum,,2,SF500; SF500,,,,EXCLUDE,,
SphereBio,SphereBio,,2,GridX; GridX,,,,INCLUDE,,
Stradot,Stradot,,2,CITES; CITES,,,,EXCLUDE,,
Synthetic Ocular Restoration,Synthetic Ocular Restoration,,2,GridX; GridX,,,,EXCLUDE,,
Tintte,Tintte,,2,SF500; SF500,,,,EXCLUDE,,
Tomorrow Foods,Tomorrow Foods,,2,GridX; GridX,,,,INCLUDE,,
TravelX,TravelX,,2,DraperCygnus; DraperCygnus,,,,EXCLUDE,,
Trebe Biotech,Trebe Biotech,,2,SF500; SF500,,,,INCLUDE,,
Ubique Bio,Ubique Bio,,2,GridX; GridX,,,,INCLUDE,,
UpDairy,UpDairy,,2,GridX; GridX,,,,EXCLUDE,,
Vexxel Biotech,Vexxel Biotech,,2,GridX; GridX,,,,INCLUDE,,
ViewMind,ViewMind,,2,CITES; CITES,,,,EXCLUDE,,
Vmind,Vmind,,2,DraperCygnus; DraperCygnus,,,,EXCLUDE,,
ZEV Biotech,ZEV Biotech,,2,GridX; GridX,,,,INCLUDE,,
Zavia Bio,Zavia Bio,,2,GridX; GridX,,,,INCLUDE,,
arcomedLab,arcomedLab,,2,AIR Capital; The Ganesha Lab,,,,INCLUDE,,
AVaTAR,AVaTAR,,1,GridX,,,,EXCLUDE,,
Aictive,Aictive,,1,The Ganesha Lab,,,,EXCLUDE,,
AlgaeBio+,AlgaeBio+,,1,GridX,,,,REVIEW,,
Amai Proteins,Amai Proteins,,1,DragonesVP,,,,REVIEW,,
Amplify Dynamics,Amplify Dynamics,,1,The Ganesha Lab,,,,EXCLUDE,,
aplife,Aplife,,1,GridX,,,,EXCLUDE,,
Ardan Pharma,Ardan Pharma,,1,CITES,,,,REVIEW,,
Armenta,Armenta,,1,DragonesVP,,,,EXCLUDE,,
Bee Technology,Bee Technology,,1,The Ganesha Lab,,,,EXCLUDE,,
Bifidice,Bifidice,,1,The Ganesha Lab,,,,EXCLUDE,,
BioPlaster Research,BioPlaster Research,,1,GridX,,,,REVIEW,,
Biogea,Biogea,,1,The Ganesha Lab,,,,REVIEW,,
Biome Resources,Biome Resources,,1,The Ganesha Lab,,,,REVIEW,,
Bionirs,Bionirs,,1,CITES,,,,REVIEW,,
BitMEX,BitMEX,,1,SOSV_IndieBio,,,,EXCLUDE,,
Bleps Vision,Bleps Vision,,1,The Ganesha Lab,,,,EXCLUDE,,
Blerify,Blerify,,1,AIR Capital,,,,EXCLUDE,,
Botanical Solutions,Botanical Solutions,,1,The Ganesha Lab,,,,EXCLUDE,,
Branch Energy,Branch Energy,,1,AIR Capital,,,,EXCLUDE,,
BreakPET,BreakPET,,1,GridX,,,,EXCLUDE,,
CargoProduce,CargoProduce,,1,DraperCygnus,,,,EXCLUDE,,
Cellva,Cellva,,1,AIR Capital,"foodtech,cellular-ag",Cultivated cellular agriculture for food ingredients,,INCLUDE,,
clivi,Clivi,,1,1200 VC,,,,EXCLUDE,,
CuperScience,CuperScience,,1,The Ganesha Lab,,,,EXCLUDE,,
Delee,Delee,,1,The Ganesha Lab,,,,EXCLUDE,,
EcoAustralis,EcoAustralis,,1,The Ganesha Lab,,,,REVIEW,,
Elytron,Elytron,,1,GridX,,,,EXCLUDE,,
Ergo Foods,Ergo Foods,,1,AIR Capital,"foodtech,celltech",Plant cell technology reshaping food production,,INCLUDE,,
Ethos,Ethos,,1,AIR Capital,,,,EXCLUDE,,
F4U,F4U,,1,GridX,,,,EXCLUDE,,
Farmtastica,Farmtastica,,1,The Ganesha Lab,,,,EXCLUDE,,
Feedvax,Feedvax,,1,GridX,,,,EXCLUDE,,
FixUP,FixUP,,1,DragonesVP,,,,EXCLUDE,,
Formlabs,Formlabs,,1,SOSV_IndieBio,,,,EXCLUDE,,
Gbot,Gbot,,1,CITES,,,,EXCLUDE,,
general_biological,General Biological,,1,1200 VC,,,,REVIEW,,
Gigablue,Gigablue,,1,AIR Capital,,,,EXCLUDE,,
GlucoLib,GlucoLib,,1,The Ganesha Lab,,,,EXCLUDE,,
hiamet_s_a,Hiamet S.A,,1,GridX,,,,EXCLUDE,,
Inner Cosmos,Inner Cosmos,,1,AIR Capital,,,,EXCLUDE,,
Innovai,Innovai,,1,The Ganesha Lab,,,,EXCLUDE,,
Kresko RNATech,Kresko RNATech,,1,GridX,,,,REVIEW,,
Laurus,Laurus,,1,AIR Capital,"agtech,foodtech",Robotized vertical farms for sustainable produce,,INCLUDE,,
Luyef,Luyef,,1,The Ganesha Lab,,,,EXCLUDE,,
Menta,Menta,,1,DraperCygnus,,,,EXCLUDE,,
Menta Tickets,Menta Tickets,,1,AIR Capital,,,,EXCLUDE,,
Metabix Biotech,Metabix Biotech,,1,The Ganesha Lab,,,,REVIEW,,
monte_caldera,Monte Caldera,,1,GridX,,,,EXCLUDE,,
Monte Caldera Technology,Monte Caldera Technology,,1,GridX,,,,EXCLUDE,,
nano_jump,Nano Jump,,1,GridX,,,,REVIEW,,
Nano Jump Bio,Nano Jump Bio,,1,GridX,,,,REVIEW,,
Nanogrow,Nanogrow,,1,GridX,,,,REVIEW,,
naturanova,Naturanova,,1,GridX,,,,EXCLUDE,,
Neptune Robotics,Neptune Robotics,,1,SOSV_IndieBio,,,,EXCLUDE,,
New Organs,New Organs,,1,GridX,,,,EXCLUDE,,
NotCo,NotCo,,1,SOSV_IndieBio,,,,EXCLUDE,,
Oasys,Oasys,,1,DraperCygnus,,,,EXCLUDE,,
Open Water,Open Water,,1,AIR Capital,,,,EXCLUDE,,
Opentrons,Opentrons,,1,SOSV_IndieBio,,,,EXCLUDE,,
Outpost,Outpost,,1,AIR Capital,,,,EXCLUDE,,
Pannex,Pannex,,1,The Ganesha Lab,,,,EXCLUDE,,
Patagon Fiber,Patagon Fiber,,1,The Ganesha Lab,,,,EXCLUDE,,
Peek,Peek,,1,DragonesVP,,,,EXCLUDE,,
Prolific Machines,Prolific Machines,,1,SOSV_IndieBio,,,,EXCLUDE,,
Purple Dental,Purple Dental,,1,The Ganesha Lab,,,,EXCLUDE,,
Retidiag,Retidiag,,1,The Ganesha Lab,,,,EXCLUDE,,
Risas Pendientes,Risas Pendientes,,1,The Ganesha Lab,,,,EXCLUDE,,
Scitherm,Scitherm,,1,GridX,,,,EXCLUDE,,
Semtive,Semtive,,1,DragonesVP,,,,EXCLUDE,,
Smart Tissues,Smart Tissues,,1,The Ganesha Lab,,,,EXCLUDE,,
Smartex,Smartex,,1,SOSV_IndieBio,,,,EXCLUDE,,
Soleit,Soleit,,1,The Ganesha Lab,,,,EXCLUDE,,
Starlight Ventures,Starlight Ventures,,1,AIR Capital,,,,EXCLUDE,,
Synergic Bio Solutions,Synergic Bio Solutions,,1,The Ganesha Lab,,,,REVIEW,,
syocin_bio,Syocin Bio,,1,GridX,,,,REVIEW,,
Syocin Biotech,Syocin Biotech,,1,GridX,,,,REVIEW,,
Tensor Care,Tensor Care,,1,The Ganesha Lab,,,,EXCLUDE,,
The Earth Says,The Earth Says,,1,The Ganesha Lab,,,,EXCLUDE,,
Tissue Dynamics,Tissue Dynamics,,1,AIR Capital,"biotech,drug-discovery",AI-powered organ-on-chip platform for drug discovery,,INCLUDE,,
tomorrow,Tomorrow,,1,GridX,,,,EXCLUDE,,
Trears Biomarkers,Trears Biomarkers,,1,The Ganesha Lab,,,,REVIEW,,
Unleash Immuno Oncolytics,Unleash Immuno Oncolytics,,1,DragonesVP,,,,REVIEW,,
Vali,Vali,,1,The Ganesha Lab,,,,EXCLUDE,,
ngc Partners,ngc Partners,,1,DragonesVP,,,,EXCLUDE,,
unSpun,unSpun,,1,SOSV_IndieBio,,,,EXCLUDE,,
