startup_id,name,country,description,tech_focus,industry_sector,funding_stage,investors,source_found,confidence
bioprocess-automation-brasil-br,BioProcess Automation Brasil,Brazil,Not specifically found; Brazil has emerging CDMO players like Biotimize building bioprocess automation facilities,Unknown,Biotech,Unknown,Unknown,Brazil biotech sector research,0.2
bioproducts-co,BioProducts,Colombia,Not specifically found; Colombian biotech includes Dogma Biotech (glycans) and other biodiversity-leveraging startups,Unknown,Biotech,Unknown,Unknown,Colombia biotech ecosystem research,0.2
bioram-mx,BioRam,Mexico,Startup converting brewery waste into agricultural biostimulants; first Heineken México venture client partnership; winner decarbonization challenge,biotechnology biostimulants waste transformation circular economy,Agtech/Biotech,Early-stage,Heineken partnership,Heineken Green Challenge winner,0.85
biorefinery-tech-brazil-br,BioRefinery Tech,Brazil,Not specifically found; Brazil developing biorefinery technology especially from sugarcane; Petrobras investing $960M in biorefinery conversion,Unknown,Biotech,Unknown,Unknown,Brazil biorefinery technology research,0.2
bontix-do,Bontix,Dominican Republic,AgTech company creating smart IoT/AI/ML/BigData ecosystem for agricultural monitoring and automated resource management; CEO Luishy Medina,IoT AI machine learning big data precision agriculture,Agtech,Early-stage,Unknown,LinkedIn Facebook F6S,0.75
caribbean-medtech-do,Caribbean MedTech,Dominican Republic,Medical device company providing one-stop sales marketing and distribution of high-end medical devices to Caribbean markets; based in Santo Domingo,medical device distribution healthcare,MedTech,Established,Unknown,Apollo.io Caribbean MedTech website,0.7
cellculture-br,CellCulture,Brazil,Not specifically found as Brazilian startup; Cell Culture Company (C3) is US-based offering mammalian and insect cell culture GMP services,Unknown,Biotech,Unknown,Unknown,Web search - US company found instead,0.2
corpogen-co,CorpoGen,Colombia,Non-profit research center founded 1995 specializing in microbiology and biotechnology; focuses on research and biotech product development,genomics microbiology biochemistry research biotech,Research/Biotech,Research nonprofit,Unknown,Crunchbase CorpoGen website,0.8
cropguard-cl,CropGuard,Chile,Not found as dedicated Chilean startup; CropGuard is AI-powered plant disease detection using deep learning and vision transformer models,Unknown,Agtech,Unknown,Unknown,Web search - multiple tools/services found,0.2
devalor-cl,Devalor,Chile,Not specifically found; Chilean agtech ecosystem includes Instacrops Patagonia Biotech and Polynatural,Unknown,Agtech,Unknown,Unknown,Chilean agtech research,0.1
digital-twin-corporation-cr,Digital Twin Corporation,Costa Rica,IoT platform using fruit-shaped digital twin devices with sensors to track agricultural waste and detect failures in supply chain,IoT sensors digital twins predictive analytics,Agtech,Early-stage,Unknown,Tracxn Acumen LinkedIn,0.65
dimitra-bolivia-operations-bo,Dimitra,Bolivia,Global agtech platform with Bolivia operations through PROINPA and government partnerships; offers AI satellite analytics remote assistance blockchain for farmers,AI satellite mapping blockchain traceability IoT,Agtech,Growth-stage,Unknown,Dimitra.io Medium articles,0.8
energytop-via-proinpa-bo,EnergyTop via PROINPA,Bolivia,PROINPA-developed biofertilizer containing four microorganisms (nitrogen fixers and phosphorus solubilizers); doubles maize yields in tests,biofertilizer microorganisms nitrogen fixation phosphorus solubilization,Biotech,Research product,Unknown,PROINPA PDF specification,0.65
fermentlab-br,FermentLab,Brazil,Not specifically found; Brazil has Future Cow (cellular ag/precision fermentation) and GlobalYeast (fermentation automation),Unknown,Biotech,Unknown,Unknown,Brazil biotech ecosystem research,0.2
fermentlabs-co,FermentLabs,Colombia,Not specifically found; Colombia hosted REDBIO 2025 biotech/bioeconomy conference with fermentation sessions,Unknown,Biotech,Unknown,Unknown,Colombian biotech research,0.1
fieldfactors-mx,FieldFactors,Mexico,Dutch water tech startup expanding to Mexico with rainwater reuse systems; partner with AB InBev for water quality; 100+ Accelerator,water tech rainwater reuse sustainability,Environmental Tech,Growth-stage,"€1.65M funding, AB InBev partnership",Seedtable FieldFactors news,0.6
fungicontrol-co,FungiControl,Colombia,Not specifically found; Colombia has research on fungi for biocontrol and entomopathogenic fungi for pest management,Unknown,Biotech,Unknown,Unknown,Colombia fungal research,0.1
geanext-cr,GeaNext,Costa Rica,Not specifically found; Costa Rica has BioTech by Lizzy Retana developing natural biocontrol alternatives to pesticides,Unknown,Biotech,Unknown,Unknown,Costa Rica biotech research,0.1
grupo-bios-co,Grupo Bios,Colombia,Large agro-industrial conglomerate (largest in Colombia) focused on protein chain; mentioned in deeptech ecosystem alongside biotech startups,agricultural genetics protein production agribusiness,Agribusiness,Established company,Unknown,Grupo Bios website Semana,0.7
healthpoint-bo,HealthPoint,Bolivia,Telehealth platform founded 2018 providing video consultations with doctors and digital health tools (MyHealthTracker app) for remote healthcare access,telehealth telemedicine digital health mobile app,HealthTech,Early-stage,Unknown,Bolivia startup ranking 2024,0.75
innovatech-bo,InnovatechBo,Bolivia,Not specifically found; Bolivia's biotech startup ecosystem includes BioLife Innovations and Biotech Bolivia Ltda,Unknown,Biotech,Unknown,Unknown,Bolivia biotech research,0.1
labtronics-sas-co,Labtronics SAS,Colombia,Clinical diagnostic products distributor founded 1999; commercializes diagnostic equipment including COVID tests; 51 employees; distributor model,diagnostic products clinical testing laboratory equipment,Diagnostics,Established distributor,Unknown,EMIS Labtronics website,0.7
lifepack-co,LifePack,Colombia,Biodegradable food packaging made from agricultural waste (pineapple corn husk) with embedded seeds; packages can be planted; founded 2011,biodegradable packaging agricultural waste seed germination,Sustainable Materials,Growth-stage,$50000 Arch Grants,Crunchbase Arch Grants,0.8
magic-green-cr,Magic Green,Costa Rica,Not specifically found; Costa Rica has BioTech company developing natural biocontrol and sustainable agricultural solutions,Unknown,Biotech,Unknown,Unknown,Costa Rica biotech research,0.1
medimarket-online-ve,MediMarket Online,Venezuela,Online pharmacy and health products retailer founded 2021 based in San Diego Venezuela; offers supplements medicines drinks and personal care,e-commerce online pharmacy retail,Healthcare/Retail,Unfunded startup,None,Tracxn Crunchbase,0.5
metabix-uy,Metabix,Uruguay,AI and biotechnology platform analyzing air samples from pig/poultry farms to predict pathogenic outbreaks 2 weeks early; deeptech biosecurity,artificial intelligence biotechnology biosecurity animal health prediction,Biotech,Growth-stage,"$1.3M funding, AIR Capital Danta Fund",MetaBIX website LatamList,0.85
microbiota-agricola-br,Microbiota Agricola,Brazil,Microbiota Brasil operates from TecnoPARQ-UFV; develops microbial-based agricultural inputs using tropical soil microorganisms for disease management and plant growth,microbial bioinputs microorganisms plant growth promotion,Biotech/Agtech,Growth-stage,Unknown,Microbiota Brasil website academic papers,0.75
microlabs-mx,MicroLabs,Mexico,R&D biotech company in microbial space developing sustainable biopesticides; 30 years of microbial platform development; 263 employees,microbiology sustainable biopesticides environmental biotech,Biotech,Growth-stage,Unknown,RocketReach LinkedIn,0.7
myvac-bioproducts-br,MyVac BioProducts,Brazil,Not specifically found in search results; Brazil has emerging biotech companies in various sectors,Unknown,Biotech,Unknown,Unknown,Brazil biotech research,0.1
nanomedical-cr,NanoMedical,Costa Rica,Not found; Costa Rica has strong nanotechnology and medical device sector with LANOTEC laboratory and medtech exports of $5.9B,Unknown,MedTech/Nanotechnology,Unknown,Unknown,Costa Rica nanotechnology research,0.2
nemacontrol-biologicos-br,NemaControl Biologicos,Brazil,NemaControl product by Simbiose uses Bacillus amyloliquefaciens bacteria for biological control of Lesion Nematodes in soybean; first registered biological nematode control,biological control nematodes bacteria biocontrol,Biotech,Growth-stage,Unknown,AgroPages Simbiose,0.75
neocroptech-cl,NeoCropTech,Chile,NeoCrop Technologies founded 2020 uses CRISPR gene editing for climate-resilient seeds (wheat oats lupine potatoes maqui); first CRISPR-edited wheat approved in Argentina,CRISPR gene editing climate resilience seed breeding IoT AI,Agricultural Biotech,Growth-stage,Unknown,NeoCrop Technologies website Crunchbase,0.85
plantverd-mx,PlantVerd,Mexico,Recognized as top-ranked startup at Innovation for Ecosystem Restoration: LatAm 2023 accelerator program,Unknown,Biotech,Early-stage,Unknown,Village Capital Moody's accelerator,0.4
quipu-cr,Quipu,Costa Rica,Costa Rican startup recognized at 2021 Hackathon of Inter-American Institute for Cooperation on Agriculture (IICA); supported by TEC Emprende,Unknown,Agtech,Early-stage,Unknown,IICA Hackathon TEC Emprende,0.35
recirculab-cl,Recirculab,Chile,Circular economy startup using AI to identify waste revaluation opportunities in aquaculture; won 2025 ACME Chile Prize Emerging category for climate innovation,artificial intelligence aquaculture waste valorization circular economy,Biotech/Aquaculture,Early-stage,Unknown,ACME Chile awards Mundoacuicola,0.7
recombine-biotech-br,Recombine Biotech,Brazil,Spin-off from Federal University of Viçosa founded 2019; develops biopesticides bio-coatings and diagnostics using recombinant technology for agribusiness veterinary and pharma,recombinant technology biopesticides diagnostics genetic engineering,Biotech,Growth-stage,BiotechTown Biominas,Crunchbase LinkedIn BiotechTown,0.8
salmoss-biotech-cl,Salmoss Biotech,Chile,Founded 2022 creates dental and bone grafts from salmon hydroxyapatite for bone regeneration; used in 360+ surgeries; expanding to Brazil Panama Peru,bone implants hydroxyapatite salmon byproducts regenerative medicine,MedTech/Biotech,Growth-stage,Unknown,Born2Invest Salmoss website,0.85
scintia-mx,Scintia,Mexico,Educational biotech platform founded 2017 offering affordable DIY biotech equipment and synthetic biology education for secondary/high school students in Mexico,synthetic biology education biotech equipment reagents DNA,EdTech/Biotech,Growth-stage,Unknown,Scintia website Seedstars Tec Monterrey,0.75
seedtech-cl,SeedTech,Chile,Not specifically found; Chile is leader in GM seed production for 30+ years; NeoCrop and Patagonia Biotech are key players in seed biotechnology,Unknown,Agtech/Seeds,Unknown,Unknown,Chile agricultural biotech research,0.2
terrasos-br,TerrasoS,Brazil,Not found in web search; Brazil has extensive soil biotechnology and microbial research for soil remediation,Unknown,Biotech,Unknown,Unknown,Brazil biotech research,0.1
tierra-de-monte-mx,Tierra de Monte,Mexico,Biotech startup founded 2015 in Querétaro using microorganisms to regenerate soil and reduce fertilizer application; regenerated 80000+ hectares; catalytic financing 2025,microbiological solutions soil biodiversity plant health biotech,Biotech/Agtech,Growth-stage,Miller Center for Global Impact,Tierra de Monte website Techla,0.8
tissue-nova-mx,Tissue Nova,Mexico,Not specifically found; Mexico has emerging tissue engineering and cellular biotech startups,Unknown,Biotech,Unknown,Unknown,General tissue engineering research,0.1
