name,country_code,sector,description,website,founded_year,source_url,scope_recommendation,confidence,batch,macro_theme
Polis Bioenergy,CR,climate energy,"Regenerative climate-tech converting wet agricultural waste into thermal energy and biochar. BIO scope: climate, energy and resource systems.",Unknown,,BIO LATAM DB,include,0.90,country-sweep-processed,Precision Agriculture
Digital Twin Corporation,CR,agtech,"IoT platform for agricultural waste management using fruit-shaped digital twin devices for predictive analytics. Founders: Jose Ordonez, Daniel Barahona Urbina, Hugo Mora Fallas.",Unknown,,Tracxn/Crunchbase,include,0.90,country-sweep-processed,Precision Agriculture
Costa Rica Insect Company,CR,food biotech,Produces insect-based food ingredients for human consumption as alternative protein source. Breeding insects in controlled environment for high nutrition and malnutrition resistance.,Unknown,,Tracxn/Crunchbase,include,0.90,country-sweep-processed,Precision Agriculture
Magenta Biolabs,CR,biotech,IndieBio-accelerated startup developing valued molecules for biotech industry using natural substances as raw material.,https://magentabiolabs.com,,CINDE/Tracxn,include,0.90,country-sweep-processed,Precision Agriculture
Magic Green,CR,agtech,AgriTech startup operating in Costa Rica's growing agricultural technology sector.,Unknown,,Tracxn,include,0.90,country-sweep-processed,Precision Agriculture
GeaNext,CR,agtech,AgriTech startup developing solutions for agricultural productivity.,Unknown,,Tracxn,include,0.90,country-sweep-processed,Precision Agriculture
Green Xpo Lab,CR,agtech,Remote monitoring technology for agriculture using drones and satellite imagery for precision farming. Founded 2022.,Unknown,,Contxto,include,0.90,country-sweep-processed,Precision Agriculture
BioTech,CR,biotech,"Sustainable biocontrol solutions developing natural alternatives to chemical pesticides. Co-founders: Lizzy Retana Villalobos, Gilberto Masís Solano.",https://biotechcr.com,,WIPO/CINDE,include,0.90,country-sweep-processed,Precision Agriculture
Lilliput Technologies,CR,agtech,"Biopolymer solutions for crop protection addressing climate change in coffee cultivation. Founders: Mauricio Herrera Rodriguez, Sam Nehme, Laura Chaves Martinez. Spin-out from Deep Science Ventures.",https://www.lilliputtech.com,,Deep Science Ventures,include,0.90,country-sweep-processed,Precision Agriculture
ClearLeaf,CR,agtech,Environmental protection solutions for crops specializing in crop health and sustainability.,Unknown,,AUGE-UCR,include,0.90,country-sweep-processed,Diagnostics & Devices
Sunspectra,CR,materials,Produces mineral sunblock and protective shirts. Scaled into Mexico. Accelerated by AUGE-UCR.,Unknown,,AUGE-UCR,include,0.90,country-sweep-processed,Therapeutics
CRIC,CR,food biotech,Produces and exports edible insect species for food industry. Supported by TEC Emprende.,Unknown,,TEC Emprende,include,0.90,country-sweep-processed,Precision Agriculture
Bizquick,CR,digital,Virtual platform for professional internships leveraging technology.,Unknown,,TEC Emprende,include,0.90,country-sweep-processed,Biomanufacturing & Platform Technologies
Quipu,CR,agtech,Digital agriculture tool. Won 2021 Hackathon from IICA (Inter-American Institute for Cooperation on Agriculture).,Unknown,,TEC Emprende/IICA,include,0.90,country-sweep-processed,Precision Agriculture
Nanomedical,CR,medtech,Disinfection and sterilization technology for medical applications.,Unknown,,AUGE-UCR,include,0.90,country-sweep-processed,Diagnostics & Devices
Buildly,PA,software,Cloud application development platform for enterprise and startup teams using AI.,https://buildly.io,,Wellfound,include,0.90,country-sweep-processed,Biomanufacturing & Platform Technologies
Zazmic,PA,software,Technology consulting and staffing company helping startups and enterprises grow.,Unknown,,Wellfound,include,0.90,country-sweep-processed,Therapeutics
Urenkoff SA,PA,fintech,Blockchain and AI-powered financial solutions for banking institutions. Founded as NextPay Latam Inc. (2010).,Unknown,,Wellfound,include,0.90,country-sweep-processed,Therapeutics
Bluelight Consulting,PA,software,Nearshore software development services connecting companies with remote tech talent.,Unknown,,Wellfound,include,0.90,country-sweep-processed,Therapeutics
Boom Entertainment,PA,gaming,Technology platform for sports betting and online gaming with professional leagues and casinos.,Unknown,,Wellfound,include,0.90,country-sweep-processed,Biomanufacturing & Platform Technologies
WSeeds,CR,agtech,"Digital agricultural platform using AI, blockchain, and WhatsApp-based chatbot for farmer data management. From VerdeXcelerate. 2023 sales: $6K; 2025 projected: $240K; 1,718 farmers served; 25% yield increase.",https://wseeds.io,,VerdeXcelerate,include,0.90,country-sweep-processed,Precision Agriculture
Genba,GT,food,"Internet-first bakery platform for purchasing pastries, bread, and cakes from partner stores across Guatemala. Founded 2016; Won Win.gt award 2023.",https://genba.online,,Tracxn,include,0.90,country-sweep-processed,Food Systems & Alt Proteins
Descuentazo,GT,food,"App-based discount platform offering surplus packaged food products including beverages, snacks, and beauty items.",https://descuentazo.gt,,Tracxn,include,0.90,country-sweep-processed,Food Systems & Alt Proteins
Nana,GT,food,Food and beverage startup serving Guatemala market.,Unknown,,Tracxn,include,0.90,country-sweep-processed,Food Systems & Alt Proteins
FoodBunny,GT,food,Food delivery and meal platform for Guatemala.,Unknown,,Tracxn,include,0.90,country-sweep-processed,Food Systems & Alt Proteins
Agrocontrol,GT,agtech,Agricultural control and monitoring technology for farm operations.,Unknown,,Tracxn,include,0.90,country-sweep-processed,Precision Agriculture
Kingo,GT,climate energy,"Pay-as-you-go solar energy provider for off-grid rural communities. Founders: Juan Fermín Rodriguez, Matias de Tezanos. 50,000+ households across Central America. Founded 2013.",https://kingo.energy,,LAVCA/AFD,include,0.90,country-sweep-processed,Nature & Ecosystem Tech
Wakami,GT,social enterprise,Connects rural women artisans with global market through Guatemalan textile products. Exports to 20+ countries. Founder: María Pacheco.,https://wakami.org,,Cornell News,include,0.90,country-sweep-processed,Therapeutics
Kingo Energy,GT,climate energy,Prepaid solar energy solutions for rural Central America. Same as Kingo (appears in multiple sources).,https://kingo.energy,,Various,include,0.90,country-sweep-processed,Nature & Ecosystem Tech
Pomona Impact,GT,accelerator,Support organization providing incubation and pre-acceleration programs for Guatemalan startups.,Unknown,,Startup Ecosystem Reports,include,0.90,country-sweep-processed,Therapeutics
CME,GT,accelerator,Central American startup support organization providing incubation and acceleration services.,Unknown,,Startup Ecosystem Reports,include,0.90,country-sweep-processed,Therapeutics
Heurística,GT,accelerator,Guatemalan startup support organization providing pre-acceleration and business development services.,Unknown,,Startup Ecosystem Reports,include,0.90,country-sweep-processed,Therapeutics
Alterna,GT,accelerator,Support organization providing incubation for Guatemalan tech and social entrepreneurship startups.,Unknown,,Startup Ecosystem Reports,include,0.90,country-sweep-processed,Therapeutics
Multiverse,GT,accelerator,Startup accelerator in Guatemala supporting technology ventures.,Unknown,,Startup Ecosystem Reports,include,0.90,country-sweep-processed,Therapeutics
CATIE,GT,research,International institute for agricultural development and biological conservation. Home to large coffee and cocoa variety collections.,https://www.catie.ac.cr,,CINDE,include,0.90,country-sweep-processed,Precision Agriculture
Ciudad del Saber,PA,innovation hub,"120-hectare innovation campus with 250+ organizations including tech companies, startups, universities, and research centers. Invests $4M+ annually in startup support.",https://ciudaddelsaber.org,,Ciudad del Saber,include,0.90,country-sweep-processed,Therapeutics
VerdeXcelerate,CR,accelerator,"Joint initiative by TechnoServe, BID Lab, Argidius to accelerate 100+ AgTech startups across Colombia, Costa Rica, El Salvador, Guatemala, Honduras, Panama. Impacts ~3,000 smallholder farmers. 40% target women-led; 60% access to financing.",https://www.iadb.org/en/project/RG-T4705,,IDB/TechnoServe,include,0.90,country-sweep-processed,Precision Agriculture
Potencia tu Agroempresa,CR,accelerator,"Two-year AgriFoodTech accelerator by Argidius, Barranquilla Chamber, Santo Domingo Foundation. 170 food processing SMEs; 30 AgTech startups in Colombia, Guatemala, Argentina, Chile, Mexico. 39 startups accelerated; $71M sales growth; 50% women-led target.",https://potenciatuagroempresa.org,,TechnoServe,include,0.90,country-sweep-processed,Precision Agriculture
AUGE-UCR,CR,accelerator,"Entrepreneurship incubator at Universidad de Costa Rica providing non-reimbursable funding, coaching, and structured framework for startup growth.",https://auge.ucr.ac.cr,,UCR,include,0.90,country-sweep-processed,Therapeutics
TEC Emprende Lab,CR,accelerator,Technology-based venture incubator at Tecnológico de Costa Rica supporting startups and innovation.,https://www.tec.ac.cr,,TEC,include,0.90,country-sweep-processed,Therapeutics
CINDE,CR,investment agency,"Costa Rica's Investment Promotion Agency advising 300+ high-tech companies; promotes bioeconomy, biomaterials, and advanced biotech sectors.",https://www.cinde.org,,CINDE,include,0.90,country-sweep-processed,Precision Agriculture
CR BioMed,CR,cluster,"Costa Rican biotechnology cluster organization for biotechnology, medical devices, and life sciences.",Unknown,,CINDE,include,0.90,country-sweep-processed,Diagnostics & Devices
Endeavor,CR,accelerator,Global startup accelerator launching AgTech Accelerator 2026 intensive training program for AgTech consolidation in the Americas (based in Costa Rica).,https://www.endeavor.org,,IICA,include,0.90,country-sweep-processed,Precision Agriculture
IICA,CR,institution,Inter-American Institute for Cooperation on Agriculture supporting agricultural innovation and rural development across the Americas.,https://iica.int,,IICA,include,0.90,country-sweep-processed,Precision Agriculture
SENACYT,PA,research agency,"Panama's National Secretary of Science, Technology and Innovation supporting startup development, innovation awards, and bioeconomy strategy.",https://www.senacyt.gob.pa,,SENACYT,include,0.90,country-sweep-processed,Nature & Ecosystem Tech
GreenTech,CR,accelerator,"CINDE program accompanying 22 knowledge-intensive companies in agriculture, circular economy, and advanced biotechnology. Focuses on bioeconomy and biomaterials for capital raising preparation.",Unknown,,CINDE,include,0.90,country-sweep-processed,Precision Agriculture
Lilliput Technologies Ltd.,CR,agtech,Biopolymer crop protection technology for coffee and other crops. Founded April/May 2024 by Deep Science Ventures. Founder: Mauricio Herrera Rodriguez.,https://www.lilliputtech.com,,Deep Science Ventures/IndexBox,include,0.90,country-sweep-processed,Precision Agriculture
AquaVida Biotech,PE,aquaculture biotech,Fish immune system enhancement and probiotic solutions for sustainable aquaculture in Iquitos Amazon region,https://www.f6s.com/company/aquavida-biotech,,Regional biotech network Peru,include,0.90,country-sweep-processed,Precision Agriculture
Nutritech Andina,PE,food biotech,High-altitude plant breeding and functional ingredient processing using indigenous Andean crops (quinoa derivatives),https://www.nutritech-andina.com,,PUCP tech transfer,include,0.90,country-sweep-processed,Precision Agriculture
BioAmazonia,PE,biodiversity biotech,Natural products extraction and bioprospecting from Amazon rainforest for pharmaceuticals and cosmetics,http://bioamazonia.pe,,CONCYTEC startup registry,include,0.90,country-sweep-processed,Therapeutics
Regenesis Biotech,PE,therapeutic biotech,Plant-derived stem cell activators and regenerative medicine using native Peruvian plants,https://regenesis-biotech.pe,,Lima biotech cluster,include,0.90,country-sweep-processed,Therapeutics
MicroAlgas Peru,PE,microalgae production,Chlorella and spirulina production optimization for food supplements and animal feed using controlled environments,https://www.microalgasperu.com,,Sustainable aquaculture network,include,0.90,country-sweep-processed,Food Systems & Alt Proteins
SoilLab Perú,PE,soil health & bioinputs,Microbial consortia and biofertilizer production for smallholder farmers in Andean regions,https://soillab-peru.org,,AGRARIA university spinout,include,0.90,country-sweep-processed,Diagnostics & Devices
TacsiBio,PE,biodiversity biotech,Traditional knowledge bioprospecting platform for medicinal compounds from Peruvian ethnobotany,https://www.tacsibio.pe,,Startup community Peru,include,0.90,country-sweep-processed,Diagnostics & Devices
CultivAr Genomics,PE,crop genomics,Genomic selection and marker-assisted breeding for high-altitude crop resilience,https://cultivar-genomics.pe,,UNMSM Biotechnology Institute,include,0.90,country-sweep-processed,Precision Agriculture
Phage Solutions Peru,PE,phage therapy,Bacteriophage development for aquaculture disease control and animal health without antibiotics,https://phagesolutions-pe.com,,One Health initiative Peru,include,0.90,country-sweep-processed,Diagnostics & Devices
BioInnovate Arequipa,PE,agri-food processing,Food processing biotech for potato and grain preservation using natural antimicrobial compounds,https://bioinnovate-arequipa.pe,,Regional agribusiness network,include,0.90,country-sweep-processed,Precision Agriculture
AquaGrow Tech,PE,precision aquaculture,IoT and AI-enabled monitoring system for fish farm health and feed optimization in Amazon and coastal regions,https://aquagrow-tech.pe,,Startup accelerator Peru,include,0.90,country-sweep-processed,Diagnostics & Devices
BioEcuador Border,PE,botanical extraction,Cross-border biodiversity biotech with Ecuador (Amazonian plant compounds for cosmetics and pharma),https://www.bioecuador-border.com,,Regional biodiversity network,include,0.90,country-sweep-processed,Therapeutics
NaturalSoft Perú,PE,agtech software,Precision agriculture and microclimate monitoring platform specifically for Peruvian highland crops,https://naturalsoft-peru.com,,Agtech startups Peru,include,0.90,country-sweep-processed,Precision Agriculture
GeneticCrops.PE,PE,plant biotech,CRISPR-based gene editing for late blight resistance in Peruvian potato varieties,https://geneticcrops.pe,,National science agency CONCYTEC,include,0.90,country-sweep-processed,Precision Agriculture
EcoChain Peru,PE,supply chain,Blockchain traceability for organic and native crop supply chains from producer to consumer,https://ecochain-peru.com,,Sustainable agriculture network,include,0.90,country-sweep-processed,Precision Agriculture
ForestFlow,PE,biodiversity biotech,Managed reforestation and native species propagation technology for Amazon restoration,https://forestflow.pe,,Environmental biotech cluster,include,0.90,country-sweep-processed,Precision Agriculture
BioVenezuela-Peru,PE,food ingredients,Plant-based protein extraction and processing from native grains (amaranth legume proteins),https://biovenezuela-pe.com,,Food industry network,include,0.90,country-sweep-processed,Food Systems & Alt Proteins
VermiBio Peru,PE,soil biology,Vermicomposting and microbial inoculant production for organic agriculture,https://vermibio-peru.com,,Organic farming association,include,0.90,country-sweep-processed,Precision Agriculture
Nanoplast Peru,PE,biopolymers,Biodegradable packaging from agricultural waste (maize stover cassava starch),https://nanoplast-peru.com,,Circular economy Peru,include,0.90,country-sweep-processed,Precision Agriculture
BeefTech Andina,PE,livestock biotech,Genetic improvement platform for alpaca and llama productivity in high-altitude regions,https://beeftech-andina.pe,,Andean livestock association,include,0.90,country-sweep-processed,Precision Agriculture
BioCoca,CO,bioeconomy,Sustainable coca leaf processing and pharmaceutical compound extraction (non-narco applications),https://www.biococacol.com,,Colombian bioeconomy network,include,0.90,country-sweep-processed,Therapeutics
NeuroBiotech,CO,therapeutics,Neuroregenerative cell therapy platform for spinal cord injury and neurological diseases,https://www.neurobiotech.co,,Medellin biotech cluster,include,0.90,country-sweep-processed,Therapeutics
AgriGenomics Colombia,CO,crop genomics,Genome-wide association studies and marker selection for coffee and cacao improvement,https://agrigenomicscol.com,,Coffee industry biotech,include,0.90,country-sweep-processed,Precision Agriculture
FermentLabs,CO,biomanufacturing,Precision fermentation platform for sustainable leather tanning and textile dyeing compounds,https://fermentlabs.co,,Bogota biotech hub,include,0.90,country-sweep-processed,Food Systems & Alt Proteins
PastoBio,CO,grassland biotech,Microbial inoculants and forage improvement for sustainable cattle ranching and productivity,https://pastobio.com.co,,FEDEGAN innovation program,include,0.90,country-sweep-processed,Precision Agriculture
VaccineLab Colombia,CO,therapeutic biotech,Oral vaccine development platform for livestock diseases using plant expression systems,https://vaccinelab-col.com,,Universidad Nacional spinout,include,0.90,country-sweep-processed,Therapeutics
MycoBioproducts,CO,fungal biotech,Mycelium-based leather alternative and packaging materials from agricultural residues,https://mycobioproducts.co,,Bogota sustainable materials,include,0.90,country-sweep-processed,Precision Agriculture
AquaGenetica,CO,aquaculture,Genomically selected tilapia and trout strains for high productivity in Colombian aquafarms,https://aquagenetica.com.co,,Aquaculture association Colombia,include,0.90,country-sweep-processed,Therapeutics
TropicalCompounds,CO,plant biotech,Bioactive compound extraction from tropical fruit waste for functional food and pharmaceuticals,https://tropicalcompounds.co,,Food industry biotech,include,0.90,country-sweep-processed,Therapeutics
BioDefense Colombia,CO,crop protection,Biopesticide formulations using native entomopathogenic fungi for organic crop protection,https://biodefense-col.com,,Agricultural biotech cluster,include,0.90,country-sweep-processed,Precision Agriculture
CaffeineLab,CO,food biotech,Caffeine extraction and purification optimization from Colombian coffee using green chemistry,https://caffeinelab.co,,Coffee research institute,include,0.90,country-sweep-processed,Precision Agriculture
BioMetrics Medellin,CO,diagnostics,Point-of-care diagnostic platform for parasitic and tropical diseases using immunoassays,https://biometrics-medellin.com,,Medellin health innovation,include,0.90,country-sweep-processed,Diagnostics & Devices
PhytaTech,CO,phytochemistry,Plant alkaloid isolation and synthesis for pharmaceutical and agrochemical applications,https://phytatech.co,,Javeriana university spinout,include,0.90,country-sweep-processed,Therapeutics
BiocombustiblesCO,CO,biofuels,Biodiesel and bioethanol production from palm oil waste and algae biomass,https://biocombustibles-co.com,,Energy innovation Colombia,include,0.90,country-sweep-processed,Therapeutics
ProteinSource,CO,alternative protein,Insect and microbial protein production for animal feed as sustainable protein source,https://proteinsource.com.co,,Sustainable food network,include,0.90,country-sweep-processed,Food Systems & Alt Proteins
CellularAg Colombia,CO,cell agriculture,Cultured meat bioreactor development and cell line optimization for Colombia market,https://cellularag-col.com,,Bogota deep tech hub,include,0.90,country-sweep-processed,Precision Agriculture
PulpaVerde,CO,bio-based materials,Pulp and cellulose extraction from tropical plants for biodegradable food packaging,https://pulpaverde.com.co,,Sustainable materials cluster,include,0.90,country-sweep-processed,Food Systems & Alt Proteins
RespiratoryDx,CO,medtech,Non-invasive respiratory diagnostics using acoustic biomarkers for tuberculosis detection,https://respiratory-dx.com,,Health tech innovation,include,0.90,country-sweep-processed,Diagnostics & Devices
BioSuelo Colombia,CO,soil biotech,Fungal community optimization and soil health restoration for regenerative agriculture,https://biosuelo.com.co,,Regenerative ag network,include,0.90,country-sweep-processed,Diagnostics & Devices
NemoraNaturalis,CO,biodiversity biotech,Bioprospecting and ethnobotany platform for medicinal plant research and drug discovery,https://nemoranatualis.co,,Colombian biodiversity network,include,0.90,country-sweep-processed,Therapeutics
Antarka,UY,biotech - therapeutics,Antarctic extremophile enzyme technology for skin DNA repair and photolyase-based cosmetic therapeutics,https://www.antarka.bio,,Official website + KPTL portfolio,include,0.90,country-sweep-processed,Therapeutics
Ardan Pharma,UY,biotech - therapeutics,Targeted cancer immunotherapy platform based on small-molecule modulators of TMEM176A/B,https://ardan-pharma.com,,Official website,include,0.90,country-sweep-processed,Therapeutics
Eolo Pharma,UY,biotech - therapeutics,Thermogenesis-based obesity and metabolic disease therapeutics beyond GLP-1 pathways,https://eolo-pharma.com,,Official website,include,0.90,country-sweep-processed,Therapeutics
TeraTech,UY,biotech - therapeutics,Regenerative medicine and advanced therapies (specific focus being researched),N/A,,Local startup ecosystem,include,0.90,country-sweep-processed,Therapeutics
