"startup_id","startup_name","scope_decision","scope_status","macro_theme","emergent_theme","review_status","data_quality_score_10","quality_band","startup_website","startup_description","candidate_source_url","candidate_description","candidate_source_type","candidate_import_status","candidate_review_note"
"hybridon","Hybridon","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","https://hybridon.bio","Biotecnoloxía para a mellora xenética e produtividade agrícola.","https://hybridon.bio","Biotecnoloxía para a mellora xenética e produtividade agrícola.","gemini_compiled_external","ready_for_review",""
"imvalv","Imvalv","include","provisional","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","8.0","medium","https://imvalv.com","Dispositivos médicos innovadores para o tratamento do glaucoma.","https://imvalv.com","Dispositivos médicos innovadores para o tratamento do glaucoma.","gemini_compiled_external","ready_for_review",""
"inbioar","Inbioar","include","provisional","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","8.0","medium","","","","","gemini_compiled_external","empty",""
"infira","Infira","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","https://infira.bio","Edición xenética en plantas para acelerar o desenvolvemento de cultivos.","https://infira.bio","Edición xenética en plantas para acelerar o desenvolvemento de cultivos.","gemini_compiled_external","ready_for_review",""
"ini","INI","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","https://ini.com.ar","Plataforma de pagos e infraestrutura financeira para comercios.","https://ini.com.ar","Plataforma de pagos e infraestrutura financeira para comercios.","gemini_compiled_external","ready_for_review",""
"inner_cosmos","Inner Cosmos","include","provisional","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","8.0","medium","https://innercosmos.io","Neurotecnoloxía (implantes dixitais) para o tratamento da depresión.","https://innercosmos.io","Neurotecnoloxía (implantes dixitais) para o tratamento da depresión.","gemini_compiled_external","ready_for_review",""
"innova_space","Innova Space","include","provisional","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub","7.0","medium","https://innovaspace.com.ar","Desenvolvemento de picosatélites para conectividade IoT global.","https://innovaspace.com.ar","Desenvolvemento de picosatélites para conectividade IoT global.","gemini_compiled_external","ready_for_review",""
"inventa","Inventa","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","","","","","gemini_compiled_external","empty",""
"invitrall","Invitrall","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","https://invitrall.bio","Servizos avanzados de diagnóstico baseados en bioloxía molecular.","https://invitrall.bio","Servizos avanzados de diagnóstico baseados en bioloxía molecular.","gemini_compiled_external","ready_for_review",""
"iof","Iof","exclude","provisional","peripheral or underclassified ventures","unclassified / needs review resolved","seeded","8.0","medium","https://iof.mx","Fintech que ofrece solucións de financiamento para empresas.","https://iof.mx","Fintech que ofrece solucións de financiamento para empresas.","gemini_compiled_external","ready_for_review",""
"jampp","Jampp","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","","","","","gemini_compiled_external","empty",""
"kangu","Kangu","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","","","","","gemini_compiled_external","empty",""
"keclon","Keclon","include","provisional","biobased chemistry and advanced materials","biobased chemistry and materials","taxonomy_stub","8.0","medium","","","","","gemini_compiled_external","empty",""
"kigui","Kigüi","include","provisional","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","8.5","high","","","","","gemini_compiled_external","empty",""
"laurus","Laurus","include","provisional","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","8.0","medium","https://laurus.bio","Biotecnoloxía para o desenvolvemento de novos ingredientes naturais.","https://laurus.bio","Biotecnoloxía para o desenvolvemento de novos ingredientes naturais.","gemini_compiled_external","ready_for_review",""
"laurus_ag_tech","Laurus AG Tech","include","provisional","precision agriculture and resource intelligence","precision agriculture intelligence","taxonomy_stub","5.0","fragile","","","","","gemini_compiled_external","empty",""
"lemon","Lemon","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.5","medium","","","","","gemini_compiled_external","empty",""
"levya","Levya","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","https://levya.ai","Solucións de IA para a automatización do servizo ao cliente.","https://levya.ai","Solucións de IA para a automatización do servizo ao cliente.","gemini_compiled_external","ready_for_review",""
"lia_aeospace","LIA Aeospace","include","provisional","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub","7.0","medium","","","","","gemini_compiled_external","empty",""
"lifit","Lifit","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","seeded","8.0","medium","https://lifit.la","Loxística de última milla para carga pesada en Colombia e México.","https://lifit.la","Loxística de última milla para carga pesada en Colombia e México.","gemini_compiled_external","ready_for_review",""
"lipock","Lipock","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","https://lipock.bio","Investigación biotecnolóxica en lípidos e nutrición avanzada.","https://lipock.bio","Investigación biotecnolóxica en lípidos e nutrición avanzada.","gemini_compiled_external","ready_for_review",""
"logan","Logan","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","seeded","8.0","medium","https://logan.mobi","Estratexia de marketing móbil baseada en datos e xeolocalización.","https://logan.mobi","Estratexia de marketing móbil baseada en datos e xeolocalización.","gemini_compiled_external","ready_for_review",""
"logshare","LogShare","include","provisional","climate, energy and resource systems","climate and resource intelligence platforms","taxonomy_stub","8.0","medium","https://logshare.com.br","Plataforma colaborativa para optimizar o transporte loxístico compartido.","https://logshare.com.br","Plataforma colaborativa para optimizar o transporte loxístico compartido.","gemini_compiled_external","ready_for_review",""
"luzid","Luzid","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","seeded","8.5","high","https://luzid.ai","Ferramentas de análise de datos para a optimización de campañas dixitais.","https://luzid.ai","Ferramentas de análise de datos para a optimización de campañas dixitais.","gemini_compiled_external","ready_for_review",""
"mabloc","Mabloc","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","https://mabloc.bio","Desenvolvemento de anticorpos monoclonais para inmunoterapia.","https://mabloc.bio","Desenvolvemento de anticorpos monoclonais para inmunoterapia.","gemini_compiled_external","ready_for_review",""
"mavios","Mavios","include","provisional","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","8.0","medium","https://mavios.com","Tecnoloxía aplicada á xestión de activos e inventarios.","https://mavios.com","Tecnoloxía aplicada á xestión de activos e inventarios.","gemini_compiled_external","ready_for_review",""
"menta_tickets","Menta Tickets","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","seeded","8.0","medium","","","","","gemini_compiled_external","empty",""
"mentatech","MentaTech","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","https://menta.global","Infraestrutura de pagos (embedded finance) para empresas B2B.","https://menta.global","Infraestrutura de pagos (embedded finance) para empresas B2B.","gemini_compiled_external","ready_for_review",""
"mesenchyal_t","Mesenchyal-T","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","","","","","gemini_compiled_external","empty",""
"microgenesis","Microgenesis","include","provisional","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","8.5","high","","","","","gemini_compiled_external","empty",""
"migma","MIGMA","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","seeded","8.5","high","https://migma.bio","Biotecnoloxía para o tratamento de efluentes industriais.","https://migma.bio","Biotecnoloxía para o tratamento de efluentes industriais.","gemini_compiled_external","ready_for_review",""
"monte_caldera","Monte Caldera Technology","include","provisional","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","8.0","medium","","","","","gemini_compiled_external","empty",""
"mudafy","Mudafy","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","","","","","gemini_compiled_external","empty",""
"mural","Mural","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","","","","","gemini_compiled_external","empty",""
"muta","MUTA","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","seeded","8.0","medium","","","","","gemini_compiled_external","empty",""
"mzp","MZP","include","provisional","diagnostics and medtech","health diagnostics and medtech","seeded","7.5","medium","","","","","gemini_compiled_external","empty",""
"nairotech","Nairotech","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","https://nairotech.ai","Solucións de visión por computador para a industria 4.0.","https://nairotech.ai","Solucións de visión por computador para a industria 4.0.","gemini_compiled_external","ready_for_review",""
"nanoingreen","Nanoingreen","include","provisional","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","8.5","high","https://nanoingreen.com","Nanotecnoloxía para o encapsulamento de ingredientes naturais.","https://nanoingreen.com","Nanotecnoloxía para o encapsulamento de ingredientes naturais.","gemini_compiled_external","ready_for_review",""
"nanotica","Nanotica","include","provisional","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","8.0","medium","https://nanotica.bio","Nanotecnoloxía aplicada para mellorar a eficiencia de agroquímicos.","https://nanotica.bio","Nanotecnoloxía aplicada para mellorar a eficiencia de agroquímicos.","gemini_compiled_external","ready_for_review",""
"nanotransfer","Nanotransfer","include","provisional","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","8.0","medium","","","","","gemini_compiled_external","empty",""
"naturannova","Naturannova","include","provisional","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","8.0","medium","","","","","gemini_compiled_external","empty",""
"naturanova","Naturanova","exclude","provisional","peripheral or underclassified ventures","unclassified / needs review resolved","seeded","8.0","medium","","","","","gemini_compiled_external","empty",""
"neocell","Neocell","include","provisional","computational biology and scientific software","computational biology and life-science software","taxonomy_stub","8.0","medium","","","","","gemini_compiled_external","empty",""
"nideport","Nideport","include","provisional","climate, energy and resource systems","nature restoration and carbon systems","seeded","7.5","medium","https://nideport.com","Plataforma para a xestión e comercialización de créditos de carbono.","https://nideport.com","Plataforma para a xestión e comercialización de créditos de carbono.","gemini_compiled_external","ready_for_review",""
"novo_space","NOVO SPACE","include","provisional","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub","7.5","medium","https://novo.space","Arquitectura informática avanzada para misións espaciais.","https://novo.space","Arquitectura informática avanzada para misións espaciais.","gemini_compiled_external","ready_for_review",""
"nuclearis","Nuclearis","exclude","provisional","frontier hardware and infrastructure systems","nuclear industrial engineering","seeded","8.5","high","https://nuclearis.com","Fabricación de compoñentes de alta precisión para a industria nuclear.","https://nuclearis.com","Fabricación de compoñentes de alta precisión para a industria nuclear.","gemini_compiled_external","ready_for_review",""
"nude","Nude","exclude","provisional","peripheral or underclassified ventures","unclassified / needs review resolved","seeded","8.0","medium","https://eatnude.com.br","Foodtech de leite de avea con foco en sustentabilidade.","https://eatnude.com.br","Foodtech de leite de avea con foco en sustentabilidade.","gemini_compiled_external","ready_for_review",""
"nunatak_biotech","Nunatak Biotech","include","provisional","computational biology and scientific software","computational biology and life-science software","taxonomy_stub","8.0","medium","https://nunatakbiotech.com","Biotecnoloxía utilizando plantas da Antártida para aplicacións cosméticas.","https://nunatakbiotech.com","Biotecnoloxía utilizando plantas da Antártida para aplicacións cosméticas.","gemini_compiled_external","ready_for_review",""
"nuvemshop","Nuvemshop","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.5","medium","","","","","gemini_compiled_external","empty",""
"nuvia","Nuvia","exclude","provisional","frontier hardware and infrastructure systems","semiconductor compute systems","seeded","8.5","high","https://nuvia.bio","Plataforma de bioloxía sintética para o desenvolvemento de bioingredientes.","https://nuvia.bio","Plataforma de bioloxía sintética para o desenvolvemento de bioingredientes.","gemini_compiled_external","ready_for_review",""
"ocular_bio_design","Ocular Bio Design","include","provisional","therapeutics and regenerative medicine","therapeutic and regenerative biology","taxonomy_stub","8.0","medium","https://ocularbio.com","Enxeñería de tecidos oculares para o tratamento da cegueira.","https://ocularbio.com","Enxeñería de tecidos oculares para o tratamento da cegueira.","gemini_compiled_external","ready_for_review",""
"omica","Omica","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","https://omica.bio","Plataforma de datos xenómicos para medicina de precisión.","https://omica.bio","Plataforma de datos xenómicos para medicina de precisión.","gemini_compiled_external","ready_for_review",""
"onco_precision","Onco Precision","include","provisional","therapeutics and regenerative medicine","therapeutic and regenerative biology","taxonomy_stub","8.0","medium","https://oncoprecision.bio","Biotecnoloxía para optimizar tratamentos oncolóxicos personalizados.","https://oncoprecision.bio","Biotecnoloxía para optimizar tratamentos oncolóxicos personalizados.","gemini_compiled_external","ready_for_review",""
"oneinfinite","OneInfinite","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","seeded","8.5","high","https://oneinfinite.com","Software de xestión para a optimización da experiencia do usuario.","https://oneinfinite.com","Software de xestión para a optimización da experiencia do usuario.","gemini_compiled_external","ready_for_review",""
"payjoy","Payjoy","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","","","","","gemini_compiled_external","empty",""
"pepton","Pepton","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","https://pepton.bio","Deseño de proteínas mediante IA para aplicacións terapéuticas.","https://pepton.bio","Deseño de proteínas mediante IA para aplicacións terapéuticas.","gemini_compiled_external","ready_for_review",""
"phylumtech","PhylumTech","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","https://phylumtech.com","Automatización do descubrimento de fármacos utilizando pequenos organismos.","https://phylumtech.com","Automatización do descubrimento de fármacos utilizando pequenos organismos.","gemini_compiled_external","ready_for_review",""
"pill_ar","Pill.AR","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","","","","","gemini_compiled_external","empty",""
