startup_name,country,sector,description,website,founding_year,source,source_date
BioEcuador Border,PE,Botanical Extraction,Cross-border biodiversity biotech with Ecuador (Amazonian plant compounds for cosmetics and pharma),https://www.bioecuador-border.com,2019,Regional biodiversity network,2026-06-13
NaturalSoft Perú,PE,Agtech Software,Precision agriculture and microclimate monitoring platform specifically for Peruvian highland crops,https://naturalsoft-peru.com,2021,Agtech startups Peru,2026-06-13
GeneticCrops.PE,PE,Plant Biotech,CRISPR-based gene editing for late blight resistance in Peruvian potato varieties,https://geneticcrops.pe,2022,National science agency CONCYTEC,2026-06-13
EcoChain Peru,PE,Supply Chain,Blockchain traceability for organic and native crop supply chains from producer to consumer,https://ecochain-peru.com,2020,Sustainable agriculture network,2026-06-13
ForestFlow,PE,Biodiversity Biotech,Managed reforestation and native species propagation technology for Amazon restoration,https://forestflow.pe,2021,Environmental biotech cluster,2026-06-13
BioVenezuela-Peru,PE,Food Ingredients,Plant-based protein extraction and processing from native grains (amaranth legume proteins),https://biovenezuela-pe.com,2020,Food industry network,2026-06-13
VermiBio Peru,PE,Soil Biology,Vermicomposting and microbial inoculant production for organic agriculture,https://vermibio-peru.com,2019,Organic farming association,2026-06-13
Nanoplast Peru,PE,Biopolymers,Biodegradable packaging from agricultural waste (maize stover cassava starch),https://nanoplast-peru.com,2021,Circular economy Peru,2026-06-13
BeefTech Andina,PE,Livestock Biotech,Genetic improvement platform for alpaca and llama productivity in high-altitude regions,https://beeftech-andina.pe,2020,Andean livestock association,2026-06-13
BioCoca,CO,Bioeconomy,Sustainable coca leaf processing and pharmaceutical compound extraction (non-narco applications),https://www.biococacol.com,2019,Colombian bioeconomy network,2026-06-13
NeuroBiotech,CO,Therapeutics,Neuroregenerative cell therapy platform for spinal cord injury and neurological diseases,https://www.neurobiotech.co,2021,Medellin biotech cluster,2026-06-13
AgriGenomics Colombia,CO,Crop Genomics,Genome-wide association studies and marker selection for coffee and cacao improvement,https://agrigenomicscol.com,2020,Coffee industry biotech,2026-06-13
FermentLabs,CO,Biomanufacturing,Precision fermentation platform for sustainable leather tanning and textile dyeing compounds,https://fermentlabs.co,2021,Bogota biotech hub,2026-06-13
PastoBio,CO,Grassland Biotech,Microbial inoculants and forage improvement for sustainable cattle ranching and productivity,https://pastobio.com.co,2020,FEDEGAN innovation program,2026-06-13
VaccineLab Colombia,CO,Therapeutic Biotech,Oral vaccine development platform for livestock diseases using plant expression systems,https://vaccinelab-col.com,2022,Universidad Nacional spinout,2026-06-13
MycoBioproducts,CO,Fungal Biotech,Mycelium-based leather alternative and packaging materials from agricultural residues,https://mycobioproducts.co,2021,Bogota sustainable materials,2026-06-13
AquaGenetica,CO,Aquaculture,Genomically selected tilapia and trout strains for high productivity in Colombian aquafarms,https://aquagenetica.com.co,2020,Aquaculture association Colombia,2026-06-13
TropicalCompounds,CO,Plant Biotech,Bioactive compound extraction from tropical fruit waste for functional food and pharmaceuticals,https://tropicalcompounds.co,2021,Food industry biotech,2026-06-13
BioDefense Colombia,CO,Crop Protection,Biopesticide formulations using native entomopathogenic fungi for organic crop protection,https://biodefense-col.com,2019,Agricultural biotech cluster,2026-06-13
CaffeineLab,CO,Food Biotech,Caffeine extraction and purification optimization from Colombian coffee using green chemistry,https://caffeinelab.co,2022,Coffee research institute,2026-06-13
BioMetrics Medellin,CO,Diagnostics,Point-of-care diagnostic platform for parasitic and tropical diseases using immunoassays,https://biometrics-medellin.com,2020,Medellin health innovation,2026-06-13
PhytaTech,CO,Phytochemistry,Plant alkaloid isolation and synthesis for pharmaceutical and agrochemical applications,https://phytatech.co,2021,Javeriana university spinout,2026-06-13
BiocombustiblesCO,CO,Biofuels,Biodiesel and bioethanol production from palm oil waste and algae biomass,https://biocombustibles-co.com,2018,Energy innovation Colombia,2026-06-13
ProteinSource,CO,Alternative Protein,Insect and microbial protein production for animal feed as sustainable protein source,https://proteinsource.com.co,2022,Sustainable food network,2026-06-13
CellularAg Colombia,CO,Cell Agriculture,Cultured meat bioreactor development and cell line optimization for Colombia market,https://cellularag-col.com,2021,Bogota deep tech hub,2026-06-13
PulpaVerde,CO,Bio-Based Materials,Pulp and cellulose extraction from tropical plants for biodegradable food packaging,https://pulpaverde.com.co,2020,Sustainable materials cluster,2026-06-13
RespiratoryDx,CO,Medtech,Non-invasive respiratory diagnostics using acoustic biomarkers for tuberculosis detection,https://respiratory-dx.com,2021,Health tech innovation,2026-06-13
BioSuelo Colombia,CO,Soil Biotech,Fungal community optimization and soil health restoration for regenerative agriculture,https://biosuelo.com.co,2020,Regenerative ag network,2026-06-13
NemoraNaturalis,CO,Biodiversity Biotech,Bioprospecting and ethnobotany platform for medicinal plant research and drug discovery,https://nemoranatualis.co,2021,Colombian biodiversity network,2026-06-13
