investor_id,investor_name,investor_type,country_code,website,thesis,preferred_stages,geography_focus,vertical_focus,ticket_min_usd,ticket_max_usd,lead_behavior,active_status,source_url,notes
kptl,KPTL,impact_fund,BR,https://kptl.com.br,Brazilian impact VC and fund manager focused on the Amazon bioeconomy biodiversity-positive ventures and sustainable agriculture across Brazil and the Amazon basin. Co-manages Amazonia ReGenerate with IDB Lab.,seed;series-a,BR;LATAM,bioeconomy;climate;agtech;biotech,500000,5000000,lead,active,https://kptl.com.br/active-listening-ancestral-wisdom-and-the-voices-of-the-forest/?lang=en,KPTL official site; IDB Lab confirmed as LP in Amazonia bioeconomy fund
aceleradora_litoral,Aceleradora Litoral,accelerator,AR,https://www.aceleradoralitoral.com.ar,Argentine university-linked accelerator based in Santa Fe backing deeptech biotech agtech and health startups from universities in the Litoral and Paraná river corridor region.,pre-seed;seed,AR,biotech;agtech;healthtech,,200000,both,active,https://www.aceleradoralitoral.com.ar/portfolio/,Aceleradora Litoral official portfolio page
newtopia_vc,Newtopia VC,vc,AR,https://newtopia.vc,Argentine VC investing in frontier-tech agtech health and consumer startups across Latin America. Focus on founders building platform businesses with network effects and scalable models.,seed;series-a,AR;LATAM,agtech;healthtech;fintech,300000,3000000,lead,active,https://newtopia.vc,Newtopia VC official site
pampa_start,Pampa Start,accelerator,AR,https://pampastart.com,Argentine accelerator focused on agtech biotech and rural technology startups primarily from Córdoba and the Pampas agricultural region. Pre-seed focused with university linkages.,pre-seed;seed,AR,agtech;biotech,,100000,both,active,https://pampastart.com,Pampa Start official site
idb_lab,IDB Lab,multilateral,US,https://bidlab.org,IDB Lab is the innovation lab of the Inter-American Development Bank Group backing high-impact entrepreneurship in Latin America through direct investments LP commitments and ecosystem support. LP in GridX SP Ventures The Yield Lab Amador 500 LatAm Kaete and others.,seed;series-a,LATAM,agtech;foodtech;biotech;climate;healthtech,,3000000,both,active,https://bidlab.org/en/news,IDB Lab news page confirms LP activity across LATAM bio and agtech ecosystem
idb_invest,IDB Invest,development_finance,US,https://idbinvest.org,IDB Invest is the private sector arm of the Inter-American Development Bank Group providing equity and debt financing to companies and VC funds in Latin America. Backed Valor Growth Americas III and Partners for Growth.,series-a;series-b;series-c,LATAM,agtech;climate;healthcare;infrastructure,,30000000,lead,active,https://www.idbinvest.org/en/projects,IDB Invest project database confirms LP commitments to Valor Capital Group SP Ventures and Partners for Growth
gef,Global Environment Facility,multilateral,US,https://www.thegef.org,The Global Environment Facility provides grants and concessional financing for biodiversity climate and ecosystem sustainability. Committed $6M to The Yield Lab LATAM Opportunity Fund for decarbonized food systems.,,,LATAM;global,climate;biodiversity;sustainable-ag;nature,,,both,active,https://theyieldlablatam.com/2024/09/30/the-yield-lab-latam-announces-advancement-of-its-third-agrifoodtech-fund-with-new-investment-from-the-global-environment-facility/,The Yield Lab LATAM announcement confirms GEF $6M commitment to Opportunity Fund
jica,JICA,development_finance,JP,https://www.jica.go.jp,Japan International Cooperation Agency supports agricultural development and innovation in Latin America through LP commitments to regional VC funds. Named LP partner in SP Ventures AgVentures III alongside IDB Lab.,,,LATAM,agtech;foodtech;sustainable-ag,,,both,active,https://bidlab.org/en/news/idb-lab-invest-8-million-agventures-iii-fund-advance-agtech-innovation,IDB Lab announcement confirms JICA as LP partner in AgVentures III
dalus_capital,Dalus Capital,vc,MX,https://www.daluscapital.com,Mexican VC focused on deeptech agtech healthtech and sustainability ventures in Mexico and Latin America. Backs science-based founders building the next generation of transformative companies.,seed;series-a,MX;LATAM,agtech;healthtech;deeptech;sustainability,500000,5000000,lead,active,https://www.daluscapital.com,Dalus Capital official site
vox_capital,Vox Capital,impact_fund,BR,https://voxcapital.com.br,Brazilian impact VC investing in technology-enabled solutions that serve low-income populations in Brazil across health education financial inclusion and climate sectors.,seed;series-a,BR,healthtech;edtech;fintech;climate,500000,5000000,lead,active,https://voxcapital.com.br,Vox Capital official site
lowercarbon_capital,Lowercarbon Capital,vc,US,https://lowercarbon.com,US-based climate-focused VC backing companies that cut and capture carbon including biotech agtech synthetic biology and clean energy ventures globally. Has invested in LATAM climate-bio crossovers.,seed;series-a;series-b,US;LATAM;global,climate;biotech;agtech;clean-energy,1000000,10000000,lead,active,https://lowercarbon.com,Lowercarbon Capital official site
valor_capital_group,Valor Capital Group,vc,US,https://www.valorcapitalgroup.com,US-Brazil VC focused on growth-stage technology companies across Brazil including climate AI fintech healthcare and agtech. Manages Valor Growth Americas III backed by IDB Invest ($30M).,series-a;series-b;series-c,BR;US,agtech;healthtech;climate;fintech,5000000,30000000,lead,active,https://www.idbinvest.org/en/projects/valor-americas-growth-fund,IDB Invest project page confirms $30M equity stake in Valor Growth Americas III
kaete_investimentos,Kaete Investimentos,impact_fund,BR,https://kaete.com.br,Brazilian impact investor managing the Amazonia ReGenerate Accelerator and Investment Trust. Focuses on Amazon bioeconomy biodiversity-positive ventures and regenerative agriculture. Backed by IDB Lab and IDB Natural Capital Lab.,seed;series-a,BR;LATAM,bioeconomy;biodiversity;climate;sustainable-ag,500000,3000000,both,active,https://www.iadb.org/en/project/RG-Q0093,IDB project page confirms Kaete Investimentos as anchor manager of Amazonia ReGenerate trust
endurance_28,Endurance 28,vc,AR,https://endurance28.vc,Argentine VC fund investing in climate health and technology ventures in Argentina and Latin America. Backed by 1200 VC as part of its LATAM emerging fund portfolio.,seed;series-a,AR;LATAM,climate;healthtech;deeptech,300000,3000000,both,active,https://www.twelvehundred.vc/investments,1200 VC portfolio page lists Endurance 28 as fund investment in US/LatAm portfolio
