startup_id,startup_name,country,region,sector,primary_focus,founding_year,funding_status,latest_funding_amount,funding_currency,web_source_url,source_type,discovery_date,scope_basis,notes
genica,Gênica,Brazil,LATAM,agricultural_biotech,bioinputs_biopesticides_biostimulants,2015,Series C,$13.9M across 3 rounds,USD,https://www.agtechgarage.com/portfolios/genica/,web_research_2026,2026-06-13,web_research_2026,Bio-inputs and biopesticides from fungi and bacteria for crop protection; investors: SP Ventures Nitro Química Mosaic Company
agrion,Agrion Agrisolutions,Brazil,LATAM,agricultural_biotech,organomineral_fertilizers_waste_valorization,N/A,Series A,$50M - Global Fund for Coral Reefs,USD,https://agrion.com.br/en/about-us/,web_research_2026,2026-06-13,web_research_2026,Organomineral fertilizers from sugarcane waste; restored soil health; partner with mills for small-scale production
nintx,Nintx,Brazil,LATAM,therapeutics,biodiversity_natural_products_therapeutics,2021,Seed and funding,$10M seed+follow,USD,https://www.nintx.com.br/,web_research_2026,2026-06-13,web_research_2026,Plant-based natural products for multi-target therapies; microbiome modulation; xGIbiomics and GAIApath proprietary platforms
inedita_bio,InEdita Bio,Brazil,LATAM,agricultural_biotech,CRISPR_gene_editing_plant_genetics,N/A,Active,N/A,USD,https://agfundernews.com/inedita-bio-on-gene-editing-2-0,web_research_2026,2026-06-13,web_research_2026,CRISPR gene editing for corn and soybean; combines plant and microbial genetics; sustainability focus
updairy,UpDairy,Brazil,LATAM,food_biotech,precision_fermentation_dairy_proteins,N/A,Series A,$250K across 2 rounds,USD,https://www.linkedin.com/company/updairy,web_research_2026,2026-06-13,web_research_2026,Precision-fermented dairy proteins using filamentous fungi; Brazilian-Singaporean; whey protein focus
future_cow,Future Cow,Brazil,LATAM,food_biotech,precision_fermentation_milk_proteins,2023,Seed,R$4.85M (~$1M+),BRL,https://www.thebullvine.com/news/how-brazils-cow-free-proteins-challenge-everything-we-know-about-milk,web_research_2026,2026-06-13,web_research_2026,Precision fermentation for milk proteins using yeast fermentation; animal-free dairy; production scaling to 2026
ark_bio_solutions,Ark Bio Solutions,Brazil,LATAM,food_biotech,precision_fermentation_dairy_proteins,2022,Active,N/A,USD,https://arkbio.com.br/,web_research_2026,2026-06-13,web_research_2026,AI-driven precision fermentation for dairy proteins; lactoferrin production; agricultural co-products
cayena,Cayena,Brazil,LATAM,agtech_marketplace,B2B_food_marketplace_nextday_delivery,2020,Series B,$55M - Bicycle Capital led,USD,https://www.cayena.com.br,web_research_2026,2026-06-13,web_research_2026,B2B agricultural marketplace connecting suppliers to restaurants; $200M annual GMV; 5x YoY growth
praxis_biotech,Praxis Biotech,Chile,LATAM,therapeutics,cancer_and_neurodegeneration_molecules,2016,Seed,$600K via Founderlist,USD,https://praxisbioresearch.com/,web_research_2026,2026-06-13,web_research_2026,Precision medicine for cancer and neurodegenerative diseases; protein and molecular design; 16 patents filed
levita_magnetics,Levita Magnetics,Chile,LATAM,medtech_surgical_devices,magnetic_minimally_invasive_surgery,N/A,Series C,$26M,USD,https://www.levita.com/,web_research_2026,2026-06-13,web_research_2026,MARS surgical robotic system using magnetic control; FDA-cleared; AI-guided autonomous surgery integration
geneprodx,GeneproDX,Chile,LATAM,medtech_diagnostics,thyroid_cancer_genetic_testing,N/A,Commercial partnerships,N/A,USD,https://www.geneprodx.com/aboutus,web_research_2026,2026-06-13,web_research_2026,ThyroidPrint GEP test for thyroid cancer detection; validated in US and Chile; 90-91% sensitivity; Biocartis partnership
botanical_solution,Botanical Solution,Chile,LATAM,biomaterials,botanical_extracts_vaccines_agriculture,N/A,Growth-stage,N/A,USD,https://botanical-solution.com/,web_research_2026,2026-06-13,web_research_2026,In vitro plant tissue culture for botanical materials; Quillay saponaria QS-21 vaccine adjuvant; Syngenta recognition
arcomedlab,ArcomedLab,Chile,LATAM,medtech_medical_devices,3D_printed_cranial_maxillofacial_implants,N/A,Active-Commercial,N/A,USD,https://arcomedlab.com/about-us-2/,web_research_2026,2026-06-13,web_research_2026,3D-printed PEEK and titanium craniomaxillofacial implants; 700+ cases; drug-release integration; Miami and Santiago
verqor,Verqor,Mexico,LATAM,agtech_fintech,embedded_finance_agricultural_credit,2019,Series A,$7.5M - Yara Growth Ventures,USD,https://www.accion.org/cultivating-prosperity-verqor-aims-to-revolutionize-agricultural-finance-in-mexico,web_research_2026,2026-06-13,web_research_2026,Agricultural fintech with crop-linked repayment; weather insurance; AI credit scoring; loans under 72 hours
xeptiva,Xeptiva Therapeutics,Uruguay,LATAM,therapeutics,veterinary_vaccines_chronic_pain,2021,Seed,$2.5M - Zentynel led,USD,https://www.xeptiva.com/,web_research_2026,2026-06-13,web_research_2026,Veterinary vaccines for osteoarthritis and atopic dermatitis; Institut Pasteur incubated; long-acting single doses
guska,Guska,Uruguay,LATAM,therapeutics,oncolytic_viruses_cancer_treatment,N/A,Seed,$750K from LAB+,USD,https://pasteur.uy/en/innovation-2/,web_research_2026,2026-06-13,web_research_2026,Oncolytic viruses for cancer using genetic engineering; Institut Pasteur LAB+ backed
b4rna,B4RNA,Uruguay,LATAM,medtech_diagnostics,RNA_early_cancer_detection,N/A,Seed,$750K from LAB+,USD,https://pasteur.uy/en/news/ip-montevideos-lab-finances-4-uruguayan-scientific-start-ups/,web_research_2026,2026-06-13,web_research_2026,RNA-based diagnostic methodology for early cancer detection in biological fluids; Institut Pasteur LAB+ backed
scaffold_biotech,Scaffold Biotech,Uruguay,LATAM,biomaterials,tissue_engineering_scaffold_biomaterials,N/A,Seed,$750K from LAB+,USD,https://pasteur.uy/en/news/ip-montevideos-lab-finances-4-uruguayan-scientific-start-ups/,web_research_2026,2026-06-13,web_research_2026,Biomaterial scaffolds for tissue engineering and regenerative medicine; Institut Pasteur LAB+ backed
locbio,LoCBio,Uruguay,LATAM,synthetic_biology,cellular_programming_biotech,N/A,Seed,$750K from LAB+ + $1.5M grants,USD,https://locbio.com/,web_research_2026,2026-06-13,web_research_2026,Cellular programming and reprogramming for biotherapeutics; synthetic biology circuits for diagnostics and agriculture
metabix_biotech,MetaBIX Biotech,Uruguay,LATAM,environmental_biotech,pathogen_detection_environmental,2022,Seed,$1M+ from AIR Capital and Danta Fund,USD,https://www.uruguayxxi.gub.uy/en/news/article/uruguayan-metabix-biotech-attracts-international-investment-and-plans-global-expansion/,web_research_2026,2026-06-13,web_research_2026,AI-powered platform for pathogen detection in environmental settings; international expansion plans
suyana,Suyana,Peru/Bolivia,LATAM,agtech_insurance,parametric_climate_insurance_satellite,N/A,Active-Growth,N/A,USD,https://suyana.io/,web_research_2026,2026-06-13,web_research_2026,Satellite-based parametric insurance for climate risk; smallholder farmers; early warning systems
trag,TRAG,Brazil,LATAM,agtech_insurance,parametric_agricultural_insurance_AI,N/A,Series A,R$2M,BRL,https://tribu.la/trag-raises-370k-to-enhance-parametric-agricultural-insurance-platform/,web_research_2026,2026-06-13,web_research_2026,Parametric agricultural insurance platform using AI and satellite data for risk assessment
