startup_id,startup_name,founded_year,source_url,notes
cerradox,CerradoX,,,
chemtest,Chemtest,,,
circa_therapeutics,Circa Therapeutics,,,
courageous_land,Courageous Land,,,
cryosmetics,Cryosmetics,,,
culttivo,Culttivo,,,
cyanomin,CyanoMin,,,
cytbac,Cytbac,,,
dprotein,DProtein,,,
decoy,Decoy,,,
deepagro,DeepAgro,,,
delee,Delee,,,
dharma_bioscience,Dharma BioScience,,,
dogma_biotech,Dogma Biotech,,,
done_properly,Done Properly,,,
dymaxion_labs,Dymaxion Labs,,,
einsted,Einsted,,,
eiru,Eirú,,,
eiwa,Eiwa,,,
elytron_biotech,Elytron Biotech,,,
embryoxite,Embryoxite,,,
enteria,Enteria,,,
enzyva,Enzyva,,,
eolo_pharma,Eolo Pharma,,,
epiliquid,Epiliquid,,,
ergo_bioscience,Ergo Bioscience,,,
ergo_foods,Ergo Foods,,,
exomas,Exomas,,,
eywa_biotech,Eywa Biotech,,,
fecundis,Fecundis,,,
feedvax,Feedvax,,,
food4you,Food4You,,,
frizata,Frizata,,,
fungi_life,Fungi Life,,,
future_biome,Future Biome,,,
future_cow,Future Cow,,,
galtec,Galtec Life,,,
gameet,Gameet,,,
genotyping,Genotyping,,,
geoprot,Geoprot,,,
gigablue,Gigablue,,,
gisens_biotech,Gisens Biotech,,,
glycox,GlycoX,,,
genica,Gênica,,,
harmony-biosciences,HARMONY,,,
HIAMET,HIAMET,,,
hexembio,HeXemBio,,,
heartbest,Heartbest,,,
horus_aeronaves,Horus Aeronaves,,,
huiro,Huiro,,,
hybridon,Hybridon,,,
inmet,INMET,,,
ideelab,IdeeLab,,,
imeve,Imeve,,,
imvalv,Imvalv,,,
inceres,InCeres,,,
inbioar,Inbioar,,,
incluirtec,Incluirtec,,,
infira,Infira,,,
inner_cosmos,Inner Cosmos,,,
innova_space,Innova Space,,,
innovai,Innovai,,,
inprenha,Inprenha,,,
invitrall,Invitrall,,,
jetbov,JetBov,,,
keclon,Keclon,,,
kigui,Kigüi,,,
kilimo,Kilimo,,,
kresko_rnatech,Kresko RNAtech,,,
krilltech,Krilltech,,,
laurus,Laurus,,,
laurus_ag_tech,Laurus AG Tech,,,
leaf,Leaf,,,
lemu,Lemu,,,
levya,Levya,,,
libera,Libera,,,
limay_biosciences,Limay Biosciences,,,
lipock,Lipock,,,
logshare,LogShare,,,
m4life,M4Life,,,
migma,MIGMA,,,
muta,MUTA,,,
mzp,MZP,,,
magnamed,Magnamed,,,
matchetune,Matchetune,,,
mavios,Mavios,,,
mesenchyal_t,Mesenchyal-T,,,
michroma,Michroma,,,
microin,MicroIN,,,
microterra,MicroTerra,,,
microgenesis,Microgenesis,,,
mombak,Mombak,,,
momentum-therapeutics,Momentum Therapeutics,,,
monte-caldera-technology,Monte Caldera Technology,,,
moss,Moss,,,
multiplai_health,MultiplAI Health,,,
mycorium_biotech,Mycorium Biotech,,,
nairotech,Nairotech,,,
nanojump_bio,Nano Jump Bio,,,
nanogrow_biotech,Nanogrow Biotech,,,
nanoingreen,Nanoingreen,,,
nanoprox,NanoproX,,,
nanotica,Nanotica,,,
nanotransfer,Nanotransfer,,,
nat4bio,Nat4Bio,,,
nativas,Nativas,,,
naturannova,Naturannova,,,
neocell,Neocell,,,
neocrop-technologies,Neocrop Technologies,,,
new_organs_biotech,New Organs Biotech,,,
nexxto,Nexxto,,,
nideport,Nideport,,,
nilus,Nilus,,,
nocarbon_milk,NoCarbon Milk,,,
notfossil,NotFossil,,,
nude,Nude,,,
nunatak_biotech,Nunatak Biotech,,,
omics,OMICS,,,
ocular_bio_design,Ocular Bio Design,,,
omica,Omica,,,
onco_precision,Onco Precision,,,
oncoliq,Oncoliq,,,
outpost,Outpost,,,
polymera,POLYMERA,,,
patagon-fiber,Patagon Fiber,,,
pepton,Pepton,,,
phagelab,PhageLab,,,
phylumtech,PhylumTech,,,
pill_ar,Pill.AR,,,
pink-farms,Pink Farms,,,
plamic,Plamic,,,
plamic_biotech,Plamic Biotech,,,
poas_bioenergy,Poás Bioenergy,,,
pregen,PreGen,,,
precision_ag,Precision Ag,,,
produzindo-certo,Produzindo Certo,,,
promip,Promip,,,
protiva,Protiva,,,
puna_bio,Puna Bio,,,
qnity,Qnity,,,
qumir_nano,Qumir Nano,,,
radbio,Radbio,,,
radial,Radial,,,
resistia,Resistia,,,
rumina,Rumina,,,
ruuts,Ruuts,,,
samay,Samay,,,
satellites_on_fire,Satellites on Fire,,,
satellogic,Satellogic,,,
sciphage,SciPhage,,,
scitherm_therapeutics,Scitherm Therapeutics,,,
seedmatriz,SeedMatriz,,,
seedz,Seedz,,,
semion,Semion,,,
sensify,Sensify,,,
sensix,Sensix,,,
sette,Sette,,,
siloreal,SiloReal,,,
silohub,Silohub,,,
sima,Sima,,,
single_strand_biotech,Single Strand Biotech,,,
sioma,Sioma,,,
smartbreeder,SmartBreeder,,,
solfium,Solfium,,,
solinftec,Solinftec,,,
solubio,Solubio Tecnologias Agricolas,,,
soygreen,SoyGREEN,,,
spaceag,SpaceAG,,,
speclab,SpecLab,,,
spherebio,SphereBio,,,
splight,Splight,,,
stamm,Stämm,,,
sylvarum,Sylvarum,,,
symbiomics,Symbiomics,,,
synthetic_ocular_restoration,Synthetic Ocular Restoration,,,
syocin-biotech,Syocin Biotech,,,
tbit,TBIT,,,
tell,Tell,,,
tensor-care,Tensor Care,,,
terramagna,TerraMagna,,,
tesabio_ai,Tesabio.ai,,,
the-earth-says,The Earth Says,,,
tintte,Tintte,,,
tomorrow_foods,Tomorrow Foods,,,
tracestory,Tracestory,,,
traive,Traive,,,
trebe_biotech,Trebe Biotech,,,
tuplaza,TuPlaza,,,
ubique_bio,Ubique Bio,,,
um_grau_e_meio,Um Grau e Meio,,,
untech,UnTech,,,
unibaio,Unibaio,,,
updairy,Updairy,,,
verqor,Verqor,,,
vexxel_biotech,Vexxel Biotech,,,
viewmind,ViewMind,,,
voa,Voa,,,
waterplan,Waterplan,,,
werk-nvac,WerkénVac,,,
wiagro,Wiagro,,,
xeptiva,Xeptiva,,,
zev_biotech,ZEV Biotech,,,
zavia_bio,Zavia Bio,,,
zoomagri,ZoomAgri,,,
algaebio,algaebio+,,,
goflux,goFlux,,,
metabix-biotech,metaBIX Biotech,,,
microscopia,microscopIA,,,
re_green,re.green,,,
