investment_id,investor_id,investor_name,startup_id,startup_name,bio_theme,round_stage,round_name,confidence_score,notes_originales,source_url_recuperada,accion
168,DraperCygnus,DraperCygnus,ayuvant,Ayuvant,Therapeutics,seed,investment,0.95,inferred_from_valuation_tier:1,,keep_with_url
174,DraperCygnus,DraperCygnus,dynami,Dynami,,seed,investment,0.95,inferred_from_valuation_tier:1,,keep_with_url
181,DraperCygnus,DraperCygnus,egg,Egg,,series-a,investment,0.95,inferred_from_valuation_tier:2,,keep_with_url
169,DraperCygnus,DraperCygnus,falcomm,Falcomm,,seed,investment,0.95,inferred_from_valuation_tier:1,,keep_with_url
183,DraperCygnus,DraperCygnus,gbm,GBM,,series-a,investment,0.95,inferred_from_valuation_tier:2,,keep_with_url
167,DraperCygnus,DraperCygnus,lemon,Lemon,,series-a,investment,0.95,inferred_from_valuation_tier:2,,keep_with_url
e222,DraperCygnus,DraperCygnus,mentatech,MentaTech,,seed,investment_or_membership,0.9,inferred_from_valuation_tier:1.5,,keep_with_url
e221,DraperCygnus,DraperCygnus,microterra,MicroTerra,Food Systems & Alt Proteins,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1.5,,keep_with_url
166,DraperCygnus,DraperCygnus,novo_space,NOVO SPACE,,seed,investment,0.95,inferred_from_valuation_tier:1.5,,keep_with_url
177,DraperCygnus,DraperCygnus,oneinfinite,OneInfinite,,seed,investment,0.95,inferred_from_valuation_tier:1.5,,keep_with_url
e225,DraperCygnus,DraperCygnus,satellites_on_fire,Satellites on Fire,Nature & Ecosystem Tech,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1.5,,keep_with_url
172,DraperCygnus,DraperCygnus,satellogic,Satellogic,Nature & Ecosystem Tech,series-c,investment,0.95,inferred_from_valuation_tier:4,,keep_with_url
178,DraperCygnus,DraperCygnus,siloreal,SiloReal,Nature & Ecosystem Tech,seed,investment,0.95,inferred_from_valuation_tier:1,,keep_with_url
164,DraperCygnus,DraperCygnus,skyloom,Skyloom,,series-b,investment,0.95,inferred_from_valuation_tier:3,,keep_with_url
165,DraperCygnus,DraperCygnus,splight,Splight,Nature & Ecosystem Tech,series-b,investment,0.95,inferred_from_valuation_tier:3,,keep_with_url
170,DraperCygnus,DraperCygnus,travelx,TravelX,,seed,investment,0.95,inferred_from_valuation_tier:1.5,,keep_with_url
173,DraperCygnus,DraperCygnus,vmind,VMind,,seed,investment,0.95,inferred_from_valuation_tier:1,,keep_with_url
16,GridX,GridX,AVaTAR,AVaTAR,,,portfolio_page_lead,0.9,source: https://www.gridexponential.com/portfolio | CSV suggests investor to startup direction but must be validated against canonical entity types | GridX official portfolio page is used as public fund-level evidence for this mapped GridX relationship; keep in the specific-evidence queue until startup-level page/text is confirmed. | GridX official portfolio page is used as public fund-level evidence for this mapped GridX relationship; keep in the specific-evidence queue until startup-level page/text is confirmed.,,keep_with_url
54,GridX,GridX,Elytron,Elytron,,,portfolio_page_lead,0.9,source: https://www.gridexponential.com/portfolio | CSV suggests investor to startup direction but must be validated against canonical entity types | GridX official portfolio page is used as public fund-level evidence for this mapped GridX relationship; keep in the specific-evidence queue until startup-level page/text is confirmed. | GridX official portfolio page is used as public fund-level evidence for this mapped GridX relationship; keep in the specific-evidence queue until startup-level page/text is confirmed.,,keep_with_url
34,GridX,GridX,Eywa,Eywa,,,portfolio_page_lead,0.9,source: https://www.gridexponential.com/portfolio | CSV suggests investor to startup direction but must be validated against canonical entity types | GridX official portfolio page is used as public fund-level evidence for this mapped GridX relationship; keep in the specific-evidence queue until startup-level page/text is confirmed. | GridX official portfolio page is used as public fund-level evidence for this mapped GridX relationship; keep in the specific-evidence queue until startup-level page/text is confirmed.,,keep_with_url
53,GridX,GridX,F4U,F4U,,,portfolio_page_lead,0.9,source: https://www.gridexponential.com/portfolio | CSV suggests investor to startup direction but must be validated against canonical entity types | GridX official portfolio page is used as public fund-level evidence for this mapped GridX relationship; keep in the specific-evidence queue until startup-level page/text is confirmed. | GridX official portfolio page is used as public fund-level evidence for this mapped GridX relationship; keep in the specific-evidence queue until startup-level page/text is confirmed.,,keep_with_url
e33,GridX,GridX,Feed Vax,Feed Vax,,,portfolio_page_lead,0.9,source: https://www.gridexponential.com/portfolio | GraphML edge direction is not assumed canonical | GridX official portfolio page is used as public fund-level evidence for this mapped GridX relationship; keep in the specific-evidence queue until startup-level page/text is confirmed. | GridX official portfolio page is used as public fund-level evidence for this mapped GridX relationship; keep in the specific-evidence queue until startup-level page/text is confirmed.,,keep_with_url
51,GridX,GridX,Nanogrow,Nanogrow,,,portfolio_page_lead,0.9,source: https://www.gridexponential.com/portfolio | CSV suggests investor to startup direction but must be validated against canonical entity types | GridX official portfolio page is used as public fund-level evidence for this mapped GridX relationship; keep in the specific-evidence queue until startup-level page/text is confirmed. | GridX official portfolio page is used as public fund-level evidence for this mapped GridX relationship; keep in the specific-evidence queue until startup-level page/text is confirmed.,,keep_with_url
50,GridX,GridX,New Organs,New Organs,,,portfolio_page_lead,0.9,source: https://www.gridexponential.com/portfolio | CSV suggests investor to startup direction but must be validated against canonical entity types | GridX official portfolio page is used as public fund-level evidence for this mapped GridX relationship; keep in the specific-evidence queue until startup-level page/text is confirmed. | GridX official portfolio page is used as public fund-level evidence for this mapped GridX relationship; keep in the specific-evidence queue until startup-level page/text is confirmed.,,keep_with_url
9,GridX,GridX,Scitherm,Scitherm,,,portfolio_page_lead,0.9,source: https://www.gridexponential.com/portfolio | CSV suggests investor to startup direction but must be validated against canonical entity types | GridX official portfolio page is used as public fund-level evidence for this mapped GridX relationship; keep in the specific-evidence queue until startup-level page/text is confirmed. | GridX official portfolio page is used as public fund-level evidence for this mapped GridX relationship; keep in the specific-evidence queue until startup-level page/text is confirmed.,,keep_with_url
e227,GridX,GridX,alkemio,Alkemio,Biomaterials & Circular Economy,series-a,portfolio_page_lead,0.9,inferred_from_valuation_tier:2,,keep_with_url
e61,GridX,GridX,alytix,Alytix,Diagnostics & Health Access,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
e20,GridX,GridX,aplife,Aplife,,,portfolio_page_lead,0.9,source: https://www.gridexponential.com/portfolio | GraphML edge direction is not assumed canonical | GridX official portfolio page is used as public fund-level evidence for this mapped GridX relationship; keep in the specific-evidence queue until startup-level page/text is confirmed. | GridX official portfolio page is used as public fund-level evidence for this mapped GridX relationship; keep in the specific-evidence queue until startup-level page/text is confirmed.,,keep_with_url
72,GridX,GridX,aplife_biotech,Aplife Biotech,Diagnostics & Health Access,seed,portfolio_page_lead,0.9,inferred_from_valuation_tier:1,,keep_with_url
e233,GridX,GridX,biodiversity_intelligence,Biodiversity Intelligence,Nature & Ecosystem Tech,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
41,GridX,GridX,bioplaster_research,BioPlaster Research,Biomaterials & Circular Economy,,portfolio_page_lead,0.9,source: https://www.gridexponential.com/portfolio | CSV suggests investor to startup direction but must be validated against canonical entity types | GridX official portfolio page is used as public fund-level evidence for this mapped GridX relationship; keep in the specific-evidence queue until startup-level page/text is confirmed. | GridX official portfolio page is used as public fund-level evidence for this mapped GridX relationship; keep in the specific-evidence queue until startup-level page/text is confirmed.,,keep_with_url
e26,GridX,GridX,caspr,CASPR,,,portfolio_page_lead,0.9,source: https://www.gridexponential.com/portfolio | GraphML edge direction is not assumed canonical | GridX official portfolio page is used as public fund-level evidence for this mapped GridX relationship; keep in the specific-evidence queue until startup-level page/text is confirmed. | GridX official portfolio page is used as public fund-level evidence for this mapped GridX relationship; keep in the specific-evidence queue until startup-level page/text is confirmed.,,keep_with_url
e78,GridX,GridX,fungi_life,Fungi Life,Biomaterials & Circular Economy,seed,portfolio_page_lead,0.9,inferred_from_valuation_tier:1,,keep_with_url
e79,GridX,GridX,future_biome,Future Biome,Biomanufacturing & Fermentation Economy,seed,portfolio_page_lead,0.9,inferred_from_valuation_tier:1,,keep_with_url
0,GridX,GridX,monte-caldera-technology,Monte Caldera Technology,Biomaterials & Circular Economy,,portfolio_page_lead,0.9,source: https://www.gridexponential.com/portfolio | CSV suggests investor to startup direction but must be validated against canonical entity types | GridX official portfolio page is used as public fund-level evidence for this mapped GridX relationship; keep in the specific-evidence queue until startup-level page/text is confirmed. | GridX official portfolio page is used as public fund-level evidence for this mapped GridX relationship; keep in the specific-evidence queue until startup-level page/text is confirmed.,,keep_with_url
e83,GridX,GridX,mzp,MZP,Diagnostics & Health Access,seed,portfolio_page_lead,0.9,inferred_from_valuation_tier:1,,keep_with_url
e85,GridX,GridX,nano_jump,Nano Jump,,,portfolio_page_lead,0.9,source: https://www.gridexponential.com/portfolio | GraphML edge direction is not assumed canonical | GridX official portfolio page is used as public fund-level evidence for this mapped GridX relationship; keep in the specific-evidence queue until startup-level page/text is confirmed. | GridX official portfolio page is used as public fund-level evidence for this mapped GridX relationship; keep in the specific-evidence queue until startup-level page/text is confirmed.,,keep_with_url
e90,GridX,GridX,naturanova,Naturanova,,,portfolio_page_lead,0.9,source: https://www.gridexponential.com/portfolio | GraphML edge direction is not assumed canonical | GridX official portfolio page is used as public fund-level evidence for this mapped GridX relationship; keep in the specific-evidence queue until startup-level page/text is confirmed. | GridX official portfolio page is used as public fund-level evidence for this mapped GridX relationship; keep in the specific-evidence queue until startup-level page/text is confirmed.,,keep_with_url
e93,GridX,GridX,onco_precision,Onco Precision,Therapeutics,seed,portfolio_page_lead,0.9,inferred_from_valuation_tier:1,,keep_with_url
e257,GridX,GridX,semion,Semion,Bioinputs & Crop Resilience,seed,portfolio_page_lead,0.9,inferred_from_valuation_tier:1,,keep_with_url
e258,GridX,GridX,spherebio,SphereBio,Therapeutics,seed,portfolio_page_lead,0.9,inferred_from_valuation_tier:1,,keep_with_url
e98,GridX,GridX,sylvarum,Sylvarum,Bioinputs & Crop Resilience,seed,portfolio_page_lead,0.9,inferred_from_valuation_tier:1,,keep_with_url
e259,GridX,GridX,synthetic_ocular_restoration,Synthetic Ocular Restoration,Therapeutics,seed,portfolio_page_lead,0.9,inferred_from_valuation_tier:1,,keep_with_url
60,GridX,GridX,syocin-biotech,Syocin Biotech,Bioinputs & Crop Resilience,,portfolio_page_lead,0.9,source: https://www.gridexponential.com/portfolio | CSV suggests investor to startup direction but must be validated against canonical entity types | GridX official portfolio page is used as public fund-level evidence for this mapped GridX relationship; keep in the specific-evidence queue until startup-level page/text is confirmed. | GridX official portfolio page is used as public fund-level evidence for this mapped GridX relationship; keep in the specific-evidence queue until startup-level page/text is confirmed.,,keep_with_url
e99,GridX,GridX,syocin_bio,Syocin Bio,,,portfolio_page_lead,0.9,source: https://www.gridexponential.com/portfolio | GraphML edge direction is not assumed canonical | GridX official portfolio page is used as public fund-level evidence for this mapped GridX relationship; keep in the specific-evidence queue until startup-level page/text is confirmed. | GridX official portfolio page is used as public fund-level evidence for this mapped GridX relationship; keep in the specific-evidence queue until startup-level page/text is confirmed.,,keep_with_url
e38,GridX,GridX,tomorrow,Tomorrow,,,portfolio_page_lead,0.9,source: https://www.gridexponential.com/portfolio | GraphML edge direction is not assumed canonical | GridX official portfolio page is used as public fund-level evidence for this mapped GridX relationship; keep in the specific-evidence queue until startup-level page/text is confirmed. | GridX official portfolio page is used as public fund-level evidence for this mapped GridX relationship; keep in the specific-evidence queue until startup-level page/text is confirmed.,,keep_with_url
e101,GridX,GridX,ubique_bio,Ubique Bio,Diagnostics & Health Access,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
e100,GridX,GridX,updairy,Updairy,Food Systems & Alt Proteins,seed,portfolio_page_lead,0.9,inferred_from_valuation_tier:1,,keep_with_url
e260,GridX,GridX,vexxel_biotech,Vexxel Biotech,Bioinputs & Crop Resilience,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
e261,GridX,GridX,werk-nvac,WerkénVac,Bioinputs & Crop Resilience,,official_portfolio_investment,0.96,source: https://www.gridexponential.com/portfolio | GridX official portfolio lists WerkénVac. GRIDX portfolio describes Werken Vac as a self-amplifying RNA vaccine for fish.,,keep_with_url
e103,GridX,GridX,zavia_bio,Zavia Bio,Bioinputs & Crop Resilience,seed,portfolio_page_lead,0.9,inferred_from_valuation_tier:1,,keep_with_url
e29,GridX,GridX,zev_biotech,ZEV Biotech,Diagnostics & Health Access,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
e146,SF500,SF500,beam_croptech,BEAM CropTech,Bioinputs & Crop Resilience,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
e149,SF500,SF500,biometallum,BioMetallum,Biomaterials & Circular Economy,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
e136,SF500,SF500,biotalife,Biotalife,Diagnostics & Health Access,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
e131,SF500,SF500,dharma_bioscience,Dharma BioScience,Diagnostics & Health Access,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
e139,SF500,SF500,eureka,Eureka,,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
e132,SF500,SF500,exomas,Exomas,Therapeutics,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
e138,SF500,SF500,gameet,Gameet,Diagnostics & Health Access,series-a,official_portfolio_investment,0.96,inferred_from_valuation_tier:2,,keep_with_url
e143,SF500,SF500,inmet,INMET,Biomaterials & Circular Economy,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
e134,SF500,SF500,libera,Libera,Therapeutics,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
e128,SF500,SF500,limay_biosciences,Limay Biosciences,Diagnostics & Health Access,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
e145,SF500,SF500,m4life,M4Life,Bioinputs & Crop Resilience,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
e133,SF500,SF500,mesenchyal_t,Mesenchyal-T,Therapeutics,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
e129,SF500,SF500,multiplai_health,MultiplAI Health,Diagnostics & Health Access,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
e141,SF500,SF500,mycorium_biotech,Mycorium Biotech,Biomaterials & Circular Economy,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
e150,SF500,SF500,notfossil,NotFossil,Nature & Ecosystem Tech,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
e127,SF500,SF500,oncoliq,Oncoliq,Diagnostics & Health Access,series-a,official_portfolio_investment,0.96,inferred_from_valuation_tier:2,,keep_with_url
e137,SF500,SF500,pill_ar,Pill.AR,Diagnostics & Health Access,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1.5,,keep_with_url
e148,SF500,SF500,soygreen,SoyGREEN,Bioinputs & Crop Resilience,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
e135,SF500,SF500,spectrum,Spectrum,,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
e130,SF500,SF500,tell,Tell,Diagnostics & Health Access,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
e142,SF500,SF500,tintte,Tintte,Biomaterials & Circular Economy,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
e140,SF500,SF500,trebe_biotech,Trebe Biotech,Food Systems & Alt Proteins,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
e144,SF500,SF500,unibaio,Unibaio,Bioinputs & Crop Resilience,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1.5,,keep_with_url
191,SOSV_IndieBio,SOSV_IndieBio,BitMEX,BitMEX,,,investment,0.95,source: edgeseco.csv | CSV suggests investor to startup direction but must be validated against canonical entity types,,keep_with_url
185,SOSV_IndieBio,SOSV_IndieBio,Formlabs,Formlabs,,,investment,0.95,source: edgeseco.csv | CSV suggests investor to startup direction but must be validated against canonical entity types,,keep_with_url
189,SOSV_IndieBio,SOSV_IndieBio,Neptune Robotics,Neptune Robotics,,,investment,0.95,source: edgeseco.csv | CSV suggests investor to startup direction but must be validated against canonical entity types,,keep_with_url
186,SOSV_IndieBio,SOSV_IndieBio,NotCo,NotCo,,,investment,0.95,source: edgeseco.csv | CSV suggests investor to startup direction but must be validated against canonical entity types,,keep_with_url
184,SOSV_IndieBio,SOSV_IndieBio,Opentrons,Opentrons,,,investment,0.95,source: edgeseco.csv | CSV suggests investor to startup direction but must be validated against canonical entity types,,keep_with_url
