"Id","Label","NodeType","CanonicalType","Slug","IntegratedSources","SourcePresence","EntityConfidence","ScopeDecision","ScopeStatus","QualityBand","QualityScore","SourceUrl","SemanticTheme","SemanticClusterId","SemanticConfidence","Summary","OneLiner","Country","r","g","b","Size"
"Alkemio","Alkemio","startup","startup","alkemio","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","8","https://alkemio.tech/","climate and resource intelligence platforms","cluster_7","medium","Startup de critical materials que desarrolla una plataforma modular, limpia y adaptable para separar y refinar tierras raras con menor CAPEX, menor huella y menor dependencia geopolitica. Entra en tesis por transicion material y refinado sostenible de insumos criticos.","Modular sustainable rare earth refining platform.","NL/AR","255","112","67","12.4"
"altscore","Altscore","startup","startup","altscore","canonical|historical","graphml","0.6","exclude","provisional","fragile","6","","","","","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","","150","150","150","10.8"
"Alytix","Alytix","startup","startup","alytix","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","7.5","https://alytixbiotech.com/","therapeutics and regenerative bio","cluster_6","low","Startup biotech que desarrolla soluciones basadas en bacteriofagos para prevenir y tratar infecciones bacterianas en salud animal y humana, combinando herramientas microbiologicas, genomicas y bioinformaticas. Entra en tesis por biologia aplicada a salud y agro.","Bacteriophage therapeutics and prevention platform.","","38","166","154","12"
"amai-proteins","Amai Proteins","startup","startup","amai-proteins","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"amplify-dynamics","Amplify Dynamics","startup","startup","amplify-dynamics","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"Antarka","Antarka","startup","startup","antarka","canonical|historical","nodes_csv|graphml","0.9","exclude","provisional","medium","7","","","","","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","AR","150","150","150","11.6"
"Antom","Antom","capital","investor","antom","canonical|historical|historical_clean","nodes_csv|graphml","0.9","","","","","","","","","","","","37","182","106","18"
"Apasomics","Apasomics","startup","startup","apasomics","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","8","https://www.apasomics.com/","therapeutics and regenerative bio","cluster_6","high","Startup de therapeutics que desarrolla nanomedicina biomimetica para llevar farmacos directamente al hueso. Entra en tesis por therapeutics and regenerative medicine.","Bone-targeted drug delivery startup.","CR","38","166","154","12.4"
"APEXzymes","APEXzymes","startup","startup","apexzymes","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","7.5","https://apexzymes.com/","industrial enzymes and bioprocess platforms","cluster_3","high","Startup de biotech industrial que desarrolla enzimas de bajo costo usando hongos filamentosos y subproductos agroindustriales para hacer procesos mas sustentables. Entra en tesis por biomanufacturing and bioindustrial platforms.","Industrial enzyme company using circular feedstocks.","","139","195","74","12"
"aplife-biotech","Aplife Biotech","startup","startup","aplife-biotech","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"Aquit","Aquit","startup","startup","aquit","canonical|historical","nodes_csv|graphml","0.9","exclude","provisional","fragile","6","","","","","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","","150","150","150","10.8"
"arakion","Arakion","startup","startup","arakion","canonical|historical","graphml","0.6","exclude","confirmed","high","8.5","https://www.arakion.com/home/about.html","","","","Estudio de videojuegos enfocado en dungeon crawlers y aventuras de fantasia. Queda afuera por ser entretenimiento digital sin relacion con materialidad, biobasado o limites planetarios.","Indie game studio.","","150","150","150","12.8"
"arcomedLab","arcomedLab","startup","startup","arcomedlab","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"ardan","Ardan","startup","startup","ardan","canonical|historical","graphml","0.6","exclude","provisional","medium","7","","","","","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","AR","150","150","150","11.6"
"ardan-pharma","Ardan Pharma","startup","startup","ardan-pharma","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"argenTAG","argenTAG","startup","startup","argentag","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","8","https://sosv.com/company/argentag/","industrial enzymes and bioprocess platforms","cluster_3","high","Startup de herramientas genómicas que desarrolla una solución escalable de single-cell sequencing para secuenciadores long-read. Entra en tesis por computational biology and scientific software.","Scalable single-cell long-read sequencing platform.","","139","195","74","12.4"
"Armenta","Armenta","startup","startup","armenta","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"arqlite","Arqlite","startup","startup","arqlite","canonical|historical","graphml","0.6","include","confirmed","medium","7.5","https://curbwaste.com/company-profiles-network/arqlite","climate and resource intelligence platforms","cluster_7","high","Empresa de materiales circulares que transforma plasticos dificiles de reciclar en agregados livianos y otros materiales de bajo carbono para construccion y manufactura. Entra en tesis por circular material systems.","Circular materials company from plastic waste.","","255","112","67","12"
"auravant","Auravant","startup","startup","auravant","canonical|historical","graphml","0.6","include","confirmed","high","8.5","https://www.auravant.com/en/about-us/","agri intelligence and traceable markets","cluster_4","high","Plataforma de agricultura de precision que integra modelos agronomicos, imagenes satelitales, trazabilidad y gestion operativa para hacer mas eficiente y sustentable la produccion de cultivos. Entra en tesis por su acople directo al sistema agroalimentario material.","Precision agriculture and agronomic decision platform.","","217","112","179","12.8"
"Auth0","Auth0","startup","startup","auth0","canonical|historical","nodes_csv|graphml","0.9","exclude","confirmed","high","8.5","https://auth0.com/","","","","Plataforma de identidad y acceso para autenticacion y autorizacion en aplicaciones. Queda afuera por ser software horizontal sin señal de materialidad, bio o limites planetarios.","Software de identidad y acceso para empresas.","","150","150","150","12.8"
"avatar-medtech","AVaTAR MedTech","startup","startup","avatar-medtech","canonical|historical","graphml","0.6","","","","","","","","","","","","150","150","150","7"
"Ayuvant","Ayuvant","startup","startup","ayuvant","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","7.5","https://www.ayuvant.com/","therapeutics and regenerative bio","cluster_6","high","Startup de biotech terapeutico que desarrolla una inmunoterapia basada en nanoparticulas de RNA para instruir al sistema inmune a atacar celulas cancerosas. Entra en tesis por therapeutics and regenerative medicine.","Biotech terapeutica basada en RNA nanoparticle immunotherapy.","","38","166","154","12"
"bacu","BACU","startup","startup","bacu","canonical|historical","graphml","0.6","exclude","confirmed","medium","8","https://www.bacu.co/","","","","Cadena de restaurantes saludables apoyada por software propio para operaciones, delivery y pagos. Queda afuera por ser food service tech y marca de consumo, no una startup bio-based, biocentrica o climate-material thesis-core.","Cadena foodtech con software operativo para restaurantes.","","150","150","150","12.4"
"bago","Bago","capital","investor","bago","canonical|historical","graphml","0.6","","","","","","","","","","","","37","182","106","18"
"beam-croptech","BEAM CropTech","startup","startup","beam-croptech","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"Beeflow","Beeflow","startup","startup","beeflow","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","8","https://www.beeflow.com/about-us","ag biologicals and crop resilience","cluster_1","high","Biotecnologica de polinizacion que combina ciencia de cultivos, biologia de abejas y tecnologias nutricionales propietarias para mejorar rendimiento y calidad de fruta. Entra en tesis por ag biologicals and crop resilience.","Pollination science company for agriculture.","","126","87","194","12.4"
"bee-technology","Bee Technology","startup","startup","bee-technology","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"Bifidice","Bifidice","startup","startup","bifidice","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"BioBlends","BioBlends","startup","startup","bioblends","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","8","https://cancilleria.gob.ar/en/new-technologies/next-form-argentine/bioblends","food ingredients and biofactories","cluster_2","high","Startup food-biotech que desarrolla bio-preservantes gaseosos naturales para controlar hongos y extender la vida util de alimentos sin aditivos quimicos. Entra en tesis por food biotech and novel ingredients.","Food preservation biotech for clean-label shelf-life extension.","","11","181","214","12.4"
"biocl","BioCl","startup","startup","biocl","historical","historical","0.65","","","","","","","","","","","","150","150","150","7"
"biodiversity-intelligence","Biodiversity Intelligence","startup","startup","biodiversity-intelligence","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"Bioeutectics","Bioeutectics","startup","startup","bioeutectics","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","high","8.5","https://www.bioeutectics.com/","ag biologicals and crop resilience","cluster_1","low","Bioeutectics develops bio-based solvent systems that replace petrochemical solvents in industrial processes. Entra en tesis por biobased chemistry and advanced materials. TRL actual inferido: 9.","Bioeutectics develops bio-based solvent systems that replace petrochemical solvents in industrial processes.","AR/US","126","87","194","12.8"
"Biogea","Biogea","startup","startup","biogea","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"bioheuris","Bioheuris","startup","startup","bioheuris","canonical|historical","graphml","0.6","include","confirmed","medium","8","https://bioheuris.com/aboutus","ag biologicals and crop resilience","cluster_1","high","Biotech agricola que desarrolla herramientas geneticas y traits editados para mejorar control de malezas y productividad de cultivos. Entra en tesis por ag biologicals and crop resilience.","Crop trait biotech for resilient agriculture.","","126","87","194","12.4"
"biome-resources","Biome Resources","startup","startup","biome-resources","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"BioMetallum","BioMetallum","startup","startup","biometallum","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","8","https://bio-metallum.com/","climate and resource intelligence platforms","cluster_7","medium","Startup argentina de biomineria que usa microorganismos, biologia sintetica y exploracion asistida por IA para extraer litio y otros metales con menos agua, menos quimicos y menor impacto ambiental. Entra en tesis por su rol claro en transicion material y recuperacion de recursos.","Biomining and direct lithium extraction company.","AR","255","112","67","12.4"
"Bionirs","Bionirs","startup","startup","bionirs","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"bioplaster-research","BioPlaster Research","startup","startup","bioplaster-research","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"bioplaster-research-inc","BioPlaster Research Inc","startup","startup","bioplaster-research-inc","canonical|historical","graphml","0.6","","","","","","","","","","","","150","150","150","7"
"Bioplastix","Bioplastix","startup","startup","bioplastix","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","7.5","https://bio-plastix.com/","agri intelligence and traceable markets","cluster_4","high","Startup climate-bio que desarrolla bioplasticos de alto desempeño mediante bacterias ingenierizadas, fermentacion de precision y feedstocks baratos o residuales. Entra en tesis por circular material systems.","Bioplastics production technology company.","","217","112","179","12"
"bioseek","Bioseek","startup","startup","bioseek","canonical|historical","graphml","0.6","include","confirmed","medium","7","https://www.f6s.com/company/bioseek","clinical diagnostics and medical devices","cluster_5","medium","Plataforma de semantic search y analitica para investigacion en life sciences. Entra en tesis como software cientifico acoplado de forma directa a I+D biologica.","Semantic search engine for life sciences.","","31","78","108","11.6"
"biosynaptica","BioSynaptica","startup","startup","biosynaptica","canonical|historical","graphml","0.6","include","confirmed","high","8.5","https://biosynaptica.com/","therapeutics and regenerative bio","cluster_6","high","Startup biotecnologica que desarrolla biofarmacos innovadores para enfermedades neurodegenerativas a partir de derivados de eritropoyetina humana. Entra en tesis por therapeutics and regenerative medicine.","Innovative biopharmaceuticals for neurodegenerative diseases.","AR","38","166","154","12.8"
"Biotalife","Biotalife","startup","startup","biotalife","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","7.5","https://www.biotalife.com/","clinical diagnostics and medical devices","cluster_5","high","Medtech que desarrolla dispositivos medicos para reequilibrar naturalmente la microbiota humana, especialmente en salud femenina. Entra en tesis por diagnostics and medtech.","Microbiome medtech company.","","31","78","108","12"
"Bitgenia","Bitgenia","startup","startup","bitgenia","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","7.5","https://www.bitgenia.com/nosotros/","clinical diagnostics and medical devices","cluster_5","medium","Empresa de genómica y bioinformática que ofrece análisis clínicos, paneles de genes, exoma/genoma y una plataforma propia para interpretación de datos. Entra en tesis por computational biology and scientific software.","Genomics and bioinformatics platform.","","31","78","108","12"
"BitMEX","BitMEX","startup","startup","bitmex","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"bleps-vision","Bleps Vision","startup","startup","bleps-vision","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"Blerify","Blerify","startup","startup","blerify","canonical|historical","nodes_csv","0.6","exclude","provisional","medium","7.5","","","","","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","AR/US","150","150","150","12"
"blue-horizon","Blue Horizon","capital","investor","blue-horizon","canonical|historical","graphml","0.6","","","","","","","","","","","","37","182","106","18"
"botanical-solutions","Botanical Solutions","startup","startup","botanical-solutions","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"branch-energy","Branch Energy","startup","startup","branch-energy","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"BreakPET","BreakPET","startup","startup","breakpet","canonical|historical","nodes_csv|graphml","0.9","","","","","","","","","","","","150","150","150","7"
"brinc","Brinc","capital","investor","brinc","canonical|historical|historical_clean|institution_candidates","graphml","0.6","","","","","","","","","","","","37","182","106","18"
"bsafe-biotech","Bsafe Biotech","startup","startup","bsafe-biotech","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"ByBug","ByBug","startup","startup","bybug","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","7.5","https://www.gridexponential.com/portfolio","industrial enzymes and bioprocess platforms","cluster_3","high","Startup biotech que usa insectos geneticamente modificados para biomanufactura terapeutica. Entra en tesis por biomanufacturing and bioindustrial platforms.","Therapeutics manufacturing with engineered insects.","","139","195","74","12"
"calfix","Calfix","startup","startup","calfix","canonical|historical","graphml","0.6","exclude","provisional","medium","7","","","","","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","AR","150","150","150","11.6"
"calice","Calice","startup","startup","calice","canonical|historical","graphml","0.6","include","confirmed","medium","7.5","https://calice.ai/eng/","agri intelligence and traceable markets","cluster_4","high","Agtech que modela interacciones entre genética, ambiente y manejo para ejecutar millones de ensayos virtuales y ubicar mejor semillas, biológicos e insumos. Entra en tesis por precision agriculture and resource intelligence.","Agronomic simulation and product-placement platform.","","217","112","179","12"
"Caligenia","Caligenia","startup","startup","caligenia","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","7.5","https://www.gridexponential.com/portfolio","ag biologicals and crop resilience","cluster_1","medium","Startup agrobiotech que transforma guano de pollo en biofertilizantes carbono-negativos. Entra en tesis por ag biologicals and crop resilience.","Carbon-negative biofertilizers from chicken manure.","","126","87","194","12"
"CargoProduce","CargoProduce","startup","startup","cargoproduce","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"caspr-biotech","Caspr Biotech","startup","startup","caspr-biotech","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"cell-farm","Cell Farm","startup","startup","cell-farm","canonical|historical","graphml","0.6","","","","","","","","","","","","150","150","150","7"
"CellRep","CellRep","startup","startup","cellrep","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","7.5","https://cellrep.bio/about-us/","therapeutics and regenerative bio","cluster_6","high","Biotech de medicina celular que usa IA y small molecules para rejuvenecer células y mejorar terapias como CAR-T sin edición genética. Entra en tesis por therapeutics and regenerative medicine.","Cell rejuvenation biotech.","","38","166","154","12"
"Cellva","Cellva","startup","startup","cellva","canonical|historical","nodes_csv","0.6","include","confirmed","medium","8","https://cellva.com/","food ingredients and biofactories","cluster_2","high","Startup de ingredientes funcionales que usa microencapsulacion propietaria para mejorar estabilidad, biodisponibilidad y funcionalidad de ingredientes alimentarios, incluyendo omega-3 de algas. Entra en tesis por food biotech and novel ingredients.","Microencapsulated functional ingredients for food and beverage.","BR","11","181","214","12.4"
"circa-therapeutics","Circa Therapeutics","startup","startup","circa-therapeutics","canonical|historical","graphml","0.6","","","","","","","","","","","","150","150","150","7"
"CIRCCLO","CIRCCLO","startup","startup","circclo","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","8","https://circclo.com","agri intelligence and traceable markets","cluster_4","high","Startup climate-tech que desarrolla una plataforma de economia circular para gestion de residuos y reciclaje. Entra en tesis por climate, energy and resource systems.","Circular economy platform for waste and recycling.","AR","217","112","179","12.4"
"circular","Circular","startup","startup","circular","canonical|historical","graphml","0.6","exclude","confirmed","medium","8","https://circular.com","","","","Red profesional y plataforma de recruiting tecnico. Queda afuera por no tener acople material, biobasado o biocentrico.","Professional network and recruiting platform.","AR","150","150","150","12.4"
"CITES","CITES","capital","investor","cites","canonical|historical|historical_clean","nodes_csv|graphml","0.9","","","","","","","","","","","","37","182","106","18"
"clover","Clover","startup","startup","clover","canonical|historical","graphml","0.6","exclude","confirmed","medium","8","https://www.clover.com.ar/","","","","Empresa de infraestructura IT, networking, seguridad y telefonia IP para organizaciones. Queda afuera por no ser thesis-core.","Enterprise IT infrastructure and technology services.","US/AR","150","150","150","12.4"
"Conciencia","Conciencia","startup","startup","conciencia","canonical|historical","nodes_csv|graphml","0.9","exclude","confirmed","medium","8","https://conciencia.education","","","","Edtech orientada a habilidades blandas y conciencia social. Queda afuera por no tener thesis fit material, biobasado ni biocentrico.","Edtech for soft skills and social awareness.","AR","150","150","150","12.4"
"conservation-international","conservation international","capital","investor","conservation-international","canonical|historical","graphml","0.6","","","","","","","","","","","","37","182","106","18"
"courageous-land","Courageous Land","startup","startup","courageous-land","canonical|historical","graphml","0.6","","","","","","","","","","","","150","150","150","7"
"creative-ventures","creative ventures","capital","investor","creative-ventures","canonical|historical","graphml","0.6","","","","","","","","","","","","37","182","106","18"
"Crinsurance","Crinsurance","startup","startup","crinsurance","canonical|historical","nodes_csv|graphml","0.9","exclude","confirmed","medium","8","https://crinsurance.com.br","","","","Insurtech especializada en seguros de credito y garantias. Queda afuera por no tener thesis fit material, biobasado ni biocentrico.","Insurtech for credit insurance and guarantees.","AR","150","150","150","12.4"
"Cryosmetics","Cryosmetics","startup","startup","cryosmetics","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","7.5","https://www.gridexponential.com/portfolio","climate and resource intelligence platforms","cluster_7","low","Startup de personal care biobasado con productos naturales que impactan positivamente el microbioma de la piel. Entra en tesis por biobased chemistry and advanced materials.","Natural microbiome-positive skincare.","","255","112","67","12"
"CuperScience","CuperScience","startup","startup","cuperscience","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"CyanoMin","CyanoMin","startup","startup","cyanomin","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","8","https://www.gridexponential.com/portfolio","climate and resource intelligence platforms","cluster_7","high","Startup de bioremediacion que trata salmueras hipersalinas y recupera minerales. Entra en tesis por climate, energy and resource systems.","Bioremediation and mineral recovery platform.","AR","255","112","67","12.4"
"cytbac","Cytbac","startup","startup","cytbac","canonical|historical","graphml","0.6","exclude","provisional","medium","7","","","","","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","AR","150","150","150","11.6"
"deepagro","DeepAgro","startup","startup","deepagro","canonical|historical","graphml","0.6","include","confirmed","high","9","https://www.deepagro.com/","agri intelligence and traceable markets","cluster_4","medium","DeepAgro applies AI to agriculture for precision spraying, crop monitoring and more efficient use of agrochemicals. Entra en tesis por precision agriculture and resource intelligence.","DeepAgro applies AI to agriculture for precision spraying, crop monitoring and more efficient use of agrochemicals.","AR","217","112","179","13.2"
"Delee","Delee","startup","startup","delee","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"dharma-bioscience","Dharma BioScience","startup","startup","dharma-bioscience","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"dogma-biotech","Dogma Biotech","startup","startup","dogma-biotech","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"done-properly","Done Properly","startup","startup","done-properly","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"dragones","Dragones","capital","investor","dragones","canonical|historical","graphml","0.6","","","","","","","","","","","","37","182","106","18"
"DragonesVP","DragonesVP","capital","investor","dragonesvp","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","37","182","106","18"
"draper-associates","Draper Associates","capital","investor","draper-associates","canonical|historical","graphml","0.6","","","","","","","","","","","","37","182","106","18"
"DraperCygnus","DraperCygnus","capital","investor","drapercygnus","canonical|historical|historical_clean","nodes_csv","0.6","","","","","","","","","","","","37","182","106","18"
"draper-university","Draper University","capital","investor","draper-university","canonical|historical|historical_clean|institution_candidates","graphml","0.6","","","","","","","","","","","","37","182","106","18"
"duhau","Duhau","capital","investor","duhau","canonical|historical","graphml","0.6","","","","","","","","","","","","37","182","106","18"
"Dynami","Dynami","startup","startup","dynami","canonical|historical","nodes_csv|graphml","0.9","exclude","confirmed","medium","8","https://www.dynami.ai/","","","","Software de IA para hiring, retencion y bienestar laboral a lo largo del employee journey. Queda afuera por ser HR software horizontal sin señal material o biocentrica.","Software de HR analytics y employee journey.","","150","150","150","12.4"
"EcoAustralis","EcoAustralis","startup","startup","ecoaustralis","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"Egg","Egg","startup","startup","egg","canonical|historical","nodes_csv","0.6","exclude","provisional","medium","7","","","","","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","AR","150","150","150","11.6"
"EINSTED","EINSTED","startup","startup","einsted","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","8","https://einsted.bio/","climate and resource intelligence platforms","cluster_7","high","Startup de clean-tech industrial que usa plasma pyrolysis para convertir metano en hidrogeno limpio y carbono de alta conductividad, reduciendo emisiones y valorizando subproductos materiales. Entra en tesis por climate and resource systems.","Plasma pyrolysis for clean hydrogen and conductive carbon.","AR","255","112","67","12.4"
"eir","Eirú","startup","startup","eir","canonical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"eiwa","Eiwa","startup","startup","eiwa","canonical|historical","graphml","0.6","include","confirmed","medium","8","https://eiwa.ag/en/about-us/","agri intelligence and traceable markets","cluster_4","high","Plataforma agtech para integrar, estandarizar y analizar datos agronomicos a escala en investigacion, desarrollo de mercado y produccion. Entra en tesis por precision agriculture and resource intelligence.","Agronomic data intelligence platform.","","217","112","179","12.4"
"elytron-biotech","Elytron Biotech","startup","startup","elytron-biotech","canonical|historical","graphml","0.6","","","","","","","","","","","","150","150","150","7"
"Embryoxite","Embryoxite","startup","startup","embryoxite","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","7.5","https://www.gridexponential.com/portfolio","clinical diagnostics and medical devices","cluster_5","high","Startup medtech con diagnostico no invasivo para mejorar resultados en IVF. Entra en tesis por diagnostics and medtech.","Non-invasive IVF diagnostic.","","31","78","108","12"
"Enteria","Enteria","startup","startup","enteria","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","7.5","https://www.gridexponential.com/portfolio","clinical diagnostics and medical devices","cluster_5","high","Startup que desarrolla herramientas diagnosticas basadas en microbiota. Entra en tesis por diagnostics and medtech.","Microbiota-based diagnostics.","","31","78","108","12"
"enzyva","Enzyva","startup","startup","enzyva","canonical|historical","graphml","0.6","include","confirmed","medium","7.5","https://www.enzyvo.com/about","industrial enzymes and bioprocess platforms","cluster_3","high","TechBio que desarrolla biología programable para manufactura verde, biosensores de precisión y diseño de enzimas. Entra en tesis por biomanufacturing and bioindustrial platforms.","Programmable biology platform.","","139","195","74","12"
"eolo-pharma","Eolo Pharma","startup","startup","eolo-pharma","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"Epiliquid","Epiliquid","startup","startup","epiliquid","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","7.5","https://ar.linkedin.com/company/epiliquid","clinical diagnostics and medical devices","cluster_5","high","Startup biotecnologica que desarrolla una plataforma de biopsia liquida para deteccion temprana de cancer con biomarcadores en sangre. Entra en tesis por diagnostics and medtech.","Plataforma de liquid biopsy para deteccion temprana de cancer.","","31","78","108","12"
"ergo-bioscience","Ergo Bioscience","startup","startup","ergo-bioscience","canonical|historical","graphml","0.6","","","","","","","","","","","","150","150","150","7"
